http://movie.douban.com/subject/2239292/	大宋提刑官
(4星)	 看过港片欧阳震华演的宋慈 比起来还是大陆演的好 不管是演员的演技 还是布景 剧本 都强于港片 尤其是何冰的演技 原来他在我的印象里 就是演一些现代小人物 活灵活现的 没有想到演这样一个正派人物 演的是这么合情合理 人艺的演员就是牛            
(NA)	 看了一部分，不过这电视太奴性了，并且很多明显是凑戏            
(5星)	 很欢的古装片            
(5星)	 很好的片子，喜欢何冰的开始            
(5星)	 我真是迷宋慈迷到不行了，还要再看一遍。            
(4星)	 人命关天            
(NA)	 52            
(4星)	 最后的结尾……            
(3星)	 提刑司也就是个法证科罢了，找出真相任务也就该结束了，今古何异？            
(3星)	 受不了一集集等电视等得心焦，买了碟一口气看完，剧本超烂，剧情漏洞百出，拖沓得要死，故事没几个好看的。罗海琼在这片子里傻得要命。            
(5星)	 艺术化的人类社会，就是有消灭不完的蟑螂，这就是真实的世界            
(4星)	 男主角演技有点。。。。            
(5星)	 印象最深的是刁光斗那一部,刁光斗贪那么多钱财,自己却穿着打补丁的衣服.原来,他的钱...            
(4星)	 宋慈啊，你的洗冤录》太鸡巴吊了            
(4星)	 喜欢何冰的声音            
(NA)	 喜欢宋慈的运筹帷幄；希望英姑的聪明伶俐；喜欢片子中那份神秘……            
(4星)	 还是不错的，演员尤其            
(5星)	 太好看了~~让我不得不佩服何冰的演技！！片尾曲也很好听            
(4星)	 结尾曲蛮有创意            
(5星)	 棒!            
(3星)	 何冰给我的印象还是搞笑的龙套角色，他还是摆脱不了这一点，剧中有一些不合时宜的笑话，感觉怪怪的            
(NA)	 一直蛮欣赏何冰的，这部真的是经典捏。            
(NA)	 爸爸妈妈喜欢看，我也就跟着看了            
(3星)	 也是和老爸老妈老姐一起看的，恨的是每天就放一集，这一集还被无数广告打断，恶心死了。它的片尾一滴墨水散开的形象蛮吸引人的            
(4星)	 不错            
(5星)	 很好看啊！！！！            
(3星)	 阴森森的。。推理还是吸引人            
(NA)	 断断续续...应该看了很多...            
(NA)	 我第二喜歡中國影視片。            
(5星)	 还好            
(2星)	 一般            
(NA)	 到底是宋大人的错还是这个社会的错            
(5星)	 不错的电视剧，玄机四伏            
