http://movie.douban.com/subject/2343687/	大汉天子
(4星)	 喜欢李陵和秋蝉啊，            
(4星)	 道。明。叔。            
(4星)	 商业片…！！！            
(4星)	 小时候 嘛             
(5星)	 黄晓明啊！那个时候我有多喜欢你知道么！！！唉！！往事不堪回首啊！你要是一直这么正常下去该多好啊！！！            
(5星)	 陈叔到哪都是亮点呀，扎在一堆白面小生堆里依然难掩其光芒。            
(3星)	 那个时候觉得教主还很帅呢            
(4星)	 黄晓明最好的一部吧~~~            
(5星)	 灰常好看。和历史也算接近。只是无论什么思路我都无法接受陈道明和贾静雯的组合呀。。。            
(3星)	 好吧。。。迷得时候还太小太单纯太傻。。。            
(4星)	 我绝对看过，就是不记得了            
(5星)	 道明叔好帅啊！            
(5星)	 还是看演技啊            
(5星)	 那个时候的黄晓明有本事，是因为……            
(NA)	 剧情比较粗糙            
(NA)	 陪妈妈看了第一部又看了第二部= =    也不记得讲什么的了            
(5星)	 就是这部片。让我对汉朝的历史产生了莫大兴趣。但是当我真的去查询了那段历史后。。我想打死编剧。。=。=            
(4星)	 如果我说我曾经觉得教主帅过，会不会被鄙视。。。对手指。。。明叔啊帅屎了。。。。            
(3星)	 我不知道当时为毛要看诶            
(3星)	 闹台套当年还是玉树临风            
(4星)	 难得顺眼的历史剧...            
(4星)	 第一部超级好看            
(4星)	 一种另类历史剧开始流行。东方朔成仙儿了，黄晓明那时候挺帅的啊。            
(5星)	 当时是多么喜欢黄晓明啊……怨念啊，个2人！            
(4星)	 我重温了一下            
(NA)	 当年的黄晓明多好看啊。            
(4星)	 第一部比第二部好看             
(4星)	 第一部各种看点，就是陈道明太神而近妖            
(4星)	 东方朔啊~~            
(4星)	 陈道明，贾静雯。            
(4星)	 系列基本上都是只有第一部能看的。            
(4星)	 黄兄在里面还是很帅的            
(4星)	 从此新认识好多人 之后回想还是那时好            
(5星)	 看到后面完全是为了陈道明和贾静雯了。。。。            
(4星)	 卫子夫很美            
(1星)	 那时候的黄晓明还不讨厌            
(4星)	 还是怀旧            
(5星)	 有教主！！！！！！！果断加星！！！！！！！            
(3星)	 片尾歌好听            
(4星)	 蛮好看的……            
(3星)	 陈道明可灵了！            
(3星)	 1是最好的，自东方朔辞官后，我就失了兴趣            
(5星)	 喜欢王灵演的卫子夫、贾静雯演的念奴娇！            
(5星)	 ~            
(4星)	 有段时间特别迷~~            
(5星)	 很经典的一部剧            
(5星)	 最爱黄晓明时            
(4星)	 当时觉得黄晓明真好            
(3星)	 比起东方朔我更喜欢主父偃            
(4星)	 伴君如伴虎……            
(5星)	 这好像是我看过的教主演的还不错的剧~~~东方朔啊 东方朔~帅死了~            
(NA)	 很不错的片子            
(5星)	 那揍是因为陈道明有你黄晓明毛事            
(4星)	 事实就是金屋藏娇，娇被弃，心仪子夫，灭尽子与妻。小时候看的了，那时候很喜欢            
(4星)	 爱死东方朔了。            
(3星)	 最后都死了。            
(4星)	 东方朔！！！            
(5星)	 当时感觉很不错。            
(5星)	 小学放假被关在家练琴的时候,是这些电视剧替我解闷啊~~~            
(5星)	 其实看这片儿的时候特喜欢黄教主，起码彼时还是有点演技的，美女多多，看得桃心直冒，卫夫子很淳朴，李陵也挺可爱的~            
(3星)	 黄晓明很嫩。            
(5星)	 这里的黄晓明真的很帅            
(4星)	 这部时还不是那么不待见黄晓明，剧情挺紧凑            
(4星)	 无关历史。单纯的喜欢这里的很多人物。东方朔，念奴娇，九哥，霍去病，秋蝉……            
(4星)	 大家都说这是看黄晓明最顺眼的时候~~·以后就逐渐2了……            
(4星)	 那时候很喜欢贾静雯            
(NA)	 除了皇帝演的 剩下演的都好~ 妆·美·            
(5星)	 黄晓明的成名作吧。陈道明演的东方朔太赞了！            
(4星)	 晓明童鞋你没出名时候多正常——道哥你永远最给力            
(4星)	 陈道明 成熟男人的魅力~            
(4星)	 东方朔！            
(4星)	 囧明你真的好帅！道明蜀黍也好帅！还有演霍去病的小帅哥！卫子夫我也喜欢！            
(4星)	 这时黄教主还不怎么2~            
(4星)	 平阳公主好pp~教主前期还是很帅气滴！            
(4星)	 超喜欢第一部            
(5星)	 认识黄晓明的第一部戏。。。当时觉得太好看了            
(3星)	 里面那个卫子夫很好看，但是我忘了她具体长什么样了            
(4星)	 第一部            
(5星)	 第一部最赞            
(4星)	 明叔啊明叔~            
(4星)	 喜欢里面的秋蝉和李勇那一对~            
(3星)	 看这部戏的时候觉得黄晓明很顺眼。            
(2星)	 当我高中以后再在电视上看的这部片子，顿时……            
(5星)	 当年为了看它我假期天天守着电视，也喜欢上意气风发的刘彻（还小，对演员没有概念）,倒是对东方朔有点反感             
(3星)	 这里开始喜欢小黄同学的，汉武帝很强悍啊！            
(4星)	 真不明白 当时那么好一孩子 现在怎么变成这个德行了呢            
(5星)	 黄晓明最初是直率和可爱！！！我爱贾静雯的风华绝代，我爱陈道明的仙风道骨！！            
(4星)	 当时简直是日思夜想想和黄晓明XX啊。现在，咳咳...             
(NA)	 很怀念这个电视剧，为此我深深地喜欢了晓明~可惜自此晓明的杨过之类的偶像剧就很崩。也许我心中一直住着天子，故……            
(4星)	 还不错吧            
(4星)	 当时的大爱            
(4星)	 那会儿很爱黄晓明            
(4星)	 演这部的时候，黄晓明还有股纯真~之后就是废柴。            
(5星)	 最后一集哭得我呀~~原来成功的路上要踩过那么多人的尸体。            
(4星)	 就第一部好看            
(3星)	 这部还不错，黄晓明其实还算是演得不错的。虽然有点不像汉武帝@Home            
(5星)	 贾静雯真是美得惊天动地、、、            
(4星)	 黄教主很红之前我还是真挺喜欢他的 后来就真觉得他做作了 不知道为嘛            
(4星)	 那时的黄晓明还只是个孩子。美女众多            
(5星)	 我只萌这里的黄晓明，还有那个李陵。            
(4星)	 为数不多的好看的国产古装剧            
(4星)	 那时候的黄晓明，还没那么叉叉啊。            
(NA)	 这绝对是黄晓明最经典的作品，相当帝王气质。            
(NA)	 教主你自己唏嘘么~            
(NA)	 东方朔 百足之虫死而不僵            
(4星)	 一将功成万骨枯，开国功臣多半不得好死            
(5星)	 最自然的黄晓明，要是能保持这种优良传统和作风，何至于斯呢            
(2星)	 黄教主早期作品…这个片子很猥琐的是居然让陈道明和贾静雯搞到一起去了……            
(NA)	 也就第一部能看            
(5星)	 三部里就这部最好            
(5星)	 黄晓明好帅气哟            
(4星)	 我喜欢！没道理~~~            
(3星)	 当时觉得卫子夫好温柔啊~~~            
(3星)	 东方朔·········明叔！！！            
(NA)	 喜欢汉代的历史，感觉人物比明朝鲜活很多。东方朔很有味道啊。            
(4星)	 曾经很喜欢，现在看来是三部里面最好的一部。幸好我只看了这一部。            
(4星)	 完全冲着东方先生            
(4星)	 卫子夫和平阳还有东方朔 不要看陈阿娇            
(4星)	 那时候黄晓明还很清纯            
(5星)	 陈道明太帅了！            
(4星)	 我爱那个演卫子夫的姑娘            
(3星)	 帅            
(4星)	 初中~            
(NA)	 很喜欢这一版的说！            
(4星)	 三部当中最好的            
(2星)	 把历史瞎掰，应该去看《汉武大帝》            
(3星)	 那时候我当真以为教主是棵好苗子            
(4星)	 那时候是真心觉得教主好帅啊 大叔控也是这里开始的            
(3星)	 现在还觉得，大汉天子是黄晓明最好的角色……            
(3星)	 张汤东方朔念奴娇都不错。黄晓明好恶心            
(5星)	 道哥，你还可以更魅力一点么。。。贾静雯也超美。。。            
(4星)	 好剧。当年教主给我留下了很好的印象~平阳，子夫，念奴娇，都好美啊啊啊啊            
(4星)	 我还是很喜欢那时候的黄教主的= =            
(4星)	 比较典型。喜欢卫子夫和公主。            
(3星)	 恩，是个很刺激的雷剧            
(4星)	 只觉得黄晓明只有演这个时招人待见            
(3星)	 单纯为陈道明、贾静雯、张明建三人多加一颗星（虽说张汤这角色不讨喜）电视剧有与史实不符的地方可以理解，但剧中大量逻辑错误着实令人无语。以及黄晓明太嫩，武帝的气魄没有，伟略也没有，要我说，这片直接改名《东方朔》好了，整部看下来，这汉家天下哪里是刘彻打下的啊，导演神化东方也不带这样的。            
(5星)	 冲着明叔去看的,不错!!!            
(NA)	 喜欢那时的黄晓明。陈道明的东方朔太有魅力了。            
(4星)	 教主这个时候还是挺正常的            
(4星)	 除了这片子，对黄晓明实在没好感            
(5星)	 我当年超爱看啊，虽然没什么特别值得称道的剧情，但人物都很美好很喜欢。比现下的大部分强很多            
(5星)	 黄晓明也就这个角色我喜欢            
(NA)	 4            
(3星)	 黄晓明这张男一号的脸，真帅。当然道明叔有着另一番迷人的气质。还有美丽惊艳的贾静雯，念奴娇。            
(3星)	 教主好            
(4星)	 教主青涩时。。。            
(4星)	 当年还没发觉黄教主的潜质。。罪过            
(NA)	 黄晓明....            
(4星)	 教主当年其实挺帅的，也没有邪魅一笑            
(NA)	 谁说黄晓明不会演的！长的太好看反而会遮盖掉很多东西。可是汉武帝就是那么让人喜欢            
(5星)	 当年的教主 是个实打实的美人            
(4星)	 如果黄教主演完这部戏就息影，那么他就永远活在我心中了。以前觉得黄小明演汉武帝演得真好，现在才知道，他没在演，那就是他的本性。            
(3星)	 东方朔…            
(4星)	 陈道明的沉稳风度，黄晓明的演技娴熟，陈紫函的雍容华贵，贾静雯的夺目艳丽，一部可圈可点的历史剧            
(4星)	 第一部大汉天子还是不错的            
(4星)	 很多电视剧都是不能拍续集的。。。。当时的黄晓明初出茅庐，演技尽管稚嫩但仍让人眼前一亮，而现在？自从他把箫剑演成那个样子，我就没什么期待了。这么多年了，这是他唯一让我觉得惊艳的电视剧....            
(4星)	 那时候的黄晓明看着多好啊~这部剧定下了我对东方朔和念奴娇的印象            
(4星)	 tv            
(5星)	 在我心中，大汉天子仅此一部。永远的婵陵。            
(5星)	 很不错哦！            
(4星)	 明叔，晓明，陈莎莉贾静雯在一起演戏的感觉真的很过瘾！            
(4星)	 其实那时候的黄晓明还挺英气的... 好吧 仅是那时候 。 陈紫函扮演的公主特美            
(5星)	 晓明终于找到了自信，从此，他有了明教~~            
(5星)	 这剧让我认识了黄晓明            
(5星)	 教主，这个时候的你还没那么恶心            
(NA)	 黄晓明成名之作！惊艳！            
(5星)	 晓明不多的好片。            
(3星)	 当时还觉得黄晓明不错呢。。。。汗。。。            
(4星)	 陈道明            
(4星)	 除了这部 黄晓明其他都很恶心~            
(4星)	 黄教主要是之后的剧集能有这部里的表演就好了            
(4星)	 当年的陈道明啊。            
(5星)	 觉得蛮好看的~            
(3星)	 还行            
(4星)	 聪明的人最美丽。            
(3星)	 当年我看这个喜欢黄晓明。物是人非了么。我曾经喜欢过的人都变了模样。            
(5星)	 还是第一部最好！            
(4星)	 我当初多爱这剧啊，陈道明，贾静雯，还有剧里那郭舍人..还有黄晓明...怎么现在黄晓明成这样了呢？？            
(4星)	 好吧想当年我曾经被黄晓明的样子迷惑。            
(NA)	 当时还觉得挺好的……            
(3星)	 当时觉得黄教主还8错            
(4星)	 那年他还不红，还没有闹太套，还无比帅气。            
(5星)	 第一次见证了从典型的台湾剧到风靡一时的历史剧，可以推红演员的历史社会人文电视剧。            
(4星)	 看完第一部后，对于黄晓明这个演员的印象好很多，而且也喜欢卫子夫那种静。第二部里，总感觉黄晓明少了一些霸气，而且里面演卫子夫的那个不如第一部的好看，就是觉得太闷了她，不是那种静的感觉。。。            
(4星)	 里面陈紫函没演坏人~还是很美的~贾静雯也美            
(2星)	 没看下去            
(NA)	 我就喜欢东方朔和贾静雯            
(4星)	 总的来说，第一部还是蛮好的，但是后面两部就不怎么样了            
(3星)	 小学时的一段没头没尾的故事。            
(3星)	 这会看黄晓明还挺顺眼的呢            
(NA)	 陈道明 太霸道了 哈            
(5星)	 第一部很喜欢来着            
(3星)	 就为看贾静雯儿~可惜了            
(4星)	 黄晓明难得演的真男人的啊。。。            
(3星)	 沒看完整過            
(4星)	 算是挺经典的            
(NA)	 还是第一部好看            
(4星)	 国产古装剧里，这真的可以一看            
(4星)	 黄晓明一开始一点都不2，为神木后来这么2            
(NA)	 这部剧喜欢上贾静雯，还有聪明睿智神机妙算的东方朔。            
(NA)	 我那时候说以后一定要从头看。            
(4星)	 卫子夫.            
(4星)	 疯狂爱上贾静雯，疯狂爱上东方朔~            
(3星)	 黄晓明的成名作            
(4星)	 当年的教主还是很嫩的。。。            
(4星)	 恩，也有矫情的地方，必须用快进键跳着着看~~总的来说也不错            
(3星)	 陈道明的演技不可不赞，黄晓明的出道之作，还不错~~            
(3星)	 配角出彩~            
(NA)	 当年这片掀起了我们班女生空前高涨的汉代历史热情。            
(4星)	 不喜欢黄晓明。。。陈道明挺有范儿的。。呵呵            
(4星)	 黄晓明演的挺好的。。。喜欢贾静雯演的念奴娇。。。            
(5星)	 想当年的黄晓明是多么可爱..            
(3星)	 当初是为了看贾静雯的            
(3星)	 偶像剧,呵呵             
(4星)	 那时很萌教主~教主最好的电视剧~            
(4星)	 投降不丢人，冤死才丢人~            
(2星)	 我是从啥时认识校名小盆友滴 少年唐伯虎？            
(3星)	 这电视剧需要个历史顾问 总觉得时间顺序上怪怪的 需要个文学顾问 虚与委蛇(yi) 念成了虚与委蛇(she) 还需要个逻辑顾问 一会儿说陈阿娇是表妹 一会儿说陈阿娇是表姐 不过作为电视剧 说到底还是可以看的             
(4星)	 黄晓明当时我还不像现在这样烦你            
(4星)	 当初的黄晓明还是可以看看的            
(4星)	 到位的演绎，赞            
(4星)	 重新看了才知道 原来最后东方朔跟念奴娇没在一起 当年的小明哥还真是娇嫩            
(3星)	 真是意气风发的小明。            
(4星)	 这是我觉得黄晓明最成功的一部戏，以后就好烦他偶            
(4星)	 汉代偶像剧，美女很养眼            
(4星)	 有帅哥出没            
(5星)	 深有影响的一部片子            
(3星)	 挺想给4星的……李陵很帅。平阳公主是陈紫函演的角色中我最不讨厌的一个。            
(4星)	 黄晓明很有英气            
(4星)	 总体满灵的            
(3星)	 那个时候的黄教主长得还没有那么纠结。。            
(4星)	 个人最喜欢的这里贾静雯，不怎么DJ她其它的角色            
(5星)	 我爱深衣            
(3星)	 黄晓明比较成名作之一。陈道明在这里边算是“毁”了。剧情，分开来看还是不错的。汉服传统漂亮。卫子夫的演员选的不错。            
(4星)	 当年看这部剧完全是因为陈道明，觉得贾静雯配不上演念奴娇，黄晓明长得真残            
(3星)	 依然偏离历史            
(5星)	 看了大汉天子之后，对黄晓明的印象就非常深，后来才晓得他是赵薇和陈坤的北影特别好友～            
(4星)	 很不错。            
(NA)	 黄晓明凭此剧大红啊！            
(NA)	 我觉得还不错的，印象最好的是卫子夫~            
(4星)	 我是那么那么的喜欢第一部，黄晓明真的很帅~~~            
(4星)	 帅哥美女加实力派            
(4星)	 当年的黄晓明还不错。。。现在就。。。唉            
(4星)	 当时好喜欢            
(4星)	 还是第一部最好~~~            
(3星)	 啊  戏里陈道明和贾静雯好配啊             
(3星)	 为友情折腰的作品 不过塑造了道骨仙风的东方朔            
(5星)	 黄晓明超帅            
(NA)	 陈道明，演得太好了！            
(3星)	 精彩。            
(4星)	 大一暑假看的，那个时候看到黄晓明觉得内地终于出了一个有气场的帅哥了，可惜好景不长。。。现实好残酷。。。            
(5星)	 黄晓明的演技还不错~            
(3星)	 看在当年无知喜欢此剧的份上 给个及格后来读了汉代历史 彻底的想扁编剧            
(4星)	 东方朔，那一抹从容淡定的浅笑...            
(4星)	 历史虽然有点不靠谱，但男的帅，女的美，勉强吧。            
(NA)	 念奴娇他妈也太有品位了            
(4星)	 3部中我认为最好的一部了            
(4星)	 当时的黄晓明还不错            
(4星)	 陈道明跟贾静雯谈起了恋爱。            
(5星)	 睿智啊            
(5星)	 为数不多的让人各种满意的电视剧            
(4星)	 秋蝉~            
(NA)	 喜欢陈道明的表演            
(NA)	 我爱陈道明~~            
(3星)	 我真的喜欢卫子夫            
(4星)	 喜欢陈道明，黄晓明^_^            
(4星)	 第一部还行　无论演员还是剧情　金屋藏娇　　长门宫恨            
(4星)	 说实话我一直没怎么认真看。            
(4星)	 当时的确觉得很好看，还为此买了本全文言文的《史记》囧            
(4星)	 喜欢少年汉武帝            
(4星)	 和妈妈一起看的            
(4星)	 看着养眼的            
(NA)	 没看完整            
(5星)	 很震撼啊~~有陈道明~~还有我喜欢的晓明~~嘿嘿~~~            
(NA)	 剧情不错，喜欢陈道明~~~            
(4星)	 黄晓明的意气风发很适合这个少年天子            
(4星)	 当时的黄晓明哦~爱死~还有东方朔先生~            
(3星)	 虽然故事在某些方面有些扯，但是还是不错的……            
(3星)	 黄晓明就从这儿红的吧？            
(3星)	 一般            
(5星)	 第一部相当好看            
(NA)	 真是不错~            
(3星)	 改编得有点过了。杀人救人太儿戏了。推翻皇帝的话太容易了。纳妃太可笑了，一个可以随便跑掉，而可以随便拿另一个代替。皇祖母只是溺爱小儿子，不等于不爱亲孙子，不至于一定要杀了亲孙子，甚至于杀了他，梁王也即位无望。人物符合史实，有些原则又不符合史实，不知道该拿什么片来对待。只能用“戏说”            
(4星)	 曾经的黄晓明            
(3星)	 因为有陈道明            
(4星)	 很好看            
(5星)	 小明！你怎么可以帅成这个样子！            
(NA)	 第一次让我觉得，国产也有良品啊            
(NA)	 陈道明演得太经典了，除了他，能演东方朔的很少了，寥寥。            
(4星)	 黄晓明刚刚出道~陈道明演得老好的~还有贾静雯~            
(5星)	 虽是偶像剧，但也有看头。            
(3星)	 没老陈会看的东东            
(4星)	 我举手……我真的是因为人而开始看。。然后发现真的蛮好看！！！            
(3星)	 = =            
(5星)	 喜欢黄晓明的大气，就知道他会成功            
(NA)	 这个还挺不错～～            
(NA)	 没什么感觉的电视剧。但是看过百家讲坛，觉得陈道明演的依然经典！！            
(NA)	 千古智者东方慧，不愧为其名呀。            
(3星)	 戏说类历史剧，披着古装的现代爱情故事。            
(3星)	 第一部总是好看的，陈道明一直很喜欢            
(3星)	 前知五百年，后知五百年的东方朔。            
(3星)	 不感冒这片            
(5星)	 看完汉书后才知道，为皇后最终的结局竟是人老珠黄后的失宠，巫蛊之祸后的自缢            
