http://movie.douban.com/subject/1786735/	倚天屠龙记 倚天屠龍記
(3星)	 孙兴…………………………            
(5星)	 好听的歌 pp的周芷若 许仙穿越不是件好事 最后为史上最萌的孙兴版杨逍加至5星            
(NA)	 咆哮啊咆哮            
(4星)	 1、一见杨逍误终生。2、叶童的赵敏妖艳高贵，演技一级棒。3、后来的高圆圆是按照周海媚的模子选的。4、音乐很好啊，尤其赞俩俩相忘。            
(4星)	 杨逍最帅            
(3星)	 经典周芷若            
(4星)	 还是觉得这一版好。            
(4星)	 赖水清的最高杰作            
(4星)	 拍的不错的一部武侠连续剧。            
(3星)	 这版还是不错的            
(NA)	 唯爱杨逍            
(5星)	 主题曲是周华健的刀剑如梦            
(5星)	 我爱 马景涛 ！！！！！！！！！！！！！！！！！！！！！            
(4星)	 初中时的暑假每天都看 好怀念            
(4星)	 确实是好看            
(4星)	 它的后半段果然比较丰富。            
(5星)	 最喜欢这一版。            
(4星)	 经典            
(5星)	 若干角色都太成功 尤其杨逍 堪称孙兴这一辈子唯一好的演出            
(3星)	 有点忘了~ 好像看过            
(4星)	 我和我师父商量着，突然意识到叶童是俺们见过的最好的赵敏，虽然离想象中还有很大距离。赵敏很难找到演员么？？很难么？？很难么？？？            
(3星)	 叶童的发行有点搞笑.周海媚的形象很符合我心目中的那个周芷若.            
(3星)	 最经典的版本...            
(4星)	 两颗星给杨逍~~            
(4星)	 只有这个版本比较入眼            
(5星)	 大爱这版            
(4星)	 一首江城子，背着背着，就这么多年了            
(3星)	 咆哮吧,景涛铜子!            
(4星)	 儿时小经典            
(4星)	 很经典的杨逍很拖沓的剧情            
(5星)	 芷若~海味~嗯~            
(5星)	 我小时候看治病那段的时候看的按是感动的唏哩哗啦。            
(5星)	 半夜2点钟爬起来看的经历            
(4星)	 只为杨逍            
(3星)	 太早了，都忘了。就记得有个周芷若。            
(4星)	 这个版本的最中意。            
(5星)	 小马的狮子吼多经典啊            
(3星)	 想当年...            
(NA)	 倚天屠龙记            
(5星)	 还是这个版本最好看,虽然布景不太真实...            
(3星)	 唯一了解的武侠故事，没看全喜欢黄霑的《随遇而安》            
(3星)	 只因为杨逍才看...只看了杨逍的部分            
(3星)	 记忆里的电视剧            
(5星)	 孙兴版杨逍，潇洒出众。            
(5星)	 这一版绝对是最经典的。90后们不懂。。            
(3星)	 不喜欢马景涛            
(NA)	 小时候家里没有有线电视，天天去别人家看啊~            
(NA)	 最经典最好看的一版            
(5星)	 这个杨逍让人倾倒。            
(4星)	 我特别的收藏这个~最好的一版倚天了。看着顺眼的很，也挺合理。满足了大众对老杨家几位爱情经历探究的心理，好得很，好得很啊。            
(4星)	 还是喜欢这部。            
(4星)	 最喜欢这个版本的杨箫~~~            
(4星)	 杨逍实在太迷人了，别人就那么回事吧            
(NA)	 窝得儿一得小~又得儿一得小~消砍洪城人嗯不老袄~            
(NA)	 咆哮马            
(NA)	 杨逍！！！            
(4星)	 咆哮马那时候还是个温润的小青年~            
(5星)	 没有炫目的特技动作，但唯有这部倚天能让我感动泪下            
(4星)	 从此喜欢上周海媚。            
(5星)	 在当时真的很喜欢看            
(5星)	 经典!而且片头片尾插曲都巨好听!            
(5星)	 童年假期必看的电视剧。            
(NA)	 最爱孙兴版杨逍            
(3星)	 当时因为这部片子，班上几个女生狂爱叶童，想不通啊            
(3星)	 第一次看倚天屠龙记            
(5星)	 周芷若，太爱你。刀剑如梦，太爱你。            
(5星)	 十年生死两茫茫，不思量，自难忘……            
(5星)	 如人饮水，冷暖自知。            
(1星)	 从此不能忍叶童和马景涛            
(4星)	 如果没有叶童，我会给五颗星！            
(NA)	 我剑，划破长空？            
(2星)	 小马哥太吵，叶童太丑，周海媚太凶，只有孙兴的杨逍符合我的审美            
(3星)	 回忆            
(5星)	 化成灰都记得每一个细节,哎^            
(4星)	 比另外的强多了！            
(3星)	 记得特别小的时候看过这个片子，那个时候很流行古装武打片，好像还有什么鹤啸九天，好像那个时候赵敏小时候是由金铭演的。            
(4星)	 周茌若是最好的一个            
(3星)	 在马景涛所有嘶吼式的剧集中，这本尚算能看下去。还是说，其实是杨逍拯救了一切？？？            
(4星)	 不管怎么样，反正我很喜欢看这个            
(3星)	 我觉得还是一个不错的版本            
(4星)	 冲它的音乐，就得打4分            
(NA)	 无奈，那时很哈叶童            
(3星)	 没看完。            
(5星)	 为了杨逍，豁出去了！            
(4星)	 个人认为是最好看的版本            
(3星)	 马景涛..怎么还不死..            
(3星)	 来也匆匆去也匆匆恨不能相逢。孙兴你为什么在别的古装电视剧里那么kuso！            
(3星)	 小时候看到的            
(3星)	 曾经很喜欢            
(3星)	 很讨厌马景涛            
(3星)	 小时候的记忆，周海媚演的太坏了吧            
(3星)	 7.0   没有办法，男女主角都不喜欢……            
(4星)	 忘不了周海媚            
(5星)	 倚天屠龍記最最經典的版本！！            
(3星)	 马景涛挺帅            
(4星)	 还是觉得这一版好。            
(4星)	 周芷若            
(4星)	 牛逼音乐            
(5星)	 反正是我心中的倚天屠龙记哈~可是为啥同龄人都没看过........            
(5星)	None
(5星)	 必须极力推荐，最好的一版倚天屠龙记，周海媚的周芷若，经典的逍芙恋，所有歌曲都经典到一塌糊涂！            
(1星)	 也同演赵敏，有没有搞错啊            
(5星)	 一见杨逍误终身啊、、、、            
(5星)	 有杨逍就够啦！！！！！分数什么的无所谓啦啦啦啦啦啦！！！！！            
(5星)	 太经典了            
(4星)	 华丽丽的杨左使啊......            
(3星)	 啸叫马景涛            
(4星)	 谁与我生死与共~~~~~~~~~~~~~~~~~~~~            
(5星)	 景涛哥哥的张无忌 一身肌肉 小时候的偶像            
(5星)	 小时候特别喜欢周海媚            
(4星)	 儿时的回忆，当时就奇怪，怎么赵敏跟许仙长得那么像。。。然后奇怪，张无忌不觉得赵敏像他妈妈么？            
(4星)	 赵敏真丑~张无忌为什么不选周芷若啊            
(3星)	 见过有个女生巨喜欢这个版本，不明所以。            
(5星)	 我喜欢叶童的赵敏，喜欢孙兴的杨逍~喜欢逍芙恋，最喜欢这个版本的倚天屠龙记了！            
(4星)	 周海媚那叫一个漂亮            
(NA)	 还记得姐姐说她小时候看到的心情是：什么？？许仙是女的...叶童是女的...god...            
(NA)	 来也匆匆去也匆匆恨不能相逢 │ 无法客观评价这部倚天，因为发现许仙竟然是女纸对我的冲击太大太大……教主虽是演技派但长相一直不和我口味，颇受好评的杨逍一点印象也没有，但周芷若的潇洒还是记得清楚。            
(4星)	 除了布景道具服装差了点，这片情节还是改编的蛮不错的嘛，绝对是最好的一部倚天。            
(4星)	 仍旧扣在咆哮哥上            
(4星)	 迷死孙兴了！！！这才是杨逍啊！！！！！！！！风靡江湖的杨逍啊！！！！！铁林君乃就只适合皇阿玛。。。。。。   【叶童哪里美貌了！！            
(3星)	 虽然马景涛的无忌略显奈张，但是周海媚的芷若相当传神，亦正亦邪，又娇俏美貌，而且当年看的时候，觉得她很像自己暗恋着的隔壁班的女生。            
(4星)	 童年的回忆，最喜欢杨逍和纪晓芙那段。            
(4星)	 小时候很钟情这个版本，却遗憾找不到重温的地方            
(5星)	 叶童真的好不符合赵敏的相貌，但是演技不错，那会也没觉得马景涛演技这么浮夸，周海媚真心平面美，动态很囧。            
(NA)	 三星。            
(5星)	 会记得一辈子。超级的一辈子            
(NA)	 马景涛，叶童，笑死爹了。。。            
(5星)	 最完美的版本，重看依然经典            
(4星)	 杨逍惊艳！            
(3星)	 上中学时晚上黄金时间段都看节目            
(4星)	 我喜欢周芷若。            
(3星)	 三星都不是给两个主角的，一见杨逍误终身。            
(5星)	 我唯一與最愛的武俠經典。            
(4星)	 偶看的第一部金庸剧，至少看了三遍。            
(4星)	 孙兴般的杨逍绝对是经典            
(5星)	 我还是最爱那版的张无忌、赵敏、周芷若、杨逍。OST好赞啊            
(2星)	 喜欢杨逍，马教主的咆哮吃不消啊~~~            
(4星)	 真心觉得是几个版本里最好的。陈启华版的张无忌木有看...            
(5星)	 继《神雕侠侣》后我看过的第二部金庸作品。相当迷            
(5星)	 还是马景涛版的最ok            
(4星)	 当时觉得，张无忌为毛喜欢许仙啊            
(2星)	 又一雷！咆哮教主加许仙。            
(3星)	 忽略马锦涛和叶童，这里头我唯一要看的就是杨逍那一段，孙兴太帅了。。。            
(NA)	 印象中这个是最早看到的版本。            
(4星)	 喜欢这版的，很接地气，苏版的过于扬气，喜欢那几首片头片尾插曲            
(3星)	 不能接受叶童女装嗷嗷嗷            
(4星)	 苏有朋版出来之前最喜欢的一版倚天            
(4星)	 小时候不爱喝中药，妈妈端着碗说，喝了就让你看倚天屠龙记。瞅瞅黑乎乎的汤，一闭眼睛，咕咚咕咚喝完了            
(NA)	 当初一直不理解为什么张无忌会看上赵敏。。。            
(3星)	 那个时候的周海媚真美！            
(4星)	 我小时候那个痴迷啊，那会一直不太习惯叶童是个女的。喜欢杨逍和纪晓芙            
(5星)	 当时非常红。。。            
(4星)	 咆哮帝当年挺帅的，只是一直有疑问：为什么许仙是女人？！            
(4星)	 这版歌曲超经典            
(NA)	 马景涛            
(4星)	 扣的当然是咆哮帝            
(3星)	 这个版本我最大的疑问是，为嘛演殷素素的跟演赵敏的会是同一个演员？！！！八竿子打不着啊！            
(4星)	 当时觉得叶童不好看好么。。            
(4星)	 oh~            
(5星)	 哈~最喜欢的一个版本            
(2星)	 咆哮版张无忌，有木有~            
(4星)	 杨逍，周芷若，ost~~爱江山更爱美人什么的，这明明是最好看的版本            
(5星)	 非常高兴豆瓣上这一片的评分高于吴启华黎姿佘诗曼版本的0.1分，两版都不错。我喜欢这一版的周芷若            
(4星)	 比较喜欢这部            
(5星)	None
(4星)	 我最爱的一般倚天屠龙。咆哮马教主的张无忌，许仙般的赵敏，最喜欢瞪大眼睛的周芷若，还有不得不提的杨逍啊有木有？全是亮瞎眼的亮点啊，有木有？            
(3星)	 那时年少各种剧~~            
(NA)	 不喜欢主角那对,只喜欢纪晓芙那对~~            
(4星)	 最早看的就是这部了。当时觉得周海媚还不错。可惜了赵敏那么美好的角色叶童没有演好            
(4星)	 周海媚的周芷若好漂亮            
(5星)	 叶童和周海媚形神兼备 马教主演技的巅峰之作，里面张咆哮还是挺有活力的            
(4星)	 最好的一版            
(4星)	 我心里的周芷若，周海媚之后无人可及。            
(4星)	 老版本了。印象最深的除了四位主演，还有那首主题曲。            
(4星)	 在那个年代，这个可以绝对值四星了            
(NA)	 我那时就觉得吧，叶童真是一点都不漂亮，马景涛也没啥看头，但我还是蛮喜欢，主题曲也记得很熟呢。            
(3星)	None
(3星)	 看到周海媚，我才想起原来我看过这剧。            
(4星)	 小时候我最爱的武侠人物就是周芷若拉！            
(4星)	 我只完完整整看过这一版的倚天，其他的只是换台的闪过。这一版里每一首歌我都会唱， 有人黑叶童，可我觉得她演赵敏很合适，虽然不够美艳，但气场和演技都镇得住场。里面的每个配角都传神极了，以至于后来看书的时候不自觉就对应着电视剧里人物的脸和声音。            
(4星)	 爱死周海媚了，以至于对叶童连同赵敏的在相当长一段时间都生理接受无能            
(4星)	 记得那是95年夏天吧，每天晚上回家追着看这部倚天屠龙记。            
(5星)	 就喜欢咆哮马的张教主和许仙版的赵敏。            
(NA)	 淡淡的记忆            
(5星)	 狂喜欢啊。~            
(3星)	 我觉得马景涛一直蛮帅的，就是演的太用力了点~~~~            
(4星)	 最爱的杨逍。            
(NA)	 金庸笔下  最不喜张无忌  小昭版本里只喜欢陈孝萱            
(4星)	 扣一星因为咆哮教主……虽然他演戏很用心很投入，可是，就是受不了……            
(4星)	None
(4星)	 大爱这一版的周芷若            
(5星)	 ！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！            
(4星)	 有几首曲子也很熟悉。            
(4星)	 小时候 喜欢杨逍那一对的 可惜女的早死            
(4星)	 这个版本吧 剧情最饱满~            
(NA)	 周海媚是个美人。            
(3星)	 周海媚让我小时候就对周芷若这个人印象深刻            
(3星)	 教主的啊            
(4星)	 好多经典的老人啊~~  老马这个版本的张无忌简直优柔寡断的让人想一巴掌扇死。。。不过那种在国家大义民族矛盾和真情挚爱之间的矛盾真的是演的肝肠寸断            
(NA)	 叶童经典。。马咆哮。。不怎么喜欢张无忌，奈何人家是男一            
(5星)	 居然么马克……姐小时候的暑假重播几遍看几遍啊……内牛满面的回忆……好爱芷若……爱了很多年……于是也讨厌赵敏了很多年……哈哈哈            
(5星)	 最爱叶童的赵敏,太像原著了,而且赵敏那种男子英气非叶童莫属.而且叶童剧中扮相也挺美,大爱.赞!            
(4星)	 一见孙逍误众生            
(5星)	 自从看过93版，心中再也装不下其他版本~~            
(3星)	 比较老的一版            
(4星)	 记得第一天播 我狂奔去找爸妈：放倚天屠龙记哦。他们说：哦。然后讪讪的想起 咦 他们又不爱金庸武侠。            
(4星)	 小学那会儿还没觉悟到咆哮体            
(5星)	 最迷人者杨逍也。            
(4星)	 只为孙兴的杨逍。。。。            
(NA)	 周海媚的芷若一直是我最喜欢的版本话说当时年纪小，第一次看见叶童，第一个反应竟然是她是女的？！实在是……            
(4星)	 杨逍是王道~            
(4星)	 这版本的杨逍是经典！            
(3星)	 教主~            
(5星)	 5星杨逍            
(4星)	 中意CAST            
(4星)	 一星给孙兴            
(4星)	 小时候的疑惑是为什么许仙又变成了女的。。。            
(4星)	 杨逍和周芷若 绝了            
(3星)	 马景涛的演技般般，比之苏有朋的逊色太多。只记得“来也匆匆，去请冲冲”            
(4星)	 这剧快成了杨逍专场了啊            
(5星)	 海媚的周芷若            
(3星)	 虽然被很多人奉为经典，也是我看的第一个版本的屠龙记。但感觉诟病不少。也许那个时候需要演技夸张吧。叶童也是最男人婆的赵敏。后来看了书了才发现赵敏不是这个样子的嘛。            
(3星)	 其实觉得这个版不错....周海媚很漂亮            
(5星)	 最好的一版倚天 芷若 杨逍 张真人 赵敏。。。每一个都没得挑            
(NA)	 就从此剧不待见赵敏这个小说人物N年，关键是她演许仙太深入人心，回过头演大美女赵敏没说服力啊，直到现在看书联想赵敏，第一个闪现脑海的还是叶童            
(4星)	 原谅我只记得孙兴了·····            
(5星)	 还是这个版本好看。            
(4星)	 然马景涛很咆哮，但是我却喜欢这个版本的倚天屠龙记，因为我喜欢里面的杨逍             
(4星)	 谁让我先看了白娘子，在童年的我心里叶童就是个男的，直接导致了我看不下去，但是孙兴的杨逍倒是一直念念不忘！            
(5星)	 感觉分数有点低            
(5星)	 看过很多版本的《倚天屠龙记》，这次重新看94版的，还是觉得，这个版本是我看过所有版本里最喜欢的            
(NA)	 说一句吧。马的表演的确是有点过，但却充满激情。后来看了很多电视剧，里面也有表演得很过火的，但因为少了内在的激情，结果只剩下浮夸的表面。            
(5星)	 最好的倚天。            
(4星)	 不喜欢女主角            
(5星)	 今天看了两集邓超版的，有点难过，于是又回过头来看看最喜欢的版本            
(5星)	 最叼版本            
(NA)	 很经典呀，感觉无法超越的经典，超喜欢这个版本的杨逍呀            
(3星)	 曾经的咆哮天王            
(4星)	 后边不给力....但今天回忆了下，确实算我第一部看的武侠剧了！武侠梦啊！看看每集开头的歌曲MV就好了！            
(2星)	 孙兴演的杨逍是唯一的亮点。            
(NA)	 眉间放一字宽，看一段人世风光，谁不是把悲喜在尝？            
(5星)	 很喜欢93版的，剧本好，演员演得也好，配乐也恰当好处，堪称经典！            
(3星)	 一直觉得周芷若就是这版里的周海媚 孙兴的杨逍很不错            
(5星)	 看一段人世风光，谁不是把悲喜在唱……经典记忆。            
(4星)	 这部倚天拍出了完美的杨逍！帅气无极限！这可能也是周海媚演绎最成功的一次，就连咆哮哥也比较好得诠释出了我心目中那个无能的张无忌。歌曲也都是经典            
(5星)	 虽然男猪是咆哮帝，但是小时候不觉得咆哮有啥不好~~现在听大家骂多了，还是有点嫌弃咯~~还有周海媚、陈孝萱都是我很喜欢的女演员~~~差点忘了！潇洒不羁的杨逍也是俺的菜~~很奇怪，从小我就喜欢电视剧里的大叔~~~加上两首主题曲和片尾曲都是大爱~~~            
(4星)	 少了一星是因为叶童一点都不适合赵敏！！更不适合殷素素！！周海媚是我心中永远的周芷若！！！！            
(3星)	 我喜欢教主我会随便乱说吗？            
(5星)	 其实周海媚长得确实很媚，只是当年，因为周芷若这个角色，就不喜欢她。。。            
(4星)	 这个算是我内心认可的一个版本，只除了赵敏，因为才看过叶童的许仙实在无法接受。杨逍，芷若就是经典。还有里面的歌也好听，小时候可迷了。            
(5星)	 我的杨逍。我的芷若。            
(4星)	 歌曲很好听，杨逍很喜欢            
(5星)	 很欢乐            
(NA)	 这版的周芷若太棒了！~            
(4星)	 孙兴演的杨逍太惊艳了！！周海媚版的周芷若也很经典啊，当然少不了教主的狮吼功！            
(5星)	 每个角色都很经典            
(NA)	 一见杨逍误终身周末又看一遍，又中一遍毒            
(NA)	 记得小学毕业那年，帮同学过生日，还唱了主题曲，奇怪那画面现在还留在脑海里            
(3星)	 当年周海媚拌的周芷若很是楚楚可怜~            
(5星)	 经典款。            
(5星)	 这是我最喜欢的版本诶            
(4星)	 这个分数是打给杨逍和纪晓芙的。电视剧横生了太多枝节            
(5星)	 我最喜欢的4个男人总不过郑少秋刘德凯马景涛何家劲，最喜欢的女人周海媚杨丽菁。芷若妹妹的好印象连带高圆圆版也超爱，神似！            
(5星)	 咆哮吧！            
(4星)	 周芷若和杨逍是亮点            
(5星)	 最经典版本            
(5星)	 最喜欢纪晓芙和周芷若 他们爱的深沉 爱的执着 有女若此 夫复何求            
(3星)	 这个版本根本不是我的菜 OH NO~            
(5星)	 毫无疑问这是最棒的一部啊。我挺喜欢教主的。叶童稍微有点……            
(4星)	 看看这里面教主的表现            
(5星)	 为了杨逍~给5星~            
(NA)	 孙兴版的杨逍!史上最经典的逍芙恋1            
(4星)	 小马哥！ 当时一直以为叶童是反串演女人。。            
(2星)	 叶童在我心中一直是个男人            
(4星)	 咆哮教主的这版倚天是我最喜欢的            
(5星)	 就是我看的那版倚天屠龙记。            
(4星)	 马教主演戏太用力了，倒是孙兴巨帅，想到张铁林就泪流满面。小时候觉得真好看            
(3星)	 当时就觉得咆哮过度了。。。。。。            
(3星)	 那时还没人注意马景涛的咆哮功……            
(5星)	 小时候看这个，觉得孙兴好帅；长大后回想，觉得自己重口味...            
(4星)	 也是最早看过的《倚天》版本，对有些场景印象极深            
(5星)	 我是这个版的            
(5星)	 记忆犹新的是芷若由爱生恨,到绝决,给我印象很深刻。叶童演的赵敏,根本就觉着是许仙在那            
(4星)	 曾经最喜欢周海媚            
(5星)	 左使最高！要是让焦猫儿来演范遥，就更完璧了~-w-            
(3星)	 教主的片子.........            
(4星)	 现在无忌已经成为了教主…………            
(4星)	 很小的时候看过的版本  当时还不太懂            
(4星)	 这里面孙兴好帅            
(4星)	 教主当年神功初成            
(5星)	 杨逍挽救了这部剧啊！            
(4星)	 我只能说孙兴扮的杨逍实在是太帅了，真是演活了这个人！            
(5星)	 经典            
(4星)	 如果能把叶童换成黎姿  然后小马哥少咆哮一下就完美了             
(4星)	 喜欢周海媚的芷若和陈孝萱的小昭。当然无冕之王是孙姓少年的杨逍啊啊啊            
(4星)	 那是多久的事了~~经典，算是吧            
(3星)	 教主。。。            
(4星)	 记忆中美好 only for 周海媚            
(NA)	 小学时的回忆            
(5星)	 教主威武            
(5星)	 杨逍！！！！            
(4星)	 就这版倚天最好 芷若 杨逍更好 and 刀剑如梦            
(2星)	 每次看到这种电视剧，我就有点很无语。不过貌似周海媚的周芷若是很经典。            
(NA)	 = =            
(3星)	 叶童的赵敏接受不了，看到她就想到许仙            
(2星)	 很小了，没看完也印象不深，只记得某场景某某问了一句周姑娘怎么会变成这样            
(5星)	 小时候觉得挺好看            
(5星)	 这可以说是最成功的一部倚天屠龙记。。之后的几版都不行。。这版的杨逍和周芷若是无人可以超越滴。。。            
(5星)	 记得小学跟同学一块利用周二下午的二课堂时间逃课到她家一块看，鸡冻，印象很深张JZ在众人跟前让芷若刺他那一剑，可喜欢芷若了，天人呐，那时候不了解整个剧情，更甭提原著了，张JZ跟许仙怎么看怎么气，愤不平。现在不会了。但还是看着叶童的敏敏有股子别扭劲。虽然演的好。逍芙剪辑，必须的。            
(3星)	 这部片子最有感觉，着迷于杨不悔。。            
(4星)	 那时候觉得周芷若很美            
(4星)	 虽然很经典...但是一想起教主还是..噗            
(4星)	 教主 - -            
(3星)	 周海媚            
(3星)	 一干好演员挽救了这部戏 当然没有马教主            
(4星)	 这部剧意义很重大            
(4星)	 教主！！！！！！！！！！！            
(5星)	 每个暑假必放必看            
(3星)	 不咋地            
(3星)	 周海媚阿!奠定了我只喜欢芷若.叶童阿!奠定了特烦赵敏!            
(4星)	 教主集大成之作！吐血推荐！            
(4星)	 小时候一直是通过美丑来定人角色好坏的....一直就困惑 张无忌怎么就能甩了周芷若跑去跟男人一般的赵敏好了呢.....            
(4星)	 最帅的杨逍！            
(3星)	 那首主题歌红了好多年……但是台剧实在太拖沓了！！            
(5星)	 六颗星。给赵敏，给杨逍，给小昭，给纪晓芙，给杨不悔，给周芷若，给蛛儿，给朱元璋，给赵季平！            
(4星)	 跟着奶奶一起看的，基本上真心觉得周海媚到最后很癫狂啊，怎么就美了呢？！@Home            
(4星)	 景涛依然咆哮，但是我爱杨逍！！            
(3星)	 我爸说，教主那个口袋里面总备着半个馒头，饿了就拿出来咬一口            
(3星)	 咆哮哥 粗血管 狰狞脸             
(4星)	 刀剑如梦            
(NA)	 六十几集不算短。初中那会还是很喜欢看。记得那时候喜欢周海媚演的周芷若，对叶童演的赵敏，印象还停留在《新白娘子传奇》中的许仙，怎么看都觉得那是个男的。。。实在不喜欢。            
(3星)	 两两相望            
(5星)	 其实这部里面有很多经典，除了人物，还有李丽芬的那首《爱江山更爱美人》。            
(3星)	 鼻孔教主成名之作。            
(4星)	 咆哮派祖师爷驾到~~            
(3星)	 纯为孙兴的杨逍MAKE            
(5星)	 童年的杨逍情结啊            
(4星)	 强烈推荐，非常不错的一部电视剧。            
(4星)	 先入为主喜欢这个版本            
(NA)	 经典景涛兄            
(5星)	 原来哦，叶童好feminine。。。            
(5星)	 孙兴 叶童 周海媚 真好啊            
(4星)	 这部的杨逍和周芷若可以永垂不朽了            
(4星)	 當時非常火紅            
(3星)	 眉间一点朱砂痣--周芷若“不悔仲子逾我墙”--杨逍            
(5星)	 五分给孙兴，五分给周海媚。最有魅力的男人和最美的女人            
(5星)	 几乎所有版本的电视和电影版本都看过了，还是最喜欢这部，虽然马景涛减了些分数，不过叶童的演技已经弥补了一切，虽然她不是所有赵敏里最漂亮的一个。周芷若也最美~            
(NA)	 当年觉得很喜欢周芷若啊            
(4星)	 除了咆哮哥每一个人都演得好棒            
(5星)	 无敌了~此版杨逍此版纪晓芙此版小昭此版吴宝玲服装美术此版配乐此版刀剑如梦此版电影般质感~大爱啊！~几乎构成儿时对武侠的全部印象~            
(3星)	 叶童的赵敏。。。无感。。。            
(5星)	 顶，心中的灭绝 不解释            
(3星)	 比较一般。            
(5星)	 教主年轻时的风采            
(5星)	 那时候教主形象还没深入人心，可能是当时很小的关系，对此剧印象深刻，特别是主题曲            
(4星)	 里面印象最深的是周芷若。            
(5星)	 虽然我觉得马景涛的张无忌很烦，但是原著也是这种感觉，所以ok。这一部我觉得最好的地方就是结局对朱元璋篡夺明教大权剧情的修改，合理了很多。原书莫名其妙张无忌就不干跑了。            
(3星)	 那时候的感情再深也抵不过马教主和叶相公给我的冲击。只是一直喜欢那时候的周海媚。            
(3星)	 一部电视剧看了我两个月，一天一集。            
(4星)	 如果赵敏不是让叶童演 我会给5星...            
(5星)	 童年的回忆啊~~~            
(3星)	 我很喜欢他的杨左使～忘记他叫什么名字～            
(5星)	 看了这么多版本，依然不爱赵敏。无忌是个感情悲剧            
(5星)	 感觉所有版本里面最好的一部了，叶童演技很好，马景涛虽然还是撕心裂肺，不过发挥的还算正常，最大的亮点是孙兴，配乐和歌曲也很棒，上乘之作，如果能缩减一些啰嗦的情节就更好了            
(5星)	 老鼠啊一见杨逍误终身是他们说的我很同意T^T            
(4星)	 孫興的楊肖深入人心吖，其他版本都比不上了～海味的芷若相當經典，後面看高圓圓也很有海味的氣質吖，葉童是個好演員，不過毀了我對趙敏的所有可能的好印象⋯⋯所以從此高舉芷若大旗，結果後來看高圓圓和賈靜雯版本弄到我糾結不已⋯⋯            
(5星)	 小时候挚爱的武侠 最爱周海媚。。。            
(NA)	 杨逍杨逍杨逍杨逍杨逍杨逍。。。。。还有周华健的主题曲很不错。            
(5星)	 我和许仙的内点事儿            
(4星)	 虽然马景涛哭得比较恐怖。但是他的形象很符合我心目中的张无忌。周海媚演的周芷若也相当好。觉得让叶童演赵敏形象上差一点。            
(4星)	 孙兴帅惨啦 啊 啊啊啊啊啊啊            
(4星)	 一星杨逍，一星纪晓芙，一星配角美女如小昭朱九真，一星OST。其实咆哮马是我心目中的最佳张无忌。            
(3星)	 想不通为啥叶童要演赵敏。。。。            
(4星)	 咆哮马原来还演过张无忌，我无憾了            
(4星)	 又在看重播，我小时候的哭点和现在相似啊，台词我都记得。这是我最喜欢的一版。另外真是想感叹一下好剧本就是好剧本啊，严丝合缝            
(4星)	 景涛~            
(5星)	 1，这个片是1993年的，勉强可以说94年；2，这片里的孙兴和大多数人印象中不一样，其实并不怎么因为杀猪刀。。。人家本来演正剧出身的。。。但是其实家有仙妻1在这个倚天前就拍了。。。只能说人家戏路很宽真的很强= =；3，为神马剧照里一张赵敏都没有。。。叶童老妩媚额！！！            
(5星)	 那时还在读初中，偶的青葱岁月。。。好稀饭美艳的芷若mm，倜傥的杨左使，除了许仙版赵敏有点接受不了。。。            
(5星)	 你从我小的时候就咆哮 对我影响不大 只是苦了众美女们 周海媚挺好看 只是觉得近视应该治一治            
(4星)	 入门必看 重温n遍中            
(4星)	 小时候看这个电视剧才知道叶童原来是女的……爱死孙兴版的杨逍了，纪晓芙你选的没错~~            
(4星)	 瑕不掩瑜            
(NA)	 - -要不是电视在放，我都忘了马景涛还演过张无忌呃……孙兴的杨逍是看着最顺眼的            
(4星)	 孙兴的杨逍是亮点            
(5星)	 突然发现这个我竟然没有记录过，想当年晚上偷偷爬起来看。            
(4星)	 对咆哮马极度恐慌，但此剧还是经典啊            
(3星)	 我竟然看过……实在无法理解叶童和周海媚有可比性吗？！杨逍确实不错            
(4星)	 被杨逍迷死了导致直接忽略纪晓芙死掉以后的剧情了            
(4星)	 减一星因为叶童演的赵敏            
(4星)	 这么多个版本，最后都翻拍到让人恶心地步，还是这部最经典~            
(2星)	 马景涛太可怕了，叶童演的太用力了，周海媚的眼睛瞪大了太吓人了            
(3星)	 看白娘子看多了，怎么看叶童都觉得她应该是男的。。。。。。。。。。。。            
(4星)	 孙兴的杨逍令人印象深刻。            
(4星)	 记忆的重量。            
(4星)	 小时候的记忆，经典            
(4星)	 我知道大家都是冲着杨逍来的。。。            
(4星)	 之二            
(3星)	 孙兴周海媚都蛮经典的            
(5星)	 喜欢周海媚！！            
(5星)	 好看~            
(3星)	 无论如何，此版贡献了孙兴版的杨逍，让人沉吟至今。            
(4星)	 孙逍            
(3星)	 周海媚            
(NA)	 我总是穿到青蛇去……叶童一女扮男装，就传到新白娘子去了。教主真是有把一切戏都演成苦情戏的素质啊            
(4星)	 一见杨逍误终生。。。            
(4星)	 咆哮马当年还是不错的。。。这版周芷若真是太美了。。。            
(3星)	 景涛兄。。。            
(5星)	 俺当年是多么的喜欢啊~~当年咋觉得周海媚的周芷诺这么美丽捏。。。现在真不理解。。。            
(1星)	 最差的一版。。。            
(5星)	 看原著前先看的这部，于是先入为主，认定张无忌就是马景涛这样的，非常痴迷，并因为喜欢叶童而非常喜欢赵敏。            
(4星)	 老版本了。印象最深的除了四位主演，还有那首主题曲。            
