http://movie.douban.com/subject/1418660/	大长今 대장금
(5星)	 超爱闵大人            
(3星)	 憋闷            
(5星)	 羡慕长今得到的那种心心相印的爱情            
(4星)	 用心！            
(5星)	 和《加油！金顺》并列作为韩剧励志之最            
(1星)	 墨迹！！！            
(5星)	 hao              
(5星)	 啊~~！！绝配            
(4星)	 我看过的仅有的韩剧之一，韩剧实在太磨人的性子。。            
(3星)	 只是用來送飯的肥皂剧            
(3星)	 还是多弘扬一下中华文化            
(3星)	 此剧看一遍即可            
(4星)	 噢～～当年大长今真的是风靡中国啊～～由于基本上是从医的部分往后看起的，前面做小宫女的时代基本上没看，主要是太长了，也不想到过去看主角受罪            
(3星)	 青春励志片            
(4星)	 还行,看一遍就好!            
(3星)	 是李英爱让这部片子红了,但是剧情却让我不乐意重复再看            
(1星)	 虚伪,虽然歌还值得一听.            
(4星)	 拖沓，但也感人，乌拉拉            
(3星)	 杜绝了一切可能...演的很彻底!            
(4星)	 我一直想轻松的活着            
(4星)	 看到很多，只要有很多时间            
(5星)	 相当棒。            
(3星)	 木有看完，太长            
(3星)	 算我看过            
(4星)	 看电视剧掌握美食与医学常识，哈            
(4星)	 最喜欢教长今医术那个医女            
(NA)	 传递出韩国文化中的诚实和谦和。什么是真正对人的情义？什么是要追寻的目标呢？            
(NA)	 从此我爸开始看韩剧            
(5星)	 很好看            
(3星)	 干净得让人不敢轻易相信～            
(2星)	 真tm啰嗦！            
(NA)	 感动于长今执著的信念和政浩对她的无私的爱。            
(2星)	 太浪费我时间            
(4星)	 我们的对外文化宣传策略真应该好好学习一下人家，免得我在韩国的哥哥姐姐老被问道“你们国家有手机吗？你们学校有钢琴吗？告诉你，这是DVD机”窝火～～            
(3星)	 发疯一样的看这部热播得片子！            
(NA)	 有个性的，善良的，有爱心的            
(3星)	 。。。不是电视剧嘛？            
(3星)	 拖死人```长今真能忍！真想帮长今说话            
(4星)	 下载看的。好长啊，不过还是不错的，起码陪我过了最痛苦的日子            
(4星)	 生活中没有这么完美的,善良的最后总是失落,而有心计的总是得意.            
(5星)	 大长今            
(3星)	 長今一定食左長氣散,崔尚宮係明朝就已經識做滿漢全席,真係好野            
(4星)	 可以看看，就是太长            
(NA)	 好看~            
(5星)	 鬥爭的部份雖然狗血了點，但還是好看            
(NA)	 墨迹啊            
(5星)	 画面和道具很精致，歌曲也很好听，励志大戏，除了几个剧情点和历史知识BUG，应该没什么大的错处。            
(4星)	 韩剧励志的经典            
(3星)	 我只是因为闲得无聊了而已= =            
(2星)	 补遗            
(3星)	 我妈妈的最爱            
(3星)	 就记得各种韩国料理了……            
(NA)	 大家都看大长今。。。            
(3星)	 记得是春哥最风光的那一年，连春哥都唱大长今啊。            
(NA)	 不解释。。。。            
(1星)	  难看            
(5星)	 整个寒假又看一遍。。太励志了！！！！            
(4星)	 陪妈妈看的。            
(5星)	 好多吃的            
(4星)	 曾经疯迷。~\(≧▽≦)/~            
(NA)	 当年声势浩大的一部韩剧，满大街的“乌啦啦，乌啦啦……”            
(4星)	 这部片子里有很才气的女演员们~~            
(4星)	 韩剧好就好在传播了韩国的很多东西,拍起来显得很精致            
(4星)	 暑假的时候每天都要和我妈一起看，看到12点然后去睡觉，然后想着下一集会怎么样。。。。。。            
(5星)	 哈，请来看看吧，感想要比我活得长吧            
(NA)	 李英爱很有气质 经典韩剧！！！            
(4星)	 特喜欢看她们忙活着做饭            
(5星)	 蛮好。            
(4星)	 小学的时候晚上看到很晚不睡觉=A=            
(NA)	 三年级的时候我把它看完了…………………………………………………………            
(4星)	 补圈            
(5星)	 这么长一部电视剧我几乎从头到尾看过两遍，一直喜欢            
(5星)	 长今已是自强不息的代名词            
(4星)	 看过的为数不多的韩剧，喜欢李英爱，还可以。            
(5星)	 突然又想起了这个片子。于是现在最遗憾的事情是：电脑的光驱坏了。            
(5星)	 我觉得最好看的韩剧，看了五六遍吧~高三和找工作的时候绝望了就看看            
(NA)	 長長長到不想看,不是我媽在追,根本就不可能看到結局            
(3星)	 如果减少二十集，可能会增加一颗星。。。            
(4星)	 爸爸说一定要像她一样隐忍。            
(4星)	 佩服当时自己的耐心 但是剧集确实也不错。            
(5星)	 曾经很喜欢 很喜欢的电视剧            
(4星)	 很励志~            
(4星)	 跟妈妈一起一集一集看完的，现在叫我看我就不看了，太长了。不过里面很多膳食啊、信念啊、争斗啊、爱恋啊还是很吸引人的~            
(4星)	 被良善、正直、温柔、负责任的长今所感动…真长啊！            
(4星)	 好看，李英爱好看            
(5星)	 复仇复仇复仇            
(4星)	 励志大片，10年经典！            
(4星)	 很多没看。。真的很想看完。。            
(4星)	 哇咔咔，從那時候愛上芒果台呀！！            
(5星)	 這個是韓劇的經典我堅信。。（可是像裹腳布一樣長弄得我每次在電視上都看不到結尾！            
(4星)	 今晚心血来潮重看了几集。            
(NA)	 长今和闵政浩的爱情很动人            
(3星)	 李英爱美眉~~            
(5星)	 TAT            
(4星)	 听说是韩剧分水岭的作品。当时狠狠抱着电脑夜夜看完，韩剧的励志和煽情桥段都见一般，之后果然进入阅韩剧无能的低潮期。本片一定程度上具有韩餐丰富美观，爱情摧枯拉朽的欺骗性。            
(5星)	 人生起起伏伏，涨涨跌跌，失意的时候看看这个，从第一集到70集，还有什么是不可战胜的，倒霉的孩子已经看了好多遍了。推荐对2011充满遗憾的孩纸，还有对2012充满困惑的孩纸，春节长假一气看完，必有收获。            
(5星)	 最喜欢的电视剧之一            
(4星)	 长今好励志的啊啊！！！最喜欢看做料理了~！            
(4星)	 初三的那一年，湖南卫视首播。。买了碟回来看，我并不爱看韩剧。。但是对此剧欲罢不能。。            
(4星)	 就是标注‘看过’一下。——现在的我说不太出当时看好后的感觉了。印象中有加分的闵大人。没看时我期待传说中的美食，看好后我发现美食连陪衬都算不上。好吧，大长今是圣母女主的励志片。而且我对韩国菜完全没抱任何期待了现在。            
(5星)	 当初是多么热切地追啊，长今之后对韩剧变审美疲劳了            
(4星)	 李英爱漂亮~            
(3星)	 噗！！！            
(4星)	 当年和老妈一起看的            
(5星)	 让人感悟至深，可以学到很多人生道理。            
(4星)	 超喜欢韩尚宫&gt;&lt;朴恩惠也好漂亮★★            
(5星)	 高考的时候把大长今磨完的...            
(5星)	 老娘第一步韩剧            
(5星)	 不用多说            
(4星)	 看的韩剧屈指可数，大长今还是带来很多感动            
(4星)	 多年前看的一部韩剧了，当时惊讶宫廷戏也可以从这种角度拍。那时正在复习考博，同时想着应该怎样进入历史怎样了解古人的想法怎样继承传统，看了这片子，有种豁然开朗的感觉。于是。。我的研究兴趣越来越世俗化日常化了。自此剧，喜欢上了韩国古装剧：比较靠谱的人物造型、更新了的儒学观念。            
(5星)	 还是要天赋的。            
(5星)	 看过最好的韩剧，甚至是最好的电视剧之一。人物的个性十分鲜明，剧情尽管拖拉，但拖得来也有发展以及充分的推动力。            
(2星)	 抻死人了！！            
(5星)	 乌拉拉乌拉拉 ……李英爱太美了……            
(5星)	 看了不知道多少回，是我的精神力量。            
(1星)	 看过一集就看不下去了，韩国你们除了敢在电视剧里给自己贴金还能干什么。            
(4星)	 初中时候看的，不过爱情情节交代不够全面            
(3星)	 乌啦啦乌啦啦            
(4星)	 长剧很少看，看过的长剧之一吧~            
(5星)	 小学的时候看的大长今，现在依然对旋律念念不忘。这是一个时期的回忆，告诉我复杂的人生，以及，恶终将有恶报。当我为长今的敌人全部惨死而高兴时，心中也有一丝惆怅。冤冤相报何时了！还是做一个好人吧！            
(4星)	 风靡到不能不看 一直觉得是林青霞当女主角啊 。。。            
(3星)	 李英爱老得飞快。            
(4星)	 长针！是你吗长针！            
(5星)	 郑尚宫娘娘!!            
(4星)	None
(5星)	 怎么能没标过！！！啊啊啊必须给五星！！这让我爱上了做菜！！！！            
(4星)	 当年红遍东南亚，男女皆宜老少通吃。为韩国料理打开亚洲市场保驾护航。。。            
(5星)	 我当年的大爱啊~~还为了这部电视剧去图书馆借了几本书做笔记摘抄啊，去图书市场买了本小说~~~            
(5星)	 当年租了碟陪老妈一集一集看啊，好看。最爱历史剧了            
(4星)	 厨艺，宫斗，励志……难怪当年两个电视台为独播权争的你死我活的……            
(4星)	 居然没有标这个。剧集这么长还陪着老妈看了一遍又一遍。里面的皇上真是吃货啊，每次出场都可以不停的吃东西。            
(3星)	 纯粹为了美食给个分            
(3星)	 啧啧长又苦情            
(5星)	 其实我更喜欢连生。感觉她可以为了长今做任何事情。尽管外表很柔弱很无力。            
(NA)	 韩剧都是和麻麻一起看过的            
(3星)	 無感~我媽很喜歡~            
(4星)	 考学期间穷追不舍的一部肥皂剧            
(5星)	 看了六次            
(3星)	 又是一部很长的韩剧，陪妈妈看的。            
(3星)	 太长了~~            
(5星)	 最好只看一遍！            
(5星)	 我家还有碟..            
(4星)	 好看就是好看~没有什么好说的~            
(4星)	 乌拉拉乌拉拉            
(3星)	 太长啦······            
(3星)	 吖……还是看的华娱台！现在竟然收不到华娱！            
(1星)	 我也奇怪当年看得会那样苦逼。。。            
(4星)	 这剧当年好火啊，老幼通杀，女性的完美励志。多一星给干净温婉的李英爱。            
(NA)	 2005. 7     ~2005. 8              
(3星)	 各种xx都是棒子的有的反感。            
(5星)	 第一感觉励志这个词原来真的存在。            
(4星)	 初中的时候每天都看，突然又想再看一遍了，好怀念长今小时候学做饭的故事。            
(3星)	 我不仅看完了，而且看了两遍！            
(5星)	 6年前看的，这几天又重温了，虽然是长剧，但是节奏非常紧凑，情节跌宕起伏，很好看。闵政浩真是太完美的男人了，现实中不能有。            
(3星)	 煮菜~~            
(5星)	 很喜欢啊...学到很多东西            
(5星)	 最喜欢的电视剧！            
(3星)	 不可以，绝对不可以！            
(4星)	 第一部看完的韩国史剧。            
(4星)	 当时风靡，疯迷            
(3星)	 以前天天追这货            
(3星)	 初中时看过。这些天室友在看于是也跟着瞄了下。拖拉，略狗血，基本编剧想怎样就会怎样的感觉，不明白这部片当年是怎么红的。画面色调倒是挺好看            
(4星)	 。。。。。            
(5星)	 好吧，蛋定的表示经典啊，确实很励志            
(3星)	 当年我也看过电视剧。            
(5星)	 这也是一部必看韩剧。当年它大红大紫时，我并没有看。过后觉得应该了解一下，就看了，看完的感觉是：果真有它红的道理。闵政浩说：“没关系。”这是世界上最美的情话。“这就是我爱慕她的方式。”有哪一个男人，能为了一个女人的事业和尊严付出这么多？“你的才气，竟然变成你的毒药！”很有警示意义。            
(4星)	 天朝的宫廷剧不知道有多少抄了这个哦。。。            
(5星)	 一个关于食物与医术的故事，同时也有美好的爱情，很稀饭啦。。。            
(4星)	 不错，就是太长了！韩剧啊~            
(4星)	 那些晚上写完小学作业守在电视机前看电视剧的日子再也回不来了。            
(NA)	 陪妈妈看的片            
(4星)	 一个朋友非常喜欢这个片子所以赶在作业特别多的这个时期补完了，好在剧情缓慢边写作业边听也毫不影响。无比同情今英。            
(3星)	 都是做菜的~思密达            
(4星)	 当年非常喜欢。但是长今太好了，怀疑现实中是否存在。            
(4星)	 实在是太长了太长了太长了木有看完木有看完木有看完            
(4星)	 突然想起来看过这个…            
(NA)	 一家人一起看啊。三代同堂啊 每天做完作业 就和爸爸妈妈外公外婆一起看。妈妈说 多看会儿 这个是励志的 。虽然我心里想 励志泥煤啊 不过还是觉得不看白不看 哈哈             
(3星)	 曾经深爱过            
(4星)	 小时候不知道怎么竟然看完了。。。我太厉害了。。。里面的针灸竟然成了韩国发明，BS之~里面的饮食是我喜欢的            
(4星)	 红极一时啊            
(5星)	 4.5分吧  喜欢长今他们相互尊敬的爱情 也为王死时注视长今的场景流泪            
(4星)	 当年带给我的力量            
(4星)	 传奇痕迹非常重。可我向往的，也正是传奇——那种荡出生活之外，得以翱翔的瞬间快感。这一遍观看，令我注意到每个人的可悲之处。相反，长今是最幸福的吧。            
(NA)	 喜欢看他们做饭            
(5星)	 李英爱有气质。            
(5星)	 绝对经典的韩剧！            
(NA)	 居然忘记标看过233            
(4星)	 感人啊            
(4星)	  李英爱             
(5星)	 非常经典。就是有点太长。            
(2星)	 我当时看到里面的料理就想 这能好吃么 当泻药还差不多。。。            
(3星)	 乌拉拉乌拉拉            
(4星)	 稍微有点拖 不过除此之外非常好看            
(4星)	 高中时大热的“大长今”，貌似在台湾还是香港的收视超高，后来电视上也放了，其实还好啦，不过拍的是挺精致的，就是速度有些缓慢了。            
(5星)	 唯一一部从头看到尾的韩剧！怀念曾经的长今励志~            
(4星)	None
(NA)	 陪我妈咪看的……            
(5星)	 这辈子只看过这么一次芒果台            
(5星)	 初中时候的热潮啊            
(4星)	 写韩剧对中国的影响的论文~来回顾下~~~            
(3星)	 耐着性子陪妈妈看完的，承受不住美剧的快节奏，但韩剧也太慢了。。。            
(NA)	 补全.            
(5星)	 好看！！！！！            
(5星)	 对于这么好的一部连续剧，还有必要解释吗？            
(3星)	 这是我什么时候看的            
(4星)	 忒长了。。。。            
(4星)	 感觉又精致又拖沓            
(3星)	 啧啧 抛弃了            
(NA)	 真长啊。。。大长巾            
(4星)	 泡菜文化就是经典啊 超级励志的剧情啊 ~            
(3星)	 初中时候跟家里一起看的 歌曲非常火            
(5星)	 挺励志的            
(5星)	None
(5星)	 非常喜欢。一口气看完的连续剧。            
(5星)	 典型的励志片，又好吃又好看。            
(4星)	 好励志呀！看完跟打了鸡血似的！向长今同志学习！敬礼！            
(4星)	 当时电视机打开就在放~很励志~看李英爱做菜也很养眼~就是长的令人愤慨，节奏也慢的令人愤慨。。。            
(4星)	 和家人的观影记忆            
(5星)	 亲情~友情~爱情~励志都体现得那么好！也让大家认识到了饮食和中医文化！            
(4星)	 我记得某个国庆节一天看7－8集在家里－ －            
(4星)	 以励志的名义跟爹娘要求看的，那时每天学习的情况下晚上看两集大长今就很满足了 (*^__^*)  。一段时间内脑子里都是“乌拉拉~乌拉拉”            
(3星)	 高一就因为看这个考了倒数第一            
(5星)	 给了我很多希望和力量的长今            
(5星)	 记得很喜欢长今小时候那一段。            
(4星)	 偶当年最喜欢的韩剧~不知道为什么，还买了小说来看~            
(5星)	 我的最爱，小学必追            
(5星)	 只看过这一部韩剧。记得小时候大半夜没日没夜的追，大结局那天因为要开学了所以没看成，一直挺难过的...            
(5星)	 这是老纸喜欢的第一部韩剧阿卧槽 好励志阿 第一次看的时候刚好是郑尚宫死了 后来又重新看了很多遍 还是好看            
(3星)	 泡菜国料理无爱            
(3星)	 励志            
(3星)	 哈哈哈哈，高三那会，晚晚等湖南电视。            
(3星)	None
(5星)	 我居然连这个都忘记标记了我错了！            
(5星)	 最好看的韩剧。            
(5星)	 想成为大长今。            
(4星)	 那年湖南台播看的，确实蛮不错的，而且是为数不多的看的国语版的，喜欢闵大人            
(5星)	 唯一看完的一部韩剧，唯一看第二遍的韩剧            
(5星)	 励志啊！            
(4星)	 我的天！剧是不错了，就是那会儿满大街的武大郎啊武大郎那个音的歌            
(4星)	 能带给人温暖向上力量的历史剧真不容易。            
(5星)	 又看了一遍,真的很励志啊！！真的很登对儿啊！！！            
(4星)	 ....真心，这种剧能再拖点不。。哎，不过真是各种吃啊~~口水            
(NA)	 我看的第一部韩国古装剧。。            
(5星)	 励志，于我是最重要的。            
(4星)	 曾经一直跟进的一部tvb的热播剧片 还是我初三的时候！            
(4星)	 我看完了吗？最后感情线还不错...            
(4星)	 好长，但是很让人励志，女主角崎岖的人生路，所有的不幸让人忽然感觉生活很艰难。但是，长今有振奋人心的特殊能力，仿佛在看的时候给人坚定的信心。            
(4星)	None
(5星)	 励志必备            
(2星)	 不好看啊            
(1星)	 那年夏天 全中国不是在看春哥就是在看这个韩国厨娘            
(4星)	 真是唯一能看得下去的韩剧= =            
(5星)	 期待电影~            
(5星)	 这居然是03年的片子了，好久远~            
(5星)	 重温　            
(NA)	 wu la la~~             
(4星)	 真的是我妈一起看的。。。            
(5星)	 很好的励志剧～            
(5星)	 人家男女主角30+集才第一次牵手50+集才第一次拥抱！！全70集没一个KISS我却怎么觉得人家的爱那么深沉呢！！！！            
(3星)	 相当年啊想当年..放现在我能有耐心看56集??            
(4星)	 当年看的时候还是满喜欢的            
(NA)	 没日没夜的看啊            
(4星)	 当年好迷这个            
(4星)	 和萝莉讨论的时候发现这也是我唯几看过的韩剧之一啊            
(5星)	 灰常励志灰常感人的罕见的韩剧            
(5星)	 挺喜欢            
(4星)	 此剧至今收视率没被打破            
(3星)	 根本没看完            
(4星)	 这么长的剧集就看下来了，真佩服自己。            
(5星)	 高中时代的好剧~~~            
(4星)	 那时候妈妈喜欢看就常跟着看            
(4星)	 武大郎、武大郎，挨猪打。挨打啦挨打啦，挨猪打啦。            
(5星)	 一部有许多精神值得我学习的电视剧            
(3星)	 太长了··························            
(4星)	 Darling~多暧昧的一声大人 长今完全是全能啊            
(2星)	 难听死了            
(2星)	 这种历史剧反而显得做作搞笑            
(3星)	 第二部分有点假。唉。长今哟。总体还挺好的。            
(4星)	 励志，坚持与爱情。除了如以往韩剧的拖曳之外，其他的无可挑剔。            
(4星)	 初一时候看的。诶呀，年龄又暴露了。            
(5星)	 初中时看的 第一部韩国历史剧啊...            
(4星)	 有着很多回忆的一部剧 虽然太过拖沓 但是音乐还有男女猪脚的表演很赞 还记得05年的某个凌晨十二点自己在车站等车去广州 站里在播这部剧 漫天雪地里男猪脚背着女猪脚 很幸福很幸福 之后一直记得这个场景            
(4星)	 在当时掀起了看韩剧的狂潮            
(4星)	 跟爹妈看过            
(4星)	 从第一集一直追到最后啊~~我也佩服我的毅力~            
(NA)	 和我妈一块儿看的            
(NA)	None
(5星)	 醫生&amp;廚娘            
(NA)	 第2集未完，弃。（虚荣心）            
(4星)	 当年火滴不行不行滴~~~~            
(3星)	 虽说不完整，也算看过的            
(5星)	 我外婆都记住的棒子剧~~不给五星不行啊~            
(4星)	 当年是9月1号上映的，所以评这一点就很可以吸引我了。            
(3星)	 哈哈 这个思密达            
(3星)	 棒子的励志精神~            
(5星)	 高丽的古装剧堪比香港古装剧。            
(4星)	 7.5/10            
(3星)	 好长啊。。。            
(4星)	 想当初学业紧张时我还看完了！！            
(4星)	 大妈大婶看又如何            
(3星)	 什么时候中国可以拍出一部这样的电视剧，一边用爱情和宫廷斗争来吸引观众，又可以宣传本国传统文化到如此程度。            
(3星)	 看着还真有食欲。。。            
(5星)	 我真心被皇上感动了。            
(5星)	 是真是假，总归还是有人相信努力就有好结果            
(4星)	 剖腹产就这样曲折的诞生了            
(4星)	 还是不错的。            
(5星)	 从头看到尾 好看            
(NA)	 今天我怎么了= =……突然开始mark起韩剧来了……            
(3星)	 吃得不错。            
(4星)	 还是很励志的             
(3星)	 随波逐流，跟着妈妈看的- -。            
(3星)	 对于常看韩剧的人来说，这部片子能这么红，太夸张了 不理解            
(5星)	 我是韩剧盲。我真的很喜欢长今。还看了长今的书。            
(4星)	 当年火爆程度，让我想起还珠格格，哈哈            
(3星)	 好长，幸好是看得盘            
(5星)	 大长今和闵政浩的爱情很感人。            
(5星)	 挺励志的吧，李英爱.......            
(3星)	 不明白的火            
(5星)	 最近又看了……            
(1星)	 尼玛  不要脸的棒子！            
(3星)	 看过的最长的电视剧。            
(2星)	 以前看过一点吧。实在受不了韩剧。            
(4星)	 美食挺不错            
(5星)	 都不知是怎么迷上的，那时是初中。            
(5星)	 灰常喜欢~            
(NA)	 ……            
(3星)	 不是姐姐诶的菜啦~~~            
(4星)	 又是一个想当年！然后转眼去看亲切的金子 给李英爱吓死了。。。            
(5星)	 看过的第一部韩国历史剧 非常好！全家都喜欢！优美的场景 鲜活的演绎还有各种美食            
(5星)	 剧情严谨而跌宕，人物丰满不落俗套，场景服装华美考究、音乐婉转而又绵长。。。一部让我对韩国文化全面改观的、可以用伟大来形容的电视剧！            
(4星)	 再看一遍~~~            
(4星)	 我是多喜欢崔尚宫啊            
(4星)	 太长了。。            
(4星)	 非常励志的韩国剧集，当初湖南台放这个时超喜欢闵政浩，对里面的韩国美食垂涎欲滴……            
(5星)	 终于看完了。。。。真励志&gt;&lt;            
(3星)	 裹脚布。            
(5星)	 好            
(5星)	 哥的童年            
(5星)	 经典呀, 就是有点长            
(5星)	 《大长今》看过不下5次了吧？我自己也不记得。很受感悟的一部电视剧。可以说我买电脑也是因为她。如今我只想说：闵政浩~~你是值得嫁的男银啊啊啊啊啊            
(4星)	 看的时候煎熬，看完后感觉还是蛮好的，喜欢长今和男主角的美好爱情。            
(4星)	 红极一时。            
(3星)	 太长            
(5星)	 超喜欢的。做菜的片子都是我的最爱            
(4星)	 可以看出幕前幕后人都是努力工作的~~魅力~            
(2星)	 ２．５　自己复习中医去吧            
(4星)	 结尾池珍熙和李英爱一段对话非常喜欢            
(NA)	 湖南卫视            
(4星)	 我最近竟然又重温裹脚布一般长的大长今，里面的长今的善良、坚持和专业仍然让我无比的佩服！有着博大精深的食疗医疗的中国为什么就不拍些这样的让大众从中获取一些常识的电视剧呢            
(5星)	 我前前后后看过5遍，我是多爱看啊！！            
(4星)	 不想努力学习了就看看吧···、            
(5星)	 大长今真的很长，典型韩剧，但是每看一次都会被长今感动。别相信什么男人为你系鞋带告诉你密码就嫁了吧，看看闵政浩，你就会明白，一个好男人能为你做的绝对不仅仅是这些！            
(4星)	 好看的            
(3星)	 想当年，我是追着看的。。            
(4星)	 跳着又看了一遍，想起6年前好多事情            
(4星)	 算是一个老少咸宜的经典吧，其实满励志的，而且演出了韩国人做事认真的那种感觉。带着真诚的心来做菜，救人，就可以取得成功。这是现代中国人欠缺的精神呀~            
(4星)	 对自己追求的东西，永不妥协            
(NA)	 喜欢李英爱，是不过分妖艳俗丽，让人舒服的女子。            
(5星)	 記得當初聽到切菜的聲音就興奮            
(3星)	 就那么好看么？ 可能因为我看的不全吧            
(3星)	 看的时候一直有种 为什么要这样 的感觉，主要是太火才看的            
(4星)	 这是我第一部也是唯一一部看完的韩剧，那时是香港台播还在读书实在无聊才无意中看完            
(3星)	 武大郎~武大郎~武大郎~            
(4星)	 巨拖沓……            
(3星)	 - -小学的回忆啊噗            
(NA)	 初二时的电视.            
(2星)	 为什么我会看这个呢。还看完了            
(3星)	 为了美食+美服。            
(NA)	 当时觉得不错，曾今很喜欢长今，最喜欢还是闵大人~笑起来好可爱~            
(4星)	 後面有點無力            
(4星)	 不知道自己是怎么把70多集看完的 要是没有燕子姐姐的泡面和她对电视剧的坚持 估计在大学的黄金时间晚上是挺难完成的任务            
(4星)	 大长茎 乌拉拉乌拉拉拉乌拉拉            
(3星)	 妈呀，这部剧是我躲桌子底下看的……基本上每集都看……绝逼是空虚的！真的！            
(3星)	 唯一一部认认真真看完的韩剧            
(4星)	 每次看都饿。。            
(4星)	 classic, so rate 4, no reason            
(5星)	 匠心            
(3星)	 片子好长好墨迹......            
(4星)	 喜欢的            
(5星)	 高三晚自习回家后先看半小时长今再跟我谈高考的事。            
(3星)	 有人说我像大长今            
(3星)	 看了,很好看,就是长了点,还看了书呢            
(3星)	 太长了            
(4星)	 因为这部剧喜欢上韩尚宫。。。            
(NA)	 乌拉拉~乌拉拉~乌拉拉拉拉~（不断循环）             
(3星)	 三星半，不想四舍五入了            
(4星)	 妈妈喜欢看            
(5星)	 最爱的韩剧，李英爱的气质，精神            
(5星)	 大学的时候看了两遍。真是相当之励志呢。那么长的剧情，我也不觉得拖沓和烦闷。            
(4星)	 美食，想要有人默默守护，也想要默默守护一个人            
(5星)	 不愧是国民电视剧~            
(5星)	 -_-高二那年年少无知的我不可自拔地爱上了《大长今》……            
(5星)	 武大郎武大郎~~~~挨猪打，挨打了挨打了挨猪打了...打了你打了猪，葫芦打地！            
(3星)	 毕竟算是经典            
(3星)	 一般般啊！！！！！            
(5星)	 当初觉得很好来着。            
(NA)	None
(5星)	 唯一一部我愿意追到底的长篇韩剧。由第一集开始，几乎没有冷场。故事的好看，我就不说了。各人物的鲜明性格，还有众演员的优秀演出，成就了最伟大的韩剧。长今的完美、闵大人的义无反顾、韩尚宫的仁怀、崔尚宫的卑劣、今英的挣扎、皇上的宽厚。。。一切让我记忆犹新。            
(4星)	 记得湖南华语都放过，n长，            
(4星)	 从此用心去吃每一口白菜，即便他过不了都就就会变成大便，而这两件事都是我以前从没有想到的            
(4星)	 励志剧！            
(4星)	 太长了一点，但是很有剧情，说不上那么的好看            
(5星)	 励志的~~            
(5星)	 集所有美好性格于一身的你，是所有女孩梦想中最完美的样子，也拥有了最完美的结局。我只希望自己能够保有你那一身无法用言语形容出的坚强与美好，走到最后一刻。            
(5星)	 挺经典的了，呼啦啦呼啦啦~~            
(4星)	 很早以前看的，喜欢长今~            
(4星)	 我觉得大长今还不错啊..有古代衣服看 还有吃的..还有女人吞月亮想要怀孕..            
(3星)	 真是长啊...仿佛看了很久很久...久到都忘记前面的内容了还没看完...            
(1星)	 一个女人经过不懈的努力，终于讨得了皇帝的欢心的故事。            
(5星)	 目标之一            
(5星)	 传递的是一种积极向上的人生态度，以及做人该如何坚持自己的准则和底线。虽然不怎么爱韩剧，但是很喜欢它。            
(3星)	 看到一半就不想看了，太老套的励志故事了。            
(4星)	 很宏大的历史剧……很喜欢            
(5星)	 励志片            
(4星)	 我妈还买了碟片…            
(4星)	 韩国饮食就是石锅……            
(4星)	 就是通过这部剧学会了听白话。我看的是粤语配音的哦。            
(4星)	 不多说什么了。。。只看后继模仿者的数量就知道了。。。            
(4星)	 短点就好了，56集太长了            
(4星)	 不错的电视剧，感觉蛮励志的！            
(3星)	 没看完            
(4星)	 大长今啊啊！！好长啊啊啊            
(3星)	 棒子們的耐性是我見過做好的了            
(3星)	 居然初中的时候和爸妈一起看下来的！还是原版！！cang kim ma~~~            
(3星)	 前面还行，后面无聊            
(4星)	 曾經一度非常非常愛韓尚宮            
(NA)	 唯一看过的韩剧            
(4星)	 做饭的过程好享受。。。            
(5星)	 反复看都不厌的剧啊~~~            
(5星)	 我爸看的第一部韩剧！！！！！！啊！！！！！            
(3星)	 经典啊！            
(4星)	 只能无聊时候在电视上看看            
(5星)	 系一部很好嘅励志片。以前系宿舍中午就一路睇一路食饭，超级钟意李英爱～～            
(3星)	 突然想起來了我看過＝＝            
(NA)	 05年底在北京~哈哈哈            
(5星)	 超赞！            
(3星)	 难看我也看完了            
(4星)	 我妈 很爱 男主。。            
(5星)	 真的很励志～ 曾经花了一个暑假一集不落看完的韩剧            
(2星)	 太长，没看，李英爱有好感，片很没好感。我知道这么说很不公平，打分本来很主观            
(5星)	 奋斗史，很励志。            
(5星)	 經典的古裝長篇大作            
(4星)	 大头至今还在看。。。= =            
(5星)	 06年高考后，老爹用这部电视剧让我重拾斗志...            
(4星)	 喜欢闵大人~            
(4星)	 印象里还挺好看的。。。            
(4星)	 就是有点长啊            
(5星)	 高中时候因为喜欢李英爱怀疑自己是。。。            
(NA)	 不错的电视剧，就是太长了。            
(3星)	 看的算比较好的韩国戏了!            
(4星)	 绝对的经典。            
(5星)	 长今既励志！            
(NA)	 这个我居然看完了……            
(3星)	 我妹很喜欢她做菜，我是没什么兴趣~╮(╯▽╰)╭            
(5星)	 搞不明白闵政浩做大人那么久为何就么结婚。搞不明长今做医女时为何不嫁给闵政浩做妾。            
(2星)	 像老太太的裹脚布又臭又长，很多情节纯属无事生非型。如果咸菜也算美食的话，好吧，很多美食。正义方都是白痴，被整的没有招架之力，最后还要装圣母饶恕一切，太扯了吧。            
(4星)	 2008.看过的最长的韩剧。之作精良，励志！            
(NA)	 這個沒看全過            
(4星)	 这是经典的励志片啊            
(4星)	 这个也是童年回忆啊            
(4星)	 恩怨纠葛，羡慕嫉妒恨，奋发图强，身不由己，畸恋，家家有本难念的经，好像永远就演这些，还总也演不完。            
(NA)	 跟风点。。。。。            
(5星)	 虽然很不喜欢电视剧，但实在感佩            
(4星)	 初中的时候边写作业边追的剧            
(3星)	 嘿嘿 居然时隔这么久重看了这个。。            
(5星)	 初中时各种火爆的好片子，但太长了，后面忍不住快进。            
