http://movie.douban.com/subject/2300213/	唐太宗李世民
(4星)	 当时就觉得李世民长得很好看，和傅艺伟很配，纳闷他咋又娶了一个捏            
(3星)	 不记得怎么回事了，主题曲还有点儿印象            
(NA)	 风华绝代            
(NA)	 喜欢主题曲。            
(5星)	 哈哈（干笑）  我连字都一个不认得的时候看的电视剧  自认李世民是我知道的第一个帅哥（其实应该说是林俊贤才对），如今重看，觉得惨不忍睹。            
(5星)	 超赞！读小学的时候就看过了...现在翻看还是会沉溺于吉儿和世民的爱情中            
(3星)	 看过～            
(3星)	 偶迷恋李二的开端= =            
(4星)	 那主题曲，成了给瑄叔的聘礼            
(5星)	 哎呀呀～～东边那个美人西边黄河流～            
(5星)	 美丽啊美丽啊   我最美丽的吉儿和世民啊            
(5星)	 当年爱极了的片子~尤其喜欢傅艺伟演的杨吉儿~虽然很多剧情很扯~            
(4星)	 我记得这个皇帝的爱情一直都好纠结啊，那些女人都那么好，如果不是非要有人死，我难得觉得一夫多妻是多么多么美好的事情。            
(NA)	 特别是那个片首曲，待我拱手河山讨你欢，让我彻底沦陷            
(5星)	 永远的唐太宗李世民，最帅的林Sir            
(5星)	 好帅的李二~永远的大爱长孙皇后            
(5星)	 恩。最近怀旧情绪比较重。            
(5星)	 青葱岁月，当年还想为什么吉儿不是唯一            
(2星)	 播这个的那个春天，我学会了跳的士高~哈哈            
(4星)	 小时候很喜欢的古装剧，里面的吉儿很美            
(5星)	 最爱长孙。            
(5星)	 林俊贤是我的偶像。            
(5星)	 小时候幻想的公主病都是因为傅艺伟，再怎么翻拍也拍不出那个感觉            
(5星)	 我现在还要看一遍~~            
(3星)	 这辈子看的第二个连续剧。            
(3星)	 很小很小的时候看的一部小说，具体情节不记得了，只隐约记得似乎还不错。电视剧就记得傅艺伟和长孙皇后很养眼。可惜美人迟暮。            
(5星)	 超级喜欢里面主题曲！爱不释手！真的很喜欢！每次去ktv都要唱！            
(4星)	 想当年 林俊贤是我年幼无知时的偶像阿~            
(NA)	 傅艺伟 真是妖精啊。真美。            
(NA)	 当时觉得李世民好帅~~            
(3星)	 傅艺伟的公主真是漂亮，当年大陆里古装给人感觉最好的人。小虫老师做的片头曲《爱不释手》经典之作。            
(3星)	 我也曾喜欢看过这类剧。。            
(3星)	 长孙是俺最爱            
(4星)	 其实历史哪有这般美好。不过林俊贤演活了李世民！            
(NA)	 主题歌和片尾曲            
(5星)	 很小的时候看的了，还没有上小学呢。那时很喜欢杨吉儿，觉得她很美丽。            
(4星)	 小时候看的，印象很深            
(4星)	 大眼睛的傅艺伟            
(NA)	 吉儿~~            
(4星)	 林俊贤            
(3星)	 我还记得是某个假期的最后一天某电视台播出大结局...            
(5星)	 这个李世民演绎的实在是太完美了。。。无数次被感动。。。偶像            
(4星)	 儿时看的一部电视剧，当时的印象很深刻。            
(4星)	 其实对这片没剩下多少印象了，只记得小时候男女主都很好看，但我喜欢的是长孙皇后，我真的从小就是配角控啊            
(5星)	 当初是多么喜欢傅艺伟啊，            
(5星)	 那歌呀是相当的记忆深刻~吉儿也是超级惊艳~            
(5星)	 拍得很不错的剧，服装、演员、情节都很喜欢！            
(5星)	 看了几遍吧。。很多情节还记忆犹新。。            
(4星)	 到现在还会唱片头片尾曲。记忆深刻。            
(NA)	 我什么也不记得但我记得名字，每次间隙都念两边不是            
(4星)	 小学时对林俊贤超级崇拜            
(NA)	 超爱那主题曲。当时那个迷哪。            
(5星)	 啊哈哈。            
(5星)	 啊哈哈。            
(5星)	 世民,你太帅了            
(4星)	 最初对爱情的理解            
(3星)	 拱手河山讨你欢，这个歌词不错。            
(5星)	 林下何须远借问，出众风流旧有名。。。。。。            
(5星)	 很小时候看过的一部剧。虽然小，对于其中的一些情节始终能够记忆犹新。现在大了，在回味一遍，又有新的感触。            
(5星)	 还记得小时候特喜欢主题曲，屏幕出一句歌词，拿本子抄一句，好几天才抄全了            
(5星)	 啊啊啊啊啊啊啊            
(4星)	 对傅艺伟版的出云公主印象还蛮深的。            
(3星)	 刚发现小学时怎么看了那么多电视剧呢，还各各影响深刻。            
(5星)	 都是童年的味道～ 那时候觉得林俊贤很帅，虽然老皱着眉头            
(4星)	 那时超喜欢长孙皇后的~~            
(5星)	 动心的啊， 杨吉儿 太惊艳了，回眸一笑百媚生的经典演出。            
(NA)	 又是一部童年的经典~~            
(5星)	  傅艺伟 不论撂在大陆和港台 都是最漂亮的            
(5星)	 儿时对英雄的定义，还有还有那首《爱不释手》……点点的幸福……            
(NA)	 我那一去不复返的童年啊。            
(4星)	 这是我童年抹不去的记忆！            
(5星)	 小时的最爱~            
(4星)	 林俊贤真的是很帅啊........            
(5星)	 童年经典。。。            
(NA)	 记录            
(4星)	 人物还都挺好看的。            
(5星)	 我的老天！这可是我小学六年级时候的挚爱阿！每一集都录下来，反复看，怎么看都看不腻阿。和现在这种在电脑上每天看n集，2天看完一部电视剧的心情完全完全的不相同！            
(NA)	 林俊贤当年演李世民好帅哦。不过以前我就一直喜欢童爱玲演的长孙皇后，觉得她好漂亮，又有气质。吉儿也不错。最不喜欢的是那燕啊，她有时候真的太过于野蛮了，不喜欢这种野蛮的女人。            
(5星)	 李世民好帅哦            
(4星)	 我只记得连续剧的主题曲~            
(5星)	 俺的林sir啊~~~            
(4星)	 当年很喜欢的片子~~~ :))还有李丽芬的爱不释手，还有～～东边我的美人那西边黄河流             
(5星)	 其实这一版的二公子和前朝公主真的都是个颠峰TT3TT！！            
(5星)	 所有关于唐朝的憧憬，所有关于李世民与杨吉儿的遐想与眷恋，都从这里开始~            
(5星)	 我不像里面的李世民那么多情，给我一个吉儿我就知足了            
(5星)	 我那一去不返的童年啊             
(5星)	 我又找到童年了，眼泪~~            
(5星)	 吉儿。            
(NA)	 林俊贤帅啊。。。            
(5星)	 永远记得那个美丽的杨吉儿            
(NA)	 傅艺伟比长孙皇后矮一个头            
(3星)	 我心目中的长孙皇后            
(NA)	 长孙无垢。。很好。。            
(5星)	 小时候觉得李世民好帅啊            
(NA)	 我那一去不返的童年啊~            
(5星)	 童年的记忆 古装片             
(NA)	 哈哈，我喜欢的样子            
(NA)	 这个太回忆了～～            
(5星)	 太好看            
(NA)	 里面的服饰，人物都很华丽，林俊贤和傅艺伟的搭配太养眼了            
(NA)	 小学看的，那个帅帅的李世民，现在看来还是那么好看呐~            
(4星)	 经典形象            
(5星)	 我最喜欢大唐!            
(NA)	 历史＋经典＋童年记忆            
(5星)	 经典的无须再说什么了。            
