http://movie.douban.com/subject/2153527/	新白娘子传奇 新白娘子傳奇
(NA)	 不同阶段看，生出百般不同的感受            
(4星)	 当时还收不到，只好去同学家看，还带雪花点子的。。。            
(5星)	 经典            
(5星)	 为毛有韩文！！！艹            
(NA)	 2010-11-11  199？            
(5星)	 得妻如此  夫复何求   现在看不到这么好的作品了            
(4星)	 千年修行白素贞，下山来报许仙恩。这是中国首部音乐剧吧！= =            
(5星)	 我看的第一部LES电影啊            
(5星)	 无需多说。该有多经典，就有多经典，虽然不能理解为什么要让叶童来演许仙，但是现在觉得这样的组合也很和谐。纵然赵雅芝只演过这样一个出彩的角色又如何？之后那么多白娘子，谁能比得上她一分一毫？            
(5星)	 永远抹不去的美好回忆            
(5星)	 罗曼史启蒙 但当时要知道是两女的 绝不会这么投入            
(5星)	 不太合格的爱情片！            
(5星)	 简直是美丽的神话            
(5星)	 五星绝对的！！！            
(5星)	 儿童剧            
(5星)	 看了8遍！            
(5星)	 我的最爱么            
(5星)	 当年看的时候被剧情搞得那是相当的纠结啊   而且赵雅芝是我有印象以来 小时候第一个觉得长得好美的女人   现在还记得里面许仙被铁锁勾着锁骨的画面 真是成我心里的一大阴影了  当年编剧都不考虑下小孩子看到那画面的感受吗            
(5星)	 给八百颗星都不够好吗=。=            
(5星)	 影响了我多么深啊            
(5星)	 永远的超五星            
(3星)	 这个许仙给我留下心理阴影了，一度不能接受叶童的其他角色            
(5星)	 爱情启蒙            
(3星)	 哈哈哈！想我们小时候！            
(4星)	 这是百合片吗            
(5星)	 ,大概四岁时看的,当时小,里面的事,以为都有真人......其实,信或不信,在于自身.            
(5星)	 每年假期必看片目            
(NA)	 还跟表姐在屋里演...她每次都要我演小青....            
(5星)	 山中岁月容易过， 世上繁华已千年 。             
(5星)	 小时候 白娘娘是心中的神            
(5星)	 仅做标记，即使它的背景永远都是那几块石头，这山那山的完全没有区别，还是成为了一代人永久的记忆。技术上和剧情上，当时的特效达到这个程度也算牛逼了，歌舞结合也打破了常规演出，就算现在，也没看哪部剧敢动不动就让演员手舞足蹈又开口唱歌的            
(NA)	 小时候超爱的！还模仿白娘子唱歌！            
(5星)	 百看不厌，可以打6星吗？            
(5星)	 当时看的好揪心啊            
(5星)	 当年觉得再也没有比白娘子更漂亮的人了，现在再看 她们的装束一点都不过时，还是很好看。            
(2星)	 我小时候就不爱看这电视剧            
(3星)	 这个我印象倒并不太深            
(5星)	 小青与张公子那一段拍的叫一个先锋            
(4星)	 那时候，只有有播这个，就不离开电视            
(5星)	 哈哈，小时候常常扮演“白娘子”，那时扮演“许仙”的男孩比我小四岁。。。            
(5星)	 我现在都还看呢！            
(4星)	 仙女~            
(5星)	 20年前 这样的片子不是经典就怪了            
(5星)	 童年的床单记忆~            
(5星)	 经典中的经典 百看不厌。            
(5星)	 今晚是怎么了。。。            
(3星)	 小白娘子！！            
(5星)	 美得一塌糊涂            
(4星)	 四颗星给赵雅芝            
(5星)	 哈哈，哈哈哈            
(5星)	 千年等一回，我无悔啊啊~            
(4星)	 非常====            
(5星)	 好            
(4星)	 其实你说吧这个黄梅调形式还是很复古的，但唱足这么多集…唉，我想说如果我要把看过的电视剧也算上，那我的清单没边儿了            
(NA)	 超爱片头！！            
(4星)	 当时觉得这就是典范啊，觉得赵雅芝陈美琪美若天仙啊。。。            
(5星)	 小时侯只看过一遍..后来我怎么老等重播都都等不到.            
(5星)	 百看不厌，其实我最爱的是小青。            
(5星)	 经典            
(5星)	 还敢再经典些么？            
(5星)	 这个故事如酒一样~  越久越香            
(NA)	 美少年启蒙篇            
(5星)	 现在看都不觉得土，只觉得自己还在小时候……            
(5星)	 大爱            
(4星)	 小时候啊小时候，白娘子真是我心中的 神。            
(5星)	 哈啊哈 哈啊哈~            
(4星)	 那年的赵雅芝美得不像话            
(NA)	 突然想再看看            
(5星)	 经典。。。。。。。            
(5星)	 小时候不知道看了多少遍~            
(5星)	 当时我天天守着电视机过日子            
(4星)	 放假重播又看了一次，真的挺有意思的。虽然技术与今天相比不怎么样，但人家是真诚的            
(5星)	 不解释！！娘子！！！            
(5星)	 经典之经典，年年重播，年年有人看。            
(5星)	 经典两字足矣！            
(5星)	 小时候看新白娘子传奇中毒，每天扎着纱巾扮白娘子。。。            
(5星)	 不知道豆瓣为什么给我推荐这个，但，这个真的是我的大爱，呵呵            
(5星)	 都忘完了            
(4星)	 终于在日喀则看上了电视，调台一圈，竟是此。            
(5星)	 这部几乎是电视上放一次 我看一次            
(5星)	 太经典了！！！            
(5星)	 我就靠这个过暑假了            
(5星)	 我能想到我老了，听到电视里唱：西湖美景三月天内，春雨如酒柳如棉；然后随着哼唱，然后老王就嘲笑我，看了几十年还在看，呵呵。            
(5星)	 还是很爱看啊            
(5星)	 暑假轮播系列，不知道看了多少遍了，但看的时候还是觉得特新鲜T_T            
(5星)	 我妈至今还耿耿于怀找了个女的来演许仙，其实我倒觉得找个男的来不一定能演得好！            
(5星)	 因为感觉不像偶像剧- -            
(5星)	 白娘娘            
(4星)	 那时候觉得小青比白娘子漂亮很多            
(NA)	 內什麽的啓蒙麼 哈哈哈            
(4星)	 我很久之后才知道原来许仙是女人！！            
(5星)	 应该算是 我的爱情启蒙。。。如果有空 希望还能看一次 ，至少当时觉得 是在太光怪陆离了 太好看了。噢 我今年本要去杭州读书的             
(5星)	 我简直爱死你了嘛。            
(5星)	 真的无需多说了，周围几乎所有的女孩小时候都披着妈妈的丝巾或者家里的小毛毯跑来跑去，把自己裹起来假装自己是青蛇或者白蛇。            
(5星)	 我妈说我小时候看了3遍  还跟着哭 艹 果然早熟            
(4星)	 很超前~            
(5星)	 小时候愣是没发现许仙是女的            
(5星)	 小時候的最愛            
(4星)	 到了大学还在看呢。很喜欢叶童            
(5星)	 replay again and again            
(4星)	 我觉得法海是坏蛋。但是我又害怕她俩变身。。纠结。。每回她们一开始喝酒，我就开始捂眼，哈哈            
(5星)	 不是好，是我喜欢！            
(5星)	 最近在放，回味            
(4星)	 = =            
(4星)	 哇咔咔~三个女人一台戏~大爱小青和彩英            
(4星)	 小时候第一次知道可以女扮男装。            
(4星)	 西湖的水，我的泪~~            
(NA)	 小的时候看一直以为叶童是男的。。。主题曲很好听，但是不知为什么对赵雅芝的白娘子的感情一直很一般，和绝大多数人都不一样            
(5星)	 像歌剧，动不动就唱起来了            
(5星)	 经典之作            
(NA)	 哈哈，，夏季午后的回忆。。            
(5星)	 哇哈哈哈哈，怎么翻出来的啊这是！            
(5星)	 女扮男装最萌了~            
(5星)	 五星是必须。            
(NA)	 我一直覺得百年修得共枕眠，這時間好像有點短了。            
(5星)	 妈妈和白娘子很像两姐妹            
(4星)	 青姨，太帅气了。            
(5星)	 永恒的经典啊···            
(5星)	 经典台剧            
(5星)	 偶现在发现~白素贞的优点~胡媚娘的直爽性格~加上赵雅芝的相貌~就是偶整个童年延续到今的理想型！            
(1星)	 觉得演员跟布景什么的都好假            
(3星)	 赵雅芝呀~            
(5星)	 这他妈的就是经典啊！            
(NA)	 这才是纯正的经典。            
(4星)	 赵雅芝美啊            
(5星)	 勿须多言            
(5星)	 我爱小青            
(NA)	 美好回忆            
(3星)	 les            
(5星)	 补：美人成群啊！！！！            
(5星)	 豆瓣还有电视剧 额~~ 一直只评电影了            
(5星)	 小时候看了无数遍演了无数遍            
(NA)	 那时候希望我也有超能力。            
(5星)	 每个暑假都看疯掉的            
(5星)	 最爱小青            
(5星)	 我妈说我小时候特别迷恋这个。            
(4星)	 啊哈哈~            
(5星)	 我爷爷爱赵雅芝的牙齿            
(5星)	 不给五星就对不起我以前每个寒假的等待了...            
(4星)	 我们这一代儿时的经典 那时百看不厌啊            
(5星)	 神仙姐姐，小时候不吃饭也得看白娘子            
(5星)	 还有谁更经典            
(5星)	 百看不厌！！！            
(5星)	 小時候不知道看了多少遍，現在放還是會看吶，O(∩_∩)O哈哈~            
(4星)	 当年白娘子变蛇的时候有吓到我。。            
(5星)	 贼好看啊            
(NA)	 拉片鼻祖            
(5星)	 哎，有多少童年可以重来？2010.06.01            
(5星)	 儿时令我魂牵梦萦的经典之一~            
(4星)	 小时候家家户户电视机前坐等的啊            
(5星)	 绝对经典中的经典。。。看了好多遍，还是觉得很棒。            
(NA)	 是谁在人间说，爱我永无边~~~            
(5星)	 最近走怀旧路线。。。            
(5星)	 经典回顾，看多少遍，依旧喜爱...            
(5星)	 经典！！！            
(5星)	 赵雅芝是女神！            
(5星)	 千年等一回，等一回啊~~~~~~~            
(5星)	 千年等一回，我无悔啊啊啊~~~~~            
(5星)	 在一般80后的心中，有一组等式，那就是新白娘子传奇=美丽的赵雅芝=童年=第一集经常看不到=每次放都要看。            
(5星)	 小时候的最爱~~~ 太经典了~现在听那些歌，还是觉得好亲切呀~~~            
(5星)	 最经典的版本            
(4星)	 千年等一回 等来个赵雅芝。            
(5星)	 赵雅芝太美啦！~~~            
(NA)	 记得那时年纪小            
(5星)	 记忆里最早最清晰的经典            
(5星)	 经典……就是无超越一说            
(5星)	 绝对的经典 永远的怀念            
(NA)	 怀旧了            
(5星)	 les启蒙片儿            
(5星)	 所谓百看不厌呐            
(4星)	 女神呀！！每个暑假都放....            
(5星)	 此乃经典。从记事起就看的电视剧，一看就看好多年。            
(5星)	 其实中国多开放啊，那么小的时候爹妈就同意我们看人兽恋··            
(5星)	 经典            
(5星)	 童年的经典~~现在也是一样            
(5星)	 这太经典了。            
(5星)	 很后来才知道，许仙是个女人扮的。所以后来不管哪里看到叶童都觉得像男的            
(5星)	 那时候，俺们都学白娘子，手指头在太阳穴那里一指，然后施法            
(5星)	 绝对是无法超越的经典            
(5星)	 到现在也无人能敌的经典啊            
(4星)	 白娘子的形象真是犹如天上的神仙哪~小时候心目中的美女也就是她了~            
(5星)	 经典的一定要M一下。话说其实小时的我根本没想过许仙是女的扮演地。            
(5星)	 看来无数遍，还是很经典。            
(4星)	 小小小时候很喜欢白娘子的好伐~在我脑海里白娘子就是赵雅芝阿姨的样子~~~            
(5星)	 好歹是也美好的回忆            
(5星)	 百看不厌的经典啊~            
(5星)	 千年等一回，这一生只为你。            
(NA)	 一年又一年的暑假，好像永远都不会厌倦。            
(5星)	 多年后仍然重播率最高的电视剧，赵雅芝一如初见。拍的真是好。            
(5星)	 我的神仙姐姐            
(5星)	 長大了還以為葉童這男人太娘了            
(5星)	 永远的白娘子，谁来都不认……            
(NA)	 原来是一部les片            
(NA)	 百看不厌，台剧呀台剧，赞就一个字            
(5星)	 小时候完美女性的形象就是这样形成的...            
(4星)	 听妈妈说，其实那是我看不懂的，可总是守着它。            
(4星)	 歌曲好听词优美            
(5星)	 回味经典            
(5星)	 我竟然一直没有看到结局！！！！啊！这么好的女同还是宗教题材的教育片＝ ＝            
(5星)	 无论看多少遍都不会腻的~~永远的白娘子~~~~~~~~~~            
(5星)	 我追片的习惯，就是靠她养成的！            
(5星)	 五星是因为在记忆中的分量            
(5星)	 一袭白衣的白娘子，心中的经典            
(5星)	 它的影响力实在不能用一部电视剧可以形容的。            
(5星)	 喜欢            
(5星)	 我可以反反复复看上千遍            
(5星)	 从小看到大，太经典了~            
(5星)	 起初不知道叶童是女人，还赞叹许仙为何那样娘，肃然起敬的“同性”恋，可歌可泣的“断背”情啊            
(3星)	 国内最经典的女女片。。。。。。。。。。            
(3星)	 一放假就天天放，轮着播都腻死啦            
(5星)	 小时候的经典            
(4星)	 我那头插筷子的童年啊。            
(5星)	 白娘子 呵呵            
(5星)	 那时候还是每天一集 天天晚上和妈妈自一个被窝里期待着 故事里的每一首歌现在都记忆犹新             
(5星)	 骗了我那么多年的叶童阿            
(3星)	 小學時候覺得多好看啊            
(4星)	 哎呀 小时候每次重播都看~            
(4星)	 小时候我们那个时代的人谁不喜欢啊！！觉得媚娘比白素贞更漂亮            
(4星)	 很经典，想想小时候是超羡慕白娘子的，咋那么漂亮呢            
(5星)	 不知道看了多少遍            
(5星)	 回忆童年！！！！！            
(5星)	 我爱白娘子            
(5星)	 童年的回忆。            
(5星)	 某人大爱的赵雅芝。。            
(4星)	 长大后，我才知道相公是个女的。            
(5星)	 我想这该是我一辈子的最爱了。。。            
(5星)	 最近重温，想杭州，想西湖。            
(4星)	 赵雅芝            
(5星)	 ···这个，太经典了。            
(NA)	 百看不厌，不朽的传奇            
(5星)	 小时候看啊看            
(NA)	 等到长大了才理解。原来许仙是女子。（犹记芹菜葡萄神情对唱的“哈啊啊  哈啊啊  哈啊啊  哈啊啊~~”主题曲咳咳。）            
(5星)	 消暑良药！从姐初中的时候一直到现在，每个暑假都要重放！            
(5星)	 经典非凡，无可超越。            
(4星)	 千年等一回~~~            
(5星)	 经典啊经典！！！            
(5星)	 追忆似水年华。            
(NA)	 时隔近二十年  突然又对这部燃起熊熊的爱～            
(5星)	 小时候一致认为白素贞是世界上最美的。。。            
(5星)	 哇哇哇啊 我不知道叶童是女的            
(5星)	 白娘子还是很漂亮             
(5星)	 每年暑假的必修课啊            
(5星)	 电视上播多少遍也不会烦            
(4星)	   这种半唱半演的电视剧现在倒是看不进去了~            
(5星)	 变的是唱词，不变的是唱调。            
(4星)	 7/10            
(5星)	 什么BUG也阻挡不了我对新白的爱@~@            
(4星)	 好看，好听，好笑。童年的三好剧，漫长盛夏的独家回忆。大爱新黄梅调，左宏元太厉害，信手拈来，传唱千年。喜欢李捕头和许娇容夫妇斗嘴，逗乐。            
(5星)	 爸妈不让看电视，跑姥姥家看的。            
(5星)	 总是错过第一集变身╮(╯▽╰)╭            
(5星)	 小時候特喜歡            
(5星)	 我恨法海。我爱小青。            
(5星)	 忘了什么也不能把这个忘了啊            
(3星)	 妈的可见我从小到大都受不了反串……            
(4星)	 赵雅芝～女神～            
(5星)	 我看过我看过我看过~~好吧！            
(5星)	 不是经典两个字可以简单表达..            
(5星)	 最美            
(5星)	 儿时迷恋            
(5星)	 最爱            
(5星)	 我還會唱那個歌小時候據說            
(5星)	 小时 寒暑假必看            
(5星)	 儿时的爱。            
(5星)	 没看过新白娘子 童年就不完整            
(5星)	 这个是五星的，经典啊经典            
(5星)	 童年记忆啊，每次重播都看一遍            
(4星)	 奔着两代人的不同爱情观又看了一遍。            
(5星)	 百看不厌。            
(4星)	 补录            
(4星)	 那时候超迷，还有剧中的歌，学了半调子粤语到大街上的露天卡拉OK去唱。。。            
(5星)	 绝            
(5星)	 这绝对是经典中的经典            
(5星)	 看过最多遍的电视剧。。            
(5星)	 永远的经典！            
(5星)	 這個幾乎都看過吧，不用多說經典經典，不過我更喜歡許士林和胡媚娘那段            
(NA)	 是经典呐            
(5星)	 what a classic.            
(3星)	 啊 千年等一回 我无悔啊啊            
(5星)	 我们的集体意识            
(4星)	 我幼年时的神话            
(5星)	 大爱呀大爱～ les启蒙            
(5星)	 哈哈 记得小时候看了很多遍  爸爸说以后再看  我说 长大了白娘子就老了   哈哈哈哈             
(5星)	 都是童年            
(4星)	 曾经的赵雅芝，多少男人的梦中情人～            
(3星)	 千年等一回            
(4星)	 如果不动不动就开始唱戏就更好了            
(5星)	 哈哈哈哈            
(4星)	 最近電視臺又在播，趙姐姐風韻猶存            
(4星)	 几遍了:D 什么都背得下来。            
(5星)	 小时候最爱的神话            
(5星)	 竟然没得奖……还有王法吗？！            
(NA)	 呵呵            
(5星)	 呜呜呜看了几十遍啊。。。但是再放仍然会看几眼。。。无法割舍的情结            
(4星)	    后来发现许仙是女人以后，我产生了不良的情绪。。。            
(5星)	 记不得了，只是不喜欢女扮男装            
(NA)	 哈 我妈在金山寺看到他们拍的~~~哦也哦也            
(4星)	 此剧之后我再不能接受叶童的女装扮相            
(5星)	 啊哈啊~啊哈啊~  西湖美景....            
(5星)	 白娘子 是我永远的女神            
(4星)	 经典            
(4星)	 边唱边演+西湖美景+不老雅芝            
(5星)	 已往故事已千年            
(5星)	 小时候的美丽旅途，经典古装            
(4星)	 许士林比许仙改善太多了，有个性            
(NA)	 永恒的经典            
(5星)	 当时暑假必看的 现在想想两女人演夫妻蛮恶心的             
(5星)	 惊艳之作            
(5星)	 好歹也是一部早期的音乐剧            
(5星)	 当年中毒很深            
(5星)	 现在才知道小学时候都已经是重播            
(5星)	 太精致了！！！~            
(5星)	 太经典了　            
(5星)	 一定是5星 歌太好听了            
(4星)	 当时还真的以为是部同性恋的片子呢            
(3星)	 千年等一回~等一回啊啊啊~            
(5星)	 到现在我都觉得白娘子的美，无法超越。            
(5星)	 儿时的精神粮食            
(4星)	 人人都看啊！            
(5星)	 我们这代人谁没看过白娘子……我现在都觉得好看……            
(4星)	 Waitting for you for 1000 years¬            
(5星)	 身边几乎没有不迷恋白娘子的男生,还有T.总觉得是母爱缺失.            
(4星)	 搞不懂以前的台湾电视剧都是这样的吗？？讲几句台词再唱几句台词？？            
(5星)	 从小到大 看过无数遍             
(NA)	 白娘子，曾是多少人的梦中情人。            
(5星)	 经典！            
(5星)	  多少年之后再来看，新增了很多感悟。两代不同的人，两种不同的处世观，两段不同的爱情……            
(5星)	 今天刚好看了一个做过的新白的视频 想起来它了            
(4星)	 小时候真羡慕白娘子的长头发啊~            
(5星)	 一定要给5星给陪伴我童年的美好回忆            
(5星)	 看过至少十遍了- -            
(3星)	 回忆中的比较美            
(5星)	 需要说么，白素贞啊~            
(5星)	 小時候記憶中，必不可少的背景音樂            
(5星)	 兒時的回憶~~哈哈            
(3星)	 小学班里俩男生特爱分扮白娘子和小青，一个叫唐X，一个叫涂XX。            
(4星)	 虽然厌恶电视台每年都重播它～但是赵雅芝的白娘子还是很经典～而叶童的反串也不错～～            
(4星)	 从小看到大，每年都有播~            
(NA)	 为什么现在的电视剧都不唱歌了呐 不过现在唱也会好奇怪 那为啥那时想到要拍一个音乐剧捏            
(5星)	 白娘娘太美了！            
(4星)	 千年等一回~~~~~~~~            
(NA)	 童年经典~~            
(5星)	 这。。没人没看过吧            
(5星)	 那时候打死不相信叶童是女的            
(5星)	 千看不厌，挚爱！            
(5星)	 陪着我长大            
(5星)	 台湾人其实非常创新的。            
(4星)	 当年还看得死去活来的....            
(5星)	 哇就是看不烦~            
(NA)	 绝对的经典，百看不厌。。虽然看的时候还年幼，根本不懂什么是爱情。。哈哈。            
(5星)	 那时候万人空巷了。。            
(3星)	 莫非前世那一眼 只为今生见一面 宁愿相守在人间 不愿习作天上仙            
(NA)	 结果2009年的现在电视台播的时候我还是看得很杂劲            
(5星)	 我要给100颗星= = 到现在还很爱看            
(5星)	 今天才发现，这部神剧居然忘记打分了            
(5星)	 百看不厌的经典            
(5星)	 这个居然是台剧……            
(5星)	 哎哟精典来的呢            
(4星)	 满是回忆            
(5星)	 经典。            
(4星)	 多少年前的电视剧了，豆瓣还推荐给我……            
(5星)	 “这部电视剧一直充斥着和我一样大的孩子们经历过的每个炎热的暑假。”            
(4星)	 俺小时候最喜欢看的电视剧            
(NA)	 小时候也有这个的磁带~~~            
(4星)	 都是非常古老但又经典的电视剧啊。            
(NA)	 对美的最初定格。            
(5星)	 千年等一回..劳资恨许仙.            
(5星)	 赵雅芝那揍是中国的赫本啊！！            
(5星)	 每天睡觉，靠在你肩上跟你一起看，然后在这部片子的背景下相拥而眠···有你就有幸福。            
(4星)	 戏剧腔很重，角色动不动就唱起来，当时却是疯狂爱看。            
(5星)	 太太太太经典了 以至于翻拍的我看都不想看            
(4星)	 寝室的人最爱它，我最爱还珠，所以是4颗            
(5星)	 又一部经典之作            
(NA)	 哈哈哈，这个应该没人没看过吧            
(4星)	 千年的女鬼～我家现在还有那磁带～            
(4星)	 后遗症是 我再也无法接受叶童任何一个女装角色            
(5星)	 经典的魅力就在于，我什么时候看，都会看的津津有味!            
(5星)	 经典啊……            
(5星)	 许仙太傻 看了闹心            
(5星)	 法海去死~我想让许士林和兔子精在一起啦~555~            
(5星)	 经典中的经典啊，还是~            
(5星)	 叶童~~            
(5星)	 当年也算是偶像剧啊            
(5星)	 啊~精神的食量，时间的杀手！            
(3星)	 当年看了无数遍。。。            
(5星)	 当年好看            
(5星)	 小时候的经典电视剧啊，百看不厌。            
(4星)	 熟悉其中的每一句台词            
(5星)	 这我看过不知道多少遍了。            
(NA)	 事实证明我是国内土生土长的，不可能没看过～            
(5星)	 翘首！            
(5星)	 太喜欢了。大爱啊啊啊啊            
(NA)	 千年等一回....            
(4星)	 经典，虽然不喜欢某许仙            
(5星)	 我到今年才知道 原来那个雷峰塔是鸡鸣寺.....            
(5星)	 喜欢喜欢，超级喜欢            
(5星)	 小时后的记忆总是最好的            
(5星)	 经典啊经典~~！            
(5星)	 小时候的最爱，每次放假都看，估计是我这辈子看的最多遍的片啦！            
(4星)	 从小就喜欢神神叨叨的故事 那时候姐姐特别爱看白娘子 每次到她家玩儿的时候 就美颠儿颠儿的跟着她看看 千年等一回的美丽白素贞 是属于那个时代的传奇~            
(NA)	 记得那个暑假每天就守在电视机前看这部~            
(4星)	 那个年代，应该都看过吧。我见过最无敌的两个铁杆，一个天天用录像机录了后看了又看，一个用录音机录了后听了又听。。。。。            
(5星)	 绝对的记忆。            
(5星)	 第一部让我买贴画的电视剧！哈哈            
(4星)	 实在是经典，恐怕没有几个人没有看过            
(NA)	 看过N遍~后来讨论起来都说当时觉得小青喜欢的男人很帅~囧            
(5星)	 小时候天天记着时间，一到白娘子了就兴奋的要死．．童年啊～～            
(4星)	 暑假节目            
(4星)	 我以前一直觉得许仙很娘气，后来才知道许仙就是个女的            
(4星)	 总觉得没看全…            
(5星)	 传奇啊传奇            
(4星)	 忘的差不多了……            
(5星)	 当初实在是喜欢得不行。^^            
(5星)	 最爱            
(5星)	 啊嘛。。。            
(5星)	 百看不厌，对白娘子施魔法的手势熟练掌握            
(4星)	 只是相当怀念而已            
(5星)	 童年记忆现在又看，无与伦比的感觉~            
(4星)	 太多回忆=、=            
(4星)	 妈妈的最爱。            
(5星)	 小时候的梦中情人啊，必须顶~            
(5星)	 哈哈哈~~~经典么            
(1星)	 放了不下一万遍的LALA            
(4星)	 赵雅芝真的好漂亮啊~~            
(5星)	 赵雅芝是我童年的女神            
(NA)	 幼儿园的记忆。。。            
(5星)	 是不是第一部公开放映的女同片            
(5星)	 经典            
(3星)	 现在再看 觉得咿咿呀呀唱起来没完没了的。。。            
(5星)	 我的最爱。            
(5星)	 不错...            
(5星)	 TAT 哭了            
(5星)	 压根就没过季的时候。            
(NA)	 西湖的水 我的泪            
(4星)	 法海为什么这么机车啊            
(5星)	 这个太经典了！~            
(5星)	 太经典了            
(5星)	 儿时的记忆            
(NA)	 我们小时候都受的这个教育            
(5星)	 这个怎么能没有！！！！！！            
(4星)	 赵雅芝一直都这么美~            
(NA)	 经典就是经典            
(4星)	 大概看过不下100遍吧！每个暑假都看，看完再看重播。            
(5星)	 回忆啊~~            
(5星)	 超级喜欢的。哈哈哈哈            
(4星)	 经白娘子的典造型~            
(5星)	 新白娘子传奇算是第一部lala片么?            
(NA)	 多看几遍也不会烦            
(5星)	 童年记忆 印象中我和外婆一起看的。。如今外婆已经过世多年 每逢寒暑假 各大电视台还是会千年不变的播这部剧            
(NA)	 每年暑假都少不了 “娘子，时辰不早啦。咱们早点歇息吧。”当知道两个人都是女的之后，掉了一地疙瘩。大爱经典啊            
(5星)	 小时候觉得白娘子是我见过的最美的女人。还希望长大后能当炮兵司令，指挥自己的部队万炮齐发轰倒雷峰塔。 *^_^*            
(4星)	 当时觉得赵雅芝美得不像人            
(NA)	 童年...全家人一起看白娘子的幸福时光            
(4星)	 最喜欢的版本            
(4星)	 陪伴童年的电视剧之一            
(4星)	 赵雅芝，当然是赵雅芝             
(5星)	 小时候看得太多了            
(5星)	 从未被超越~            
(5星)	 哇哇哇，许仙是女滴            
(5星)	 幼儿园时的最爱            
(5星)	 我的女神啊            
(5星)	 传说中国的第一部LES片？            
(4星)	 就记得好像很好的电视剧，其他没什么记忆了。            
(NA)	 赵雅芝是我心中的女神。            
(5星)	 千年等一回....            
(4星)	 以大團圓結局挺好的            
(5星)	 每年暑假 四川台 呵            
(3星)	 印象缺失了            
(NA)	 没人没看过吧··            
(4星)	 追圈怀旧片……            
(5星)	 白素贞是loli时代的向往之一。恩那个时候起我就很爱御姐了。            
(5星)	 小时候的最爱            
(5星)	 至少完整看过两遍！！            
(5星)	 不能不给5分，经典经典。            
(5星)	 请不要重拍。。。            
(4星)	 那时 是美好的            
(3星)	 赵雅芝越老越美。。。            
(5星)	 啊——            
(3星)	 经典。            
(4星)	 小时候的主打cosplay剧目，我一直演许仙，我们家隔壁的小女孩演小青，私通剧情，没白娘子什么事儿。。            
(2星)	 这白娘子，这许仙，完全不是我心中的样子。            
(5星)	 很早的一部片子，只记得小学的时候，放学的路上不回家，在家电城外和同学一起看白蛇传            
(5星)	 80后是看这部剧长大的，每当耳边响起千年等一回，心中总会有一种别样的情怀            
(3星)	 千年等一回...小时候最爱哼            
(3星)	 在那个贫乏的年代            
(4星)	 小时候的最爱            
(5星)	 最美的女人            
(5星)	 哈哈            
(5星)	 不管看多少遍都会心痛呵呵，完美。            
(NA)	 美人+神话故事，好看。            
(4星)	 就是經典！！！            
(5星)	 伴随童年成长的一部电视剧            
(5星)	 自从看了白娘子，我一直接受不了叶童是个女的。            
(4星)	 不错的片.经典            
(5星)	 幼时被迷得啊，诶~~            
(5星)	 经典—— 不可复制~！            
(4星)	 现在再看才发觉是个那么凄凉的故事。            
(5星)	 十年修得同船渡 百年修得共枕眠             
(NA)	 经典中的经典            
(NA)	 哇哦。。最经典的白娘娘。。            
(5星)	 赵雅芝那个叫漂亮~~还有长的像偶大姨妈的小青~~许仙...不评也罢            
(NA)	 小时候的最爱~~~            
(4星)	 许仙是个娘T啊，现在看起来更邪恶。            
(5星)	 绝对珍藏            
(5星)	 没有想到时隔这么多年，还是觉得那么经典。对她的喜爱程度远远超过看过的其他老片，特别是里面的情歌对唱，太中意了。            
(NA)	 年年重温，人间有情，红尘有爱。            
(5星)	 小时候老喜欢了            
(5星)	 在我幼小的心灵中……囧……白娘子就是天仙啊 　　　　            
(5星)	 突然很怀念            
(5星)	 哎哟童年啊。。。            
(3星)	 只知缘由，对细节发展全然不知。            
(4星)	 这是我对美女的第一认识。            
(4星)	 假期必演，看过N遍了。            
(5星)	 儿时的最爱电视剧            
(3星)	 女女配总觉得有点不大舒服！！            
(4星)	 美好的童年            
(5星)	 现在看还是那么的好看有感觉啊~            
(5星)	 到现在都还对它念念不忘~~以前每年假期都会跟爷爷一起看~~要是没有后面许世林那部分，这个就更完美了~~            
(5星)	 喜欢 喜欢     超级喜欢            
(4星)	 最近又开始热播。这不金融危机下为了带动旅游业嘛            
(4星)	 高中以前  有播必看  痴迷  那些个暑假            
(4星)	 到现在我还在讨论研习这部经典= =            
(5星)	 梁连是大帅哥！            
(NA)	 我买的第一盘卡带专辑            
(5星)	 这部真的是经典不能再经典了 小学一年级就开始追了。。            
(5星)	 人生追的第一部电视剧。            
(5星)	 很经典啊            
(5星)	 歌曲也挺有意思，虽然有时候听不懂唱啥            
(5星)	 小青            
(5星)	 赵雅芝太美了~~叶童在我心中一直是个男人            
(5星)	 幼兒園和小學的美好，奠定了我這一生對美好愛情的嚮往和追求。            
(4星)	 小时候觉得好好看，真的，在那个遥远的年代。            
(NA)	 哼哼，白素贞，哀家的情敌啊~            
(5星)	 难以逾越            
(5星)	 每年必看一遍~            
(5星)	 大概自第一次看这部片开始到今年为止,估计不完全统计,看过至少大于等于40遍左右,咳咳,本人比较喜欢看老片.对此片滴感想如下:(1)一直到近几年才切实滴感受到~啊~原来许仙真滴是女滴啊~;(2)法海~乃介个死秃驴(每逢看到法海出场,必定默念N遍);(3)法海肯定是暗恋小白未果,所以拆散他绵夫妻(现在还得知还有            
(5星)	 儿时的美好记忆            
(5星)	 虽然看的时候老觉得赵雅芝怎么老在喘气，但是，还是不影响整体感官的。现在看看也还是很回味的。            
