http://movie.douban.com/subject/5282458/	胜者为王4争霸
(3星)	 其实比TVB的无聊剧高明不了多少。PS.樊亦敏还是那么美哇！            
(3星)	 2集完。弃，就算有张智霖也没想看的欲望。            
(NA)	 going-to-be ep18            
(4星)	 oh。。。逆生長的小叔們！            
(5星)	 太赞了！好久没看到这么好的港剧了！            
(4星)	 好久没有这样从头到尾的追看一部港剧啦 很不错~            
(4星)	 等了两年！！！            
(4星)	 张智霖真是超级的帅啊，我又一次要陷入他的温柔乡了            
(4星)	 ATV最近拍的片子确实不错~张智霖还是小帅哥一个！            
(3星)	 一直都覺得張智霖好帥····哈哈··            
(4星)	 chilam西装大背头，美貌秒杀级的            
(NA)	 为了chilam!!耐心的看完了！！            
(2星)	 剧情很有硬伤。。简直不知所谓！            
(4星)	 4星完全是给卡司的。。。。最近的ATV好给力啊。。。哈哈            
(2星)	 狗血的一比。。我居然也看完了。。。            
