http://movie.douban.com/subject/2229478/	莲花争霸
(4星)	 当时第一次知道男人能变成女人  震撼极了            
(4星)	 小蝶这个贱货演的太差了            
(NA)	 原来这个也是新加坡的～我记得有个主角 叫 老爷子！！还有什么托娅演的那个穿白衣服的，原来是好人啊，后来原形毕露了            
(NA)	 塔琳托娅            
(5星)	 白玉川 还是 律香川来着            
(NA)	 这个片子虽然比较老，但是情节比较另类，所以至今还有印象。            
(4星)	 只記得白玉川            
(5星)	 小时候很爱            
(5星)	 很小很小的时候看的，记得那时候喜欢上白玉川了，，OMG，，太小了吧，也不知道喜欢这回事，就是对白玉川有一种特别的感觉，，（喜欢这种变态人，我变态咩难道），嗯，时至今日，对这电视剧的唯一印象，就是记得白玉川三个字——|||，剧的名字忘得一干二净，只记得他喜欢一女的，喜欢的变态了，，            
(3星)	 白玉川其实是练了葵花宝典吧- -            
(5星)	 对白玉川印象深到无法抹灭 以至于男女主完全没印象了。            
(3星)	 小学毕业那个暑假？            
(4星)	 纠缠不清的打打杀杀，情爱，喜欢主题曲            
(4星)	 这个我真看过。。。现在只对最后一集有印象了。。。话说那个老爷子全白地从旮旯里飞出来给反派致命一击神马的很给力的说~~            
(4星)	 老经典了            
(4星)	 曾经很迷恋，好像也有一部要自宫的武林秘籍。            
(4星)	 白素素。。不知道为什么对他的印象好深刻啊！！！            
(5星)	 太好看了！！！啊~~白公子！            
(5星)	 非常不错，前段时间下载了全集看了。            
(NA)	 无怨无悔我走我路 走不尽天涯路 只记得片头曲了 不过还是很怀念            
(5星)	 邱老大洗澡的时候。。。。。。哈哈，感觉她很像林青霞            
(3星)	 小时候            
(NA)	 原来改编流星蝴蝶剑啊。。。十二年前看过，今天在校内FTP上发现，再看            
(5星)	 神作！除了这个词找不到别的词形容了，十几年了还忘不了            
(3星)	 白玉川变成了个女的...........             
(NA)	 罗文 走我路            
(4星)	 第一次知道男人能变女人！！！！！当时被震惊坏了好吗！            
(4星)	 我到现在还会唱 无怨无悔我走我路            
(3星)	 李南星~~~            
(3星)	 小时候只要看新加坡的片子就有李南星……好帅……            
(NA)	 新加坡电视剧就是怪怪的            
(4星)	 经典老片            
(NA)	 小时候天天都要守到电视看            
(5星)	 葵花宝典--多经典得词啊             
(5星)	 儿时的记忆，永远的经典。            
(NA)	 笑红尘啊`            
(4星)	 永远的沈冲，小蝶是个神经病。            
(NA)	 哦哟~~念念不忘的呐~``!!            
(4星)	 现在在重温、小白真tm帅！            
(NA)	 童年的恶魔            
(4星)	 做梦都是葵花宝典            
(4星)	 豆瓣连这么古老的片都有！男女主角都是浮云，白玉川才是当之无愧的经典，从此我坚定地走上只看美色不管正邪的HC之路。            
(4星)	 融合了多部武侠小说的元素，经典。            
(3星)	 特效实在是烂。演员都很不错。            
(5星)	 太想再看一遍了！            
(2星)	 小时候看的新加坡连续剧。。不咋地。。            
(5星)	 豆瓣真是太强大了，小时候最喜欢看白玉川变女人的时候            
(3星)	 我就记得笑红尘了~不过当年好一通追看呢            
(NA)	 欲练神功，必先自宫。不知道他们练成之后会不会像剑雨里面的老太监，想要重新做男人。。。            
(NA)	 我不记得我是不是看过了  我记得我看过            
(3星)	 主题歌到现在都还张口就来～            
(5星)	 我他妈特意削了个木头剑冒充沈冲，但其实我还是喜欢高翔            
(4星)	 性启蒙（还是百合）！可惜现在不记得说的啥了，好像是变性的早期实践吧~            
(4星)	 虽然早已不记得情节，但是这个名字深深地印在我的脑海里            
(5星)	 无怨无悔我走我连，走不尽天涯路，人在江湖却潇洒自如，因为我不在乎。            
(4星)	 一个男人把自己阉了            
(NA)	 这居然都有，小蝶啊，上莲花宝典            
(NA)	 我承认我喜欢小白脸，白玉川那个杀哟            
(4星)	 白玉川            
(3星)	 太妖魔了好像 记不太清了            
(5星)	 怀念            
(5星)	 大蛇啊大蛇~~~            
(5星)	 唯一的缺憾只有两个：1 杨棠死得太早。2 集数少了一点，才25集。            
(4星)	 又是地方台六点档强剧，当年因为这部剧给同学起了沈葱的外号。从此她就变成了葱头。            
(4星)	 喜欢李南星            
(NA)	 就不喜欢白玉川  长得哪有南星俊俏~            
(4星)	 后来才看流星 蝴蝶 剑，才知道原来是合集改编。印象非常深刻，里边的每个角色那时候都感觉帅气潇洒 漂亮妩媚，即使是白玉川，现在来看依然如此。新加坡启蒙片～～            
(5星)	 天下第一杀手？            
(3星)	 完全忘了讲什么。只记得白玉川好型，还有曼陀罗            
(5星)	 融合男女外貌优点的人最帅，白玉川。小时候看的。            
(4星)	 当时很好奇里面忽男忽女的那个人            
(NA)	 我儿时的美好记忆            
(3星)	 变性什么的最萌了            
(5星)	 小时候看过，当时对李南星惊为天人啊。值得一看            
(4星)	 晕  这个也有！            
(4星)	 够老的 但是初中的时候很是痴迷新加坡武打片啊            
(4星)	 就是女主角太难看            
(4星)	 幼期迈向拉拉的第一步~来吧~塔琳托娅~~            
(NA)	 小碟还不如丫头好看，悲催了。            
(4星)	 保留剧目            
(4星)	 说实话这部片子里没有一个人可爱，白玉川是个英雄，可惜命薄            
(NA)	 红莲花，白莲藕，一根竹竿天下走。偶居然连这个片也看过。。。            
(5星)	 童年一直的回忆            
(5星)	 经典的儿时回忆~~~沈冲，你太帅了！不管有多少人喜欢白玉川，我最爱的只有你！            
(NA)	 原来我这么小就走出国门了。。。当时里面有个小蝶觉得特好看。。。嗯，当时。。。小时就喜欢打打杀杀，怎么这么暴力呢?            
(4星)	 金庸+古龙             
(4星)	 绝对是新加坡最经典的电视剧之一。。            
(4星)	 怀恋一番 小时候我一直以为这部电视剧叫棉花签签            
(4星)	 白玉川，无人超越的经典            
(4星)	 小白~~~            
(4星)	 最喜欢里面的插曲            
(5星)	 小时候看过，葵花宝典扫盲篇            
(4星)	 小时候追得勤            
(3星)	 不记得了            
(4星)	 童年  青春            
(4星)	 小学时，让我看得如痴如醉的新加坡电视剧，一部是《惊天大阴谋》，一部就是它。当时很流行新加坡剧。            
(3星)	 主题歌超好            
(NA)	 真的快没映像了，是不是有首主题曲...            
(5星)	 记得当时看到这部剧时自己家的电视收不到台，每天只能找各种借口去大伯家，在串来串去的信号中联想着“无怨无悔我走我路，走不尽天涯路”的豪情旷远。今天补课，多年后发现邱老大还是演的好，很象张曼玉。            
(4星)	 啊哈哈，啊哈哈。            
(4星)	 童年的回忆            
(NA)	 儿时回忆            
(2星)	 本片我给五分，完全是因为青少年时代的记忆所给，本片是个不折不扣的垃圾剧集，经典是不容时间的流逝而褪色的，本剧完完全全经历不起时间的冲击。没有一个好好的遵循原著或者找个专业编剧，完全七拼八凑的故事人物和情节，导致了本片的绝大多数的人物性格极其古怪，前后不靠谱。最后更加是草草收尾。又            
(5星)	 应该是新加坡电视剧的经典了            
(5星)	 要练此功，必先自宫！            
(3星)	 莲花宝典和葵花宝典一度分不清            
(5星)	 里面的小蝶真好看            
(4星)	 塔琳托娅扮演的男人真像，嗅不出一丝女人的味道， 功力不是一般的深。            
(4星)	 主题曲很经典！            
(3星)	 当时有线电视台播这个小时候特别着迷            
(5星)	 小时候很喜欢            
(5星)	 这部电视剧让我知道了退隐江湖隐居山野的浪漫幸福。            
(4星)	 塔琳托娅 亦男亦女都迷人            
(3星)	 白玉川让幼小的我知道了什么叫变性人            
(4星)	 无怨无悔我走我路~~~            
(5星)	 太经典了。            
(4星)	 童年噩梦来源            
(5星)	 白玉川。。曾经在小孩圈里不绝于耳            
(4星)	 无怨无悔我走我路~~~~~~~~主题曲 哇哈哈            
(3星)	 这是我简短的人生中第一次知道“葵花宝典”这个东东~~启蒙啊~~            
(5星)	 小仙最佩服武林之人，小仙修炼为成仙；武林人士修炼为了当哥。            
(NA)	 哈哈哈,有阵儿特迷这个            
(5星)	 一部好剧一定要有一首成功的主题曲。向罗文的《走我路》致敬。            
(NA)	 绝对经典啊 很喜欢中间的插曲 什么时候能重播一下啊            
(4星)	 新加坡的剧，印象深刻，尤其是白玉川...            
(NA)	 不明白为什么那么多人喜欢白玉川，虽然我也不喜欢沈聪。            
(4星)	 那部莲花宝典，记忆深刻啊            
(4星)	 很明显的可以看出流星蝴蝶剑的影子，难得的深具古龙气的一部电视作品，只是女主角好像不咋的，还是妆容的关系？此为遗憾。            
(NA)	 白玉川塑造得太成功了！居然有这样的女演员，能够把男性也演绎得如此出神入化，而在同一剧中又能把女性也演绎得娇柔妩媚。简直无与伦比！白玉川和段素素，太经典的形象了！            
(4星)	 当时觉得白玉川好帅啊            
(4星)	 现在回过头来看依然不错，算是经得起岁月年代，不罗嗦剧情推荐得很快很紧凑没什么大漏洞，招式很利落漂亮，而且演员很到位尤其是那位雌雄同体的小白同志，以及美美风情的风二娘（除了龅牙蝶）            
(5星)	 对小白的男变女印象深刻。。。。以至于后来看到“葵花宝典”四个字的第一反应是小白而不是东方不败= =            
(5星)	 我突然回忆起来我的小时候都看了些什么呀？！            
(4星)	 片头曲太好听了            
(NA)	 天哪  白玉川！！！！！            
(NA)	 看过才知道，这也是个山寨版            
(3星)	 那段时间新加坡的电视还有点小流行的            
(3星)	 告诉我那演员到底是男还是女啊啊啊啊啊啊啊啊啊啊啊啊            
(3星)	 很久以前看的……            
(5星)	 还是那时引进的新加坡片多，这部算是新剧武侠鼻祖了            
(4星)	 爱白少            
(NA)	 李南星，小蝶，葵花宝典            
(4星)	 里面那个伪娘很不错            
(4星)	 那时候很萌李南星            
(4星)	 白玉川，南宫剑，南宫蝶，沈冲。。。现在还都记得清清楚楚            
(NA)	 当时看挺好看，就是普通话有点生硬            
(5星)	 新加坡当年的经典之作!            
(5星)	 那是一段深刻的记忆！！            
(4星)	 对变性的初步了解。。神秘的曼陀罗花~            
(5星)	 我只记得一个不男不女的白衣人，一个亦正亦邪的白莲教。            
(4星)	 看完小说就是喜欢律香川。这个电视剧只存在于记忆中吧，只记得好那些美美地在天上飞的采绸和女人，还有一个从男人变成女人的人，还有一个很帅气的正义英雄和一个柔弱的不怎么漂亮还搞不懂情况的姑娘。            
(5星)	 那个向小白表白的~~~太造孽了            
(5星)	 我最喜欢的武侠剧。            
(4星)	 记得有个 很帅的姐姐            
(5星)	 这部片子太经典了！！！            
(5星)	 新加坡據。。東方不敗。哈哈            
(3星)	 慕名而看, 觉得台词太弱了些.            
(5星)	 爱死二娘了            
(4星)	 男女主角都太丑了，好在有一个白玉川，做男人的时候比较帅，做女人的时候比较美。只是总是觉得奇怪，为什么我当年就是不觉得白玉川是坏人呢？            
(4星)	 白玉川，莲花宝典，记忆里第一次知道男的可以通过~~变成女人            
(3星)	 那个人一开始就是女人演的吧            
(3星)	 小学时看的。那个男主角叫什么来着？当时觉得他好帅啊。还有就是炼成莲花宝典好像要。。。。当时不懂～            
(4星)	 长大了还追着在土豆网上重新看两遍            
(4星)	 李南星 第一代新加坡帅哥，白玉川的葵花宝典。之后也才接触《笑傲江湖》，方知……            
(4星)	 透着一丝DM气息的古龙小说杂烩改编剧=v= 很好很强大            
(NA)	 经典呀~~~白玉川呀~~`那曲子是《雪千寻》~~~~~~~~~            
(4星)	 前天和老婆一起在土豆翻老片，只是翻片段，从梁朝伟版的绝代双骄，梁家仁版天龙八部，发哥版笑傲江湖，莲花争霸，绝代双雄，何家劲的包青天，刺马，八仙过海，上海风云，硬是狠狠得怀旧了一把。            
(2星)	 隐约记得看过的            
(5星)	 小白迷人海中的一个            
(4星)	 没细看，只看白玉川和段素素            
(3星)	 南星同学很帅            
(3星)	 当时看还可以。            
(5星)	 童年回忆            
(5星)	 白玉川            
(3星)	 这是我小时候的回忆啊~~~~当时被惊艳到了            
(4星)	 除了主题曲，啥都没记住。            
(5星)	 小时候好喜欢看啊            
(4星)	 小时候的经典啊  可惜没看完整            
(3星)	 很好的新加坡片子            
(4星)	 既有像葵花宝典的莲花宝典，又很像流星蝴蝶剑。李南星很帅，小蝶不咋地。。歌十分的好听，很有江湖的味道            
(4星)	 又回顾了一遍，感觉好多雷同情节            
(3星)	 主题歌很不错啊            
(3星)	 还是不错的 ，即使现在来看            
(4星)	 现在才知道这是新加坡的我好挫囧RZ            
(NA)	 天哪.这么老的电视剧都挖出来啦???            
(4星)	 隐约记得主题曲。。。            
(NA)	 记录            
(3星)	 有点模糊了            
(4星)	 曾经痴迷过的一部剧            
(3星)	 印象最深的就是那个亦男亦女的白玉川            
(NA)	 回忆            
(5星)	 小时候就喜欢！            
(4星)	 我肯定看过，但是完全不记得情形了……            
(4星)	 很喜欢白玉川！            
(4星)	 现在才知道有李南星了。            
(4星)	 高中时看的，印象深刻            
(4星)	 对对对,就是这个电视剧,小时候超萌~            
(4星)	 旋律真是熟悉啊。            
(4星)	 那个时候新加坡剧很火啊。。            
(NA)	 那时候新加坡剧真是热播的厉害，而且也是盛产时期            
(4星)	 那个演“变成女人的男人”的女人真强            
(NA)	 看过记不清楚了            
(NA)	 哈哈~这个也能找到！            
(4星)	 似乎是第一次接触到“自宫”            
(4星)	 呵呵            
(4星)	 童年的回忆，其实已经记不起内容，依稀感觉小时候很喜欢，歌也会哼            
(NA)	 还真看过呢 而且当时在播《梅花三弄》 二弄之后就插了部这个 我还纳闷 怎么梅花变莲花了            
(5星)	 唯一不明白的是，为何那么丑还有小胡子的南宫小蝶会有那么多男人觊觎……            
(3星)	 那个不男不女是个真正的马脸            
(NA)	 白玉川            
(NA)	 很久很久了。。。。            
(5星)	 哈哈~~去年才重温了一遍            
(3星)	 忘没了。            
(3星)	 还真有这么变态的人，服了            
(3星)	 印象中的人妖也是从这里的东方不败开始的吧？？            
(5星)	 童年深刻的回忆            
(3星)	 那个人妖最美了            
(5星)	 那个年代就拍出这样的好剧，不简单阿            
(NA)	 经典```小白小白```吼吼            
