http://movie.douban.com/subject/1856299/	宫 궁
(4星)	 律……当你说要带彩京去看面包树的时候，我就喜欢上那犹如金黄色麦穗头发的你，你是住在B612的小王子！可叹的，在平行时空上，骄傲的玫瑰花依旧不属於你……愿在2500万年後在数星球流浪的你，可以拥有属於你的向日葵。            
(5星)	 再看，还是被感动            
(2星)	 说实话我真的不能理解韩剧女主角的思维…阿门。            
(4星)	 初一看的剧了。。。那个时候怎么知道现在会这么喜欢宋智孝            
(5星)	 我揍是喜欢能怎么样！！！            
(5星)	 曾经的回忆。永远的少女情结~            
(4星)	 这部剧好就是好在没有太多腻人的甜蜜，一般男女主甜蜜之后就是很无聊的了。看在够虐的份上给多一颗星            
(5星)	 又是一部充满回忆的电视剧！！            
(2星)	 只有金正勋入我眼了            
(4星)	 还算好看的说~            
(3星)	None
(NA)	 十几岁的时候我也是灰姑娘控，喜欢一切版本的王子爱上善良妹子的故事            
(NA)	 初三的时候看的，就记得尹恩惠 真的越来越漂亮了咧            
(5星)	 韩剧的一个顶峰之作，后来许多都不能逾越~~~            
(5星)	 哈哈！高中时的大爱            
(5星)	 大爱的韩剧！！！翻看很多回了~咔咔咔。。。泰迪熊吖！！！            
(3星)	 唯一看完整的韩剧 喜欢里面的配色            
(4星)	 曾经很喜欢的，信君吃醋的时候太让人激动了~            
(NA)	 经典韩剧  尹恩惠真是太美了            
(4星)	 为王子梦和公主梦            
(4星)	 跟妈妈一起看。她很喜欢。娱乐。            
(5星)	 朱智勋很有魅力啊 知道他吸毒之后觉得好囧= =我发现自己喜欢温柔型的男二，但是男二太温柔了又觉得他墨迹= =受不了了            
(3星)	 看到后面实在是觉得女主角和男主角有种说不出的怂~看不下去了！！！完全为了笑起来很好看的律君，给个三星半吧！            
(1星)	 扭曲的价值观和爱情观..            
(4星)	 高中的爱~            
(5星)	 音乐很好听~~~            
(4星)	 假设韩国也是君主立宪制国家，呵，真有趣，可以天马行空地编故事了。看完之后，我发现自己很喜欢尹恩惠，原来，可以装扮成假小子的她，也这么有女人味。一开始，我是比较喜欢律的，他总是充满阳光——即使在忧伤的时候。渐渐地，发现信的魅力，他只是不善于表达，他对太子妃的关心，并不少。这个不知道            
(5星)	 都说很好看，可是我就看过前面几集            
(3星)	 反正我是横看竖看都不喜欢朱智勋            
(5星)	 我是男一党男一党。            
(5星)	 信            
(4星)	 当时和妈妈一起看的，总的来说，不错。            
(3星)	 当年我就是个外貌控，虽然信的性格还不错可是颜实在抱歉            
(3星)	 终于把它看完了。。哎。。我怎么这么落伍。。好吧。。发现自己现在完全看不了韩剧。。看的时候就像便秘或者是拉不干净的感觉。。            
(5星)	 让人心疼的信，还好他遇见了彩晶            
(5星)	 这是我做爱的韩剧！            
(5星)	 画面漂亮死了‼            
(4星)	 看好几遍了            
(4星)	 尹恩惠也是我的爱~哦也            
(NA)	 初中，因为两个同学的争论，律和信，谁更帅，无聊吧，可是这是原因，十几岁的我们，看剧只是因为长相，哈哈            
(NA)	 我真无聊  不过 金正勋真萌啊 撅嘴啊微笑啊受伤的小样啊 真能激发母爱 不知道你最近可好            
(3星)	 申彩静太次了            
(NA)	 当时被华服和帅哥给迷了。            
(3星)	 在日本和章鱼等三人通宵一气呵成            
(NA)	 苦逼的男二            
(4星)	 尹恩惠紅了~            
(4星)	 比较经典            
(2星)	 李朝立宪            
(3星)	 当时不多的新瓶装旧酒的典型            
(NA)	 好像有那么几年的光景  像得病了样的重复看屏幕里的信君  怀念你            
(NA)	 很难得的看完的一部完整的韩剧。            
(4星)	 推荐吧，不算我最喜欢的剧，但是也不错            
(NA)	 所谓贵族的爱情。            
(5星)	 因为这部剧喜欢上尹恩惠~            
(4星)	 朱智勋身上有很干净的贵族气质呀            
(5星)	 第一部韩剧，心中的最经典            
(4星)	 透过影片一窥韩国的宫廷体制。            
(5星)	 看过次数最多的电视剧，从此爱上了尹恩惠清新自然的表演风格，爱上这部剧，真的只因为她。            
(4星)	 高中时代看的···哈哈··那时候很喜欢律，现在喜欢信了。哦，口味变了！            
(4星)	 说实话，主要还是因为喜欢尹恩惠。            
(2星)	 恩 年纪小的时候会觉得好看吧~            
(NA)	 最后几集有点看不下去。。。            
(4星)	 当年买了碟，看到半夜的剧哎            
(4星)	 优酷上的声音字幕不同步~也就看到一半~~~            
(5星)	 韓劇啓蒙            
(4星)	 挺好看的             
(5星)	 尹恩惠哪时候多可爱，现在完全走sexy路线            
(4星)	 还是很喜欢尹恩惠的！ 哈哈 很早之前就看过这个漫画啦~ 电视剧有点略拖沓            
(4星)	 开头挺有趣 但最后又落入韩剧俗套 墨迹的对话 洪水般的眼泪 但景色和柔和的光是我看下去的支柱            
(4星)	 剧情不行，但是女主角，我比较喜欢，最好看的，就是女主角换个不停的衣服了，各色搭配吖。            
(3星)	 我还近乎看了两遍。            
(4星)	 尹恩惠稀饭你啊！            
(NA)	 无论怎么说 韩剧的色彩还是拿的出手的            
(4星)	 世界上有那么多因缘，而我们偏偏只选中从开始就没有意义的那一条。 但是感谢有你。            
(5星)	 喜欢            
(NA)	 好看的第二部            
(5星)	 很少见的，喜欢这么一部韩剧，以往看过就忘了，这个，几年也忘不了，喜欢这样的情节，这样的演员，不知为什么，感动，但是结尾稍微仓促了            
(4星)	 一直觉得男主角很可惜。明明有宽阔的前路，大好的青春年华，为什么要吸毒呢？为什么呢。            
(3星)	 金正勋迷人 还特意去买了唱片            
(3星)	 典型的韩国爱情偶像剧，所有元素基本都齐全，男主角不符合我审美。            
(NA)	 。。            
(4星)	 当时还有华娱卫视的时候 看的            
(4星)	 记得当年喜欢律的自己            
(5星)	 中考一结束就看的剧呐 = = 多少年了这是            
(4星)	 teddy bears            
(5星)	 喜欢尹恩惠就是这个时候开始的。            
(4星)	 构思不错。            
(3星)	 现在越来越喜欢智孝了，不知道为什么~哈哈            
(5星)	 突然之间好想再看一次。            
(2星)	 剧情太邋遢，，没起伏 没高潮 没感觉            
(4星)	 还是更喜欢信            
(5星)	 不能不爱信太子~朱智勋             
(4星)	 没看全，律王子好可怜~            
(5星)	 最喜欢的韩剧，信王子            
(5星)	 比较搞笑，各种经典            
(2星)	 闹            
(4星)	 初中时候看的。。            
(3星)	 n久以前看过。。            
(1星)	 实在不知道搞笑好看在哪里了。。。男女主演技真是不敢恭维。            
(5星)	 那一年最爱的CP啊 尹恩惠 朱智勋            
(5星)	 喜欢wuli恩惠mm            
(4星)	 韩国的宫，华丽的争斗            
(NA)	 韩剧嘛            
(NA)	 那个时候迷恋的不得了            
(5星)	 韓劇其實還是很有魅力的_(￣0￣)_[哦~]             
(3星)	 帅哥美女华丽丽。四角纠结和后半部分剧情无力是韩剧通病。啊，我的十八岁，原来已经远去。            
(3星)	 哎、、狗血的剧情实在是太多了，而且我十分不待见男一号那种小白脸的男人。男二号也是一脸小受样。。有一星是给那个慈祥的奶奶的。。奶奶每天头顶一个假发套，拍戏辛苦了。。            
(3星)	 估计看的时候已经上年纪了，所以就完全是看看服装和美女帅哥~只要皇帝黄后一开腔，我就马上快进！那个小熊很有爱，喜欢死了！            
(5星)	 时隔五年，还是觉得很好看。无论是剧情还是演员，抑或是服装以及配乐，都很精彩。            
(4星)	 成就了三位主演的电视剧吧，有人喜欢信，有人喜欢律。我觉得律会让女生感到幸福，但信更想让女生依靠，我在找我的信~            
(NA)	 宫，不仅仅只是喜欢！            
(5星)	 我喜欢信。不喜欢黄毛。            
(5星)	 经典之作了 可爱俏皮啊            
(4星)	 大学时期在宿舍一起看的，剧情全忘了            
(3星)	 我没看下去……            
(2星)	 韩剧表情太夸张，尹恩惠太土了，看两集就看不下去了。            
(3星)	 快进看的            
(4星)	 制作精良的韩剧呀            
(4星)	 高中中毒太深，看到最后连孝琳都喜欢了。。            
(5星)	 怀念啊，信            
(4星)	 初三的时候 偷着看              
(5星)	 尹恩惠~            
(4星)	 当年脑残的我被这帮帅哥美女团骗去了不少眼泪            
(4星)	 咱还是爱男2~            
(3星)	 金正勳不比那個男一好啊            
(4星)	 当年第一次下载韩剧来看，字幕组真的很用心，特效与影片画面风格很撘，喜欢里面的帅哥和美女。            
(4星)	 跟着老妈一起看            
(NA)	 当时迷死我了= =            
(5星)	 少女时代的美好回忆、perhaps、            
(4星)	 看了好多好多遍            
(4星)	 好看。好笑。新奇。            
(5星)	 简单丰富，有苦有乐。            
(4星)	 托这部剧的福，捧红了三个人。与那几年的其他电视剧比较，这部剧画面优美干净，场景精细，服装道具更是用心，华丽丽地俘获了我的心啊！            
(4星)	 那时候很红很红，看到是dvd。看了好多遍哦            
(3星)	 几年前看的韩剧，当时很爱，现在阅剧不少后也没当时那么喜欢了，还是可以推荐给小女生看。            
(4星)	 跟着我妈看。。            
(5星)	 高三看的，哈哈。一天灭完。纯喜欢剧情。            
(4星)	 二皇子很帅啊~            
(NA)	 一直喜欢太子            
(5星)	 從一開始角色個姓強烈，令人相當討厭，到兩人相愛的離別之吻。男主角的演技真的讓人讚賞，聽說那場吻戲親太認真，還讓女主角備受驚嚇呢。            
(5星)	 太经典了！！！！！            
(5星)	 当时觉得律太可怜了，一度看他演反派角色都不觉得讨厌            
(4星)	 前16集很好笑 后面就很冗长了...            
(4星)	 相对在韩剧来说，还是不错的。            
(NA)	 剧情编写，人物设置，符合少女的梦            
(NA)	 也蛮扯的。。            
(NA)	 还是这里尹恩惠可爱            
(5星)	 唯一一部，所有演员都让人喜欢的剧…            
(NA)	 不止一遍            
(3星)	 这剧红的一塌糊涂，特别是在中国，但为啥我没觉得好看，却觉得很拖呢，但是看完后倒是觉得金正勋和尹恩惠还蛮有潜力的。            
(4星)	 比较经典！            
(4星)	 看了这部剧喜欢尹恩惠，比较喜欢信，对律完全无感~            
(NA)	 这个好看的~            
(5星)	 早期看的 仍然能记得该剧片头曲            
(5星)	 这是让眼睛度数骤然增加400度的片子            
(3星)	None
(4星)	 算是最早接触的，看完整的韩剧了~            
(3星)	 尹恩惠蛮好看的。两个男猪可能不是我的菜吧。衣服都很漂亮，每集的处境服装都不一样，羡慕~            
(4星)	 律王子~~            
(1星)	 剧情进度太……然后演员不想吐槽~忍了几集后实在看不下去！！！！！            
(3星)	 除了男主角，都满好看的。用快进看，过。            
(5星)	 曾经最爱的一部剧。            
(4星)	 这个好像也断断续续地看了~还是那个夏天的事情，太傻            
(5星)	 喜欢尹恩惠的可爱~            
(4星)	 ok啦..            
(5星)	 高中时候就看过，但是百看不厌            
(3星)	 不喜欢男主，不喜欢女主。            
(4星)	 尹恩惠演的很好            
(5星)	 好看的童话            
(3星)	 剧情有点太磨矶了            
(4星)	 高中的回忆 后来翻看就觉得不好看了            
(3星)	 虽然剧情很狗血，但当年纯洁的我还是被律迷住了。            
(2星)	 这么好的题材，纯让PC拍瞎了。。。            
(4星)	  尹恩惠最好的一部~            
(3星)	 韩剧的最初始时期。金正勋，银杏树下阳光般地灿烂笑容。贴过海报。            
(4星)	 主角如今都已物是人非了            
(5星)	 是从这个片子开始喜欢尹恩惠的，好可爱。            
(5星)	 喜欢恩惠~~            
(4星)	 小熊真可爱~~\(≧▽≦)/~            
(4星)	 我懂信……            
(NA)	 我妈咪看到这个圈圈说  子宫？！  晕            
(5星)	 律            
(3星)	 越到后面后面反而不喜欢了~~            
(4星)	 其实那个女主角不是很好看            
(5星)	 至今为止个人最爱的韩剧            
(3星)	 很俗的三角恋，但是很有新意            
(4星)	 这部剧姐可看了三遍啊！可是尹恩惠你太让我失望了，演的剧一个比一个不如宫。            
(4星)	 当年很是喜欢啊啊啊啊            
(4星)	 首播的时候引起很大的轰动~全班是个女生都开始在侧面扎个丸子头~还分为两派为了那俩王子吵架~            
(5星)	 诶好韩剧就是可以让人纠结在男一和男二中间            
(4星)	 挺好看的。            
(5星)	  爱恩惠,不解释！            
(NA)	 至今感觉非常浪漫的电视剧。            
(4星)	 很好的电视剧了，            
(2星)	 除了男二号和绚丽的着装、背景，毫无亮点的剧。。。剧情拖沓和空洞到让人难以忍受。。。             
(4星)	None
(5星)	 就编吧，编吧~看能不能编成真的~            
(5星)	 非常好看            
(2星)	 太不行了，第一集没看完就弃了...........................................            
(5星)	 尹恩惠~~~早期作品  也很不错   我永远喜欢男一号   我姐永远爱男二多一点   纠结            
(3星)	 在家和我妈一起看完的。。。            
(4星)	 爱上男主角~            
(3星)	 当年看的盗版盘，完全被那个国语配音毁了。貌似现在最红的是尹恩惠。            
(4星)	 偶尔YY一下皇族也不错...            
(3星)	 第一部韩剧~~~            
(5星)	 唉 很美好 可是更让人感到现实的残酷            
(4星)	 想象力略穿越= = 金正勋超赞~            
(1星)	 不怎样啊            
(4星)	 是我唯一看完的韩剧            
(4星)	 也属于比较无感的韩剧，但是景色漂亮干净。            
(4星)	 少女死了            
(4星)	None
(4星)	 捧红尹恩惠的经典之作啊            
(4星)	 有没有人觉得男一号长得很像尚雯婕。。。            
(4星)	 音乐好听。。            
(4星)	 服装，人物都很养眼。            
(4星)	 剧情稍有拖沓，我看过三遍每次都是快进，每次都是不到结局就看不下去了            
(3星)	 金正勋啊，迷死你的微笑了~            
(4星)	 很多人喜欢那个男二号，可是我觉得男一号更有气质吧，            
(4星)	 就是看了这部才喜欢韩剧，喜欢尹恩惠。            
(5星)	 看的第一部韩剧 所以感情很深。律王子闹木帅~~~            
(3星)	 还是男人帅            
(5星)	 爱情童话的楚翘            
(3星)	 从宫开始，我就觉得尹恩惠一直选没什么含金量的片子。            
(4星)	 比较喜欢太子殿下            
(NA)	 这暑假看的最难看的电视剧了。            
(2星)	 我只能说，棒子太会YY了，丫的还皇室，看得我烦死了，拉住快进条，我拖，我拖，我拖拖拖。。。            
(5星)	 现在再想想虽说觉得演技有够差劲 剧情有够狗血 弥漫着小女生执意的幻想的世界 但是吧 这剧算是打开了我曾经一年两年都在追着看韩国肥皂剧的大门……纪念一下～信君灰常帅～            
(4星)	 金正勋很帅，伊恩惠很可爱。那时蛋疼没事做看了这部片子，主要是先看了书，结果发春去看完这部片子            
(4星)	 就那样吧~布景挺华丽的            
(5星)	 高中的最爱啊。            
(5星)	 至今為止最喜歡的韓劇。            
(4星)	 还是蛮有创意的设定~而且服装器具都很美，只是男一真的不够男二夺目啊            
(4星)	 剧情老套，灰姑娘打败公主，嫁给王子            
(NA)	 看过，韩国王子的爱情，不过据说男主角吃过毒品，不知道真的假的            
(3星)	 为什么人气会高呢 貌似当时还是喜欢男二~            
(2星)	 一星给尹恩惠，一星给律，剧情弱智            
(3星)	 唯一看完的一部韩剧。不是因为它有多好看，是这类不对口味。            
(4星)	None
(5星)	 19岁也可以结婚咯、、、            
(5星)	 我爱尹恩惠的运动裤~~            
(4星)	 5年后重温，还是有感。“彩静是太子妃之前，首先是我的妻子。”唉。虽然吧里几乎所有人都喜欢律，我却自始至终偏爱信。从彩信身上看到了直树和湘琴的影子。有些人一点没错，拿回自己的东西本无可争议，但是，拗不过命运。            
(4星)	 要不停的往后拖拽，让我想到了又臭又长的韩国家庭剧。女主角的衣服层出不穷，看着不错。            
(NA)	 好看的 题材新            
(5星)	 连我哥那种从来不看韩剧的人都推荐这部剧...            
(5星)	 高三那时还逃课去网吧看            
(3星)	 看过一两集 不是很喜欢 有点无厘头            
(3星)	 那时候十分迷恋金正勋…！            
(5星)	 无法超越的一部偶像剧。            
(3星)	 换汤不换药。            
(5星)	 从此喜欢上了三个主演            
(5星)	 最爱律王子            
(2星)	 少有的让我看不下去的偶像剧、、 、、            
(4星)	 唯一一部完整看过的韩剧。。。！！            
(5星)	 就是这种爱情            
(5星)	 我心中 无可替代            
(3星)	 ……看过貌似            
(4星)	 刚看的时候觉得特别好看，后来剧情变得有点拖沓和沉闷            
(5星)	 信君...            
(4星)	 还可以。            
(3星)	 高三时的大爱，啊，透露年龄了- -！            
(3星)	 很早以前就看过的韩剧~一贯地拖拉            
(4星)	 要死的个~那时候还借碟看的啊~高三了啊~每天晚上不读书就看这些个脑残片啊~!!!!!            
(4星)	 前边挺欢乐的，内什么。最后还是有点拖沓            
(3星)	 狗血的剧情和生硬的演技是韩剧里面也难见的。。。不过题材确实很有意思，恩惠也确实可爱，所以看完了。            
(4星)	 当时的小经典            
(5星)	 太爱朱智勋了，，，，            
(4星)	 美好的童话故事            
(3星)	 新颖的故事背景 使这部剧瞬间火起来，但韩剧爱情片终难逃两男两女 感情发展的轨迹，看多了便没什么新意              
(4星)	 人家觉得好看的时候我不看的，后来补习了下下            
(1星)	 我爱尹恩惠！！！！            
(5星)	 我原来是多么喜欢朱智勋啊            
(NA)	 当年也是狂追的一部片子，很喜欢皇太子的性格，可惜朱智勋因为吸毒就这么被毁了。            
(3星)	 当年很喜欢律啊- -....当年小女生花痴啊....            
(4星)	 越看到后面越觉得那两人其实挺配的，把爱藏在心里不好意思说出来的一部剧里有一个就够了，其他人还是直接一点好，这就是我喜欢的地方            
(4星)	 当时好心疼律王子···            
(3星)	 至少满足了大家的王子梦            
(NA)	 曾经的最爱            
(5星)	 我最爱的韩剧！！！！！！！！！！！！！！！！它让我相信爱。            
(5星)	 百合乖乖的娃娃眼神呀            
(5星)	 爱尹恩惠            
(5星)	 律王子的温柔，当年征服了很多女生。又是一部男二秒到我的韩剧。            
(4星)	 结婚那段笑喷我= =            
(4星)	 当年可真火，可是我真的还是比较喜欢朱智勋呀            
(2星)	 看完一段時間後，除了對女主角的臉容稍有印象，其餘的都忘得一乾二淨。            
(2星)	 我看的国语配音版,,,非常2............B..            
(5星)	 具有皇族气质的人最爱的一部韩剧，尹恩惠自《XMAN》综艺和金钟国演绎官对走红，在《宫》奠定一线地位。            
(4星)	 唯一看过的棒子剧 = =            
(3星)	 看一遍的偶像剧，喜欢尹恩惠            
(4星)	 当初看了好多遍的电视剧 最近又翻出来看 就是童话故事 姐也曾经萝莉过！电视剧的魅力就是 即使男一不怎么样 看完之后也会觉得他帅得一塌糊涂!  其实这部剧现在给我的 还有大学时代的回忆 当时宿舍姐妹在我的怂恿下先后看起来 一开始都说男二帅 看完后都同意姐的观点 男一更帅 哈哈            
(5星)	 我爱律王子~~            
(5星)	 超爱的韩剧，与桢勋结识的剧，看过无数遍的剧            
(5星)	 韩剧 top 1，那个时候真的是超迷彩京啊            
(5星)	 好看啊好看。高三时偷偷看的。当时萌死律王子了。            
(4星)	 女主角很美，很善良            
(4星)	 初期的尹恩惠，有点胖胖的很可爱            
(5星)	 最喜欢尹恩惠的一部韩剧 可惜了的朱智勋....            
(NA)	 06年和津京一起看的...喜欢..还买了宫二的书看了.还有好多画册..            
(NA)	 高中的时候超级想看却没看完，等大学有时间再看却觉得没意思了……            
(4星)	 喜欢律~            
(4星)	 很喜欢信啊 现在很难得再看到当年恩惠清纯可爱的摸样了啊            
(5星)	 最爱的韩剧之一，如果一部电视可以让我回过头去再看一遍，至少在我心里面，就是经典了吧！            
(4星)	 这么经典的韩剧　居然还没过８　诶～            
(4星)	 24集啊 太王子了            
(4星)	 记得那年我初二看的~             
(3星)	 中考前很迷这个            
(3星)	 看过一点，没想到尹恩惠那么高~            
(5星)	 尹恩惠            
(NA)	 最爱的一部韩剧。看了不下三遍！场景、服装神马的，都精致无比。关键是，男女主我也大爱。一直怨念，信君和彩京两人三分之二剧情都在为女二而困扰，相互间的互动太少了！太少了！！            
(5星)	 也许现在再看就没有当初的激动，但是作为高考后第一时间看完的剧，纪念一下。            
(NA)	 你是我的妃            
(5星)	 很好看，信王子很王子，律王子很让我心疼，恩惠版的彩京各种萌啊。恩惠在里面穿的衣服真美。HOHOHO。            
(NA)	 绝对的经典，每次看都爱一次，从这部剧开始，尹恩惠就是我的女王啦。哈哈            
(5星)	 挺好挺好~            
(4星)	 不错哟，第一部正式韩剧            
(4星)	 后面拖拉的我想吐。就不明白了为什么那么多人喜欢男二号= =            
(5星)	 王子控。。。            
(5星)	 哈哈~当时中考完了捧着电视好一个看呢~            
(5星)	 对追偶像剧的人来说最尴尬的就是男一男二都好喜欢- -            
(3星)	 看了两集，弃。            
(3星)	 虽然是NC女执着爱的故事，可是她为什么不选金桢勋呢~！！！应该要是皆大欢喜的结局的呀！            
(5星)	 看过的第一步韩国的片            
(4星)	 虽然现在看不觉得有什么，但是在高一的时候，完全着迷，可一直到高三暑假才有机会看完全剧。一部断断续续看了三年，贯穿我高中生活的剧啊~~~            
(3星)	 那时候迷金正勋迷得要死！！！还有我是最先发现朱智勋像尚雯婕的！！！然后被喜欢朱智勋的同学打的半死！！！（开玩笑哈哈            
(5星)	 \(^o^)/~            
(3星)	 剧情有点粗糙~  衣服比较好看~            
(5星)	 当时很爱的一部剧，尹恩惠在里面演的很不错。、            
(3星)	 总之我是真的看了一半睡着了就弃了。。。            
(NA)	 记得上大学时 我们宿舍通宵看的一部电视剧 哈哈 喜欢信和彩京 好可爱            
(3星)	 漫画比较有爱            
(3星)	 这三星是为了尹恩惠和男二号给的            
(5星)	 最近重温  依旧爱的不行            
(5星)	 纯净美好的少年爱恋            
(4星)	 我绝对相信这是一部励志剧，尤其是我看了金正勋的经历之后，当年摊开世纪金榜能做好久。            
(NA)	 当年 理解了一个道理“男主是用来看的，男二是用来爱的。”            
(4星)	 尹恩惠的出名之作！            
(4星)	 又是王子和灰姑娘            
(5星)	 最爱的韩剧 爱死信王子了 看了好多遍。。。。。            
(4星)	 。。。初中时特喜欢。。。（....）            
(4星)	 在考试前的某天重温了一遍，第一秒钟觉得自己那天以及当年的脑子运行方式不对，第二秒钟及其以后，不后悔看了这部电视剧。它与很多歌曲、电影对我意义一样，代表了一段时间，一种与过去联系的捷径与通途。            
(4星)	 尹恩惠的成名作，算是韩剧中制作很精良的            
(4星)	 少女时代滴宠信啊 O(∩_∩)O            
(4星)	 记忆深处。            
(4星)	 被剧中眼泪淹了，想打3分，堂妹推荐，+1分            
(3星)	 初二暑假，那时候太火了，金正勋帅帅。。。            
(4星)	 一度还蛮喜欢的... 那时大学的老师说 之所以女生会喜欢是因为它是一部描述了很多女孩心中都曾有过的公主梦，再平凡的女生也可以是公主~            
(3星)	 金正勋两颗星~~            
(5星)	 经典啊！喜欢信！！！！！！！！            
(4星)	 好吧，在大学无聊的时候，看电视剧果然还是可以消磨时间的！            
(4星)	 当年我那个喜欢这部剧 啊            
(5星)	 美好的童年记忆。            
(4星)	 当年太火了~依旧只看了一半~但是律王子在当时真的诱惑我了            
(3星)	 布景挺漂亮的            
(4星)	 改编于同名漫画。            
(4星)	 07年，期末季，破格的寝室四人通宵看完此剧，第二天早上泡图书馆下午考试，气愤过，伤心过，感动过，甚至后来还看过第二遍。虽然是同样的典型的韩国剧路线，童话式灰姑娘的故事，但是身为小女子的我就是喜欢那种感觉            
(5星)	 永远的经典！！哎~少女心中的梦想哇~~每一个人物的塑造都很成功，赞之！！            
(NA)	 还记得当时好像很喜欢男二，后来就讨厌了……            
(NA)	 还不错，高中毕业暑假的时候看的。哈哈            
(4星)	 只愿意为喜爱的人改变。只能被有缘人改变。            
(4星)	 那时候在电视上看，我妈还不给我看，偷偷的站在门外听声音，哦~现在回忆起来，真是段艰辛而又值得回忆的日子。            
(3星)	 看过的第一部韩剧 但情节完全记不得了&gt;&lt;            
(NA)	 我看的第一部韩剧            
(5星)	 有爱            
(3星)	 还是看尹恩惠不顺眼，唉            
(4星)	 朱智勋！            
(3星)	 还~~~纪念一下啦            
(5星)	 喜欢。            
(4星)	 当年被律王子迷的不轻。            
(5星)	 感觉是这几年青春韩剧的一个无法超越的至高点。            
(2星)	 中二病王子，没教养女主。男二女二强出这一对太多。            
(3星)	 当年喜欢信君            
(4星)	 原来。感情真的是可以培养的么。所以。就算之前再爱一个人。也还是会改变的么。            
(4星)	 啊！！！！我的信王子！！！！            
(5星)	 超爱的，肉肉的彩晶！呵呵            
(4星)	 高中毕业的夏天            
(5星)	 我就是很喜欢            
(5星)	 韩剧里的经典之作~~~            
(4星)	 韩剧排行榜前十位！可以列为可以反复看的韩剧前十位！            
(NA)	 好拖沓的剧情呀…            
(3星)	 韩剧的基本菜鸟篇。基本符合韩剧所有套路。。适合所有初入者观看。无虐。。健康积极。。            
(5星)	 律王子的深情回味了很久，还为此特地听了好多UN的歌。手上到现在还有好多律王子的贴纸，只是已经在抽屉里搁了好久了吧。            
(4星)	 沒看完。。。金正勋到底是哪里帥 ＝ ＝。            
(5星)	 大爱            
(3星)	 看了一半看不下去了，不是我的菜            
(5星)	None
(5星)	 第一部看过的韩剧，最早的对于爱情的落泪~不知道为什么，但是很喜欢~从大幕到细节            
(4星)	 第一次看尹恩惠的戏~~            
(4星)	 当时很喜欢。            
(NA)	 当年很是风靡了一阵。。。            
(5星)	 永远的经典            
(5星)	 当年最喜欢的一部            
(3星)	 嘿嘿，曾经花痴的看完电视剧。现在回过头来看，感染力不足，但是尹恩惠很可爱哈。            
(4星)	 MS此剧开启了韩剧YY皇室的风潮啊~~~~~~~~~~男二真不错滴说~~~~            
(NA)	 一度超迷啊。。            
(4星)	 律君。            
(NA)	 再次喜欢女二鄙视女一，纪念和老妈一起脑残的日子            
(5星)	 无法超越的一部韩剧~            
(4星)	  这部轻松活泼 完全没有负担又可以享受精致的场景 哈            
(4星)	 繼續男二控的一部電視劇，話說大學時候好像最大的成果就是完整看完了好多部韓劇，唉，現在一點耐心都沒有了            
(5星)	 我喜欢男主角            
(5星)	 尹恩惠的剧            
(4星)	 男女主角养眼，前面剧情还不错，后面的有点拖沓。。。 = =            
(4星)	 MB，炮灰的男二、、、、            
(5星)	 孤独的王子，躲在角落里，不是不爱，而是害怕。            
(3星)	 其实我也看过那么些韩剧的啊……            
(4星)	 哇呵呵呵            
(NA)	 你一笑天都晴了            
(5星)	 看了这个爱上 金正勋。。不金欧巴之后再无代表作。。。            
(5星)	 曾今就是这样为韩剧疯狂啊            
(4星)	 无聊的时候看看 最消磨时间了。            
(4星)	 当时多么多么入迷，现在金正勋也没那么大杀伤力了嘛            
(5星)	 我当时是在书店看的是电视剧里的图片放在一起做成的像剧本似的一本书。。。然后回来找的视频。。。我看的第一部韩剧啊。。。也是那时候开始喜欢尹恩惠的。。。            
(5星)	 可爱的一对！            
(3星)	 在大家都很喜欢律的时候我偏偏喜欢俊……难道是主角控么~不过因为听说了太多真正看的时候却觉得没有想象的好看            
(4星)	 哭死我了当时            
(4星)	 3星给金正勋，1星给泰迪熊// 高一的时候追这部剧，喜欢金正勋弄得全班皆知……于是基本上女生这边都管我叫正勋嫂了 = =// 嗯哼，听说他物理数学好，于是那年老娘的物理那个猛窜啊……            
(4星)	 好喜欢那些熊            
(4星)	 以前还窝在书店看书来着。            
(4星)	 如果你喜欢尹恩惠，就看吧。对男1没感觉~            
(5星)	 不要局限于彩静的改变，信一路以来是变化最大的，从来都不主动表达自己的感情，孝琳是一个和他一样的女孩，所以不用说出来孝琳也会明白而静彩却不一样。那句“从来没有人教过我和不要哭，很丢脸耶”深深打动了我。            
(5星)	 男二总是很温柔，女二总是很惹人厌            
(2星)	 我是尹恩惠粉！            
(4星)	 好经典             
(5星)	 当时迷的......            
(5星)	 那个时候被朱智勋迷得神魂颠倒···所以给五星吧 偷笑            
(3星)	 华丽丽的            
(NA)	 好看。            
(4星)	 记得当时很喜欢。现在已经记不清了。。。            
(4星)	 题材那时候算是很新颖的，一部比较成功的剧。            
(4星)	 当年看得很鸡冻的啊~            
(5星)	 看过~不太喜欢~可是朋友们都喜欢            
(3星)	 没看完~无感~            
(4星)	 可。小说了~那阵子狂迷金正勋。。            
(4星)	 当年风靡一时的剧，自然好的没话说，超级爱信的阿阿阿。从这个片子里认识了恩惠。赞。            
(3星)	 我忘记了。。            
(4星)	 那年最火的剧~            
(4星)	 最早喜欢上尹恩惠的一部片子 还算欢快            
(5星)	 重新看了遍 还是和以前一样那么喜欢 恩惠的演技蛮好··金正勋忧郁气质还是很迷人~~~            
(4星)	 前面看的很欢乐 后面越看越无趣阿            
