http://movie.douban.com/subject/2214169/	谈判专家
(3星)	 越往后越是全心全意写感情纠葛去了。。。搞毛啊            
(4星)	 又看了一遍粤语的，果然还是TBB以前拍的剧好看啊。。            
(3星)	 绝配            
(4星)	 挺喜欢的。            
(3星)	 还是喜欢看女主角            
(4星)	 杨光真的好聪明的，我喜欢，觉得杨光和可人好配哦，还有简洁和彭Sir，太登对了，(*^__^*) 嘻嘻……            
(NA)	 喜欢~            
(5星)	 老牌TVB小生没话说啊。。。赞。。。            
(4星)	 谢谢你给过我的所有快乐记忆 那些守着你拥着他的日子            
(5星)	 最爱！！！！            
(NA)	 当时看好好看 还想以后也做什么谈判专家 当时好迷张智霖哦~ 杨光可人~            
(4星)	 郭可盈在这里面真漂亮            
(4星)	 杨光啊叶可人~~            
(3星)	 又重新翻看了一遍，看着看着对剧情渐渐回忆起来，那是欧阳震华和郭可盈就别提了，大热，那时的张智霖和文颂娴很是亮点，这个题材当时也很新颖。看到马国明在这部里跑龙套.......还是很经典的！！            
(4星)	 谈判专家            
(4星)	 当年大爱啊！            
(4星)	 阳光叶可人啊！萤火虫那段            
(4星)	 说实话··真的不喜欢可人。。。            
(5星)	 好喜欢！！！            
(4星)	 冬瓜拍的都还不错。            
(5星)	 要再看一遍            
(3星)	 杨光太可爱了~张智霖大爱~            
(NA)	 好久没看到文颂娴了            
(4星)	 看过N遍的剧。            
(NA)	 齐阳、齐月的最爱……每次和她们见面他们总是把谈判专家、张智霖挂在口上。俩人万一哪天真见到和张智霖差不多类型的那就惨了……            
(5星)	 印象深刻的啊，那年刚刚考完期末考回家就窝起来看这部剧，超迷的！            
(3星)	 不知道为什么还是一直希望简洁能和她前夫和好诶            
(5星)	 O(∩_∩)O哈哈~欧阳同学的剧，看得真不少以前。杨光，这角色很不错。            
(4星)	 江苏卫视放了无数遍- -            
(4星)	 闹哪样，我还挺喜欢欧阳震华= =            
(3星)	 恩 ，节奏快就好看            
(5星)	 恩恩恩，可人可人！！！            
(4星)	 4颗星。我爸都记得的电视剧。张智霖是打了鸡血吧，现在，过去，傻傻分不清楚。完全没变化啊没变化，酒窝美男你叫那些花旦情何以堪。            
(4星)	 回忆回忆            
(3星)	 欧阳震华突然严肃起来看着还真不习惯...脑中时不时会浮现他嬉皮笑脸喊“素娥”的样子...~            
(5星)	 超级爱这部啊~好喜欢张智霖啊~~唔~求同样好看的港剧~            
(4星)	 我以前特别爱看这种。。。            
(5星)	 好好看～～            
(3星)	 张智霖好可爱，杨光好阳光。            
(5星)	 很难得四个主演都是我喜欢的。迄今为止最喜欢的一部剧。            
(NA)	 欧阳的片子我都蛮喜欢的            
(4星)	 经典            
(4星)	 我觉得比起那种小白脸 欧阳震华的人格魅力是无与伦比的            
(NA)	 张智霖太帅了。但貌似没有大结局。            
(4星)	 文颂娴 张智霖 很有爱            
(4星)	 结尾匆忙啊，不过还是喜欢            
(5星)	 我勒个去，绝对难忘的港剧，上初中的时候从头到尾看了十遍都不止            
(4星)	 欧阳胖胖~            
(4星)	 欧阳震华            
(4星)	 TVB剧的经典之一吧。            
(5星)	 当年很喜欢的港剧            
(4星)	 欧阳震华 郭可盈 张智霖 文颂娴 要我怎么说好呢 个个都是我的爱啊 巨爱的阵容            
(5星)	 郭可盈可好看了 文颂娴我也爱~            
(3星)	 阳光 ..             
(5星)	 从那时喜欢张智霖！            
(3星)	 看过不止一次，张智霖和文颂娴的爱情            
(NA)	 小时候巨喜欢杨光和叶可人啊，多青葱            
(3星)	 我是不怎么要看。。。。            
(3星)	 我是来帮你的~这几天看《明日的喜多善男》，松田龙平演的矢代平太说死前有个愿望是说一次“犯人就是你”，不知怎么有种很穿越的感觉...            
(4星)	 挺好看~            
(4星)	 好看啊！！！当时就岁港台剧着迷了！！！            
(5星)	 又是一部经典剧，有个可爱的胖子            
(4星)	 收视黑马            
(NA)	 胖子和郭可盈的搭配真是不错  剧里面的张智霖和文颂娴也很有趣            
(3星)	 胖胖的戏一般都好看            
(4星)	  欧阳震华 实在和我爸有点像，不过他帅一点            
(5星)	 好看又经典 四位主角都很稀饭！~            
(5星)	 喜欢所有主演。。。好看啊。。            
(4星)	 基本是TVB看的后期的。            
(4星)	 当年多喜欢看！            
(5星)	 看了最多遍的TVB啊~            
(5星)	 主角很赞            
(5星)	 记得当初看了四遍。。            
(5星)	 大爱杨光            
(4星)	 觉得这个职业好帅。太酷了。恩。所以有一阵买了好多心理学的书。我是说、有一阵。。            
(4星)	 永远爱这个死胖子            
(4星)	 喜欢的演员众多啊～～            
(5星)	 噶好看的一本片居然被人orz...ORZ！！！            
(4星)	 很喜欢郭可盈~            
(4星)	 chilam哈帅哈可爱            
(4星)	 当时看的时候还是挺喜欢的，现在回忆不多，感觉一般了。            
(3星)	 当时挺崇拜。            
(5星)	 刑侦片经典之一。            
(4星)	 当年天天追着电视看            
(5星)	 小时候可喜欢了            
(4星)	 小学五年级、熬夜看的、            
(NA)	 看了N多遍，真是很喜欢~            
(5星)	 夏天 把沙发放下和姐姐边吃边看            
(4星)	 喜欢可人            
(5星)	 不记得和老妈一起看过多少遍了~~~~初中超爱~~            
(NA)	 张智霖咩，怎样都帅！            
(NA)	 TVB还是一些专题电视好看,而且是那种老电视            
(5星)	 主角全爱 题材又好看！            
(3星)	 印象已经模糊            
(NA)	 电视上放一遍看一遍            
(5星)	 欧阳震华 郭可盈 这两位是收视保证吧，完全好看。看了不下3遍。            
(5星)	 喜欢张智霖            
(3星)	 那时候有多少港剧啊，现在都是林峰那样的，哎            
(3星)	 其实这些剧真的都差不多，如果不是那几个演员，估计我没兴趣看吧            
(4星)	 演员都是我喜欢的~            
(5星)	 张智霖的 娃娃脸             
(5星)	 张智霖演警察真得很合适            
(4星)	 因为喜欢郭可盈，当时恨死那个自己出轨还勾引陈豪的欧阳震华老婆，以至于后来一直对那个女演员无甚好感。            
(5星)	 tmd当年简直爱到死，叶可人和阳光啊，现在我还斯德哥尔摩综合征啊！！！            
(3星)	 有看完吗有看完吗？？            
(4星)	 嘻嘻·····            
(3星)	 小时候，港片看好多呀            
(5星)	 哈哈 阳光可人！！！            
(4星)	 tbb以前的职业剧一直都在水准之上，这片子里的男主角我都大爱啊，欧阳胖胖和大仙            
(4星)	 无论如何就是很喜欢　！            
(5星)	 看过太多港剧            
(NA)	 文颂娴不老。            
(NA)	 喜欢加菲!            
(5星)	 嗷嗷嗷，初中的最爱            
(4星)	 题材还是很新颖的~　所有功劳不能都让警察抢走了不是～～            
(4星)	 我记得杨光            
(3星)	 只为杨光！狂爱大仙！            
(4星)	 还行。。。张智霖很帅。。。            
(NA)	 中意，中意。            
(4星)	 顶着一张包子脸就是讨好，10年前和郭可盈演一对来着，10年后演比她小几岁的后辈完全无违和。。。杨光和小草绝对可以并列张某霖角色里最可爱帅气的阳光小青年嗯，和文颂娴的搭档也挺养眼            
(4星)	 当时觉得还蛮新鲜的主题。            
(NA)	 不知道从什么时候开始欧阳胖子就一直演精英和高官。不知道从什么时候开始我就再没见过文颂娴。具体情节忘记了，但是挺好看的，郭可盈很熟女的感觉。典型的TVB职业剧。            
(5星)	 杨光可人            
(3星)	 要是那个时候有豆瓣我肯定给它评五星。            
(5星)	 童年回忆啊~            
(4星)	 为张智霖！            
(NA)	 欧阳大叔和我老爸长得真的挺像的~~            
(4星)	 後來的TVB 你已經很難看到這樣的片子 歐陽胖胖總是那麼有可塑性 加上張智霖..郭可盈..更何況,文頌嫻也很可愛..劇本不說出彩,但總是比中規中矩還要好些的..so,我不知道有什麽可挑剔            
(5星)	  看了好几次            
(5星)	 当时好喜欢叶可人~            
(NA)	 都是实力派的演员，好好            
(5星)	 张智霖真是帅啊            
(3星)	 那个时候觉得很流弊！！！然后现在就是辩论队的了！！！            
(5星)	 高三最喜欢看的电视剧，很喜欢杨光和叶可人            
(NA)	 最早期看的一部港剧 胖胖好苦逼啊= =。。专心萌大仙和文文了。。然后就是：你好 我系谈判专家 我系黎帮你架。。            
(5星)	 这个职业太厉害了！            
(3星)	 也不错            
(NA)	 日版也蛮好            
(4星)	 有时候看的挺纠结的，喜欢欧阳震华。。。。。吼吼            
(4星)	 当时很爱的，唯几看过的港剧之一了。里面的爱情故事貌似也看得很爽            
(NA)	 纯粹是看上了。。欧阳震华和郭可盈 。。。            
(NA)	 恩....张智霖            
(4星)	 欧阳胖子从不令人失望~            
(4星)	 当时很喜欢耶            
(4星)	 复出的郭可盈一季头过着哈好看。。。关键还是来半有张智霖的戏啊，哪能能错过。。            
(4星)	 故事不错，两段感情线都很好。杨光很阳光，哈哈。            
(4星)	 不说什么，你懂得。            
(4星)	 看完此片导致我对于谈判专家相当相当神往，爱好之情不下于当年看完壹号皇庭对于律师的痴迷。。。很喜欢欧阳震华和郭可盈搭啊。。。            
(3星)	 这个行业挺好玩的            
(3星)	 谈判专家，沟通基本靠吼，救人基本靠搂。            
(4星)	 觉得不错啊。            
(5星)	 不多说啦 大家懂的 记得那是还是很喜欢郭可盈哒 现在瘦到真的是不行了            
(3星)	 只爱杨光那两只。            
(4星)	 文颂娴 张智霖 ^_^            
(4星)	 看了好多遍啊～～～            
(4星)	 小时候看的不知道有多high            
(5星)	 曾经最爱的剧之一！有郭可盈张智霖！！            
(4星)	 当时很中意~            
(NA)	 记得那时很迷恋张智霖= =            
(5星)	 张智霖的剧一向都是幼稚的，当然欧阳正华也很喜欢；当年看这个简直就是惊艳，可惜了现在的港剧烂角烂剧情当道实在没有当初的精彩            
(4星)	 就喜欢张智霖演的杨光，很真实~            
(4星)	 profession            
(4星)	 这两对我都喜欢，港剧还是以前的好看呐            
(5星)	 这些港剧对我的白话很有帮助~            
(4星)	 可人            
(4星)	 欧阳震华 我曾经还蛮喜欢的            
(4星)	 时隔多年再回忆，更喜欢阳光与可人。            
(5星)	 呵呵，非常喜欢，喜欢张智霖！！！            
(5星)	 喜欢杨光，喜欢张智霖            
(5星)	 文颂娴你怎么不出来了！            
(4星)	 说实话，比较喜欢文颂娴^_^            
(5星)	 小时候不要太喜欢这部啊！！各种喜欢张智霖！！！            
(4星)	 顿珠那对真有爱~            
(4星)	 妈的 这个电视剧最激情~还有张智霖的好么！            
(3星)	 只是喜欢女主角，蛮可爱            
(4星)	 特别喜欢杨光和可人这对儿~~~~~ （不喜欢第二部……）            
(4星)	 好看的            
(NA)	 大胖子··原来每一代港姐你都能搭上呢！！            
(4星)	 水准之作            
(5星)	 张智霖演的角色我最喜欢杨光了            
(1星)	 文颂娴很漂亮            
(5星)	 看完这个超喜欢文颂娴            
(5星)	 喜欢死了            
(5星)	 杨光！            
(5星)	 欧阳胖儿加美女，啧啧            
(4星)	 喜欢文颂娴和张智霖~~~欧阳震华在剧中不搞笑有点不适应~~            
(4星)	 若幹年前看的，我就記住大仙了，BOBBY也很好~~~可惜可盈已經跟大仙不是一個輩分的了，想當年兩人可是情侶來着~~~            
(NA)	 叶可人            
(5星)	 那时候，电视里天天放，我也天天看。            
(4星)	 杨光那个角色最可爱。            
(4星)	 蛮好看的，话说电视上放的偶看了好几遍~~            
(4星)	 张智霖我还真的蛮喜欢的。。            
(5星)	 多担心他们不在一起            
(5星)	 没得说。            
(NA)	 我真欢喜  欧阳震华 也是  张智霖 也是            
(4星)	 一度对谈判专家这种职业感兴趣            
(4星)	 文颂娴很喜欢 还有张智霖的酒窝              
(3星)	 电视台都播烂了            
(NA)	 多年前看过，好像是在俺高中时期.            
(4星)	 KK靓死了！            
(4星)	 这里面的组合看着都很舒服。            
(4星)	 特别喜欢最后杨光和叶可人结婚的那一段儿~不过最经常想起的，不知道为什么，还是《暗战》中德华那段，“这儿就你一个谈判专家吗？”“不是啊。”“那换一个。”~O(∩_∩)O~            
(5星)	 阳光..哥哥,乃可不可以换个花招哄人阿,看我们文妹妹给你惹的,气不打一处来阿.            
(5星)	 很喜欢。            
(4星)	 陈豪哥，你的那个角色真是傻。但是张智霖是多么讨人喜爱。            
(5星)	 五年级的夏天！！！            
(3星)	 有意思吗？没意思!            
(NA)	 我才知道张智霖又在装能了鸟。。。            
(4星)	 真是伶牙利嘴滴            
(4星)	 好爱            
(5星)	 完全是因为张智霖太帅迷我了            
(NA)	 嘿嘿~            
(4星)	 我记得最后简洁趴在国栋腿上看夕阳那一幕，真温馨。            
(5星)	 不错的啊~~很久以前看的了，觉得谈判专家老帅气了            
(3星)	 张智霖和文颂娴....            
(4星)	 张智霖的帅气，文颂娴的可爱，欧阳震华的理智，郭可盈的干练。让人印象深刻~~            
(3星)	 主角都很喜欢~~            
(5星)	 几个主角都很喜欢……哈哈…            
(5星)	 初中那会儿可喜欢长得像加菲猫的欧阳            
(4星)	 死胖子你永远这么给力            
(4星)	 张智霖很有魅力，文颂娴相当可爱            
(4星)	 喜欢欧阳震华            
(4星)	 还有文颂娴的那时。。还是以前的TVB剧比较好看！            
(4星)	 好看的，推荐！~            
(5星)	 我看了好几遍...因为TVB的干练专业范儿和智霖的小酒窝。            
(5星)	 阵容不错 经典             
(5星)	 哈哈,喜欢这个~            
(4星)	 一直覺得文頌嫻不漂亮........................            
(5星)	 当初读初中的时候看这部片子，挺有feeling的，但是现在回头看起来，觉得仿佛少了某种味道，可能年少的时候喜欢坎坷曲折的道路，而到了年长的时候则又会怀念起曾经的坦途。            
(5星)	 喜欢chilam，喜欢杨光，每次看都会很开心！            
(4星)	 还不错            
(4星)	 经典            
(3星)	 手机款式真的好老。            
(NA)	 单纯地喜欢这几个演员~            
(4星)	 这类型的剧TVB拍得不错             
(4星)	 文颂娴mm和智霖哥哥好衬！            
(5星)	 文颂娴，几好            
(5星)	 好看呢这个            
(4星)	 又是一种很high的职业            
(3星)	 一星给文颂娴            
(5星)	 阳光啊。你可不可以不要每次都给别个希望又水别个。            
(4星)	 张智霖和文颂娴那对太可爱了，太配了            
(4星)	 喜欢杨光            
(3星)	 杨光            
(5星)	 最近又看一遍  觉得大仙好帅啊   虽然头发挫撑那个样子  依旧挡不住的潇洒帅气啊   看的我那额小心荡漾啊            
(5星)	 我好喜欢杨光啊！！！现在又想看了&gt;&lt;            
(4星)	 娃娃脸的张智霖啊            
(5星)	 这种不靠谱的流水剧 竟然激励过我 你说这玩意？？            
(NA)	 爱上智霖的第一部戏            
(5星)	 喜欢的设置            
(5星)	 很轻松很温馨            
(4星)	 杨光真是太完美了，现实中有就好了            
(5星)	 电视里放的最多的一部了吧            
(5星)	 中意            
(3星)	 虽然电视剧不错，但片名是否要改做谈恋爱专家？我是来看谈判专家的啊            
(4星)	 TVB有一批可圈可点的职业片，娃娃脸阳光和可人很搭。            
(5星)	 经典            
(3星)	 剧情有点白烂。一开始还好。越到后面越是老套啊。@Home            
(4星)	 我爱张智霖和文颂娴的。            
(5星)	 喜欢文小妞儿~            
(5星)	 好喜欢杨光，记得那句：我是来帮你的！            
(3星)	 喜欢张智霖的小酒窝            
(1星)	 你知道吗 这个导演该死            
(4星)	 张智霖~杨光~大爱啊。 曾经觉得要找这样的男朋友            
(5星)	 看，满地都是杨光嘛            
(5星)	 杨光的性格唔钟意啦。。。。            
(4星)	 哈哈地方频道主打            
(3星)	 看。            
(5星)	 上高中时看的片子。天天怀有罪恶感的看。呵呵。            
(3星)	 剧情有点做作            
(4星)	 郭可盈啊郭可盈~            
(4星)	 好看啊            
(4星)	 但是看得很欢~            
(NA)	 一部相当经典的电视剧，不仅有众多的悬疑案件，又融入了谈判因素，让观众更加了解这一行业！真的是很好看，偶尔还会回味，这几年像这类值得一看再看的tvb剧越来越少喽            
(5星)	 杨光和可人配得我都不知道该说什么了            
(3星)	 这里面的郭可盈怎么这么漂亮啊！也太漂亮了吧！第一次发现她漂亮！            
(5星)	 我爱张智霖~            
(4星)	 张智霖~！！！            
(5星)	 好久以前的一部片子，特别喜欢片子里张智霖演的那个。            
(4星)	 如果这个世界不用武力解决问题 那是最好的 和平年代 说话最重要            
(NA)	 看的不多 就不评了            
(5星)	 就是看不腻呢~~            
(3星)	 欧阳老胖系列            
(4星)	 杨光 叶可人 大爱啊            
(3星)	 后半段不太好看，前面还不错！~            
(NA)	 很烂，可怜的文文            
(NA)	 这剧放的时候最喜欢的角色是莫sir..要你从小三观不正！            
(4星)	 又塑造了一个帅帅的职业            
(4星)	 重播很多遍，跟着看了很多遍，还是觉得张智霖很帅啊~            
(4星)	 初中时候看的  还不错            
(5星)	 -，-暑假休闲剧~            
(4星)	 杨光真阳光            
(4星)	 濃濃香港風……文頌嫻還是很靈            
(5星)	 pnc~            
(4星)	 四额主角都蛮欢喜哒            
(5星)	 最近在复习这个……            
(4星)	 有一段 说是那对默契的情节让我狠狠地言情了一把。            
(3星)	 文颂娴好可爱            
(5星)	 好多年前的劇集現在才看，不過確是我今年看過的TVB最好看的啊！至愛kit和楊光，阿棟也愛，keekee，我覺得有很多方面都和陽光相似，不過最愛的還是簡潔啦～堅強獨立外表又有點弱不禁風的女子我一向都欣賞，改名改名啦～～哈哈！還沒看完就急著寫感想了。。            
(5星)	 Chilam × Bobby × Coco            
(4星)	 张智霖和文颂娴，让我从头纠结到尾。            
(4星)	 曾经的大爱，追欧阳震华追的            
(NA)	 经典中的经典！ 有欧阳震华就是品质保证！            
(5星)	 杨光啊阳光            
(3星)	 诶诶，凑合凑合着看吧姐妹            
(3星)	 TVB2000后拍得戏能看得下去的不多，这部还不错了。题材还没有被拍烂。严肃的大猫我也挺喜欢，一直觉得他是有演技的； 郭可盈这部里面的胖瘦度是最合适的，后来就悲剧了；杨光和可人的小情人组合很有爱，连那个一贯演软弱富家男的蔡子建我也很喜欢。            
(5星)	 我看的国语版的，超级喜欢阳光叶可人…………            
(5星)	 喜欢郭可盈            
(4星)	 喜欢张智霖             
(4星)	 我就是喜欢看这类的电视剧。。。偏偏都有欧阳叔叔。。            
(4星)	 小的时候特喜欢阳光            
(4星)	 超级好看 让我第一次认识到了谈判专家的用途 可惜啊！！菲律宾的谈判专家让十几亿中国人无语了！！ 警察的水平也让人大跌眼镜            
(4星)	 还不错            
(5星)	 大仙很经典啊!!!            
(4星)	 好是好，但有点烂尾，结局似乎太仓促。。。。小小遗憾。            
(3星)	 还可以吧```看了一半```            
(NA)	 让我爱上探究心理的一部剧作。            
(4星)	 和着姐姐看的            
(NA)	 好看            
(4星)	 张智霖和文颂娴都是我喜欢的！很好看的一部戏！            
(4星)	 在把欧阳震华的剧情全部跳过的基础上反复看过多次。。。            
(4星)	 我一直在想 内地有这职业么？            
(4星)	 很典型的TVB剧情            
(4星)	 这个映像深刻，大概因为除了欧阳还有可爱的张智霖。            
(4星)	 最经典的荧幕情侣啊            
(5星)	 超喜欢这一部电视剧的。。            
(4星)	 欧阳震华是不变的警匪片王牌。。            
(5星)	 破案片~~赞~~最喜欢郭可盈、欧阳震华~~~~张智霖和文颂娴也蛮稀饭的饿            
(4星)	 good!            
(3星)	 没什么记忆了。            
(3星)	 放学回家守着电视机的年代。。。。            
(4星)	 原来我也是个大叔控            
(NA)	 欧阳震华的电视剧就是比较好看好有智慧的一个人            
(5星)	 喜歡主題，劇情很不錯            
(4星)	 同一时期里比较好看的片子，讨厌陈豪~            
(4星)	 往警界发展它有一定的作用！            
(4星)	 一直都几中意波B仔噶电视剧            
(4星)	 我的TVB时代的终结            
(3星)	 电视台重播了N遍，我也就无奈地看了N遍。            
(4星)	 杨光真阳光！从这部里我知道了斯德哥尔摩症候群            
(5星)	 帅帅的张智霖，我很喜欢他的性格            
(4星)	 又是一个帅锅,杨光怎么那么完美!            
(3星)	 又一部偶像剧，其中欧阳震华、郭可盈搭档较有看点，张智霖的参与也是个卖点。不过故事情节还可以。            
(5星)	 帅啊！            
(4星)	 重温ing，            
(4星)	 我突然发现在全世界都喷TVB的时候，我还是挺迷恋TVB的~            
(5星)	 好能说！！！            
(5星)	 喜欢文颂娴~~~~            
(4星)	
(5星)	 如果推荐十部tvb剧集 一定有此            
(4星)	 &#34;你好,我是谈判专家XXX,我是来帮你的.&#34; 啊~我真是喜欢欧阳震华啊啊啊!! 这部剧让我第一次觉得张智霖很帅耶,并且是越看越帅的那种!~ 欧阳震华和郭可盈以及欧阳震华和关咏荷都是我好喜欢的荧幕情侣啊!~            
(4星)	 我爱杨光！！！！！！！            
(4星)	 一中的小卖部= =            
(3星)	 就是太短            
(4星)	 当年看的时候很喜欢~            
(3星)	 杨光好搞笑.看到后来看不下去了.平淡.            
(5星)	 两对我都喜欢            
(5星)	 四个主演我都爱            
(4星)	 杨光大爱。            
(4星)	 难得四个主角都喜欢啊 还有我momo~~            
(5星)	 TVB永远强大   积极做人   别有事没事跳楼啊。            
(4星)	 突然想复习一遍            
(3星)	 喜欢这种题材~~            
(3星)	 TVB。 人就那么几个。             
(5星)	 哎，好想念郭可盈            
(4星)	 中学的时候也曾梦想过当PNC！            
(NA)	 欧阳震华！            
(NA)	 郭可盈那时候比现在胖点            
(5星)	 看了好多遍。。            
(3星)	 我居然看完了。。。            
(4星)	 港剧很出色的系列应该就是警匪吧。此片文颂娴和张智霖是亮点、文颂娴真是可爱            
(4星)	 对这类片子 还是有点爱的            
(5星)	 张智霖。。            
(4星)	 杨光和可人，美好的人儿啊。            
(5星)	 百看不厌~！            
(3星)	 郭可盈 欧阳震华            
(4星)	 看得舒服，演员剧情都舒服。            
(3星)	 只看过一两集吧好像            
(4星)	 力挺欧阳震华···现在TVB,真是青黄不接啊            
(4星)	 冲着文颂娴去看的            
(4星)	 一门心思想当谈判专家，真的好威风            
(3星)	 欧阳震华啊。。。            
(5星)	 当时看过很多遍，难得四个演员我都喜欢            
(4星)	 张智霖！！            
(5星)	 经典中的经典，，记得那时看最后集的时候，还刮风打雷下雨的            
(3星)	 张智霖好帅丫！            
(NA)	 看了以后觉得谈判专家很牛牛。            
(4星)	 “拯救更多生命”            
(4星)	 阳光可人            
(4星)	 文颂娴 张智霖            
(5星)	 毫无疑问经典            
(5星)	 张智霖多帅啊            
(4星)	 欧阳震华就是招牌。            
(4星)	 原来看过，印象挺深的~~~~~~~~~~~~~~~~~            
(4星)	 还不错            
(3星)	 杨光的酒窝。            
(5星)	 全是我喜欢的演员…            
(4星)	 欧阳大叔啊..            
(3星)	 ok~            
(NA)	 喜欢演员，喜欢剧情！            
(5星)	 我超爱这部剧的 太有正义感了            
(4星)	 TVB还是挺经典的            
(4星)	 跟一般港剧的有点墨迹......            
(5星)	 看了两遍            
(NA)	 这剧觉得小文很可爱            
(4星)	 大光头很可爱            
(3星)	 当年也小迷了下杨光~            
(NA)	 喜欢里面的患难真情            
(3星)	 感情戏太多……            
(5星)	 我是谈判专家，我是来帮你的。  永远的记忆啊，好看！            
(5星)	 结尾不错的说            
(4星)	 TVB好片~            
(5星)	 每一个主角都很喜欢~~            
(NA)	 文颂娴 为什么你不火呢            
(5星)	 还是以前的TVB出的片子好看，都是熟面孔，当初看了好几遍。              
(4星)	 好看好看好看 一度是我最喜欢的港剧 不过 严格的说 还是在TVB的传统套路上 没有太大新意 有一点美中不足~            
(4星)	 就挺好啊~            
(3星)	 欧阳胖子 即使演正派也很有喜感            
(NA)	 阳光的杨光啊～～～～～～            
(5星)	 张智霖！！！！            
(5星)	 那个时候觉得好好看            
(3星)	 很久以前看的了，还可以            
(NA)	 张智霖我爱你            
(4星)	 哇咔咔这个经典            
(5星)	 大爱！！！！！杨光真的很可爱的~~~            
(5星)	 小时候电视上只要一放就看 一放就看~好喜欢的~            
(4星)	 经典的香港味电影            
(5星)	 最中意郭可盈啦~            
(3星)	 案子不太激烈，不太过瘾，但还是沿袭着港剧范            
(4星)	 老剧啦~怀念下~            
(NA)	 好看。            
(4星)	 看了好几遍了呢~~            
(4星)	 喜欢里面的杨光，肯帅气，很热情。就喜欢他那样的男生，充满阳光。            
(4星)	 第一次关注到这个特殊的职业，而且又惊险又有感情戏，不错～～            
(3星)	 挽救心灵比阻止邪恶更有意义~~            
(4星)	 杨光和叶可人啊~！~！            
(5星)	 彻底迷上欧阳。            
(4星)	 十分喜欢。。            
(4星)	 演員陣容難得滿意的一部。            
(3星)	 受不了彭SIR的极端大男人主义。陈豪在里面还没有上位，可怜兮兮的。张智霖的杨光是深得我意啊。            
(4星)	 杨光。            
(NA)	 恩 张智霖和那谁谁谁（忘了名字）的爱情吧哟 原来还有陈豪呀～            
(5星)	 大爱这部剧，喜欢里面主人公之间的爱情和友情，很真实，都是突破自己，认识到自己的心之后看到的奇妙爱恋。一直觉得杨光和可人是天生一对，情侣典范~            
(5星)	 这四个人 是我最喜欢的TVB            
(3星)	 断断续续看得            
(5星)	 大仙文文太配了！！！            
(4星)	 大爱张智霖            
(NA)	 阳光            
(4星)	 震华叔叔总是一个正直的形象，演的好好            
(4星)	 我喜欢文颂娴            
(5星)	 当年的叶可人            
(3星)	 我喜欢            
(4星)	 张智霖！！！！！！            
(3星)	 斯德哥尔摩症候群            
(5星)	 杨光~爱死大仙了 经典之经典            
(4星)	 四个主角都很喜欢，反正是香港典型的警察片，内容轻松，主角养眼，很不错呀            
(4星)	 我爱郭可盈~            
(5星)	 喜欢张智霖所饰演的杨光这种性格的男生            
(5星)	 哈哈，好喜欢，所谓的斯德哥尔摩症候群~            
(5星)	 张大仙！还有可盈~我喜欢！            
(3星)	 蛮好看的            
(4星)	 纯粹是因为喜欢张智霖 纯粹是因为他是袁咏仪的老公...我庸俗...            
(3星)	 zzz            
(5星)	 我爱这部剧的所有~            
(NA)	 当年真是很喜欢阳光可人这一对            
(4星)	 里面有唐宁。。            
(5星)	 很喜欢！            
(4星)	 佩服！ 佩服！            
(4星)	 严重喜欢阳光与可人            
(3星)	 看太多次了。。。            
(4星)	 张智霖的剧都好看！            
(5星)	 最心水的TVB剧就是这部和鉴证实录了，四个主角都很可爱！            
(3星)	 tvb            
(5星)	 陈豪最帅的一部戏            
(4星)	 还不错            
(4星)	 文颂娴去了TVB难得有部做主角的剧            
(4星)	 那段时间我热爱张智霖            
(4星)	 不错，张智霖里面很帅，哈哈，不过我觉得陈豪还挺好的            
(4星)	 真的很好看~            
(4星)	 当年不知道多喜欢            
(3星)	 解闷的电视剧            
(4星)	 虽然用可爱来形容一个老男人不是那么恰当，但是欧阳震华真的很像加菲猫~~            
(4星)	 张智霖，啊啊啊啊啊啊啊～从小就喜欢．．            
(4星)	 专业人士外衣包装下的都市轻喜剧，四个主演都表现的很出彩            
(4星)	 TVB这类还都不错。            
(4星)	 tvb 进入2000年后，比较吸引我的一部片。后面的片子和这个差不多，有点疲劳。四个演员我都爱            
(5星)	 张智霖！！            
(4星)	 真的 大仙太帅了            
(5星)	 张智霖和文颂娴的组合绝配啊，都好嫩好水灵，哈哈胖子还是一如既往好演技            
(4星)	 N年前貌似我都很熟            
(4星)	 帅气啊~            
(5星)	 那时候做梦还梦到过杨光和可人 真是舒服的一对            
(4星)	 觉得文在这部里面风格有些不一样            
(4星)	 警匪剧一贯的风格,很生活很轻松            
(NA)	 看过  不过没什么特别的印象~~~            
(4星)	 欧阳震华演得好啊            
(4星)	 杨光 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1            
(5星)	 超赞！            
(4星)	 “叶可人小姐 ，我叫杨光，我全权负责这次谈判，无论你下半生有什么要求，我都会尽量满足你，因为我今天来娶你。”两段情路，都比较美满。            
(4星)	 喜欢简爱。            
(4星)	 很多年前，在黄埔倾情里张智霖和郭可盈是情侣，很多年后，郭可盈已经成为张智霖师傅的情侣了。。。不老不老            
(4星)	 喜欢能从里面学到东西的电视剧，不过还是喜欢欧阳震华喜感的电视剧            
(NA)	 港片越来越垃圾的见证。            
(4星)	 四个主角都很不错的。。。            
(5星)	 不错。我喜欢文颂娴。            
(4星)	 那个时候真是每个频道都在放啊~我还蛮dj文颂娴的~            
(3星)	 唉            
(5星)	 很经典的TVB啦！~很值得看看！~            
(3星)	 文颂娴很可爱。            
