http://movie.douban.com/subject/1477894/	我叫金三顺 내 이름은 김삼순
(5星)	05年这个稍胖的女主给我们带来无限欢乐
(5星)	我觉得这剧适合失恋看。。。里面木有什么真的坏人，但是好人还是会伤害别人。。。很有启发。。。从不同的角度分析了爱情
(5星)	囧
(NA)	我又看了一遍我好厉害！
(NA)	唯一看完的一部韩剧...看完后觉着女人其实也挺幼稚....特好骗
(3星)	总结：小三的故事= =虽不是很差，但其实我不明白这剧为什么能拿50%以上的收视率。。。玄真贤这角色真是幼稚王，还是Daniel Henny可爱~！刚开始觉得郑丽媛好像大妈时代的林允儿，后来看到被抛弃还是同情起她了。估计这剧是大龄剩女的安慰- -等我到了30岁再来看多一次= =
(3星)	三顺真是~~~~我迷上这个老丫头了
(3星)	just like 微笑女王。
(4星)	大龄女青年的恋爱之路。
(5星)	唯一看过的韩剧 
(5星)	这个好这个好~~~
(NA)	讨我欢欣的只有那只猪而已
(4星)	甜点般可口
(4星)	玄彬啊~~~~咱还能再帅点儿嘛?
(5星)	笑中有泪,又搞笑又温馨感人
(4星)	那年只有这一部在放，没办法
(NA)	  蛮喜欢的一部韩剧。。。三顺三顺
(3星)	韩剧都很Q..
(4星)	玄彬帅得像个骗子
(4星)	玄彬哪里帅了？困惑中...很大男孩倒是...
(5星)	因为三顺身上那种温情的力量，带给我好久没有过的温暖的感觉
(4星)	每个看过这部剧的人，都会轻易被打动，这么努力恋爱，努力生活，就像平凡的我们，我们明白现实中自己并不是公主，所以从不指望生活会有王子来解救。
(NA)	曾经一口气看完了这部韩剧喜欢憨憨的三顺
(5星)	看多少遍就是不烦还老特感动只此一部
(3星)	剧情不喜欢，并不觉得真贤是对的，并不觉的三顺是善良的。
(3星)	谁说只有漂亮才可以幸福
(5星)	逗！
(5星)	看似没心没肺的三顺其实很用心。哭过笑过，人生有什么大不了的嘛~~
(4星)	爱情励志片。
(5星)	三顺姐真是个性。。。我不喜欢那个男主角呢
(5星)	再一次看，下雨天气里唯一的温暖
(2星)	看不下去。同样不理解 为何这么火
(5星)	我们的爱在三顺故事里找寻自己的影子
(4星)	很逗的台词和人
(3星)	零散在电视机里看的，一个美好的童话般的爱情故事。也就是说，不太现实。不过，非现实才能符合大家对梦想的追求，嘿嘿。
(5星)	唯一完整看过的棒子剧...觉得很励志诶 = = 
(3星)	这个我喜欢 哈哈
(5星)	这部当时大爱~30！
(5星)	无疑的棒，感动~喜欢那些三顺的名言
(5星)	最爱哦~~~~~~~~~~~
(5星)	二姐放中国我一定追她为偶像
(5星)	韩剧中的最爱！！
(5星)	真的很有意思`` 很感人的爱情故事`` 
(4星)	可爱的三顺
(4星)	太误导广大女青年了
(4星)	看了很多遍。只为郑丽媛。
(4星)	不错...
(4星)	我就是偏向熙珍啊为什么。
(4星)	玄彬好帅~
(NA)	最喜欢的一部韩剧
(5星)	^^
(4星)	满好玩的
(5星)	玄彬~❤这个也是百看不厌，完全是盲目喜欢~~~~
(5星)	这是我最喜欢的一部韩剧。
(5星)	我爸最喜欢
(4星)	。。。玄彬。。~
(5星)	回归
(4星)	居然说我像三顺。。。
(5星)	每次看都很喜欢
(4星)	三顺真可爱！餙真也可爱！
(2星)	我早就不相信灰姑娘的故事，何况是胖大婶。
(5星)	给我爱的勇气。三顺们。加油！
(4星)	几场重叠的复杂的三角恋，贤宇的、三顺的、真贤的、亨利的、熙真的。在这种混乱的局面里，不论怎样的结局都忍不住要为爱情悲叹：要么为爱情敌不过时间，要么为傻傻的单恋……
(5星)	是看过的唯一喜欢的韩剧。
(5星)	回头看，越看越喜欢……我老了……
(3星)	哎
(5星)	极品啊极品
(3星)	那段时间一看到郑丽媛就想到紫菜包饭 囧
(5星)	最喜欢的一部韩剧。
(5星)	interesting and warm
(5星)	这是唯一一部看不腻的韩剧。励志，三顺也太可爱了。
(3星)	无聊么
(4星)	我们家三石在过去和现在中选择了现在。（我也要三顺的那只猪O(∩_∩)O）
(4星)	三顺三顺哈。。阿三也超可爱。。
(4星)	金善雅很无敌啊！~
(NA)	金三顺...特别的姑娘
(5星)	太他妈好看了！
(5星)	喜欢玄彬，他是我见过韩星里最帅的男人，帅的文雅又安静。
(5星)	玄彬头发放下来很帅。。。
(5星)	玄彬在这部剧里最帅哈哈。三顺很可爱~~
(4星)	我看过的不是很多的韩剧
(4星)	喜欢就是喜欢，不喜欢就是不喜欢。眼睛走远了，心也跟着走远了。
(4星)	玄彬，帅！！!
(5星)	原来我也爱看金三顺！
(4星)	小烘焙
(5星)	好玩好玩～
(5星)	不得不说 短片韩剧里面 三顺是我的最爱
(5星)	唯一一部我特別喜歡的韓劇～
(5星)	最爱的韩剧
(5星)	我只是喜欢女2和男主角在一起
(4星)	我喜欢熙珍
(5星)	标志着我对韩剧看法的历史性转折~
(5星)	肥肥的三顺。喜欢。
(NA)	貌似是唯一一个看过的较为完整的韩剧。
(4星)	丹！
(5星)	都挺好的 
(NA)	哈。。最喜欢的一部韩剧咯。。
(3星)	母上大人喜欢看。。。
(4星)	为数不多的看过并喜欢的韩剧~
(5星)	唯一一部喜欢的韩剧
(5星)	近几年比较不俗的韩剧
(4星)	和《蓝色生死恋》并列为韩国的集大成之作
(NA)	阿莲就是活脱脱的一个~~
(NA)	有点儿扯
(5星)	为什么给5星呢。。。总之电视上每次放，我都会情不自禁跟着看。。音乐更是难忘，，不过最难忘的还是女二的眼泪。。
(5星)	三石啊三石
(5星)	好甜蜜诺。
(5星)	从这个片子喜欢的郑丽媛，大爱
(5星)	看你千遍也不倦。
(NA)	不错不错。
(3星)	不喜欢
(5星)	不看韩剧的这几年也就三顺姐留有印象了~
(5星)	舍剧（宿舍连续剧）之一
(5星)	像三顺一样闪闪发亮！
(5星)	爱。三顺和阿三。哈哈！因为玄彬你真的是太帅了。
(5星)	难道因为中文配音的关系？喜欢得不得了...看了不知道多少遍还是喜欢...（虽然到最后挑剧情看...）
(4星)	像三顺那样恋爱吧！
(4星)	很曹
(5星)	女子当自强。
(5星)	百无聊赖的高三电视时间
(3星)	对女猪以其女二均非好感~于是~~唉~没劲~
(3星)	超美的女二号
(5星)	个人最爱的韩剧
(NA)	英俊的多金男，爱上又老又丑的胖女人。你当是拍电视剧呢？！对啊，就是电视剧，还是韩剧呢。
(5星)	非常非常喜欢的一部韩剧，三顺的真是最可贵的，一点不为别人改变自己的性格，很率真。
(4星)	相当不错，我喜欢三顺和她姐二英。
(5星)	去爱把，像没有受过伤一样
(5星)	很喜欢大婶呢~~
(4星)	30岁老女人的爱情故事，还真是不错呢，梦幻阿
(NA)	这个东西真的很好看
(5星)	哎哟 乖得很
(5星)	超爱！
(5星)	百看不厌
(5星)	腻腻的爱情
(4星)	其实看完我就有点萌李奎翰的脸= =
(5星)	灰姑娘的故事~~ 也要自身有本事才有吸引
(5星)	虽然也算是现代版的灰姑娘的故事.虽然也是看了会中毒的不切实际的故事.不过,这是我最喜欢的韩剧了.
(NA)	真喜欢
(NA)	三顺是好姑娘
(5星)	很喜欢很喜欢很喜欢 
(4星)	主要是有帅哥..
(4星)	就是三順！看這部劇的整個過程我都在角色代換。之所以收視好很可能是廣大的女性同胞跟我一樣角色代換而擁有快感。哈哈！還有，玄彬的吸引也不小！但其實里面我最喜歡的是熙真
(NA)	原来三十岁的老女人也可以这么可爱
(4星)	没女
(4星)	太好玩了。。
(4星)	现实又经典的韩剧 里面的台词更是精辟   很好看   也很喜欢丽媛 去爱吧，像不曾受过一次伤一样； 跳舞吧，像没有人欣赏一样； 唱歌吧，像没有任何人聆听一样； 干活吧，像不需要钱一样； 生活吧，像今天就是世界末日一样。
(4星)	我发现，金三顺是一个吐槽女。
(4星)	看棒子戏会连自己都鄙视……有点内涵的棒子戏不多。支持。
(5星)	Shan Xi Ga!~!!~
(NA)	喜欢三顺那种傻妞.其实都是灰姑娘情结在作怪
(3星)	三顺的爱情观值得我学习.
(4星)	剩女的梦想。
(5星)	还是有很多不错的台词的~ 有的感觉可以感觉得到~
(5星)	唯一自发的从头到尾看完整的一部韩剧，非常喜欢，里面的人物设定和台词都非常的好。
(5星)	我们都要像三顺一样勇敢坚强~
(5星)	玄斌阿！！！！！
(4星)	“只要不是叫三顺就好了”～～狂笑
(3星)	玄彬很帅　白马王子似的人物　我不相信这样的爱情不明白为什么叫三顺不好～结局忘记了
(NA)	看过点
(4星)	胖女得爱？为数不多的可以看的韩剧
(5星)	排在春日之后喜欢都片子~真的不错~~！
(4星)	老妈的最爱。。。她说：玄彬长得多帅呀！！
(4星)	适合单身看啊
(5星)	超爱的剧~~~看了N遍都不腻!!
(5星)	再看一次，就忘记
(5星)	平凡人的美满爱情
(5星)	三顺是个活得很努力的女人
(NA)	很喜欢
(5星)	爱到爆的电视剧！！！
(5星)	玄彬好帅~~~
(NA)	那種為愛勇往直前!
(4星)	看了很多遍……每一遍都有不同的感受
(4星)	养条狗，叫它五千万=。=
(5星)	我未来得预兆丫~希望希望~~哈哈~
(4星)	大龄女青年的追求幸福手册
(3星)	看过以后对蛋糕更感兴趣了，也因为三顺得厨艺给小宇姐姐起名叫三顺喔妮了。
(5星)	太搞笑了~~~~~
(4星)	你是否真的能从那些平凡的外表和不讨巧的性情里,寻出她的美
(NA)	看了好几遍
(3星)	微笑女王的那个美丽啊！！
(4星)	能像金三顺一样活着的女人真好。
(5星)	虽然很多都是韩剧的俗套，但是相对于其他韩剧来说已经很真实了。喜欢金三顺的那些话
(3星)	喜欢她这样的女人
(5星)	其实三顺一直有着成熟的爱情观，不会盲目的去怀疑，也不会什么都没弄清楚就说放弃
(5星)	美丽的人们
(NA)	哈哈哈  幸福的胖胖
(5星)	阿三.
(5星)	  帥帥的玄彬
(4星)	多一星完全是因为在卫视台第一次看到时候认识了郑丽媛儿
(5星)	看了无数遍了
(4星)	丑女人要 奋斗。
(4星)	零星看的，还不错（2008/12/25）
(4星)	姐弟恋的大作
(5星)	30岁可爱女人也可以拥有别人艳羡的爱情
(5星)	玄彬在这部戏里好帅
(3星)	的确是我爸先喜欢的
(4星)	胖女孩的梦想,说实话里面玄彬还真帅.
(5星)	虽然我没看全 不过还是很喜欢 玄彬很帅 金善雅可爱
(5星)	看了N遍的韩剧，非常喜欢的一部！玄彬超帅～三顺超可爱～
(NA)	难得喜欢的韩剧
(4星)	王子爱上灰姑娘的甜蜜，像糕点。
(4星)	看了这个之后喜欢玄彬了
(5星)	经典啊~
(3星)	真的没感觉
(5星)	一直对这类型的女孩子有好感。
(5星)	喜欢喜欢
(4星)	别说你不看。。。嘴上说鄙视的人 还不是会被爱情的纯真吸引
(4星)	无比虚假又无比真实
(5星)	家 看完这个爱上的玄彬
(4星)	看过的人都要笑死的~
(5星)	最爱的韩剧。值得回顾。
(4星)	那么美好的熙珍
(5星)	近年来我觉得最好看的一部
(4星)	爱上蛋糕
(5星)	如果不会发胖，我一定会努力成为专业的蛋糕师！
(4星)	还是很励志的哈！
(4星)	我承认我胖。
(5星)	我永远的三顺！
(5星)	爱是永恒的，而人不是。
(3星)	没看全过
(4星)	残疾+猪女
(4星)	少数几部从头看到尾的韩剧
(4星)	不真实的爱情 真实的想法。
(5星)	帅死了。
(NA)	和胖胖 电脑 西利来
(4星)	还不错吧~没看完整过
(4星)	对里面的甜点制作很有兴趣
(5星)	三顺挺幸福
(NA)	啊啊啊，，真的很爱呐
(4星)	韩国的BJ更可爱一些
(4星)	又是个无法在现实中出现的美好
(3星)	美美的女王~
(3星)	很难想象
(5星)	超喜欢里面的演员
(4星)	坚强勇敢的三顺和美味甜点
(5星)	超级超级爱！
(4星)	好吧。我也来看看这个奔三的强悍的爱美食的女人吧。彪悍勇敢的活下去。
(4星)	感动感动。。。三顺！！
(5星)	看了一遍又一遍。
(NA)	每次心情不好必看.
(5星)	看了肯定不止一遍了~~哈哈
(5星)	超喜欢呀，我也想像三顺那样洒脱。
(5星)	啊三。。。。。T T激得我满地打滚。。。。。
(4星)	三顺三顺，不做作的女人真好
(NA)	我们家三顺啊看到她我就觉得人生充满希望
(NA)	百看不厌。
(3星)	励志
(5星)	坚持就是胜利~
(4星)	蛮搞笑的
(4星)	又是一部现代童话。
(NA)	我叫金三顺 玄彬 爱情 喜剧 三顺 连续剧 金善雅 
(NA)	玄彬帅的``善雅美的```总是为这部电视剧里的台词感动``去爱吧```就像从来没有受过伤害一样```
(4星)	姐弟恋 看的时候还蛮喜欢的
(NA)	好好恋爱，好好工作，好好恋爱。
(5星)	因为看了这部电视剧，开始喜欢上玄彬
(5星)	每个女孩的愿望。
(4星)	一般爱
(4星)	天哪，我也快成那样了
(5星)	很胖 很金三顺
(4星)	我要做金三顺！！
(4星)	还好，想想还是蛮喜欢帅帅的玄彬和胖胖的三顺哈，讨厌那个瘦不拉唧的女人
(5星)	好看 有一个真的很灰的灰姑娘的故事
(5星)	超喜欢的电视剧。里面的每个人都很可爱。
(3星)	有点丑化自己的演出，让人觉得这个女人真伟大。赫赫，还是不错的连续剧！
(4星)	只要努力做真实的自己，就会发光。
(4星)	善雅姐啊
(5星)	看多少遍都不烦。。真的太好笑了。。- -
(NA)	做自己
(4星)	励志啊~
(4星)	大三的末尾看的夜间剧场，有时烈日的午后也会在许多频道看到金三顺的傻里傻气～能让过了许多年经历了许多事的我一个人在半夜傻笑起来，在心里嫉妒她的职业和生活，至今还那么希望去做香甜的蛋糕啊！像幸福那么遥远的理想：）
(3星)	胖女人的恋爱
(5星)	看了一遍又一遍撒～
(NA)	男的比較喜歡的韓劇，現在的韓劇都氾濫了看一靠頭就能猜到結尾，特別特別喜歡裏面的女二號
(5星)	迄今为止最爱的韩剧
(4星)	小胖妞很可爱 想起了BJ单身日记 也是大龄胖妞 
(NA)	梦想有三顺一样的好运气呀
(4星)	不错~~
(4星)	让人啼笑皆非的情节。一个老处女和一个帅哥的爱情故事。看似很可笑，却很真实，很感人。
(2星)	一开始觉得还好，但是三顺在照大头贴的地方撒泼打滚的一幕确实让我恶心了
(NA)	内个，玄彬玄彬。
(5星)	很努力的女人三顺
(3星)	不喜欢这一类.
(3星)	三顺的一些碎碎念挺让人感动的。。其他的不做点评。。
(5星)	可爱的三顺 纠结着的阿三 
(4星)	胖胖的三顺，剩女典范。
(4星)	呵呵喜欢，三顺不好看，小刁蛮，但就是觉得这片好看啊
(3星)	男主角演得很好。
(NA)	喜欢三顺的性格！
(5星)	看过好几遍
(4星)	可以看不厌
(3星)	老牛吃嫩草的棒子剧
(3星)	我真没辙。哪台都播这个。
(5星)	韩剧中的经典
(NA)	真搞笑
(5星)	我好喜欢三顺的
(5星)	好喜欢金三顺，喜欢做人的态度，看完就好想做个蛋糕师～
(5星)	三石啊～
(4星)	女二...很美丽...
(3星)	喜欢郑丽媛啊！
(NA)	去愛吧，如同沒有受過傷一般……
(4星)	好搞笑 哈哈 里面的演员都很喜欢
(5星)	好喜欢好喜欢~
(4星)	还不错
(5星)	hehe BJ单身日记算是这篇编剧的原设定吧，不过有创新，符合社会现象，时间赶得挺对~~~
(5星)	经典之一
(5星)	三顺，我要向你学习~~
(NA)	很喜欢蛋糕师傅的三顺…名字开头字母的缩写和我一样！
(3星)	还是比较喜欢这个韩剧
(4星)	三顺很可爱
(5星)	忍不住看了又看
(NA)	很快乐的一部片子
(5星)	哭的最多一次。后来我就结婚了
(3星)	收起来
(3星)	比我想象的韩剧好看
(3星)	三顺给了他从未有过的东西，那就是安全感，这让他觉得踏实，发现自己在过着真实的生活。安全感，很重要
(4星)	还是瘦的三顺好看~
(3星)	无聊的麻雀变凤凰的故事
(5星)	2007
(5星)	甜蜜又可爱  搞笑又真实~很扣人心弦的一部片子
(5星)	看到此剧我最大的感受就是，到了30岁，我也要像这个女人一样保持着可爱！
(3星)	可爱的胖天鹅
(3星)	三顺同学还真是的，爱上公子可是桩苦差噢，只有在戏里可以成吧，^_^ 她本人蛮可爱的！没啥不好啊，脾气、体格、长相，都不错啊，这个世界的审美都定格了么？！登山、改名的事情谁没干过啊~~~~~嘻嘻
(5星)	也许我们都需要像三顺一样。。
(4星)	我叫金三顺
(5星)	兩度欣賞的經典韓劇。
(3星)	勇敢的三顺是我的榜样哦~~
(4星)	玄彬好帅！
(4星)	这……给所有丑女编制了一个美丽的梦……
(NA)	为什么他们都说我像你？o(∩_∩)o.我喜欢你做的西点~
(4星)	最喜欢的韩剧
(5星)	喜欢三顺不得了
(3星)	就算是不漂亮,但是很可爱
(3星)	爆讨厌男一女一 超喜欢男二女二
(5星)	为数不多的百看不厌的韩剧
(5星)	給無數大齡弱智女青年以希望....==
(4星)	玄彬是长得还可以的！
(5星)	喜欢的电视剧
(5星)	帅。
(5星)	喜欢坚强的三顺，帅帅的真贤
(2星)	无法理解
(NA)	三顺身上又很特别的东西.她告诉我们要勇敢.要热爱.无论你叫三顺还是熙珍.
(4星)	看滴时候还挺开心的，难得不算太长的韩剧；阿姨推荐的……
(4星)	男主角爱女主角未免爱得太突然了。
(4星)	不错～
(NA)	哎哟　玄彬　　幸福就是不要放手！
(NA)	很搞笑，看完舒服
(5星)	可爱的三顺！！可爱的蛋糕！值得一看的片子~~~玄彬和郑丽媛也很值得看~~！！
(5星)	爆可爱，喜欢三顺的话
(5星)	很喜欢的故事，搞笑的情节。
(4星)	其实女主角很漂亮...玄彬很帅!
(NA)	敢爱敢恨的女人最有味道！
(5星)	三顺妙语连珠
(4星)	电视台都播烂了！
(NA)	...才看的电视 只能说小玄真的很美貌
(NA)	相当喜欢
(NA)	我的真贤在哪里～～～～～
(2星)	典型代表
(5星)	笑过哭过 最喜欢的，看过最多遍的韩剧
(5星)	最好的韩剧。没有之一。
(4星)	更不现实……
(5星)	看的韩剧很少，这部是我觉得看不厌的。它传达的精神~
(3星)	不是所有老姑娘都能找到有钱的小白脸。
(5星)	很立志
(NA)	去爱把 ，就像从没有受过伤害一样。
(5星)	很少看韩剧 不过这部真值得看
(5星)	很搞笑，推荐！
(NA)	每年夏天都要播几遍　可还是看不厌
(5星)	韩剧中的极品 难得一见
(3星)	连续剧
(5星)	彪悍的女人拥有彪悍的人生
(4星)	不错~~也很搞笑
(2星)	虽然很弱的情节，但是看来还是很温馨滴
(5星)	我喜欢玄彬先生
(NA)	超喜欢，看了无数遍！！
(4星)	没达子好看！
(NA)	妈妈迷韩剧。。
(4星)	蛮搞笑的...只是有点不了解男主角的想法
(5星)	感觉很神啊
(5星)	听可爱的电视剧
(5星)	如果你是玄彬，那么，我也不介意是三顺哈：）
(4星)	推荐。不是哭哭啼啼女主角最后要死了的苦情戏，是轻喜剧。虽然逃不过富家子爱上灰姑娘，但一切都显得那么自然。没有坏女人，这点很好。
(5星)	很喜欢率直可爱的金三顺 羡慕她的大胆 看她落泪我也会心疼 做女孩子不漂亮也照样会依靠个性赢得爱情 希望我也能拥有懂我的那双眼睛的关注 爱情有时候就是打打闹闹中悄然滋长的吧~~
(NA)	我30岁的时候但愿...
(5星)	真的很好看
(3星)	男的帅啊~~~
(5星)	法国面点师~~~
(4星)	这个男人帅到掉渣
(4星)	虽然是俗气的灰姑娘的故事，但是很喜欢。
(4星)	她不美，不年轻，不苗条，可她对爱情的勇气令我动容。
(NA)	男猪脚身材很灵~
(5星)	难听的韩语，frjj似的女主角。老套的癌症、契约。但是，这些遮掩不了三顺的光彩。也许，自信而乐观的人在哪都受欢迎吧。（不过，太过自信真的会变成frjj的, -.-）
(NA)	我叫金三顺
(4星)	很开心的韩剧
(NA)	三顺啊
(5星)	很少写附注 所以很经典
(NA)	人间童话
(5星)	感人又好笑！
(5星)	看完三顺突然感到空虚了...
(NA)	励志
(5星)	推荐推荐
(5星)	很真实的～星评很高的一部韩剧
(NA)	我的大爱~~
(5星)	唯一百看不厌的韩剧
(NA)	永远的最爱
(5星)	玄彬！
(5星)	这部剧让我第一次为韩剧如此着迷，为玄彬，为善雅，为韩国语。。
(5星)	金三顺~~~
(4星)	众多韩剧中比较真实的一部 喜欢郑丽媛
(NA)	..不看外表的LIKE.
(5星)	像三顺一样加油~
(5星)	好想给个6星的
(4星)	当初看这个，只是因为在调台时，一下子掠到了玄彬气质的脸... 完了，色女本相暴露......
(NA)	胖子也有人很爱很爱你~~
(NA)	我就喜欢柳熙珍！讨厌金三顺！怎么着！
(5星)	真养眼~好看
(5星)	我爱金三顺他男朋友
(5星)	搞笑的~经典的
(5星)	最喜欢的韩剧
(4星)	这个可能伐...
(5星)	惟一喜欢的韩剧。
(5星)	玄彬和金善雅真般配！鄭麗媛的確是微笑女王，和Daniel也真般配！好完美的劇集！
(3星)	一点都不现实.这种情节是不可能发生的.电视剧都是骗人的.
(5星)	难得四个主角都喜欢，熙真倒是叫我挺佩服的
(5星)	喜欢喜剧～喜欢玄彬～
(5星)	为数不多的很清新的韩剧
(NA)	~
(NA)	总是不相信里面的幸福生活会很持久,,
(NA)	罕见的经典韩剧
(5星)	第一的地位无可取代~
(2星)	这个就比较一般了，不喜欢。除了蛋糕看着还不错。
(4星)	那样活得很有尊严！
(4星)	很可爱~..很有单身日记的范儿
(3星)	喜欢里面主题曲-握不住的他,很好听
(4星)	一直没怎么关注~电视上断断续续的看后来突然感兴趣了 于是从头到尾重新看了遍~~感受了下平凡女的不平凡
(4星)	看完了，我还是很想减肥
(NA)	百看不厌的
(5星)	电视上看过好多遍 很有趣
(5星)	最爱的韩剧
(NA)	非常不喜欢
(3星)	完整地看过的第二部韩剧 只因为。。。
(4星)	很不错啊！
(5星)	三顺的生活哲学
(4星)	基本看完了，还不错~~
(NA)	我叫金三顺 韩剧 
(NA)	我叫金三顺 
(5星)	幽默 搞笑 又不乏精彩剧情 演员也很出色
(NA)	我喜欢,真帅
(NA)	我以为我吐啊吐啊的就会习惯的，结果我最后还是受不了了！
(5星)	对每一次恋爱都认真负责的三顺，我很嫉妒她！
(NA)	至今最喜欢的一部韩剧
(NA)	没得说了，大帅哥，富家子，深情，每天变换非常养眼的衣服。梦中情人就是这个样子的吧。
(4星)	胖女人的爱情史，外加姐弟恋。很可以振奋人心。指引女性们为了自己的幸福努力！
(5星)	最喜欢看的一部韩剧虽然觉得高丽棒子拍的戏都是很弱智的但是这一部的确也比较弱智可我喜欢三顺的勇敢三顺的不完美
(NA)	三顺，很好
(5星)	喜欢剧中所有的插曲
(5星)	喜欢三顺一家子
(5星)	除了励志 还有什么
(5星)	唯一一个 我看完的韩剧
(5星)	好好好！。/
(4星)	除了胖。。。就是帅。。。
(5星)	三顺...
(5星)	大爱。
(4星)	在各大电视台火了一溜遍~
(4星)	郑丽媛好美，DANIEL好帅.
(4星)	实在太吸引，通宵看完的。玄彬太帅了！！！
(4星)	曾经的回忆 
(5星)	我是一个三十岁的女人，在三十岁谱写我的神话!
(4星)	玄彬 
(4星)	灰姑娘和王子
(5星)	有点不真切的感觉，但至少让我相信我以后还是可以嫁出去的
(5星)	哦，我大约乱乱的看了两遍，轻松、开心才是最重要的。
(NA)	感谢这部戏，因为激励我去看了《追忆似水年华》！
(4星)	美丽心灵的爱情故事
(5星)	胖女孩都有善良的心。
(NA)	真的是很喜欢看看了5遍~~~~
(4星)	记得某段日子。各大电视台。要播烂了。
(4星)	我像三顺? 什么嘛.. 
(4星)	喜欢三顺,更喜欢振轩
(NA)	完全没认出玄彬来..= =
(5星)	玄彬
(NA)	我叫金三顺
(5星)	2008.6
(NA)	去爱吧　像不曾爱过一样
(NA)	我曾经那么爱过的~
(NA)	最喜欢的一部，挺逗的
(4星)	我妈爱看,too
(5星)	在我眼中，这是一部完美的电视剧
(4星)	挺喜欢的一部。
(4星)	胖胖的女人也是可爱的
(NA)	不知道为什么看这部戏的时候，有时候会难过……
(5星)	大韩民国妇女也奋身为自己幸福而努力争取的好例子,妇女解放运动的成果见证
(5星)	很好看
(3星)	  可愛的三順哈哈``
(5星)	说我像三顺??
(3星)	大概女生都会想像三顺那么好命吧！
(5星)	百看不厌
(4星)	喜欢玄彬
(4星)	去爱吧，就像不曾受过伤一样 跳舞吧，像没有人会欣赏一样 唱歌吧，像没有人会聆听一样 干活吧，像是不需要金钱一样 生活吧，就像今天是末日一样 
(5星)	給我也找個振軒吧
(4星)	很想再看一次
(5星)	白马王子和灰姑娘的故事。不唯美的韩剧。三顺是没女代言人，我觉得她非常可爱。
(4星)	勇气！
(4星)	确确实实是部甜蜜的爱情故事，因为里面有诱人的法式甜点，这部剧我都是强忍着口水看完的，不行了，太想吃了，一定好好吃！让我都想去学做甜点了！不过还是搞不懂，为什么男主角会喜欢三顺，还是觉得和熙珍比较配啦！不过可以想象过久的爱情会变质，不过还是觉得振轩和三顺不合适！
(3星)	郑丽媛我喜欢的
(NA)	很實在.臺詞很好.
(3星)	还OK吧~
(5星)	真性情
(NA)	又胖又老，还有人喜欢
(NA)	这个经典啊 希望自己不会是那剩女哦
(4星)	有意思
(4星)	可爱，勇敢，榜样。
(3星)	相信么? 不漂亮坏脾气的女人一样能找到好男人
(5星)	绝赞
(3星)	真不是很喜歡帥哥非美女的組合...
(5星)	故事本身的妙处在于正视了姐弟恋,这也为更多的女人带来了向往恋爱的机会
(5星)	和母
(3星)	其实我也想做个厨子来着...
(4星)	少有的令人同情的不是第三者的女配。
(5星)	绝对是我最爱的韩剧。
(4星)	励志！呵呵
(NA)	。。。
(3星)	奇怪，三顺不是所挺好听的嘛
(5星)	看了又...看
(5星)	努力生活~
(5星)	我爱三顺!!!
(3星)	说真的，男主角选择金三顺的理由非常不充分。所以符合韩剧的灰姑娘剧情，但是有点假，不现实
(5星)	我要是跟三顺一样幸福就好了
(4星)	一直觉得男主角不帅，只是一个帅版夏雨而以。十三集三石第一次穿着最休闲读运动装，头发没抹发胶的时候是我第一次觉得他帅的时候。
(5星)	不知道为啥会这么喜欢
(5星)	百看不厌的三顺！
(5星)	有多少人能象三顺一样!
(5星)	http://www.youku.com/playlist_show/id_297206.html
(NA)	我不相信这个会在现实中发生
(4星)	爱死郑丽媛
(4星)	其实，我只是喜欢那只猪
(4星)	这部韩剧逼我们必须要相信童话。--|||
(NA)	哇哈哈、、、、
(NA)	迄今为止唯一一部喜欢的韩剧
(5星)	玄彬 韩国 
(5星)	我爱过的。去爱吧，就像你从不曾受到伤害。
(5星)	哈哈~~~~这个没有韩剧的俗套~~~~太搞笑了~~~
(5星)	呵呵 超级大爱
(5星)	喜欢这部.
(4星)	歌很不错
(4星)	我还是没想通为啥不要女二……
(5星)	有关爱情的阐述很多都非常经典，喜欢《CAN&#39;T HELP FALL IN LOVE WITH YOU 》；还有喝醉酒去银行拿钱，一边喊着不要偷看，一边把密码就一个个报出来的时候，至今想想都会笑。
(NA)	我叫金三顺
(NA)	超爱看的
(NA)	那个时候很爱玄彬 
(5星)	这是我2006年最爱的一部电视剧，因此而爱上玄彬，希望他不要只是昙花一现哦。
(5星)	生命中的一个转折。
(5星)	真诚勇敢的成功人！
(3星)	突然想数一数自己到底看过几部韩剧
(5星)	就是喜欢帅帅的他
(5星)	三顺姐对生活的态度让人感动。
(5星)	经典!
(5星)	最喜欢的一部韩剧，喜欢想三顺一样的女人，可能因为我和她一样胖乎乎的，而且酷爱吃蛋糕之类的甜点，和她一样有颗真诚持久爱人的心，呵呵，自夸一下~~很喜欢快到末尾的那首诗歌：去……吧，就像没有人……那样。经常自己填词来鼓励自己，比如面对考试时，面对友谊时，面对爱情时……
(2星)	看又觉得无聊，不看又没发言权说它无聊……不过里面的第二女主角还挺好看的~
(NA)	粥粥最爱看的类型，我一般啦，不过还是很有趣的，三顺很可爱 
(5星)	很~~~~搞笑!
(5星)	善良之上
(5星)	没有为什么 这是我最喜欢的一部韩剧我想要学习三顺的善良,坚持和她所不知道的她拥有的美丽还有认真过好每一天的信念也许爱情真的要去等待 说不定真的能碰上真贤那样的王子呢
(5星)	当我开始着急嫁人，这部片，真的很好看
(NA)	 很佩服三顺···
(NA)	高二暑假看的，当时想高考之后一定连看三遍
