http://movie.douban.com/subject/5279645/	一一向前冲
(4星)	 不错，挺好看的~            
(3星)	 弃了。            
(4星)	 搞笑~~~~~            
(NA)	 姐妹朋友之间的感情更是让我们感动，在我们的一生能交上几个知心的朋友是很不容易的，加油，大家！！            
(5星)	 感觉很真实，轻松，看似平淡的交谈有时让人回味无穷            
(5星)	 近期看过的最温暖、最有爱的国产剧！            
(4星)	 记得好久没有这么追一部电视剧啦,这部剧没有唯美的画面,但更突出它的真实性.喜欢女主角的性格,乐观向上,积极进取,面对困难,直面而上,没有退缩,而且真诚,善良.一直想成为这样的人.            
(5星)	 向梦想出发。。。不要怕挫折。一一好样的。            
(5星)	 看到很多影子.            
(4星)	 后少女主义！            
(3星)	 本来是给19找的..结果自己一无聊就看完了, 还通宵看的= = 其实也就一般, 结局都能猜到, 但是看别人的故事心里会很轻松~ 霍建华的牙齿真丑            
(5星)	 很喜欢女主角的性格。            
(NA)	 女主角的美 要看一段时间才发现 真的挺美的，但 为什么谢芒的老公的声音也太有磁性了=-=！！！            
(4星)	 轻松幽默~            
(3星)	 剧情、台词、演员保险都不错，可就是服装太差，无法投入。            
(3星)	 俺也想要个像曹砚那么支持我的领导啊给我点锻炼机会什么的，很多工作上，成长上的心境情节我很喜欢，就是演员大多数不够力道，而且吧很重要的达人秀部分太粗略了偶像剧这个东西害人啊            
(4星)	 最难忍受的就是里面的服装了，居然还听说是要走韩范儿？不过剧情还行，偶尔看看肥皂剧也能放松下～～            
(4星)	 虽然在服装打扮以及演员的选择上有点让人大跌眼镜，但是一一乐观、坚持的精神还是值得我们一看的！加油一一！！            
(3星)	 1 爱喝健怡的基本上都是想keep fit 的小姑娘  2 岁月催人老 帅哥也如此            
(4星)	 超喜欢马路这个角色            
(3星)	 其实是听的电视。。。寝室女生们看的== 都不知道这里面的人长啥样==            
(4星)	 很稀饭一一，最后一一是幸福的，希望我也有自己的幸福。            
(NA)	 积极向上 乐观面对 的精神绝对值得我们学习 集励志、爱情、友谊、职场于一体            
(4星)	 一一有时候真二            
(3星)	 最初吸引我看的是因为男主演是我很爱的霍建华，看网上说这剧中国版的金三顺，两天快速看完了，剧情其实略老套，演员表演其实也很平平，但是感情还是挺真的。乐观、感恩、积极向上、淡泊、珍惜、等等等，突然觉得充满了力量，我们都不知道会途经什么，但是，我们现在拥有的，就是上天对我们最好的安排            
(4星)	 看了觉得慢温馨的，喜欢这样小小的感动            
(4星)	 编剧不错            
(3星)	 没网的时候抱电视，然后就看了，蛮适合打发时间的            
(4星)	 还挺好的~不过那个周一一可没三顺俗，比她要可爱点……            
(NA)	 喜欢马路和上官燕，看第一集的时候想起了赵薇的《我和上官燕》，哈哈！            
(5星)	 轻松,愉快,搞笑,这是一部能让人一口气看完的肥皂剧~            
(3星)	 2010.11.27-12.2 绣十字绣《福》打发时间的片子            
(4星)	 由于在我家所在社区拍的，所以看了，并多给一星。可服装也太节约了吧，前女友的发型真是超失败。剧情还行看。            
(3星)	 想来想去还是扣掉一颗星，后期太磨叽了，烂尾~            
(NA)	 有意思，挺好看，我喜欢！            
(3星)	 跟着我妈断断续续的看完了。没看的部分我自己完成了完形填空。            
(NA)	 为神马童蕾像赵柯。。《美女如云》的噩梦啊。。            
(4星)	 断断续续地看完了全部            
(3星)	 好奇怪此剧中的霍童鞋为什么总是脸红红的感觉...            
(5星)	 真的很好看 剧里的感情觉得很真实 虽然想让男女主角在一起 不过要是女主角和西蒙在一起也很不错啊            
(5星)	 平淡。生活着。很好^_^            
(5星)	 一个没有自我的人是没有人爱的            
(3星)	 童蕾没啥演技不过我娘竟然认识小霍的,奇怪..算大龄女青年的励志片吧~有些对白还蛮有趣~演马路的就是一直拍KFC广告的那个男孩演技蛮好的~            
(4星)	 好看好看，喜欢童蕾。            
(3星)	 励志！            
(NA)	 因为爸爸最近在看。            
(4星)	 演技派演偶像剧，好看。            
(NA)	 挺真实的，很喜欢里面的马路这一对平淡而有些小调皮的爱情，喜欢西蒙成熟而积极的人生观，当然还有周一一那略显夸张的单纯和向上。生活中有很多错综复杂和辗转起合，有些矛盾时间过了也就不是矛盾，但不管怎么样，只有找到了自己才可能被别人发现，即使别人不认同也没关系，大不了自己成全自己            
(3星)	 有那么鼓励志的劲儿，周一一那个性太像我一姐妹了~            
(5星)	 拍得很实在的一部戏，很轻松很值得一看！            
(5星)	 不错，很励志            
(4星)	 客观、真实、细腻 。很有趣的轻喜剧。            
(NA)	 侮辱！！            
(5星)	 非常不错的电视剧            
(5星)	 我老爹都喜欢看~~哇哈哈            
(5星)	 虽然没看过。。但里面有御姐的妹妹哦~~            
(4星)	 这个胖胖的脸真是圆啊            
(4星)	 找到自己~~            
(4星)	 刚看觉得女主的面部表情太韩国，太做作，正常中国大陆女是没那些个张口瞪眼的表情的，但是拍摄的生活画面让我非常想念自己遥远的家，很快就一天不看都不行了，而且还在很多非泪点流眼泪，客观的说，不属于上乘之作，随便看看还可以            
(4星)	 一帮SB剩女类电视剧里算上乘了~~KFC男还是那么可爱~            
(4星)	 不错的 最后的有点作了            
(4星)	 还算是有诚意的一部电视剧。喜欢霍建华            
(5星)	 仔细看，用心看，你会发现，它可以给你指引一些方向。我很喜欢看。在上官燕身上，其实有我们很多人的影子。周一一，是我们对自己的理想和期望。            
(5星)	 最近偏爱大女题材的作品，有人问我是不是有危机感了，⊙﹏⊙b汗，我咋觉得其实我还挺向往的。年轻的时候容易意气用事，爱情婚姻家庭观念也不成熟，而到了大女的年龄，相处也更内涵也不再浮于表面了。            
(5星)	 非常好看的片子，轻松快乐，还有积极向上的励志成分。男主角非常帅，爱情过度很自然。总之，很好看！            
(4星)	 就当职场修炼看            
(3星)	 演员不错可是情节不够细腻完整            
(4星)	 也许 对一部成功的银幕作品的定义 除了制作精良外 更重要的是与受众产生共鸣            
(5星)	 制作不算精致，演员不如人意，可是贴近生活，而且有些话让人学会成长。            
(3星)	 后少女时代~            
(3星)	 看过为数不多的国产剧。            
(5星)	 为什么童蕾把混搭穿的如此大妈，我却不烦她，哈哈            
(3星)	 嘛好看的，本身就是肥皂剧啊，无聊的时候看看打发时间，干么四要求那么高呢            
(5星)	 总体来说还是不错的            
(5星)	 好看！！！            
(5星)	 生活有很多不如意 有时候需要从虚构的情节中寻找对信仰的坚持            
(4星)	 喜欢一一的勇敢、乐观、执着、善良，最主要性格特别好，人缘也好。她对生活的热爱，或许也是很多人想拥有的。            
(NA)	 我们一起看。            
(4星)	 挺好看有趣的~            
(5星)	 想起年少那段电台时光。            
(3星)	 一一向前冲的歌挺带劲。。竟然是王婧唱的。。            
(3星)	 还不错，挺喜欢霍建华的，童蕾的装扮真的不怎么样            
(4星)	 ……同事说一一像我，我看看怎么个像法~~呵呵，挺有意思的。            
(NA)	 轻喜剧就是这般啊~让我想到飞鱼秀耶！            
(4星)	 CCTV8每晚三集……我已经沦落到看国剧的地步了……            
(4星)	 和小说一样的~            
(3星)	 中央8在演··            
(2星)	 不知道怎么形容。。。只想说 老女人 好麻烦。。            
(3星)	 就是为了看华哥。            
(4星)	 故事的灵魂却是很靠近《我的名字叫金三顺》，而且很明显导演在选角上也受到金三顺的影响，但是看过小说本身，还是会发现不同于金三顺的一种感动。可惜国内还没有好的偶像剧制作班底能够抓住这个精髓。看《一一向前冲》我有一种听凤凰传奇的歌的感觉。剧本确实不错。            
(5星)	 周一一，我爱你。            
(3星)	 好久没开电视了，因为发烧昨晚看了两集，一一这种女性角色怎么会出现在大陆的电视剧了，有点看韩剧的感觉。            
(4星)	 看过原著，很喜欢，期待ing。。。看完觉得值得推荐。。。            
(3星)	 也就那么回事吧。            
(4星)	 向前冲，亦为梦，为爱！一味的等待，有些就注定要错过......去争取吧，就算结果不如预想，但起码，去争取过，去为之奋斗过！            
(5星)	 “一一向前冲，过河的小兵，大不了自己成全自己的梦~”            
