http://movie.douban.com/subject/2995158/	少年四大名捕
(3星)	 林峰和徐子珊是在演史密斯夫妇吗？            
(4星)	 只为了这四个人能在一起            
(4星)	 无情！！！！！！！！！！！！！！！！！！            
(4星)	 四位帅哥，一人一星            
(3星)	 剧情好怂，JQ还是有的，看的很欢乐            
(4星)	 结局有点二 剧情也一般 但是看在演员不错 给4星            
(4星)	 就说我爱这题材            
(3星)	 话说案情还挺雷的...尤其那个诸葛先生真是雷死人了            
(3星)	 还行吧，毕竟有那么多帅哥，没事看看            
(3星)	 吴卓羲怎么这么黑，林峰怎么这么黑，剧本怎么这么弱。三颗星星都是给陈键锋的            
(NA)	 冷血的小贱样很入我心啊~看着四个大男人在草地上吃树叶，我黑线了|||            
(3星)	 算了吧，这剧就这样了……林峯不行了啊……            
(5星)	None
(NA)	None
(3星)	 吼，演技好浮夸啊…Z3我真心不想继续吐嘈你的长相了…吼！            
(NA)	 看了这部戏,还梦见和林峰聊天,聊TVB,聊天与地的大结局...晕死啊            
(4星)	 讨厌桑姑娘            
(3星)	 看四小生，要是有黄宗泽就更完美了，剧情嘛，不评论。徐子珊演的那个女的太坏了，无情不是很聪明又无情吗，怎么会一直上当！！！！            
(3星)	 我喜欢那个很帅的结局，话说没一个我喜欢的演员居然也看完了啊，TVB的剧情果然可以啊~            
(5星)	 太好看了 虐死我了             
(3星)	 林峰少爷转瓜子脸后又一古装力作 鼓掌            
(3星)	 难得觉得林峰蛮灵的，无情公子真是不错，纠葛在理智与情感间的蹭得嘞~硬邦邦的冷血和俏皮健气的追命也是相映成趣。PS.边写报告边看完这剧，我也蛮佩服自己的。            
(4星)	 什么情况 什么情况  我在寻秦记了  TVB伴我抄教案            
(4星)	 林峰可以再帅点吗！！！            
(3星)	 这种不动脑筋的剧情片对我这种有始有终的人就是灾难。。。。            
(3星)	 花痴是人类进步的动力。快要从马明好感三苗无感变成全马明粉半三苗粉了。但是最后一集那个“绝世神兵”被峯少爆菊，真是雷死了雷死了雷死了。不要再骂Z3同学了，姑娘还是有点可塑性的。            
(4星)	 结局真的太刻意了吧 可以死的都死了 就是要刻骨么？太假了点。学红楼梦~~            
(4星)	 打发时间还不错~            
(3星)	 剧情就不评论了，反正只是来看帅哥的~~~~            
(3星)	 就一句话，看的蛋疼！            
(3星)	 这是什么啊= =|||            
(5星)	 翩翩美少年们~剧情不错！人更加不错！            
(3星)	 按剧情说，那个瘸子真是说一套做一套啊，活该被女人骗到死            
(NA)	 就是因为这个爱上你哦            
(3星)	 女角都垃圾..            
(4星)	 唯美的少年名捕啊。。。            
(3星)	 不是年轻貌美就行的了~            
(4星)	 其实这明明是我最喜欢的类型，四男主各种型，能言情能搞基，可是不知道为毛我就是没看完。。PS：陈键锋可爱爆了，原来他不演苦大仇深胆小怕事的角色演个追命能那么可爱，林峰。。不谈了，马国明正直老实大傻专业户，吴卓羲我森森怀疑你和编剧造型有仇，森森怀疑。            
(3星)	 非诚意之作，老戏骨全都出演配角，当年开始力推徐子珊，不过她太丑了，无论是古装时装，都看不得。值得称赞的是片中的外景还都不错，终于脱离了香港本地，在云南拍的。            
(4星)	None
(3星)	 用来打发时间真的还行,那句 帅哥有多帅剧情就有多烂还真是精辟。            
(4星)	 为毛评分那么低~还不错啊！            
(4星)	 一直想看但都没时间看，现在终于看完了。典型TVB的胡扯剧情，但四人组加徐子珊阵容还算养眼。                
(1星)	 雷得甚爽。            
(3星)	 讨厌里面的林峰，像个SB            
(3星)	 喜欢无情。            
(4星)	 从《潜行狙击》开始迷TVB            
(NA)	 from 安徽            
(3星)	 桑姑娘是个什么情况~~            
(NA)	 蛮好看的，结尾很凄惨，好像只有铁手是最幸运的，他和若飞至少两人都在。            
(3星)	 芷颜反转的太快了。。。。。。。            
(3星)	 TVB的片儿就是看一半，接着就能猜到另一半了            
(3星)	 这个无情~哎            
(2星)	 案子太弱智            
(NA)	 这么烂的片子，居然从头到尾一集不落看完了，我这是抽了哪门子风。。。            
(3星)	 最后的结局不好~~~~毁了整部电视剧            
(NA)	None
(3星)	 粗制滥造的气息扑面而来，好在结尾的感情不那么猥琐            
(NA)	 the four....            
(4星)	 还不错            
(4星)	 难得喜欢的四个都凑一块了，给四星。            
(NA)	 女主命好差~帅哥还不错~。冷血。            
(3星)	 当初这部剧让我觉着，徐子珊也没那么难看，林峰也可以演温若美男。            
(3星)	 虎头蛇尾            
(NA)	 比较前面结局有点无聊 家族恩怨什么的都轻描淡写 无情不是很聪明么 后面被骗的团团转 是不是剧集长度用完了就草草结尾            
(4星)	 好久没看过这么俗的剧情了 呵呵 俗不可耐             
(NA)	 最近沉迷TVB=。=            
(3星)	 铁手好可怜，他一家都是被桑芷妍害了····岳父因为，妹妹因为，亲生大哥也因为···他怎么就这么可怜，好讨厌那个女的            
(4星)	 我就觉得追命冷血什么的最配了            
(5星)	 周末两天连看12集，挺过瘾。可能是最近没什么好看电视剧，感觉这部还是相当不错的。林峰依然很帅，发现陈键锋也挺不错~            
(4星)	 四大帅哥集聚啊，不错            
(3星)	 苗苗支撑我看完了整部剧。。。            
(3星)	 看开始以为是铁追冷无，看到最后变成冷追铁无了！不过冷血追命真的有爱咩……            
(3星)	 恩.还是大爱马国明~~~            
(3星)	 BUG太多            
(4星)	 四分给四个帅哥吧。。。忽略剧情忽略女猪我就光看他们搅基了我。。。            
(5星)	 香港编剧的感情戏还真是..无招胜有招            
(3星)	 追着看完这个，能说明我很无聊。呵呵！            
(3星)	 就，一般，不过有帅哥，我还是愿意看下去，但剧情就，哎，一般，真的一般            
(3星)	 诶……实在是没啥可评价的……            
(3星)	 快餐作品，四个神捕的性格倒是鲜明得很。            
(4星)	 花了零碎拼凑的时间碎片看完了这部片子，四名神捕选得很给力，尤其是林峰，永远带着淡淡的忧伤。看tvb的片子，本就不该探讨什么剧情，很少经得起推敲，各取所需，看到了想要看的人，笑了，或者流泪了，便够了。            
(3星)	 不好意思，有徐子珊，脑子自动减分            
(3星)	 你不喜欢林峰，你总喜欢吴卓羲吧，要不你会喜欢陈键锋吧，要不你会喜欢马国明吧，什么？四个都不喜欢？！那你就当成古装真人版名侦探柯南看呗，不就是消磨时间么。。。。            
(1星)	 无力吐槽。。。难得凑齐这个卡司，外景造型都足够美好，不知道编剧脑子里面塞了些什么东西。            
(4星)	 无情演的确实很不错，编剧可以拖出去杀了，不然这部剧可以非常好。            
(4星)	 三大帅哥是亮点啊啊啊！马国明弱爆了！看结局是不是有第二部啊啊？            
(3星)	 吴卓羲啊吴卓羲，只是想看吴卓羲而已，剧情实在太小弱了，为啥么吴卓羲的戏份那么少呢~~            
(5星)	 林峰超帅啊！            
(4星)	 光看四位帅哥，也很值的            
(4星)	 这个时期的徐子珊和李诗韵还是挺美的 、四小生聚在一起拍戏也是难得的。看看现在的tvb的片子，真是不如从前的 。            
(3星)	 林峰很帅啊            
(5星)	 我的无情公子啊……升级为腐女，我挺铁无恋！            
(3星)	 化妆强于双龙传            
(3星)	 只能说男祝都很帅  但是不够悬念  不够饱满 每次一出现案子立马给解了  太仓促了            
(3星)	 很久都不看古装了，居然看了前面几集一发不可收拾。剧情痴呆加傻，但是帅哥哥们站在一起我就不断地流哈喇子，好帅好帅啊，我真喜欢古装男，玉树临风的翩翩公子们那            
(NA)	 消磨时间看看也不错，几个男主角都还蛮喜欢的。            
(3星)	 因为对徐子珊无感所以一直没看 然后某天下午在某卫视看了一集就 将就的看完了。TVB的业余水平。            
(3星)	 就不能换个结局嘛            
(4星)	 其实蛮好看的啦，就是这结局相当奇怪~TVB不都以大团圆结局的么？            
(3星)	 漏洞百出，将就看看。            
(2星)	 O!M!G! 。。。。            
(3星)	 陈键锋真的不错耶。            
(3星)	 TVB四大帅哥，无话可说            
(4星)	 忽略狗血的名字吧，忽略狗血的结局吧，光是四个人一起吹树叶的画面就值四颗星！！！            
(3星)	 四大寡妇啊~~~~无情你果然还是应该跟冷血在一起啊！            
(2星)	 要不是4个帅哥，真是么啥看头            
(3星)	 13集有Bug，红果果的【草原上升起不落的太阳】！感受到林峰演技的提升，突然觉得徐子珊演得还不错。其他人依旧一般般，不喜欢油嘴滑舌的苗苗和没有表情的冷脸吴卓羲，结局太惊恐了。@Home            
(5星)	 请允许我再花痴一下。            
(4星)	 疯狂的陷进去了,无法自拔,也不想跳出来.回味悠长啊!纠结后突然放空,再没有自言自语,暗然神伤,会心一笑,拍手称快的日子,我该如何是好...            
(NA)	 少四太有爱了.......女人什么的全部都是浮云。好怀念那个时候的四个人，如今苗走了，ron老是打酱油，马明也不怎么接好剧，唉.......            
(3星)	 徐子珊怎么还是那么讨人厌啊...到后面也只好看看人了,剧是有点瞎编了.            
(1星)	 这是我看过最烂的港剧鸟，除了帅哥与美女，说真的没有什么好看的，浪费我的时间            
(4星)	 虽然那些个案子是有点弱智。。。            
(3星)	 爱追命 爱吴卓羲...            
(3星)	 冲着四个人去看的。帅气。            
(3星)	 女主长相都很别扭。。            
(4星)	 喜欢~电视  家             
(2星)	 剧情很取~！            
(NA)	 无情的爹不是一般的牛叉，还会手绘3D图。。。。。            
(3星)	 故事漏洞百出，特技虚头八脑，女主丑不拉几，但我还是追着看了，谁让咱喜欢悬疑类故事呢（虽然总是能猜到真凶），再加上楚楚动人的无情公子。            
(4星)	 陈键锋好可爱啊，林峰也很帅啊            
(3星)	 让人怀念的宿舍生活，林峰好帅！            
(NA)	 6。6分低了            
(3星)	 我承认，我讨厌徐子珊！            
(3星)	 结局证明bg什么都是浮云，bl才是王道            
(3星)	None
(NA)	 在医院一直看啊看....            
(3星)	 男主角帅帅帅  女主角丑丑丑            
(3星)	 喜欢小说原著            
(3星)	 结尾不喜欢            
(3星)	 结尾很恶。林峰在里面真心帅，苗苗真心可爱。            
(3星)	 真的純粹是爲了四小生而看的 那幾個女豬腳除了李詩韻其他的都好路人好無語             
(NA)	 就看四张脸了，哈哈。            
(5星)	 四帅~~            
(5星)	 其实没到力荐的标准，但是这真是比大陆剧好的不是一点半点。找到了温氏武侠的感觉~实在是最近大陆连续剧太多了。。            
(2星)	 打发时间            
(NA)	None
(3星)	 那时年少各种剧~            
(5星)	 小追啊啊啊啊~~~~~            
(4星)	 剧情至最后实在有些狗血 不过也好在了大团圆。            
(2星)	 三星给演员，为了剧情再扣一星。            
(3星)	 一直在吐槽=-=            
(5星)	 我讨厌徐子珊            
(2星)	 这是一部多么扯谈的推理悬疑、江湖恩怨、狗血言情、搞笑诙谐的雷人腐剧啊。。。            
(5星)	 正啊 就四大男猪脚            
(3星)	 悲剧收尾            
(1星)	 很久没看港剧 剧情还是这么雷同啊啊啊啊 难怪每次都说如有雷同纯属巧合 我还是去看温瑞安吧~            
(3星)	 = =            
(4星)	 喜欢的演员都凑齐了。            
(4星)	 本来算还行的，但是仔细想想似乎同类剧最近2年TVB还真没超过这部的，所以就推荐了            
(3星)	 四大帅哥，还算养眼吧            
(5星)	 看这四位演员就知道了，帅哥云集，精彩演绎。            
(3星)	 乱世出英雄            
(3星)	 哄哄小女孩的戏            
(NA)	 就是因为帅锅嘛            
(3星)	 死撑着看完            
(4星)	 四个主角都很帅，主要四个人都有伴了，感觉慢圆满的，但是最后的愚忠。。。            
(4星)	 还可以。            
(5星)	 力薦啊~~             
(3星)	 四大帅哥齐上阵，真是美哉啊，至于剧情，TVB的老套路。最后一集很墨迹，明明20分钟的时候就可以结束了，非要把每个人的结局都演得那么彻底，一点念头都没有，没为自己拍第二部做铺垫啊。。。            
(3星)	 TVB几小虎来着。。。港剧拍得总是不大气。。。            
(4星)	 除了林峰，我都喜欢！！1            
(3星)	 结局真是令人伤感啊~马国明太傻了，吴卓羲和林峰很爽的样子，一个台词很少，一个全程坐着。            
(2星)	 其实就是4大小生的集合吧，情节很一般很一般~            
(3星)	 跟着同学看一下            
(4星)	 我是冲着肉苗之间的JQ去的！！！！            
(4星)	 有了这么多养眼的帅哥，还多求什么呢？？？            
(4星)	 帅哥一人一星。            
(3星)	 结局狗血啊  死那么多人怎么不死徐子珊个奸细。。虽然还是喜欢追命 但这部里冷血不错哦 最爱的还是小哇版滴追命哈~~~              
(4星)	 团队中需要不同性格的人在一起才能互补，达到好的效果            
(NA)	 雷人，丝毫不见温瑞安风格，有几个年轻帅哥            
(5星)	 四个男角儿好帅···为什么配女主角那么奇怪哦····            
(3星)	 有很好的剧本，但结尾有些草草~徐子珊古装扮相总感觉看起来有点怪，但又说不出来，喜欢陈键锋演的追命，觉得这种感觉很适合他            
(4星)	 一人一星吧。。orz            
(3星)	 四个可爱的人儿都上了还能说啥，再烂也值得看完。马国明加分~！            
(3星)	 当时怎么看下去的，真是狗血无比            
(3星)	 虎头蛇尾，开始还蛮有看头的，最后几集完全陷入在怎么徐子珊还没有暴露的无力轮回中…终于暴露了吧，又陷入了为什么她还没有死的无力轮回中。。。诶。。反正四大名捕后来都没有抱得美人归咯…挺苦逼的。            
(3星)	 闲暇时候打发一下时间！            
(3星)	 = =看到chock神残了很开心的说。。。            
(NA)	 四个都是帅哥。            
(NA)	 只看马明= =  大烂片啊魂淡            
(3星)	 有腐            
(3星)	 马哥哥挺给力的，苗苗有点胖，肉肉的妆有点毁，天杀的悲剧完全毁了四个帅哥！我的三颗星？全部给亲爱的林无情，无情美人啊，显然美过Z3……另外刨除所有编剧原因而显得脑残的台词和毒舌，无情绝了，前无古人，估计也后无来者。            
(3星)	 第一个案子有最常见的心理密室............            
(3星)	 我同学因为这部剧爱上林峰了 我无感            
(3星)	 只是为了看林峰            
(4星)	 其实还是不错的 TVB的新五虎            
(3星)	 搞笑的追命，徐子珊意外的能看了点            
(3星)	 票仅投给帅哥= =剧本不给力……            
(3星)	None
(4星)	 评分怎么阔能这低列？！！            
(4星)	 看中：剧情一般，四位一人一枚吧。最大惊喜是马国明。看后：其实在《四大》的改编里面算不错的，至少造型是最成功的一版。主题曲不错。            
(4星)	 陈键锋演技不错。林峰超级帅。吴卓羲超级帅。            
(3星)	 被最后一个镜头帅到。。            
(4星)	 结尾竟然是个慷慨的杯具 除了铁手就没人结成连理啊            
(3星)	 本说冲着四大才子，不，四大帅捕（这就再次证明了编剧们都不是省油的灯，把个《金装四大才子》换个背景就可以重新卖啦 =  =）那外形，给个四星……可是编剧，你也忒不给力了吧！！这都不叫喜感！！这叫侮辱观众智商啊！！！现在又不是玩吐槽，还重复NG老套路！！！既便有“基情+帅哥”也很难“补非”！            
(3星)	 无可救药得爱吴卓曦            
(3星)	 哪版都是追命最得我心            
(NA)	 过程总是精彩的，结局总是狗血的。            
(4星)	 马明已经帅到我心里            
(3星)	 不出彩，剧情有雷点。            
(4星)	 看到倒数第二集的时候还在以为剧情只是发展到了一半 ，发展太快了。总体感觉还可以。            
(3星)	 林峰这部里比较中我意            
(4星)	 四个主演很养眼 峰少加一星！            
(4星)	 一开始喜欢铁手，看到最后果断追命冷血啊。。。四帅，马明~苗苗~峰少~ron~            
(3星)	 为了林峰入的这部，果然只有林少的颜可看了。剧情经不起推敲且漏洞百出。人物个性倒是定了型，场景转变却太过突然，前一刻还冷言冷语，后一刻却温柔救人；前一刻痛苦万分苦爹喊娘后一刻完全没过渡又笑逐颜开。如果这就是赶时间的港剧特色那我也无话可说。看了5集看不下去了。            
(5星)	 好怀念~~            
(2星)	 纯看苗小追            
(NA)	 我只是为了看 马明和小狮的            
(3星)	 这剧情 这女主 浪费我TVB四小生            
(4星)	 都是看人的！            
(NA)	 女主角和剧情都很狗血，但是四帅齐聚~~~~不得不高分啊            
(2星)	 这四个人的聚首该是多么期待呀 可是这剧情 哎 扮相还可以            
(3星)	 还行            
(3星)	 除了搅基无其他看头            
(2星)	 不要弄个会让我想到《烈火如歌》那个青衣男的角色出来装温和！！他装不了！！！！            
(5星)	 无情最有情。            
(4星)	 不太喜欢徐子珊            
(3星)	 不过不失，至少峰少没站起来            
(4星)	 林峰真的很像一个哥哥。。。越看越像。。。            
(3星)	 无视剧情以及摄制现场和剧情的充分矛盾的囧部分只花痴的话，还是可以看到最后一集的……            
(5星)	 还不错。马国明是亮点，吴卓羲演的好cool~~~            
(5星)	 五星啊五星啊四个男人帅成这样我能不给五星吗~~~~~啊~~~我的小心肝啊~~~~~~~~~~~~~            
(3星)	 这完全是冲着TVB的小生去的，林峰、马国明、陈键锋、吴卓羲........唉....就这点看头吧，男主角优了，所有的女主角都不给力啊！！！！！！            
(3星)	 道是无情却有情            
(4星)	 林峰帅！！讨厌徐子珊！！            
(NA)	 最爱马国明！其实这四个型男都8错啦！            
(3星)	 一般般            
(4星)	 我说，为了少爷的古装扮相，我给了四星。没让无情站起来，其实足够了。            
(3星)	 纯为了吴卓羲，但尼玛为什么戏份台词都那么少！！！？？？？和他搭戏的是谁阿怎么那么丑！！！！！！！！            
(3星)	 看到一半就看不下去了            
(4星)	 啊哈哈哈 四个都是我喜欢的。 等下去重看一遍 好久以前看的了 都忘了剧情            
(2星)	 没看完 弃剧            
(5星)	 喜欢喜欢，四个人每个人都有自己的特色，4对感情线也很好，只可惜最后都没成，案件挺精彩            
(4星)	 子珊&amp;馬明李詩韻那對&amp;小刀 我喜歡            
(5星)	 出了做作的徐子珊~我都能接受~            
(5星)	 仲以為好耐既添…原來係08年的…            
(2星)	 25            
(3星)	 前面还可以，后面完全不行            
(NA)	 里面的女人都是多余的！            
(3星)	 感覺還行啊~除了皇上像傻子似的……我就不明白，為啥要安排這麼個結局呢~            
(NA)	 一般把，帅哥美女而已            
(3星)	 天哪！好难看 但是我们两个还是在继续……            
(3星)	 竟然是在丽江拍的            
(5星)	 追命真是太帅了！！！            
(2星)	 各种逻辑乱啊！看完了……            
(5星)	 那四个人都喜欢啊！            
(2星)	 肥皂剧，纯粹为看帅哥~            
(4星)	 四大帅哥齐齐出场呀            
(3星)	 造型设计不错，剧情太山寨了。            
(3星)	 我好讨厌徐子珊啊            
(4星)	 - - 一边被雷的四分五裂一边默默的腐            
(2星)	 哈啊哈            
(1星)	 垃圾剧            
(3星)	 虎头蛇尾，浪费几个帅哥。。。不喜欢女主女配，小家子气……            
(NA)	
(2星)	 虽然我讨厌看动脑子的，可这也太蠢了吧？拍成这样表示名捕只是体力好运气佳而已？女性角色是帮倒霉催的蠢货没问题吗？双R不好看，反倒是最喜欢马明。无情铁手，冷血追命，这样的西皮多和谐。            
(4星)	 四位帅哥真的很养眼，最喜欢陈键锋了，他演得很好。可是结局真有些恶心，除铁手外其他三位都无法有情人终成眷属。            
(3星)	 孕期无聊...pps美剧被关,港剧上~~~            
(3星)	 马国明萌啊~~~女主们就算了= =            
(3星)	 这四大名捕很一般啊...            
(5星)	 超爱里面林峰扮演的无情            
(4星)	 就喜欢这种小生扎堆的剧 令我想起大爱的冲上云霄            
(5星)	 花样男子啊!            
(4星)	 看看 林峰和吴卓羲还是不错的。至于剧情什么的都是浮云~            
(3星)	 好久没看到这么不和谐的结局了，一开始配对配得那么开心结果一对都没成，咳~~~            
(NA)	 喜欢上马国明            
(3星)	 不记得看完了没有            
(3星)	 BG戏忍的我都内伤了~~~            
(NA)	 本来就喜欢四大名捕系列，喜欢冷血，喜欢吴卓羲，可惜的是这部戏剧情不是很.....            
(NA)	 四个帅哥一起演 不看是不行的            
(5星)	 帅啊。            
(4星)	 虎头蛇尾。。。            
(5星)	 这部剧里徐子珊让人惊艳.            
(3星)	 除了造型，其他都很垃圾。            
(4星)	 其实还是可以看看的，三苗在里面也太可爱了吧！！！            
(3星)	 剧情真的很一般。。。            
(3星)	 少年五大名捕的话，是不是就再加黄宗泽啊~^_^            
(2星)	 除了人长得帅外一无是处。。。演的差剧情差不满意啦反正            
(5星)	 基情四射！            
(3星)	 哈哈哈哈 tvb控            
(4星)	 峯少爷~帅气了~&gt;&lt;~            
(3星)	 这里的陈键锋让我眼前一亮！            
(2星)	 很粗糙            
(NA)	None
(4星)	 感觉很好看啊~~哪有呢么烂？！（最喜欢追命~）但的确TVB花旦欠缺啊....还好有邵凯丽的配音，桑芷妍不至于很讨厌            
(3星)	 我主要还是去看铁手的~呐呐，还是一部秉承了TVB传统的剧~            
(3星)	 星是给帅哥de，不喜李诗韵。。。苦逼脸就是说这个的吧            
(NA)	 看帅哥滴 后来才发现里面女猪好弱。。后来才发现这剧腐得好赤裸裸。。。。            
(3星)	 最后一幕好囧啊 其他都还好 其实真心基情四射噢  好兄弟 噢嗬嗬嗬嗬            
(3星)	 对于我来讲别扭要死的无情是唯一的看点。            
(3星)	 他就是那样，为了相信的人，完全不顾一切。没有相信，人生还有什么意义？            
(4星)	 还不错！            
(4星)	 没很大期望，但出来效果不错，喜欢吴卓羲和马国明的表现。            
(2星)	 纯属为了养眼而看，剧情没有任何出彩之处            
(NA)	 不喜欢徐子珊            
(NA)	 李诗韵 很可爱            
(3星)	 女主角不行。 前头还行            
(3星)	 剧情和拍摄角色的演绎都不是很完美，不过还是坚持下来，四大型仔是看点            
(3星)	 三颗星完全冲着帅哥们去的。但是剧情过于狗血，女角太不给力，浪费了一帮帅哥。不胜惋惜。            
(3星)	 没看完 不过前面挺好 为林峯加到三星半            
(3星)	 若不是看在四位都还算养眼的份上......            
(3星)	 跳着看了大半。剧情比较狗血，一群所谓正义之士让一个女无间耍得团团转。            
(3星)	 有点虎头蛇尾  很喜欢里面的冷血，，RON演的不错~~苗苗在里面可爱死了             
(3星)	 看到后面觉得剧情很狗血            
(4星)	 帅锅很多。不过没有原来的感觉了            
(4星)	 就为着四大美男以及云南美不胜收的实地拍摄，怎么着都要忽略剧情不计看看            
(4星)	 有些地方牵强附会了。这篇就当偶像剧看好了。。。            
(3星)	 剧情很狗血，符合TVB...我就是看人去的！虐啊~老是泪汪汪的眼~            
(3星)	 掩面，正直君你其实真的不适合如此正直的角色啊~开头其实还蛮靠谱的，就是看四人的颜都算养眼，吹叶子果然很萌。但是，但是，请桑叉烧去死一死好么.....            
(3星)	 TVB 那几幅布景几个人也就是这个水准            
(3星)	 结局太扯了 陈键锋的角色很讨喜            
(4星)	 温瑞安太腐了            
(3星)	 110225：还行~如果不是吴卓羲跟徐子珊就更好了……            
(3星)	 冲着演员去的，有点小失望。            
(2星)	 好吧，我错了，越看越烂，女主不讨喜，情节似曾相识也就算了，还混乱，要借鉴也不用借得这么烂吧，还好只有二十多集。            
(3星)	 果然是四位如花似玉的美少年啊。            
(3星)	 剧情过傻，服装过傻，主角都很帅！            
(3星)	 林峰在里面太帅了！！            
(4星)	 无情哥哥真好看~            
(4星)	 不错~            
(3星)	 真的是不好看啊！~我自己很认真的看都觉得剧情没有连贯性，破案没有包青天有吸引力。            
(3星)	 吴卓羲啊吴卓羲啊吴卓羲啊            
(4星)	 靠，天雷滚滚……果然是四个帅哥一人一颗星……………………            
(3星)	 主要是有帅哥在里面，但是女主角就……            
(4星)	 林峰好帅啊，说真的看到徐子珊一出来我就立刻快进，尤其她和林峰你侬我侬的时候........            
(5星)	 基情四射啊!!!!!!!!!&gt;&lt;  雲南風景好啊!!!!&gt;&lt;&gt;&lt;&gt;&lt;            
(1星)	 我的四大名捕啊。。            
(4星)	 冲着这四男齐聚看呗，竟然看了后影响我一向不喜欢的徐子珊竟然觉得还不错            
(3星)	 以后看什么电影还是先来豆瓣了解一下 剧情一般 拍得太滥竽充数了 擂台和祭天大典都是同一个舞台 真是省功夫 TVB啊~~            
(3星)	 成崖余。。。怎么能长成那样儿？！！！            
(4星)	 还行还行~            
(5星)	 女主角真不怎么样，但里面的两对CP很有爱~~~最喜欢无情和追命啊~~            
(4星)	 铁手！最喜欢！            
(4星)	 喜欢 冷血~            
(5星)	 即便坐輪椅，依舊甘迷人。            
(3星)	 对除李诗韵以外的女主很无语            
(4星)	 美少年们。            
(2星)	 (2008) 陪看了五分之一左右。            
(3星)	 真的挺难看的orz            
(2星)	 结局好莫名。            
(3星)	 单纯为了马国明林峯吴卓羲。            
(4星)	 马国明最可爱，吴卓羲就会装B            
(3星)	 苗苗也能搞笑、马明也能担当。其他的人，从林峰到徐Z3，忍无可忍。            
(2星)	 无情，铁手，追命，冷血。。。。            
(3星)	 女主角实在......            
(3星)	 峰少和三苗都在~            
(3星)	 四颗星加给四大名捕。            
(3星)	 男主们一个比一个帅，可是为什么女主都。。。            
(5星)	 TVB四小生的剧集，错过不看绝对后悔的。            
(3星)	 不想说话            
(NA)	 这样林峰才帅气，呵呵            
(4星)	 少四也 我还是挺爱的            
(5星)	 经典！！！！！！！！！！！！！！！！！            
(4星)	 此片教育大家傻人有傻福，太聪明太狡猾太老实都么好结果            
(4星)	 主角还不错……            
(NA)	 女主角们不给力啊!            
(3星)	 这部里面我喜欢陈键锋的角色~~~~            
(3星)	 四大小生            
(2星)	 四大名捕同人电视连续剧。            
(3星)	 追到最后几集突然失去兴趣了            
(NA)	 没有美女            
(5星)	 还是要大赞这部电视剧的，我感觉非常的不错，尤其是编剧，在剧情的处理上可见一斑，非常的不错。            
(1星)	 导演，你还可以拍的再烂一些吗？            
(5星)	 喂喂！！！            
(4星)	 帅哥呀闪呀闪。            
(4星)	 真心觉得陈键锋长的真好看            
(3星)	 不得不看啊。。。大饱眼福啊。。。            
(NA)	 记不清了，还是不错的，貌似林峰那一对没成啊，可惜了            
(4星)	 结局太草率了吧，喜欢R和苗苗！            
(3星)	 帅哥多，剧情一般。            
(4星)	 值得一看噢~林峰在里面很有才智和胆量            
(3星)	 马国明...特别可爱...无情太酷..            
(4星)	 马国明在里面固执的很可爱。。。            
(3星)	 略显幼稚，应该可以拍得更好看才对。            
(NA)	 最喜欢冷刀了。            
(4星)	 四只帅锅，一人一颗星~~至于其他的么……就算了吧，反正看这部就是看他们四个来的~造型还是不错滴~            
(3星)	 主角都很帅，没了。。。。            
(1星)	 编剧和徐四角眼是垃圾，弄的来噶好的一个题材拍成垃圾了            
(NA)	 冲着人去的            
(4星)	 最喜欢铁手，然后是冷血，不过追命也超级可爱的，无情嘛，很厉害，不过就是不讨人喜欢。            
(3星)	 看男银就行了。。            
(3星)	 看了之后超喜欢苗苗。            
(4星)	 冲着林峰也要给4星            
(3星)	 到底谁杀人才不是滥用私刑，这一点电视剧很混乱啊            
(2星)	 真不怎么样            
(3星)	 还可以            
(4星)	 林峰的剧里几乎都会出现吴卓羲= =            
(3星)	 结局很仓促，我很爱无情            
(4星)	 少年四大帅哥吧！            
(3星)	 后面一般，前面还好！            
(NA)	 对女主各种嫌弃            
(3星)	 几个阳光年轻人  如果不是他们相信不会赚我眼球            
(5星)	 看这部片子就是看帅哥摆pose的，第一遍看就被小冷绝世迎风的pose深深俘获了，现在看第二遍了，无情公子的一笑一颦真的是好迷人啊，非常鼓励tvb多拍这种香艳的帅哥拼盘！            
(4星)	 TVB的翩翩小生们。。。。。。。            
(3星)	 轮椅上的林峰还是一样的帅            
(4星)	 四大帅哥和无桑恋~~ 最初看剧的目的竟然是推翻徐子珊在我心里的坏角色。。。            
(3星)	 四个我最爱的小生齐聚，很开心地去捧了，很难过、因为那些女主角让人气愤。。尤其是徐子珊！            
(4星)	 拍的不错，就是最后一个镜头有点雷            
(3星)	 个人觉得内地版意外的好看点。            
(5星)	 从第一遍的放不下，到第二遍的欲罢不能，本以为此剧最吸引我这个推理迷的会是那一宗宗案件，只是没想到，最终最令我动容的是无情对芷妍的爱...所谓，无情者，情到深处，竟成情痴...            
(3星)	 冲着五虎将去的，拍的不咋地。。。            
(4星)	 TR            
(NA)	 为什么那时不觉得林峰帅            
(NA)	 冷血太冷，无情太无情，追命太油，铁手还是挺有责任感的，当时，女主角都不熟。故事一般般啦。            
(2星)	 弃            
(NA)	 四小生我的峰少我的苗苗哟❤﹃❤徐子珊是比以前好看多了            
(3星)	 有点无聊、。            
(4星)	 不错            
(4星)	 苗苗～～追命！！喜欢            
(5星)	 吴卓羲戏份太少了。。。。唉            
(3星)	 结局得不得太凄惨了点。。            
