http://movie.douban.com/subject/5031441/	家，N次方
(5星)	 华子你咋那么好看呢，跟我各种对味儿，真事儿！            
(3星)	 是容易让人情不自禁看下去。。。但有些部分编剧编得实在太虚假，太矫揉造作了。。。看得一身鸡皮疙瘩。不过结局还是蛮催泪的。。。。加一星。。。貌似大家都很喜欢齐齐。。。但是我觉得她演得太过了。。。灰常假。。。还有里面所谓得时尚神马得。。太让人无语了。。。编剧太理想化了。。。            
(4星)	 花了一下午看完了後半部，前半沒看。。挺有趣嗎！害我作業都忘了。。囧。            
(3星)	 除了百分百完美就是百分百好运……            
(4星)	 什么鬼结局... 不给五颗星 同样是法律上关系的姐弟 人家台剧恶魔在身边就能是喜剧结局 大陆剧偏要教条一下？            
(5星)	 喜欢栗子姐！            
(5星)	 前面笑死，后面哭死。可列入我最爱电视剧的top5，推荐！            
(2星)	 看了一点。。。            
(3星)	 其实觉得不怎么好玩 为了和某人有共同话题看的            
(4星)	 真心待見周浩跟趙雯在一起哈哈哈哈。            
(3星)	 看不下去啊……            
(3星)	 电视剧就那样吧            
(5星)	 你就煽吧            
(4星)	 还挺有意思            
(5星)	 完全感动 不是煽情 太他妈招人眼泪了！            
(4星)	 富豪养成记            
(3星)	 赵宝刚演戏真不咋地，做回导演的了！我的确很喜欢白百何饰演的这个角色，很真实，很骄傲！吉米的友情客串也太怂了点吧，还SPRING!            
(4星)	 结局很仓促            
(3星)	 剧情精彩,套路依旧,姑娘漂亮,其他没了            
(4星)	 不是说让我哭的就一定是好作品，还得看我为什么哭……            
(4星)	 挺感人的            
(4星)	 京腔 我爱!            
(1星)	 简直狗屁不如……             
(3星)	 这个结尾吧,,收的有点儿仓促...其它我觉得还行,,顺带一句,,吉米雷坏我了!            
(4星)	 虽然到后面剧情有点狗血，但是真实的人物，接地气儿的台词，确实是让观众爱看的原因。每一个人物都演绝了，除了山寨版华仔。            
(4星)	 还是不错滴            
(NA)	 大陆剧什么的= =             
(5星)	 很好看，楚牧演的入木三分，只是不太喜欢周浩和赵雯的部分，有点过于自以为事和贫了八几。PS：你是喜欢之荔还是齐齐？你又愿意成为谁呢？            
(5星)	 栗子姐 爱你~~            
(NA)	 刘德华你家替身演电影红了演电视剧也红了 你肿么办啊！！！            
(3星)	 我怎么觉得一点儿也不好看~无聊得很~~~            
(5星)	 很感动！！！！大爱栗子姐姐              
(5星)	 结局前的最后几分钟突然想到了大话西游，我很喜欢这剧             
(3星)	 最后一集狗血过头了，扣分            
(2星)	 第1集完，没感觉怎么好看。            
(5星)	 就是喜欢齐齐！！！            
(5星)	 看到最后的赵雯，突然想起一个人叫郭芙，她也从一个挺可爱的姑娘，随着剧情发展越来越令人咬牙切齿，可到了最后，又不免生出可怜之意。不应该再有续集的，因为真的不能在一起，因为一切已经是它最好的结局。这个世界本来如此。为从不看大陆剧的我，加上一颗星。            
(3星)	 说实话，最后一集还感动的啊。。。            
(4星)	 薛洋跑步的样儿太丑了            
(4星)	 好喜欢栗子姐姐            
(NA)	 咦我觉得还好的嘛 比奋斗更讨喜些            
(2星)	 唉。。考交规前看的。            
(5星)	 最后骗了我一堆眼泪鼻涕。            
(4星)	 - - 。最后一集敢再坑爹点么            
(3星)	     那大姐栗子逮着谁就开导谁，装出一副盛气凌人，兼济天下的样子，莫非就是传说中的知心姐姐。            
(4星)	 在外面不管發生什麽事，沒什麼大不了的，回到家，嘻嘻哈哈，一說一笑，也就過去了。只有家，不論天塌地陷，世事變遷，總有一扇門為你開著，總有人在裡邊等著你，不離不棄地守著你。            
(4星)	 文楠说，我刚结婚的时候就想，我这辈子一定不离婚。            
(3星)	 完美的栗子姐~~            
(4星)	 最近开始哈连续剧了。。将来我也要当个这样的辣妈潮妈。            
(5星)	 喜欢栗子姐姐~~~~~~~~~~~~~~~~~            
(4星)	 就那样吧，看你想看的就成。            
(4星)	 延续奋斗和我的青春谁做主感觉的片子。除了面瘫的男二，其他人都很有爱。最喜欢白百何那条线。            
(5星)	 相比冷淡如菊的栗子姐，更愿意做回小疯子            
(4星)	 这就完了?结局了?            
(5星)	 超好看~电视剧这么好看的真少~            
(5星)	 这两天就要看完了…            
(4星)	 要是我说我是用了20个小时不间断·给看完的·有谁信？··我简直是个疯子··把电视剧当成电影看··            
(5星)	 从这里看到，原来自己喜欢吃的是栗子~            
(4星)	 后面有点乱……            
(4星)	 这每对都是女的比男的强，母系社会要来了哟~  挺喜欢周浩，人物性格塑造成功！            
(3星)	 青春题材的一部不如一部啊            
(5星)	 虽然后来剧情很狗血...那也哭死了...            
(4星)	 跟娘亲各种像..            
(NA)	 很喜欢薛之荔  给人的感觉很舒服。            
(5星)	 嗯。。。栗子姐。。            
(5星)	 导演竟然不是赵宝刚！？            
(4星)	 闲得无聊，这是我第二次追看电视剧。。。不过ms不错。。。            
(4星)	 薛洋演的太渣了。。            
(4星)	 两天看完 三十集的连续剧 伤不起啊。。。            
(4星)	 想聪明多吃糖            
(4星)	 比奋斗还差点 底气不足            
(5星)	 除了赵宝刚的演技生硬、薛洋实在太丑、不是happy ending外，都挺好的。            
(5星)	 要不要辣么好看！！！！！！！！            
(4星)	 里面那个栗子姐真是个有大智慧的人。            
(NA)	 结尾有点无聊            
(3星)	 栗子姐是唯一亮点。抠脚华子不见了。            
(4星)	 各种内部组合啊倒是            
(4星)	 想成为 栗子姐 那样的人。            
(4星)	 现实却又不够现实            
(3星)	 栗子姐            
(4星)	 齐齐那嗓门俺受不了，其他都挺好的。            
(5星)	 栗子姐栗子姐嫁给我吧！！！            
(5星)	 每次看完這種片兒心裡就堵得慌。            
(1星)	 腐剧            
(4星)	 对打亲情牌神马的完全没有抵抗力啊            
(5星)	 我很喜欢诶！            
(3星)	 哟 国产剧也有经典台词了            
(3星)	 过去的电视剧、小说、等等讲述到男人要吸引女人都得有18般武艺。但是这片子告诉我们，如今女人要想吸引住男人，得有18般武艺才行。咱且不说三婚的妈妈，那绝对是个人才的说。就挨个说三个女猪脚吧，个个都是绝活儿在身，一来一个镇住了三个男猪脚。            
(NA)	 镖和靶的每一次分离都是为了重回靶心。。            
(4星)	 　　 所有敌对的开始就是一切悲剧的开始，无论任何时候，你在必须面对的时候，你选择的态度其实就已经决定了整件事件的走向和结局。包容和接纳就会是祥和和喜剧，挑剔和敌对就一定是争吵和悲剧。既然你已经知道了结果是什么，那为什么不选择一个好的开始呢？             
(3星)	 这家人真爱吃西红柿炒鸡蛋=  =。。。            
(4星)	 江苏卫视每天7点30就放 还没什么广告 我守的好乖啊！楚牧肯定是金牛座！绝对的！            
(5星)	 这么个结局 是想拍续集吗~？            
(3星)	 此剧只看到朱雨辰。编剧无法律常识。另外发现帆布鞋有时候还挺挑人~~            
(4星)	 看的过程挺欢乐，追这剧就是为了看赵雯这个坏女人是怎样的下场，还有可爱的齐齐和冰窟窿这对死冤家的对手戏，后来看着看着还挺有意思，周浩最后几集人性大转变，连带着赵雯，都良心发现了，编剧也可真有意思，这个结局，这个楚牧的爸可真够体现编剧的用心良苦啊，本来5星的电影，因为最后一集减一星！            
(NA)	 从头看到尾就是满脑子想买栗子吃。            
(NA)	 里面的女生 一个个都不简单哇~            
(4星)	 薛之荔真是一个完美的女人，讨老婆首选栗子姐。赵雯这个女人永远知道自己最想要什么，可以不择手段，可以互相利用，只是最后，她还是爱着楚牧。齐齐，完全一个开心果，机灵活泼，敢爱敢恨。文楠，一心为了儿子，和薛茂祥同甘共苦。            
(5星)	 挺好的。哭了一场，挺好的。。。。            
(5星)	 看得断断续续的。。。            
(NA)	 闹听不结局···            
(3星)	 完全神化的栗子姐，寄托了女编剧全部切实际以及不切实际的思想，这是新手（编剧处女秀）的常态。很多情节不合理，很多演员不接地气，很多职场想法太简单。            
(3星)	 栗子姐啊栗子姐            
(4星)	 咋劲的~~N个家庭组成的一个混合体~白百合是个漂亮姑娘，比在“我的青春”里面看着顺眼多了            
(4星)	 我爱栗子姐╮(╯▽╰)╭            
(5星)	 为神马现实就不可以像这样，当时我看家有儿女的时候就这么想。欸，自身和外界因素都有吧。可惜我木有遇见啊。            
(4星)	 我喜欢白百何演的赵雯。四星全给她！喜欢她真实、不虚伪，有自己的目标且努力达到。记得在小农场栗子姐和赵雯聊天，栗子姐说“这个世界上有很多追求名利的人，但是有些人却不肯承认自己追求名利，还骂别人追求名利。”赵雯就敢承认，只是她太极端了。其实，我觉得赵雯也挺可怜的。            
(3星)	 栗子姐            
(5星)	 和老妈看的~挺好的呀            
(4星)	 找宋丹丹演这妈感觉和她的经历很像啊~这也是卖点？            
(5星)	 很好看的一部剧~难得~            
(NA)	 挺温暖的一剧 不虚假不做作 虽然剧情稍有夸张            
(3星)	 从中间开始看的 栗子姐真好            
(5星)	 每个人物都刻画的很有特点 最喜欢没跟薛洋一起前的齐齐            
(5星)	 处处透着幸福和人情味的片儿，感动到我要准备写个影评了。很好看！            
(4星)	 可以一看，但这结尾太操蛋了，你哪怕这部整长点呢，能不能别赤裸裸地告诉大家“等着续集吧！”            
(4星)	 挺现实的~~            
(3星)	 雷点多不胜数，但一家人在一起玩游戏拌嘴皮子的画面总能戳到内心的点啊。想家了。            
(4星)	 编剧编的很棒，难得一见的国产佳剧，就是结局太伤心了！            
(NA)	 继我的团长我的团后，第一个熬通宵看完的电视剧            
(3星)	 赵宝刚太木了 吉米太靓了 宋丹丹太嗲了 小疯子太闹了 薛洋太装了 之荔太假了 其余没感想            
(5星)	 感人呢            
(5星)	 国产家庭连续剧都能让我看哭，是夜里太脆弱还是岁数到了            
(NA)	 结尾从家有儿女楞是转成冬季恋歌啊。。。            
(5星)	 很生活，演员表的很到位，人物性格鲜明。            
(4星)	 占用电影时间看电视剧，罪过罪过。栗子吃多了，对胃真不好。。。            
(4星)	 那个完美的栗子姐。要是有一天，三岁的差距成为我们的阻碍，栗子姐大概就是我的方向了。            
(4星)	 其实吧 楚牧和大冰之间很有基情有没有。。。            
(3星)	 遇上個叫荔子姐滴女人你就娶了吧。            
(4星)	 想给4.5的，最后的巅峰对决才是精华所在。另外世上真没栗子姐姐这么完美的人，我倒是喜欢被她说教后的赵雯            
(4星)	 看到最后，姐终于泪奔了            
(5星)	 编剧牛得一塌糊涂。            
(3星)	 编剧有点瞎            
(5星)	 快大结局了啊啊啊啊啊            
(4星)	 中了栗子姐的毒！！！            
(3星)	 栗子姐必须完美偶像啊，气质也太好了。朱雨辰演技飞速进步。            
(4星)	 镖跟靶的每次分离，都是为了能够再一次回到靶心，所以…等待…             
(5星)	 老娘既然又看起了电视剧            
(4星)	 真好看 尤其是前面几集 那个城乡结合部青年受不了            
(4星)	 家的意义，大爱栗子姐~！！！            
(5星)	 人丑剧不错            
(4星)	 赵宝刚～            
(5星)	 特别不喜欢这种没完满结局的电视剧。            
(5星)	 栗子姐！！！我爱你。            
(5星)	 好看！这里面都一物降一物啊~而且虽然有坏人，但是坏人都很可爱~里面的女人还真一个比一个强哎！编剧是女的吧？            
(3星)	 我又要开始看国产电视剧了╮(╯_╰)╭            
(4星)	 为了华子看。奋斗+家有儿女            
(2星)	 浮夸            
(1星)	 搞不明白栗子为什么就不能和宠物接婚，他们都是成年之后才有了点法律关系，拟制血亲也不是这样的哈。我家的邻居也是如此，他们也顺利结婚了。这个电视剧完全是在混淆视听嘛。            
(4星)	 还不错，女的个个JP，我算是服了            
(5星)	 我就爱贫嘴 mua            
(4星)	 挺好看的。比蜗居好多了多了多了            
(4星)	 前面还不错            
(5星)	 有种很爽的滋味。            
(NA)	 贱 是一种本质 一种看透人情后脱下到的外衣的真实本质 其实赵文就是穷怕了            
(NA)	 乔乔啊 金燕儿啊～            
(4星)	 今天把30集都看完了。中间各种感动。。。很喜欢栗子姐这样的人物。            
(3星)	 很烂阿其实，但是还算可看啦。            
(5星)	 挺好，有很多人生哲学在里面。            
(3星)	 在小胖宿舍看了好几集，然后...........上瘾了            
(4星)	 还行吧，还以为转变成集团斗争的电视剧了，看到后来关系更乱了，可惜楚牧和栗子分开了。。。            
(4星)	 这导演绝对有乌托邦、大团圆的情节。宋丹丹的经历真鬼扯，好在她演技一流。白百合就是看着舒服。栗子姐说话有点刻意，别的都还好。薛洋真出戏。宠物的戏不错，受虐那小样儿~            
(NA)	 难般看看国产剧 这个真的蛮好看的说~            
(5星)	 至少觉得温暖的。            
(4星)	 挺好玩儿的            
(4星)	 喜欢-栗子姐            
(4星)	 白百合这次够颠覆的,　还是乔乔这种角色比较适合她..　不过要勇于尝试新鲜事物么~　//每次看到朱雨辰都会想到任豪　不知道为什么            
(4星)	 齐齐是整部剧中最有血有肉的人物。如果没有她这部戏会失色很多~            
(4星)	 薛洋的面瘫好了吗            
(5星)	 虽然人物都不现实：恶的恶到底，善的善到极，但确实有很多自己在做人做事值得学习的地方。不错的电视剧。ps:我在想这剧本是不是跟宋丹丹的真实人生经历有点联系            
(4星)	  &#34;镖跟靶的每次分离，都是为了能够再一次回到靶心，所以…等待… &#34;            
(4星)	 不错~~宋丹丹演技绝了~            
(3星)	 1哪儿找来薛洋这么一演技傻逼的演员。2齐齐这角色设定的灵感来源于疯人院吧。3赵宝刚还是专心当导演吧。4薛之荔真小清新真韩国。长得这么文艺讨喜的姑娘，怎么一歪脖子问“是吧羊”，就特么讨抽！5华子不错，宋阿姨不错，白百何演技不错，周洁挺帅。6妈的，当年吉米差点都毁了几米。            
(4星)	 和我婆婆一起看戏就是好玩，动不动说人家是活闹鬼！            
(4星)	 吉米老师太惊艳了！            
(5星)	 有深度的剧，教会我们如何活在当下。            
(5星)	 赵雯的流氓哲学其实很有魅力，虽然稍微过了点，现在的社会，仅仅善良是不够的，所以，栗子姐才会请赵雯做他们家的守护神，栗子姐是聪慧的，齐齐是皎洁的，不讨论演技，这里有感人的东西，“镖跟靶的每次分离都是为了再回到靶心，所以。。。等待。。。”“不知道啊，就是喜欢”。。。            
(4星)	 有点意思            
(4星)	 【快乐就是一家人一直在一起 一直在一起】像我这种不喜欢说永远的人 “一直”再合适不过了            
(3星)	 前期比较好啊，后面完全不带劲儿丫            
(5星)	 栗子这角色塑造的太招人稀罕了，久违的看一部电视剧，确实感觉不错            
(3星)	 一个老鼠屎 山寨刘德华......            
(4星)	 感觉不错 但是赵宝刚真的看不出来有何演技啊 减一星            
(3星)	 电视太慢，憋不住了，从网上直接抄底。赵宝刚找的女的那叫一个瘦啊。那薛洋是不是投资方老板的儿子？演得那叫一个僵，还不如琨哥上            
(4星)	 还是宝刚导演的风格            
(4星)	 好玩 特逗 喜欢朱雨辰 还有齐齐            
(5星)	 看得揪心啊，哭哭笑笑的，各种柔软。。。            
(5星)	 齐齐的角色让人觉得青春就该是这般多姿多彩，生活本来就这般色彩斑斓，喜欢。本来很少看电视剧的。。             
(5星)	 其实有些时候演员的表演有点过，例如丹丹姐，和薛洋之类。但是故事也是好故事，最后几集很有质感，好吧，最后的最后我喜欢周浩和赵雯这对。。。            
(5星)	 每个人的心中都有一个栗子姐！            
(3星)	 和奋斗 青春一样不靠谱 但觉得比那俩好看 那俩都看不进去 那个周浩角色很贱 人挺帅  栗子姐和齐齐牛了 为什么宋丹丹白百何齐齐三个女的腿那么细 可走起路来都咧的那么厉害= =            
(4星)	 那个假刘德华，看着真别扭            
(4星)	 其实挺好看的。有亲情有励志的。            
(4星)	 上哪儿去找宠物去啊，这电视看的好欢乐！            
(3星)	 好吧，看完了。多久没看国产电视剧了都不知道。若说人生如游戏，但是你常常找不到那个一直愿意陪你玩的人。            
(4星)	 和我妈一起看的。齐齐好摇摆好爱！！            
(5星)	 赵宝刚很打发时间。。            
(5星)	 大爱栗子姐。            
(5星)	 真不错！！！            
(4星)	 胡非子            
(4星)	 看到18集的时候快看不下去了。被某人无形之中影响着默默看完了~            
(4星)	 人物内心很真实            
(4星)	 为毛赵宝刚的电视剧的男主角衣服的领子永远是立着的            
(NA)	 山寨刘德华演技真差，赵雯真恶心···            
(4星)	 赵的片子不错的 很关注现在的年轻人啊            
(3星)	 贫的很北京味儿            
(5星)	 你推荐的             
(3星)	 那个假刘德华实在是看不顺眼啊。            
(4星)	 我真心觉得剧情又狗血又好看……我爱纸片女~            
(4星)	 华子-v-            
(4星)	 烂尾了吧            
(3星)	 里面除了薛洋其他演员都还算挺讨人喜欢的，“华子”的北京腔依然浓重。偶尔看了两眼还行，可是已让我想起来30集连续剧，我谢谢了。            
(4星)	 赵宝刚好呆=。= 结局有些突兀            
(3星)	 演员名单很尴尬            
(5星)	 好看！更新价值观~            
(4星)	 喜欢他们几个的性格            
(4星)	 无数次想抽死赵雯那丫儿的死苍蝇·~~~            
(3星)	 有点儿意思            
(4星)	 一口氣看完果然好愛趙寶剛 演的可真默默 狗血也罷抽風也罷不難看啊總有幾個極端人物個性讓人好喜歡啊            
(4星)	 后面不好看            
(5星)	 就这样结尾了啊！！我还意犹未尽呢！！！！            
(4星)	 栗子姐 ;-)            
(4星)	 挺催泪滴……一晚上哭了几次了……            
(4星)	 我突然觉得我的感情真脆弱            
(4星)	 事实证明，赵宝刚果然还是更适合导演~ 朱雨辰演技越来越好了。个人认为楚牧也绝对是个可以和刘易阳并列的好男人嘛。白百合也是相当的出彩。唯一破坏了整体的就是演薛洋的贺刚......            
(4星)	 被母上抢网抢的没办法了,只能陪着她一起看电视剧=.= 这个...意外的还不错..真的            
(4星)	 有点看不懂啦，老了，年轻人的生活开始觉得有点扯了。            
(4星)	 挺不错的，不过里面实在太女强男弱啊            
(5星)	 真不错，很久没有追着看剧了！向宋丹丹演的英雄母亲学习，哈哈！            
(5星)	 演员的发挥，台词的设置 并不算完美，甚至很多时候都很做作~但也许是神仙姐姐的远远，或者其他 ~感动了很多次也许编剧正好抓住了时下的流行~ 也许他就是很平凡的一部，但也给我观众短暂的“欢乐”            
(4星)	 人缘好的演招人烦的，还没火的演讨人爱的再加一常规中心，卖点好，相当平衡            
(5星)	 童话故事            
(4星)	 无敌的朱雨辰支持我看下去看下去看下去，虽然很多情节在胡扯很多演员在梦游很多对白在忽悠。            
(4星)	 敢问这三位&#34;阔少&#34;哪个不像修车的?!            
(4星)	 这部电影看似和《奋斗》一样“高端路线”，却包含了真实的亲情和爱情。齐齐、赵雯、薛之荔，让人爱之恨之……            
(4星)	 好看好看，真想成为栗子姐这样的人。            
(4星)	 每个人都有每个人的活法，就是不能丢掉底线            
(4星)	 开始不怎么样。看着看着还好。最近每天和老爸守着看。和小白在风行看完了。一边看一边贱            
(4星)	 有各种极品的人生遭遇，但是我喜欢这个剧就在于这个剧的写实。还有，对社会各态真实和深刻的描写。非常值得深思。比一般剧大有思想和内涵。            
(3星)	 绯闻的心，宝刚的皮            
(4星)	 宠物和栗子姐没在一起我很伤心好么!!!!!!!!!!!!PS:时尚神马的请无视吧。。。            
(4星)	 结尾让我好不爽啊。。。还蛮好看的！            
(5星)	 想吃栗子...gezhongxiang            
(5星)	 其实赵雯生活的很真实，并不是谁都能做到这样…            
(4星)	 还行。宝刚绝对的。            
(3星)	 发现齐齐cosplay的很潮啊  我爱罗， 死亡笔记  编辑是不是个年轻人？            
(4星)	 花了几天看完了,觉得还不错啊,比奋斗好点儿.但还是不现实.山寨刘德华同志的演技真是&gt;&#34;&lt;            
(3星)	 行不行，敢不敢换个名字。我嘞个去            
(5星)	 王子文的北京话说的不错，这姑娘我喜欢            
(5星)	 超喜欢齐齐！！！            
(5星)	 N个家庭的组合，痛并快乐着。。。            
(3星)	 结局狗血烂俗又无趣，偏偏我却撑着看到了结局。            
(5星)	 前面是简单的欢乐，后面是复杂的欢乐，结局看着很欢乐            
(NA)	 绝对是挺朱雨辰才看这片子的有木有啊啊啊！贺刚你是“冰窟窿”不是面瘫+智障有木有啊啊啊啊！终于煲完了，通体舒畅啊~~~            
(4星)	 喜欢王子文            
(4星)	 比起那几部更接地气点儿            
(5星)	 竟然不是赵宝刚导的……完全沉迷啊……追到风行上看……共振同位素            
(5星)	 又一出现在我生命中的经典剧集            
(NA)	 ╮(╯▽╰)╭            
(4星)	 赵导演技很生疏啊。。。            
(4星)	 几乎没看过国产剧，倒觉得这个还不错            
(4星)	 虽不靠谱，但还挺乐的。越来越喜欢朱雨辰了~哈哈            
(4星)	 看完后,我陷在宠物和栗子的爱情中...            
(5星)	 栗子姐！你就从了楚牧吧！            
(5星)	 看得我又开心，又感动！            
(5星)	 有血有肉的一家人 很不容易的一家子 3对恋人的家            
(3星)	 挺扯的            
(5星)	 最后几集 流了眼泪 不算太多。。。栗子姐 你啥时候回来啊！！！            
(3星)	 刚开始还可以，越到后面越矫情，标准的国产连续剧套路。            
(4星)	 还不错 偶尔看到的             
(4星)	 又有的看了            
(5星)	 这个太好看了！！！！！！！            
(3星)	 诶哟。。。不好看呐。。。            
(4星)	 挺现实            
(3星)	 开头十几集不错 越到后面越拖            
(4星)	 前半部分很完美！后半部分略嫌拖沓，姐弟恋感情的渗入多少有点刻意，剧本挺好的，一个新题材，整体风格也老少皆宜，奇怪怎么还没有电视台买下来播出，被王子文瞬间秒了，这丫头人见人爱必须红呀！难怪王朔都会为她出头了。朱雨辰表现依然是中规中矩好孩子一个，其实挺期待看到他的突破的。            
(4星)	 印象最深是齐齐出场的造型。            
(NA)	 那么多有钱人，优秀的人.......去哪里找？哪里找？            
(4星)	 两天看完。片子还可以            
(4星)	 挺不错的偶像剧。            
(5星)	 每个人都有一部看到熟到不行的剧，最近对我来说那就是家N            
(2星)	 假            
(3星)	 随便看看            
(4星)	 大陆就改多拍拍这种人情剧。论文都仰仗您类。            
(5星)	 难得看到这么好看的国产剧了！            
(4星)	 除了赵宝刚剧的一向的不切实际和山寨刘德华还是可以看看的            
(5星)	 我的理想型在里面            
(4星)	 赵导亲自表演 让我很期待            
(4星)	 只是觉得之荔的太完美让我有点接受不了……            
(4星)	 华子脸上的坑越来越多            
(NA)	 看到45集有点看不下去，无聊看到后面竟然看出些味道。无论是谁，都要幸福吧。            
(5星)	 花了2天，宅在家看完。很喜欢片中所有的女性角色，直言不讳。不过像之荔这样活着的女人太累了！            
(4星)	 宠物和栗子姐的故事看的好悲桑。。。            
(5星)	 爱看电视剧的不要错过唷~里面除了贺刚演得不好，其他都很好看~            
(5星)	 至少我觉得学到很多。            
(NA)	 大团圆剧            
(3星)	 栗子姐那招分筋错骨手不错            
(4星)	 连着看了好几倍赵宝刚的电视剧，超迷恋任重            
(3星)	 喜欢齐齐            
(5星)	 很溫馨. 節奏很快~            
(NA)	 经典的赵氏作品，会让人大笑，也会让人落泪，值得一看。            
(4星)	 前面看着还挺好，后来就……            
(3星)	 宋丹丹演的真不错            
(5星)	 我特别希望 它能拍 续集             
(3星)	 看的时候觉得很好看~但是看过再回味的时候，总觉得少了点感慨。            
(4星)	 栗子姐            
(4星)	 片子里没有一个正常人……但是我就是喜欢，就连那看一次想抽一次的赵雯和周浩，到最后也希望他们都幸福。在现在这个社会上，幸福是不能用财富衡量的，长大后才知道有一个幸福的家庭，比什么都重要。            
(4星)	 一集不落看完的电视剧             
(5星)	 考试之前通宵看完的片子。心里还是有触动的。            
(4星)	 大爱栗子姐~~            
(NA)	 豐滿的人物性格~精彩的臺詞~不錯的~            
(5星)	 太有爱了！            
(4星)	 这电视剧好看，但是！但是！这个剧太假了。三个女人完美的跟个女神似的。然后 白百合把那个赵雯给演的直接把我的心给伤了，女人现实起来果断不是人啊。。然后朱雨辰为毛不可以和栗子姐结婚！！整的跟韩剧是的哭得要死要活的。。实在是弱爆了。但是真的挺好的。。貌似很矛盾            
(3星)	 现在极少看大陆剧            
(3星)	 前十集还有看头，越往后看越觉得里面的丫头太扰民。那个长得像刘德华的仔，看他演戏好累啊。            
(4星)	None
(5星)	 台词是亮点，再有就是王子文，演的真的很好            
(3星)	 还好吧···挺感人的··喜欢栗子姐···白百合演的正好·····宋丹丹的演技不敢恭维···            
(4星)	 里面有金钱与感情的纠结，亲情、友情、爱情和物质来讲什么更重要？            
(4星)	 有人说我像齐殿天下 呵呵 故事挺吸引人 几个年轻人都有鲜明的性格 蛮有意思            
(4星)	 感觉齐齐在某些方面像现代版的小燕子            
(4星)	 猜的太准了！我把它当推理剧看的            
(3星)	 要留栗子头。            
(5星)	 有教育意义            
(3星)	 还行            
(NA)	 栗子姐，完美！            
(5星)	 最近刚刚看完，家庭气息。。。            
(3星)	 老两口子真可爱。            
(4星)	 四颗星里面有一颗星纯粹是给栗子姐的~~            
(3星)	 内个赵宝刚演的就不像个巴巴~            
(5星)	 真心讨厌薛洋            
(4星)	 齐齐太闹，薛洋太木，楚牧太愚，栗子太阴，周浩太屌，赵雯儿最接地气哈哈            
(4星)	 暑假时看的。。觉得栗子姐真的好瘦啊            
(1星)	 看完《北爱》后，对国产电视剧升起了很大的期待，妹妹推荐自己过来看这个……看完后我怒了。2者根本不是一个级别的。从编剧到镜头，音乐。更不用说里面只有宋丹丹一个人演技在那里死撑着，其他那个演技看得我无语。            
(4星)	 看完男人帮看的这部，觉得赵宝刚当演员的剧比他导的剧好看呢。喜欢白百合。            
(5星)	 薛之荔是個好女孩, 恩..            
(3星)	 除了个别几句台词乐一点，剧情整个不怎么的            
(4星)	 赵宝刚就喜欢讲这种故事            
(3星)	 挺欢乐一戏，带有很明显的赵导标签，台词多，说话贫，笑料多，可以一看            
(NA)	 这片，，，白百合不讨喜啊            
(4星)	 对演员唯一不爽的就是导演赵宝刚演的那个-  -演的木讷死了。白百合。朱雨辰以及那个小怪物都挺好玩儿的。。咦。。突然觉得北爱的人设有点像？只不过这个是喜剧路线？囧。。。            
(1星)	 哪个不开眼的给打这么高的分            
(5星)	 结呀 怕什么！ 这样 好可怜            
(5星)	 笑死了            
(4星)	 剧情有点不真实            
(4星)	 大四时候看的，感觉挺假的。。。不过看完了，记住了华子，cosplay，栗子姐            
(3星)	 开始还可以，后面有点雷人            
(3星)	 寒假            
(4星)	 这部电视剧个人觉得女生看看很不错。            
(NA)	 陪妈妈一起看的 还不错            
(1星)	 一个万能女主，一群神经青年，穷折腾的故事，我再也不相信豆瓣评分了。            
(4星)	 栗子姐啊，眼泪哗哗滴~             
(4星)	 奔着白百何去的 不过发现齐齐更可爱 那个薛洋好丑            
(5星)	 有拍续集的打算吗！！！我想看宠物和栗子姐在一起啊在一起！！！            
(3星)	 看时的感觉很好，不过没啥冲击力，一下子就忘了相关细节和情感，一般吧            
(4星)	 宝钢出品，就像宝钢出产的刚一样有保障            
(5星)	 力荐~~每个人物都喜欢，都有血有肉~~真实            
(4星)	 很小的时候看，两个感想：想要栗子姐；想做富二代。            
(4星)	None
(4星)	 挺好看的!力赞!虽然很少看大陆的剧不过这一部确实不错..= =+            
(4星)	 齐齐 够闹腾            
(5星)	 喜欢总会给家带来温暖的文楠，喜欢没有什么表情却总是很沉稳的三爸，喜欢傻傻的宠物，喜欢明白事理的栗子姐，喜欢古灵精怪的齐齐，喜欢呆呆的羊，这部电视剧很搞笑，但是其中一家人一起齐心协力的解决家里变故的问题很感染到我！力荐力荐！            
(3星)	 轻松            
(5星)	  最出彩的就是齐齐了  ·再就是宋丹丹和赵宝刚··· 太牛了            
(5星)	 贴近生活又触动心灵的家庭喜剧            
(4星)	 现在啊 能让我撑到7 8 集的电视剧屈指可数 这个勉强算            
(4星)	 还不错，可还是逃脱不了各种富家            
(5星)	 大愛栗子姐~~~            
(5星)	 很好看~~~~超级喜欢齐齐~~            
(5星)	 水滴上讨论热烈。            
(4星)	 演员都不错            
(5星)	 剧完的时候总习惯性把片头片尾曲看一遍            
(3星)	 前半段王子文的表演很抢眼，印象深刻。            
(3星)	 我和我妈都爱栗子！虽然我是冲着赵雯和周浩这对“狗男女”看下来的！            
(5星)	 天哪~~~赐我一个楚牧一样傻乎乎的男人吧~！！！！            
(NA)	 很感人~            
(4星)	 对于家的感觉还是可以的，但是爱情有些牵强            
