http://movie.douban.com/subject/4935046/	一不小心爱上你
(1星)	 神作啊，山寨都成浮云，，，湖南台怎么还不倒啊，知识产权晓得不怎么好意思的天天喊打假还这么冠冕堂皇的抄 。。。dennis你咋怎么不珍惜自己这幅好皮囊呢            
(3星)	 还不错啦~            
(3星)	 只为看张翰，没办法，长得就是中我的意了&gt;&lt;            
(2星)	 剧情不好看 但丹尼斯吴很帅~可惜是配音            
(3星)	 还有续集？难道叫又不小心爱上你？            
(3星)	 狗血            
(1星)	 要不是Dennis谁还看！我还是第一次这么不欢喜女主角。森死我了。--            
(1星)	 哥。我。宁愿。让自己。痛苦。            
(2星)	 神马都是浮云            
(2星)	 受不了啦，那什么结局啊，恶搞有无趣，不知道那个导演在拍的时候想些什么，看不下去啦，他怎么这么厉害能够拍出来呀。。。老娘知求结果，只看结局，就被他们雷死了，受不了啦，所以赶紧到豆瓣吐槽来着。。。            
(NA)	 from 湖南            
(NA)	 哥。。哥～～～～～哭来哭去死不了。。。学到了诶。。。。            
(1星)	 终于大结局了~            
(2星)	 张翰的角色相当讨人厌啊。。。这是神马烂尾结局！            
(1星)	 只为丹尼斯吴            
(1星)	 烂片!! 芒果台翻你妹阿翻,毁了我的张翰T T            
(1星)	 呵呵~反正是芒果台播的神马 青春偶像片，我都严重鄙视之，不是翻拍就是大力炒作之。可笑的是《fall in love》的制作人竟然是李湘，还公然在快乐大本营宣传本偶像片~~相当无语。。。。。。更可恶的是竟然放着dennis那么纯正的美式英语不用，找个什么烂配音啊，完全没有感觉了都~            
(3星)	 原来在豆瓣的评价那么低。。纯粹是因为美丽的景致吸引了我，还想说那么美的地方拍片，真是享受啊~            
(2星)	 看了一集，在想，难道这是芒果版的蓝色生死恋？果然啊～            
(NA)	 发福湘很高明滴用一个丹尼斯吴杀死了万千女观众的脑细胞。。。            
(1星)	 哈哈，给一星神马的最开心了~~            
(1星)	 见着你就一星            
(5星)	 翻拍怎么了……觉得很好啊……爱张翰，爱丹尼斯……            
(1星)	 这一部爆笑的戏到底是结局还是没有结局啊~~丹尼斯吴你被搞笑了~啊哈哈哈            
(1星)	 这么烂的片居然比新还珠分儿高！            
(1星)	 一星是给青岛的…  这编剧坑爹呀！！！太敷衍了吧！！！剧情没有逻辑的呀！！！            
(2星)	 &#34;我们的故事终结于，以你的幸福为归依。我决定了，我退出。”——《一不小心爱上你》            
(1星)	 矮油！！！这一不小心的！！！            
(NA)	 我不是不打分，是我打0分。即使dennis也无法挽回我【凸】            
(1星)	 如果有0分...绝对毫不犹豫..敢再2一点么....日!            
(3星)	 芒果台么...            
(1星)	 好吧……雷人年年有~可怜张翰局限于山寨雷剧中无法出头啊            
(2星)	 越看越恶心的雷剧……            
(NA)	 囧            
(NA)	 除了主角，大家都演得很到位~剧情太烂了，完全不是一个成年人做出来的事情，女主角表情僵，且生疏~不懂事的善良，就是罪恶~            
(1星)	 難以用語言形容的噁心            
(1星)	 丑！老子已经过了 看偶像剧的年纪            
(2星)	 为嘛我会在看这部剧？！            
(1星)	 侮辱了广大人民的智商和视觉。            
(1星)	 每看过这么烂的电视            
(1星)	 男一号怎么看都不像地球的生物！！！！！！！！！垃圾剧中的垃圾剧！！！！！！！            
(NA)	 是冲着蓝色生死恋去看的…结果没想到，完全照搬 ，看了才知道它多么烂！            
(3星)	 芒果你又苦情了 张翰看好你哦            
(1星)	 fuck            
(3星)	 好吧，支持师姐            
(3星)	 除了丹尼斯吴，整个剧就是垃圾            
(1星)	 轰隆隆…            
(3星)	 女主你敢不敢再丑一点！            
(1星)	 恶心。            
(1星)	 这颗星给丹尼斯吴            
(3星)	 三颗星给丹尼斯吴、擦！！！            
(NA)	 中国版的蓝色生死恋，情节完全一样，只是里面的帅哥美女还是很养眼啊。。丹尼斯吴太帅了            
(1星)	 哼哼~~~~尼玛的芒果台~~~            
(NA)	 韩式风味很浓呀~~~~~            
(2星)	 电视剧只要一碰上芒果台，肯定就是雷剧一枚。糟蹋了丹尼斯吴            
(NA)	 哎，陪姐姐一起看的。但是看着看着就觉得女主角蛮像某日本女星，看着看着就觉得张翰其实不比黄晓明差，虽然演技还是有些生硬，但是至少他不二而且清秀，看着看着觉得翁虹果然长得像猫，听说她很幸福，有个男人爱着她，她的演技中有着暖暖的爱意。看着看着想起山寨有一天也会发达。            
(1星)	 总会有一部戏颠覆你对烂片的定义            
(1星)	 天啊，真的有这么一部戏啊，我一直以为是网友恶搞的，强大的湖南卫视，我就是来mark一下            
(2星)	 什么时候变成电影了？？封面做的跟情书有点像啊，，，不咋的不咋的。。。海边相逢的那一刹那，我也还以为男猪脚瞎了，要不是张翰，绝对不会看，            
(1星)	 宁可心死了            
(1星)	 哈哈哈啊哈 太傻比            
(2星)	 纯粹为了听李炜的《残缺》而看的。还行，虽然也被骂的挺惨的。但是偶像剧就是这样的，别指望能有什么花样对吧。            
(1星)	 作为翻拍剧真的不怎么样，我觉得女主有模仿宋慧乔的嫌疑，张翰长得太瘦弱了，看起来总是那么嫩，导致女生都看起来老。丹尼斯根本就不适合这个角色，翁虹一出来，所有的女的都是浮云了            
(1星)	 我只是来打分的-_-||..            
(1星)	 一不小心雷死你！芒果，你可能不要这么雷人啊！！！！！！！！！！！！            
(1星)	 我妈看的可起劲了。            
(4星)	 一切都是为了翰翰。            
(3星)	 能看不就完了么！            
(1星)	 女主某些角度像阿SA.能给负的么，能么能么，            
(4星)	 不小心爱上你，沉醉入迷。谁来唤醒。            
(1星)	 一颗星给帅哥吴，下次接片子要谨慎啊            
(5星)	 只是能安慰我。            
(2星)	 怎么总在模仿，却从未被超越～～            
(2星)	 完全没感觉……我的云海锅锅啊            
(2星)	 比我想象的强多了……             
(NA)	 好嘛！是我手贱，我不该一时好奇换台去看芒果！BTW 丹尼斯，作为一个型男！作为一个和我同姓的型男！你怎么能去接这这这！！！不评分……            
(1星)	 无奈加无聊之举            
(1星)	 你要重逢，你别从背后抱啊。你抱了，你别捏耳朵啊。你走了，你别也带走杯子啊。            
(2星)	 山寨也是一种美！！            
(3星)	 女一挺漂亮的 男二真心帅 可是拍他们少年时期那段真心幼齿啊。            
(1星)	 每年寒暑假，芒果都不忘弄出个山寨自制剧给大家乐乐…            
(1星)	 这东西有点过于悲催了            
(1星)	 一不小心雷死你            
(2星)	 怎么说呢。要不是因为小炜炜的片尾。。后来发现有潘之琳。。结果我就跨时差看了三四集。感觉会比雷阵雨好点？            
(1星)	 怎么想的啊            
(1星)	 一不小心踩到shi！！！！！！！李湘，你可以停止抄袭了吗......丹尼斯同学，人家剽窃你们国家剧本你还来参一脚干啥子？！            
(1星)	 三石啊，毁了。毁了。我的心在滴血。            
(3星)	 只为丹尼斯吴            
(NA)	 看完秘密花园再看这货简直是一坨屎啊            
(NA)	 我最近是少女心萌动吗，因为有丹尼斯的让我水心的颜和不讨厌人的女猪，竟然觉得这个还能看。。。            
(1星)	 狗血的剧情            
(3星)	 把丹尼斯也拖下水了啊。。。稍微改了改女主角的脾气，简直和咱爽姐一模一样嘛！还不如让爽姐来演            
(NA)	 张翰你的马脸可以再销魂一点，瞄了一眼的我，真是颤抖好几下            
(1星)	 丹尼斯啊丹尼斯            
(1星)	 这是一部挑战人类下限的无敌脑残片。。。贤在我身边一不小心就猜中了所有的剧情走向    =。=（@平水源            
(3星)	 青岛给它加了不少分~            
(NA)	 確實幾囧。。。。            
(1星)	 丹尼斯·吴糟蹋了！            
(1星)	 这年头编剧的钱真好赚。抄死你。            
(3星)	 没看完⋯⋯            
(2星)	 虽然剧挺烂的，但是之琳很好看啊，太美了！O(∩_∩)O哈哈~            
