http://movie.douban.com/subject/2153598/	欲望都市  第三季 Sex and the City Season 3
(5星)	 有谁知道欲望都市第三季第4集里凯瑞参加她双性恋男朋友的前男友小孩生日PARTY时最后他们玩转瓶子的游戏，瓶子转到谁指向的两头人就要KISS，然后凯瑞被转到和一个女孩吻时的背景音乐叫什么？这个镜头已经是这集的结尾了，有谁是欲望都市的资深FANS帮忙再去翻出来看下，知道的一定要告诉我呀，本人实在很喜欢这个背景音乐，并且找了好久好久了。。。。。　　这首曲子是在这集的25：45-26：25这段时间之间，只有这几分钟，哪位欲望都市的资深粉丝，好心人帮忙听听啊~　　            
(5星)	 好看            
(4星)	 這一季看到很想哭~            
(5星)	 大爱 大爱            
(5星)	 最爱            
(5星)	 如果我只看一部美剧，那就是SATC            
(NA)	 无法逾越的经典，极致的女性主义            
(4星)	 只可观摩不可效仿            
(5星)	 我无法拒绝她。。            
(4星)	 其实很希望Carrie情归Adam，这个男人看着就安心。就像DH里喜欢Ian胜过Mike。            
(4星)	 我的过去太早回头，我的未来还没回家……            
(5星)	 mr. big            
(5星)	 他们终于在一起了            
(NA)	 为什么就不能跟smith在一起!            
(NA)	 love            
(4星)	 撇去哪些镜头叻··还是挺好的~等待那句“you are the one&#34;            
(5星)	 Adian&amp;Steve            
(4星)	 2009.5.21在寝室看的,Carrie总是最有魅力的一个,虽然有些很烦人的小毛病            
(4星)	 性启蒙教科书            
(5星)	 正正正！            
(4星)	 上学期很迷の一系列。            
(5星)	 看的第一部美剧            
(5星)	 顶。            
(5星)	 I like it!yep!            
(5星)	 爱，就是要跟着感觉走~            
(4星)	 我是个落伍的人            
(5星)	 大爱~~~            
(5星)	 凯瑞的魅力确实让人着迷我觉得自己的性格偏向marida，有点独立，事业为重，还有就是对伴侣行为习惯很挑剔。在就是萨曼莎，她从不质疑自己的美丽，而且很会利用自己的优势，作为公关的她，有很强的沟通能力，特别是对男人。            
(5星)	 好看好看            
(NA)	 爱            
(NA)	 狂赞~            
(5星)	 女            
(5星)	 318            
(NA)	 对BIG影响不好了。。。            
(NA)	 爱情与友情的集合，对爱不要绝望。            
(5星)	 6季都很棒，有时间一定要看            
