http://movie.douban.com/subject/2279830/	真情告白
(3星)	 那时候咋觉得那么好看呢            
(4星)	 那时候怎么会去看这部戏的啊。不懂了。导演好像是还珠的导演。哦，里面有个插曲是 梦醒时分            
(4星)	 竟然发现了这个片子，我草啊，当年我小的时候，多迷这个片子啊，简直要疯了。            
(4星)	 当年很喜欢的～            
(3星)	  不是传说中的烂剧啦，结局那一幕真的很感人。。雪地然后终于。。相遇。。时间说，它从来不做错事。            
(5星)	 那时候可真是经典~            
(4星)	 还是从这部戏里听到的梦醒时分            
(3星)	 童年的回忆~            
(5星)	 当年看挺不错的呀= =            
(4星)	 记得这里的《梦醒时分》，记得胡兵和瞿颖            
(3星)	 多年后看到胡兵凹造型的真相。。我内牛满面 。。“爱情是触电的感觉。”            
(4星)	 好像还是以前的电视剧比较好，不像现在这么雷            
(3星)	 当时就觉得他俩绝对是一对！            
(5星)	 当年很迷            
(5星)	 儿时记忆            
(5星)	 这些电视剧让我想起了上学的时候。哈哈~写完作业就等着看~            
(4星)	 至少两对的感情都没落入俗套，都是在相互磨合中找到真情            
(3星)	 挺清新的一部剧            
(3星)	 许诺爱高积安。高积安爱许诺。            
(5星)	 我才不管神马评分，这就是我最喜欢的偶像剧。            
(4星)	 记得这是晚上十点放的电视剧，那时最晚十点就要睡觉的，为了它，没少熬夜~~            
(3星)	 胡兵那个时候还是蛮帅的            
(3星)	 因为这个粉过瞿颖...甚至连复旦也顺带了            
(3星)	 。。。。。            
(NA)	 那个歌。。。你最珍贵   。。。哎哟            
(4星)	 天……我才知道我看过这么多大陆剧……            
(4星)	 当年很喜欢            
(NA)	 就..梦醒十分啊            
(3星)	 我居然看过这个！！            
(3星)	 最后结局都忘了            
(5星)	 你们还记得我们有多么狂热吗？            
(NA)	 哈哈哈哈胡兵的第一部青春爱情片啊            
(4星)	 当年觉得还是一部很fashion的片儿～            
(3星)	 哎呀小时候老喜欢看了。。。那时还傻乎乎喜欢胡兵。。呢            
(5星)	 我爹很爱看。。其实我印象不深了。。            
(4星)	 当年觉得胡兵好帅！现在觉得他好娘。。。            
(NA)	 Long long ago小时候喜欢看的电影~            
(4星)	 我妈爱看            
(3星)	 算是我看到的又有印象的第一部时装剧。            
(3星)	 感觉很不错哦。            
(NA)	 小学看的，好喜欢这种现代都市戏            
(3星)	 许诺怪高积安总是说我也是而不是我也爱你            
(5星)	 许诺。            
(3星)	 张世是亮点            
(4星)	 我小时候怎么那么爱看这种片            
(NA)	 好早好早            
(3星)	 旧时的记忆            
(NA)	 我青春懵懂的心啊            
(4星)	 当时很喜欢看。。            
(5星)	 触电的感觉~~            
(4星)	 好老的片，许诺。。            
(NA)	 当年为了看最后一集，还逃了晚自习貌似~~~~~~            
(3星)	 我记得有第二部的，这部剧因为是金茂大厦建成后，在那里取景的，所以看过，已经没有什么印象啦。            
(4星)	 那是那个年代的偶像剧了            
(3星)	 就记得梦醒时分了            
(4星)	 当时特别喜欢的一部            
(NA)	 小学挚爱            
(3星)	 小学的时候还蛮喜欢看的，说实话算是那个时代比较好的偶像片了~比现在的好            
(NA)	 胡兵太帅            
(5星)	 当时瞿颖还是很美的啊            
(4星)	 当时觉得特好看的            
(4星)	 那首梦醒时分。            
(3星)	 小時候很喜歡看這個.. 很早熟有沒有╮(￣▽￣&#34;)╭             
(4星)	 小时候看的，情节都记不清了            
(NA)	 不解释了。。            
(4星)	 这个我喜欢,哈哈            
(3星)	 姐姐喜歡看            
(5星)	 我爱~            
(3星)	 感觉一般            
(4星)	 记得那会是周日在放。然后偷偷看。哎哟喂 那个日子好怀念。            
(5星)	 貌似是大陆第一部偶像剧呢            
(4星)	 当时觉得不错。            
(4星)	 我喜欢那个台湾女的。            
(4星)	 胡兵和瞿颖好配……            
(3星)	 模特界的金童玉女。            
(4星)	 是99年的剧么？这么早的，那时还很小，记忆中这部剧挺好看，算是当时偶像剧的经典之作吧。瞿颖胡兵，超级配。若现在重看想必会破坏印象，冲着美好回忆，打个高分。            
(3星)	 童年的回忆啊，貌似还有个真情告别。那时胡兵还是很火的。。            
(NA)	 童年记忆。            
(3星)	 不喜歡那個很XX的模特男明星。。。            
(NA)	 有和姐姐学胡宾说话，请问査小玲在吗？哈哈！            
(4星)	 记住了张世~~~            
(4星)	 小学的时候看的这电视剧吧 当时好喜欢张世他们那一对 欢喜冤家            
(4星)	 說真的很好看。。。            
(5星)	 当时看的时候感动的一塌糊涂，尤其是那首“梦醒时分”，让我现在听还会心头一紧。。。。。。想想，自己是不是也有那种迷惘——爱了不该爱的人。。。。。。            
(5星)	 这部电视剧让我爱上广告这个行当~~一辈子~            
(4星)	 总记得男三的那段，我喜欢你就像喜欢鸡屁股一样...哈哈哈哈...            
(4星)	 我很变态的一致喜欢李婉华   张世那对也很爱。            
(4星)	 当年国内完全没有这种类型的电视剧，很喜欢看。            
(NA)	 那时候还不懂什么是爱情，这部戏看得人感觉很温暖，而且里面的配乐的做得不错~！            
(4星)	 听梦醒时分时，突然想起这个片。。两个配角演的很搞笑。梦醒时分配的很不错。            
(NA)	 记忆            
(NA)	 一直记得胡兵和瞿颖在电梯上牵小指的镜头。            
(4星)	 对这剧的回忆只剩镜头了，不过是很美的镜头            
(4星)	 梦醒时分 我爱上这个歌            
(4星)	 当初就是因为这部电视剧喜欢上了广告业            
(3星)	 重温{3}            
(3星)	 其实我小时候很喜欢这剧来着~那时候看着还是很有时代感的！            
(NA)	 只为纪念那1999年            
(4星)	 那个年代的确觉得很好看,            
(3星)	 当时觉得不错呢~            
(3星)	 帅哥美女有木有。记得我最爱那只大金毛。            
(3星)	 不喜欢胡兵，不喜欢第二部。当时觉得胡兵和瞿颖还算配，没想到他是同性恋。            
(3星)	 第一次看到的国产偶像剧，当时好喜欢胡兵和瞿颖            
(4星)	 捧红了胡兵和瞿颖            
(5星)	 小学看的吧            
(4星)	 超喜欢张世~~~~            
(NA)	 玻璃天顶大好              
(3星)	 喜欢田国荣。            
(NA)	 同样很久远的片子            
(NA)	 好像看过。。。。            
(NA)	 记得看过，但剧情记不清了，好像那时候胡兵和瞿颖挺红的啊            
(3星)	 当年最喜欢的内地偶像剧~~            
(3星)	 看到胡兵那张脸我怎么那么难受呢。            
(5星)	 我只记得鸡屁股            
(NA)	 啊 久违了！            
(3星)	 张本渝的表演真的很棒。            
(NA)	 其实这个还真的好看。            
(5星)	 演员真情流露，插曲很感人            
(4星)	 第一部相当不错，简洁有节奏感，故事也吸引人。后来的两部都很烂，非常之烂，而且是烂到一定的程度了。            
(NA)	 哇，我剧情都快忘光光了，太老了            
(4星)	 就是因为这部喜欢上梦醒时分            
(4星)	 最初对OL的印象这就这么来的            
(4星)	 第一部令我觉得国产剧也很时髦的电视剧，结局挺感人的            
(3星)	 瞿颖和胡兵这不是昙花一现么。。            
(4星)	 当时感觉很好看的撒！！！让我认识了瞿颖。            
(3星)	 偶像剧啊偶像剧            
(3星)	 曾经还非常兴致勃勃地看完了            
(5星)	 最早接触的 大陆偶像剧  周迅很灵            
(4星)	 2000            
(3星)	 里面的瞿颖很漂亮             
(NA)	 好看，好久好久以前的了，记得不是很清晰了            
(NA)	 4            
(NA)	 喜欢主题曲            
(4星)	 好吧，说实话这部剧影响了我很多，噗。。            
(4星)	 经典！胡和瞿因这部戏成官配            
(3星)	   当时觉得瞿颖好漂亮的说~            
(5星)	 不是剧多好 而是开创了一个偶像剧的时代            
(3星)	 对广告公司的经典意淫            
(3星)	 不堪回首            
(1星)	 有两大，啊不，三大票房毒药在，怎能不烂片？            
(3星)	 那时，对这么一部横空出世的都市言情剧简直叫迷啊。当胡美丽还不是胡美丽的时候，我很心水他跟瞿颖的。            
(3星)	 那段时间很萌这片的，，orz，年少无知了            
(4星)	 以前在翡翠台播的时候 每晚都追来看            
(3星)	 那时候觉得胡兵很帅啊 OST和梦醒时分很好听            
(3星)	 记忆开始模糊            
(4星)	 那时喜欢的音乐甚于剧集            
(5星)	 不知为何当时看会这么喜欢。。觉得这样的白领生活真令人羡慕。。演员们觉得都很赞。。插曲都很好听。。赞。。            
(2星)	 居然，，，看过的。            
(4星)	 看过很久了~            
(3星)	 许诺，这个名字太TN的有感觉了            
(NA)	 现在的瞿小姐啊 物非人非啊 ~~            
(4星)	 很怀念啊            
(3星)	 印象最深的就是那首梦醒时分。。            
(5星)	 我喜欢玲玲那一对 第一次听梦醒时分 惊艳            
(4星)	 很早的片子了，还记得那个快要死的女孩和那个男孩一起逃出去玩的情节，即使以现在的眼光来看也算不错的            
(3星)	 已经不记得讲什么的了。。            
(4星)	 既然怀旧，就一次怀旧到底吧。当时看了这个电视剧，超喜欢梦醒时分那首歌。            
(NA)	 很多年前看的了。            
(3星)	 天哪，小学时候吧，有听着看完            
(3星)	 早期的职场攻略。那时的胡美人还算帅，还没疯，瞿颖脸上的疙瘩也被粉盖住了不怎么明显。。            
(4星)	 不是传说中胡兵和瞿颖的定情作嘛            
(3星)	 貌似有印象~~那几年胡兵怎么那么火。。。            
(4星)	 不只是朋友            
(5星)	 怀旧            
(4星)	 一天时间温习了一遍 感觉还是很好看 那个年代的爱情好像要干净纯洁得多            
(4星)	 胡兵            
(3星)	 这是胡兵最帅的时候了            
(3星)	 当时记得，瞿颖演得特假，后来发现，这种叫偶像剧。。。好像是吧            
(4星)	 比现在的现代剧拍的好            
(NA)	 我最爱张世那一对。。原来那女的是张本喻啊。。            
(4星)	 当年觉得好看的内地偶像剧            
(5星)	 当时老火红的偶像剧啦！            
(3星)	 编辑部的故事            
(3星)	 有点印象            
(NA)	 看此剧知道 唯唯喏喏一词            
(4星)	 小时候特迷            
(5星)	 曾经最喜欢的            
(3星)	 記得當時瞿穎挺漂亮的啊...            
(4星)	 当年的最爱~            
(NA)	 曾经一度拉垮我成绩的电视剧，看过次数多达两位数！            
(4星)	 就是因为这部片子，莫名其妙地爱上了上海。            
(4星)	 曾经很喜欢            
(4星)	 小时候的回忆            
(NA)	 十一年前了都…唉 多帅的胡多美的瞿啊 一直纳闷他俩为什么不真的在一起            
(3星)	 张世！！！            
(3星)	 ms还有个第二部？真情告别？            
(4星)	 那个时候觉得挺有看头的，现在都差不多忘记了，好像过了好久了            
(3星)	 还记得那个口琴旋律哈哈。            
(4星)	 第一次看所谓的大陆偶像剧 满好看的 可惜后继无力            
(3星)	 这就是传说中的偶像剧            
(5星)	 第一次理解了金童玉女的含义，被主题曲“看来看去真正缘分到底在那里”的调子和歌词打动，还有被剧中反复出现的《梦醒时分》所震到。            
(5星)	 第一次认识张世。爱上《梦醒时分》。为有些情侣只能在银幕上，唏嘘            
(3星)	 忘记得差不多了。。但是记得片尾曲貌似有一句唱的是穿白衬衫的男生什么的。。            
(5星)	 恩。。当时很是喜欢他们两个。            
(5星)	 曾经一度很喜欢的....            
(4星)	 内地早期的偶像剧，还不错的其实~            
(3星)	 小时候觉得白领就是那样的            
(3星)	 不愿做好朋友，要做一生一世恋人……             
(4星)	 谁推荐的？            
(3星)	 以前看时很喜欢哼里面的歌。            
(3星)	 冲着一份童年回忆，勉强给三星            
(5星)	 当初可爱看了呢~那个关于巴赫，关于玛利亚芭芭拉的故事~可惜电视台就放过一次！            
(4星)	 当年觉得胡兵和瞿颖绝配啊            
(3星)	 弄得我很想干广告。            
(3星)	 当年日日追            
(3星)	 小学无聊的暑假看的，原来叫这真情告白            
(NA)	 清清楚楚记得这部10年前风靡一时的都市剧的女主角，叫“许诺”。            
(4星)	 比 真情告别 强            
(4星)	 某天K歌竟然找到了这个的片尾曲，那个鸡冻啊            
(NA)	 哇。那时候的上海啊。            
(3星)	 那时有个台只有周6周日放，那是觉得配啊，现在.....            
(NA)	 我小时候有段时间特喜欢看。被我姐唾弃了好长一段时间来着。            
(5星)	 开始了解成人世界~            
(4星)	 很早的偶像剧            
(5星)	 爱bach~~            
(3星)	 看的时候还是初中- -~            
(4星)	 喜欢田国荣跟赵岱玲部分            
(3星)	 大陆版的丑女贝蒂            
(3星)	 张世实在太逗了！            
(4星)	 那首《梦醒时分》的主题曲。            
(4星)	 其实已经记不请里面演什么了，只记得小时候还挺喜欢看的，胡兵和瞿颖真得很配啊            
(3星)	 忘记了。            
(3星)	 那会特别喜欢许诺这个名字。。还愤慨很久为什么我不叫这个= =            
(4星)	 重温经典            
(NA)	 一直到现在内地都没有偶像剧能超越这一部，不是说这部有多好，而是内地的偶像剧有多烂，十年了还没有进步            
(2星)	 我也看过，我有罪。            
(1星)	 这两人都讨厌。。            
(4星)	 那时候看了很想学广告的            
(4星)	 当年好喜欢好喜欢的剧            
(4星)	 我的V998的发源地            
(3星)	 想想现在，那个美丽胡，杯具了            
(NA)	 突然想起            
(3星)	 梦醒时分            
(3星)	 我竟然还记得结局！            
(2星)	 讨厌瞿颖和胡兵            
(4星)	 小时候看过的第一部大陆偶像剧？            
(5星)	 那时候超级爱看这片子，觉得李婉华很有气质~~            
(3星)	 第一部偶像剧。。。            
(4星)	 看时记住了一首歌《梦醒时分》            
(3星)	 瞿颖啊，你就是显老，胡兵啊，你就是矫情            
(3星)	 初中时候很喜欢看，只记得貌似很搞笑。            
(3星)	 年代 久远 啊            
(3星)	 还，，不错            
(NA)	  喜欢里面的癯颖            
(3星)	 完全忘了            
(4星)	 我大概记得那个问题——巴赫的第二任妻子叫什么名字            
(NA)	 貌似那时候可喜欢胡兵和瞿颖了．            
(NA)	 还不错 忘了            
(4星)	 当时看的那份感觉还是挺棒的 现在看来剧情实在老套            
(3星)	 没啥印象的，就是看过的，当时挺希望他们在一起的，哈哈。觉得女主角她爸的鞋子论还蛮经典的~漂亮的不一定是适合的            
(3星)	 看完觉得，胡兵那高度也就瞿颖能配。            
(4星)	 每次重播都会再看一遍!            
(3星)	 初中的时候，看得天天还要和同桌讨论，剧情满老套的，那个时候就是喜欢的很。            
(5星)	 回忆性的片子的评价，应该是中国都市言情剧比较成功的吧，让10几岁孩子的我，感受到了大上海的时代气息，让我开始向往走出家乡~~            
(5星)	 算是早期大陆偶像剧里面比较不错的一部。            
(5星)	 起码曾经很喜欢。所以给5星。            
(5星)	 这部片子中的张世让我记住了广告是很有趣的职业……            
(3星)	 赫然发现，那么多雷片。。我竟然都看过。。            
(NA)	 啊啊啊啊啊            
(4星)	 好久远的回忆了，许诺&amp;Anson            
(2星)	 这片子拍出来干什么            
(5星)	 一切都是我想要的生活            
(NA)	 第一次听，梦醒时分。现在都还是喜欢这首歌            
(3星)	 想当年也陪伴了我一段时间。            
(3星)	 当年胡兵还能看。。。            
(3星)	 天~~十年了~~            
(NA)	 --我爱你--“我也是”            
(4星)	 很早了            
(4星)	 很喜欢田国荣和赵岱玲这对欢喜冤家～            
(NA)	 很多广告的学生都会提到这个…现在能记起来的只有女主说男主从来不会主动说我爱你的那一幕            
(3星)	 好像是什么的续集，反正有胡兵就对了            
(4星)	 那个时候我怎么会觉得这么好看呢            
(3星)	 妈妈级喜欢看的            
(4星)	 純粹是青澀回憶的勾起。            
(NA)	 Model界的金童玉女???            
(5星)	 印象异常深刻的一部偶像剧那时我初三。。。            
(2星)	 这个讲的啥啊？            
(5星)	 第二男主和第二女主的　梦醒时分            
(3星)	 让我认识一首音乐，我很喜欢，巴赫的小步舞曲~            
(4星)	 都不太记得了。。。            
(5星)	 六星            
(3星)	 差点被遗忘的一部            
(3星)	 挺好的来着。            
(3星)	 还不错~            
(4星)	 又是值得怀旧的电视剧            
(3星)	 小学看时很津津有味。            
(3星)	 都市情感剧的启蒙            
(4星)	 看呀看，也不搞对象            
(4星)	 喜欢陈龙的角色呃~            
(3星)	 比较早的，            
(3星)	 两则宁高的来要西。。。            
(NA)	 你不是玛利亚芭芭拉你是安娜            
(3星)	 肯定看过......            
(3星)	 当时我们全家都一起看……            
(4星)	 然後我開始想學設計            
(4星)	 可能是我看过的最早的所谓偶像剧了            
(3星)	 当年也算很火的青春偶像剧了            
(4星)	 当年就想我要是有姑娘 就起许诺这样的名字            
(4星)	 多年以后再看，还是觉得在大陆偶像剧里，算是很不错的……            
(3星)	 当年觉得挺好看的 现在==            
(5星)	 大陆里算顶好了            
(4星)	 那时候特爱看            
(5星)	 大陆早期经典时尚剧            
(3星)	 上海白领的高级生活。            
(NA)	 一起走过的日子总要胜过那心跳的一瞥...            
(3星)	 连这囧片儿都有..            
(4星)	 放了点什么我都忘记了,哈哈            
(NA)	 最精彩的是张世。            
(5星)	 小学时期            
(4星)	 看过最经典的内心爱情电视剧            
(3星)	 大概是初中的时候看的吧，那个时候也不认识胡媚儿，只是觉得他与瞿颖特别登对，感情特别美好，剧情忘了            
(3星)	 小学至初中阶段的，记得当时班上有个耍的好的同学很迷胡兵            
(NA)	 挖塞  好老了            
(NA)	 比较经典吧            
(4星)	 算是有点质量的大陆偶像剧            
(NA)	 这个看了 但是没啥印象            
(5星)	 真的很好看，除了胡兵、瞿颖之外，两位台湾艺人的加盟，也让本剧更加时尚。其后的所谓续集《真情告别》，就有些扯淡。            
(NA)	 真情告白            
(3星)	 这部很好看，第二部太垃圾！！            
(4星)	 同样是回忆!            
(NA)	 喜欢最后一集。。小荣            
(5星)	 梦醒时分赞！            
(5星)	 怎么也不会忘掉的电视，无比喜欢那时的胡兵和瞿颖，很多镜头到现在依然记忆犹新            
(3星)	 爱情片呀爱情片，张世超搞            
(NA)	 1999年            
(4星)	 觉得他们挺配的！            
(3星)	 号称“中国大陆第一部偶像剧”            
(4星)	 印象很深的是那首梦醒时分            
(NA)	 国内 少有的成功的都市偶像剧            
(5星)	 是它 让我爱上广告 走上广告这条路            
(NA)	 在爱情与友谊之间，是勇敢的选择我们的爱情还是。。。。。。            
(3星)	  n            
(4星)	 内地偶像剧的先锋。            
