http://movie.douban.com/subject/4189360/	隔离七日情 隔離七日情
(3星)	 以为有多好看呢，宗泽，你就是一帅哥。然后故事很老套，经典tvb。虽然我每天都追。            
(4星)	 Sep 22nd, 2011iTV, What a wonderful world.            
(3星)	 觉得一般，但是浚伟哥帅的不行。            
(3星)	 从喜剧的角度而言头开得不错 后面就 最后集体的What a wonderful world很有爱            
(4星)	 很多人不喜欢，但是我觉得故事和主题都不错，剧中的人都很精彩，故事叙事正常不拖泥带水。            
(3星)	 隔离七日情：莫测的只是人心            
(3星)	 整個故事背景SET的還是很有創意的，一間被封鎖的酒店，七日看盡眾生相。前面幾集也很有看頭，第一次見馬仔演花心男，挺過癮；郭羨妮就是一如既往地靚，而且這次的角色終於不那麼二了。至於鄭欣宜和鄧健泓就頗為雞肋。但整個劇下來還是頗有虎頭蛇尾的感覺，男豬腳生cancer拋棄女豬腳。。。這橋段。。。            
(3星)	 美美的郭羡妮            
(5星)	 最近看过的最好困的TVB剧了，隔离的七天里看尽了人生百态啊。我擦，黄宗泽我还好是先看了你的跛CO不然我现在不会这么萌你啊啊啊啊            
(3星)	 有点无聊了。            
(3星)	 挺好的故事，各种活灵活现的人物，但是大团圆是不是太刻意了？Bosco大喜欢！            
(NA)	 7天 什么事儿都会发生~            
(4星)	 似曾相识，不是一般港剧的模子，还算悬疑到一点点            
(3星)	 很没意思啊····            
(NA)	 这片拍的很温情，哭的稀里哗啦的，最后加一句，马浚伟一直很帅            
(4星)	 一部给我惊喜的剧            
(3星)	 一般般 不是特别好看的那种            
(5星)	 酒店里鱼龙混杂什么人都有，还挺有趣的。人情冷暖，各怀目的，煞是微妙            
(3星)	 易先生和阿龙都好帅，帅的类型不同。女演员都很养眼，两个高个美女是不是模特呀，又高又靓7和16没看            
(4星)	 题材不错呀还有Bosco嘛~！郑欣宜在里面的感觉也不错            
(NA)	None
(4星)	 除去那些tvb的港式搞笑之外，这部剧剧情还是不错的。可能就我比较喜欢悬疑的原因吧。而且马浚伟的这角色很讨好，确实挺帅的            
(3星)	 郑欣宜瘦了真是小美女一枚。            
(5星)	 在追潜行狙击的间隙看完的，狂推。邓健泓太好笑了，捶地360度笑。N次被郭羡妮美到。            
(NA)	 真心觉得好无聊。虽然有黄宗泽还是看不住╮(╯_╰)╭            
(5星)	 很好看            
(4星)	 剧情很不错 结局有遗憾 喜欢四哥            
(5星)	 我看到马仔的第一部反面角色 真的是驾驭得很好 剧情很搞笑也很感人 郭羡妮浓妆艳抹是最美的！            
(4星)	 蛮有情节的            
(5星)	 喜欢黄宗泽~~~有点搞笑            
(NA)	 很紧张但很好看。            
(3星)	 可惜人生虽精彩 却也没有这样执着的爱情存在            
(4星)	 應該拍易早安特輯，絕對主角！放了很久的劇，點開第一集N次，這次終于看完了~            
(4星)	 马浚伟在里面  帅呆了哦@   剧情很好  就是太短了才20集                
(4星)	 郭女王的美得惊人，那样的爱情拥有过就已经是最大的幸福。虽然故事有硬伤，但是，我还是能感受到温暖和美好。            
(2星)	 看习惯了马浚伟拍古装的样子看不习惯他这造型啊= =            
(1星)	 好烂            
(3星)	 七天能拍这么多戏，真是伟大的编剧            
(3星)	 7.0 马仔男人四十一枝花~不过贼公这种整日一身黑、一身白的角色是讨喜呀...~            
(3星)	 其实剧情还是不错的，也挺喜欢马浚伟的…            
(3星)	 还是看不习惯郭羡妮            
(4星)	 结局俗了.            
(3星)	 还蛮好看的，插曲很给力啊            
(4星)	 几好。两只主角啲戏好差，郭羡妮讲对白好似照住读稿噉。礼仪小姐同A货超模演技好掂，毫不做作。咩叫做作请参考马浚伟。人物过多表现唔晒都有啲可惜，结尾较为狗血。另外剪片剪得有啲问题，唔算多，间唔中有。            
(2星)	 黄宗泽演的角色越来越……            
(4星)	 好看，里面对白很生活也很好笑            
(4星)	 剧情8错 最后是个开放结局             
(2星)	 坑爹！但是邓健泓还挺乐的耶~            
(5星)	 非常精彩            
(4星)	 不算好看但比今年的片好多了            
(4星)	 很有新意、不过结尾俗套了。。觉得很适合拍成电影            
(NA)	 结局不安逸。            
(4星)	 马浚伟造型第一次感觉很帅~            
(3星)	 lasta la vista= =            
(3星)	 围绕酒店内的7天都能拍成一个剧！            
(3星)	 看了前面几集，越看越没劲，放弃。            
(2星)	 .......            
(3星)	 断断续续看完的。            
(NA)	 后面比较好看            
(3星)	 75啦啦啦            
(2星)	 搞笑 题材新鲜            
(5星)	 剧情蛮创新的，不错的~            
(3星)	 看了头尾～            
(5星)	 人物关系挺有意思            
(5星)	 快笑疯            
(3星)	 想学粤语嘛 。            
(2星)	 实在是看不下去，又假又幼稚            
(5星)	 老套，可是我喜欢。            
(5星)	 猜到的结局，但是还是为易觉得伟大。            
(3星)	 结尾好无趣..其实我希望黄BO和郭羡妮的角色有发展的...            
(3星)	 喜欢戴少男。。觉得汪太的感情如此之悲哀。。。            
(3星)	 tvb烂尾楼忒多。            
(4星)	 越看越有意思            
(5星)	 七天看遍人生百态 可惜人生虽精彩 却也没有这样执着的爱情存在 .            
(3星)	 不过不失。反而最亮眼的表现来自邓健泓。            
(3星)	 前段时间看的，印象模糊，马浚伟还是挺帅呢            
(2星)	 一个是郭羡妮真的老了，扮年轻护士有有点小沧桑，马浚伟扮不太出神偷的帅气感觉。帅点的是差人黄宗泽，郑欣宜出来干嘛的不知道，总的来说有点无聊。            
(3星)	 以前看的....            
(3星)	 拍得太散。            
(3星)	 我就喜欢TVB那些脸熟的龙套们。            
(4星)	 我勒个去…… 越来越掀桌，越来越拖的剧情，不过马浚伟真是十年如一日的靓仔。o(≧口≦)o 关于绑匪的剧情都值得一看，但主线真的会越看越心烦的……(#‵′) 后面狗血得吐十升血都不够！            
(3星)	 剧情还不错，也挺搞笑~~也喜欢里面的明星阵容！！阿BO啊！！还有四哥！            
(3星)	 那些出现过的人和事~            
(3星)	 妈的，易早安你以为你是情圣啊，我呸            
(5星)	 有我最爱的黄宗泽...作为黄家军~~~嘿嘿             
(5星)	 創意不錯~            
(3星)	 看过几集，没全看。            
(4星)	 两颗半黄宗泽，剩下是邓建泓的             
(4星)	 令人眼前一亮的港剧。结合探案、犯罪、搞笑和亲情爱情，故事轻松诙谐、节奏紧凑，角色也性格鲜明。            
(3星)	 一般吧。            
(1星)	 没有印象了，好无聊的剧，TVB滑滑梯了。            
(4星)	 【四星半】形形色色的人物聚集在一间星级酒店里，有好人也有坏人，有欢乐也有痛苦，但一定还是人间有情的大团圆结局。            
(3星)	 去年老闲的  看片啊看片    这个小马 呀  让人相当费解  他到底咋想的啊  很难得的是  这些主演全不是我滴菜  我还流畅地看完了            
(5星)	 看过之后非常喜欢四哥了。            
(4星)	 马仔            
(5星)	 不错            
(3星)	 为马浚伟和黄宗泽而看。            
(2星)	 搞封闭空间搞得太糟糕了            
(4星)	 题材有新意吧，七天看到不同的人性            
(3星)	 有点虎头蛇尾的意思            
(3星)	 完全看不到火花~~结局有一点狗血~            
(5星)	 可以~~~~ 没看完            
(NA)	 超级好看。    结局感人            
(4星)	 黄宗泽现在越来越有成龙的范儿了，bosco，注意安全哦~            
(5星)	 开头吸引到我了，黄宗泽和邓健泓演的哈搞笑，邓健泓表情哈丰富！邓健泓和小蜜蜂才是亮点啊，贯穿整部剧的始终  这是一部戏或者说是一个闹剧，看戏的人觉得哈有劲，里面的人却是被耍的团团转啊,越乱越好，越有看头。看到最后才发现，原来每个人都不是普通人，都有一定的“角色”，真的很佩服编剧！            
(4星)	 不錯的劇，我看了兩遍。整個劇情安排較好。            
(5星)	 黄宗泽郭羡妮的演出太赞了            
(4星)	 终于在快进中看完，要不是有bosco我才不看呢！！            
(3星)	 3+。编剧赞啦。            
(3星)	 绑匪和警察是亮点~            
(5星)	  非常赞。戏假情真不足以概括整部剧，不过很合适            
(4星)	 本来我真的以为在这个wonderful hotel里会发生奇迹般的happy ending，但最后一秒难免失望，不过这样或许也不错，只是我期望太多。            
(5星)	 要是最后BOSCO别跟北菇跟胖妹这部剧就完美了哈哈哈哈！！！最心水的TVB剧吖。。。伟仔有钱途哈哈哈哈！！！！大少爷太可爱了哈哈哈哈哈！！！            
(4星)	 忘记支撑我看下去的动力是什么了··· 只记得我很喜欢那个bellboy和那只鸡！哈哈哈哈哈哈哈哈！他们好可爱！            
(4星)	 【2011.06.28-07.06】看过之后才知道这部片的精彩之处，七天里糅杂了许多条故事线。真心不喜欢Kevin，各种会哄人将信任玩弄。然而阿龙还是帅气依旧，当然剧和现实是要分开的。最后真没想到大连女警会和他在一起，but这搭配不错啦。最后party——之前就有种毕业典礼感受。            
(5星)	 剧情很新颖的，被最后的真心所感动了，强烈推荐的好片，是今年tvb我最喜欢的            
(3星)	 hk拍电视剧真是随意            
(2星)	 没劲··            
(3星)	 这种连坏蛋都很萌的电视剧 果然是tvb的风格            
(5星)	 越看越好看的勒···            
(NA)	 Hasta La Vista            
(3星)	 势头大于剧情            
(4星)	 年过半百再在一起的桥段，算是对现实生活诸多遗憾的慰藉么……非凡哥同马大将军，各有各爱……            
(5星)	 黄和马 好帅            
(5星)	 为啥郭羡妮最后不合黄宗泽在一起呢？？            
(NA)	 情节听托的。。。            
(3星)	 又烂尾了            
(5星)	 马浚伟的贼公演的不错，而且有种一切都在预料之内一样的神通一样呢？厉害！            
(4星)	 人生就是这样。剧情看似抽象却是幕幕属实。那么现实。            
(4星)	 其实我不懂这个结局。            
(5星)	 剧情合理有紧凑，演员都靓跟帅！真是好片！            
(NA)	 依然帅            
(3星)	 郭羡妮怎么不和黄宗泽捏            
(5星)	 各种好看~悬疑  真情  很不错！            
(4星)	 实在不喜欢郭羡妮所以由衷希望马仔甩掉她，可是，擦，最后两集不演就完美了            
(5星)	 不错不错，近来比较入眼的港剧里。            
(3星)	 没看完..            
(4星)	 近年来TVB难得的创意之作。            
(3星)	 剧情比较特别            
(5星)	 有谁。会在最危险的时候。不离不弃。            
(5星)	 真真假假，不知枕边人的心头的担忧和城府。想要分享进入对方的世界，才知道雾里看花，兜兜转转。隔离群的每个人都有自己的过去和不想为人知的秘密。朋友，情人，什么身份都好，演戏已是必然。剧里一句话说；最为持久的是情感，因为有丰满记忆来支撑未来~结局如童话一般圆满，如人所期待~剧本很不错！            
(4星)	 又估唔到佢最尾玩溫情勵志既…            
(NA)	 够搞笑~挺好的            
(NA)	 3.39            
(3星)	 冲着黄宗泽~~            
(4星)	 马仔是亮点。。。剧情很不错。。。            
(5星)	 bosco 是焦点，长得帅帅。            
(NA)	 好            
(5星)	 这几年TVB难得的好剧            
(4星)	 很好看的一部剧，情节设计很新颖，好看！            
(2星)	 巡礼的阵容更好。本应该10集就能讲完的故事拖慢了一倍，男主女主的情节实在狗血。            
(3星)	 一开始还蛮好看的，到后面就觉得一般            
(3星)	 还是不怎么好看的，尤其是郭羡妮            
(3星)	 原来是个凄美的爱情故事            
(3星)	 没意思。            
(3星)	 蛮好看的~            
(3星)	 如果不是黄宗泽和马浚伟在撑我真是看不下去了            
(4星)	 郭女王美色没的说。            
(4星)	 发觉看happy ending是很爽的，尤其是港剧的happy ending            
(5星)	 剧情紧凑~真的……            
(4星)	 不错啊，还是多喜欢马浚伟的，他坏也坏不到哪去            
(4星)	 里面那帮劫匪太2了，马浚伟和郭羡妮的对手戏演的很不错，结尾看到哭。黄宗泽的那首片头曲很喜欢！            
(5星)	 技术发达啊、            
(3星)	 噱头不错 后面又。。。 虽然这样说· 但是还是停不了看亲切的港剧            
(4星)	 前面几集有点不好看，后面还不错~情节很饱满。但是马浚伟还可以把角色演的更加好一点。            
(NA)	 两天20集，可以了，歇歇。郭羡妮在这里美过西施的扮相。            
(5星)	 黄宗泽好帅- - 尼玛郭羡妮和马浚伟肿么这么配= =矮油其实我有段时间很爱马浚伟啦。。            
(4星)	 还不错~~            
(4星)	 Hasta la vista,            
(3星)	 真的，只顾着看马浚伟，剧情没觉得有多出彩。也没有看到一半心心念念的感觉。            
(3星)	 其实情节蛮单薄的。。。            
(4星)	 像柯南，挺有趣的。。。            
(5星)	 不得不说，马浚伟啊马浚伟，怎么这么靓仔呢            
(4星)	 我喜歡密室破案，哈哈~            
(3星)	 完成任务看此片            
(4星)	 我觉得不错。至少在联系不同人的不同故事上处理的很好            
(4星)	  黄宗泽，马浚伟 很帅！！            
(NA)	 郑欣宜都几cute既~            
(4星)	 很绕            
(5星)	 很不错一部剧，有创新有特色，同样也很感动            
(4星)	 主要是冲着俺喜欢的黄宗泽和马浚伟去滴~~虽然两位帅哥都被时光打磨得有些沧桑，不过这部剧的剧情倒是非常不错，很好玩~~            
(4星)	 好啊好啊~~~            
(3星)	 看了几集 弃             
(3星)	 題材挺新鮮有趣~            
(5星)	 男人的话都斟酌着信。。。            
(4星)	 剧情普普通通~甚至有些时候让我不自觉笑出来（不褒不贬）~但是最后还是特别感动~            
(4星)	 能不能不要每次把黄宗泽安排给那些相貌和他差距特么大滴女人            
(4星)	None
(4星)	 结局虽然还是很狗血，但是之前是很好笑的            
(4星)	 马浚伟老了，但还是不错啊。。            
(5星)	 虽然这部剧算是推理悬疑片，但是越看到后面越觉得感人，形形色色的人，能让人看出些真谛，不过结尾相比前面有些落俗了            
(NA)	 馬浚偉是帥，可是點解最後要死呢？？？            
(4星)	 Hasta la vista            
(4星)	 要是没有那个什么公安就有5颗星啦，怎么听到“为人民服务”就有种13点的感觉呢            
(3星)	 男人不坏女人不爱            
(4星)	 这个我爱看，灰常爱看，马浚伟和郭羡妮好搭调~            
(5星)	 案中案的剧情还有长度都刚刚好，反正就是我的菜啦。龙龙的女友真是高高高妹啊，结局又不失感人，赞！            
(4星)	 很有新意的题材,龙凤对决,越往后看越精彩!            
(3星)	 还是想看巡礼的隔离七日情            
(4星)	 好看! 摆脱TVB的老套路但是处处又是TVB的味道 道义亲情真假爱情 兜兜转转看尽人间百态 你以为你看明白了? 其实差的远呢 眼睛看到的 耳朵听到的 都未必是真的 不到最后不过瘾 大马哥哥越来越厚生了! 也明白了大家喜欢黄宗泽的原因~ 推荐看之            
(4星)	 剧情一般般~            
(4星)	 烂尾            
(2星)	 贼做的像小丑            
(3星)	 随便看看，其实郭小姐真的蛮漂亮，就是个别坏角色演的太给力，奸角看的所有人牙痒痒了~            
(4星)	 觉得黄宗泽也不错哦～～            
(3星)	 前面高潮部分居然有点阿婆的密室风格，徐夫妇，教授夫妇，陶公子，各个都有嫌疑啊，可惜还是TVB风格。            
(4星)	 七天内看尽人间百态。有小小感动。马仔，你怎么可以这么帅。            
(NA)	 黄宗泽很养眼，马浚伟有演技。            
(4星)	 各种误会，各种案件，各怀鬼胎。女一号和男一号都修成正果了，那女二号不是要和男二号在一起的么？龙龙怎么没和sugar在一起而突兀的和配角结婚了呢。还有结尾怎么成盗梦空间了...没想到郑欣宜这么气质这么美            
(4星)	 TVB的男演员都是越老越帅哪            
(5星)	 哈哈哈，非常的有趣，净是喜欢的演员            
(3星)	 三個人一起看港劇神馬的 最歡樂了。            
(3星)	 马浚伟咋那样了。。            
(NA)	 看完的理由只有BOSCO，他完全值得更好的女子，不是晶晶，不是姚丹，不是christy            
(4星)	 太强了，20集就讲了7天的事~            
(3星)	 题材倒是挺新颖，套路还是这么烂俗。            
(4星)	 原来那是郑欣宜。。。。。一间封闭的酒店，就七天让人知道这个社会是怎么的鱼龙混杂，不过还是充满了笑点和感动戴少和嘉嘉太欢乐了，那个神经质的珠宝商老婆哈有劲，教授和他太太非常感人            
(5星)	 温馨剧，what a wonderful world，不过哪有那么可爱的2个绑匪阿            
(4星)	 开头很搞笑，题材也不错，小成本拍成这样很好啊。就是后面审美疲劳了orz            
(NA)	 what a wonderful world            
(4星)	 七日之情。各种状况            
(4星)	 又是一個現實版的結局。。。情節麻麻地            
(4星)	 马浚伟帅了啊。邓健泓演的很好的说~~            
(4星)	 郭羡妮!!!!女王嘛！            
(3星)	 后面的剧情实在狗血，脑癌，孩子，欺骗，及韩剧的狗血于大成呀。            
(4星)	 前面铺得太开后面收不回来的典型！            
(3星)	 没什么创意            
(5星)	 PAT绝对够给力！！！笑死我、、            
(3星)	 为了马浚伟才看的            
(4星)	 Bosco~赞            
(4星)	 剧情扑朔迷离，以情动人            
(4星)	 搞笑+温馨，马浚伟那段有点扯~            
(3星)	 新人演技差！郭羡妮总让我觉得怪怪！剧情写得都算ok但是细节就假的要命！☆★★            
(4星)	 没有看完，但是，听说是悲剧结尾啊……            
(3星)	 也是后面越看越不好看。。。            
(4星)	 tVB为数不多让我坚持看完的。。。。。            
(5星)	 很感触~               
(3星)	 一个礼拜，剧中人物好似最晚一场人生的礼拜。            
(5星)	 这部剧确实很好玩···马浚伟太帅了···            
(3星)	 马浚伟好帅！            
(3星)	 香港警察內地公安的組合還不錯啦~哈哈…            
(4星)	 马浚伟帅呆了！！！            
(4星)	 Calvin啊 你一定没死 第二部里你一定会出现的~~~~~            
(5星)	 书生气也可以很MAN的！！因为这部片觉得马浚伟帅翻～            
(3星)	 还是挺搞笑的..只是觉得TVB没人了...还是超级喜欢DIE的美人姐姐..前面还好看..后面一般了..            
(5星)	 这片子真是意外惊喜啊，剧本很有趣视角也很独特。马浚伟和郭羡妮这对贼公贼婆真是太抢眼了，恩怨情仇一波三折的。每一个人物都很有个性，五分五分！            
(5星)	 好几年没看过这么精彩刺激的TVB剧了！结局有小小的遗憾。。。            
(5星)	 很不一样的剧情            
(5星)	 真的很有惊喜  马浚伟在里面好帅啊。。。            
(4星)	 剧情紧凑，如今港剧看得下去不容易            
(4星)	 什么都挺不错，我就是被结束前那句“为人民服务”雷到了！            
(5星)	 情节很紧凑，和想象中的完全不一样。原以为题目是隔离，就和什么医生啊、护士啊、白衣天使脱不开关系。没想到是这样的剧情。哈哈            
(5星)	 很对我的口味。            
(NA)	 不是我很喜欢的类型额，不过还不错！！！            
(3星)	 不喜欢这个里面的马浚伟。。不知道为啥。。长脚蟹也没以前好看了。。            
(4星)	 绝对的TVB风格，剧情完全可以想像，给人感觉最好的是马浚伟，里面的造型很衬他的风格，颠覆了我以往的审美观，原来小眼睛也可以帅，呵呵。郭羡妮也是，造型很值得借鉴，赞！            
(4星)	 个个演员都好中意！大团圆结局也好中意！            
(4星)	 觉得马浚伟还是不错滴            
(4星)	 还可以咯~挺搞笑的            
(3星)	 巡礼片害死人啊            
(3星)	 初看构思不错，结尾就落俗了            
(5星)	 大团圆的结局。稀罕。中意丫。。。            
(4星)	 喜欢的~！喜欢马浚伟演的大盗，郭羡妮还是很漂亮，不过结尾，还是喜欢很俗的大团圆啊。            
(3星)	 一般，剧情太简单，有点假。            
(3星)	 怎么和我看到的预告片相差那么多？明星少了很多！！！郭羡妮在里面的扮相不错，演的不错，有那么点味道            
(4星)	 较有创意，bosco不错，可是皆掩饰不了tvb的没落            
(3星)	 题材很有新意 但剧情安排过了头 犯罪无处不在。看多了马浚伟的古装剧 ，现代扮相更帅 邓健泓和郑欣宜表现也不错。结局还是狗血 我就知道CALVIN有苦衷 但没想到是这么个俗套的苦衷。BOSCO 的感情结局太过突兀了 接受唔到            
(3星)	 没想到满有悬念的，本来还蛮担心calvin感情上真的不是好男人的            
(5星)	 很喜欢马浚伟和郭羡妮那一段，很感慨。马浚伟很吸引人，很会让人感动，不过这样也同样让人看不清。            
(4星)	 结局不够好~            
(4星)	 hasta la vista!            
(4星)	 里面的各色人等挺有趣的，很轻松的喜剧，李天翔是亮点！            
(4星)	 马浚伟好Cool哇!!!他那段感情好感人吖！~~~~(&gt;_&lt;)~~~~             
(4星)	 前面老灵的，一直在追。不过，结局好老套            
(5星)	 俊男美女，再加一个不错的故事，你还想要什么？            
(5星)	 题材很新鲜 演员都还不错            
(4星)	 剧情不错，很转折~黄宗泽最后没跟小胖妹，真开心~            
(4星)	 马浚伟啊马浚伟~~MD还是这么的~~~            
(4星)	 有小黄噢~~~~            
(3星)	 一直没耐心看到最后~~~            
(4星)	 又是因为BOSCO黄宗泽才追的剧，本以为BOSCO是第一男主，看到后来才发现原来马仔才是，而且之前宣传打出的猪流感背景噱头，被男主女主的龙凤斗情节拖累了，基本上这部剧就是《龙凤斗》＋《蓝色生死恋》，如果没有黄宗泽，就给三星了……            
(3星)	 受不了老牛吃那啥            
(3星)	 最近TVB的质量在下降，这部电视剧明显不是我喜欢的。            
(4星)	 小玄子和郭女王的颜都。。略微残了。。。            
(4星)	 不错不错            
(5星)	 一直钟情美剧和TVB。四哥这次仍然没让人失望。不得不说很精彩，因为感触很深。看完后再想想Steven Ma说每一句hasta la vista， 不仅仅是感动。            
(NA)	 7天的事拍成了20集。。。TVB一贯的作风。情节够快。大团员结局。郭羡妮在这里面比在《宫》里面漂亮多了。            
(4星)	 很有意思的室内剧。我反而觉得不是困在酒店里七天，其实可以当时七天的酒店度假，仲可以认识好多朋友添。            
(5星)	 看过了呢！~一直觉得非常的搞笑啊什么的...傻得可爱的善良绑匪~~不过结局真是觉得有点草草..好遗憾的感觉..弄到最后让我对马浚伟这个角色无感耶...话说除了本来就喜欢黄宗泽之外..这部剧偶觉得那个绑匪和gaga才是亮点~哈哈            
(4星)	 那个变脸酒店主管的经典台词你是不是要笑死人，很搞笑。就是剧情实在太拖沓了，撑不起20集的。            
(4星)	 题材很新鲜，以20集说1星期发生的事情，角色剧情分布比较平均，每个人物都有自己的故事。Bosco的身手很好，我希望他多拍警匪剧；欣宜的表现大有进步，唱歌也蛮好听，喜欢她和黄的兄妹情；郭羡妮亦然漂亮；马浚伟在这部剧里也帅了很多；最出彩是罗敏庄吧，Girl Gaga实在够搞笑够好玩。            
(NA)	 真好看 并且是第一次注意到不跳集看剧的美好。黄宗泽好久不见啊，邓健泓童鞋很有发挥啊            
(4星)	 除了狗血的绝症，还是部很欢乐的片子……            
(NA)	 邓健泓邓健泓邓健泓邓健泓。。好萌。。。            
(3星)	 郭羡妮造型最靓的一次            
(NA)	 20110320-20110323  贾瑜不是幻想            
(4星)	 有些特别。。。七天内。。。人生百态。。。            
(3星)	 情节扯蛋且拖沓，但还是很想知道结局            
(4星)	 狗血結尾。。。不過我仲中意馬浚偉咗~&gt;///&lt;            
(4星)	 今年TVB的素质确实有所提高啊            
(NA)	 还没看完的无聊片。            
(4星)	 还挺搞笑的···            
(NA)	 七天·····可以好长，也可以好短·····            
(NA)	 竟然真的是演七天的事……            
(2星)	 没看完，不好看            
(5星)	 郭羡妮很优雅，很耐看            
(3星)	 其实老实说来/感觉没什么剧情/最初不过也是冲着黄宗泽.马浚伟去看的/唯一值得纪念的是/这似乎是我完完整整前前后后没有马虎看完的第一部港剧            
(2星)	 很差的一部片！            
(4星)	 终于看完了。最后大家都变得很peace，还模仿印度电影扭起了胯！            
(4星)	 3星都给马浚伟 一星给黄宗泽            
(4星)	 What a wonderful world~            
(3星)	 = =。。。不怎么样            
(3星)	 看中：这次TVB没按常理出牌，有意思。集我旧宠新宠于一剧，怎能不看♪(´ε｀ )！   看后：滥俗的结尾。            
(3星)	 一般呐            
(4星)	 刚看过，还不错，人物众多，线索多，还算说得清楚。就是小马这个角色让我觉得好作，都不知道为什么那么折腾。            
(4星)	 马仔好帅            
(4星)	 很创新的剧情，好看！            
(3星)	 开头比较吸引 后面越看越蒙            
(4星)	 最后放到邓健泓挺身而出坐牢的时候我还哭了呢~            
(4星)	 特别TVB的小本制作，其实汪太，唉。易早安其实没必要变得完美啊！            
(4星)	 喜欢黄宗泽            
(5星)	 诶，超级大贼最后还是没了。为什么电视剧里面的感性MAN都如此感性地自己一个人离世呢？            
(5星)	 马浚伟完全就是我的菜啊啊啊啊！！            
(5星)	 很多小配角都不错，有意思的电视剧。哈哈            
(4星)	 自从看了宫锁心玉后严重发现郭倩妮真的很丑。            
(5星)	 沈溺于剧情难以自拔            
(4星)	 D演员我都好麻麻 黄宗泽例外啦 剧情OK 噶 7日编剧可以林到甘多野 都几过瘾~内容都好丰富 几好笑~            
(4星)	 很有意义的七天            
(3星)	 其实是个蛮有戏剧性的故事，就是写的有点长，可以缩减掉两集的戏份，会紧凑实在点，结尾还行            
(NA)	 非常的错综复杂...            
(4星)	 结尾有集体舞的一刚，太TVB风格了，哈哈哈            
(4星)	 剧情很喜欢，结局出乎我意料            
(4星)	 还不错~不过我真不应该先看结局，这样感觉一定很不一样~            
(4星)	 故事情节很搞笑，几个演员演得都不错，只是结局有点美中不足~            
(3星)	 間中睇下就煲曬了.            
(5星)	 这部是我近期看过觉得编的很好的电视剧，不仅结合时事，也通过这个电视剧传达了人心向善的感动点。每个人，不论是主角还是配角都演得很到位，有个性，香港的演员真是厉害啊！结局有点俗套，但是还是挺感动的，值得一看，打分应该高一点！            
(NA)	 sonija美得不像話            
(4星)	 缘，妙不可言！7天的奇幻旅程，让人神往。。唯一意料之外的是本来以为最后阿bo会和肥妹在一起，哎。。            
(4星)	 越来越觉得黄宗泽很可爱~            
(4星)	 黄宗泽。。。。            
(3星)	 七天能编出一个故事，正像富贵说的，香港的电视剧就是自己搞出一堆事情来，再自己解决！我不得不说，Calvin那段因为生病选择离开，太老套了！            
(3星)	 好满的情节......就记得calvin最后的扮相很工藤优作...            
(3星)	 TVB也就这样了，打发时间的肥皂剧……            
(3星)	 a wonderful world~            
(3星)	 很有意思的情节。。不过有些地方过于拖沓。。            
(5星)	 好！波士高相当好！ 细节问题是岑宝儿的长发没有束起            
(3星)	 很港剧的 美剧故事            
(4星)	 黑色幽默.很喜欢马俊伟郭羡妮.            
(4星)	 算是这几年来tvb很好的一部剧了            
(4星)	 tvb好久没有这样吸引人的作品了            
(5星)	 又一部宿舍集体观看剧场！What a wonderful world !            
(3星)	 后劲不足~            
(4星)	 因为将人物和地点限制 所以 故事交缠在一起还挺有新意情侣大盗 搞笑绑匪 黑暗的有钱人 ····嗯呢~挺好看~            
(4星)	 剧情紧凑，人物性格突出。但部分演员演技太差            
(5星)	 难得的比较不错的电视            
(4星)	 马浚伟帅爆了            
(3星)	 港式结局。            
(5星)	 我好中意Calvin的            
(5星)	 我也有可能会这么做 呵呵            
(3星)	 易早安说“就算我骗到了全世界的人，都骗不到你。”这个看到后面都会看哭，唉~~总体评价一般啦，居然不是大团圆的结局，我以为真的有奇迹出现。            
(3星)	 很洋气的开头 但是故事展开得不是很好 结尾还把我囧到了……玩得佛 沃德类！！            
(NA)	 無聊到爆！            
(4星)	 终于看完了。好片。            
(3星)	 呢个主题够盏鬼 但系框死系7日内又真系有d局限性 不过故事情节都算可以噶 感情戏就真系麻麻了            
(NA)	 一部接一部的追 不过最近TVB的剧还真是一部不如一部，，话说我是冲着马仔和BOSCO去看的，，马仔演坏坏的男的还是挺帅的 不喜欢郭羡妮和郑欣宜 - - 邓健泓以前看老婆大人就喜欢了 这次也很出彩哟            
(3星)	 不够强心针啊！！我要强心针！！            
(4星)	 黄宗泽啊 黄宗泽            
(5星)	 TVB：没有特别讨厌的演员+尚可以的剧情=五星。我的要求真的不高，Hasta la vista！            
(5星)	 短期內無法超越的好片兒~            
(5星)	 难得tvb有这么饱满的剧情            
(4星)	 最喜欢的还是片尾的画面，主题很好！            
(4星)	 人生百态尽在7天展现 可惜人生精彩 却也没有这样执着的爱情存在            
(4星)	 hasta la vista            
(4星)	 一大堆故事里包着一个爱情故事。            
(4星)	 把这部剧当做喜剧看 乐趣很多~            
(3星)	 邓健泓是整部电视剧的亮点，哈哈！笨的太可爱了，“我是一个极度凶狠的绑匪，我不是一个服务员”。“人家就想要做服务员，为什么非要逼我做绑匪呢&#34;。            
(4星)	 真有爱            
(5星)	 总体而言，还不错的一部片子。紧凑，有趣！！            
(4星)	 7日浓缩。不容易            
(NA)	 第一次觉得马浚伟有些帅帅的。郭羡妮很美。不拖沓的情节，很聪明的剧情，黄宗泽还是不错滴。。。            
(5星)	 很对我最近胃口啊~~~            
(3星)	 无聊            
(NA)	 好看啊好看            
(4星)	 马浚伟还是那么帅啊~            
