http://movie.douban.com/subject/6389525/	钱多多嫁人记
(4星)	 故事不错，演员不错，就是拍摄上还差了点            
(3星)	 很搞笑，好看的，为啥评分这么低。            
(2星)	 我就喜欢李小冉! 职场短发女强人魅力无穷~~            
(3星)	 香飘飘又给赞助了吧……生活秀都跨国了o(╯□╰)o            
(2星)	 改编的太多了。痴迷湖南台电视剧的老妈都不看了，不说了。            
(3星)	 好好地非得拍成韩剧干嘛呢            
(2星)	 把原著小说在我心中美好的印象完全毁了            
(3星)	 冲着小冉的演技以及帅气的短发，我就期待着。可是男主角真是硬伤，起码口信都对不上，找的什么配音的啊。            
(1星)	 没话好讲            
(NA)	 嗯嗯，为了李小冉            
(1星)	 本来因为李小冉想看看的，昨天就在电视上瞄了5分钟，差点刺瞎我。那个棒子丑的我也不想说什么了，剧情还无比的老套雷人！李小冉怎么会接这种片子的！！！！            
(NA)	 关键是看李小冉，李小冉            
(3星)	 两星半 来围观张俪的  感情生活太乱了  分分合合  合合分分  明明二十集可以讲好的事   非熬成三十多集               
(2星)	 正在同步芒果台  那个背景解说的配的真你妹的难听。            
(3星)	 弃剧            
(1星)	 看了半集 太扯了 这种东西拍出来是为了糟蹋人类智商的么            
(1星)	 tmd这电视剧太二了！！！！！            
(2星)	 真的不咋地 剧情衔接很奇怪 莫名其妙的。多多她妈也忒过火了吧 至于嘛 他这么漂亮能干的闺女，咋总感觉是想当破烂赶紧弄出去啊。旁白跟鬼片似的。。。叶明申没这么窝囊吧。。。            
(3星)	 天雷阵阵啊，幸好还有李小冉。            
(3星)	 中国版的韩剧啊！！ 还蛮现代化的 ~ 音乐轻快            
