http://movie.douban.com/subject/1456579/	海绵宝宝 SpongeBob SquarePants
(5星)	 第一次看海绵宝宝已经18岁了 还是如此感动！            
(5星)	 亲爱的海绵宝宝            
(NA)	 Atlantis SquarePantis这集是个特别篇，爷的声线时间不算短~ 特意查了下当年已经60了，您是怎么憋出这么可爱又婉转的声音的？XDD~ 话说每挖一次都要再次祈祷您要是闲着没什么事儿就出来玩玩呗....            
(5星)	 洗碗擦儿方裤衩儿哈哈哈哈哈哈            
(5星)	 我准备好了！——海绵宝宝的经典台词。 一块又软又黄的海绵在海底自得其乐的生活。还记得那时每天和弟弟准时收看这片，后来时间调了变成了火车托马斯了。            
(5星)	 ！！！            
(5星)	 这部动画我是百看不厌，每一集、每个角色，都是最爱。            
(5星)	 大爱派大星啊            
(5星)	 最有人格魅力的角色没有之一！            
(4星)	 Why so serious?             
(5星)	 经典挚爱            
(5星)	 不解释！！！！！！！！！！！            
(5星)	 还是挺有意义的  不只是撕坏裤子  嘿嘿。。。            
(5星)	 亲爱的海绵宝宝和派大星            
(5星)	 我准备好了。我准备好了            
(5星)	 思想简单点，全力去生活吧！            
(5星)	 长大后喜欢的            
(1星)	 傻...            
(1星)	 不知道豆瓣怎么评分的，动画片好看多了啊，这电影完全乱扯啊            
(5星)	 我很是喜欢~            
(4星)	 看过一部分，有点神经质            
(5星)	 小蜗，我们一起来玩游戏吧~！            
(5星)	 竟然很感动            
(5星)	 好羡慕粗神经的娃……            
(5星)	 派大星~章鱼哥~            
(5星)	 看过N遍的动画片。。。每次看都心情好好！            
(4星)	 2            
(5星)	 一直在断断续续地看            
(NA)	 笑抽了            
(4星)	 很喜欢哦            
(NA)	 我也不知道我为嘛会喜欢这么2的一块儿黄海绵。Sponge Bob Square Pants！            
(NA)	    童年的回忆，经典，经久不衰            
(4星)	 …………这个真的是儿童动画吗我肿摸看到的片段都很重口味！            
(5星)	 l O V E            
(5星)	 就是 以前每天中午 十二点 和 环球财经连线 交叉着看的 。。很好            
(4星)	None
(5星)	 黄色的块块儿            
(5星)	 笑死了            
(5星)	 爱阿信说的那句“海绵宝宝的快乐，不是因为他住在一个大房子里，而是他有一个比大房子还要大的心房，和健忘的脑袋。”于是开始补看。            
(5星)	 我的海绵宝宝！！！            
(5星)	None
(5星)	 欢乐            
(5星)	 我最最最最最爱你。            
(5星)	 我爱死央视的配音了好吗            
(5星)	 为什么这个主演写得那么好笑 哈哈哈            
(3星)	 搞笑但是聒噪。剧场版很有意思。            
(5星)	 章鱼哥~哈哈哈哈哈            
(5星)	 可爱的海绵            
(5星)	None
(5星)	 我就喜欢这样不用脑子的动画哈哈            
(5星)	 蟹黄堡（¯﹃¯）            
(5星)	 帅气的海绵先生= =。            
(NA)	 喜欢里面的纯真            
(5星)	None
(5星)	 最爱的动画片！大爱啊！            
(5星)	 最爱！！！！！！！！！！！1            
(5星)	 抑郁，忧愁，犯抽的时候，看一集就都好了！超级超级喜欢！而且感人的时候，还曾经哭过！            
(5星)	 我今天看到了海绵宝宝英文的剧场版！配音真是不如国语啊！名字也没有国语版的有爱！派大星蟹老板章鱼哥和小蜗都有了正常的名字！这样不好！我好爱海绵宝宝的国语配音~爱屎了&gt;&lt;哈哈哈。看中文版去了。            
(NA)	 作为一个已经长大的人看过两集对周围人的态度郁闷的不得了。。。。看的中文版，听过配音演员的其他作品对这个声音的变化真心拜服了            
(5星)	 章鱼哥～            
(NA)	 ❤            
(5星)	 我准备好了 你准备好了吗？ 我准备好了！ 你准备好了吗？！            
(5星)	 多看多善良            
(5星)	 派达星我们去抓水母吧！            
(5星)	 精神病人思维广，弱智儿童欢乐多            
(5星)	 ！！！！！！！！！！！！！！            
(5星)	 我說我喜歡看海綿寶寶總是會惹得一些人嘲諷。我很奇怪，你沒看過你為何要嘲諷？這部片子在美國老少風靡，已經播到第八季了。“他是一种对生活的态度，一种看似玩乐不恭其实却在认真思考人生的态度，没有那些闭着眼睛也能想出来的说教，只是用最简单的形式最通俗易懂的幽默透露着人生智慧的点点滴滴。”            
(NA)	 最经典的是海绵宝宝的笑声，海绵宝宝和胖大星的友谊。            
(5星)	 哈哈哈洗碗擦方裤衩            
(5星)	 傻子章鱼哥...派大星好想你==             
(5星)	 各种喜欢不解释            
(5星)	 欢乐的洗碗擦儿方裤衩儿。            
(5星)	 太可乐了，我爱派塔星            
(5星)	 内涵片~            
(5星)	 派大星            
(4星)	 浅浅忧郁症。。。哈哈哈。。。            
(5星)	 我爱他!            
(3星)	 呃。。。还行。。。周围很多人喜欢。。。            
(5星)	 爱死拉哈哈            
(5星)	 绝对经典不解释！！！！            
(5星)	 我喜欢你，海绵宝宝。你是我的二货朋友~            
(NA)	 那会儿在外地出长差，周日早上起来躺在床上看海绵宝宝实在是挺惬意的事情            
(5星)	 海绵宝宝！！！            
(5星)	 以后有小孩子一定要让他看海绵宝宝！！！不能受喜羊羊的毒害            
(5星)	 超级善良毫无心机一天到晚叽喳闹腾不完的海绵宝宝，成了多多这个冬季最爱的卡通形象。他经常一个人坐在沙发上跟着台词毫无顾忌的哈哈大笑。多多妈在书房里直感叹童年真无忌。            
(5星)	 哈哈，每集必看啊。派大星多傻×啊~~哈哈            
(5星)	 我爱派大星！！！            
(5星)	 爱死你这个黄色块块了！！            
(5星)	 好看            
(5星)	 羡慕海绵宝宝傻傻的和派大星在一起……            
(4星)	 派大星你要永远陪着海绵宝宝。            
(NA)	 Spongebob Squarepants~- Are ya ready kids? - Aye, Captain.-  I can&#39;t hear you.- Aye, Captain!            
(5星)	 大爱穿裤子的小方块儿~大于儿叫他发糕爷爷 哈哈哈哈哈~            
(4星)	 我~~准备好啦~~你~~准备好了吗~~。            
(5星)	 因我弟有幸看过这部。            
(4星)	 这货可欢乐了！            
(5星)	 i can here you(*Φ皿Φ*)            
(5星)	 居然是高三时候每天在小饭桌看的……我那颠倒的岁月~            
(5星)	 我喜欢派大星            
(5星)	 大爱啊，还是小神龙俱乐部的年代            
(5星)	None
(5星)	 十足的美式幽默。            
(5星)	 大哈哈哈哈哈 完全囧死别人            
(4星)	 神经质海绵宝宝，跳跃思维海绵宝宝            
(NA)	 看过一部分            
(NA)	 太棒了~~~Fabulous~~~            
(5星)	 生活的哲理            
(4星)	 达观的海绵阿宝            
(4星)	 多么可靠地朋友啊，呵呵            
(5星)	 还是更喜欢派大星~            
(5星)	 忧伤的心情啊~海绵宝宝最欢乐~            
(5星)	 经典            
(5星)	 笑点太多了 还有中文配音很不错            
(5星)	 原来我还真的不知道为什么大家都喜欢海绵宝宝。声音又难听还弱智。可是慢慢的我就爱上了他们，即使是惹人讨厌的章鱼哥。最爱小蜗~            
(5星)	 爱，友情，善良~~            
(5星)	 啊哈哈哈。。海绵宝宝。。            
(5星)	 首先画面感没的说了。            
(5星)	 超二！哈哈！            
(5星)	 各种给力，想当年在朝廷台看了好久。。。            
(NA)	 超级无敌大喜欢！！！！            
(NA)	 好喜欢这个。            
(NA)	 章鱼哥是灵魂人物            
(5星)	 准备好了~            
(3星)	 不晓得为什么那么多人那么喜欢。。            
(5星)	 ！！！            
(5星)	 哦~派大星~~~章鱼哥~~~工作工作~~~            
(5星)	 放射状式泪崩。            
(NA)	 带来了好多的欢乐            
(5星)	 很贱的动画片。            
(NA)	 嘻嘻嘻i嘻嘻嘻嘻嘻嘻。。。我跟哥哥都爱看。            
(5星)	 海绵宝宝的翻译挺棒            
(5星)	 spongebob！            
(5星)	 萌货一枚            
(4星)	 “海——绵——宝——宝——呃”我永远都会记得            
(5星)	 不解释……            
(5星)	 派大星耶            
(4星)	 无比欢乐，各种颠覆，哈哈！            
(NA)	 一定要看 一定看~~~            
(2星)	 2            
(5星)	 跟Depp有什麽關係嗎？            
(5星)	 谢特！海绵宝宝是真的很萌好吗！            
(3星)	 造型问题 造型问题            
(5星)	 SpongeBob SquarePants。。。。。            
(5星)	 谁没二儿过~            
(4星)	 太残念了，不过还真亲切，像找到了知音            
(5星)	 好看！！！            
(5星)	 海面宝宝的生活智慧！！            
(5星)	  Tom Kenny ... SpongeBob SquarePants (洗碗擦儿方裤衩儿) / Bill Fagerbakke ... Patrick Star (肚脐眼儿海星) / Mr. Lawrence ... Various (宠物蜗牛儿GARY等)这注释很贴切            
(NA)	 实在是太经典了            
(3星)	 - -  卧槽  只有我给这个分么            
(5星)	 傻瓜式的纯真，一直喜欢着。            
(3星)	 最爱的是那首歌。其实我更喜欢派大星。派大星和海绵宝宝缺一不可            
(5星)	 居然是强尼德普配音！！！！！！            
(5星)	 什么时候才能找到我的派大星啊            
(5星)	 永远乐天。永远一颗红心。永远热泪盈眶不知好歹。            
(5星)	 我的最爱            
(4星)	 这片儿和约翰尼德普有啥关系啊？            
(5星)	 派大星应该跟章鱼哥成为朋友然后一起去整装逼范儿的海绵宝宝            
(5星)	 一个傻逼黄方块和更傻逼的粉红色傻海星及若干可爱配角的故事            
(5星)	 不开心的时候就看看它~            
(5星)	 最爱啊~我居然忘记加进去了~            
(NA)	 我也好想有一个派大星 在我的生命离            
(5星)	  海绵宝宝很可爱，有笑点            
(5星)	 很二很有爱            
(NA)	 海绵宝宝是最伟大的动画片。            
(4星)	 怀念高三中午集体偷看海绵宝宝的日子            
(5星)	 啦啦啦            
(5星)	 我爱他们！！！            
(5星)	 海绵宝宝！！！我准备好了你准备好了吗！！            
(NA)	 穿短褲的黃色方塊            
(4星)	 你好啊~派大星            
(5星)	 神经病每天都很开心            
(5星)	 我是海绵宝宝 你是章鱼哥 哇哈哈            
(5星)	 如此睿智的疯狂，如此成熟的幼稚。            
(5星)	 真正的朋友是什么？就像海绵宝宝和派大星一样，当他抽风时，派大星会和他一起抽风。PS：我喜欢小蜗。            
(5星)	 我真愿意给十颗星！！假期之良伴，减压之妙方！！            
(NA)	 哦~章鱼哥~~            
(NA)	 海绵宝宝和派大星            
(4星)	 本来很喜欢~天天中午锁定动漫世界 趴在电视上看~不过这片都好几年了 记得我5年纪看的~现在边上的同学,甭说是看过的，没看过的~都在那说很喜欢很喜欢之类的~受不了了~感觉好装啊~有必要吗~~~~~~唉~反正我是感觉无语了~不是对这片，是对我那些同学~            
(5星)	 噢我最亲爱的海绵宝~            
(5星)	 我真的是对海绵宝宝和派大星无语了呀。。。真想把他俩和小蜗一起带回家！！！            
(NA)	 小时候看过三四遍，欢乐无穷。可惜现在电视台不放了。            
(5星)	 一直一直爱海绵宝宝派大星~\(≧▽≦)/~            
(4星)	 不觉得哪里好笑了            
(5星)	 我就是傻就是傻又怎样？？？            
(5星)	 美国            
(5星)	 就是爱这块海绵            
(5星)	 洗碗擦儿方裤衩儿。。。。            
(5星)	 初中时热映，让我忘记中考。            
(5星)	 搞笑，节奏轻快，总之难得一见的            
(4星)	 只有两颗的牙齿，大大的鼓鼓的眼睛，上面只有三根睫毛小意思意思。一笑就有咯咯咯的声音。永远都穿着红领带的小衣服。只是不喜欢有些夸张这种简单的有趣的动画造型啊。            
(4星)	 海膽星 ~~~~             
(2星)	 这风格不适合我。。            
(NA)	 我们是好朋友。。啊，不是。            
(5星)	 超级无厘头，欢乐欢乐            
(3星)	 没想到小乖这么喜欢他，我们就像树和树皮一样好~            
(5星)	 真的是很经典好看            
(1星)	 ==尼玛看了就不舒服……            
(5星)	 有时候看了就想笑：P            
(5星)	 笑到不行~            
(5星)	 i~m ready!!!哈哈            
(5星)	 今天考驾照的这集快把我笑疯了……            
(5星)	None
(5星)	 萌翻了  哈哈~            
(5星)	 给我两毛五            
(5星)	 哈哈哈哈 我准备好啦 我准备好啦             
(5星)	 小时看的，现在想起来很汗。            
(5星)	 不喜欢派大星 好喜欢章鱼哥  不过总体来说比奇堡的一切我都喜欢  除了史努比以外最喜欢的动画  希望能永远不要完结的动画            
(5星)	 海绵宝宝的工资是50$每小时。            
(3星)	 无感，无数次组织姐夫想给我买海绵宝宝睡衣的念头             
(4星)	 啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈~~~            
(5星)	 还是中文配音更贱一点儿。。哈            
(NA)	 经典形象            
(5星)	 哈哈哈，有段时间我几乎天天看啊，然后待在一个人的房间咧着嘴傻乐啊！            
(5星)	 这个是高中时候缓解压力看的电影，海绵宝宝夸张、搞笑，又不乏弱智的各种古怪行为，相信你们也会喜欢，评价很高的动画，想象力很丰富的！！            
(5星)	 原名貌似叫做方内裤鲍勃 最后在中国改了名字，我还是喜欢海绵宝宝~            
(5星)	 （注意语调！）海绵宝宝～～～～～～～～！            
(5星)	 这货反复看八遍。每次都能看笑死。            
(NA)	 SpongeBob SquarePants。            
(NA)	 莫名其妙就是喜欢内            
(3星)	 为何评分那么高哇            
(5星)	 穿着方裤裤和派大星一起吹泡泡才是正经事            
(5星)	 绝对好玩。但据研究，儿童看了之后会心神不宁            
(5星)	 原来还海绵宝宝1999就有了!            
(5星)	 没有不爱他的理由            
(5星)	 aye aye captain!!!            
(5星)	 哦、哦、喜欢喜欢            
(5星)	 海绵宝宝有派大星陪着 好幸福            
(4星)	 根本就是成人动画嘛~哈，是我最喜欢的            
(5星)	 当初高三每天晚上准时守候中央少儿频道看海绵宝宝~~陪了我一个高三啊~好难忘~~            
(4星)	 4、5、6            
(5星)	 那天问我初二的弟弟，你觉得海绵宝宝怎么样。他说还行，蛮有意思，一般吧。 我顿时有一种自己很2的赶脚，因为我喜欢这个动画片喜欢的不行,真不敢相信..这是真的吗？这不是真的吧？            
(5星)	 可爱至极~~~~~            
(5星)	 很神经质，很7，但我喜欢。            
(5星)	 很喜欢海绵宝宝不喘气的说一堆话 派大星就是个受            
(5星)	 以前大半夜不睡。看得都是海绵宝宝。            
(5星)	 好爱它们的友谊            
(5星)	 喜欢小蜗。。。            
(5星)	 风靡自有原因            
(5星)	 爱死了            
(5星)	 最爱国语版配音！            
(NA)	 派大星，派大星，派大星，臭海星，别想丢下海绵宝宝            
(5星)	 看到海绵宝宝我就充满希望~~~            
(5星)	 ~~~            
(5星)	 不说什么了，二到家就是他            
(NA)	 非常喜欢他，可是却一直忘了把他加上            
(4星)	 喜欢 虽然幼稚了点真的时有感动            
(5星)	 心里最...简单而快乐的地方。            
(5星)	 最爱就是你了小海绵！还有你的好朋友！粉红花裤衩！            
(5星)	 治愈系。一直都是。            
(5星)	 娘的 我爱这个方家伙             
(5星)	 ~            
(5星)	 嘻嘻~~~我就是长不大~~            
(5星)	 很欢乐            
(5星)	 永远的最爱！我准备好了！            
(5星)	 你懂得            
(5星)	 非常好看            
(5星)	 我竟然忘记加了对我人生有过如此巨大影响的动画片，不是人生片            
(5星)	 实在是太可爱了！个人不喜欢中文翻译！总之太搞笑了！愉快！            
(5星)	 必须五星~~            
(5星)	 永远的好朋友            
(5星)	 这块海绵虽然有点二，但我喜欢。            
(5星)	 I love it!            
(5星)	 好好看lol            
(5星)	 我爱海绵宝宝！！！！            
(5星)	 太喜欢他了            
(4星)	 我爱我爱我爱~中文版！            
(5星)	 我准备好了我准备好了！！！            
(4星)	 我自己下下来看完整了            
(5星)	 太太太太太好看了~~            
(5星)	 超级超级喜欢这个黄块块和他的朋友们。最喜欢的动画片，之一。            
(5星)	 挚爱            
(5星)	 我的最爱~~            
(5星)	 超级可爱的说~~~            
(5星)	 这个必须满分。内裤都是海绵宝宝的            
(5星)	 爱死了~            
(5星)	 只能说......很喜欢            
(4星)	 挺好~~不过啥东西上了岸就可傻呆呆            
(5星)	 我是派大星。。。            
(5星)	 高三每天中午都看中央少儿频道。。。            
(5星)	 除了猫和老鼠~不不~和猫和老鼠并驾齐驱！！            
(5星)	 姐16了依然爱海绵~~            
(NA)	 考研的时候唯一的消遣            
(5星)	 5颗❤肿么够            
(5星)	 我准备好了~            
(5星)	 大爱            
(4星)	 海绵宝宝很Q，派大星很2，章鱼哥很现实，小蜗比章鱼哥还现实，有珍妮就很不好看~            
(NA)	 我爱他轰轰烈烈最疯狂！            
(5星)	 永远的最爱~            
(5星)	 不需要评论。            
(5星)	 在每集里面都能有2个小小的生活真理或是人生态度。积极乐观的海绵宝宝,大爱啊！！            
(5星)	 在CCAV 看的。很搞笑，很对味            
(5星)	 我……！！！！！！！            
(NA)	 始终觉得海绵宝宝和胖大星很搭啊，而小蜗可以和皮老板在一起~            
(5星)	 TAT            
(5星)	 好看的不得了~            
(4星)	
(NA)	  爱。            
(5星)	 大大地爱~~            
(5星)	 咩~            
(5星)	 一定要看英文版的！aye, aye captain.            
(4星)	 我爱海绵宝宝~~~            
(5星)	 爱爱爱！！            
(NA)	 不可能停止的欢笑  我爱你            
(5星)	 是的，我爱他，看了第一集就爱上他了。            
(4星)	 派大星            
(5星)	 真是拒绝不了的爱啊            
(5星)	 派大星永远和海绵宝宝在一起。。。            
(5星)	 穷开心            
(5星)	 我高中就指这个过的。。。            
(NA)	 海绵宝宝和派大星是最佳组合            
(5星)	 小铲铲~            
(5星)	 超爱的~~            
(5星)	 超五星            
(5星)	 呵呵....海绵宝宝你永远在玩冷幽默....            
(5星)	 来个蟹黄堡啊！！            
(5星)	 我准备好了！！我准备好了！！！永远是乐观的一块海绵！！            
(5星)	 海绵宝宝！我要去比基尼海滩找你！吃蟹黄堡！！！            
(5星)	 最喜欢海绵宝宝追逐水母那段·······太搞笑了······            
(5星)	 高中时遇到一个一样很喜欢看海绵宝宝的银~~~而且她的笑声很像海绵宝宝！！！            
(5星)	 很可爱            
(NA)	 我准备好了！            
(5星)	 这坨黄色的死海绵~~            
(5星)	 海绵宝宝为什么总是折磨派大星，海绵宝宝为什么总拿派大星开玩笑，海绵宝宝为什么什么事都要麻烦派大星，海绵宝宝...派大星...海绵宝宝....派大星，因为他们是非常非常好的朋友！            
(5星)	 99年！为什么我上高中才看到！！            
(5星)	 海底的纯真世界~~~            
(NA)	 很好看，海绵宝宝永远都是那么开心，很有感染力。            
(5星)	 你怎么能拒绝这个蠢得可爱的小傻逼。            
(5星)	 我爱海绵宝宝            
(4星)	 就是喜欢这个 然后放假的时候买了盗版碟天天的看            
(5星)	 其实就是幼儿动画嘛            
(5星)	 亲爱的海绵宝宝哦，，，，我为什么会那么爱你哦~~~            
(5星)	 海绵宝宝是幸福的，有派大星陪着一起2.最好的朋友不是看你2，而是陪你2            
(NA)	 喜欢海面宝宝的傻，喜欢他的真诚，喜欢他的乐观，喜欢他的爽朗的笑            
(4星)	 黄黄的，傻傻的，看着无忧无虑~~            
(5星)	 虽然海绵宝宝傻傻的，但是我确实在它的身上懂得了好多好多。            
(NA)	 他可以那么快乐。我也可以。            
(5星)	 超爱海绵宝宝的，哈哈            
(NA)	 大爱啊。            
(5星)	 非常快乐的动画片，很可爱            
(5星)	 bob，没有love~~~~            
(5星)	 OMG            
(5星)	 以后有小孩子一定要让他看海绵宝宝！！！不能受喜羊羊的毒害            
(5星)	 1999年的啊            
(5星)	 大爱啊大爱            
(5星)	 我莫名其妙的发现我还是喜欢章鱼哥多一些。            
(5星)	 完美            
(5星)	 配音啊 配音啊            
(5星)	 买回家蹂躏            
(5星)	 大爱海绵宝宝 。这个没的说。            
(5星)	 章鱼哥 章鱼哥 章鱼哥            
(5星)	 这是陪偶儿子一起看的，真的不错，很励志，很搞笑            
(4星)	 想象力绝对一流！没了美国的英雄主义，倒有不少他们的傻乐精神哈~每集结尾总归要冷一记            
(NA)	 哈？这是德普的作品？？            
(5星)	 我就爱你那两颗洁白的大门牙。            
(5星)	None
(5星)	 善良的250的故事            
(5星)	 没有什么动画能够比海绵宝宝更能打动我，也没有什么动画人物能够超越我对海绵宝宝的热爱！            
(5星)	 嗨，我准备好了            
(NA)	 很爱这家伙！            
(5星)	 你被治愈了么？            
(5星)	 章鱼哥你准备好了吗            
(5星)	 小海绵！            
(5星)	 快乐的海绵宝宝，和他的搞笑朋友派大星            
(5星)	 派大星，我准备好了！！！            
(5星)	 我爱海绵宝宝啊啊啊啊啊啊            
(4星)	 过年的那段时间CCTV6播放了好几次            
(5星)	 会笑抽。。。感觉有点精神分裂 哈哈哈            
(5星)	 啊 哈哈哈..~            
(5星)	 还是中文配音比较好            
(5星)	 喜欢！！就喜欢这个调调！            
(NA)	 弟弟天意的最爱            
(5星)	 o(╯□╰)o 喜欢海绵宝宝的NC和2             
(NA)	 我爱我爱            
(5星)	 我想吃蟹黄堡有木有！！！            
(5星)	 央视播的配音超级讨喜 傻蛋海绵BB  在他身上看到各种荒唐简单傻X的生活状态 派大星啊你么傻得这么可恨嘞咬死你啊            
(NA)	 派大星~            
(NA)	 看海绵宝宝，得到的不只是欢乐。            
(5星)	 快乐的生活吧            
(NA)	 喜欢得不得了的片子！！            
(5星)	 海绵宝宝的笑我永远学不会            
(5星)	 我是派大星，求海绵宝宝！            
(5星)	  哈哈 大爱的让人心情好的好东西呀 虽然很幼稚 但有时很给人启发            
(5星)	 幸福的海绵大宝，身边一直都有派大星陪着~一起捉水母，一起气章鱼哥，一起2，一起快乐的生活在一起！突然——好羡慕大宝呀~            
(5星)	 最爱看的动画片            
(5星)	 我跟胖大星的友谊天长地久。            
(NA)	 准备好了么准备好了么            
(5星)	 多想像你一样啊            
(5星)	 永远那么2，永远那么开心~            
(5星)	 嗨~派大星            
(4星)	 没有海绵宝宝的童年是不完整的            
(NA)	 一直二下去。。。            
(5星)	None
(5星)	 萌物            
(NA)	 和我一岁半的小外甥女一起看时，特别有感觉~我最喜欢派大星！            
(4星)	 海绵宝宝~胖大星~~            
(5星)	 非常欢乐，和一般的美国卡通不太一样，海绵宝宝善良，聪明，勤劳，诚实，很乖很听话，多才多艺，天真可爱，对朋友忠诚，（哎呀呀，永远的派大星啊）所有的小朋友都是这样子就好了。虽然这么说着很牙疼，但是郁闷的时候看这个真的很欢乐。            
(3星)	 长大了再看觉得没有什么了- -            
(5星)	 喜欢里面的每个人物，太欢乐了            
(5星)	 每次一看到海绵宝宝 嘴就傻逼兮兮的咧开合不住了。            
(5星)	 只是单纯的笑。            
(3星)	 喜欢看            
(NA)	 。。。很冷的笑话哈哈。            
(5星)	 章鱼哥我们去抓水母吧。  我~准备好了~ 我准备好了            
(5星)	 最喜欢的美国动画片，太好看了，海绵宝宝，胖大星，章鱼哥。。。太好笑了            
(NA)	 我爱派大星 哈哈            
(NA)	 我很爱它。            
(5星)	 我什么时候可以像海绵宝宝一样喜欢去上班？            
(NA)	 大爱海绵宝宝            
(4星)	 好可爱丫~~            
(5星)	 我准备好了！！！！！            
(4星)	 也是经典啊            
(5星)	 这是一定的阿哈哈哈、            
(5星)	None
(5星)	 很二的治愈系~            
(5星)	 永远的不离不弃~~最爱~~~            
(5星)	 其实派大星            
(NA)	 海绵宝宝永远快乐            
(5星)	 好到了极致            
(5星)	 绝对顶啊 我准备好了啊            
(5星)	 居然有这个！！！啊啊啊啊啊啊，内牛满面！！！            
(4星)	 海星好可爱呀            
(5星)	 其实超喜欢派大星啊我以前一直以为他叫胖胖星啊            
(NA)	 我家阿信的最爱~~~            
(NA)	 海绵宝宝2吗？不2。章鱼哥讨厌海绵宝宝吗？章鱼哥很爱海绵宝宝。派大星真的智商为0吗？派大星TMD是个天才！！！            
(5星)	 天哪。不要这么可爱好不好？            
(4星)	None
(NA)	 有人陪他一起。            
(5星)	 每天蹲守央视的孩子你们伤不起            
(5星)	 保持心中的小孩            
(5星)	 我真的好爱你。            
(5星)	 真希望我对枯燥工作、抠门上司和唠叨同事也有如此热情。            
(5星)	 我喜欢派大星！            
(3星)	 是谁住在深海的大凤梨里……海绵宝宝！！            
(5星)	 海绵宝宝~~我喜欢的~~            
(5星)	 超级喜欢！！！            
(5星)	 我准备好了我准备好了我准备好了！！            
(5星)	 嘿嘿～～～最最爱的小可爱            
(4星)	 死去吧！            
(5星)	 这是我最喜欢的！!啊~~~~~~~~~~~~~~~~~~~~~~~~~            
(NA)	 黄色小方块 怎能不爱            
(4星)	 好。            
(3星)	 我讨厌这块贱贱的海绵            
(NA)	 海绵宝宝，海绵海绵宝宝。            
(5星)	 我是海绵宝宝控。            
(5星)	 爱到不行            
(5星)	 我有一位派大星            
(5星)	 可爱。            
(4星)	 跟侄子一起看的！            
(5星)	 海绵宝宝！啪嗒星！章鱼哥！蟹老板！            
(5星)	 中文配音的海绵宝宝就是神！！！！愿意无限次回看的动画片……            
(5星)	 满分！！            
(5星)	 呜呜~~            
(4星)	 海绵宝宝说话挺有道理的。            
(5星)	 ~最爱的卡通！            
(5星)	 二的人很多 会陪你一起二的人不多            
(4星)	 希望有派大星这样一个好朋友            
(5星)	 太棒了            
(NA)	 他疯了么 我疯了            
(4星)	 看过一些             
(NA)	 大爱            
(NA)	 哈哈哈~~~每次看都很开心；）            
(5星)	 美式幽默的动画。有意思哈哈            
(5星)	 快乐的海面宝宝！他是那么得热爱他的工作，乐观开朗。还有弱智派大星，经常无理取闹，但也无法阻止他们成为最好的朋友。            
(5星)	 你有没有一个可以陪你一起2的朋友？            
(5星)	 SpongeBob            
(4星)	 我爱的是大大粉粉的派大星啊...            
(5星)	 准备好了吗？？我准备好了。今天是个重要的日子小窝。。            
(5星)	 特别喜欢，要是电视里一直播可以看一下午~上午睡觉晚上出去玩··            
(5星)	 超级喜欢这个聒噪的小方块            
(5星)	 我有个好朋友，派大星！            
(5星)	 超爱海绵宝宝            
(NA)	 哈哈哈哈超爱！            
(5星)	 超级可爱~~真的好看，不白痴的动画~啊哈哈哈~~            
(NA)	 我是谢黄宝。            
(4星)	 谁的生活不是充满水的海绵呢？有时候一个裤衩就够了            
(5星)	 海绵宝宝，你可知道我有多爱你，那份独特的神经质。            
(4星)	 - -！            
(5星)	 和海绵宝宝一起 很2很快乐            
(5星)	 很简单的快乐。            
(5星)	 最爱            
(5星)	 是你的笑声和表情让我知道世界上真的有天使。喜欢听你大喊着 我准备好了！喜欢你总是陪伴在派大星的身边喜欢你一成不变的单纯和热心我爱你海绵宝宝            
(5星)	 可爱 烂漫 最爱之一！            
(NA)	 海绵宝宝，海绵宝宝，海绵宝宝……            
(5星)	 爱海绵宝宝~~            
(5星)	 解压啊···            
(4星)	 总有那么一个朋友，愿意陪你一起2            
(NA)	 最爱派大星！            
(5星)	 章魚哥章魚哥～╮〔╯。╰〕╭            
(5星)	 晦涩            
(5星)	 你知道的，经典而已            
(5星)	 ╮(╯﹏╰）╭曾经一段时间当做睡前动画……放松神经            
(5星)	 我准备好了！！我准备好了！！            
(5星)	 相当的热爱。            
(3星)	 哦~海绵宝宝和派大星~！            
(5星)	 大晚上看的，妈妈一直催着睡觉。可是还是挡不住对你的喜欢啊~            
(5星)	 中午在班里偷偷看~~            
(5星)	 哇喔~章鱼哥！！            
(NA)	 我喜欢海绵宝宝            
(5星)	 海面宝宝的全集我都看咯。爱爱爱            
(NA)	 喜欢的大海绵。            
(5星)	 海绵宝宝之所以快乐 是因为有派大星和他一起二            
(5星)	 哈哈哈哈哈            
(5星)	 不看还是人吗？            
(5星)	 巨爱            
(NA)	 特喜欢            
(5星)	 赞！非常棒的动画！            
(4星)	 有你一半快乐我就满足~            
(5星)	 我也想有个派大星            
(5星)	 我的最爱~！！            
(5星)	 喜欢死了~            
(NA)	 这要命的海绵和海星            
(4星)	 人物跟剧情都很棒            
(4星)	 Johnny Depp最受好评的作品==            
(4星)	 给中国一百年，怕是也造不出这样有趣的东西。中国动画首先画工粗糙，其次内容单调，要么是单一的说教，要么是无聊的白痴级作品。            
(5星)	 最爱= =            
(5星)	 我肿么那么洗翻你~            
(5星)	 。。。。。。。。。            
(5星)	 看呐，万里无云的天空上飘着一朵云            
(5星)	 最爱他了。            
(5星)	 虽然很白痴。可是我们不就是涂个喜欢吗。哦~派大星。            
(5星)	 嘿嘿 我爱海绵宝宝            
(5星)	 屡屡戳中笑点            
(5星)	 我的最爱            
(5星)	 我准备好了我准备好了%&gt;_&lt;%            
(NA)	 （海绵宝宝音）呼叫胖大星... 呼叫胖大星...            
(5星)	 哈哈哈哈            
