http://movie.douban.com/subject/2342557/	红苹果乐园
(1星)	 丑人多作怪...傻到家了            
(3星)	 不知道你还记不记得当年的红苹果，记不记得红遍全国的A5，虽然他们如流星般一闪而过，却也闪过无数的校园记忆            
(3星)	 额。。。            
(2星)	 尼玛！！恶心！！            
(1星)	 短暂的生命里浪费了不少时间看这些港台大陆小肥皂剧            
(2星)	 哈我想起那些人还有我的小时候 就觉得搞笑            
(NA)	 是筱晴吧！！            
(5星)	 那个时候巨喜欢看~~            
(1星)	 天雷滚滚啊，一群傻逼！！！            
(3星)	 小时记忆啊            
(3星)	 两女的现在都还算活跃，男的一个都没记住，现在也看不到了。            
(NA)	 哈哈哈哈哈！！！            
(3星)	 三星半。            
(3星)	 OMG。。            
(3星)	 有点模仿流星花园。。。不过不喜欢萧晴。。。可豪。。。也没很帅- -            
(NA)	 雷。。            
(3星)	 不说了            
(4星)	 曾经风靡一时啊、            
(3星)	 3星也只是当年觉得还行。            
(1星)	 我要很悲痛地承认....少女时代都在这种片子里混过去了...苍天啊！我摊上一个多么倒霉的少女时代啊！            
(NA)	 那年夏天，我多爱看的红苹果啊。            
(1星)	 当时看的都是雷点啊~            
(NA)	 当年真是脑子秀逗了            
(NA)	 觉得很一般吧，没多大印象。            
(1星)	 坑娘啊。            
(NA)	 = =            
(1星)	 连脸都不好看 还想怎样...            
(1星)	 。。。。。            
(3星)	 每个人都有不堪回首的往事。。。但是，我喜欢浦蒲~啦啦啦~            
(3星)	 当时电视上放的时候上初三 大家都很迷这部剧哪 幻想自己也和五个帅哥住在红苹果之家 会是怎样的情形  也许也只是童年的记忆了            
(4星)	 我觉得其实还行啊- -啊原来这是内地的我一直以为台湾的我擦- -            
(2星)	 当年还看过两遍 因为电视总放            
(2星)	 完全抄袭啊。。。            
(NA)	 小时候特别喜欢 现在觉得恶心            
(1星)	 我小时候居然还挺爱看···一群2            
(3星)	 刚发现我还看过这个。。恩。。这部算是中国第一部偶像剧么。。            
(NA)	 不能无视了这剧 。。。            
(3星)	 心痛的发现我其实看过。            
(2星)	 好吧 我承认我曾经看过……            
(3星)	 好歹也是勾引了对大学的向往吧，啥学院的。挺美。            
(NA)	 好看            
(2星)	 内地偶像剧当时也就这水平吧。黄圣依惊艳了。            
(NA)	 我当时就没觉得里面谁好看啦            
(1星)	 不是一般的雷啊，这回真的女猪脚了，男的也只有叫什么曲鑫的能看看。            
(3星)	 小时候的回忆            
(1星)	 狗血啊~~~            
(2星)	 我靠我看过的囧剧真够多啊            
(NA)	 好看。喜欢那个很拽的男主角，尤其他后来去主持节目剪了短发。喜欢馨子。            
(3星)	 不怎么的            
(2星)	 好土的造型……            
(2星)	 雷剧            
(1星)	 傻啊。。。            
(1星)	 不好意思，居然又看过，还追着剧情看~~~小时候还真不懂事啊~~~            
(NA)	 。。。。。            
(NA)	 一个充满神秘色彩、令人向往的红苹果之家。。。。            
(NA)	 雷片中的雷片。            
(2星)	 我记得那个时候还是很红的呀。。吐槽无力了            
(2星)	 分明就是我童年的回忆阿。            
(3星)	 = = 年少无知的时候喜欢看。。。            
(3星)	 就是看过啊            
(2星)	 据说当时我还很迷可豪的说.........            
(3星)	 现在看真心觉得萧晴好丑！！！尓豪好搓！！ 我尼玛当时还很喜欢尓豪！！！原谅03年才13岁的自己吧！！            
(5星)	 从来没看过这么好的电视剧            
(3星)	 我从小就不喜欢那个萧晴，长得真丑，不过这也算内地偶像剧的鼻祖了            
(NA)	 太烂了 太烂了  当年我才十多岁就觉得烂的不行了            
(1星)	 尼玛劳纸还买过碟啊            
(1星)	 天雷啊尼玛！！！！！！！！            
(2星)	 确实很差 特别是长头发那男的普通话 听得我很蛋疼            
(1星)	 看着就很反胃 但是越恶心的东西越想看下去 人呐就是这么找虐            
(1星)	 黄圣依肯定被潜了````            
(NA)	 知道看第二遍的时候我才发觉自己有多蠢，那我从前得是有多蠢啊！            
(1星)	 哈哈哈            
(1星)	 问：到底是红的青的乐园？答：是烂的。            
(NA)	 我竟然看完了...我那残破的青春啊            
(2星)	 实在没看着哪有好的地方            
(2星)	 演技.................!!!!!!            
(3星)	 有回忆            
(3星)	 童年回忆啊啊啊。就不喜欢最大的那个男的。。。            
(NA)	 噗            
(1星)	 如果能遇见小时候的我，我一定在自己看这部恐怖片的时候戳瞎自己的双眼。            
(1星)	 我去。。当年看可豪跟萧晴抱抱激动死了要             
(2星)	 我一直很想知道他们住的那个地方在什么路上。。。            
(3星)	 童年的回忆。 当时，疯狂的喜欢。            
(2星)	 整個一個做作電視劇            
(1星)	 岂一个俗字得了。            
(3星)	 小学时看的津津乐道。            
(NA)	 当时就觉得这几个红不了            
(3星)	 黄圣依在这里面还挺漂亮的，可恶的前女友。这片子真难看！！            
(3星)	 恩，其实确实会很开心的            
(3星)	 为什么我看了这么多傻逼电视剧啊            
(NA)	 哈哈A5            
(2星)	 小时候有好好看有木有！那时候觉得黄圣依真漂亮有木有！！！A5什么的各种惊吓有木有！！！            
(3星)	 呵呵，没啥好说的。            
(2星)	None
(1星)	 无力吐槽了            
(2星)	 其实当喜剧看还是可以的...            
(2星)	 我當年還喜歡過那個盛超啊 我噴            
(1星)	 呃，原来我有看过……            
(2星)	 烂演技实在看的我很恶心            
(3星)	 当年是真火。            
(NA)	 不堪回首的當年            
(3星)	 现在想起来真够狗血的。            
(1星)	 我擦            
(1星)	 边看边骂，骂完再看，好开心啊！！！！            
(NA)	 印象中是初二那年看的吧，好像还有蓝色生死恋…真是一个地下，一个天上啊            
(2星)	 好吧青春的日子里还是需要点纪念的= =            
(NA)	 当年还蛮稀饭A5的，还在路上碰见过盛超要了签名，嘿嘿            
(1星)	 吐！那个请的什么演员啊，以前还有好多同学喜欢            
(4星)	 还挺雷人的..            
(3星)	 这分打得真纠结。它陪我度过小学单纯的时光，想当年我真的是深深喜欢上它。绝对是懵懂年纪阿。            
(2星)	 以前觉得还行 现在想想 整一个雷字            
(2星)	 山寨            
(2星)	 国产偶像剧很悲催啊            
(2星)	   那時真的很無聊…………            
(2星)	 其实我挺想给五星的当年看的其实很欢乐但是为了我的高端形象……            
(3星)	 当年看追着看啊....啊呜~嫌弃我自己啊~~~~            
(NA)	 人都有无知的时候哟。。那时候真能忍。都不知道自己怎么想的。            
(1星)	 吐槽点太多了！！！好欢乐啊            
(1星)	 可以给零星吗？            
(3星)	 A5......歌蛮好听的，剧本不说了            
(NA)	 -0-我确实看过，老纸还有书吖 尼玛伤不起吖            
(1星)	 哈哈哈哈            
(1星)	 阳谷向上早期国内不太山寨偶像剧。。。。            
(1星)	 就是好疼。。            
(NA)	 初中的时候看的            
(NA)	 。。。。。            
(4星)	 当年觉得很好看            
(2星)	 其实我一直以为这个够烂的了……后来某台出了一系列的烂得更烂的剧……仔细想想，也没个负分……再仔细想想，这个比那些还是强的……所以，我很厚道，不骂了            
(NA)	 年少无知的我曾经欢快的看过            
(3星)	 想当年，我的确是看过这部电视剧的。。。            
(NA)	 傻逼们            
(2星)	 哈傻            
(1星)	 我又加来找抽了~~~            
(NA)	 第一部有黄圣依,后来她红了,第二部就没有她了,当时就觉得叫什么F5挺二的.不过当时暑假在家没事做,就看吧,近视了哦            
(2星)	 实在是……            
(2星)	 额...演员们太青涩了吧，哪怕是当时看也觉得蛮一般，现在也早就没什么动静了。纪念一下吧，毕竟我还有那本书呢~            
(1星)	 什么破烂玩意  刺瞎了我的双眼            
(3星)	 呵呵呵            
(NA)	 瓦卡卡卡卡，那个神马馨子是同济电影学院的！那时黄圣依完全没有这么膈应！            
(2星)	 几个男的太丑，女的还行            
(3星)	 我的LOLI时期啊╮(╯_╰)╭            
(2星)	 造型巨雷人。。。剧情勉强　演技浮夸。。            
(3星)	 年轻不懂事！以前还一阵喜欢！！            
(2星)	 SB            
(1星)	 女人不美，男人不帅            
(1星)	 垃圾……            
(2星)	 我一直都觉得此剧无聊透顶，所以我当年无法理解我们宿舍女生买了它的原声磁带，天天天天地放。。。。想来当时的自己也真是有点清高。但现在叫我看，我只会觉得它更无聊而已。            
(3星)	 我的第一部偶像剧啊            
(3星)	 以那时的水准来看算是还行吧。            
(5星)	 剧情挺好的 就只制作有点差            
(5星)	 中考前天天晚上必须守候！考完之后还专门用奖励的钱去买了全集。让我对大学有向往的两部电视剧就是《将爱》和这部了。哈哈。            
(3星)	 小时候的回忆哟            
(2星)	 +_+            
(2星)	 当时很恶里面所有演员            
(NA)	 其实还行啊。。。            
(2星)	 我当时看的还挺HAPPY的，现在回想起来，演技还真是差啊~~~            
(3星)	 内地第一版流星花园……谁都没能火起来啊……            
(1星)	 糟蹋观众。            
(2星)	 小学时代的            
(3星)	 虽然我也觉得扮相很挫，当年看得还是津津有味            
(3星)	 一颗星给自己，一颗星给过去面对它的喜爱＝＝一颗星是失误…            
(1星)	 = =            
(3星)	 哈哈哈~小时候的偶像剧            
(NA)	 我当年一边觉得傻，但也一边觉得还蛮好看的……            
(3星)	 馨子现在也长大了啊·~            
(1星)	 女主角难堪的要死            
(3星)	 很青涩。现在回头看有些sb= =            
(2星)	 额 小学的时候看的 现在看来 真的不行了            
(2星)	 = =狗血。            
(3星)	 - -想当年，我半夜偷偷爬起来看。            
(3星)	 至少曾经好歹看过,讨论过.            
(2星)	 真的很烂 不是一般的烂            
(4星)	 谁没有过盯着电视等剧的时候，当年的我……算了            
(3星)	 。            
(NA)	 年少第二次失足有木有啊！            
(3星)	 其实挺烂的。不知道当年怎么想的。            
(1星)	 不一般雷人，那时候的我都看不下去，何况现在            
(3星)	 幻想懂么～幻想～那时候还小学呢～～～现在里面的那几个连个影子都没了。。。。            
(2星)	 我只记得当年我妈看的很起劲。。。            
(4星)	 用四星纪念下以前吧            
(3星)	 啊！我看过！是不是芒果台的翻拍先锋哦？虽然雷基因一脉相承，不过比起现在的越演越烈，这个始作俑者其实还好啦。            
(5星)	 霸气 感人的电视剧            
(1星)	 瞎了我的眼......            
(1星)	 每个人都有傻X无知的过去....            
(2星)	 F5……恶寒……            
(5星)	 反正我小时候特爱看- - 但是怎么这么多人:&#34;特差&#34;            
(5星)	 初恋的味道            
(NA)	 我也年轻过。。nc过。。            
(2星)	 小学时代的偶像剧啊。哈哈哈哈！！！！            
(3星)	 呀　这个呀　当时也是觉得还不错的嘛            
(2星)	 男的就那个学长，女的就黄圣依好看点了。。。            
(2星)	 屎~当时就觉得屎，现在依旧是。            
(2星)	 拙劣的演技我竟然看完了。            
(2星)	 我当年还做梦梦到过A5呢！还和他们谈恋爱呢！            
(4星)	 大概是我看过的寥寥肥皂偶像剧里面最好的一部了，也算是一个回忆了，真的不算太糟。            
(1星)	 我当年为什么要看啊啊啊啊啊啊             
(NA)	 风中凌乱的抽搐            
(2星)	 好吧 國產偶像劇。。。            
(NA)	 囧嘞个囧            
(1星)	 眼睛看了会瞎掉吧~            
(NA)	 当时年少无知-。-            
(NA)	 看过红苹果乐园的女纸你伤不起，好吓人            
(NA)	 当年啊…            
(1星)	 无语~~            
(3星)	 不要否认小时候，绝对迷恋过，多青春啊，擦...            
(1星)	 最讨厌的就是萧晴，干嘛姓萧            
(2星)	 都嘚儿喝的，一点都没看出偶像剧的意思            
(2星)	 奇葩呀！拍大腿！【多加点雷片(￣ε(#￣)】            
(2星)	 哈哈 ，那时候看的还比较起劲 ，不过有几个男猪脚有点长得对不起观众。            
(3星)	 算了我还是以当时的标准打了一个三星……            
(2星)	  内地山寨“偶像”剧?            
(2星)	 老姨爱看 表妹爱看 黄圣依有出演 一对超女妹子也有演            
(2星)	 会演戏么？            
(1星)	 靠……姐看过的囧剧不是一般的多啊            
(3星)	 对的我看过这种东西……对的我曾经好喜欢……            
(1星)	 演员太丑了，剧情太垃了            
(2星)	 雷死我得了！            
(2星)	 哎呦，看看黄圣依的出道。            
(2星)	 这是人类影像艺术史上的一朵奇葩。            
(1星)	 仿流星花园的雷剧。。。            
(3星)	 哈哈哈哈，看来大家都有这么一段不堪回首的历史啊，哈哈哈哈。话说子恒还蛮帅的~~~            
(4星)	 超级讨厌馨子            
(2星)	 ==            
(1星)	 一个充满神秘色彩、令人向往的红苹果之家！！哈哈哈哈好丑！！            
(2星)	 想装F4  结果没装像            
(NA)	 当年我也看过这个SB电视剧的！！            
(NA)	 好老的青春啊            
(1星)	 演员连台词都说的像小学生年课文，更别提什么演技了！无聊透顶            
(3星)	 恶俗的偶像剧喷血            
(2星)	 以前所谓的F4。。表姐还以为他们会红，去拿了签名。。哪知道。。现在人在哪里都不知道了。。无奈啊。。            
(2星)	 想模仿偶像剧，可以找帅一点，会演点的吧            
(3星)	 内地呕像剧额。。眼光真是歪掉了那时，竟然觉得那5个男的里面那个长头发的很帅。。瞎了瞎了。。我妈超爱看这部。。哈哈。。PS.这本书我也有，哭。。。            
(1星)	 这些主角们现在还混迹于各烂俗剧，本分的做着路人甲乙丙丁，但是某几个配角倒是红了。。            
(1星)	 真是瞎了我的狗眼！让我贱！看！竟然当年还看过！！！            
(1星)	 当时真的真的很年幼无知。。            
(3星)	 小学时候的产品~层级感觉一般~            
(2星)	 看了几集            
(3星)	 唉.......我都不想说什么了，第一部山寨偶像剧            
(NA)	 = =            
(3星)	 那是看时觉得还不错。            
(2星)	 我居然也看过。。。            
(3星)	 这部戏是在我们学校取景的，多给一颗是因为把我们学校拍得挺漂亮的。            
(2星)	 雷剧。。里面雷点阵阵            
(3星)	 这剧群众给分真低……我年轻的时候看的挺欢乐的= =            
(2星)	 雷到不行            
(3星)	 娘啊            
(2星)	 这就是我不看中国电视剧的原因            
(1星)	 萧晴的脸被谁踩了一脚吧？琳达的斗鸡眼也非常纠结！            
(1星)	 尼玛去屎把......            
(1星)	 贡献低分来的            
(3星)	 很喜欢剧情里面的萧晴            
(4星)	 丫丫 老片了 岁月呀            
(3星)	 有对双胞胎。男孩儿一律1.8以上，还有个得绝症的。喜欢女主角像rolin~自此腻味黄圣依。            
(5星)	 小时候的最爱！~            
(1星)	 山寨！            
(3星)	 笑而不语            
(2星)	 .....原来我看过这么多内地电视剧= =            
(1星)	 是很惊悚。。            
(1星)	 又一部山寨剧始祖            
(3星)	 看看做做比较才觉得台湾拍偶像剧的水平还是不错的。            
(3星)	 呵呵，虽然可能比较雷，但我还是看下去了            
(2星)	 乡村感扑面而来            
(NA)	 当初我就觉得是内地要模仿流星花园的吧            
(1星)	 我吐了            
(2星)	 啊。。。。。。            
(2星)	 女主角太丑了，而且很无聊            
(1星)	 擦……这是马桶台翻拍剧的鼻祖……            
(2星)	 SB和SB 故事            
(1星)	 泥马勒戈壁的            
(2星)	 内地应该是最早的模仿流星花园的雷剧 一群丑的不知所谓的男银到处招摇~            
(2星)	 我真佩服自己。。烂剧之王。。            
(1星)	 谁没年轻过？谁没脑残过？记得当时上小学大家都看得很欢乐，热烈讨论程度不亚于流星花园            
(3星)	 谁TM没个过去！            
(2星)	 但是觉得很无聊啊            
(1星)	 偶像剧第一条是要长的偶像，连这也不知道就出来拍电视剧了。            
(1星)	 ……【掩面奔走            
(1星)	 - - 我想知道我对一部剧的评论究竟能恶毒到什么境界            
(3星)	 我承认我看过，还是很喜欢的那种……            
(3星)	 为吐槽而看            
(4星)	 觉得还很想成为现实的偶像剧。。。现实的大学生活要是真这样就好了。。            
(1星)	 去死吧去死吧去死吧            
(2星)	 只为记载            
(4星)	 为了回忆，打个4分吧，虽然很烂            
(2星)	 呵呵呵呵...            
(NA)	 啊哈哈哈            
(3星)	 我还真是看了很多很二的电视剧啊            
(3星)	 小学的记忆了。总是会美化的            
(3星)	 当时好像还有点喜欢男二好像……            
(NA)	 曾经有个小妹妹说我长得像萧晴，五味杂陈啊啊啊~            
(2星)	 这些人消声灭迹了...            
(1星)	 打这一颗星完全是奖励自己当年顶住压力没看这囧剧的            
(2星)	 烂死            
(NA)	 恶心了            
(1星)	 巨差。我去！还有黄圣依。。。。。。。            
(1星)	 很多年前看的，一度放弃，但最后还是有很多电视台在放映。            
(1星)	 傻片            
(2星)	 。。。。。。。。。。。。。。。。            
(1星)	 哈哈哈哈哈哈，，，不堪回首啊！！！            
(NA)	 傻逼到极点            
(1星)	 特别雷            
(1星)	 没有偶像剧的感觉。            
(3星)	 应该鼓励国内偶像剧~            
(2星)	 ╮(╯_╰)╭······            
(NA)	 太精辟了。            
(1星)	 这个，这个初中的回忆真尴尬啊            
(3星)	 吃饭时间看            
(2星)	 我居然看过。。OMG            
(2星)	 姐当年不只把书看完了还把电视剧看完了……花痴都是我这样的……            
(2星)	 只能说。。。雷人= =            
(2星)	 F4效应出来的内地F5...            
(4星)	 前天健身遇到男主角 汗啊~ 马相 皮肤 还是很不错俄~~            
(4星)	 很喜欢里面的主题曲。            
(1星)	 演成这样居然还能放出来 馨子实在不好看 演的又做作 这样还能有两个男人喜欢真是太假了            
(1星)	 喷饭            
(NA)	 我们的小学时代就是看着这个过来的。。            
(3星)	 你们的发型真丑。剧情真狗血。            
(5星)	 当年的青春偶像们啊。国内偶像剧大山！            
(1星)	 占了人频道的时间，还反复播放，一群不认识的在电视上不知干嘛捏，不小心被俺看到了            
(3星)	 知道什么叫悲剧 吧~~~  支持下国产！            
(2星)	 看过一遍，没有太多含义。            
(1星)	 太恶了。。。            
(2星)	 ..............不评价好么,简直是            
(2星)	 我居然看过啊……            
(3星)	 那个时候，觉得自己看了部偶像剧，自己很厉害。。            
(3星)	 大陆很少有这么青春的电视剧，拍得不错            
(1星)	 男猪脚一出来就甩那油到糊在一起的头发我也忍了，女猪那像被人揍扁了的脸真的让我想砸电视            
(2星)	 。。。            
(2星)	 我他喵的还和表姐一起追了这部剧！！            
(1星)	 顶楼上。            
(NA)	 黑哦……            
(2星)	 我那时恨死了黄圣依啊，现在唯一的印象就是女主角的大象腿            
(3星)	 还凑合            
(3星)	 天呐，我都看了些什么？            
(3星)	 给帅哥加个油~虽然不是我的菜 但大家都很努力哈~            
(1星)	 我一直很不解萧晴沾了满手油去超市买洗洁精，让超市男店员从屁股兜儿里拿钱那个镜头的用意何在            
(3星)	 呃，除了男主啥的不好看，剧情还是能接受的…            
(4星)	 内地偶像剧，其实也可以红的。            
(NA)	 真想自插大腿            
(1星)	 现在最恶心的内地女演员就是黄圣依，她跟扬子够登对的······            
(3星)	 先看的小说……但真人就逊色多了……尤其那长发……你又不是吴建豪……而且吴建豪长发也丑……            
(NA)	 那演技，不说什么了。。。            
(3星)	 内地偶像剧 啊            
(4星)	 那个时候连放学的时间都觉得多余，恨不得马上飞回家守在电视机旁。            
(4星)	 人是会长大的嘛。当年超爱看，看了不下五遍。            
(3星)	 当时还蛮喜欢的，盛超吧还可以！当时貌似拼f4的。。。            
(1星)	 有零星么            
(5星)	 第一次认识黄圣依~真没想到她之后会变成星女郎~《红苹果乐园》和《星梦缘》都是难得的内地青春偶像剧~            
(NA)	 小时候看过的，模糊地偶像剧            
(2星)	 那几个男人太傻了~~~            
(1星)	 是的，我曾经集集不落……            
(2星)	 我还看过这么一部剧。。- -            
(NA)	 脑残剧，不过没看过这个青少年时期就不完整了            
(NA)	 小时候看的白痴电视还真不少            
(1星)	 好假的电视剧，假的都不能再假了？请问您敢再假点吗？            
(2星)	 很狗血哟            
(3星)	 ........            
(1星)	 当年真的没什么电视看，所以。。。            
(2星)	 =_,=噗---死烂了吖...            
(2星)	 其实我还是比较喜欢曲鑫的~~            
(NA)	 ......久违了            
(1星)	 炒的很过的，借流星雨，浙江这边更甚            
(2星)	 国产………………偶……像……剧……………………            
(3星)	 长得都这么丑，当时怎么就迷他们了呢？            
(1星)	 无聊，剧情抄袭花样，造型很差，基本上啥优点都没有，XX乐园XX缘的山寨后宫都去死吧都去死吧            
(2星)	 讲不出来。。            
(1星)	 看，萧晴。            
(2星)	 真的好可怕啊            
(4星)	 当时火的类，现在看的确不怎么样了...            
(3星)	 初中的时候A5相当的风靡，人人都看的样子。@Home            
(3星)	 星星都是给张继的            
(1星)	 快，快，给我氧气，给我氧气......            
(3星)	 有点儿脱离现实            
(2星)	 想屎            
(2星)	 黄圣依的出道史。。上海也要出偶像~也要拍偶像剧~于是我当了试验小白鼠~            
(2星)	 内地的偶像剧啊，有待提高。。。            
(2星)	 长的真是= =            
(NA)	 很搞不懂是什么力量支持我看下去。。。批判它就要全面了解它            
(1星)	 仍然不愿承认。。。            
(3星)	 54女主角和SB剧情的话，还是可以看看的            
(2星)	 瀑布汗            
(4星)	 乐园，每个人都有属于自己的乐园！            
(2星)	 二            
(1星)	 真的。。。。。。。。。。。很不咋地。。。。。。。。。。。。。。。            
(3星)	 纯粹看黄圣依            
(2星)	 跟着我妈妈看的 特无聊            
(4星)	 初二看的时候还挺喜欢的            
(3星)	 我的闺蜜和萧晴长的好像好像。。            
(2星)	 大陆首创偶像剧            
(2星)	 当年万般无聊中看过的土制偶像剧……            
(2星)	 囧囧更健康            
(1星)	 主角能长的再俗气点么？？            
(3星)	 那时可红了 小卖部是各种周边啊 有木有！            
(1星)	 山寨味扑面而来,无帅锅无米女无剧情无笑点的四无电视剧            
(2星)	 没想到那个是黄圣依啊            
(2星)	 很傻的            
(2星)	 不怎么的            
(2星)	 现在才发现原来内陆的偶像剧就是从那个时候开始泛滥的。当年的一部《流星风园》引发的烂剧风潮真是到现在都还有深深的影响啊。            
(2星)	 一想到当年竟然一集不落的把它看完了就忍不住内牛满面.....            
(3星)	 想當年。。。            
(5星)	 好几年前看的了 五个帅气的阳光大男孩 最红的时候还被人称作“A5” 只是现在有点淡出影视界的味道 好久不见            
(1星)	 雷死个人            
(3星)	 明星都是一点点接触起来的            
(1星)	 仅有的一颗星给可怜的制片人感谢你给剧中的幕后工作人员提供了薪水            
(NA)	 好帅            
(1星)	 恶、、、            
(NA)	 真不想承认我看过            
(2星)	 ···············            
(1星)	 雷片一部，鉴定完毕            
(3星)	 我也看过这个！            
(1星)	 能打没星就好了，或者能来个-5更好            
(1星)	 无语了，连帅哥靓女都没有。            
(1星)	 如果可以打负分该多好。记不得是小学还是初中。我妈好心租给我打发时间的。反正当时审美都不怎么样的时候就觉得那几个男的。真的是。。。剧情演技什么的就不想说了。            
(1星)	 当年这片子红的时候我看不起它，现在偶然又看见了，我觉得当年我真有眼光- -            
(NA)	 小学时看得，现在一点感觉都没了。             
(2星)	 豆瓣上竟然也有这个把我雷的外焦里嫩等我去找找还珠格格一起记上满足我的记录癖。。。            
(3星)	 哇哈哈哈  太有爱了！！！有时候看这种连续剧很带劲儿啊！！！找笑点！！！            
(4星)	 之前挺喜欢的，后来看了 MVP情人，发现两者不是一个档次啊。。三星是我的标准，多的一颗给自己纪念吧。。            
(2星)	 没印象了，大概是和着广告一起看的。            
(1星)	 所谓的大陆偶像剧，麻烦最起码对得起偶像两个字            
(2星)	 吐 真不明白 当年这些人怎么会红...             
(3星)	 差不多吧，我比较喜欢里面的曲鑫，也就是子恒            
(4星)	 其实那里面的歌都挺好听的，我还买过磁带            
(1星)	 演技太假。            
(NA)	 都忘了还看过这个            
(5星)	 那会儿盛超微胖            
(3星)	 这伙人去了哪里            
(5星)	 最喜欢的电视剧之一            
(2星)	 女主实在太丑了。。。长相身材演技这些其实都是假的，想要演女主角最主要是要有个有钱的老爸。。然后烧钱去投资。。            
(2星)	 懒得说啥了看看A5现在各自混的咋样就知道..中国青少年的审美都是咋了啊……            
(3星)	 老早看过的……当时还觉得不错=   =。。            
(3星)	 一个女孩和几个男孩一起生活、成长的青春故事            
(1星)	 雷。而且雷出了reborn。雷出了黄圣依。            
(2星)	 总归比雷阵雨要好，所以给两星            
(1星)	 比《星梦缘》还难看的说。我一直认定《星梦缘》里的人最后说要一起拍部戏，就是拍这戏。            
(1星)	 好歹是我青春（脑残）过的证明阿            
(NA)	 OMG 我以前当真看过这么derr的电视剧，咳咳~            
(2星)	 不堪回首的青春，我竟然看过。。。            
(NA)	 呃。。。为什么没有-1星~   对于我竟然看过两眼这个傻逼玩意儿我深表遗憾~            
(3星)	 那时候觉得只有子衡好看，还买了书OTTTL            
(1星)	 我是看过多少雷剧啊啊啊啊            
(2星)	 伪青春            
(2星)	 开始还ok~            
(2星)	 噢我日，不过剧情比普通山寨偶像剧稍好            
(3星)	 还记得盛超。 主角不知去哪了，配角黄圣依却红起来了。            
(1星)	 我真的不想承认我看过可我真的看过            
(1星)	 童年剧。我真看过....一边吐血中...            
(2星)	 悲催的 = =             
(1星)	 囧片- -            
(1星)	 各色年轻人            
(2星)	 时间过的真快            
(1星)	 久仰大名            
(3星)	 人物都不行么....            
(3星)	 哎，都成童年记忆了。            
(1星)	 噢哟~ 那个牛叉闪闪的演技啊。据说女主是导演还是编剧的女儿？            
(2星)	 这部连续剧可用中华铅笔的某一型号概括——2B            
(1星)	 很雷            
(3星)	 挺有娱乐精神的。            
(2星)	 难为一群群众演员演非群众的戏还要装潇洒。            
(2星)	 这我都看过            
(1星)	 居然有黄圣依？！            
(1星)	 17            
(2星)	 我只想说，那个时候我还小，不懂事撒            
(4星)	 不知道为什么分数会那么低，总之那时候是很中意那个乐园和曲鑫~            
(2星)	 年轻人，演技不行啊～            
(2星)	 果然年龄是个可怕的东西，一边点“看过”一边内心颤抖===            
(2星)	 那会看就 一直  没觉得那几个男孩 有什么好看  现在他们人呢            
(NA)	 那时读初中，破天荒第一次追星            
(2星)	 那时怎么会有勇气看。            
(1星)	 吐槽无极限            
(3星)	 怎么看过的人这么少 当年很喜欢呢 记得萧晴带着大大的纸盒套穿越校园的种种趣事            
(3星)	 本人少不更事时，喜欢过的电视剧            
(3星)	 靠！初三毕业那年夏天追着看。。。            
(NA)	 烂苹果乐园。。我记得当初我还挺喜欢那个长头发长得白白的那个男的。。            
(5星)	 初中那时 整天就看他们的片子 - - ...            
(2星)	 额  5个弱智加一个丑女+1            
(3星)	 黄圣依可以看一下            
(4星)	 内地偶像剧能这样不错了            
(2星)	 两星给馨子的声音。依稀记得是甜美的。与她的脸无关。            
(1星)	 - -、雷人嗷嗷嗷、            
(3星)	 岂一个囧字来形容~            
(NA)	 啊！！            
(5星)	 馨子！            
(3星)	 虽然此剧很雷，但是当时看的时候还是很迷的            
(2星)	 挺雷的~            
(NA)	 我不想承认我看过            
(3星)	 雷啊            
(2星)	 哈...哈...            
(3星)	 又是一个想当年……            
(1星)	 大陆啊.. 咱不山寨可以吗  乖            
(4星)	 童年啊！~~            
(NA)	 以前那么迷盛超  - - 我晕            
(3星)	 我无语。            
(2星)	 那种也叫帅哥，吐……倒是美女还真不是美女！不过黄圣依演的好像是她自己吧！            
(5星)	 恩、小时候超爱、            
(3星)	 凑合吧，很久以前看的            
(1星)	 有一阵电视台总放。。。还和那个巨恶俗的星梦缘捆绑放，恶心死我了，宁可看某医院的不孕不育广告。。。            
(3星)	 儿时追着的电视剧            
(3星)	 真的只是还行= =            
(3星)	 哈哈哈哈...当初我还跑到出租屋去借了碟看            
(1星)	 为毛一定要给星？为毛？介四为毛？            
(3星)	 当时很爱啊。            
(NA)	 雷啊雷            
(4星)	 不明白给差评的人是怎么想的 谁没脑残过 至少这部片子在我们脑残的时候给了我们脑残的方向            
(1星)	 我不想给星星……器可修……年少不经事……            
(3星)	 这演技，这造型...我当年是有多抽搐？挨着老妈的骂半夜不睡觉追这电视剧。            
(1星)	 可以打半星吗?            
(NA)	 话说当时，常和同学讨论谁最帅，谁最恶心            
(3星)	 好吧 那时候真的觉得不错看的...            
(1星)	 一群低能..汗-.-            
(4星)	 青春是一首无悔的歌，这群年青的演员共同演绎生活中的一系列趣事，从中不断成长，勇敢地面对自己和他人。            
(5星)	 青春是一首无悔的歌，这样一群年青人身上散发着青春的气息。            
(3星)	 不懂为什么能大火            
(1星)	 极怂极烂极不好看            
(3星)	 过于做作的表演，貌似这些演员中只有黄圣依混的最好。            
(3星)	 模仿当年的F4，却没有超越，但是剧情还不错~~            
(3星)	 小时候还是很喜欢看的 上海上海            
