http://movie.douban.com/subject/2190918/	梅花三弄之梅花烙
(4星)	 其实公主也蛮好看的            
(4星)	 红尘自有痴情人            
(3星)	 咆哮滴涛哥~~~            
(4星)	 白吟霜可真够了个惨的。            
(4星)	 银霜！！！浩真！！            
(5星)	 除了有时吼的让人心闷得慌，总的来说剧情和表演还是蛮好的            
(3星)	 咆哮党必看！            
(3星)	 陈德容好漂亮。            
(4星)	 两颗星是给陈德容楚楚动人的美貌。另两颗星是给教主令人震惊的咆哮功力。            
(4星)	 琼瑶阿姨的台词写的真好，比现在的所谓什么装逼大片好太多了。            
(NA)	 吾辈看过的第一部咆哮帝作品=v=            
(5星)	 童年回忆            
(NA)	 我只记得当时马景涛没死成，陈德容却死了。。  狗血啊            
(4星)	 多少年前的回忆了，只记得姑娘在肩膀上有个梅花形的烙印。            
(4星)	 我依旧嚎啕大哭不解释            
(3星)	 一共三季。。。            
(NA)	 很小时候跟奶奶一起看的 对女二要求女主角大白天手举蜡烛 蜡烛油不断滴在手上 然后女二在旁边悠闲看书嗑瓜子的情节记忆深刻            
(5星)	 曾经最爱，曾经苦守着电视，曾经听到片头曲就扔下饭碗，曾经仙女也不过如此            
(4星)	 琼瑶作品中,最爱的是梅花烙.其实我觉得陈德容演古装戏真的不错...            
(3星)	 梅花三弄最深刻的是第二部，第一部都没什么印象了。            
(4星)	 最近重看了一遍，居然惊人的发现里面有王学兵和陈建斌，俩人在里面演狱卒            
(NA)	 记事以来，第一部有印象的琼瑶剧。本来是三部曲，后面的两部都没有第一部给人印象深刻。全家一起看的。            
(3星)	 当年的陈德容真是惊为天人，当时的马景涛咆哮还为这么红            
(NA)	 那个时候，我和晓蕾在姥姥家的西屋里一个在沙发上一个坐在小板凳上，边看边流泪，也许只是我在哭吧            
(3星)	 三观不正啊！！年轻时的陈德容真是美人            
(3星)	 琼瑶剧的天下            
(NA)	 咆哮教主，O(∩_∩)O哈哈~            
(4星)	 我喜欢公主 嗯。。。。            
(NA)	 吟霜！！！！！皓祯……吟霜！！！！！皓祯……知我如你！！！！！！怎不听我从我！！！！！！！知我如你……怎能逼我强我……            
(3星)	 结局悲催的            
(3星)	 那时候太小了···小扣子是吧···            
(4星)	 小时候觉得陈德容是天仙好吗！！！！            
(5星)	 三部曲中最好的一部,白吟霜那楚楚可怜的一声贝勒爷,真是我见犹怜.            
(NA)	 原来这是第一部不看真不知道太苦逼的电视剧了==+            
(3星)	 小时候看的，很清晰的记得一句经典台词：再续母女情，但凭梅花烙            
(3星)	 就只记得烙印            
(4星)	 皇后的云鬓我记忆犹新。陈德容的白狐和胎记。            
(5星)	 今天再看，银霜真的EQ蛮高啊..            
(4星)	 少女时期的最爱之一            
(5星)	 小时候最喜欢的电视剧，还有白娘子………哈哈，教主万福！！！！！            
(NA)	 原来…………琼瑶阿姨是我儿时的偶像………………            
(NA)	 又一个“紫薇”，又一场生死相随的苦情戏。没想到自己居然可以接受这样“重口味”的老剧情，呵呵~小时候不完整的看过好多次，但依旧模糊凌乱，现在心中多年的记忆终于得以清晰重现了。古代婚姻不得自主、通信不畅害惨了多少人！殉情真傻！有些不幸其实完全是可以避免的！深情痴情究竟好不好该不该呢？            
(3星)	 琼瑶剧就是告诉我们，奸夫淫妇是如何成长的。            
(5星)	 教主。。。            
(5星)	 小马哥的癫疯时刻            
(4星)	 咆哮帝这部电视剧被堪称咆哮典范            
(5星)	 当年的陈mm太美了。            
(4星)	 操！我居然看过！马景涛、陈德容~都是牛逼人啊~            
(2星)	 马景涛是用生命在演戏！！            
(3星)	 马景涛和陈德容主演的爱情系列电视剧            
(3星)	 可怕的马景涛……            
(3星)	 忘了剧情 噢噢噢噢            
(2星)	 咆哮帝的經典之作啊~            
(2星)	 一堆的脑残。            
(4星)	 琼瑶奶奶剧我最喜欢的一部了。陈德容那时候好漂亮。            
(3星)	 兒時看了很多瓊瑤的片子 這是梅花三弄三部曲之梅花烙            
(5星)	 结局给力，演员其实也挺给力的，弱弱的说            
(5星)	 马景涛是个银才 吟霜当年真是出水芙蓉 搞笑 有演技            
(4星)	 陈德容好漂亮好漂亮好漂亮！            
(4星)	 我最喜歡的是蘭馨格格            
(4星)	 梅花一弄断人肠            
(3星)	 1995 三星全给马景涛 咆哮吧！！！！！            
(3星)	 陈德容阿，惊为天人            
(3星)	 结局太气人了，死得真冤            
(4星)	 景涛的咆哮记忆犹新            
(3星)	 结局好悲啊            
(NA)	 我还记得公主满脸贱相……             
(2星)	 不喜欢咆哮教主。当时觉得其实公主挺可怜。            
(4星)	 早期的古装，马大哥的嚎呀            
(3星)	 御用男女主角陈美女＆马咆哮。            
(NA)	 那时觉得咆哮就是最好的演技，只因真情流露时，我们也会咆哮。            
(1星)	 真想用一兜鱼豆腐和龙口粉丝把他们都弄死。            
(5星)	 结局不喜欢。。。            
(4星)	 我喜欢            
(3星)	 老片            
(NA)	 苦情之作            
(3星)	 马景涛的表现很“出彩”！虽然过了N年，我还记得他的一吼！呵呵            
(4星)	 咆哮教主一如既往的给力！            
(3星)	 陈德容那时非常非常漂亮。            
(5星)	 在和妈妈一起睡的年纪看到泪流不止的自己真的是自己么            
(3星)	 我们的童年都在看些神马啊= =            
(3星)	 梅花一弄断人肠。。            
(3星)	 原来我打小就看马景涛的电视剧~~现在看可能就没有当初那么喜欢了。            
(3星)	 其实公主没有错，而且很可怜，只不过是爱上了咆哮哥            
(2星)	 天涯论坛的“灰常点评”！            
(4星)	 那时候的陈德容，真是美得沉鱼落雁闭月羞花啊，那时候的马景涛也还不是教主。。。            
(3星)	 记忆模糊~但还记得是个悲剧，很寸的那种，最后马景涛抱着死了的女主（orz）走远……            
(3星)	 咆哮马。。。            
(4星)	 以前觉得公主的那个鬓角一出来就是坏人出来了             
(5星)	 小马哥我爱你！！！！！！！！！            
(5星)	 马教主开山之作啊！！！！！！！！！！            
(5星)	 吟霜!!!!!!!!!!!!!!!!! 吟霜!!!!!!!!!!!!!!!!!!!!            
(3星)	 真是够抒情的 那时候还小            
(3星)	 喜欢福晋            
(4星)	 老娘就是喜欢！            
(NA)	 回忆。            
(NA)	 多少年以后，我终于看到了结局            
(4星)	 情节都忘了，只记得男猪脾气不好            
(4星)	 马景涛长得真像我姨夫，他那激情似的嚎叫声一直让我把琼瑶阿姨的戏定位错了。            
(4星)	 有追            
(5星)	 不得不说，这里面的歌太好听了！特别是结尾曲！            
(3星)	 陈MM最美的扮相……            
(5星)	 陈德蓉，那真是美            
(5星)	 泪奔片啊            
(3星)	 看过的两部琼瑶剧一……            
(3星)	 皓祯~~吟霜~~~。。。。            
(4星)	 对主题曲的印象不错            
(2星)	 多年前看的狗血剧            
(4星)	 问世间情为何物，直叫人生死相许            
(3星)	 曾经的陈德容多么水嫩啊            
(5星)	 从小的感动。            
(4星)	 公主好可怜            
(5星)	 当时看的时候太爱这部剧了            
(3星)	 最后变成两则白狐了            
(5星)	 天呐  小时候的最爱啊            
(3星)	 白吟霜，当年一眼，让我惊艳到无以复加            
(NA)	 琼瑶等陈德容是有理由的            
(3星)	 演员哭的我心都碎了~~当年不知为何喜欢。            
(3星)	 我只吃过玉米烙            
(3星)	 经典琼瑶爱情教材            
(4星)	 马景涛——咆哮帝！            
(NA)	 马景涛两手一摊脖子上青筋暴起呈咆哮状：吟霜~(呃……)            
(NA)	 围观剧里的陈德容。            
(3星)	 又是跟妈妈一起看的，每天中午1点多就开始演，我想看，但是要去上学，当时好羡慕妈妈啊            
(3星)	 额 - -  以前还真是看过很多琼瑶剧            
(NA)	 陈德容很美唉~~            
(1星)	 吟霜~~~~~~~~这是刑场啊~~~~··你到刑场干什么~~~~~~~回去！快回去！我不要你目睹我的死~~~~~~我只要你记住我的生~~~~~~回去~~~~~什么都不要说了~~~~回去~~~~~~~　　　　　　　　　　　　　　　　维持住你心里那个我            
(4星)	 还记得老和妈妈一起看的            
(3星)	 神吼哥的经典巨作！            
(3星)	 依然马景涛。            
(3星)	 那时候的陈德容多年轻，多美            
(4星)	 喜欢 狐狸报恩的 这个大故事桥段            
(3星)	 其實看的時候..我比較喜歡公主...            
(3星)	 小时候实在没什么电视剧可看，所以琼瑶剧也看过不少。            
(4星)	 回忆            
(3星)	 太虐了~咆哮马直接让人吃不消            
(4星)	 这个星期竟然又一集不落地看了一遍，经典永远是经典。            
(3星)	 咆哮涛哥~~ 撕心裂肺~~            
(NA)	 我一直觉得梅花三弄里这个最好看。陈德容真的很好看啊。            
(3星)	 还是记不得……            
(4星)	 马景涛式大哭大喊演技一派~不过年轻时候长得真是交个让人流口水的帅气吖！年老了各式花边绯闻还不断，真实人不风流枉少年成名早啊！            
(3星)	 咆哮，不解释！！！！！！！！！！！！！！！！！！            
(NA)	  马景涛  马景涛  马景涛 你的吼声啊..            
(5星)	 脱俗的白吟霜            
(3星)	 这部我在大学里翻看了。我喜欢白狐的那一段。或许这样的爱情不真实，却因为可望不可得还是惹人向往。            
(3星)	 我妈妈喜欢看            
(3星)	 这个当然要顶~歌很好听，陈德容当年真是秒杀我~            
(NA)	 我哒小时候            
(NA)	 音乐听熟了            
(3星)	 完全不记得剧情，但是红尘自古有情痴，莫笑痴情太痴狂            
(4星)	 完全为了童年的记忆，很多片段虽然只看了一遍但至今清晰。小时候的记性就是好啊            
(3星)	 惊为天人的陈德容，地动天惊的咆哮教主            
(3星)	 。。。。。            
(4星)	 又见景涛兄            
(4星)	 救下了你，而我已经去了。化作一缕白狐，伴君左右。小时候，初初有了荧屏情侣配的概念。            
(5星)	 为了教主            
(3星)	 马景涛的经典呐喊            
(4星)	 为什么我小时候就觉得很好看啊混蛋！！！            
(4星)	 小时候看过的马景涛帅到了一种境界            
(NA)	 又见教主～～～～～这个可称为教主最卖力的作品之一            
(5星)	 小时候看的，就很喜欢，现在不知道啦~            
(5星)	 陈德容就像梅花一样            
(4星)	 美女扒胸给我看，不好意思看            
(NA)	 梅花三弄            
(4星)	 我倒是喜欢那位公主~~咆哮马继续发威~~            
(3星)	 马镜头太能吼了~            
(4星)	 最后结局太悲了。            
(NA)	 只想说可恶的琼瑶剧            
(5星)	 这份经典成就了我幼时对古代爱情的幻想            
(3星)	 1.马景涛真吵。2.陈德容被欺负气的我要命。3.每个女人都爱哭 不过这是琼瑶阿姨的女主角的特点。4.梅花三弄第一弄最好看 琼瑶捧红了陈德容            
(NA)	 哈！            
(4星)	 琼瑶阿姨留给我们多少童年时的纠结回忆啊~            
(3星)	 多老的一部剧了啊,小时候,外婆老妈最爱琼瑶啦            
(3星)	 zzz            
(NA)	 剧。人生中第一次因为某个演员而追看的电视剧。陈德容。            
(NA)	 皓祯 吟霜            
(2星)	 马景涛那个癫狂。。。            
(3星)	 那时的陈德容真漂亮            
(3星)	 梅花三弄三部曲之①            
(4星)	 罗密欧与朱丽叶的经典悲剧～            
(4星)	 景涛哥~            
(4星)	 我喜欢小顺子……            
(3星)	 其实当时蛮讨厌看这三部的，太悲情了~            
(NA)	 剧情一点儿都不记得了            
(3星)	 三部曲最喜欢这部            
(4星)	 当年的陈德容还是很惊艳的            
(NA)	 最后那两只白狐终于在一起了            
(2星)	 ……我他妈到底看过多少琼瑶剧……            
(3星)	 具体不是很记得……只记得陈德容很漂亮            
(NA)	 吟霜，美呀~~~            
(NA)	 璠璠她们都震撼了。哈~~小时候看比人能看那么好看的电视剧。。我都没机会看。。从小听妈妈唱《梅花三弄》的歌长大的。。很怀念。。93年距现在很久了啊。。但是确实是觉得那时候的电视剧才是有水准的。。哎。。不过琼瑶写的东西真是从第一集哭到最后一集。。。。。。。            
(NA)	 暴着青筋的马景涛            
(3星)	 马咆哮            
(5星)	 琼瑶古装剧的经典了。当年的小马哥和陈MM，那个水嫩啊            
(4星)	 《梅花三弄》，唉，都不记得内容了，只记得主题曲...            
(3星)	 就记得陈德容在里面美的惊为天人啊~            
(3星)	 BS白吟霜！整一个小3！            
(4星)	 记得最清的就是他们第一次kiss的戏，大人还不让看呢！            
(3星)	 N小的时候随老姐看的            
(3星)	 小三上位的故事            
(3星)	 咆哮教主经典之作            
(3星)	 当年红极一时。可是每次我都是看了片头曲就换台            
(4星)	 琼瑶阿姨经典之作~~            
(4星)	 陈德容好漂亮            
(3星)	 算是陪着大人看的，只记得那个格格蛮惨的，虽然很凶，但是没人喜欢。然后就是白吟霜的肩膀上的梅花。            
(3星)	 琼瑶剧啊琼瑶剧,那时候满电视飞.            
(5星)	 当时看很震撼三弄只看了这一弄，鬼丈夫不敢看记得剧情很轰轰烈烈            
(NA)	 一曲梅花三弄，多少风月无边。你依旧是当年我爱过的白狐            
(NA)	 很小的时候 在HB 我妈看的            
(4星)	 第一次看见陈德容真是惊艳了许久啊            
(NA)	 只记得开头和结局~··~也不知道那么小小的我看懂了米……            
(3星)	 小时候第一次看到关于H的镜头，觉得这部戏满色的，哈哈            
(NA)	 完全不记得剧情了。            
(3星)	 只记得陈德容很美~            
(3星)	 呃。。。            
(NA)	 很感人的，但是剧情有点老套            
(4星)	 我的童年印象是马景涛真能喊= =            
(4星)	 当年的经典。            
(4星)	 多年以后再看，没有当年的惊艳了。            
(3星)	 当年的演员就那么几个，弄得年幼无知的我都以为是同一部~            
(4星)	 梅花一弄 斷人腸            
(5星)	 小时候觉得陈德容最漂亮，马景涛最帅。皓祯和银霜坐到船上靠在一起那个镜头最美好~~            
(3星)	 其实故事应该是美丽的。但是实在忍受不了马景涛过激的表现。难道世界上就没有男人了吗？为毛一定要选他？            
(3星)	 景涛在咆哮。            
(4星)	 看着片子，我能哭死。陈德容的哭功真是厉害            
(NA)	 三弄就喜欢这一弄。还有不知那个片尾曲。你是我心底的烙印。            
(NA)	 那时的陈德容美的让人窒息啊！            
(3星)	 无法忍受琼瑶剧，当年居然看了不少。。陈德容在这部里最漂亮            
(5星)	 喜欢没道理            
(4星)	 小时候不得不看的...            
(4星)	   永远在小时候的记忆里            
(4星)	 对于这部电视剧唯一的印象是,最后的生离死别,我哭的稀里哗啦的            
(5星)	 不错哦~~            
(3星)	 似乎是看过……= =            
(3星)	 梅花三弄断人肠            
(NA)	 曾经琼瑶过。。。            
(3星)	 作为梅花三弄的第一部其实开头埋的系列附笔我很喜欢OTZ            
(5星)	 没发现主演是陈德容             
(3星)	 梅花三弄之一            
(2星)	 马大虾            
(NA)	 模糊得·只記得看過            
(3星)	 封建社会就是会歧视女性！！！            
(3星)	 公主也挺可怜的　陈德容很清纯            
(NA)	 陈德容姐姐的美貌当年如此惊艳！还有姜育恒大哥那首歌啊，好听啊！            
(3星)	 太            
(4星)	 那时觉得陈德容超美啊～            
(4星)	 记录            
(4星)	 梅花一弄断人肠            
(4星)	 小时看只是喜欢，看不出个故事前因。最近从新看了一遍，才发现，原来它蕴含着的是如此催人泪下的情感。            
(4星)	 当年看哭的教主的成名作吧            
(3星)	 梅花三弄（一）            
(3星)	 挺吵的= =            
(NA)	 这个片，小时候我一看就要被骂的，说很衰，所以我只小看了部分，2分钟哭一次，马咆哮            
(4星)	 真没想到这部剧比韩剧还让我受不了，眼泪往下掉            
(4星)	 话说~就是看完琼瑶阿姨的梅花三烙~我成功地近视以及弱视~从此开启了我的眼睛岁月~            
(4星)	 只记得有人撕心裂肺的喊吟霜            
(3星)	 记得当时咆哮马很帅很痴情，陈德容很美很柔弱，很浪漫的爱情故事，尤其是片末的白狐传说            
(NA)	 马景涛马大叔的经典嚎叫片，不容错过～            
(NA)	 三部里我是最喜欢这部的。喜欢公主。            
(3星)	 六个女孩儿围坐在一台电脑前，叽叽喳喳回顾了这部琼瑶经典            
(4星)	 咆哮啊咆哮            
(3星)	 琼瑶阿姨的剧，哭戏太多了，应该找个脸盆接着。            
(3星)	 曾经的经典剧集            
(3星)	 怀旧 三弄里最邪的是这部～            
(3星)	 到现在还会唱那个歌。。。            
(3星)	 景涛蜀黍，，咆哮派哈哈哈            
(3星)	 留下的印象只是，初中，放假，边看边拿毛巾擦眼泪            
(3星)	 只记得马景涛那一吼啊……            
(NA)	 啧啧，我还是看过不少琼瑶剧的            
(4星)	 能不能为你再跳一支舞只为你临别时的那一次回顾你看衣袂飘飘，衣袂飘飘天长地久都化作虚无...知我如你，怎不听我从我？知你如我，怎能逼我强我！...            
(NA)	 琼式爱情没人能躲的过的。            
(5星)	 就那么回事吧~ 装束很好看~            
(4星)	 剧情不记得了，就依稀记得大吼了，歌好像挺经典的            
(NA)	 还成吧，歌很好听            
(5星)	 太美了            
(NA)	 严格的说之看了一半            
(4星)	 梅花一弄断人肠梅花二弄费思量梅花三弄风波起云烟深处水茫茫吟霜背上烙下的梅花烙，也在我心里留了印记~~            
(3星)	 喜欢公主啊            
(NA)	 梅花三弄。。第一部            
(NA)	 小时候觉的陈德容最美            
(3星)	 陈很惊艳，马很变态            
(3星)	 小时候的经典            
(NA)	 都没啥印象了            
(NA)	 最爱马景涛             
(4星)	 悲            
(4星)	 琼瑶经典。看了结局才知道居然是个大悲剧，中国式的罗密欧与朱丽叶。            
(4星)	 多年后重看，果然比现在很多电视剧都好看            
(4星)	 最后化为两个白狐，终于在一起了~            
(NA)	 小时候            
(1星)	 典型的琼瑶戏，外加马xx的大喊大叫，要不是陪老妈，鬼才会去看这个            
(NA)	 很经典            
(4星)	 问世间情为何物？直教人生死相许。            
(NA)	 梅花三弄            
(NA)	 想当年的穷摇阿姨的经典剧目。            
(NA)	 马式咆哮1            
(4星)	 梅花三弄之一            
(4星)	 那时候的陈德容真是惹人怜爱            
(3星)	 记不住了……            
(4星)	 马景涛绝对是咆哮帝            
(3星)	 琼瑶阿姨的作品都是眼泪花拉的.            
(NA)	 god，第一次看时六年级            
(NA)	 1992年            
(3星)	 很多年前看的 有点淡忘了            
(4星)	 问世间情为何物            
(4星)	 粉妆玉琢的吟霜，如果马景涛没有那么歇斯底里，还是灰常英俊的            
(3星)	 哭天抢地就是这样，白吟霜，多好的名字，唉。。。。。。            
(4星)	 小时候看的……            
(3星)	 好老的了哦都快记不起了            
(4星)	 惊为天人的吟霜。            
(5星)	 那时的陈德蓉是我认为最美的女人了            
(4星)	 小时候电视娱乐等行业还没因为《还珠格格》火一把的时候，这就是很吸引我们的节目了。            
(3星)	 梅花三弄中唯一一部以悲剧收场的            
