http://movie.douban.com/subject/2279912/	美味情缘
(5星)	 虾头很可爱的 看看不错啦 心情可以放轻松             
(3星)	 小饭桌天天看！更关注林峰和杨千嬅呵呵~            
(4星)	 2006            
(4星)	 喜欢最后一集~            
(4星)	 看过的第一部港剧            
(4星)	 记得当时真的很喜欢，不知不觉过了这么多年了            
(4星)	 看着满心欢喜.最近又是老电视剧控.            
(3星)	 片段记忆            
(3星)	 最初出道的剧了，和杨千嬅第一次搭···            
(5星)	 因此听了8年快乐与哀愁            
(4星)	 错过很可怕            
(4星)	 想起那时候无忧无虑看港剧的日子            
(5星)	 看了一遍又一遍            
(5星)	 N年前看的一部，真是好极了，现在想起来都觉得很好……            
(5星)	 有了林峰怎能不捧场，虽然只是个小角色。            
(4星)	 我看峰少的第一部剧            
(NA)	 小歌还不错~            
(4星)	 又有Flora又有Miriam，想不打高分都不行！顺便祝阿Fa结婚幸福！荣升丁太！            
(NA)	 呵呵 最初的愛···回憶起中學時代啦···當時喜歡的不得了            
(5星)	 很久以后，才发现那是林峰和杨千嬅            
(4星)	 还是承认看过比较好..因为种马德而扣一粒星..            
(3星)	 天。。。            
(5星)	 很轻松的温馨片            
(4星)	 很阳光的一部电视剧            
(5星)	 陈慧珊~~还有杨千嬅~~            
(5星)	 追的第一部tvb电视剧吧！            
(5星)	 林峰首部剧啊！当时好黑啊！            
(5星)	 大爱,哈哈,收藏的.            
(3星)	 两天看完全。我不相信宿命，但我相信性格决定命运。这么闹腾着开心着的港剧，只有那个年代才有了。            
(3星)	 林峰那時好年輕            
(3星)	 喜欢Flora            
(5星)	 很喜欢！有喜欢的好吃的，还有喜欢的演员．有少爷林峰．知道了鱼和羊就是鲜．            
(4星)	 因为这部爱上杨千嬅的歌            
(3星)	 吴启华比较老            
(4星)	 美食 美女 美男 口水都嫌不够啊            
(4星)	 吴启华~马德钟~真系好耐之前啦            
(3星)	 可以看看~            
(5星)	 看了就想去南丫岛            
(3星)	 我爱乔花枝            
(2星)	 林峰早期的作品了。小罗罗            
(3星)	 Flora还是适合演白领啊。            
(3星)	 滕丽名烦死人了            
(4星)	 初三看的港剧，当时很迷。。。青葱岁月            
(4星)	 19歲的林峰。            
(4星)	 不知道该把本片做个什么标签，暂时就用“情”and“美食”吧！因为喜欢《妙手仁心》里的吴启华，所以也喜欢本片。记得那是高中时候CCTV8播过的片子。很古老了。不过还是要支持下！            
(4星)	 青澀的少爺~            
(4星)	 很多人通过此篇认识林峰、吴启华、陈慧珊和杨千嬅，当年在央视某个频道的一瞥。            
(3星)	 我看林峰的第一部剧！            
(4星)	 喜欢上了杨千嬅            
(NA)	 so summer！LOVE 南丫岛！            
(NA)	 很久以前            
(NA)	 还是不错            
(2星)	 杀时间用呗就            
(4星)	 厨司的伟大 能够做出让人开心享用的食物            
(4星)	 戏如其名，喜欢~            
(NA)	 从这部戏真正喜欢上林峰，有趣，特别是对“鲜”的解读            
(5星)	 迷戀Joyce =0=            
(4星)	 又是很多吃的。。好多海鲜……            
(4星)	 當時真的超級喜歡，直到現在也還很喜歡陳慧珊。            
(3星)	 吴启华。美食。情节一般。那时候很流行这种套路。            
(4星)	 喜欢fa.峰如此年轻的时候。            
(NA)	 陈慧珊终于不演OL了。            
(3星)	 TVB的东西还是可以看的，起码台剧和韩剧好太多            
(3星)	 第一部认识林峰的剧，记得杨千嬅的歌都很好听，所以至今喜欢            
(NA)	 虾头好恐怖= =            
(4星)	 很好很好吃            
(5星)	 回忆呀~            
(NA)	 记得看这部剧的时候林峰好不是很有名,杨千嬅也在里面            
(5星)	 最爱的珊剧之一~~~            
(4星)	 这部挺好看的            
(4星)	 恩恩 好看            
(5星)	 虾头君，再也不会有了。            
(3星)	 这好像是我看的林峰的第一部电视剧            
(4星)	 林缝的第一部剧 虽然是配角。。我仍旧印象深刻            
(3星)	 比较欣赏江上游~ 因为是林峰出演的            
(5星)	 陈慧珊 林峰 吴启华             
(4星)	 好像好好吃            
(4星)	 不错的电视剧吴启华和陈慧珊的搭档很不错啊还有第一次演出的林峰            
(5星)	 过去的美好记忆            
(NA)	 真的好喜欢这部剧 让我想起初中时美好的时光 还有里面的生活那么的温暖 这就是我想要的生活的感觉            
(NA)	 我的最爱            
(4星)	 那时候超喜欢陈慧珊，爱看            
(3星)	 不是太fan            
(NA)	 记得初中的某国庆CCTV1中flora，虾头，舅妈...很爱的一部剧            
(5星)	 初中时看的了，那时候很爱杨千桦的国语配音，声音好CUTE的说。            
(4星)	 美食诱惑            
(4星)	 第一次看到有关美食的剧集，好像在五一长假的时候在中央台放的，哪年都不记得了。            
(4星)	 很清新            
(4星)	 记得那条鱼－苏眉～            
(4星)	 喜欢剧里的每一个人            
(NA)	 应该是我第一部看的林峰的片子~~那时候的林峰好嫩~~~~~            
(NA)	 2001年            
(5星)	 最喜欢的一部            
(NA)	 美味情缘            
(5星)	 林峰同志的电视剧处女作(主角),二十岁的林峰演二十岁的虾头,值得一看            
(4星)	 喜欢林峰            
(3星)	 the rest of my memory just has mirian?            
(NA)	 看过好几遍,依然很喜欢            
(4星)	 美食真是多多，其实剧情也都得            
