http://movie.douban.com/subject/2279816/	少年张三丰
(2星)	 为毛李冰冰最后没跟他一起！！！！            
(3星)	 07            
(3星)	 我真的看过吗？            
(3星)	 当时特喜欢严宽演的那个。就是太..额 不算男人。被那破公主搞了 真囧            
(4星)	 张卫健的风格我还是蛮喜欢的~            
(4星)	 可惜，一开始就知道男女主角是没有结果的。            
(2星)	 真没觉得严宽在这里有多帅。            
(NA)	 好喜欢里面那个泰国人演的角色            
(3星)	 结局不喜。            
(3星)	 严宽妖孽            
(5星)	 貌似第一次看张卫健的就是这部了.            
(3星)	 我觉得吧这部戏的亮点是苏有朋，严宽演的那个人蛮莫名的。            
(NA)	 噗            
(4星)	 主题曲不错            
(3星)	 记号            
(2星)	 打发时间。            
(3星)	 莫名其妙，美女很多，一如既往的张卫健，让我惊喜的是，很有萌点的众多男配。            
(5星)	 张卫健主打之一！            
(5星)	 最后的结局让我有点难过            
(3星)	 其实张卫健还算是个比较搞笑的男人。虽然他搞笑的方式比较单一了那么许多点。            
(5星)	 最喜欢李冰冰            
(NA)	 喜欢张卫健            
(4星)	 不错。。            
(3星)	 好久远好久远            
(4星)	 始终不能接受这样的结局！            
(3星)	 又一被恶搞            
(4星)	 比较喜欢的一部早期电视剧就是了..当做怀念好了.            
(5星)	 小时候很喜欢张卫健            
(4星)	 我喜欢  张卫健老又咋了  他就是特适合演这些 故事很喜欢  女主角都喜欢  爱情也很喜欢  这里面的苏有朋也很有爱 武林高手 有点颠  不是第一 但很完满 就像古龙笔下 另一个西门吹雪 快乐版西门吹雪 是吧 女主角也都很漂亮啊              
(3星)	 张卫健和李冰冰的N度合作，有TAE哦。。。            
(3星)	 印象深刻的就是王艳与苏有朋在里面出演过            
(3星)	 主题曲好听。李小璐漂亮。            
(4星)	 娶老婆一定要慎重，看名剑山庄少主人            
(4星)	 好看。            
(5星)	 好看＞。＜            
(5星)	 易继风 唯一愿意看下去的人物            
(3星)	 当时唯一的反应就是好多明星啊。。。。            
(2星)	 就记得李冰冰头上的那团了，超难看的剧。然后惊见有人评论：被张卫健毁掉的暑假还不嫌多吗？  顿时笑翻~            
(4星)	 要撑一下dicky            
(4星)	 李冰冰的出现。            
(3星)	 苏有朋你来搞笑的= =            
(4星)	 老早看的            
(3星)	 小时候看的。呵呵呵呵。            
(4星)	 我还记得她说这么好看的电视剧你不看。            
(5星)	 又把他重新看了一遍，还是有笑有泪，不禁要问，现在的编剧都死哪去了            
(3星)	 逗乐玩儿。            
(5星)	 这个我也爱``我还真是家族遗传``超爱古装武打``就说我没品吧``哈 `            
(4星)	 因为李冰冰没跟张卫健在一起。            
(3星)	 当年是真的真的很喜欢……            
(3星)	 曾经很爱看张卫健...捂脸...            
(3星)	 原来我们都是这么长大的……我喜欢那个结局            
(5星)	 好些年没看了，但是想起来还是有种想看的冲动。易天行太有感觉了，还有漂亮姐姐，翠山，徒弟们。。。。数不尽的津津乐道，还有君宝。。。            
(3星)	 看过            
(3星)	 莫名其妙在张卫健唤醒记忆时感动了，最后看到他们就这样错过一生，遗憾。            
(5星)	 这个超搞笑，李冰冰的扮相也漂亮。            
(5星)	 我喜欢            
(4星)	 不错            
(3星)	 有点不记得了            
(3星)	 还是张卫健一贯的古装喜剧电视剧套路。但是我还是蛮喜欢的。            
(3星)	 当时李冰冰给我的感觉真是太漂亮了！            
(NA)	 儿时偶像~~~            
(NA)	 最后一集我是百看不厌，有点大道理，很深刻            
(3星)	 黑芝麻白芝麻哇发哈。。。            
(3星)	 太极大败逍遥王的故事            
(4星)	 玉儿的人妻造型真美好~以前我怎么没发现易继风小朋友十年如一日悲催的演技……然后萌CP依然很美好~            
(3星)	 那个时候超级喜欢张卫健的！西域红娘竟然是小鱼儿与花无缺里的皇妃这点令人受不了！@Home            
(4星)	 小学的记忆，剧情快忘完了，但是那时的点滴忘不了。            
(5星)	 此次爱上张卫健            
(4星)	 那时候是真..........            
(2星)	 很想为了严宽追下去，但主角真的让我忍无可忍！！！            
(5星)	 这部戏让我认识了严宽。            
(4星)	 54李冰冰，严宽当年的颜真是没话说，只可惜角色死太惨了而且性格定位也不好。张卫健苏有朋也不错。            
(4星)	 对敌人的仁慈就是对自己的残忍……=   =            
(3星)	 暑假的爱好            
(NA)	 好像看不全            
(4星)	 很多年前看的了，好看。            
(3星)	 那个时候到处都看到张卫健的光头= =            
(3星)	 02年时看的，，            
(4星)	 TAE帅啊~~            
(3星)	 额，当时觉得张翠山很帅来着            
(3星)	 哎、、、以前我是这些连续剧的忠实拥护者            
(3星)	 当年张卫健真火。            
(4星)	 哦，我爱严宽。李冰冰在里面的装扮也很美。只可惜，多年以前的那个结局好好把我那是脆弱的小心肝儿蹂躏了一把。            
(4星)	 张卫健……            
(2星)	 顺便。。            
(4星)	 不错的 就是看到张卫健总有种油头滑脑的感觉            
(3星)	 感觉是卡通版的张三丰            
(4星)	 容容啊~~~~            
(NA)	 以前总喜欢张卫健搞笑的表演~            
(NA)	 哟            
(4星)	 冲着这么多美女，多给你一颗星吧            
(3星)	 秦思容啊秦思容tv            
(5星)	 张卫健 演技永远好看            
(4星)	 当时电视剧频道 黄金档一天两集 吃完晚饭就等着看 好怀念            
(5星)	 很久之前看的了 还是很喜欢的            
(4星)	 想当年,冰冰姐和小璐姐还是非常嗲额            
(2星)	 这个就是太扯了。。失忆神马的最讨厌了。            
(4星)	 原来张三丰也年轻过。。            
(4星)	 喜欢tae！            
(3星)	 那时候的李冰冰，哇塞，还在长残期            
(4星)	 因为是张卫健所以看的因为是李冰冰所以看的当时因为看了机灵小不懂，所以比较迷这二人其中的歌唱道孤独不苦什么的都挺喜欢的            
(3星)	 不记得剧情了            
(4星)	 其实我蛮喜欢这个的            
(5星)	 那时候觉得张卫健好帅好帅            
(5星)	 片尾那首《孤独不苦》，让小时候的我隐隐约约地感觉到了 情意与惆怅，从来都是两相伴。            
(5星)	 小时候每天晚上都会看看完才睡觉直到40集播完……            
(4星)	 还不错啦~            
(4星)	 曾经上海台疯狂迷恋张卫健啊            
(3星)	 挺有张卫健风格的。当时的配角现在都是明星了。            
(5星)	 从头到尾都搞笑,到最后的淡然感动            
(4星)	 大爱，李BB在里面很PP啊，剧情又恨逗            
(2星)	 当年白衣李冰冰是有多美~            
(5星)	 当年可是每集必看~~~《上海电视》连续数周收视榜首~~一段时间很多评到同时播放的好剧~~            
(4星)	 哈哈~一年一部 张卫健            
(5星)	 评分乃个人情感原因~秦思容~嗷嗷~            
(3星)	 那时候觉得还是不错的。            
(3星)	 小时候看的。。但我清晰的记得我不喜欢李小璐            
(4星)	 稀饭里面李小璐的那个角色~叫什么忘记了~那个角色感觉很可爱而且很真实            
(NA)	 李小璐超可爱的            
(3星)	 当年迷恋张卫健时觉得他演的什么都好看，现在想想这片子其实很一般，但是一直很喜欢里面冰冰的思蓉，爱的那么苦让人很心疼。            
(4星)	 从此灭绝师太在我这里就变成了李冰冰              
(4星)	 最后没在一起 我表示遗憾             
(3星)	 被里面的严宽秒杀过。。。            
(4星)	 鹧鸪仔            
(4星)	 四星打给我常看电视剧的那个年纪里喜欢的一票演员：李小璐，胡静，李冰冰，严宽，等等。严宽那个召唤剑的招式很帅。            
(NA)	 = =我居然看过那么多连续剧 那么多还是张卫健的            
(3星)	 这部剧里TAE太抢眼了            
(3星)	 老片子              
(3星)	 这些电视剧我要做一下标记...            
(3星)	 应该是看过，虽然完全不记得剧情            
(3星)	 儿时的回忆~            
(4星)	 童年啊！孤独不苦这首歌太棒了            
(3星)	 里面年轻的苏有朋，恁是成了叔叔辈的人物，哎呀。            
(3星)	 哪有小孩叫自己妈妈花姐的？！只有方世玉吧：）            
(4星)	 突然发现小时候看过的电视还真不少            
(4星)	 我的童年时代……            
(4星)	 张卫健，原来我看过你那么多连续剧的啊~~            
(4星)	 小时候爱看。。。。            
(3星)	 高中我的100分，现在男女主我都不感兴趣了。。。            
(3星)	 讲述了武当派创始人和峨嵋派创始人之间的情史。            
(4星)	 小时候很喜欢。有张卫健的片子都得看看。一直记得那句台词：她姓狐，名狸精。 .......            
(3星)	 因为李冰冰扣一星。。不然阵容还是很强大滴            
(3星)	 不如机灵小不懂了，但还是暑假的寄托            
(5星)	 李冰冰和张卫健那么配的。里面苏有朋很可爱。            
(4星)	 不错滴            
(4星)	 张卫健  电视剧版周星驰~ 貌似他的电视剧我几乎都看过~            
(3星)	 喜欢里面不算是主角的严宽啊！            
(4星)	 结局太莫名了。。道士和尼姑 歌很不错            
(3星)	 里面很多人现在都很红了，除了主角...            
(5星)	 李小璐死的那集我哭的稀里哗啦！！！！！！！            
(2星)	 又见LBB...张卫健的演技越来越不好...            
(3星)	 冲着张卫健看的            
(NA)	 小时候看的 还很喜欢= =            
(3星)	 没有小不懂好看            
(4星)	 好看好看            
(3星)	 其实不怎么待见张卫健，但就是看了很多他演的古装剧。            
(NA)	 小学晚上窝床上同爸妈一集集看的。张卫健系列片。            
(3星)	 这个印象比较深            
(4星)	 我发现我以前还真是无聊。            
(NA)	 那个时候我还是蛮喜欢张卫健的。还有冰冰演的秦思容。            
(3星)	 少年往事么            
(3星)	 我就记得苏有朋在里面演严宽的叔叔，严宽和王艳这一对凑在一起还蛮好看的，但是后来为了什么大业就负了王艳，呃，太久远了……张卫健演什么都一个性格，都没突破的~            
(4星)	 其实很好看            
(4星)	 当时可喜欢了            
(3星)	 张卫健还是挺幽默的            
(3星)	 那会喜欢张卫健            
(NA)	 笑死啦            
(3星)	 张卫健演的永远都是一个样子            
(3星)	 哎、、、以前我是这些连续剧的忠实拥护者            
(3星)	 其实我是陪mama看苏有朋的。            
(3星)	 胡静和片尾曲            
(NA)	 你错了，不是爱，也不是恨，只是看不到你~            
(3星)	 那时候，每次放暑假，必有张卫健            
(3星)	 这个有点烂的说~~~            
(4星)	 小时候的记忆            
(3星)	 ~\(≧▽≦)/~            
(5星)	 大爱啊大爱~虽然一直不太喜欢李冰冰的~不过这部片里也不赖，李小璐在里面就可爱很多了~            
(4星)	 怀念看它的时候            
(3星)	 忘了讲什么了- -            
(4星)	 严宽好帅！！！！            
(3星)	 这里面苏有朋很可爱，严宽很帅，结局让我内伤            
(3星)	 纪念我中二的那段岁月。            
(NA)	 大爱这个电视剧            
(3星)	 里面比较喜欢李冰冰            
(NA)	 童年啊!            
(4星)	 超喜欢李冰冰，认识李冰冰都是从张卫健的电视剧开始的。            
(3星)	 一般...            
(3星)	 严宽.            
(4星)	 少年回忆啊~很心疼李冰冰的~            
(NA)	 我不知道现在去怀旧是不是就会很失望。            
(4星)	 结局悲剧。。            
(NA)	 小时候可喜欢了            
(4星)	 这部戏让我认识了严宽，当初他就是在这个剧中最吸引我的男子。那时的胡静很青涩，还有婴儿肥。            
(3星)	 当年因为结局黯然神伤。囧            
(4星)	 张卫健扮演的角色都差不多            
(3星)	 主题曲很好听，不喜欢最后结局。            
(NA)	 为的看明星吧            
(4星)	 里面的角色我几乎都喜欢            
(4星)	 那群学生挺好的 李小璐怎么就死了呢。。冰冰怎么就出家了呢。。。它酷酷的样子还挺好的。            
(3星)	 配音差了点，拍摄中的一些细节也不够细不过还是觉得不错的。。。至少片头曲不错            
(4星)	 跟着我妈一起喜欢张卫健            
(3星)	 zzz            
(3星)	 tae很帅呢            
(4星)	 喜欢张卫健+李冰冰            
(3星)	 还行吧，王艳的角色挺有突破的，看得时候我就发觉严宽同学真是帅G一枚啊口水~            
(4星)	 超爱里面的君宝和思蓉，所谓刻骨铭心也不过如此吧。还有主题曲，超级爱！            
(4星)	 张卫健的都还不错            
(NA)	 第一次见胡静 觉得好清秀好漂亮·····            
(3星)	 张卫健模式开始走向末路，但还记得最初在这里看到胡静时的惊艳            
(4星)	 是我喜欢的故事            
(4星)	 这个小时候最喜欢!!!!!!!!!            
(4星)	 这部剧的贡献在于让大家发现了严宽。。。            
(1星)	 乱七八糟，不晓得要表达甚，张卫健乃就接着转圈圈浪费胶片吧            
(3星)	 张卫健的片子基本都挺好看的~~~            
(4星)	 又是很张卫健风格的剧，但是美女如云啊，王艳，李冰冰，胡静……可惜结局不好……让我郁闷了很久……            
(5星)	 当时就是初中放假看的这个，迷上冰冰的            
(5星)	 个人爱好。            
(2星)	 张卫健的片子真的只看一部就好了            
(4星)	 主要是喜欢那个片尾曲            
(3星)	 小时候特喜欢张卫健            
(4星)	 那时候算是明星云集了~~~            
(3星)	 张卫健很可爱。            
(4星)	 喜欢            
(5星)	 喜欢他的样子 哇哈哈            
(3星)	 还好             
(NA)	 大家都说很好看。。。可是我真的无感啊            
(4星)	 为了严宽            
(3星)	 李冰冰是个杀手，，很酷的说。。我喜欢。安            
(4星)	 结局处赚人眼泪            
(5星)	 张卫健拍得最好的一部            
(4星)	 记得当时看的电视剧都是他的 从棋武士 到机灵小不懂 神探方天谬 少年张三丰 后来他演的戏怎么越来越搓了呢?!一直坚信张卫健和李冰冰是一对 主要是因为机灵小不懂和少年张三丰 太有爱了 啧啧            
(5星)	 闭上眼出现的第一个人。。。            
(4星)	 对片头曲和片尾曲印象深刻            
(4星)	 只要是张卫健演的基本都喜欢。            
(3星)	 结局不好。。。            
(3星)	 因为小不懂后才会看这部又是他俩搭档的，没想到。。不好笑！            
(5星)	 张卫健的又一经典代表作            
(2星)	 看过的电视剧中算有非常突兀的剧情            
(4星)	 那时就希望苏有朋和李冰冰在一起。。。            
(4星)	 奇奇怪怪的张三丰，不过正是我喜欢张卫健的时候。            
(NA)	 张卫健的巨作            
(4星)	 2007            
(5星)	 太喜欢里面李小璐演的那个神婆了……死的时候我貌似还哭了？……            
(5星)	 我觉得蛮经典的。            
(3星)	 这个张卫健...            
(4星)	 这样的老师也不错啊~            
(5星)	 很喜欢的一部电视剧，小的时候看的，已经温习了好几遍，为什么张三丰不能和秦思容在一起呢，好伤心            
(3星)	 喜欢张卫健演            
(NA)	 其实老早我是喜欢张卫健的．．            
(4星)	 轻松 搞笑            
(NA)	 从这部开始，再也不看张卫健了。。            
(2星)	 还曾不喜欢            
(4星)	 我小小年纪就明白了——对敌人的同情就是对自己的残忍好像是啥皇叔说的            
(4星)	 中学时代。觉得特羡慕那时的他们。服装美。武打爽。            
(5星)	 我只是想他了。            
(NA)	 看过……不错……            
(5星)	 着应该也算是当年的经典吧。            
(3星)	 一直以为最后张三丰能和秦思容在一起……结局还真出乎意料……里面还有泰国的Tae吧？            
(4星)	 胡静那时候好美啊，不得不感叹张卫健选女演员的眼光。            
(3星)	 俺还是喜欢何家劲版的            
(3星)	 原来我曾经还很稀罕张卫健的么            
(3星)	 张卫健的片，还是不错的            
(4星)	 苏有朋演的疯疯傻傻的            
(3星)	 没有那么出色            
(3星)	 我喜欢张卫健的搞怪            
(4星)	 君宝~            
(3星)	 古装            
(3星)	 没有特别出彩的地方…            
(4星)	 虽然结局两个人没有在一起，但是却又不少很禅的地方            
(4星)	 李冰冰不错            
(3星)	 易继风，悲情人物啊~~              
(3星)	 可爱的李小璐            
(3星)	 还是张卫健的风格……            
(3星)	 喜欢张卫健啊那时候。            
(4星)	 看过，但不完整~~可惜~我想我不会看第二次了吧~~            
(2星)	 寝室夜谈要引出某某人时总是可以在这部剧里找到……真是汇集了好多人啊            
(3星)	 他们终究还是不能在一起...            
(NA)	 好吧 原来这也算            
(4星)	 有点莫名其妙啊            
(3星)	 主角在里面好像都特傻的样子……但我总是好奇结局而继续往下看。。。            
(4星)	 好看~~            
(5星)	 以前很喜欢张卫健的            
(2星)	 啥也不说了            
(NA)	 初中时的美好回忆啊。。。            
(3星)	 看过方士玉后,觉得这个情节落俗套            
(4星)	 张卫健的电视剧又港又内地，味道刚好            
(NA)	 他的一贯风格            
(NA)	 李冰冰！胡静！太灵了！            
(4星)	 张卫健 比较滑头            
(2星)	 发型好歹敬业点            
(5星)	 太喜欢张卫健了            
(NA)	 无论何时都不能向命运低头~            
(3星)	 很欢乐            
(3星)	 剧情总的来说……有点orz　最后道士和尼姑没在一起……            
(4星)	 演的不错            
(NA)	 难得喜欢的张卫健的作品             
(NA)	 。。。同上 现在已经很少看电视剧了            
(3星)	 典型的张卫健风格电视剧            
(3星)	 一般般            
(4星)	 看tae 有tae！            
(4星)	 都是女人            
(3星)	 有帅哥有美女也...            
(3星)	 讨厌张卫健            
(3星)	 那阵子觉得张卫健演的都不错            
(NA)	 没有小不点好看            
(NA)	 2003年       又名: 武侠张三丰                   
(4星)	 张卫健2012年上春晚了。            
(NA)	 一般            
(3星)	 喜欢            
(NA)	 曾经很喜欢            
(2星)	 不符合历史            
