http://movie.douban.com/subject/2347271/	萧十一郎
(4星)	  那时候的吴奇隆 风四娘还挺有爱的。。。            
(5星)	 小时候天天守着~觉得真是好看死了！！            
(3星)	 吴奇隆。。。再没了。。。            
(4星)	 那些你爱的、关心的、拼命保护过的人，在面对自己的利益的时候，也会在背后捅你一刀。如果今生你会遇到一个像萧十一郎这样的人，你会不会去珍惜？            
(3星)	 吴奇隆和朱茵很配              
(4星)	 吴奇隆~            
(3星)	 吴奇隆魅力不减当年            
(4星)	 当初朱茵真不错啊...            
(NA)	 打分这么低。看来的确有很多人不喜欢            
(3星)	 当年追着看，只是一直不明白十一郎那么潇洒不羁的男人为什么为了一个女人愿意付出那么多。ps，会这么想可能也是因为朱茵在里面真的没什么魅力啊看着            
(3星)	 吴奇隆。            
(5星)	 现在还迷着吴奇隆，那时候朱茵的出场太惊艳，我又看了一遍，大爱古龙            
(4星)	 能得知己如萧十一郎，夫复何求？            
(5星)	 wo灰常喜欢萧十一郎，哈哈            
(NA)	 童年什么的            
(3星)	 我咋那么隔应连城壁呢！            
(5星)	 当年大爱啊，片头曲片尾曲都是那么赞，吴奇隆和朱茵真的好配啊            
(NA)	 最喜欢是风四娘            
(5星)	 小时候觉得太君杀人归来的样子。。好恐怖。。            
(5星)	 偶像充斥大脑的年代，我看了这部电视剧不下十遍。很想说去年还重温过。虽然时过境迁，感觉都不对了。所以，回忆还是回忆最好。            
(3星)	 朱茵在这部戏中不好看，还有，马雅舒击败我了，上次在《大丫鬟》中还惊艳了一下，好奇这是谁，结果百度一看，当年的风四娘啊，折翼啊            
(3星)	 与原著出入颇多            
(5星)	 很喜欢的一部片子，小时候就很喜欢。            
(5星)	 我小时候觉得真的好看。。如此凄美的爱情啊。            
(3星)	 ~~            
(4星)	 抛开现实。我还是很感动风四娘为他做的一切。可是怎么抵得过天下第一美人呢别傻了。            
(3星)	 朱茵长得好好看。。。其实我也只是瞟过。。。            
(3星)	 还行吧！            
(2星)	 当时就不明白为什么那么多人都看。。。。。            
(4星)	 初中的时候觉得很好看来着....现在觉得服装剧情其实都好奇怪啊o(╯□╰)o            
(3星)	 小時候不懂事 看的還是很認真很感動的阿            
(4星)	 看过五六遍！！            
(3星)	 小时候看的⋯⋯一直记得朱茵演的沈璧君 原作一直想看却至今未看过 惭愧            
(NA)	 十一郎这真小三愣给掰成正牌真爱，为了凸显真爱还黑化了倒霉又无辜的连城璧OTZ……            
(4星)	 嗯，高中的时候看的，那时候山东电视台中午两集连播。这部剧真的很美好。整体体现出一种无私和成全，比如相爱却克制的十一郎和璧君，比如风四娘，为了不让自己杀人从容赴死的奶奶。再坏的人也有真感情，比如逍遥侯、连城璧，看了这部剧觉得坏人其实很可怜。            
(5星)	 有一双腐女的眼睛 世界就充满了基情~            
(4星)	 主题曲            
(3星)	 加到欢吧~~反正都这样了~~这时候吴某还蛮帅的·~~            
(3星)	 风四娘这个角色算是选砸了。沈碧君也该找个大家闺秀的            
(4星)	 这部剧里的吴奇隆最帅，小学时很喜欢            
(3星)	 我喜欢大鼻孔的那个配角……            
(1星)	 里面以后朱茵和吴奇隆            
(3星)	 想起了某个青涩年代            
(3星)	 角色没有书中那么惊艳！            
(3星)	 我不懂吴奇隆的帅。            
(3星)	 好囧。。。小时候真彪            
(NA)	 朱茵的片尾曲，那個聲音啞的            
(5星)	 很喜欢啊很喜欢，男主女主都是~            
(NA)	 中午要去卖西瓜卖葡萄，总也看不全，很急            
(4星)	 虽然萧十一郎有点墨迹吧……对，就是太墨迹了            
(3星)	 朱茵的孝服扮相好看其它无感。还有吴奇隆好喜欢            
(4星)	 剧情神马的有点狗血。。。不过演员不错。朱茵很漂亮，吴奇隆也有范儿。            
(3星)	 最开始的十一郎好看，一身黑衣~是吧兔子            
(5星)	 当时感觉十一郎壁君他俩老配了~            
(NA)	 很少人么看过吧。。            
(3星)	 。            
(NA)	 这个时候吴奇隆就开始脑残了...................            
(1星)	 除了朱茵和吴奇隆，请问这部电视剧还有什么东西，三点一线的来来回回，女主角被抓来抓去折腾了这么多次，看不出来有多厉害的武技，就看到马在跑来跑去，看的人纠结，真是浪费时间。            
(4星)	 儿时的回忆~            
(5星)	 当时我真的看了一遍又一遍 还是喜欢            
(NA)	 喜欢            
(4星)	 固然吴奇隆是我多年偶像，剧中于波的连城璧才是最值得关注的。一个人，是如何渐渐扭曲，断了回头的路。真是难以忘记的人物刻画。            
(2星)	 我发现豆瓣上面啥都有。            
(1星)	 别扭剧            
(2星)	 雷死我            
(3星)	 当年觉得朱茵很漂亮            
(5星)	 不好意思，虽然大家评的只有6分，但是我还是给满分，因为太喜欢这个版本的萧十一郎了，尽管跟原著有些不一样，但是看原著心太累，没有吴奇隆的洒脱。还想再看，记得大学时候下载下来反反复复的看，现在又想看了。            
(2星)	 朱茵残了            
(2星)	 只记得很虐            
(4星)	 最最最稀饭十一郎！背景音乐用得不够好，造型有待改善            
(NA)	 你我之间。            
(3星)	 般配般配，朱茵的古装就是美            
(3星)	 就是喜欢连城璧！            
(4星)	 我看过数不清多少遍……            
(4星)	 那时候可说是为他痴为他狂啊            
(NA)	 里面的服装太潮了~~~            
(4星)	 虽然对原著改动较大。。。但是还能自圆其说，人物剧情其实都还不错。。。            
(2星)	 小学时候的精典啊            
(4星)	 最帅不过萧十一郎时候的吴奇隆了~~~            
(NA)	 又是这些人···             
(3星)	 武侠剧拍成了偶像剧，吴奇隆、马娅舒终究还是离婚了。            
(3星)	 你到底爱不爱他，你怎么舍得这么虐他            
(4星)	 这个必须的！好看啦            
(5星)	 哇超好看的,咦~~不过完全忘记朱茵是女主角啊.....这部戏啊,让我痛恨于波一辈子呢...哎....太坏了            
(4星)	 我喜欢萧十一郎。。。            
(3星)	 剧情很纠结，略显拖沓。古龙的书其实真的不适合改编成电视剧。吴奇隆当年虽然很帅，但感觉他不太适合这类型的角色。            
(2星)	 恶恶恶            
(4星)	 吴奇隆这部电视剧还是可以的、            
(5星)	 我最爱的            
(5星)	 善            
(3星)	 紫霞真的美啊             
(3星)	 没咋看明白            
(3星)	 有的特技让人消受不起。            
(3星)	 当年会常热爱啊～             
(NA)	 转弯这首歌到现在还在听。。。            
(4星)	 n年以前看的 很喜欢            
(4星)	 朱茵那个美            
(4星)	 又是很当年的一个作品，各种小清纯小美好呀～            
(4星)	 喜欢吴奇隆 朱茵            
(5星)	 又见朱茵~故事到最后简直脱离武侠了。。。主题曲“转弯”经典            
(3星)	 妈妈硬生生看了11遍，陪看的我要吐了            
(3星)	 还不错的~值得一看以供消遣~            
(5星)	 我当年可喜欢看这种乱七八糟的电视剧了            
(4星)	 看了电视再看小说，还是照着吴奇隆的样子去想的。            
(NA)	 经典啊  回味了N遍！！            
(4星)	 除了最后俗套的特效其他都蛮好的            
(4星)	 老喜欢了~            
(4星)	 因为吴奇隆很帅朱茵很漂亮啊            
(4星)	 上学期又看了一遍，跳着看的            
(3星)	 吴哥被虐 我也稀饭看 我也指这这个活的~            
(4星)	 当年超喜欢超喜欢 萧十一郎~~~and 沈碧君            
(3星)	 为霹雳虎而评，好久远了……            
(1星)	 安徽卫视            
(5星)	 小时候的回忆            
(3星)	 拍的还行。。就是朱茵。。。不谈了            
(NA)	 吴奇隆真是帅啊，想当年把我妈和我迷的一阵一阵的…            
(3星)	 小时候觉得吴奇隆暴帅···            
(3星)	 呵呵  我是连城壁！            
(5星)	 ~~            
(3星)	 连城壁，只是上次电视机重放才记得这个名字            
(3星)	 很久以前我很喜欢看的说~            
(3星)	 先知先觉的不喜欢玛雅舒            
(4星)	 朱MM好黑。。            
(4星)	 童年美好回忆加一颗星！            
(5星)	 我那时候好喜欢看的。            
(5星)	 我就是这么喜欢看            
(NA)	 小时候多喜欢看的 虽然现在看来烂的要命 不过在那个洗脚房随着萧十一郎过的夜却是那一阵最开心的回忆            
(3星)	 风四娘的性子~            
(4星)	 朱茵啊 吴奇隆啊~            
(4星)	 我爱萧十一郎。。很爱很爱，喜欢这部电视剧，并且超爱萧十一郎。也只是对吴奇隆没什么感觉而已。一直以来，尤其尤其喜欢片头曲1分钟内某个时候（他貌似是在树上吧）调皮的表情。。最可爱最迷人，，安            
(4星)	 剧情还是很神奇的。朱茵跟吴很配那。            
(NA)	 呢个~片尾曲还是很好听的            
(3星)	 好折腾，最后总算在一起了。            
(3星)	 朱茵我還是喜歡你演黃蓉那種角色，這種膩膩歪歪的大小姐真的是不適合！            
(NA)	 吴奇隆 吴奇隆            
(4星)	 当年很喜欢吴奇隆~~            
(3星)	 朱茵~~~            
(4星)	 当时很喜欢看。            
(3星)	 除了主题曲好听之外，木有亮点            
(5星)	 生未同衾死同穴~！            
(4星)	 想当初看的是多么喜欢萧十一郎啊！            
(5星)	 貌似是看过的萧十一郎中拍的比较好的一个版本~~            
(5星)	 朱茵 沈璧君            
(4星)	 很小的时候看的，记忆很深。            
(NA)	 恶俗电视剧你还想看多少！不过当时真是特喜欢萧十一郎和沈璧君这一对，中间背离那段看得真特纠结。。。            
(4星)	 风四娘和萧童鞋蛮有爱的。            
(3星)	 周易三宝入门神剧。            
(4星)	 虽然跟原著完全不一样，但是改编的很好。沈碧君很聪明，她和萧十一郎之间的爱情也更加的坚定动人。尤记连城壁说：我一直希望我连城壁的妻子聪明漂亮，现在想来，如果你不聪明不漂亮就不会离开我。            
(3星)	 【三星半】痴情、不羁。我想我喜欢的本就不是大侠而是浪子。荧幕里的风四娘真情真意，可惜现实里的吴奇隆和马娅舒早已破裂。            
(5星)	 太精彩了, 完全独立于小说的精彩!            
(5星)	 吴奇隆力作！            
(NA)	 ●            
(3星)	 朱茵的天下第一美人实在担不起绝色这个词            
(5星)	 当年于波还没有披头，萝莉的我还很迷恋他...            
(3星)	 初中看的时候很迷萧十一郎，现在再看觉得还是喜欢杨开泰和风四娘那一对一点。            
(4星)	 其实我只是记得这个名字。我不淡定了。            
(5星)	 这是小学时看的 个人很喜欢 如果我是这里人物 那我要做风四娘            
(5星)	 最爱的电视剧~~~萧十一郎全中我的萌点~~~~~~~~~~~他是最完美最美好的幻想            
(4星)	 非常喜欢这部戏            
(NA)	 你的最爱、、、            
(4星)	 终于知道小时候为什么那么喜欢萧十一郎了，吴奇隆跟我同一天生的 - -             
(4星)	 感情戏有点拖沓，萧十一郎和沈璧君的爱情没啥看头，反派人物连城璧演得不错，风四娘风骚得漂亮，从科幻角度来说，画面唯美，情节还是跌岩起伏的，不过我觉得剧情到那个大恶人被灭之后就该结束了，而不是被连城壁再次利用，后面的故事一般般。            
(NA)	 靠了......真的！            
(4星)	 朱茵还是很美。            
(3星)	 在第N遍之后终于把剧情补全了……我怎么就那么爱连城壁呢……            
(NA)	 十一郞你的血到底要吐多少才会挂掉            
(5星)	 小学和初中电视台放了无数次看了无数遍，还记得那首转弯            
(5星)	 这么多年后还是看得噶起劲……            
(3星)	 割鹿刀            
(3星)	 还是更爱原著中那个风四娘：原来她一直一直都在等着萧十一郎。            
(5星)	 此剧在我从一只loli变为一只伪loli后仍迅速戳中了我的萌点。            
(5星)	 很美的沈碧君，很俊的萧十一郎。            
(2星)	 这个朱茵说话的嘴巴叫一个怪。            
(4星)	 大爱片头曲~            
(NA)	 最爱这两部啊            
(NA)	 編劇是個虐待狂。            
(5星)	 让人心痛不止的萧十一郎。美人美景。十年后大家聊天想起时会大叫：萧十一郎萧十一郎！！！            
(4星)	 喜欢连城璟和十一郎。            
(5星)	 可以说因为这部剧彻底喜欢朱茵！！            
(3星)	 朱茵这里面怎么那么憔悴啊，吴奇隆还好，于波是最好的造型了。看这个之前在听广播的萧十一郎所以印象比较深刻，这里是HAPPY ENDING，貌似原著不是的            
(3星)	 原来看过吧            
(NA)	 武侠武得太夸张，美女还挺好看的            
(4星)	 朱茵好有气质 嗯嗯            
(5星)	 他说：我想确认他是真心爱她，会照顾她一辈子,现在我放心了            
(4星)	 帅气啊  最后一集激动死了  都哭了            
(4星)	 我发现了，我就爱看古龙笔下的爱情            
(3星)	 童年！            
(4星)	 还不错，虽然我觉得沈碧君的形象应该再白嫩点。风四娘和萧十一郎的感觉到位了@Home            
(5星)	 小时候 确实很喜欢。            
(4星)	 其实是制作粗糙造型诡异的一部烂片，但是四颗星献给我曾经最爱的吴奇隆同学=。=            
(4星)	 大爱雪鹰和灵鹫            
(5星)	 唉唉~岁月不饶人啊。当时吴奇隆和赵薇演侠女闯天关的时候多年轻啊~朱茵当年演大话西游的时候多美啊！~唉唉~都老了啊~            
(4星)	 我还觉得挺好看的。。。。。            
(4星)	 萧十一郎，为爱而生的男子。            
(5星)	 虽然情节有点囧。。但是真的很帅啊  还有朱茵啊，，怎么不老 的啊            
(4星)	 那时好喜欢吴奇隆- -            
(3星)	 转弯            
(3星)	 很纯很天真！不要把女人写得那么天真，男人那么情种，太假！还好故事本身不错            
(NA)	 当年欢喜。。            
(3星)	 我惆怅的如此雷人的电视剧我当年竟然看得如此兴奋~~            
(5星)	 我当年初二啊，迷得不得了啊            
(NA)	 看第一集就觉得会好看            
(3星)	 朱茵的扮相不好看～            
(4星)	 当年超喜欢灵鹫的，啊啊啊~~~那首《转弯》也迷了好久，演员阵容很有爱~~            
(4星)	 于波的第一部剧演得最好了，其他的。。。            
(4星)	 后来才恍觉朱茵原来是块黑炭头            
(3星)	 不喜欢            
(NA)	 城璧啊~为你写的文我怎么删了呢？ ~~~~(&gt;_&lt;)~~~~             
(NA)	 真的觉得吴奇隆很帅            
(5星)	 里面的演员男的帅 女的靓  演技都很实力            
(3星)	 。。。。。。。            
(1星)	 当时所有台都在播 但是我就是超级不喜欢            
(5星)	 不知道为啥同类型的武侠剧那么多而我就喜欢这个！            
(3星)	 唉~当时起网名都叫个这            
(3星)	 都是这一班人马~            
(4星)	 璧君~~~~~            
(5星)	 曾经反复看之。现在仍念念不忘。            
(4星)	 那时候留下的印象是，吴奇隆在树林里吊着藤条出场帅帅的样子，朱茵忘了出场美美的样子            
(4星)	 暑假在家里的凉席上 看 湖南娱乐方的这个             
(3星)	 朱茵还是很漂亮            
(5星)	 我一直认为这是我小时候最喜欢的古装片之一。大爱。            
(5星)	 最初的那一眼，相隔了多少年。我就是爱萧十一郎。            
(4星)	 回忆啊回忆            
(3星)	 其实还是挺喜欢吴奇隆的……            
(4星)	 那时觉得朱茵好丑啊 现在看她挺美的            
(3星)	 朱茵阿朱茵~~要是当初吴哥哥么碰到马大姐则女宁就好了..            
(4星)	 当时觉得吴奇隆很帅的！            
(3星)	 只能说，拍不出原著的意境。。            
(3星)	 现在我只记得小公子~            
(3星)	 真的很囧，但是我当时还挺爱看的            
(4星)	 割鹿刀！！            
(NA)	 童年回忆。天哪我一直以为这是台剧、            
(5星)	 这部剧是在“非典”时期播出的，感谢它陪我度过了一个难熬的时期。也让我感到原来是可以这一种情感的~我感动于十一郎和碧君之间的尊重和信任，从没有所谓的海誓山盟，一切都在心中            
(NA)	 心在心动时受了伤             
(4星)	 最后一集很狗血            
(3星)	 吴奇隆怎么没有原著里面的大胡子咧            
(4星)	 纯为吴奇隆打四星。            
(3星)	 当年还是好喜欢的。。            
(3星)	 当年为此狂追山东卫视半个月，背熟了“蓝翔职业技术学院”的广告词。。。            
(4星)	 前面20几集不错            
(NA)	 那时好喜欢的，朱茵手上的链子好喜欢，演大话西游的时候我也好喜欢她的手链            
(5星)	 我看过多少遍来这没的那个是可喜欢吴奇隆了            
(3星)	 还好啦            
(NA)	 我就是喜欢四娘！不喜欢朱茵讨厌死了 ··            
(5星)	 最喜欢的古装剧 没有之一            
(5星)	 给的星星全是冲着吴奇隆的~~            
(3星)	 小学时看的？不记得了...好像是初中...            
(4星)	 编剧编的不错，古龙原作不算娴熟。好烦那个于波            
(NA)	 当年觉得马娅舒挺漂亮的，之后听闻她和吴喜结连理，如今啊……            
(5星)	 这个真的很不错可能是看武侠的太少的缘故吧            
(3星)	 瞟。。。我继续瞟。。。            
(5星)	 萧十一郎好帅啊…            
(4星)	 特效真他爸假            
(5星)	 吴奇隆很帅，大爱朱茵漂亮+火爆外，还颇有演技；特效什么的，可以去死了。印象里第一次看到于波那个团队，长得差演得撇，之后炮制了无数狗血片子。            
(3星)	 好吧。。。我就是喜欢这里面的连城壁。。。= =            
(2星)	 恶            
(4星)	 我不管化妆还是服装有多囧，时隔多年回头再看的时候，还是很喜欢很喜欢，很少再有剧能让我像小时候那样茶饭不思地等待            
(3星)	 虽然我不满对原著的修改，但毕竟是个颇具人情味儿的戏            
(3星)	 恐怖片一样            
(3星)	 结局挺美好            
(5星)	 非常喜欢的电视            
(5星)	 啊 朱茵            
(4星)	 其实这部我不那么喜欢朱茵……            
(3星)	 朱茵~            
(5星)	 超爱吴奇隆            
(4星)	 吴奇隆和马娅舒的定情之作，当年觉得还不错            
(3星)	 这电视剧貌似成全了吴奇隆和马娅舒的婚姻，不过没想到现在物是人非，都离婚了。。。。。            
(3星)	 吴奇隆!!            
(NA)	 班里            
(3星)	 吴奇隆长得好。            
(5星)	 = =.小学的时候看的了。午睡每天不睡的。就看这个。            
(1星)	 唯一一颗星给曾经美丽过的朱茵姐姐。古龙剧的通病：剧情太差。            
(5星)	 那时代的经典呀。            
(3星)	 其实哈。好GAY啊。。            
(3星)	 喜欢里面的吴奇隆、            
(3星)	 我擦，想想就恶心，马娅舒。            
(4星)	 虽然和书中情节不大一样还是好喜欢            
(5星)	 真好看啊啊啊            
(NA)	 = =            
(3星)	 这时候还觉得，吴奇隆很帅~~            
(3星)	 特别喜欢萧十一郞            
(4星)	 我爱杨开泰=3=            
(3星)	 完全是为了看吴奇隆，马娅舒无愧马桶称号            
(5星)	 我喜欢电影和电视剧是在讲故事。            
(5星)	 最打动我的就是那如一泓秋水般的眼神，温暖，柔软，清澈。若在吴奇隆那个年龄，我也能有那样的眼神，那我的人生，就算没有白白走过。            
(4星)	 吴奇隆很是养眼，却没发现张晋和蔡少芬是一对。            
(2星)	 又臭又长。            
(3星)	 朱茵还真是。。。            
(5星)	 吴奇隆            
(3星)	 朱茵好漂亮~~~~~            
(3星)	 呃……            
(4星)	 朱茵动不动就晕倒……我真服了            
(3星)	 还算经典            
(NA)	 经典            
(3星)	 得儿。            
(5星)	 55555，人家小时候花痴的对象啦            
(4星)	 又见吴奇隆，真是帅极了，又帅又聪明的还正义，家世还不错，功夫也不错，也专情，哪找啊            
(4星)	 印象分超级高            
(2星)	 讨厌马娅舒，厌恶至极            
(3星)	 风四娘啊 现在看来只剩唏嘘了霹雳虎哦            
(3星)	 我那沧海一声叹            
(3星)	 我不大看武侠。打三星纯粹是因为音乐。            
(3星)	 太假了            
(3星)	 当年对沈璧君手上戴的那种戒指手链配成一套的首饰印象深刻            
(4星)	 剧情之流还是喜欢的，只是当年看此片时觉得第一美人沈璧君并不好看，所以多少有些失望~            
(3星)	 还是朱茵！！            
(NA)	 很乐意看的狗血，打发了我的09国庆            
(4星)	 喜欢吴奇隆喜欢萧十一郎，其他人嘛 我沉默            
(5星)	 让人心疼的壁君呐~~            
(3星)	 吴奇隆的电视剧，还是支持下            
(4星)	 当时迷得呀...            
(4星)	 曾经很是着迷            
(2星)	 以前觉得萧十一郎很帅的 ~~~~(&gt;_&lt;)~~~~             
(4星)	 喜欢            
(5星)	 唯一一部集合武侠、爱情、玄幻……所有令我激动的元素在其中的古装剧。绝对的经典。            
(NA)	 哦，古龙作品，还是小虎队的成员，朱茵，再说当初还是挺迷武侠剧的            
(NA)	 朱茵朱茵，。            
(NA)	 历史久远了~~~            
(3星)	 风四娘.            
(4星)	 英雄＋宝刀＋家族使命＋绝色美人＋中boss＋大boss。。。结局的大战实在太让人惆怅了，特像游戏打大机的界面。。这连城璧也很让人惆怅。。。啊，对了，里面的白色系和金色系的衣服倒是蛮好看的原来演风四娘就是吴奇隆的老婆啊。。。            
(5星)	 甜蜜。。            
(3星)	 一般吧~~            
(NA)	 吴奇隆，马雅舒。。唉            
(4星)	 蛮喜欢朱茵的            
(4星)	 挺好看的             
(4星)	 时隔侠女闯天关，再次看到吴奇隆，心情难免激动。如果说水若寒是酷酷的，那萧十一郎就是潇洒的。            
(5星)	 大爱吴奇隆！！！            
(4星)	 朱茵真的漂亮。吴奇隆啊。。除了潇洒和风流倜傥，还怎么形容呢？            
(3星)	 没什么感觉了，都差不多忘了。            
(2星)	 我看过的烂片还真多            
(3星)	 萧十一郎            
(5星)	 我操吴奇隆演的就是小说里面的萧十一郎            
(3星)	 看这部电视剧，我应该算是个很奇怪的人吧：不喜欢吴奇隆演的男主角，反而更关注男二号的连城壁，为了那些他看重的东西，一步步走向毁灭……            
(4星)	 褒贬不一的评价，个人觉得不错~当然，有主观倾向...            
(NA)	 好像看过没印象了            
(4星)	 看了N遍 竟然没腻 喜欢朱茵 虽然在这戏里面不好看吧            
(3星)	 虽然与原著差的老远，看做独立的剧也不错~风四娘还可以更精彩些~            
(3星)	 我姐姐爱看            
(5星)	 只看吴奇隆            
(3星)	 记得那时候我很喜欢疯四娘            
(5星)	 十一郎是我的大爱~~~            
(3星)	 朱茵丑的来            
(NA)	 哇哇哇 我还傻不拉吉的看了n变  当时啊当时            
(3星)	 当年还是挺喜欢的 风四娘那叫一个铁血柔情啊 谁知道如今马娅舒这么对不起吴奇隆 十一郎纯爷们也            
(3星)	 看故事，故事。。。            
(2星)	 朱茵在里面不美是败笔，但是喜欢主题曲            
(4星)	 爽！值得看一看..            
(4星)	 怀念吴奇隆。。。萧十一郎是个无敌好男人~~其实当年我觉得连城璧也不错，我疯了= =            
(4星)	 吴奇隆~a            
(5星)	 当年很喜欢~~~            
(4星)	 据说是因为这部影片，吴奇隆才认识了马娅舒……            
(3星)	 吴奇隆从此成为心目中的十一郎，朱茵成为心目中的沈璧君            
(5星)	 看春晚小虎队想起的。那时候觉得吴奇隆好帅啊！朱茵好美啊！            
(NA)	 明明是20集可以演完的  拖到那么久才结束            
(2星)	 受不了我看过这片！            
(5星)	 从初一开始看，到现在。没有变过。            
(3星)	 感慨朱茵的演技真是好啊            
(NA)	 改编的什么一套。。            
(NA)	 奇隆gg真是无敌帅啊。深情！性感！。。马上就赶上我们言帅了。。不过他脖子真是粗到令人发指。话说吴奇隆是不是有代言隆力奇。。。            
(5星)	 吴奇隆帅！            
(NA)	 &gt;&lt;十一郎啊，还是很帅的！            
(4星)	 嗯~吴奇隆~            
(5星)	 我就觉得这是五星！！！            
(4星)	 迷了很久            
(3星)	 两大主角明显的都老了...            
(3星)	 喜欢音乐            
(4星)	 这部剧可算是从头虐到尾了……一点都不消停……朱茵的沈璧君扮相确实是她最美的扮相了，称的上是第一美人。            
(3星)	 闲。            
(NA)	 是追着吴奇隆看的。。。            
(5星)	 我看了3遍的电视剧，萧十一郎总是令我感动，无敌的身手，冷酷的面容，总是能够打动我，看完了也是意犹未尽……            
(3星)	 那时候好喜欢.... ..呃            
(4星)	 大爱            
(3星)	 我爱的吴奇隆            
(2星)	 吴奇隆的那张大臭脸千年不变            
(5星)	 那个时候的吴奇隆和朱茵真配。            
(5星)	 让人羡慕的爱情，我最喜欢的爱情            
(NA)	 看这电视主要是是因为吴奇隆            
(3星)	 当年第一印象，俊男美女。于是在晚上等家人睡着后偷偷地看，偶尔没看到懊恼地跑去请教同学相关剧情。。。话说，电视改的真多            
(5星)	 是不是我最爱的一部呢！~好爱吴奇隆，可是说着就销声匿迹了呢，好像春晚要出来。期待ing            
(4星)	 记得当时很喜欢看的呢            
(5星)	 其实剧情挺垃圾的，与古龙原著也不符。好在我一向不喜欢听古龙的故事。不过是抗拒不了吴奇隆孩子气的俊朗罢了            
(5星)	 2010.1.9——1.12            
(4星)	 我还去买朱茵专辑了。。。            
(5星)	 心在心动时受了伤。            
(4星)	 吴奇隆穿黑衣服好帅            
(4星)	 中午吃飯的時候發現電視上又在放了...蕭十一郎...            
(4星)	 这也是我一个时代了            
(4星)	 吴奇隆抱着朱茵走出来的一刻，差点哭了            
(3星)	 有一段姻缘告吹了。            
(NA)	 话说吴奇隆和马娅舒离婚了。。。。。。            
(3星)	  = =我真的觉得这类型男人很恶心。方便面头系列 阴柔小白脸派。            
(3星)	 不懂为什么而看得。            
(3星)	 搞来搞去很烦的。            
(3星)	 当年的回忆。            
(5星)	 看了这个特迷吴奇隆。            
(5星)	 好好好好 就是好             
(5星)	 好美的朱茵。。。好深情的十一郎            
(2星)	 當初真是閑，什麽片都看……            
(4星)	 最开始的时候可讨厌沈碧君了，可后来发现这女人一点也不笨，喜欢她甚至于超过了风四娘。PS：我是从那个时候起就讨厌马娅舒了么            
(5星)	 非常喜欢            
(3星)	 2007            
(5星)	 爱上吴奇隆就是因为这部戏，萧十一郎的潇洒、坚忍、风趣实在是让人着迷~沈碧君也在一场场变故中慢慢成长成熟~            
(4星)	 印象中看过的少有的古装片中的一部。            
(3星)	 大爱 萧十一郎~~~            
(NA)	 萧十一郎就被这样HLL的XXXXXX了。。。不伦不类的主题曲。。。            
(4星)	 吴奇隆 ～            
(2星)	 我十分汗颜无语的电视剧            
(2星)	 吴奇隆显然没有小虎队时的青春秀气了，剧情也比较扯            
(4星)	 LOLI时期的最爱，或许很雷人，但当时只觉得无比美好            
(5星)	 想让萧十一郎和风四娘在一起额            
(NA)	 嘿嘿，其实这个片子还是蛮锉锉的，那个王莲花我是这辈子都记得了啊，可是话说这剧其实是正剧吧……汗            
(NA)	 我的最爱。            
(3星)	 那首歌蛮好听的，让我会背了一句诗，叫此情可待成追忆，只是当时已惘然            
(NA)	 啊 那个余波很邪恶的啊            
(5星)	 无敌喜欢里面的十一郎！            
(3星)	 一开始我觉得还行来着            
(3星)	 跟芋头总窝在她家看。            
(1星)	 可怜的吴奇隆…………            
(4星)	 看的时候很喜欢。华丽丽的被虐了。萧十一郎的默默承受和那片情深呐看的当时年少的我心潮澎湃~他总是在吐血总是在受伤总是在被误解~噢 太虐心了 还好后来的璧君很勇敢 两人很幸福。喜欢这部剧。感觉比原著好看。马娅舒的风四娘也很得我心。            
(3星)	 很喜欢这个版本的萧十一郎            
(4星)	 朱茵还是很美。            
(4星)	 我觉得挺好看。。。            
(5星)	 太喜欢了~            
(4星)	 前面几集朱茵很漂亮啊。看过不下五遍。            
(NA)	 真可谓喜欢十一郎到癫起来啦~~~~~            
(4星)	 萧十一郎真是好男人，毁在沈璧君手里了~            
(3星)	 要是连城壁没变成那样，我还是挺希望他的沈璧君在一块的...            
(3星)	 那个假期。。呵呵。。一切都好像在昨天。。。那只已经这么多年了。。。            
(3星)	 !            
(NA)	 曾经很喜欢~            
(4星)	 情节很诡异 但是演员都不错啊            
(3星)	 额。。很喜欢那首《你我之间》，也喜欢十一郎和沈碧君的爱情。。。这样一个潇洒的大侠，亦邪亦正，当然最重会抱的美人归啦~~~            
(4星)	 还好啦，虽然有点纠结~            
(2星)	 受不了吴奇隆的黑色紧身衣 = =            
(4星)	 这个片子算是武侠剧里还算好看的，萧十一郎酷极了。            
(4星)	 后面好曲折哦！            
(3星)	 古龙的　还行　            
(NA)	 渴望萧十一郎和沈璧君般 最初的认定 最终的相守 美到极致的信任             
(4星)	 一朝春尽红颜老,朱茵只剩女人味了。主题《转弯》挺不错的            
(3星)	 我妈看了之后告诉我说朱茵很丑            
(3星)	 老了的朱茵。。。年轻的马娅舒。。。            
(4星)	 朱茵有一点显老了，但还是很美丽。马娅舒难得地演出了点风四娘的感觉。虽然剧本改编得有点吐血。            
(2星)	 我够死马娅舒了。            
(3星)	 一度很迷这部剧~            
(4星)	 据说那一对夫妇就是这出戏开始的……            
(5星)	 不用我说了。老大。马雅舒。十一郎。            
(4星)	 那时候喜欢看吴奇隆。晕死了            
(3星)	 跟原著出入比较大            
(2星)	 继续怨念～            
(4星)	 那时候喜欢看吴奇隆。晕死了            
(2星)	 朱茵老了            
(3星)	 n年前。早已不看古装            
