http://movie.douban.com/subject/2279817/	都是天使惹的祸
(4星)	 李小璐特别青春的样子，当时就很喜欢，觉得很经典。            
(1星)	 long long ago 的电视剧了..            
(2星)	 打发了一个无聊的暑假            
(1星)	 脑残            
(3星)	 小时侯看的            
(4星)	 喜欢呢。还有片头曲，别那么骄傲，我随时可能走掉。            
(3星)	 当时好迷任泉呀~觉得波波很帅气！中国轻喜剧中很好的咯~            
(4星)	 第一次看见李小璐就是通过这个片子 呵呵@            
(3星)	 确实看过……            
(3星)	 想当年我那个爱看哪。因为这个角色我当年可讨厌郭涛了= =！            
(4星)	 哈哈 这个当年可是喜欢得很啦。            
(3星)	 http://www.youku.com/playlist_show/id_1015814.html            
(5星)	 现在想想，那会的精神文化生活真是单调，正因如此，这电视剧才给我这样深的美好印象。            
(3星)	 老老早看的电视剧，那会家里还米电脑。每天等在电视机前多折磨人那。。            
(3星)	 哈哈``我那时候不要太欢喜任泉哦            
(3星)	 感觉好不ZP= =小时候看的~            
(3星)	 李小璐哈。            
(3星)	 记得那个时候金海心唱得主题曲.            
(NA)	 蛮喜欢的一部片子～            
(3星)	 都是天使惹的祸            
(3星)	 小时候喜欢这个，真的很傻很天真！            
(4星)	 少年居家必备            
(5星)	 颜色好，青春            
(4星)	 邵剑波            
(3星)	 当年我是多迷任泉啊~~            
(NA)	 虽然医生蛮帅的，我只记住了那个美国人            
(3星)	 李小路在这戏里真是个小人精啊,把张延衬得那叫一个老气            
(2星)	 翻拍日剧有意思么。。            
(3星)	 ＸＯ～～当时喜欢死这个剧金海心唱的那首主题曲了            
(3星)	 李小璐很LOLI            
(4星)	 李小璐对这种角色的诠释一直很到位　没有她　这部剧会失色很多            
(5星)	 初中时代的回忆啊。超爱的一部。            
(3星)	 中国版的一吻定情，可惜还是差了一点点            
(3星)	 没得看了。            
(3星)	 这也算著名的偶像剧了吧            
(3星)	 国产 偶像……            
(5星)	 那时候觉得小璐怎样都好看！            
(3星)	 很轻松            
(3星)	 初中的好时光啊            
(3星)	 金海心的歌很好听，and others forget            
(3星)	 貌似是和父母一起在七点档的上海电视台看的……            
(3星)	 一般的偶像剧            
(4星)	 连我爸都喜欢的少有的几部电视剧之一，回想当时一家人一边看电视一边吃饭一边笑的情景真是温馨啊！            
(4星)	   记得初三时看的 那时觉得李小璐奇可爱 任泉穿运动装打网球时真帅!            
(4星)	 貌似小如最后给剑波做了个什么加了枣的蛋糕吧。一直想知道那是什么味道。            
(NA)	 那時候的李曉璐 滿喜歡..還有任泉            
(3星)	 任泉叔叔最有名的偶像剧；也让我们认识了李小璐。别那么骄傲……            
(3星)	 那时的李小璐很可爱，任也帅气，是内地偶像剧代表作之一            
(3星)	 妈咪超爱这部片            
(4星)	 哈哈，很清楚记得李小璐的在此剧演的名字叫小如，和爸爸同名。那首《那么骄傲》现在还记忆犹新，偶尔K歌的选择。            
(4星)	 當時真的很喜歡看吶。覺得李小璐真好看。            
(3星)	 算是第一部偶像剧，小学看喜欢的不得了，为了它迟到都愿意，后来翻出来看已经木有当年的感觉            
(4星)	 她还是“天使”，不是“贾乃亮”            
(4星)	 我曾深爱过任泉 .            
(4星)	 好怀念当时的李小璐阿！！            
(3星)	 可还行            
(4星)	 其实当年很喜欢看的            
(4星)	 好久之前看过的,至今印象深刻,呵呵呵呵,然后李小璐很漂亮            
(3星)	 补遗            
(3星)	 那个时候的lxl多清纯            
(NA)	 许多年后，佟大为是陆涛，李小璐是杨晓芸 任泉不知踪迹，郭涛凭借《疯狂的石头》上位 张延嫁给了《陀枪师姐》里面娥姐的前夫            
(NA)	 等等!!!!!!!!!!!!!先讓我笑!!哈哈哈哈哈哈哈哈哈哈哈哈哈!!!!!!!!!!!!!!!!小時候每集必看的!!!!!!!!            
(4星)	 啊啊啊啊啊            
(NA)	 李小璐第一次走进我的视线，还有金海心。那时候李小璐还是贫乳，并无大奶            
(4星)	 啊…… 突然想起看过的好多偶像剧。。。 那时候觉得超好看啊！            
(3星)	 请允许我将此归入偶像剧一档~            
(3星)	 那年一个同学走上了天使之路~            
(2星)	 我去………………            
(3星)	 这片子还挺真的 总比穿越剧好吧            
(4星)	 觉得任泉在里面特别帅！            
(2星)	 全片的亮点是金海心滴片头曲。            
(5星)	 真美好。            
(4星)	 小时候看的,当时感觉挺好            
(2星)	 李小璐，任泉，金海心。            
(3星)	 哇塞！一晃眼十二年了。。剧情是肯定不记得什么了。。那个时候的李小璐其实挺顺眼的。。干嘛要去整容。。            
(3星)	 当时分不清李小璐和周迅。。。            
(4星)	 那时候张延很漂亮啊！            
(4星)	 当初的任泉好帅            
(3星)	 跟着妈妈看的            
(3星)	 小清新的李小璐            
(4星)	 这应该是我看的第一步李小璐演的电视剧 当时还是挺喜欢的 后来不知道为什么就觉得她演的电视剧没什么演技 而且现在年纪到了还是那么喜欢装嫩和撒娇 特别是最近各大电视台都在播当婆婆遇上妈里边她的角色老是会让我想起yanice说的jianai亮事件 真的是omg            
(4星)	 小时候爱看得很~            
(NA)	 好早好早好早以前看的  那时任泉还是那么青涩            
(4星)	 这部剧有多少人的回忆啊.李小璐你继续毁自己吧！            
(3星)	 笑死我。            
(4星)	 想当年 喜欢看啊            
(NA)	 对这个剧的印象就是金海心唱的那首歌，  那么骄傲~~~~~~            
(5星)	 小时候第一部偶像剧呀            
(5星)	 护士长和那个导演好有爱~佟大为也好搞笑啊~在厕所摔断腿神马的~            
(4星)	 片尾曲不错            
(3星)	 现在觉得这片好烂…            
(4星)	 太喜欢里面的李小璐了，年轻就是好。            
(3星)	 这里开始记住李小璐            
(4星)	 多纯情！！！多好看！！！也算是美好的回忆了，但是 现在猪脚们都变得。。。。            
(4星)	 第一部接触的偶像剧，那时候很迷邵剑波。            
(4星)	 李小璐~任泉~金海星-别那么骄傲~            
(5星)	 那时。我们简单不做作，单纯不修饰。            
(4星)	 五年级看的。当时觉得男女主角都很配。而且因为那么骄傲而迷上了金海心。我到现在都还记得怎么唱。            
(NA)	 哈，那个时候好像很多这种类型的剧。。。            
(3星)	 看了这部剧，觉得李小璐真可爱啊            
(3星)	 也是小时候看的  当年的李小璐多么可爱多么青春啊            
(3星)	 当时很喜欢，只是现在回想很傻            
(4星)	 小学时候每天都要追着看，现在回头看看挺幼稚的。任泉年轻时候真帅，现在鱼尾纹都老多了。            
(4星)	 以前的李小璐很纯的！！现在对她的印象满脑子都是排出毒素 一身轻松！！            
(4星)	 李小璐那时候真可爱！酒窝甜死了            
(5星)	 哈哈哈哈哈哈哈哈哈哈哈哈！！！任泉梦中情淫啊！！！！            
(3星)	 任泉，你怎么现在光开店也不拍片！！            
(3星)	 任泉太娘了。。            
(3星)	 沙琪瑪            
(3星)	 小时候也很喜欢看呢。。            
(4星)	 当时觉得张延真的好赞啊            
(NA)	 喜欢那时候的李小璐和任泉            
(4星)	 很喜欢这时候的任泉和李小璐。            
(2星)	 剧没太认真看  但金海心唱的那么骄傲真觉得好听  多甜的声音啊               
(NA)	 那时候李小璐还是方脸呢好吗。。            
(4星)	 那时任泉一个帅啊。李小璐一个可爱啊            
(4星)	 居然还有佟大为！！！噗~            
(4星)	 林小如 邵剑波   真怀念那个时候的李小璐啊....            
(5星)	 一星二星的高贵们无敌了             
(2星)	 不喜欢            
(5星)	 爱不是占有，是成全。成全你的幸福。            
(4星)	 小时候很喜欢！            
(3星)	None
(4星)	 以前超喜欢任泉的            
(4星)	 我只记得最后找那个栗子蛋糕了，一直好想吃吃看            
(NA)	 我还挺喜欢这电视剧呢~            
(NA)	 真的没记错，有佟大为==            
(5星)	 原来看我过这么多电视剧——一家人都爱看的电视剧啊~~~            
(NA)	 从妈妈桑的list里捡来的            
(2星)	 今天老妈还在抱怨小鹿整的太突兀了╮(╯▽╰)╭            
(3星)	 以前还是挺喜欢李小璐的啊             
(3星)	 介个也有？？            
(3星)	 啊我10岁的时候            
(3星)	 (╯﹏╰）这算是早期偶像剧的雏形吗。。            
(NA)	 我看的第一部国产言情剧            
(4星)	 当时李小璐和任泉啊……水灵灵            
(3星)	 早期偶像片。            
(3星)	 记得当年看的时候觉得前面蛮好笑的，后来因为某种原因没看下去，现在也差不多忘却了。            
(3星)	 喜欢张延            
(5星)	 第一次迷上李小璐            
(5星)	 张延最美丽的时候~李小璐也是~从那以后两人都残了，只有任泉永远年轻~金海心的声音永远好听~            
(3星)	 那时候觉得很纯情啊            
(3星)	 ...            
(5星)	 小时候的第一步启蒙偶像剧啊！还国产的            
(4星)	 那时候的她  就很可爱             
(3星)	 李小璐。那会儿挺纯洁的。。。            
(3星)	 小时候很喜欢！            
(3星)	 话说我就没喜欢过李小璐 不过任泉是可以的            
(3星)	 那个时候老喜欢李小璐了            
(4星)	 很早很早以前看的，当时最深的印象就是任泉挺帅的            
(3星)	 那时候的李小璐多清纯啊            
(4星)	 当年啊当年，这都一晃多少年了。。那时李小璐还没整鼻子没隆胸。。            
(2星)	 还是喜欢张延            
(3星)	 那时候的李小璐也还没整容。            
(4星)	 李小璐和任泉那时真年轻            
(NA)	 很早就看了            
(4星)	 想当年还是很喜欢的！！！！            
(4星)	 那个时候的李小璐多好，现在我都快不认识了。            
(4星)	 喜欢李小璐。。。            
(3星)	 就是喜欢李小璐            
(3星)	 现在看李小璐风尘味重了好多。            
(4星)	 那时李小璐好清纯啊，张延看的我很搓气啊。。。            
(NA)	 那个男人婆，哈哈            
(NA)	 以前看的时候还觉着挺好看来着。            
(4星)	 小时候很喜欢            
(4星)	 山楂的味道 恩            
(NA)	 !!好多年了！            
(5星)	 那个时候的李小璐啊，现在都成什么样子了            
(5星)	 现在想想，这是人生中看过的第一部偶像剧吧。。。任泉。。。            
(3星)	 那时候巨讨厌李小璐，因为长得很像我喜欢的周迅。。= =            
(3星)	 当年可喜欢了！任泉可帅了！            
(5星)	 小时候好喜欢看啊天哪。。觉得任泉帅爆了简直。。            
(3星)	 太久了，都忘了演的是啥了。。。            
(5星)	 当初我很爱看这部电视 印象很深 难道是我当初太小的原因么- -我一点都不记得是佟大为演的啊 就记得李小璐和任泉 囧。。。。。。现在所谓的偶像剧怎么不学学呢？没事了我也要回顾这部剧~            
(4星)	 小时候觉得任泉好帅啊            
(3星)	 虽然很早就看了。。。            
(3星)	 小学的时候因为它特别喜欢李小璐任泉和金海心，为此还追了李小璐好几部电视剧，很纳闷为什么这部剧没红，不过李小璐的戏一直都接的巨烂，所以我能明白为什么到今天她拼命整容还是红不了……╮(￣▽￣&#34;)╭             
(2星)	 讨厌李小璐            
(NA)	 曾经最美            
(4星)	 太好看了，李小璐那么可爱，剧情有那么搞笑。当时任泉扔了那个戒指，后来又下去捡，我看的居然在偷笑。            
(4星)	 给四星是因为我喜欢张延~            
(3星)	 太纯情            
(4星)	 喜欢当初清纯的李小璐            
(4星)	 剧情挺搞笑的            
(4星)	 青春因此而懵懂了有木有            
(NA)	 里面的李小璐真心可爱            
(4星)	 纪念过去的            
(3星)	 当年的李小璐啊            
(NA)	 那时候李小璐还木有假奶亮。那时候任泉好帅。张延好美。            
(3星)	 那时的李小璐是很天使            
(NA)	 当年很喜欢金海心的歌             
(3星)	 那时候佟大为多稚嫩啊...郭涛还是反面人物呢...            
(4星)	 想当年我看的很起劲= =            
(4星)	 當然以那個時候的眼光評價咯。很喜歡的那個時候。            
(3星)	 多年仁泉多帅啊            
(2星)	 我的妈妈 这都是什么 我咋个如此纯情过 - -             
(3星)	 李小璐好纯            
(4星)	 以前好喜欢            
(2星)	 我小时候很爱看狗血剧啊            
(4星)	 都是我的青春记忆            
(4星)	 那时候觉得任泉可真帅！李小璐真可爱！            
(5星)	 我当时很喜欢任泉我会说吗            
(4星)	 当年看的乐趣无穷啊~            
(4星)	 莫名地哼起主题歌，想念那时候的李小璐、那时候的任泉、那时候的金海心，当然还有那时候的自己。            
(5星)	 当年是有多萌李小璐啊            
(4星)	 当时很喜欢看，林小如很可爱            
(3星)	 李小璐真整过容了啊  还是以前纯            
(4星)	 李小璐那时是理想的天真小姑娘啊。            
(4星)	 我不得不说 这是我人生意义上第一部看的偶像剧 那个时候很喜欢李小璐 特别喜听欢 别那么骄傲 那个时候我多大？小学吧 现在想想再傻 当年也觉得很好看            
(5星)	 干嘛故意刷低分，就你们聪明？任泉演的邵剑波和公孙策一直是心头最爱!结尾小如做的那个山楂味蛋糕想起来就好感动!还有金海心的《那么骄傲》我当时天天哼着这首歌~            
(2星)	 李小璐走进大众眼球的戏吧            
(3星)	 李小璐还是很漂亮的            
(4星)	 童年啊~~~            
(3星)	 片尾曲不错。任泉哪像个医生。。李小璐倒像个护士。其他医护人员演的。。            
(3星)	 李小璐那时候多纯啊            
(4星)	 那时候的李小璐！            
(3星)	 内地偶像剧比较成功的一部 不过白痴女主的套路有点烂            
(4星)	 清新淡然，当年狂爱李小璐，现在翻出来一点也不过时，一点不比那些狗血韩剧台剧差。            
(3星)	 嗯，当时感觉都挺养眼的            
(NA)	 我只说一句，当初也没觉得好看。            
(3星)	 李小璐很年轻啊，当时也分不清她跟周迅。            
(NA)	 早期比较喜欢的电视剧之一。            
(NA)	 很青春的片子。喜欢~            
(3星)	 各式各樣的病人呀            
(4星)	 原谅一个初中的少女看过这以后想去当护士。。            
(3星)	 波波 波波。。。有木有。。。            
(3星)	 小时候看过的电视剧10            
(3星)	 那个时候男人婆还是很女人的，李小璐还是很真实的            
(3星)	 我爱过任泉的！！！！！！！！！！！            
(4星)	 当年很喜欢            
(3星)	 我曾经有多么想当一名伟大的医生！！！            
(3星)	 当年也是全国热播，李小璐这部电视剧就红了，后来才知道里面那个院长的女儿是张延延的，张延真的漂亮            
(5星)	 当年好爱任泉啊            
(3星)	 啊……是初二的时候吗？            
(4星)	 美美的回忆            
(NA)	 男主帅气。。。帅气。。。            
(4星)	 原来这里有郭涛，哈哈            
(4星)	 回到很多年前的那个暑假，咱不能以现在的眼光来评价。。。入门偶像剧啊            
(5星)	 -    -当时的我觉得这个女主角人真不好，还惹祸。            
(3星)	 金海心火了            
(4星)	 剧情什么的都忘记光了，就记得十三点 李宝玲！！！！！！！            
(3星)	 我妈他们还边看边乐呢。。。我姥爷的评价是，女主角跟个傻瓜似的。。。            
(4星)	 小时候老喜欢了·········            
(4星)	 当年看得很投入。            
(3星)	 ←_←            
(3星)	 当时看是很有趣            
(NA)	 那是的李小璐那样的可爱单纯            
(5星)	 好多年了            
(3星)	 当初很多人都把李小璐当成周迅了 我还记得刚在央视8播的时候还上了央视8一个节目 有现场观众说她是周迅捏            
(NA)	 哎呦。。            
(4星)	 小学时代的偶像剧了，80后都老了··            
(4星)	 当年觉得邵建波老帅了~\(≧▽≦)/~            
(4星)	 很好玩儿呀~！我当时可喜欢小如了...可能是因为她也喜欢番茄汁和山楂?            
(3星)	 剧情没什么，但是那个时候非常喜欢，到现在也挺喜欢任泉。            
(NA)	 任泉是个大帅哥。。。            
(3星)	 小璐，是你吗小璐！            
(4星)	 大爱，大爱。林小如简直就是小护士中的超可爱小护士啊。            
(4星)	 李小璐啊李小璐，任泉啊任泉，上初四的时候超爱啊。。。            
(4星)	 小学的时候看的，主题曲很喜欢。            
(4星)	 我记得看了好几遍啊啊啊啊            
(4星)	 认识了金海心            
(5星)	 小学的时候看的时候觉得好好看~            
(3星)	 那时年少各种剧~            
(4星)	 插曲大爱            
(3星)	None
(4星)	 那时候觉得很好看啊！！！！！            
(4星)	 好看            
(3星)	 前阵子重温的片子，小时候的回忆，现在看来，太多BUG，太多露话筒的镜头了，台词对白的时候没有配乐，也显得有点单调，不过让金海心的《那么骄傲》红了一把，估计也骗了很多人去报考护士，啊哈哈哈哈            
(5星)	 这可是老子看得第一部偶像剧啊！！！！！            
(NA)	 当时觉得张延还蛮可怜的说。            
(4星)	 那时候挺喜欢的。任泉绝对师奶杀手。            
(4星)	 当年还是追得挺乐呵的。印象深刻的是林小如拿自己当实验品扎针。。            
(3星)	 医院爱情故事。            
(4星)	 其实只记得李小璐给他做蛋糕那一档子事情了。            
(5星)	 初中的时候超喜欢，包括李小璐和那首《那么骄傲》。            
(5星)	 白衣 天使。。。不错滴。。            
(4星)	 就一个词：李小璐            
(4星)	 真心觉得不错            
(4星)	 爱情启蒙篇。            
(5星)	 当年很爱看！            
(4星)	 那时候大家多爱李小璐。            
(NA)	 李小璐真是适合演这种青春剧诶。任泉也挺不错的不过印象里只演过这一个呢？            
(4星)	 当年的李小璐何其美丽            
(4星)	 演的什么都忘了 依稀记得李小璐很可爱 任泉很帅 好般配            
(3星)	 当年觉得李小璐很漂亮            
(4星)	 小学的时候超喜欢看~            
(3星)	 邵剑波明明就是脚踩两只船嘛！林小如真是太弱智了。                      
(5星)	 单单纯纯，简简单单，喜欢林小茹            
(4星)	 那会儿超级喜欢任泉啊            
(NA)	 李小璐 这么多年 到现在的 婆婆遇到妈  似乎都没有变呢            
(4星)	 任泉，我们的时代。怀念的味道            
(4星)	 那时一直分不清李小璐和周迅，喜欢任泉来着            
(4星)	 妈呀。。2000年            
(3星)	 当年的李小璐还是小护士，就像当年的周迅还是小太平。。。            
(4星)	 李小璐那时候真是个天使            
(3星)	 当年分不清李小璐和周迅            
(4星)	 了解护士就是从它开始,谁曾想10年后的我也会成为一名天使~            
(5星)	 迷任泉啊当年，现在看着都很帅气呢。            
(5星)	 小时候跟外婆外公一起看。蛮好看的。看了n遍            
(3星)	 想当初觉得李小璐还挺不错的            
(5星)	 小学            
(NA)	 这部剧，还是小学的记忆呢，那时真的非常非常喜欢。《那么骄傲》到现在依旧会唱起！            
(3星)	 这个当时看的时候很喜欢。            
(3星)	 这姑娘就爱演没啥气质没啥内涵偷点小懒耍点赖皮的人。            
(4星)	 基本上是我看的第一部大陆现代偶像剧            
(3星)	 萌点多多            
(5星)	 小时候超喜欢。。。            
(3星)	 当年好喜欢那个邵剑波哦            
(4星)	 经典呀，喜欢，捧红了李小璐和佟大为。金海心的那首经典曲目“那么骄傲”又再次红了一把，真怀念小时候，那时候电视上放了好多好看的电视剧，比起现在的好多了。            
(4星)	 曾经的美好回忆……            
(4星)	 我姑实在是不厌其烦的一遍又一遍            
(5星)	None
(NA)	 觉得李小璐那是很可爱…小学三年级的时候？            
(3星)	 当时爱惨了金海心的“那么骄傲”            
(4星)	 五年级。。。            
(5星)	 那时候我还小，我妈妈还很洋气，我俩都喜欢唱整晚胡思乱想....            
(4星)	 我老是分不清楚她和周迅谁是谁            
(1星)	 看见任泉和郭涛我就想撒尿。            
(4星)	 当初无比之爱啊            
(4星)	 哈哈，小时候和妈妈一起看的，当时各种笑抽，后来一直没机会重看。。            
(4星)	 喜欢任泉啊 ~~ 老记得这部电视剧 那时候都好嫩还有 那么骄傲 到现在都记得 ··还有 波波 ··            
(5星)	 那会觉得郭涛很坏，觉得李小璐跟周迅张的很像，觉得任泉张的很帅。            
(3星)	 李小璐护士，任泉是医生，张延喜欢任泉~            
(4星)	 以前好喜欢哦            
(5星)	 卧槽 我小时候迷恋任泉好不好 还把知音杂志上的任泉剪下来啊            
(3星)	 想当年。。。            
(5星)	 美好回忆            
(4星)	 其实蛮好看的            
(3星)	 一直对李小璐无感。。。稀饭张延来着=；=            
(NA)	 小时候的回忆啊            
(4星)	 内时候的小璐多纯。。。            
(3星)	 OH...            
(5星)	 那时候可喜欢看了~            
(5星)	 我那时候觉得可好看可好看了。            
(NA)	 到现在还是很喜欢的！            
(3星)	 觉得里面的张延很美            
(4星)	 那时候的李小璐，真的很漂亮。            
(NA)	 TT            
(3星)	 擦 差点想去当护士~~诶            
(4星)	 当时多么喜欢看啊             
(3星)	 那时候李小璐多么可人儿            
(4星)	 我是看着你长大的。            
(4星)	 小时候特喜欢看~            
(5星)	 蛮有劲的。            
(4星)	 太喜欢了，经典啊~ 波波和小如~ 一提起就是回忆啊            
(3星)	 小时候眼中的小护士就是这样可爱滴~            
(NA)	 那个时候，那个年代，我又默默回味了一次，喜悦依然在            
(5星)	 我的青春啊~到现在我都还想喝番茄汁！那时候的李小璐多招人喜欢。念念不忘的才叫偶像剧，现在的那是什么玩意            
(4星)	 忽然想起的年轻时候看过的哈哈~~            
(4星)	 看的最早的国产YY偶像剧            
(3星)	 哎呀 我都要忘记我看过这片子了！！！            
(2星)	 打发时间的东西            
(2星)	 小时候的回忆            
(4星)	 小时侯喜欢的东西长大都体会不到了 李小璐那时候很青春来着            
(NA)	 只记得金海心的声音了。            
(4星)	 那个时候迷死任泉了。。            
(3星)	 当年身边一扎人喜欢任泉那个小白脸~            
(5星)	 不知看过多少遍~哈哈            
(3星)	 那会觉得任泉实在是帅到没边啊            
(1星)	 扯             
(3星)	 小时候特别爱看。            
(4星)	 小时候看过的 怀念啊！！！            
(4星)	 回忆！！！            
(4星)	 小时候的一部片子……            
(3星)	 其实挺没劲的，可当时就是那么喜欢            
(3星)	 哇塞 居然在豆瓣上看到这些好久以前的电视剧            
(4星)	 原来这就是郑确口中的范小天导演的啊！！！            
(3星)	 历史久远            
(3星)	 记得那时很喜欢看呢。            
(3星)	 看了剧照才想起这里居然有佟大为            
(3星)	 最记得的就是他们最后在喷泉边的那一下。。            
(3星)	 童年回忆。            
(NA)	 中国版韩剧            
(3星)	 这个挺好看的啊 任泉为神马不红捏            
(4星)	 太怀旧了            
(2星)	 以前看时觉得编剧太13了，黑医生真不遗余力啊            
(4星)	 矮油~喜欢李小璐喂。。。            
(5星)	 五年级的时候很爱看啊！！！！            
(3星)	 那时候李小璐还是大平胸……            
(3星)	 当时就感觉任泉这个帅啊~            
(4星)	 连那个单纯的平平的小璐如今都隆了            
(4星)	 一部很可爱很清新风格的偶像恋爱剧集。            
(4星)	 反复看反复看            
(4星)	 就是不客观不理智不冷静了。但任泉当年也是秒杀我了啊。为这美丽的青春记忆吧。四星。            
(3星)	 我少年时代的偶像剧啊``            
(4星)	 小时候超级无敌喜欢啊            
(4星)	 觉得任泉超帅！            
(4星)	 剧中的喷泉啊喷泉，你在哪里～找你找的好苦～            
(4星)	 小时候很爱看。只记得是医生和护士的故事了。            
(5星)	 小时候很迷任泉、、、还有李小璐，她那时候应该只有18岁吧、、、            
(3星)	 小时候看的电视剧了，就记得主题曲了。。。            
(4星)	 初中时候的大爱，爸爸那时候一看到我看这个就说我幼稚，他自己陪我看的时候也笑得乐呵呵的，还说我幼稚，哼            
(5星)	 喜欢李小璐的感觉，非常的俏皮。。。。。。            
(4星)	 ！！！！            
(3星)	 喜欢马如龙这个名字。            
(4星)	 这部是很经典的，李小璐的成名之作。那天我还在跟我妈感叹，当时的佟大为在里面是个名不见经传的小角色，而几年之后，他与李小璐共同出演奋斗，绝对的男主角，世事变化啊。我还喜欢《那么骄傲》，歌儿很好听            
(4星)	 怀念啊。。            
(5星)	 算内地偶像剧的经典作品了吧...            
(3星)	 哎            
(4星)	 这对于我来说应该算是偶像剧的启蒙剧，里面的很多高校镜头我现在都还历历在目，林小如的大条，老喜欢了。            
(3星)	 为什么那个时候会觉得任泉帅?            
(4星)	 当年和老妈一起看的好喜欢的说            
(5星)	 靠.任泉真的是帅呆了.那时候..            
(3星)	 那时候觉得李小璐超像周迅的！            
(4星)	 别那么骄傲。            
(4星)	 那个时候的李小璐啊···            
(5星)	 哎~            
(4星)	 关于love story的first impression 原来这么多人和我一样觉得任泉帅 分不清李小璐和周迅啊            
(5星)	 内地偶像剧的鼻祖吧，当年的李小璐青春逼人啊，虽然现在也各种青春，融化我的心啊，觉得任泉帅疯了。话说，当年确实李小璐和周迅分不清啊。            
(5星)	 年少的回忆呢            
(5星)	 内地最好看的一部偶像剧            
(4星)	 特爱诶。            
(5星)	 小时候看好多遍都看不够            
(4星)	 以前觉得李小璐可水灵了··现在······            
(4星)	 哎呀想起了年幼无知的时候哈哈            
(4星)	 就是因为这部剧喜欢任泉的~~~            
(4星)	 03年四年级时 超级喜欢看的呀              
(4星)	 当时的任泉真是各种美好啊！！！！            
(2星)	 不堪回首的过去……            
(3星)	 对国产偶像剧还是不太感冒，金海心的歌好听。            
(3星)	 那个时候我和死党争着看的偶!像!剧!            
(4星)	 想当年。。。            
(4星)	 哎呦 那个时候的李小璐一点都不做作            
(NA)	 小学的时候怎么会看这么怂的电视剧 哈哈哈            
(4星)	 张延 很喜欢            
(5星)	 这应该是看过的第一部偶像剧吧。记得那时还在读小学，暑假和哥哥姐姐为了在凌晨看到这部电视，总有一个人值班负责叫醒其他人。。。  现在，无论它被贴上什么样的标签，这部电视剧永远是我心中永恒的经典。还记得《那么骄傲》依旧是去KTV常点的。最初的梦想当护士，也许深受这部电视剧的影响吧。            
(NA)	 他们那时候好嫩啊  ps 我很喜欢郭涛            
(4星)	 这里的李小璐最美好~            
(3星)	 哎哟喂，好年轻的时候啊            
(3星)	 小时候觉得挺好看的。。。            
(4星)	 小时候萌的不行            
(4星)	 本来就是童话式的偶像喜剧,teenage的美好回忆而已,认真你就输了~另,金海心唱的主题曲&lt;那么骄傲&gt;,现在听依然很好听            
(3星)	 當初的他們，當年幼小的我們。。。            
(3星)	 怎么说也是偶像剧。= =            
(3星)	 那时李小璐还很青涩~            
(5星)	 最近成天补看小时候的片子。。喜欢任泉，喜欢李小璐，喜欢张延！！！            
(4星)	 当时跟小朋友一起看，可起劲了            
(4星)	 喜欢过任泉。。。            
(3星)	 不喜欢李小璐            
(4星)	 小时候超喜欢的剧，看了好几遍            
(4星)	 童年记忆，奇怪啊分为什么这么低？当时连续播了多少年的，那么多人都爱看，我觉得比现在的电视雷剧要好的多多多！！！            
(4星)	 小时候很喜欢看这类有点搞笑的            
(2星)	 好吧，其实还是不怎么好看。            
(5星)	 年少的记忆啊            
(4星)	 当时觉得李小璐好可爱啊。现在再看这片子。发现那发型真是暴丑的。            
(4星)	 小时候算是爱的吧╮(╯_╰)╭            
(4星)	 当年什么样子的任泉都迷死人            
(5星)	 喜欢李小璐            
(4星)	 AUV            
(4星)	 看它时，我还年轻……            
(2星)	 记得是在温州第二个台看的            
(4星)	 小时看的 印象不错            
(4星)	 恩恩，在我年少无知的时候，特别迷恋的一部电视剧。            
(4星)	 青春            
(4星)	 当时好喜欢看啊            
(NA)	 李小璐还没整容呢            
(4星)	 清纯            
(NA)	 小时候超喜欢            
(3星)	 李小璐好瘦，好小孩~            
(3星)	 我那时候好喜欢看啊～            
(4星)	 好吧，我也曾被李小璐的清纯给迷住过。            
(4星)	 当初那对好清纯！            
(4星)	 任泉那个时候叫那个帅啊！            
(4星)	 这里的李小璐很可爱            
(4星)	 小时候的爱情浪漫轻喜剧 喜欢任泉啊 。。。哈哈！            
(3星)	 小时候别提有多喜欢，记忆中看过的第一部偶像剧。。            
(5星)	 还是很喜欢这部            
(4星)	 李小璐可爱~~~喜欢金海心唱的主题曲            
(3星)	 只记得主题曲很好听，剩下的都不记得了            
(4星)	 那年暑假奶奶家偷偷看的            
(5星)	 当时对医院 护士 医生有无限好感            
(3星)	 3年纪的时候他妈的看的一把鼻涕一把泪的！            
(4星)	 看过恶作剧之吻后开始严重怀疑这部当年我爱得死去活来的电视剧有可能是拟造的后续故事…………………………            
(NA)	 现在看看内时候的人都好青春 婴儿肥也是可爱的            
(5星)	 当时觉得他们是绝配啊。。。            
(4星)	 整容前的姑娘們總是那麼的美好            
(3星)	 童年呀~！！            
(3星)	 童年啊。。。李小璐啊。。。好久没听《那么骄傲》了            
(4星)	 那时侯李小路还是真脸= =            
(4星)	 曾经觉得护士真是个好职业，还可以泡帅医生。。。            
(5星)	 代表雷阵雨之流向那个年代的国产偶像剧致敬！！！！！            
(3星)	 李小璐么，那个清纯的护士            
(4星)	 = =            
(3星)	 当时有评价曰——人红戏不红~~~            
(4星)	 郭涛！            
(5星)	 没办法 再烂也是我温暖的回忆            
(3星)	 小时候            
(3星)	 我当年最喜欢的内地偶像剧………………李小璐内会儿真是好看…………………………            
(NA)	 7， 8歲得時候看的- -完全忘了劇情            
