http://movie.douban.com/subject/4851904/	日本人不知道的日语 日本人の知らない日本語
(4星)	 学日语还是不错的~            
(3星)	 挺欢乐的一部日剧，学日语的看不错，还能学到新的东东。挺有意思~            
(3星)	 一些地方倒是蛮有意思，可以看到一些日语和日本比较好玩的地方...不过故事编得实在一般....演得更是...一般般            
(NA)	 稍无聊的学术            
(3星)	 脑残剧。            
(3星)	 演技夸张，但挺喜欢            
(4星)	 老外们真萌❤            
(5星)	 仲里依纱很萌，虽然剧情有点傻，不过日式励志煽情还算不错            
(4星)	 在拉麵店打工的美國黑小伙Bob，咖啡店女僕裝侍應生俄國美女Diana，鍾情yakuza的法國貴婦Mary，出同人志的意大利宅男Luca，到處尋找忍者蹤跡的天然呆Ellen，夢想當漁民的英國多情種子Paul，肩膀疼痛貼藥膏的敬語達人上班族Jack，擅長做麻婆豆腐也因此闖禍的王，還有幾乎淪落風塵的金麗。            
(4星)	 怎么觉得四位老师都是表情丰富帝？            
(5星)	 好励志。激起我对日剧新一轮的迷恋            
(4星)	 当时看到 “米娜阿货”和“哼那胖子”的时候，把我笑喷了            
(NA)	 1集弃            
(4星)	 有趣            
(2星)	 不知道为什么就是看不下去 虽然我现在也在语言学校是吧            
(3星)	 剧情很无聊，但是个知识贴呀！            
(5星)	 给力作品！            
(4星)	 当时追着看的，被猫耳妹抖龟井绘里萌到啦！            
(3星)	 看了几集~            
(4星)	 虽然有个模式 还是蛮有趣的。            
(NA)	 假如将其看作要追求剧情演技卡司的日剧，达标有点难。个人更愿意将其看成日语学习中的调料，外加人情世故作辅助。对日语昔日流传故事、国家文化和热血老师有偏爱者大可一看，太较真者可免，毕竟里面饰演我国学生的两位演员有过夸张之嫌，看了扯上家仇国恨应不是作者的本意。抱平常心、学习心看较好。            
(3星)	 有些无聊            
(5星)	 很适合学日语的小朋友哦~            
(4星)	 对于初学语言的人来说很不错的..            
(4星)	 順帶學習一下 (*￣︶￣*) 兮 兮             
(4星)	 其实看完之后我对那些词还是忘了个精光            
(2星)	 脑子            
(4星)	 女忍者的日语我记住了哟！！！            
(4星)	 刚看第一集我预计就能打个两星多说三星 为了N2硬着头皮接着看 发现这剧和仲里依纱一样 属于耐看型            
(4星)	 这毕业考试得有多难啊            
(3星)	 换装秀 对吗？  好可爱的人都是  我喜欢~            
(5星)	 对仲里依纱有莫名的好感，不按常理出牌的感觉~~这剧还挺欢乐的，学到了好多东西。            
(1星)	 作为一个德迷，一开始觉得为什么没有德国人，看完觉得幸好没有德国人= =            
(4星)	 精进日语            
(5星)	 寓教于乐的一部日剧。女主每季都会换头上的发式，很喜欢第一集她带的头饰。            
(3星)	 看到这种一股脑的热血真的很烦啊.....听听语法解释倒还满好玩的            
(4星)	 很棒的创意啊！岛国民众一如既往的神奇啊！为啥中国人就拍不出一个中国人不知道的中文来向外国人推广中文呢？由于是漫画改编所以拍得很夸张但这不阻碍它成为日语学习者的必看日剧，很棒，值得反复看！            
(2星)	 烂到爆            
(3星)	 长了不少见识            
(4星)	 女主角超像我姐。            
(2星)	 弃~            
(4星)	 内容挺好玩的 不过表演夸张了点 还有一些无聊的热血剧情╮(╯▽╰)╭ 不顾女主衣服挺好看            
(4星)	 对深入日本文化蛮有启发的~学日语人士可以看看哟~            
(4星)	 能学到一点的            
(4星)	 挺搞笑的            
(3星)	 卧槽日语好难&gt;_&lt;            
(4星)	 长知识的戏~其实我觉得仲里依纱这戏里挺演的，就是老故意摆出那个样子！看多了有点疲劳！看到是黑英雄的客串，这娃长开了张帅了啊！学日语的可以看这戏，很多冷知识来的~~其实我觉得那个意大利宅男长得好异性~~下巴能戳死人了            
(4星)	 必须的看过~~上课看的~是很好的一本片子呦，可以学到点东西。            
(3星)	 敬语有用            
(4星)	 学日语中，很好            
(4星)	 仲里依纱 在里面还真是搞笑的不行，每每出来的造型先都让我笑喷一番            
(4星)	 一星给创意。            
(5星)	 后来有点催泪了~            
(4星)	 日本人对于文化的宣传做的太好了！羡慕            
(3星)	 为了学日语居然坚持看完了...            
(NA)	 2            
(3星)	 忘记看到第几话了 = =            
(3星)	 有点儿无聊...            
(4星)	 好多种鱼的叫法闪瞎眼!!!!!!!!            
(4星)	 短小精悍，笑笑            
(5星)	 感觉学习到了很多知识！！！            
(4星)	 恩恩，喜欢这样形式的日剧。            
(4星)	 仲里依纱你是要拍时装大片么！你是涩谷潮人么！美死了！            
(5星)	 很欢乐，可以学习一些生活用语            
(5星)	 很不错的片子            
(3星)	 轻松愉快。仲小姐穿着mumua很站街的感觉.....吐槽美！            
(5星)	 那一集关于道、悬汉字的含义的解释让人印象深刻！            
(NA)	 作为学日语的，看这个除了能学到些东西，实在想不出什么理由了……演技差，剧情无聊            
(2星)	 luka跟那个瑞典姑娘是萌点！            
(3星)	 日语老师放给我们看的~~女主角果然很雷~~            
(5星)	 什么时候给汉语拍一部？或者拍部关于海外汉语教师的影视剧？            
(2星)	 日语学习方面有点点意思。女主太雷了。受不了脑袋上那个大蝴蝶结还有过分的表演。剧情太白烂，鸡血加狗血的。            
(4星)	 漫画比较好看(′゜c_，゜` )             
(2星)	 人物太丑了            
(5星)	 出乎意外的有趣            
(2星)	 果然我不习惯看教师题材的片子            
(4星)	 初学日语不到一个月的菜鸟表示现在看这部剧有点早。但片子寓教于乐的形式不错，同时启发了自己作为一名（未来的对外汉语？）教师的一些思考。            
(5星)	 有适合的人群哦！比如我！            
(2星)	 一集弃。            
(NA)	 a o i 还是 mi duo li，有意思！            
(3星)	 适合学日语，不过题目虽然为《日本人不知道的日语》貌似贬义，但实是褒义，夸奖自己国家的语言文化。适合打发时间看            
(5星)	 好搞笑，继野田妹后又一搞笑的角色            
(4星)	 很有意思的日语教学剧，中国要是也能拍出这么有趣的剧来推广汉语就好了~~            
(3星)	 女主角特别做作有没有。            
(NA)	 蛮不错的~关于日语和日本的蛮多好玩的小常识。就是演员太次了~~~            
(3星)	 适合学习日语的人观摩            
(3星)	 卢卡在黑板上画了佐助的写轮眼。。。。。。。。            
(4星)	 = =要不要把中国人演的那么白痴啊··            
(5星)	 受教了！            
(3星)	 不知是不是有点仿英国的 mind your language，搞笑的有点做作。不过，也了解了点日本文化。            
(4星)	 为毛评价这么低。。。我觉得片子很好啊。。因为那个中国胖子么？。。为毛一个剧情需要的小丑就能刺激某些人脆弱的自尊心            
(4星)	 真人演感觉很多时候真的很雷啊。。。不过蛮有用的，学到很多            
(NA)	 学日语必备！            
(4星)	 おもしろい。なんかストーリーがへた。本よんだし・・・でも、日本語教師になりたい！！仲里依紗ちゃんかわいい！！！！！！！！！ということです。結構公平。            
(3星)	 我之前很鸡冻的说 貌似可以学点什么 可是结果看到一半 我睡着了            
(4星)	 仲里依纱挺搞            
(4星)	 上课老师给放的。            
(5星)	 又是一个行为举止怪异的老师，作为留学生的他们会很快乐的吧。中国什么时候能拍出这样的电视剧呢            
(NA)	 很不错的呢~适合学习日语。            
(3星)	 用来学日语还不错，当然某些情节是请不起推敲啦~就当一般的校园剧看好吗！！            
(3星)	 刚开始看看还好~越看越烦仲里依纱~不过原田夏希和写真的感觉差好多啊~            
(4星)	 演技做作 取其内容而已            
(3星)	 六集弃。。（竟然看了六集！！！）= =中国呆B龅牙男是怎样！我还是洗洗睡把。。            
(4星)	 学日语还行            
(3星)	 只是为了学日语才能看……要不然枯燥至极            
(5星)	 能学到很多东西呢，更爱日语了 (=^0^=)             
(4星)	 題材很好很好 但是我完全被仲里伊紗的衣著打扮吸引 結果看完其實日語相關的知識什麽都沒記住            
(NA)	 充分说明了什么叫狗血烂剧，不过，嘛内~还是感觉不错的~            
(5星)	 绝对为日语学习者准备的。            
(3星)	 群众演员呆呆的~            
(4星)	 我觉得还行            
(4星)	 很有意思！            
(4星)	 题材新颖，情节很弱~            
(NA)	 喜歡這種誇張又搞笑的調調            
(4星)	 可当教学片            
(NA)	 很有爱的一部电视剧，适合日语初学者看。人与人之间的那种真诚的关心也很让人感动。            
(5星)	 课上老师给我们看的  太可爱了。。。            
(4星)	 学日语的时候看还蛮有意思的            
(3星)	 好想煽女主.....不过对学日语而言长见识了【人人双语字幕好            
(5星)	 高！实在是高！对我而言，这就是经典了。            
(3星)	 還是有點意思的            
(2星)	 学习日语的好素材 但就日剧来说 真的不怎么样            
(1星)	 太2了....            
(5星)	 仲里依纱！suki！            
(4星)	 就那样吧...            
(5星)	 寓教于乐            
(4星)	 好想去上这样的学校啊。            
(3星)	 弃            
(4星)	 各种学习日语            
(3星)	 就當學日語咯~蠻好的~            
(4星)	 给外国人看还蛮搞笑的，不过日本人就。。。            
(4星)	 虽然剧情狗血，但从学日语的角度来说还不错～            
(NA)	 2集弃            
(3星)	 终于有了新鲜点的题材，但漫画式的表演略显夸张做作。学日语的人看这部剧会学到很多东西。最后漫画原著作者出场，居然是个软妹。            
(5星)	 学习日语很好的一部剧，就像我们老师说的，学习一门语言不是只学文字，而是要去理解他们的文化与思想，而现在的语言教学却忽略了这些，在我们背会了那些繁琐的词汇，语法后，却发现自己其实连最简单的生活用具都不一定会说，明白            
(3星)	 仲里依纱二狗妹子,哈哈哈,超像的!            
(4星)	 蛮好的也蛮感动的~~~            
(3星)	 。。。不算推荐 但为了学好日语坚持看完了            
(5星)	 才看前三集觉得很一般……但是到后面突然发现很搞笑……还带那种淡淡温暖的治愈系……            
(3星)	 对学日语比较有帮助 呵呵            
(3星)	 真的是女版二宫和也啊            
(3星)	 好吧，我承認是當教材來看的            
(5星)	 很棒的学习教材            
(4星)	 还是蛮有意思的，对于这种类型的电视剧            
(5星)	 虽然剧情有点傻、但很多关于日语的地方的确挺有趣并且挺有用的！            
(4星)	 了解了许多日语的背景知识，果然还是喜欢活力四射的女孩子啊            
(4星)	 还是不喜欢教师这个职业！            
(4星)	 作为辅助教材还是很不错的            
(5星)	 好喜欢那个客串的小LOLI~            
(5星)	 更爱日本了。            
(4星)	 简单的故事，正面的情绪。看点是女主角和鹰栖日系漫画（动画？）化的表演，看他们俩的对手戏每次都笑得肚子疼。            
(4星)	 出人意料地有意思~            
(5星)	 里面的外国人日语好厉害啊。这部剧很好看，为啥收视率那么低呢            
(5星)	 学日语的同学一定看哈1双字幕的那种            
(3星)	 学日语            
(3星)	 3.5吧，老套剧情奥特曼剧不喜欢，不过是同行的话加1星~            
(4星)	 梦想和日语 真是美好的噱头啊            
(4星)	 对学日语来说很有帮助呢            
(2星)	 一集弃。无趣。            
(5星)	 日语学习贴！一级棒！            
(4星)	 蛮妙的            
(3星)	 狗妹和外国人日语大战            
(5星)	 看完为毛老衲湿了？            
(4星)	 挺有意思的…            
(5星)	 虽然那种偏日本偏主角的感觉很浓 而且外国人都被演得略NC 而且煽情得太明显了喂 但是还是很喜欢这部啦~            
(4星)	 学日语的可以参考一下，有很多初学者的错误和文化常识            
(4星)	 学到了很多~            
(4星)	 教学有点意思 = =            
(3星)	 片子还行 日语字幕不错            
(5星)	 花姐！！！！！！！！！=3=            
(3星)	 剧情是弱了点吧，每集最后都是一个“谢谢老师”，反正就是看日语            
(3星)	 冲着能学到日语看的，不过貌似我水平还没到品位日语的程度。。            
(5星)	 有意义，有教育价值            
(4星)	 正好赶上学日语期间老师也推荐来着            
(4星)	 日语课看的，实用性还是有的...            
(2星)	 为了学习看的片子            
(NA)	 看过2话..?还算有趣..            
(4星)	 学日语的都去看!! 还是挺有意思的~            
(4星)	 不错的电视剧，适合日语初学者练习听力，学习日本文化。要是春子老师是我的日语老师，我肯定学得很好，哈哈            
(4星)	 挺搞笑的～～也学到了东西，不过剧情形式有点老套            
(4星)	 一匹鱼            
(2星)	 演技好烂，感觉好傻啊。不过里面的日语知识学习下倒是非常不错的。            
(3星)	 看了两集果断看最后一集……（←当初内人还追了几集- -            
(4星)	 仲里依纱很萌！很壮！很有爱！            
(3星)	 白目···            
(4星)	 对于日语专业的人来说是不不错的电视剧            
(4星)	 还不错 很搞笑~            
(3星)	 外国人厉害起来了            
(4星)	 创意五星，剧情四星，配角表演三星，仲里依纱很不错，好剧。人家国家为什么能拍出这样的剧中国拍不出啊！捶地。结尾有点雷，是想拍第二季么？我从第一集就开始心心念念的嘉纳老师和鹰栖老师的冤家爱情戏还没上演呢……            
(3星)	 欢乐唉╮(￣▽￣&#34;)╭             
(4星)	 学日语            
(5星)	 很好的呀！！！学习日语            
(NA)	 日本人不知道的日语 当然是学日语的必备            
(3星)	 对学日语挺有帮助的            
(4星)	 知道好多书上学不到的由来和用法凹唔            
(5星)	 很棒~！对于日语帮助很大啊~            
(4星)	 有助於學習日語吧            
(NA)	 拉了一点再也不想看了            
(4星)	 里面有个意大利人很帅啊噗，我家小龟的酱油wwww            
(2星)	 作为电视剧蛮无聊的，作为学习日语的一种刺激还不错。只不过我这连五十音都认不全的家伙就算了~~            
(4星)	 可以学到很多。            
(5星)	 很有趣也很实用            
(4星)	 哈哈相当欢乐，真的好多都不知道！            
(4星)	 =_=只有jack和bob最务实            
(4星)	 比想象的好。            
(3星)	 对学日语还是很有帮助的。。就是女主角。。哎。。            
(4星)	 虽然不喜欢仲里依纱            
(4星)	 用来学日语的            
(3星)	 内容还是实用的。只是感觉从老师到外国学生一群八嘎的感觉。            
(4星)	 推荐给学日语的朋友            
(4星)	 对日语学习超级有用的一部电视剧~虽然情节真的一般吧。。。            
(2星)	 原来这个不是记录片…拍成动画会更自然/为学日语看的，但真的很无聊。六集弃之。            
(5星)	 日语初学者可以看~很有趣            
(4星)	 勉强！            
(5星)	 很实用的日语            
(3星)	 无感            
(NA)	 有机会再看一下            
(4星)	 就学日语的话还是可以推荐的呀            
(4星)	 学日语蛮好的            
(4星)	 挺逗，要加油学习了……==b            
(4星)	 学到很多            
(3星)	 一般咯。。。            
(5星)	 当做日语教材看确实是一部好剧。            
(4星)	 最后一集末尾出现的是作者海野凪子本人吗？            
(4星)	 每节课前老师放的。那些语言学校的学生们已经厉害的跟日本人交流没问题了好吗。。。。。            
(5星)	 学日语看不错            
(4星)	 语法真的好讨厌~~            
(3星)	 就当学日语看看吧。。。            
(5星)	 谢谢你，老师            
(2星)	 3集弃            
(3星)	 其实从中可以看出外国人都对日本是什么印象，或者说日本人觉得外国人是对日本人有什么印象……剧情凑合吧……            
(3星)	 轻松可爱            
(5星)	 专业学日语用给力            
(4星)	 意外的好看~            
(5星)	 超级好看~相当适合初学者~            
(4星)	 梦想成为高中老师的春子阴差阳错来到了一家语言学校，每天要面对来自各国的学生的各种问题……。通过外国人角度的一些日语的现象分析日本的社会、文化等方面的问题。RPG剧情，一集搞定一个学生，然后通关。没有大牌的演员，表演方式夸张但都演技不俗，典型的日式剧集。学日语的同学推荐一看。            
(3星)	 如果对日语无爱，可以看剧情消磨时间；如果对日语有爱，那剧情可以让你学得更投入。以上。            
(3星)	 挺搞笑的            
(3星)	 看到第六集实在看不下去啊！！！！！！            
(4星)	 发现看了之后日语更加混乱了。。。            
(5星)	 不错的，对于日语学习很有帮助~！            
(3星)	 我把它当日语教材来看的，如果没有那么多硬性煽情片断就好很多。。。            
(3星)	 剧情很傻 不过学日语很好            
(4星)	 春子老师很时尚、很可爱、很性感。            
(3星)	 外国人傻得可爱嘛~            
(4星)	 对日语学习挺有帮助的~~~            
(2星)	 对于学习日语和想了解日本文化的人，以及日本人来说，这的确是部非常好的片子，可惜作为一个中国人，我完全看不懂...尤其是讲到纠正语法的时候...完全听不懂            
(4星)	 狗妹很萌！！！！            
(5星)	 学日语看真的好好。            
(3星)	 学日语。            
(5星)	 好看啊。。。超喜欢            
(4星)	 他们有必要上语言学校么.. = =            
(4星)	 不错，可以认识许多有趣的词和一些日语传统不过2个中国学生的角色不够给力啊            
(4星)	 学日语的看看还是不错的            
(4星)	 很有意思的日语教学 可以好好学习一下            
(3星)	 7.3 有好好当日语入门教材就好了，只是仲里依纱撒泼的造型实在看不下去了。            
(4星)	 虽然感觉是日剧的老套路，但依然乐趣，挺好看的            
(4星)	 演技很烂，仍然津津有味看到完结~            
(4星)	 一星是给日语教学内容的～            
(5星)	 喜欢！！！但看了大受刺激。另外作者还在最后用名出场了一下~            
(3星)	 剧情不错。但因为来自日本，所以多少有点脑残。            
(3星)	 刚看觉得挺有趣。。但我又不学日语            
(3星)	 相当好玩呐            
(4星)	 只能说日本人无论什么东西都能弄得非常热血。。日剧里的每个人随时都在准备抛头颅洒狗血。。这剧还顺便长知识。。            
(4星)	 その道に入らんと思う心こそ　我が身ながらの師匠なりけり按照自己的想法 在这条道路上前进的决心 才是最重要的一期一会一生只有一次的缘分学习资料神马的……            
(5星)	 学日语的看看挺好~            
(3星)	 呃，感觉那个中国男好搓~其次就是里面的好多汉字知识连我都不知道~挺能长见识的            
(4星)	 剧情比较简单 从优酷上下下来 有字幕 感觉还可以 如果多看几遍应该对日语学习有所帮助             
(5星)	 呵呵~几搞笑的            
(3星)	 Luca大萌~御宅大萌~意大利大萌~            
(3星)	 勉強になると思うわ            
(4星)	 每集仲里依纱的造型是看点呀~~~ =vv=话说里面的各种外国人能更雷一点么……那2个中国人我真是@%@#￥%！#%@￥            
(3星)	 挺傻的 无聊到一定境界可以看看            
(4星)	 日语真是不好学啊！！！最后一集原作者海野凪子的出现 好惊喜啊~            
(4星)	 一期一会            
(4星)	 故事很烂 但每集都能学点不知道的日语            
(2星)	 日剧除了鬼片别的实在是无聊            
(3星)	 还不错，虽然没学过日语，但也了解了一些东西            
(3星)	 个女人太神经了            
(4星)	 终于看完            
(NA)	 自学教材而已=。=            
(3星)	 科普的话还挺不错 剧情和演技就算了            
(5星)	 对于学日语的朋友,极力推荐.剧情一般,但是能学到一些日语教材里学不到的知识            
(5星)	 有一定日语基础的人看看挺不错的            
(4星)	 從日文的來源來看中文的來源,羞愧.            
(3星)	 还可以吧，没想到是眼镜妹演的，哈哈。可能是我日语还不够吧，也没学到什么，还是乖乖的学基础吧            
(4星)	 如果是从学习的角度来看这部剧的话， 无疑是一部很不错的剧， 虽然有些地方真的把外国人显得很弱， 但者们来就是漫画改拍的， 漫画本来就是扯的啊， 那些带有情绪的人其实完全可以不用来看， 看完了又来吼几句不满不是很不理性吗            
(3星)	 嘛，大路的师生情，在日剧里太泛滥了。但是身为曾经ESL学生，还是颇有感触的。            
(1星)	 很想知道导演是怎么成功的找来整整一群sb的            
(5星)	 作为个学日语的，不得不看这一部！很喜欢春子先生~~~卡哇伊！            
(3星)	 整个儿一轻系剧情系独特类教学视频。            
(2星)	 看了9集实在看不下去了，女主太夸张了。8过好多句子能听懂了~~            
(3星)	 看到第6话，再也看不下去了~~太没有趣味性啦~            
(4星)	 可以学到些日本文化知识            
(4星)	 当教材看很好～            
(5星)	 令人动容的喜剧            
(3星)	 好吧，我只是想春子换了多少件衣服，蝴蝶结。            
(3星)	 学日语还是蛮有用的～～学到了不少            
(4星)	 正装系jack好萌好萌好萌好萌            
(5星)	 春子有点像 Lady gaga.暧昧的日语也很没 希望有一天我能用日语写一封情书 哈哈 很快就会的            
(3星)	 学日语的人看看还不错- -            
(4星)	 知识就是力量！            
(4星)	 作为在日外国人看着心情其实挺复杂，仲里依紗的演技出乎意料的好。原田夏希的牺牲打很不错，第9集出场的高中生美少女小島藤子感觉不错。            
(4星)	 剧情比较有意思，偶有笑料，内含日本语言和文化知识，值得观看。不过表情动作有些夸张。            
(4星)	 日本人不知道的日语            
(3星)	 其中的一些知识还是挺让人受益匪浅的，只是，还真穷极无聊。            
(3星)	 挺有趣的，講到很多不知道的東西。不過印象最深的就是kunoyiqi。女忍者            
(3星)	 太装了            
(4星)	 内容很不错啊，只是女主为嘛要打扮成这样。。            
(3星)	 看着看着就失去兴趣了，对女主夸张的表演麻木了……            
(4星)	 很有趣的知识.            
(2星)	 这个片越看能给的评价越低..            
(4星)	 即使系唔学日语既人都会觉得有趣吧~            
(4星)	 卡哇伊的仲里衣纱啊            
(3星)	 有可以学习的日语知识。剧情一般，演员一般。            
(5星)	 学日语必看（众人指：这个人还没看呢。）            
(3星)	 必须达到中级以上水平才能有所收获，所以。。。对于我还是跟其他所有日剧一样。。。当文化熏陶吧。。。我真没用。。。            
(3星)	 教育方式真的很好。可是女主角演的太假。            
(5星)	 剧情有点夸张和搞笑，但确实可以学到平时接触不到的生活中的日语。            
(2星)	 看不下去是为毛啊！？            
(NA)	 很有意思。            
(4星)	 虽然剧情白痴，但是对于刚开始学习日语的同学还是有点用的。            
(3星)	 当补充教材看            
(4星)	 女主角的造型都还不错，VIVI风啊~~~~~            
(NA)	 无聊            
(2星)	 很无聊的剧情……            
(4星)	 每集都要好多东西要学习的，看一次记不住要多看几次才行。。            
(3星)	 学习日语用。。。日本人眼里中国人就是那俩傻子啊。。。            
(5星)	 不错，不错，仅仅是女主角。            
(3星)	 觉得有点无聊。。= =但是仲里依纱的脸是我喜欢的类型，多给一颗星            
(NA)	 第1集，雷但不错            
(4星)	 竟然看哭了。。。！！！            
(4星)	 把我的日语拾起来&gt;&lt;            
(4星)	 哪里找来的女猪啊！            
(3星)	 我是为了学点日语才看的            
(5星)	 学日语的话，推荐            
(3星)	 学语言就是自虐！            
(3星)	 如果有三点五我愿意给三点五啦。剧情上没什么创意，演技上也就是普普，优点是很符合正在学日语的我的需要            
(3星)	 个人对这部剧不大感冒。。。于是看了几集就抛弃了~            
(3星)	 还蛮可爱的，2010.10.10开始看            
(5星)	 我们也可以拍一部中国人不知道的汉语~！            
(5星)	 绝好。可惜中国人永远弄不出个《中国人所不知道的中文》。对即便考出N2的我来说，听力仍旧偏难，不像恋空和动画片那么好懂。但教的很多知识确实实用。据说书很好看，有机会去淘宝淘一本翻翻也不错。            
(5星)	 题材很有意思的一部日剧，除了情节搞笑之外，还能学到不少日语的知识。（稍稍抱怨一下，班里那俩中国人被演得……嗨……）            
(4星)	 练习日语……            
(4星)	 主角有点受不了，不过对学日语有帮助            
(4星)	 能学知识的日剧，剧情还挺好            
(4星)	 了解了好多日语词的来源。            
(4星)	 不错不错。。。在学日语的看这部剧就更不错了。。。。。。            
(3星)	 用来学习日语，是部不错的电视剧。但扛不住里面带有的一些对中国人的偏见，两个中国学生，一个白痴，一个自大。我无语。。。            
(3星)	 学学日语还不错~~~~~            
(2星)	 女主太2，弃            
(5星)	 其实还是能学到点东西的。            
(4星)	 haruko的穿着打扮很有趣-_-            
(5星)	 了解日本文化和日语的好途径！            
(NA)	 其實有小小的失望的。。            
(4星)	 人物假，剧情俗套，除了日语的部分外都没什么价值。用来学日语的话倒是真的很值得一看，挺实用的。            
(NA)	 看春子老师提神的            
(3星)	 LUCAgasuki...中国要能拍个《中国人不知道的汉语》。。肯定会受欢迎            
(3星)	 仲里衣纱演的还算及格，不过那群学生真是脑残，那两个中国学生更是脑残得无以复加！！！            
(4星)	 日语撒~            
(3星)	 结局好搓= =            
(4星)	 1,有点有趣 2,过分丑化了外国人的在日行为 3,仲里依纱瘦了点            
(5星)	 很好的日文教学            
(4星)	 学日语的时候看看也不错            
(4星)	 对提高学习日语的兴趣很有帮助，这妞也太辣了。哈哈！            
(3星)	 女主角演技不行啊。。            
(2星)	 看到一半实在看不下去了。。。于半年前弃之。。。并不愿再拾起。。。            
(5星)	 这个有意思            
(4星)	 原书没这么搞笑呢            
(4星)	 教科书啊。喜欢女主。            
(3星)	 算惊喜把。。。虽然我不喜欢仲里依莎            
(3星)	 一集弃            
(2星)	 全下载了 大家顶 所以很快下完 然后迅速拖拽一遍  全删！这就是我对这部剧的感想~~            
(3星)	 第10集最搞笑！要是以为这部剧可以学日语的话，就错了            
(4星)	 又是一热血教师的故事            
(4星)	 正好拿来学习日语~            
(5星)	 在看的过程中，不断会有“原来如此”的感觉。            
(4星)	 对于正在自学的我来说 有点帮助 但有时又会觉得很搞啊~~~            
(4星)	 挺有喜感的            
(2星)	 仲姐 你为毛要接这烂戏            
(4星)	 当学日语，哈哈~            
(4星)	 坚持梦想。            
(4星)	 我还真的学到了好多            
(5星)	 很不错            
(3星)	 我没兴趣看下去了。。。女主。。。不是我的泰普。。。            
(4星)	 上CAD的时候看的片            
(4星)	 学习用……            
(5星)	 鹰栖老师好像吴宗宪啊            
(4星)	 意大利亚小帅哥！总觉得春子很像我高二的同桌            
(1星)	 好吧...如果把这部剧作为学日剧的方式倒不错~但是我想说....女主实在太做作，剧情太单薄，其他配角也很.....里面两个中国人的角色设定...让我实在无法接受= =现在单纯的作为学习日语的一个教材来看，基于这点给了一颗星，其实我真的想说我没在看这部剧...= =            
(4星)	 很有用 看双语的比较好            
(3星)	 学下日文 不错            
(3星)	 因为群里人看的关系就莫名其妙的追了，，其实我不怎么喜欢。。            
(4星)	 用来学日语还不错~            
(3星)	 挺長知識的 但是劇情和人物實在傻 演員表演太假了            
(5星)	 力荐。很久没看过这种看着一点儿也不累的剧了~            
(3星)	 日语真难            
(3星)	 学日语            
(4星)	 挺励志的            
(4星)	 編劇不錯。不喜歡女主。            
(4星)	 若要看严重推荐人人字幕            
(3星)	 最近刚离开学校，之前还在学日语，有我的几个日语老师的影子，所以对号入座了。突然觉得学校很美好，真想回到学校呀            
(3星)	 貌似挺有趣的啊~            
(4星)	 学日语的去看看吧。 呵呵。            
(4星)	 学日语看着能不错            
(3星)	 一如既往的马鹿日剧。            
(3星)	 作为学习用不错            
(4星)	 学到不少~            
(3星)	 总觉得有点黑中国人的感觉= =。太傻逼了那俩中国人。            
(3星)	 仲里好肥……            
(NA)	 弃。真的不好看。            
(4星)	 我好中意Luca啊!!!!            
(3星)	 该片中仲里依纱的扮像真失败，完全埋没了她童颜巨乳的特质……            
(5星)	 哎~我朋友出演班上的同学~~可没名字~~=  =不过对于学日语或者正在攻读的人来说是本很好的片子，可以让你知道日本社会底层开始的细节            
(3星)	 = =            
(5星)	 很喜欢这种有文化、科学背景的片            
(NA)	 哈哈，很欢乐            
(3星)	 喜欢仲里依纱和奇怪日语的可以看看            
(4星)	 看了只觉得，大家的日语都那么流利的完全不需要上语言学校嘛!!!TAT  (...那这片子没法演了)            
(3星)	 就分清了广东锅和北京锅……            
(4星)	 我好喜欢女主多变的发型= =            
(5星)	 竟然更新了！！我竟然追更新了！            
(4星)	 真是够意想不到的结局            
(4星)	 哈哈，对外日语，太时尚了。要好好想想中国人不知道的汉语了。王牌老师，呀！！！！！！！！！！！！！！！！            
(5星)	 对正在学习日语的同学是很有帮助滴            
(4星)	 没想到这么欢乐~            
(3星)	 演的有点假。。还是看漫画好。。。。            
(3星)	 E2            
(4星)	 纯学习            
(5星)	 太长见识了            
(4星)	 呵呵。            
(4星)	 搞笑居多，学习型不强，纯当消遣啦            
(5星)	 挺有意思的~~            
(4星)	 超级好玩            
(NA)	 这语言学校的几个货日语讲得够好了、いい加減にしろ！            
(4星)	 温暖的片子            
(4星)	 不错，不错，值得学习~            
(4星)	 一期一會。            
(4星)	 04             
(4星)	 脱力中见不凡。就是话题老了点            
(5星)	 可以为将来的留学留下基础，做了很多有用的笔记呢~            
(NA)	 喜欢            
(4星)	 学习用的            
(5星)	 确实很长见识啊~~如果真的能学得这么欢乐就好了~~            
(5星)	 只看了一集，实在是有点小搞笑…            
(3星)	 ，，，第二集就开始无感            
(NA)	 快完结了 、过几天回家看完掉去            
(4星)	 好剧！ 喜欢仲里依紗，她演得象模象样气场十足，把整部戏撑起来了，另外鹰栖老师、小王和鲍勃形象生动，呼之欲出。顺便说句，好像没几个人注意到，最后出场，差点儿代替仲里依紗的女老师的名字，故意写成了原著海野凪子，哈哈。有人想从第一集看起说是可以从头学日语，我严厉制止了这种不理智行为。            
(3星)	 女主很jian耶            
(5星)	 有那么自卑吗各位            
(3星)	 仲姑娘的演技和戏风是彻底收不住了，但是造型很适合。|看到第3集弃了。            
(4星)	 噢~~~京都腔的2里里~~~~~~~你毕业了。。            
(NA)	 词源学以及语言的变化 真的 很有意思            
