http://movie.douban.com/subject/2154862/	少年英雄方世玉
(3星)	 还行，因为有张卫健，所以没给看下去。我果断不喜欢他和喜剧范的星爷（PS：我更喜欢《喜剧之王》里的星爷）。            
(5星)	 - =记得好像挺好看的            
(NA)	 哎呀 我小时候超级喜欢张卫健的            
(5星)	 原来张卫健的风格是从这里开始的，太帅了。每个演员，再次看，心酸啊！            
(NA)	 以前很喜欢张卫健            
(5星)	 同样是小时候最爱。            
(5星)	 小学一二年级时候看的            
(4星)	 那時超級超級喜歡世玉和小小啊            
(5星)	 这个不得不说太好看了 打铜人阵钻狗洞 爱情线 在小时候都无比吸引我 每天守在电视机前啊。            
(3星)	 &gt;&lt;俺小时候超喜欢！！！！            
(4星)	 以前播在还珠格格之后, 好像是本港台             
(5星)	 给5颗星啦，这唯一一部我上学的时候还逃学的电视剧。哈哈哈。结局不详，好像没看完呢。            
(2星)	 喜欢凌小小            
(4星)	 以世玉自稱            
(4星)	 阳光灿烂的日子，少年要珍惜~~            
(5星)	 大爱！            
(4星)	 我小时候很喜欢张卫健            
(4星)	 凉风有兴，秋月无边，亏我思娇的情绪好比度日如年，虽然我不是玉——树临风，潇——洒倜傥，但是我有广阔的胸襟和强劲的臂——弯！             
(5星)	 主题曲很美好，一夜年少。            
(4星)	 忘了剧情了            
(5星)	 小时候超级超级喜欢张卫健哦~~~~也喜欢里面的林小小            
(4星)	 还记得是10几年前亚视在播，那时候刚好是夏天，家里人都跑去叹空调了，就我一个人在客厅看这套剧，笑到撞到了额头，只因在坐地板看之故。就一个字，好看也励志，当然少不了煽情。 可惜现在看不到清晰的粤语版，效果差了很多，可惜，可叹，窃以为是张转型的成功之作，后来也事实证明，的确是。            
(4星)	 阳光灿烂的日子 主题曲好会唱哟 话说永春姑娘真心美            
(NA)	 当时做梦还梦见小小了            
(4星)	 张卫健从这儿红起的吧            
(5星)	 很小的时候~            
(4星)	 这个印象也比较深、、、            
(3星)	 恬妞还是挺经典的~            
(NA)	 我就记到一个人的名字 恬妞！！！！            
(4星)	 3.5            
(5星)	 就是最爱这个苗翠花！！！            
(3星)	 有份拍呢！            
(4星)	 当时觉得张卫健可帅了            
(5星)	 那个时候爱死张卫健            
(4星)	 那时候真喜欢张卫健。            
(4星)	 好喜欢这部戏啊 喜欢英雄主义            
(5星)	 必须看过啊，张卫健也是演员界的奇葩            
(4星)	 啥都不说，很怀念啊！            
(4星)	 童年啊 这真的是张卫健屈指可数的佳作了            
(4星)	 小学一二年级暑假天天换着不同的台看...            
(4星)	 我喜欢凌小小~~            
(5星)	 哈哈当年看了这个喜欢死张卫健和他妈苗翠花了            
(4星)	 阳光灿烂的日子 少年要珍惜，多少年了，对这个片尾曲都不会忘，可见当时每集必看            
(4星)	 很不错，儿时的回忆。呵呵。            
(5星)	 小时候就是看这些电视剧啊。            
(NA)	 方世玉。。。很红的呀            
(NA)	 也是小学的时候~            
(4星)	 嗯。。            
(5星)	 多么经典，多么另我回忆无穷的电视剧啊。。。。爱            
(5星)	 儿时的记忆，现在看来还是经典            
(5星)	 张卫健            
(3星)	 不是ATV的吗？            
(3星)	 初中的时候好爱看 哈哈            
(NA)	 恬妞！            
(5星)	 笑死我了当时！            
(NA)	 已经不记得任何剧情了 = =            
(3星)	 儿时看的电视剧。。            
(4星)	 张卫健最好的电视剧            
(NA)	 好喜欢哦            
(3星)	 依稀还存在脑海中、那个时候是很喜欢的            
(5星)	 曾经很迷的，不知道现在看作何感想~            
(3星)	 方世玉，和黄飞鸿一样出名，一样翻拍无数，不过也就只记得张卫健，赵文卓~            
(4星)	 当年很爱看啊~~            
(NA)	 那时候好喜欢方世玉            
(5星)	 从小就很喜欢的剧，几个主角都相当不错~            
(5星)	 喜欢何美钿，喜欢凌小小~~~还有喜欢恬妞~~~~~            
(5星)	 四年级的时候在整个剧集里面学到了好多什么言什么语的成语。            
(5星)	 张卫健就是这么火起来的吧？            
(4星)	 这一版的方世玉当年看的那个开心啊            
(5星)	 反正我就是喜欢张卫健            
(4星)	 带来很多欢乐，很多回忆，喜欢张卫健的电视剧。。。            
(NA)	 花姐~~~~德哥~~~~~~~~~哈哈，很好看。            
(3星)	 。            
(5星)	 看了这个电视我也想叫我妈姐姐，结果被我妈妈一顿饼、、、、            
(4星)	 或许也是我看的第一部港剧，想来那真是经典。当时居然把改编的剧情当真实的历史了……。还记得片尾曲，很励志。            
(3星)	 要是那个时候有豆瓣我肯定给它评五星。            
(NA)	 超级搞笑……            
(3星)	 呵呵，可爱的张卫健！            
(3星)	 总觉得，它是某个电视剧时代的开山之作，也成就了张卫健，从此以后，他的演技，一成不变，再也没有了进步与创新。            
(4星)	 很喜欢！！            
(5星)	 之所以力荐！！！完全是因为小时候只看到前几集麻麻就不让看电视！！！结果他们看得欢我只能听声音辨剧情啊！！！！            
(NA)	 嘿嘿，好玩            
(4星)	 青春肥少年童年大床梦            
(3星)	 张卫健 还行吧            
(NA)	 小时候最爱的片子之一啊            
(5星)	 记得初看这部电视剧的时候是第一次见识张卫健的表演，感到万分新鲜~~O(∩_∩)O哈哈~看得真的很欢乐~~~            
(5星)	 矮油 我爱了好多年的方世玉... 为什么不让我这么爱的严咏春跟我这么爱的方世玉在一起...            
(4星)	 我真觉得这个挺好的。            
(4星)	 那個時候還把片頭片尾曲都買了空白磁帶給錄了下來呢~~            
(5星)	 张卫健最好笑最好看的片子            
(4星)	 没什么印象，依稀记得当时感觉不错。            
(4星)	 我喜欢张卫健！            
(NA)	 记忆中很不错的一部古装剧。            
(3星)	 很难闹的电视剧            
(5星)	 哎呀呀，那时候好喜欢凌小小呀            
(3星)	 萌何美细            
(4星)	 一直觉得何美钿挺可爱的            
(4星)	 好久远的记忆。。= =            
(3星)	 今天mark老片子            
(4星)	 我记得有谢娜            
(3星)	 我都忘了情节了，小时候的片子。            
(4星)	 看过好多次，都没看全，大概是从这部开始喜欢张卫健的吧，不过现在就……            
(5星)	 就是喜欢张卫健            
(4星)	 小时候看过，很喜欢，前一段时间拿来重温，意外的没有因为时间而褪色，依旧觉得值得一看，再一看，原来是陈十三的剧本，怪不得……            
(5星)	 大年三十看得最后一集！            
(3星)	 看过的            
(4星)	 和老姐在被窝里讨论到半夜~~~            
(4星)	 我当年超喜欢的说~            
(4星)	 坑爹童年            
(4星)	 醉红尘 主题曲好听...            
(4星)	 怎么办我就是怀旧啊，听到主题曲就感慨万千，无忧无虑自由自在的日子回不去了啊。。。            
(4星)	 张卫健最初的搞怪我很喜欢，可是后来就乏味了            
(5星)	 当年超级喜欢张卫健啊啊啊啊啊            
(3星)	 好            
(4星)	 现在我也觉得很好看啊  灭哈哈哈            
(4星)	 阳光灿烂的日子，少年要珍惜~~~~~~            
(5星)	 当年简直爱死了            
(5星)	 初中的时候天天放学回家追这部剧。。。片头曲爱死了。。。            
(4星)	 小时候貌似很喜欢看的            
(4星)	 阳光灿烂的日子，少年要珍惜~            
(NA)	 小时候很喜欢看啊            
(4星)	 我喜欢苗翠花。            
(5星)	 大爱张卫健            
(5星)	 以前很喜欢看张卫健演的搞笑武侠片，他演的方世玉俏皮又搞怪。            
(4星)	 不知道为什么 当时特喜欢“阳光灿烂的日子”那首片头曲            
(3星)	 妈呀不知道看完多久了，记忆模糊到我都不好意思写看过            
(4星)	 电视上看的，从此方世玉对于我来说就是张卫健，洪熙官对于我来说就是樊少皇            
(4星)	 小小好漂亮            
(4星)	 小学的时候大家都爱死。            
(4星)	 只记得苗翠花很搞笑            
(5星)	 喜欢看方世玉和小小斗嘴            
(4星)	 还是不知道结局是啥。。            
(NA)	 萌的是那种积极向上的感觉 还有兄弟情 当然还有和小小的青梅竹马 貌似看的时候是暑假 真的爱上那种为了梦想流汗的感觉 朋友 LOVER 梦想 少年真的很美好            
(NA)	 要看TVB吗？            
(3星)	 那段时间放了很多张卫健的片子            
(3星)	 记得小时候很喜欢洪熙官来着。。。果然我对男人的品味从小就有个雏形了。。囧            
(4星)	 亚视难得佳作            
(4星)	 当初觉得张卫健好帅            
(4星)	 最记得片尾集体演员“拜年”一幕，皆大欢喜。            
(3星)	 都不太记得了。。怎么张卫健演过这么多            
(4星)	 隐约记得当时很喜欢~            
(4星)	 是当年的电视剧好看还是当年的我要求不高…………            
(5星)	 木哈哈            
(5星)	 也不知道为黍么当年看得那么带劲…            
(3星)	 阳光灿烂的日子            
(4星)	 少年游。            
(3星)	 我那时候是有多喜欢小小呀            
(3星)	 小時候在廣東台一個下午看4集吧每個週末都盼著看，小時候的快樂真的好簡單啊！            
(5星)	 台词写的很好，有周星驰的影子            
(4星)	 喜欢张卫健的风格            
(4星)	 小时候为了看这个挨了很多骂啊~~~~~~            
(4星)	 忘了            
(NA)	 還買碟了，。。。            
(4星)	 对妈妈苗翠花的印象更深，太逗了。            
(3星)	 - -             
(4星)	 小时候挺喜欢张卫健的电视！            
(4星)	 比较喜欢的一部关于方世玉 结局记忆犹新            
(4星)	 看了开头一些，一直还蛮喜欢咏春的，后来是实在是受不了张卫健的表演风格，最后只看了一个结尾            
(3星)	 印象中好像看过。            
(4星)	 这个也有点忘记了。。。            
(4星)	 最惊奇的事情就是这么多年后发现里面有谢娜，于是其他人都成了浮云……            
(5星)	 当年可喜欢看这个了！            
(4星)	 张卫健最好的作品.            
(5星)	 还是童年经典= =            
(5星)	 我觉得这应该是张卫健的经典吧，个人观点哦            
(5星)	 这片子后来是被禁了么？咋就再没看到了呢？            
(NA)	 其实我曾经也是电视剧女王！！！！！！！！！！            
(NA)	 始终没有特别搞清楚人物关系，或许是香港翻拍的武侠电影太多了吧            
(NA)	 小时候天天追的电视剧            
(NA)	 小学时候很迷恋张卫健啊            
(5星)	 只记得  小小            
(4星)	 大学的时候还特地找出来重温了一次            
(3星)	 回忆            
(4星)	 阳光灿烂的日子，少年要珍惜~~想当年我看的时候，的确是很少年~~            
(3星)	 记得那个时候看完就要睡觉了啊~~            
(3星)	 怀旧            
(3星)	 讨厌张卫健 演戏一个风格            
(NA)	 超爱！            
(4星)	 张卫健最萌的作品了。            
(4星)	 哈哈哈、放学的甜点            
(NA)	 风姐泉哥            
(4星)	 个人认为张卫键最经典的片            
(4星)	 长大以后再看张卫健只觉做作无比            
(NA)	 没有理由，喜欢张卫健            
(5星)	 我觉得很好看啊~当年在厦门 打开电视机 随便哪个时段都可以发现有频道在放 随便中途插到哪一集来看 都很津津有味 只是现在怎么不见有电视台重播了呢            
(4星)	 幼时喜爱            
(5星)	 很好看的电视剧。。            
(4星)	 谢娜 哈哈哈哈            
(5星)	 記得很喜歡看            
(4星)	 现在想想被恶搞了            
(3星)	 为什么我一直对张卫健的印象不错啊。。。 = =            
(5星)	 小学超爱的！            
(3星)	 差不多忘记剧情了，那时候蛮喜欢张的。            
(5星)	 世玉花姐好萌哦，好像回到了胸部还没有发育的时代嘤嘤嘤            
(4星)	 很喜欢            
(4星)	 经典啊经典！主题曲很好听。            
(3星)	 看過很多遍，就特喜欢张卫健。            
(5星)	 不错。            
(NA)	 陪我長大~我最愛的世玉            
(5星)	 阳光灿烂的日子 少年要珍惜            
(3星)	 真看过……            
(5星)	 你们不觉得经典加搞笑吗。            
(5星)	 稀饭            
(4星)	 很搞笑的            
(5星)	 小时候真的很爱看这部剧啊~~花花~~            
(5星)	 我总觉得以前的电视剧总是比现在更经典 从这部剧认识张卫建 就特喜欢他 很有回忆的片子            
(4星)	 比较经典            
(4星)	 还记得是小时候看的，去年还看到有电视台在播啊            
(5星)	 喜欢那会儿的张卫健            
(3星)	 很有张卫健风格的~            
(4星)	 哈哈~~没想到真的有！非常喜欢~~            
(4星)	 最美的花开放在春季            
(4星)	 很喜欢恬妞            
(5星)	 从这里爱上的张卫健            
(4星)	 小时候的回忆，跟姐姐抢频道，再看也超搞笑            
(4星)	 喜欢他魔化后的形像            
(3星)	 才发现这里有严咏春这个人            
(5星)	 这个经典            
(4星)	 突然发现 小时候都跑去看电视剧了- -            
(4星)	 当时看竟然觉得不错,2个小妞不错            
(5星)	 我喜欢他娘~            
(3星)	 别忘了，最美的花开放在春季             
(5星)	 小时候超爱。            
(3星)	 早期作品            
(3星)	 陈十三，我跟编剧有仇。。            
(4星)	 都是以前的了            
(5星)	 喜欢            
(NA)	 居然找到了这个…………            
(5星)	 记得当时学白眉边说“臭小子~竟敢拔我的眉毛~”边兰花指捋头发的样子学了很久OTZ在少年的时候看了少年方世玉，一大家人晚饭后准时搬椅子嗑瓜子看电视这样的时光真是一去不复返了……            
(5星)	 歌词写得超级好！            
(3星)	 继续忘得七七八八。            
(4星)	 以前租片子来看的            
(4星)	 疯狂迷恋过机灵小不懂……            
(NA)	 啦啦啦，那个时候觉得还是很好看的            
(5星)	 哈哈 苗翠花~！            
(5星)	 结局打得太崩溃了。。。当年初放大结局，是骗观众方世玉挂了的。。            
(NA)	 小时候多喜欢啊            
(NA)	 好看            
(4星)	 这个太搞了，看着看着就笑崩了……            
(4星)	 好小的时候看的            
(4星)	 当时很喜欢的~~            
(5星)	 看了这个我苏了好几年张卫健orz            
(4星)	 方世玉说要和凌小小生一个小小世玉，生一个小小小小。。太有点了，这么多年还记得            
(4星)	 老妈非常喜欢这个            
(4星)	 童年趣事了 - -            
(4星)	 那个时候上小学 天天晚上和奶奶一起看 现在奶奶不在了 想起这个电视剧 剩下了都是怀念和回忆            
(NA)	 回忆。            
(NA)	 唔，没想到只是张世玉系列的开端            
(NA)	 在食堂边宵夜边看 上座率高              
(5星)	 小时候的经典回忆            
(5星)	 古董！            
(4星)	 当时好喜欢的叻            
(5星)	 经典            
(3星)	 为什么又是你啊！！张卫健！！！不顺便了。。跳出来的都是张卫健。。太没新意了            
(4星)	 记得当时电视台放了一半就不放了，害我们苦苦等待，我还打电话去电视台，哈哈哈哈哈哈哈哈            
(3星)	 小时候看的时候觉得太有意思了，可是现在再看吧，又没感觉那么有意思了            
(5星)	 花花            
(4星)	 很喜欢张卫健独有的搞笑模式~~            
(5星)	 我看得真是非常全面啊。。。            
(3星)	 原来小时候看了那么多剧            
(5星)	 多好的回忆啊            
(4星)	 小学时的爱！            
(4星)	 我上小学的时候播的，因为没有看最后一集，我难受的哇~            
(3星)	 喜欢那首主题曲            
(NA)	 特喜欢方世玉和他妈妈的感情~            
(NA)	 大结局打太监那晚我们初中部人心不宁完。哈哈，还记得咩。            
(4星)	 很不错啊            
(4星)	 小时候看过            
(3星)	 以前很喜欢这个，现在看一般。            
(4星)	 张卫健当初的剧都蛮喜欢额            
(4星)	 张卫健最好看的作品。其他基本都一般般。。            
(3星)	 好像就是看了这部认识的张卫健吧。。            
(5星)	 翠花姐姐。。。            
(5星)	 方世玉究竟是什么时候开始成为一个经典形象的呢？托这部片子的福，咱后来竟然喜欢上看苗翠花为主角的片子了可能是李连杰的方世玉那部片子让咱印象很深吧--这里面的洪熙官还是很不错的，那个时候挺喜欢这种类型的性格吧            
(NA)	 小时候觉得不错拉拉。             
(3星)	 忘了里面讲什么了            
(4星)	 多不错的啊，喜欢恬妞~~当年看了好多遍啊，还在重庆一家打折店挤进去买DVD，结果当天得的红包遭偷求了！！！            
(5星)	 爱小小！！！            
(4星)	 当时好多台都在播，很火啊，典型的剧红人不红。            
(3星)	 很小的时候看的，从那时开始喜欢张卫健。            
(4星)	 那个时候超级爱它            
(4星)	 少年梦 主题曲一响起 回忆也跟着开始            
(4星)	 当时是全家人一起看的。里面的苗显和我老爷长一个样：P            
(3星)	 张卫健的经典角色之一            
(5星)	 五年级 我的挚爱啊            
(3星)	 这个版本还不错            
(4星)	 亦是年少时的经典啊。看过两遍，第二次是在大一时的怀念。曾经有个想法，【我要嫁给方世玉】。哈。            
(3星)	 典型的张卫健式喜剧片             
(3星)	 看张卫健看腻了。。。            
(3星)	 又见少年，又见张卫健            
(5星)	 经典啊，又看一遍            
(5星)	 偶当年好喜欢的啊            
(4星)	 张卫健那时的电视剧我怎么都看过= =            
(3星)	 据说这是当年的收视冠军= =            
(4星)	 还是小时候            
(5星)	 OP萌            
(4星)	
(4星)	 毋我禅功最牛逼            
(NA)	 = =小猪最喜欢他了            
(5星)	 张卫健最好的作品            
(4星)	 张卫健就是好笑~            
(4星)	 喜欢洪熙官和方小小            
(3星)	 记不得了            
(4星)	 很小的时候，觉得他跟那个女女很配。            
(3星)	 经典            
(5星)	 经典！！！            
(4星)	 苗翠花很可爱呢            
(4星)	 小学时就翻来覆去地看...            
(4星)	 最爱看方世玉和小小了，哈哈哈哈哈            
(4星)	 好好搞笑的哈            
(4星)	 前段时间又看了几集，现在看着觉得幼稚，可是以前怎么就那么爱看呢？2011/5/3            
(NA)	 。。。。。。            
(4星)	 欢。乐。            
(4星)	 好可爱的~~~            
(4星)	 恬妞真是美人呀XD            
(3星)	 这个···· 我应该看过吧？            
(4星)	 那时候的张卫健还没有成为定式~            
(5星)	 永远挚爱的一部电视连续剧~~~那个阳光灿烂的夏天，那一个个感人至深的故事，难忘那时的张卫健，那个天不怕地不怕最怕没架打的方世玉。            
(5星)	 看过的张卫健演的第一部电视剧，很好看啊！            
(5星)	 小时候很爱看的            
(5星)	 回忆            
(4星)	 阳光灿烂的日子，少年要珍惜。            
(3星)	 当年很火            
(4星)	 好看            
(4星)	 一度迷恋张卫健            
(5星)	 当时爱疯了张卫健...主题曲现在还会唱...阳光灿烂的日子...少年要珍惜...            
(4星)	 很欢乐的            
(5星)	 小时候看的，真是张的经典之作了～前几天又看了一遍，还是这么好看～            
(4星)	 阳光灿烂的日子 少年要珍惜            
(5星)	 属于那个时代，存在于那个记忆中。。            
(4星)	 张卫健            
(4星)	 当时觉得太好看了。。。。。            
(4星)	 哈哈，有泪有笑            
(3星)	 只能说很搞笑~            
(5星)	 原來又是十三，失敬失敬            
(4星)	 片子挺好看的，但是我真的不喜欢张卫健            
(5星)	 怀念小学时代            
(4星)	 苗翠花绝对是萌娘啊~~            
(3星)	 哦不。都是回忆啊            
(4星)	 很经典的武打片,在电视里看了无数遍,里面最方世玉和他的老妈。            
(3星)	 小学的时候喜欢            
(4星)	 小时候看了一个暑假假期            
(NA)	 小学时候的嘛            
(4星)	 我的爱！            
(NA)	 当年我是多么喜欢啊~~~            
(3星)	 以前迷得不得了，现在再看有点垃圾，张卫健的电视剧都不怎么好看            
(5星)	 第一部张卫健的电视剧，当时举得太好看了！！！            
(NA)	 方世玉爱凌小小            
(5星)	 阳光灿烂的日子，少年要珍惜，不要再犹豫，不要再迟疑，应该把成功握手里~~~            
(5星)	 超爱看~~~            
(4星)	 为童年，少年时光直接四星~~            
(5星)	 我小学时候还特喜欢看            
(4星)	 張衛健，搞笑的呵呵            
(4星)	 当初多喜欢啊            
(3星)	 印象中还有比较完整的剧情            
(4星)	 两岸三地大合作！！            
(NA)	 小学还是初中的记忆？            
(4星)	 小学的回忆~经典的。以前歌都唱的特顺~            
(4星)	 我怀疑我是不是喜欢过张卫健一阵儿啊，还是他那阵电视剧演的过于批量了。            
(4星)	 当年多爱看啊~~            
(3星)	 小学看的相当有爱╮(╯▽╰)╭            
(5星)	 好看，还想看的一部电视剧            
(4星)	 很有趣，童年回忆啊            
(4星)	 看了无数遍的剧 觉得应该是他所有电视剧中比较经典的人物了吧 就在昨天还在土豆上挑了几集来看呢.....            
(3星)	 小小好漂亮，就记得这个。            
(4星)	 从何时开始，樊少皇沦入只演反派和三流角色了呢？            
(5星)	 从小学看到大学有时间就会回忆一下            
(4星)	 张卫健难得的好剧            
(4星)	 小学时候很喜欢的电视剧。那首主题曲真是不错，给童年留下很深的回忆。            
(3星)	 我诡异的一直很喜欢这部电视剧XD            
(5星)	 那个时候特别喜欢张卫健……            
(5星)	 小时候特喜欢的            
(5星)	 这部片子还用多废话吗，感谢它陪伴度过了无聊的小学时光啊！白眉可真是绝代风华，演员造型都那么赞！            
(NA)	 他和小小的那个爱情特别美            
(5星)	 绝对的精品            
(4星)	 也是小时候有段时间特爱看。。。还记得梅花桩啥武功~~            
(4星)	 张卫健挺不容易的，古装片被他们拍成这样，连我妈都喜欢和我一起看            
(4星)	 世玉！！！！！！！！！！1            
(5星)	 因为这个迷恋过张卫健。。好吧。。那时候年轻。。            
(3星)	 除了方世玉，还知道了别人，后来这些别人在某些电视剧里成为了主角            
(5星)	 因为这部戏，认识了张卫健，第一次接触张氏幽默。喜欢他和何美钿的搭档。前不久再次回顾，惊喜的发现那时的张卫健真是嫩啊！我是租碟子看的，还记得那时候按着暂停键，一句一句抄下它的歌词，一遍遍的学它唱。            
(4星)	 操蛋剧的不变定律            
(NA)	 我不太喜欢这时候的张卫健。            
(5星)	 一剧成名的人不止一个。青春的爱            
(4星)	 不用说，张卫健凭借这部剧翻身的，绝对是当年武侠剧的经典            
(5星)	 嬲！我这辈子最爱。            
(3星)	 严咏春的丫鬟貌似是谢娜演的            
(5星)	 小时候对这部剧印象极其深刻，似乎看了好几遍，超喜欢凌晓晓和方世玉，让我从此对何美钿和张卫健一直颇有好感，那洪熙官与咏春也很喜欢，甚至世玉他娘也很有看头（汗！）……还有那片头曲《少年梦》，儿时的美好回忆啊……            
(4星)	 张卫健张卫健！            
(4星)	 当年特喜欢这片子，因此还崇拜上了张卫健。            
(3星)	 居然儿子可以叫老妈花姐的！            
(5星)	 最后给我哭的 太入戏了            
(4星)	 似乎是看全了。。            
(4星)	 如果作业做不完，就不能看少年英雄方世玉。囧            
(3星)	 。。。            
(5星)	 dicky太搞了            
(4星)	 还能哼出一两句主题歌，初中时候觉得超级好看            
(NA)	 囧            
(4星)	 张卫健拍这一部，还有港版西游记让人很惊艳，可是后面都是延续一样的风格。。以致于后来有点烦他了。。            
(3星)	 想当年的张卫健啊~            
(NA)	 一边看它 一边吃炒河粉 不被记起的时光 怎么把我们渡到了今天            
(4星)	 小小和方世玉可算是港剧情侣配对的经典            
(NA)	 小时候不吃饭都要看这个.苗翠花哈哈哈.            
(5星)	 我看过不下5遍            
(3星)	 还蛮好看的~            
(2星)	 喜欢樊少皇            
(5星)	 想重看一遍            
(4星)	 重温。            
(NA)	 可爱方世玉！！            
(4星)	 年轻            
(5星)	 哇色，怀恋啊            
(5星)	 我的小学时代...            
(3星)	 2女生很漂亮~~~            
(NA)	 小学时候看了这个，从此以后迷上了张卫健。。。。            
(NA)	 关于方世玉我就不多说了~~~我真是看着他长大的~~~            
(5星)	 最喜欢里面的三德和尚            
(3星)	 小小很美，恬妞演的很不错~            
(NA)	 都快忘了。            
(1星)	 张卫健 = 一星            
(5星)	 可以啊。。            
(4星)	 当时觉得痞子气蛮帅的。。            
(5星)	 看的第一部方世玉的电视，很有意思，花姐，德哥，主题歌也很励志            
(5星)	 没记错的话 收视率极高来着            
(3星)	 张卫健就是演喜剧的人才。            
(5星)	 喜欢            
(5星)	 没有全部看完，但是还是挺经典的            
(NA)	 歌儿好听。            
(5星)	 小时候狂爱·            
(5星)	 不得不说那时候张卫健还没有现在那么鹾...            
(3星)	 忘了。好像还挺好笑的            
(NA)	 小时候超爱的            
(3星)	 这部是atv的吧..            
(4星)	 渐渐不喜欢张卫健。喜欢何美钿。            
(4星)	 曾经很喜欢。。。            
(5星)	 好看            
(5星)	 张卫健这么多古装角色，最喜欢的还是这个。            
(4星)	 后来张的电视剧就走上了这个无法摆脱的模式，但这本还不错            
(4星)	 呵呵，陪我一起长大的电视剧。            
(4星)	 原来里面还有何美钿! 凌小小真有爱啊~            
(4星)	 小时候看得欲罢不能。。。            
(3星)	 小时候觉得不错拉拉。            
(5星)	 那段方世玉的说唱经典。热播的时候被我班里无数厚脸皮的男生用来形容自己。            
(NA)	 看过几集。发现张卫健实在是一个路数            
(3星)	 恬妞保养的真好啊            
(4星)	 洪西瓜            
(3星)	 初中大热            
(4星)	 少年壮志不言愁            
(5星)	 世玉和小小~~~            
(4星)	 当年又是个经典            
(4星)	 当时真的是很喜欢阿            
(4星)	 花姐是亮点            
(3星)	 记得那个时候张卫健很红,很多类似的剧            
(3星)	 这个更早了，记得里面郑佩佩恋梅花桩发明小板凳            
(4星)	 那时候的有线1，现在的北京4            
(3星)	 童年，假期，电视            
(4星)	 当年好喜欢好喜欢严咏春啊            
(5星)	 超喜欢张卫健的            
(4星)	 很喜欢的            
(4星)	 少年梦。            
(4星)	 儿时的记忆。            
(5星)	 白发阉人。。            
(4星)	 小时候看觉得特别好..            
(3星)	 英雄少年            
(4星)	 童年童年            
(NA)	 阳光灿烂的日子，少年要珍惜             
(3星)	 就记得洪熙官眼睛好大            
(4星)	 当年那个喜欢啊            
(5星)	 张卫健演活了方世玉很搞笑的片子            
(4星)	 六年级时我多么喜欢方世玉啊            
(NA)	 那时还挺喜欢张卫健的~小学吧            
(4星)	 看了几遍 以前的电视剧剧情还是很耐看            
(5星)	 看很多次还笑得乱颤 很吃张卫健那套哈哈~            
(3星)	 张卫健的成名作。            
(3星)	 貌似小时候这类片子看得比较多啊!            
(NA)	 想当年我怎么就那么喜欢这个= =            
(NA)	 很不错的搞笑动作片            
(4星)	 一直难忘苗翠花的扮演者。中学时代。            
(3星)	 真是没印象了 当时觉得很好看            
(4星)	 一部比较经典的电视剧，算是张卫健比较好的电视剧了~~            
(4星)	 当年超爱这版            
(4星)	 轻松搞笑，似乎有张卫健的加入，那么不搞笑的片子也会变得搞笑。            
(4星)	 原来里面有谢娜和丑娘啊            
(4星)	 少数几部老爸老妈要看的香港喜剧。            
(4星)	 当年大爱吖~~            
(5星)	 大爱大爱！            
(3星)	 打发时间            
(5星)	 我童年的最爱            
(4星)	 超级喜欢张卫健~~但是其他人演的实在不咋地            
(5星)	 张卫健啊~好看啊~            
(3星)	 看过一点            
(4星)	 小时候很喜欢看呢。。。            
(5星)	 喜欢苗翠花            
(3星)	 小学时看的。            
(3星)	 好像里面有个布偶剧，笑趴下啦！！！            
(3星)	 当时看时觉得谢娜好傻。。。现在我想说 我最喜欢谢娜~~            
(3星)	 2009.7.我又脑残了-,-            
(3星)	 那时就和姐姐混，他看啥我看啥~~            
(4星)	 这部片子开始关注张卫键的吧            
(3星)	 张卫健就这部剧能看~            
(NA)	 幡然醒悟那竟然是恬妞            
(4星)	 想再看哪~~            
(NA)	 张卫健啊            
(5星)	 必然看过！主题曲我还有！！            
(5星)	 ~！            
(5星)	 我的同桌 送我的明信片就是 这张            
(5星)	 年輕時候最喜歡張衛健。。            
(3星)	 看的时候觉的蛮爽的，打   打   打            
(5星)	 那二年看这个好执着            
(4星)	 喜欢小小，嘿……            
(4星)	 小时候超爱啊            
(5星)	 很喜欢，很搞笑．学会了叫泽哥．            
(5星)	 怎么有这么可爱的小小呢            
(3星)	 小时候是一集不拉全看了            
(5星)	 我就是无比地热爱张卫健。            
(5星)	 当年天天梦见张卫健            
(4星)	 多爱花姐~哈哈            
(4星)	 够十三，够茨～～            
(3星)	 不太记得了            
(4星)	 喜欢小小            
(4星)	 有一个暑假 看所有台播的《少年英雄方世玉》            
(4星)	 喜欢看。            
(5星)	 这个绝对是经典了。。。            
(5星)	 小时候……超喜欢的剧，，可是发现张卫健之后所有的作品所有的角色都是方世玉的戏风……            
(4星)	 初中时为了看这部剧，每天晚上放学回来都要吃N多东西,N分之一是半个柚子...这剧当年真的很红，收视率相当之高。德哥、花姐前几天看到有电视台在播            
(4星)	 从这部剧认识了张卫健~            
(5星)	 记得是一个初中的暑假看的，至今记得快乐的苗翠花母子            
(4星)	 还是初中的经典啊~~            
(1星)	 很烦张卫健。            
(NA)	 童年的记忆啊            
(4星)	 喜欢小小            
(4星)	 到位。打这以后不行了，即便是小宝与康熙            
(4星)	 当年我们区台放的时候，那个万人空巷啊。。            
(4星)	 那时候的最爱阿~            
(5星)	 回忆我的青涩时光。            
(NA)	 好看            
(5星)	 超喜欢的...还是初中时吧...看的...            
(NA)	 曾经，喜欢，很愉快            
(4星)	  张卫健的启蒙            
(4星)	 好多年前的了 还是挺好看的            
