http://movie.douban.com/subject/4217513/	就想赖着你 就想賴著你
(4星)	 不管怎么样！很喜欢ella，Jerry的身材可真棒！            
(4星)	 原来言同学这么帅哦！            
(4星)	 我说，都一把年纪了怎么才喜欢言承旭噶。啊哈哈            
(3星)	 轻松有趣，虽然是最俗套的剧情，但拿来杀时间还挺不错~            
(4星)	 Ella 加油~            
(4星)	 还蛮轻松可爱的            
(5星)	 9年后再次被秒杀，帅的一如既往            
(3星)	 好古怪的搭配……大嗓门的女主角……            
(NA)	 很搞笑的偶像剧。。。。。            
(5星)	 不用动脑的台湾偶像剧 剧情不离谱不夸张 再现暴龙的霸道温柔 ELLA是个超棒女孩            
(5星)	 超甜蜜的一对            
(3星)	 典型的台湾剧            
(4星)	 想不到年纪大了 还是对偶像剧没有抵抗力。言承旭还挺可爱的，以前都没有发现。            
(3星)	 出现了我最讨厌的女演员之一，rm不看了！真他妈讨厌陈紫函啊啊啊你怎么不去死一死！            
(4星)	 搞笑+正确爱情态度+无真正大奸大恶之人+符合正常人的行事逻辑+难得不狗血~~~剧情也不拖沓，言承旭演技有进步            
(3星)	 假            
(3星)	 言承旭这样真的很别扭            
(3星)	 言承旭还是那么帅啊            
(3星)	 已多年不追完整一部偶像剧，心有戚戚然，觉得自己真的老了，可是人总容易被感动的，虽然我们知道现实绝对不会有道明寺，项羽平的出现，也不会沮丧，总会相信有一个普通的男生会爱着自己就足够了。            
(4星)	 台剧有个问题，看到到后面几集就看不下去了。就想赖着你至少让人想看完哦            
(4星)	 Ella还是适合演这种角色哈~ 蛮温馨逗趣の 好看哈！            
(4星)	 好吧，我这次终于觉得言承旭帅了。            
(5星)	 好吧今年我给老牌帅哥跟傻姑五星！            
(5星)	 很清新的偶像剧，我终于明白，不要期待大白牙成为阮经天，他也不用这样强迫自己，他只要是他自己就好了，偶像剧永远需要这样的男主角            
(4星)	 看的是内地剪辑版，不知道台版会不会剪得比较好。暂时的结论是：爱情里到最后都是配角的错，只是身在其中，谁都以为自己是主角+言承旭笑起来很像小孩很可爱+Ella终于没有哭得让有想飞踢她的冲动+小彬彬红的确是有道理的。            
(NA)	 有点吃不消台版“卉凡”那个配音            
(3星)	 一物降一物呐~~            
(5星)	 Jerry            
(4星)	 一個冷酷英俊的律師會講小情話。            
(3星)	 前面情节还好，后面是在太拖沓了，整体感觉就没那么好了哦~            
(4星)	 剧情是土到不能再土旧到不能再旧的白痴女人遇到王子之后从灰姑娘变公主…………但是偶尔脑残笑一笑也可以啊…………这么多年后，我又被言承旭秒杀了（其实那个时候喜欢仔仔多些）……那小蛮腰，那可爱样~~OMGELLA很可爱，在女演员里面，什么“漏风”之类的也只有她能讲得那么自然率真~~            
(4星)	 真的是极度无聊的时候点开来看的，没想到这次言承旭的角色让我想起了咖啡王子店里极度有爱的孔侑大叔，忍不住喜欢啊~~~            
(NA)	 好久没看偶像剧。            
(4星)	 很搞笑            
(3星)	 唯一惊喜就是小娴！太太太喜欢这个角色了！            
(5星)	 言承旭还是那么阳光,就像当年的道明寺一样            
(NA)	 ELLA真亲。。            
(3星)	 言承旭太帅！            
(3星)	 ELLA的表情和剧情一样...NC 冲着言承旭和阿奇看完的            
(4星)	 不好意思。我少女了。            
(4星)	 剧情还是有点俗啦。。笨笨的不知情的丑小鸭和像初恋一样傻傻付出的成功男士。jerry表情好多～两个人在花絮里倒是乱搭～喜欢女主性格～配角除了张勋杰都很赞～            
(3星)	 言承旭呀，言承旭            
(4星)	 为了帅哥给个4星            
(NA)	 前2集笑死，后面狗血遍布            
(5星)	 我对自己说了一千遍——这个世界上不可能有这么英俊，专情，温厚，体贴的男人。我用一千个理由来说明这件事的不可能但实际上，那个女孩子不希望逢着一位这样的恋人            
(4星)	 Ella还是那么可爱，言承旭帅的咧            
(3星)	 不好笑了。。            
(5星)	 旭还有Ella 这种卡司怎么样我都要给五星 我觉得这是一部好笑又很幸福的剧 小小彬可爱 我一定要说某旭帅的惊天地泣鬼神啊啊啊            
(3星)	 剧情满烂的。。还算有笑点。。言承旭还素F4里最帅的            
(4星)	 如果我爱上你的笑容。            
(5星)	 支持老大            
(3星)	 开年的狗血偶像剧。脑残却欲罢不能。终于发现言承旭的帅了            
(4星)	 回光返照的青春一下。            
(4星)	 我想证明我还年轻~:(            
(4星)	 嗷嗷嗷 言承旭太帅了！！！            
(4星)	 暴龙八年前就是我的菜了……            
(4星)	 Jerry baby放得超开的：）            
(4星)	 我尽量忽略陈嘉桦小姐异常over的演技来看这出戏......[虽然有时候还是会被她夸张的表情吓到....]            
(4星)	 只能说Jerry太好，太帅~~五颗星给Jerry，四颗星给此电视剧~！            
(3星)	 言承旭胃痛都可以像心脏病一样滚来滚去，可是还是帅到了人类的极限 &lt;3            
(3星)	 剧情不想讲了，言承旭嘛还是那么的帅O(∩_∩)O哈哈~            
(4星)	 发现言承旭演戏的功力越来越好了            
(4星)	 喜欢言承旭含羞的表情，很难得在如此繁花落尽的时代，还有这样一种单纯。            
(3星)	 忽略ella  居然这么好看……要死了             
(4星)	 十年后还是一样喜欢 四星全部给Jerry            
(NA)	 无聊啊            
(3星)	 消磨时光            
(4星)	 旭见老...不要啊            
(NA)	 会烦变好人依然不招我待见            
(4星)	 又是一个灰姑娘与王子的童话故事             
(4星)	 越看越嗨.台偶演技有提高.我BS我自己..            
(5星)	 2010在法国一个人的春天，它陪我度过美好的3天。            
(3星)	 开始很欢乐，喜欢杨朵，言承旭真的只能演偶像剧吗？            
(4星)	 能让我一口气看下去的偶像剧不多的。幸好言承旭够帅，Ella够可爱。。。            
(4星)	 從道明寺開始，我就覺得言承旭演技很好！            
(4星)	 后面剧情真的很拖沓 而且越演越假。。             
(5星)	 为什么偶像剧要力荐呢？你懂的……            
(4星)	 道明寺重出江湖哈哈哈哈            
(3星)	 对着言承旭流口水，一口气看完，把ella换了就好            
(5星)	 很好看~好的偶像剧可以把人从现实中拉开，对生活重又充满希望            
(3星)	 还不错啦~！Ella收视保证哦，暴龙那种角色也还算讨喜。            
(3星)	 那首 礼物 挺好听的            
(5星)	 全部搞定，太入戏了我……我受不了了……！别于龙套的有意思的爱情故事~很好很好~让我忘了我要开学了都~            
(5星)	 这是爱情的味道。很温暖            
(4星)	 有笑有泪。。            
(4星)	 和表姐两个人看的，前面那几集小的前仰后合，Ella很适合演此类角色。言承旭很可爱!            
(4星)	 Ella很可爱，Jerry这么多年没看他的戏了，果然除了发型很像之外，没有哪里有道明寺的影子了。大爱Jerry同学的小动作和Ella同学的冷笑话。推荐！~~            
(5星)	 言承旭真是帅啊            
(4星)	 小子 你还是那么有型            
(4星)	 因为它，重新爱上言承旭            
(3星)	 其实真的没什么看点，很一般╮(╯▽╰)╭            
(NA)	 请原谅本人不定期的花痴。。            
(NA)	 ella 真的好可爱~            
(3星)	 言承旭还是那么有型呀。            
(3星)	 Ella            
(4星)	 想看ella跟小猪飙戏~~~~            
(4星)	 言承旭还是很有魅力。小娴好可爱。            
(5星)	 哎  我又花痴了一把....言承旭可爱+帅到惊世骇俗            
(4星)	 打發時間的偶像劇 好在這部很多笑點還有兩位男主角很帥。            
(4星)	 要再看一遍正版的言承旭~嗷            
(4星)	 言承旭和ella都是我的菜啊.哈哈哈.            
(3星)	 换个女主角吧            
(4星)	 言承旭和Ella都是很喜欢的。温馨可爱轻松的聚集~~~喜欢言承旭弱弱的“嗯？！”有Feel            
(4星)	 Jerry，你真的很会放电。。。            
(4星)	 言同学还是很帅的            
(4星)	 一部看得我又哭又笑的偶像剧，剧情虽然很狗血，但是看得心里很温暖            
(3星)	 肥皂剧消遣时间真好            
(4星)	 大爱男女主角            
(4星)	 怎么会有            
(NA)	 惹人笑笑，很轻松！            
(3星)	 台偶和韩偶简直一个路数，开始还较为吸引人，剧情发展却越来越弱智，最终让人不得不放弃……里头那个小孩子不错，可爱！            
(3星)	 为了我曾经爱过的女人和即将爱上的男人看的。只是气场……            
(3星)	 言承旭一点没变。。可能看太多好剧，这剧就一般了。。            
(3星)	 一直很烦感言承旭，但看过部电视剧，我改变了看法。            
(4星)	 ELLA和JERRY都好可爱啊~            
(5星)	 我爱我爱爱爱爱爱爱。            
(4星)	 言承旭 太他妈的帅了……            
(3星)	 发现言承旭 蛮可爱的            
(5星)	 比起其他内容煽情的台剧，这个很温情，很欢乐            
(5星)	 没办法。女主角是我爱的女人。            
(4星)	 忽然爱上言承旭            
(4星)	 好吧 ella还是蛮可爱的            
(3星)	 偏要无聊地追台剧 因为看它不用动脑子 言承旭我有点喜欢你了            
(3星)	 好吧, 我承认还是被言承旭迷住了...演技进步了.那个杨朵姐姐超级有爱..太喜欢这样性格的女生了...最后,实在不喜欢ELLA.女主可以选的更好!            
(5星)	 噢！！ 陈爱拉 我爱你呀            
(4星)	 萌翻了的项律师            
(2星)	 三十和初一用来看没有营养的台剧。。            
(3星)	 过年家里蹲看湾湾NC剧顺便PPS升级            
(NA)	 泄漏版实在太和谐了 要看就看台湾版            
(3星)	 第一集看完准备弃剧。旭很帅律师样子没话说只是我真的很讨厌ella演成那样儿而且讨厌他俩一起。            
(3星)	 言承旭的演技还是没啥进步的，桥段还是老套的没话可说，不过总算看完了，抹抹汗~~张勋杰的大叔模样挺赞的~Ella还是那样，婚纱照不见了。            
(4星)	 幸好还有DVD            
(4星)	 好吧我看的是泄露版本~jerry把ella的脸任意压扁揉搓得很欢乐~            
(5星)	 言承旭的演技提高了。。            
(4星)	 不动脑子得看，外加傻笑，蛮适合这个时候的            
(NA)	 呃。。。我都无聊到看完了这个剧。。            
(4星)	 为小小彬，我给4星            
(3星)	 看的vcd版本，一天看完的，ella演的戏，好像总有点相同            
(4星)	 哎哟，连继剧就是害人啊。困死我叶~~            
(5星)	 果果和项大律师最后好幸福哦~            
(NA)	 對jerry另眼相看，劇裏面還挺可愛耶~            
(4星)	 言承旭太可爱了，看了很欢喜。            
(4星)	 除了依然很帅的jerry外，非常喜欢演姐姐的小娴，连带着坏人男二也看顺眼起来了呢，还有演昱菲的小姑娘泼辣的徕            
(3星)	 。我们为什么总是爱上一个错的人，把自己搞得一身狼狈，这种自虐游戏到底谁发明的啊？。            
(4星)	 被秒到：第二集 01：13分 你以为我不知道这片子一般 我花时间就是为了看你 谢谢ella 把你变得开朗些 剧情前段超搞笑 小娴的角色演得很赞 后面就是纯粹花痴你啦 从流星到现在 你更帅更温柔 倒三角的身材那 惊世骇俗 感天动地            
(4星)	 妈呀，看得我脸红心跳！- -            
(2星)	 其实是冲着言承旭去看的。可是和ELLA搭，真的很奇怪啊，ELLA真的很没演技啊，说话调调只会那样傻傻的，真是受不了。都看不下去的电视剧，就看了个开头和结尾。到时觉得这部剧的配角蛮好的。            
(3星)	 我果真喜歡歪嘴巴男`~            
(NA)	 看了开头，不想再继续了            
(4星)	 好吧。。。我承认我宅瓜了。。。把电视剧当超长超长版电影的看了一整天了。            
(3星)	 花了3天把VCD版28集看完了哒.....            
(5星)	 有我爱的宝贝~支持~            
(3星)	 傻~            
(3星)	 这剧，很幼稚，但我还是在看。。。。而且发现，言承旭越来越帅~尤其是事务所里接到女友电话时一瞬间绽放的笑容~后段就感觉没那么帅了~想想他还一直都是这种性格的出演哦~别扭霸道孩子气~杨朵姐姐真是演活了，爱钱刻薄可到最后都觉得可爱需要保护~            
(3星)	 还好            
(4星)	 呵呵~~~言承旭啊言承旭            
(5星)	 我说你们别愣着了快结婚吧~~~            
(5星)	  言承旭  言承旭  言承旭  言承旭  言承旭 .................!!!!!!!多么白痴的剧情,为了言承旭就算了            
(NA)	 其实还挺好看的，很久都没有看台湾偶像剧了。Elle也超级可爱。            
(4星)	 可爱死了都。。。            
(5星)	 还不错            
(3星)	 言承旭很帅，可是ELLA～～            
(NA)	 对言承旭大有改观。只需看个开头和结尾便好，中间剧情太拖沓。            
(3星)	 我看偶像剧就是为了一堆笑点···            
(5星)	 言承旭的眼睛会说话。Ella朴实无华的可爱。            
(3星)	 看得我累啊~            
(2星)	 当中视播第2集的时候我就看完了22集            
(3星)	 很欢乐，但不会再看第二遍~            
(5星)	 灰姑娘的故事,也要不俗套才能让人相信            
(4星)	 轻松搞笑幸福。            
(3星)	 真的好无聊的剧集            
(4星)	 如果没有那个“六年后“。。。。。            
(4星)	 ELLA超好笑！            
(5星)	 言承旭好有爱啊~~~            
(5星)	 爲什麽都要先從冤家做起........            
(4星)	 看完了~主角、配角都不错~剧情就太一般了~李民浩和言承旭太像了~我都要恍惚了~            
(5星)	 我的宝贝Ella ~~~            
(4星)	 言承旭恩~~            
(5星)	 支持ella 好可愛啊  還有jerry            
(5星)	 好像比较纯一点甜一点的爱情只能在偶像剧里看到了。            
(3星)	 其实我受不了言承旭 这特么烂剧雷死我了！            
(5星)	 10.01.31 感觉还不错。好久没看过言承旭的片子了。100211 前天突然发现PPS上有VCD版的全集。于是两天时间看了28集。然后发现言承旭好帅啊。居然这么晚才发现。。。 以后每周估计还会一集一集跟吧。反正挺好看的啦。            
(4星)	 我对言承旭有了新的认识~            
(5星)	 真切地感到纯真的美丽。            
(3星)	 前面好欢乐 后面完全不好看啊XD            
(3星)	 中间太罗嗦太狗血太脱离现实要扣分            
(5星)	 只有你明白我有多珍贵~吼吼            
(5星)	 我就是喜欢！言承旭！            
(4星)	 流星花园的时候并没有很迷言承旭，但是现在这部让我彻底迷上阿旭了，很帅，很温柔！            
(3星)	 希望太大失望就越大、看完了，还是觉得不错啦。。            
(4星)	 偶像剧 里面 还行吧 感觉言承旭演技有进步            
(5星)	 很温情的。。  ELLA太可爱了！演技也提升！感情分加一星。            
(2星)	 我是幼稚园老师！            
(4星)	 一切只为陈嘉桦！            
(3星)	 小娴很不错。            
(4星)	 言承旭越老越帅 小小彬超可爱啊            
(NA)	 还是没看下去。。            
(3星)	 故事真的真的很一般啦，主要看言承旭的，简单的白衬衫西装裤还是衬的人很帅            
(4星)	 够搭诶~~~~言承旭小表情真多   真有爱~~~~准备好好DJ你啦~~            
(3星)	 虽然还是支持下一站。可是这出戏的名字很适合我现在的心情！            
(5星)	 平果恋果然很甜蜜啦啦啦~            
(3星)	 哪有男主角比女主角还要可爱的！！又让我做了一回花痴。            
(3星)	 无聊时候适合虚度一下光阴的片子。            
(4星)	 还是抵挡不住言承旭的魅力， 我很萌            
(4星)	 加一星是为了给JERRY~~            
(4星)	 Jerry比Ella要演的好。同学说，我应该以杨朵为奋斗目标。            
(4星)	 我喜欢ella            
(5星)	 超爱看 爱ella            
(4星)	 为了道明寺，我一定会多给星。            
(5星)	 哦和呵呵呵呵呵~~            
(2星)	 除了我弱智，我还能说什么            
(5星)	 好有爱。。。            
(3星)	 言承旭还是很帅的，其他的凑合吧            
(3星)	 唉 我对这种偶像剧就是一时兴起 手贱一看结局接着就没兴趣了            
(4星)	 虽然意淫，但是还是感觉很暖心。整部局会让我想到JP。            
(5星)	 因为有言承旭，所以看过很多遍也不腻。好喜欢看你笑，前“道明寺”。            
(4星)	 有点搞笑，还蛮好玩的。            
(NA)	 假期无聊煲剧ing            
(3星)	 真的一般，跟同期的下一站幸福不能比~            
(5星)	 典型台湾偶像剧的套路。但是受不了啊，看了三遍了。爱死大酒窝了，不管是他卖萌，任性，温柔，吵架，体贴，吃醋，每个表情都让人爱不行啊！！！            
(3星)	 我怎么那么喜欢言承旭。。。。。            
(3星)	 早看过的……            
(5星)	 超五星的台湾偶像剧，仅输《流星花园》。谁能受得了项大哥的温柔必杀？谁能谁能啊？！！反正我是彻底败了。Ella和言承旭挺合适的~~~找《流星花园》看来。            
(3星)	 唉 被言承旭给秒了。。。            
(5星)	 不怎么脑残，很美好~~            
(4星)	 推荐的原因是言承旭身材太好了！腿长臀翘各种好看。            
(5星)	 偶像剧，却陪我度过最难过的一段日子，还有点情感转移寄托般的喜欢上言承旭，呵呵，不过还好很快恢复正常。            
(NA)	   很耐看，很自然，这种电视剧很罕见了。            
(5星)	None
(NA)	 没电脑时 无聊在电视上看的 只能说ELLA很傻 剧情很傻            
(4星)	 劇情三星  Ella再加一星~            
(3星)	 一切为了言承旭            
(3星)	 连ELLA都要结婚了啊            
(2星)	 真不好意思说看过5- -            
(NA)	None
(3星)	 律師蠻適合現在年齡段的言承旭，之前酷酷很有智慧的很不錯，後來犯花癡就弱掉了。            
(4星)	 我承认它很狗血==但是言承旭真的很赞~！！这么一个能把粉衬衫穿的帅气的男人，傲娇又霸道，跟傻乎乎的Ella简直绝配~~~看他们kiss的时候心都软了~~世界真美好啊~~~            
(2星)	 陈紫函也在里面演了？            
(4星)	 ELLA的片子都开始要有质量免检了，不错哦~            
(3星)	 伦家想要寻回一些谈恋爱的感觉嘛哈哈哈哈。贱人@arioso            
(4星)	 美奇姐姐超可爱~很欢乐啊~            
(3星)	 小侄女推荐的,不看不行,不然见面没有话题聊阿.            
(2星)	 如果給星的話我一定是給言承旭的了。。            
(2星)	 讨厌ella装无辜            
(NA)	 喜欢男二号哇，长得好像一个好朋友            
(4星)	 哇嗷,居然一天3集的跟电视上看完了,而且我爸我妈还跟着一起看- -,ELLA真心可爱!!,言承旭够萌,,            
(3星)	 我靠除了杨朵可不可以再有个脑子不少筋的人啊！！杨果最无理取闹了。            
(3星)	 嗯。。。。言承旭好帅。。。。我承认我依然花痴。。。。            
(5星)	 虽然结局烂俗又有些角色情节交代不清，但总的还是很好看            
(NA)	 喜欢杨朵，表面上是爱钱，但是骨子里是对家庭的责任、坚强和忍耐。            
(4星)	 前几集爆笑            
(3星)	 言承旭还是帅的，Ella的头发好可爱。。            
(3星)	 前面还蛮好玩...10集之后就不爱看了...            
(4星)	 为了言承旭和小小彬，再弱智也认了            
(3星)	None
(3星)	 补上            
(5星)	 尽管有点受不了ella这个角色的性格 但是言承旭在里面真的是太萌了！看到了道明寺的影子！            
(5星)	None
(3星)	 男主典型狮子座不解释。。。            
(5星)	 言承旭一贯的帅！            
(5星)	 帅气的言承旭，是我的梦想，呵呵！            
(3星)	 真不是有偏见，ELLA真是太做作            
(NA)	 言承旭思密达啊            
(4星)	 奔着言承旭去的，没失望哦~~Ella很可爱            
(4星)	 我的羽平小亲亲            
(5星)	 真实又甜蜜的幸福 我喜欢 旭旭和ella 我也喜欢             
(4星)	 OK啦。如果ella可以不要装傻卖萌比较好。            
(5星)	 言承旭，深情的王子啊。            
(2星)	 我总觉得这是俩男的。。            
(3星)	 Ella确实演的有点夸张。            
(NA)	 几年以来唯一看的偶像剧            
(NA)	 旭旭你好帅啊，旭旭你太帅了，花痴ing......(我说同学，你的品位跨度也太大了吧）            
(3星)	 消磨时间。我年纪大了。T.T            
(5星)	 好看！jerry对ella说：“流星花园看过吧？”ella：“当然看过啊，韩版的也，具俊表好帅哦~~~~”jerry肯定很无语吧，哈哈哈哈哈            
(4星)	 Elle好可爱%言承旭好帅……= =            
(NA)	 轻松愉快，有看头。            
(5星)	 老妈的评语：哪里有这种老板？！            
(5星)	 蛮好玩的            
(1星)	 不待见2女主            
(NA)	 宝宝东，就想赖着你。            
(4星)	 我喜欢轻快的电视剧            
(4星)	 如果这种爱情真能发生，那么就证明日久真能生情            
(NA)	 这我竟然都看过 并且看的很嗨。。。。。            
(5星)	 很欢乐很可爱啊~~            
(5星)	 一如既往的自然清新的表演，挺ella到底~~~            
(3星)	 前面挺不错的，很有趣。。后面就越来越狗血了。对言承旭改观的片子，人有了气质之后就是不一样啊。ella扮萌一直都是这么自然~            
(5星)	 陪伴我走过高三的电视剧            
(4星)	 够搞笑有爱的俩人，按照台剧的标准来讲，还不错看            
(NA)	 = =            
(3星)	 言承旭在里面还是多乖的啊            
(NA)	 不知道这样的爱情什么时候会在自己身上出现            
(5星)	 很好看            
(5星)	 就还不错啊~            
(3星)	 看过一点点，典型的台湾偶像剧            
(3星)	 不喜欢女主角- -也不喜欢男猪脚            
(4星)	 很好看。            
(3星)	 其实有时候觉得傻点也没什么不好~小小彬各种可爱^^            
(3星)	 言承旭终于有表情了            
(5星)	 只为爱上你好喜欢好喜欢~            
(3星)	 言承旭俨然好男人一枚……            
(1星)	 实在看不下去。就对付给个星吧。            
(3星)	 相当相当的老套            
(2星)	 。。。。。。无言了。。。            
(3星)	 HC一下言承旭的白衬衫            
(5星)	 ELLA 和言承旭搭配还不错~            
(5星)	 让我开心 让我领悟 偶像剧 这就够了 喜欢ella  还有言承旭 总是一脸温柔的样子            
(4星)	 艾拉有爱是一如既往的好，言承旭进步不少哦            
(3星)	 这剧天天在电视上放，这个台放那个台放，可是真得很一般诶，言承旭也走下坡路了，ELLA真得不适合演偶像剧呀，虽然演技不差，可惜没什么女人味，千万不能演爱情戏的。            
(3星)	 ELLE就只能演这样假小子的            
(5星)	 为了生活而努力的两姐妹            
(NA)	 轻松小白剧            
(3星)	None
(3星)	 没看完 喜欢ELLA 但是演技嘛 咳咳             
(4星)	 Ella告诉我们电视剧并不是女猪脚国色天香才好看哦            
(3星)	 ELLA……我放弃了言承旭            
(NA)	 10年后的言承旭            
(5星)	None
(3星)	 套路 ella可爱～            
(4星)	 好看啊            
(NA)	 很搞笑= =            
(3星)	 啊呸            
(3星)	 疯疯癫癫的ELLA            
(3星)	 是为了言承旭去看的。。哈哈            
(5星)	 只为言承旭！！            
(3星)	 看偶像剧也有看偶像剧的好处，看惯了大片的你别鄙视            
(3星)	 我不能接受ELLA和任何男人谈恋爱，无感！            
(5星)	 最扛不住又帅有多金还偏偏对丑小鸭情有独钟的帅哥了啊啊啊啊啊            
(4星)	 很久没觉得弯弯剧好看了，很轻松、很舒心的偶像剧。            
(3星)	 ella的面部表情绝对是一大看点，言承旭就一张死鱼脸=。=            
(2星)	 今年暑假无聊看了看。            
(4星)	 这几天一直追着看，昨天看到半夜终于看完了，很喜欢，还是很喜欢言承旭，从很早以前就很喜欢他。然后看这部电视剧，突然觉得很美好，那么纯纯的爱情，那么简单的心情，那么单纯的爱恋，那么可爱的女生，虽然剧情有点儿假，但还是很喜欢啊，因为现实中可能没有那么单纯的感情吧，项羽平和杨果都很单纯。            
(3星)	 豆瓣推荐上不停的出现，OK，我看过这片子！            
(2星)	 我就知道自己这么久米有看台湾小言情一定hold不住，但还是毅然决然地看了。。事实证明是真的hold不住。。。ella你有没有太造作一点。。唯一尚有安慰的是男二的眼镜+微微胡渣啊很萌~            
(4星)	 女主真是二到冒泡……言承旭啊……美男            
(NA)	None
(3星)	 两个人的款太不搭了            
(2星)	 Ella 毁了又一个剧            
(2星)	 偶尔看几眼还可以。            
(4星)	 还久没有看偶像剧了，还不错~以前觉得ella不好看，看了这部剧后对ella改观了，好可爱~            
(4星)	None
(4星)	 还可以，比较搞笑            
(NA)	 一边鄙视着自己恶俗，一边看完了整部剧，言承旭好可爱啊~            
(3星)	 看偶像剧就是图个轻松，还好女猪是Ella ，不做作。            
(4星)	 言承旭你不要太帅哦。。。都是你加了一星哦~~~555，后天回学校诶。。。不爽啦            
(4星)	 又看了一部湾湾偶像剧。。情何以堪。。不过真的好有爱！还好有这部剧在我低谷的时候带来温暖。言承旭这个样子真要人命！ &gt; &lt; ~            
(5星)	 想说，明年就本命年的我本不该沉迷于这种偶像爱情搞笑台湾电视剧中，但是我确确实实的看完了，并且被感动的一塌糊涂，所以说人对美好事物特别是爱情的美好憧憬和追求是不会随着年龄的增长而改变的，对吧。 25集，被一大柜子的糖果感动，一个深爱你的男人，会给你从微小到巨大的感动，哪怕一颗糖果。            
(3星)	 早上醒来断断续续星尚频道基本看掉了= =其实我看的还可以啦~算三星半-0-            
(5星)	 失去了才懂得珍惜才知道后悔...世界上如果有林羽平这种男的那就赞了~~            
(4星)	 言承旭好温牛TT            
(5星)	 三年没看偶像剧了。。。SHE演的嘛。总归要支持的。。很搞笑的一部片子~~真是无忧无虑~~            
(4星)	 撇开不合理的种种情节。。。我觉得还算不错。。而且。言承旭在里面好可爱啊。。。就是那种霸道但是很温柔的那种类型。。啊~无法抗拒。。。            
(4星)	 言承旭 我的菜啊 好帅啊 中间一段丁卉凡爱的太没尊严 不过后来很好。            
(5星)	 好久没看偶像剧了~看这个觉得还挺温馨的            
(3星)	 言承旭一如既往的不入戏，Ella 还真牺牲，演技有进步！            
(5星)	None
(4星)	 十年过去了，言承旭还是这么帅，演技大有进步，四星全部给你！            
(4星)	 偶像剧，就是让你轻轻松松地去想本来显得比较复杂的问题            
(3星)	 里面歌曲都很调皮阿，很欢乐            
(3星)	 哈哈            
(4星)	None
(3星)	 只是突然感觉ella有点像小烦而已。。呵呵。。。            
(5星)	 真诚地对待别人,要勇敢地面对一切困难.要相信一些东西.要相信爱情!            
(4星)	 宝儿的推荐不错哦~            
(4星)	 在武汉开始看到的，宝贝儿喜欢我也喜欢            
(2星)	 我直接跳最后一集            
(2星)	 有够烂            
(3星)	 还不错  就看言承旭就行了  剧中蛮多笑点的            
(3星)	 good choice to kill time            
(4星)	 虽然是台剧。。。不过还蛮好看的诶。。。            
(3星)	 言承旭这个角色，真的好会为喜欢的人着想哦，这样的男人，是人的都喜欢，但是Ella这个角色就太傻了。。。晕死，而且为什么是Ella来演啊，根本就不相配嘛。。。哎~~~            
(4星)	 突然明白言承旭的帅，为这戏小疯狂了一阵～            
(4星)	 很可爱的片哇~言承旭o(≧v≦)o~~            
(3星)	 言承旭帅哦             
(4星)	 都说，没营养的偶像剧。、不过，就算没营养，还是给人一种纯洁的，期待中的向往、、            
(4星)	 奔着言承旭看的，太帅了。。elle演戏我实在受不了            
(3星)	 ella傻傻的还有点可爱，不过看多几集有些腻味。言承旭的演技还是一般。故事情节为发展而发展，没有查美乐好看。            
(3星)	 言承旭演这种人物性格真是轻车熟路啊。。。            
(5星)	 哈哈，ELLA太傻太可爱，太好脾气啦~~~欢乐！！            
(5星)	 这部剧太有爱了，支持平果。。            
(3星)	 暑假看的时候还是蛮喜欢的偶像剧            
(5星)	 简单而幸福。            
(4星)	 还不错啦，男女主角的搭配比较新颖，言承旭的表演很到位，从头欢乐到尾            
(4星)	 好久没看电视剧了，这种假假的大团圆结局还是多羡慕的。            
(4星)	 Ella你要不要表情这么丰富啊~~~~~言承旭你敢不敢再帅一点啊！！！！！！！！！11.7.15            
(3星)	 好像蛮有趣的~看久了也还是恶俗套路......            
(3星)	 假            
(4星)	 搞笑            
(3星)	 太笑了~~            
(3星)	 有点乱乱的感觉..            
(5星)	 强力推荐            
(4星)	 电视里实在没有能看的电视剧，就跟了这个            
(4星)	 喜欢项羽平哦            
(4星)	 受到 大男人变成贴心赖着你 的虐啊~            
(3星)	 很好玩~            
(5星)	 超好看啊 哈哈哈哈 想再看一遍            
(3星)	 只有我了解，你有多珍贵！            
(4星)	 哎哟！两个男主角帅死啦！            
(4星)	 哪有这么可爱的大律师啊，呵呵...就喜欢看这种不费脑子不伤感情开开心心的电视剧...            
(4星)	None
(3星)	 又陪我妈看了一遍    我妈还是像我小时候那么喜欢言承旭            
(5星)	 加滑的戏就是百看不厌啦！！！！            
(4星)	 很搞笑吧！            
(NA)	None
(5星)	 挺萌的！言承旭很帅哎。            
(3星)	 粉蓝粉红粉紫或者黑色的衬衫，烟灰米灰的针织衫，看完就记得这些，花样的男人也有了法令纹，我就想讲这么多            
(2星)	 我很小的時候覺著Ella和暴龍挺配的            
(1星)	 对ella演偶像剧表示很无爱！            
(4星)	 羡慕嫉妒恨。            
(4星)	 断断续续看了半年终于看完了。前面后面都很好看，笑很多，但后面那一集也赚足了眼泪！明白如果一个男人真的很爱你很爱你是会怎么做的。哎我也好想有个人能永远陪伴着我，守护着我，关心着我。中间很垃圾，结局很画蛇添足。很可惜杨朵没有跟仙人掌在一起啊！！！其实仙人掌很可爱啊有木有！！！             
(5星)	 五星全给言承旭             
(3星)	 星桑的恶趣味            
(NA)	 又无聊又好玩            
(3星)	 脑残系啊！            
(4星)	 居然被我不小心删了= =好吧言承旭很迷人，结局超级烂尾            
