http://movie.douban.com/subject/3609075/	蜗居
(4星)	 这部电视剧就是折磨人的片，太让人寒心了。房奴啊，在这个世界上，完全靠自己，不靠父母凑钱，有几个人能在北京、上海等大城市买起房。一辈子的积蓄放进去，差不多一个房子。哎，这个世界啊，房子泡沫咋那么大啊，就没有人管管了。哎，            
(5星)	 现实            
(4星)	 為了工作而作的功課, 從本性上說我對悲苦的社會劇一向打不起精神。看過半了才覺得還不錯, 社會現實部分很真切。2009~2010.1月            
(NA)	 我俩看了三天终于看完了            
(5星)	 我只记得一句话，宋思明说：“我觉得我今天所得的一切，都是我弟弟给我的。”不知海萍将来还记不记得她的所得，是谁给予的。这部片一点都不误导别人的价值观，我只是不想加入“离乡人贱”的行列。老家活得很舒坦，奋斗就不必了，人越多的地方，越没天理，全是天意。            
(NA)	 。。。            
(4星)	 节奏很紧凑，是部很好的生活剧，至少我可以连看好多集。            
(4星)	 小贝现实无奈            
(4星)	 悲剧            
(4星)	 现实的离谱，离谱的现实。现实的残酷，残酷的现实。            
(5星)	 生活的无奈            
(NA)	 才看完！！！好不容易。            
(4星)	 海清演什么都像样            
(4星)	 真实是很残忍的。            
(4星)	 其实最喜欢看宋和海藻在一起的片段。。。            
(1星)	 龌龊难看            
(4星)	 可爱可怜可恨            
(3星)	 残忍            
(4星)	 我想要一个房子，不大，50坪就好。            
(4星)	 这就是现实，现实这个大舞台活生生的演绎了我们这代人的悲惨命运            
(4星)	 很现实，很赤裸            
(4星)	 都是可怜人            
(4星)	 我看的唯一一部电视剧 虽然夸张了黑暗但还是很现实。。。            
(5星)	 感触良多。后现代啊后现代。。唐老师还是很牛的。。            
(3星)	 我以为我受不了的是演技，但其实我更受不了的是混乱的逻辑。这个世界到底怎么了？            
(4星)	 喜欢六六的作品            
(3星)	 说实话，并没有看完。但是个人不喜欢这部剧，我觉得人人都说着现实，可是，我所以为的现实，还是挺美好。            
(4星)	 小小蜗居，大千万象PS:若不虎头蛇尾，可上五星            
(NA)	 ．．．．．．            
(NA)	 房子成为了他们生命中的偶像了!人若赚的全世界,却陪上自己的性命,又有什么益处呢?这里的价值观和婚姻观是错误的!            
(2星)	 我没看出来他们又什么爱情，个个都是糊涂蛋。鉴定完毕。            
(4星)	 海藻是纯傻逼，小贝是被傻逼            
(5星)	 据说是人物影射GOV官员才被禁的。            
(NA)	 太压抑，我看到第三集看不下去了，等我承受能力足够强的时候再看吧。            
(5星)	 收获颇多~            
(5星)	 感触最多就是这部电视剧，血色浪漫给我的激情，双面胶给我婚姻的恐怖，感触最多就是这部蜗居了！看来人生需要破局，转载节选六六对蜗居所面临迷茫一点的看法：任何时代都有精英，否则这时代早就垮掉了。我们不但没有垮，还依旧往前走，靠的肯定不是迷失的那一群。            
(5星)	 被现实狠狠刺痛~            
(3星)	 恶心人.            
(4星)	 二奶啊二奶 社会啊社会            
(3星)	 不要说海藻怎样，我完全会选择做郭海藻。fuck the hypocritical eastern morality            
(2星)	 偏颇的、以偏概全的，没有任何思想内涵            
(5星)	 看到最后好心痛 。。            
(3星)	 35            
(4星)	 鸡巴房子            
(3星)	 就冲着宋思明去的            
(4星)	 就看到母校的校服了            
(5星)	 现实很残酷，看完后很多女生都去当二奶了            
(3星)	 谁买房谁2B            
(4星)	 如果宋思明不是从政而是从商的就好了            
(NA)	 没看完……            
(3星)	 不喜欢海藻，不喜欢宋思明。            
(5星)	 [2010.03.15]载入中国历史的电视剧            
(NA)	 ....看了一个多月总算是看完了.....= =......            
(3星)	 蜗居给了全中国的小三们一个希望，金钱会有的，爱情会有的，宋思明也是会有的= = 前半部分不错，看似还觉得挺真实的，后半场不知编剧是否想告诉观众自作孽悠着点            
(5星)	 现在的年龄才能看得懂一点儿            
(NA)	 这部片子 我是第一批观众  哈哈            
(4星)	 不错了            
(3星)	 价值观和感情观我不能认可！            
(3星)	 都是逢场作戏            
(3星)	 除了写出了现实因素之外，这个片子也告诉我们有钱 有权的中年男人是多么的有爱啊            
(5星)	 经典电视剧！            
(4星)	 咋活啊            
(4星)	 蜗居看了窝心.            
(4星)	 看的郁闷            
(3星)	 不喜欢小三！            
(1星)	 看的我直恶心 嚼头 别无其他            
(3星)	 我相信现实还是比较可爱的。            
(4星)	 世界真的变成这样子了吗？            
(3星)	 只看了前两集和最后一集，听了很多人推荐……不过有些话确实太生硬了。明明是自作孽，不可活的一件事，还显得自己多无辜。            
(NA)	 生活其实很残酷。。。。            
(3星)	 海藻太贱了            
(2星)	 一般            
(4星)	 剧本真写得好            
(4星)	 小三必看。            
(4星)	 郭海藻是里面唯一个差的演员！最大的败笔            
(3星)	 7分 有些台词还是很劲爆的。结尾太喝血了，巨雷            
(4星)	 二奶情史            
(4星)	 还是挺发人深省的，就是结尾落入俗套了点。            
(NA)	 基本反映现在的社会            
(3星)	 断断续续看了点这么火的片子，现实嘛，就这样！            
(3星)	 看完了又把书看了一遍，见书评~~            
(4星)	 任何家庭总有一个强势而多嘴的姐姐            
(NA)	 终于看好了~邱震海先生都问了，我敢不看嘛~要不过那样的生活，得经历多少？得多勇敢？            
(4星)	 现实。            
(5星)	 吐血推荐未删节版。难得有部比较真实的片子            
(4星)	 我承认我土……            
(4星)	 现实            
(1星)	 在家零零碎碎陪爸妈看的. 除了脑残姐妹相继攀比iqeq低峰, 不要脸老男人当了那啥还要立那啥, 其实我更讨厌的角色是苏淳... 怎么就那么让我想抽人呢.             
(4星)	 我看过的唯一不做作的电视剧。            
(4星)	 生存就是一场接一场的悲剧。            
(3星)	 内地的电视剧太现实            
(NA)	 怎么这么好看呐~~~！！            
(NA)	 价值观比较消极 有错请埋怨社会 不要责备女人 他们都是牺牲品            
(3星)	 又被舆论骗了。真难看            
(4星)	 现实            
(3星)	 不靠天，不靠地，只靠自己            
(5星)	 哦，NO            
(NA)	 你他媽的郭海藻            
(3星)	 打着爱的旗号干些伤天害理的勾当。。。笑贫不笑娼            
(4星)	 谢谢你最后对海藻的仁慈。            
(4星)	 活着真累            
(4星)	 有些话很不错、但是越来越不好看、海藻是笨蛋、            
(5星)	 挺真实的一部电视剧，绝对把上海房奴们的生活体现的淋漓尽致，也让更多的人把小三这个词放到了茶余饭后的话题中……可以说是社会影响了人们的价值观，老百姓们被逼无奈。            
(3星)	 这演技差的，不过却让人更不觉得是在看戏。极容易入戏吧            
(5星)	 还是挺不错的 有的得跳着看            
(5星)	 世态炎凉呀。。。            
(4星)	 上联：只要日子过得去 下联：哪怕头上带点绿 横批：忍者神龟            
(1星)	 稀烂的做作            
(5星)	 很真实。            
(3星)	 看过了《蜗居》,我在想：人生的精彩之处不应在于你拼命的为银行、房地产商打工一辈子，不过又想，房子其实是一块很好的试金石，尤其是大城市的房子，能检验出很多，人性、能力、心态、关系等等，等等。            
(2星)	 被听完的            
(2星)	 小说变成了电视剧，比小说本身还差。。唉            
(4星)	 结尾不如前面精彩，也有点仓促，有点牵强，靠向所谓的主流思想            
(NA)	 贱女人是需要贱男人来衬的，一个不独立的人格是多么悲剧。            
(5星)	 冲着文章去的，结果看着看着就迷上了，呵呵~~挺好挺现实的~结尾哭得一塌糊涂~            
(3星)	 很反动吖。            
(5星)	 宋思明好帅            
(4星)	 小三有风险，入行须谨慎~!            
(NA)	 非常之窝心的电影。。。。这个剧情简直是。。。这么名字起的太好了！！！            
(2星)	 这片对于爱情的态度真是太TM恶心了！真的太讨厌海藻了！人得狭隘怎么能怪这个社会和城市了？！            
(3星)	 这是一帮人的杯具。这样赤裸裸的现实其实都不是病态 是变态 只能说还行吧  傻的还行            
(4星)	 所有现实问题都集中在这部剧里了：房奴、炒房、官商勾结、贪污腐败、婚外情、小三、啃老、就业难……很不错的一部剧，演员演绎得都很到位，尤其海清和文章。过海藻的悲惨下场，在我看来是罪有应得。            
(4星)	 节奏很紧凑，人物刻画虽然不真实，但内容很值得思考，不错。有收获但还是没有逃过结尾的仓促。            
(5星)	 很真实，很残酷            
(4星)	 过于现实，也就显得不现实            
(3星)	 明说是上海么就得了。我们熟悉着的地方。            
(4星)	 挺现实的，还不错。最后结局太悲了。。            
(4星)	 拿什么来抵抗宋思明一样的男人？            
(5星)	 艰难的现实，百姓苦啊。            
(5星)	 作為一個電視劇……不錯了。            
(4星)	 小三 吃喝拉撒            
(4星)	 小三经典教程。            
(NA)	 电视上断断续续看了            
(3星)	 算是我十年来基本看完的本土电视剧了，说实话情节一般演技也仅仅尚可，倒是剧中旁白做得不错。无数人说它真实，其实未必吧，人各有志，这世界，也未必所有买不起房的人都蜗居得不快乐            
(3星)	 那么写实，但都妄图要兜回来主旋律，是很难的。。。            
(5星)	 所有人都能在蜗居里找到自己            
(3星)	 很多断断续续的。 结局也是跳着看完的。可这样的生活，不能说它是多么的真实，只能说他确确实实是存在的。海萍的努力坚持价值观是很多人曾经有的。而海藻的妥协悲哀后悔也正是很多人正在经历的。 这些怎么能够说是对还是错。只能说他们为之付出的值得还是不值得。他们失去的在乎还是无所谓。            
(5星)	 略带偏激的悲观现实主义            
(4星)	 演技真好，过程好，结果不现实，唉，但不能太悲观            
(5星)	 鱼眼睛不是必然的            
(4星)	 我和鸥看到十几集时觉得怎么这么罗嗦 就直接跳最后两集看了。- -            
(3星)	 还不错 就是结局太和谐了            
(4星)	 能在现在这个时代将如此写实的电视剧公开热播，也是咱们中国社会的进步啊            
(3星)	 前五集的夸大现实压力+中间的美化版婚外恋情+后五集高举为民服务旗帜的赞党马屁……话说，最近才知道现实中真有些上了年纪有点钱有点权的男人就爱觉得自己能当宋思明。老大，你想当宋思明也要看看别人想不想当海藻啊！            
(NA)	 被禁可以理解！            
(5星)	 挣扎             
(3星)	 跳着看还差不多。。。其实可以缩一半。。。            
(4星)	 很现实的片            
(5星)	 当时很追的剧。没有比4！只有同情。            
(4星)	 不做评价……            
(3星)	 看的时候快危机感死了...（三集已阅）有些对上海人的描述明显是带有“外地人”的偏见的~~ 不理智啊            
(5星)	 破镜难重圆            
(2星)	 很真实很毒，然最不爽的是男性角色多少都有着闪光点，但女性角色却全都让我觉得是自找的（至少以俺的价值观论）……一开始还以为编剧肯定是男人而且是男权倾向的男人……但事实上……其实我真的不是女性吧orzzz……            
(4星)	 才发现，原来我看的时候，它还没火起来呢...            
(3星)	 一言以蔽之，男盗女娼。            
(4星)	 很好            
(3星)	 惯于为自己开脱的郭海萍，是最恶的            
(4星)	 这就是现实。。。。。。。小三木有好下场            
(NA)	 忍不住看书的，太慢了            
(4星)	 HOT VERY HOT            
(4星)	 现实很无奈...            
(4星)	 充分体现出了社会的不公平性以及说教意味            
(3星)	 谁天天张牙舞爪的嚷嚷着这剧现实现实的....实在是不敢苟同...不大喜歡...            
(3星)	 女人眼中的这个操蛋的时代            
(4星)	 没看过的建议就别看了，免得辛酸，有些事情不去想，日子会好过些。            
(NA)	 再给我一次机会  我还是会选择宋思明            
(3星)	   我真是看不下去了，我只想说一句：但愿像海藻这种没骨气的东西不要出现在我的朋友圈里！我招架不来~            
(4星)	 少有的一部能够吸引我看完的电视剧。            
(NA)	 海藻挺漂亮。            
(4星)	 喜欢海萍夫妻~            
(4星)	 虽然有些地方歇斯底里了点，但依然是现实的一面镜子……            
(3星)	 考完后窝在寝室里三天看完喜欢上了海清~~            
(3星)	 太郁闷了。透不过气来。            
(3星)	 一个有执念的贱女人毁了一群有着各种怨念的贱人的故事....我们都tmd贱贱地活着            
(NA)	 宋思明发情的时候的表情让我觉得好尴尬= =            
(5星)	 2010年看过的第一部电视剧,无奈啊...坚持            
(4星)	 现实主义的恐怖片            
(1星)	 yp剧，用yp的角度看上海。用什么十里洋场，XX明珠来影射上海。上海人么全是吃低保的，上海人全是小鸡肚肠，上海人斤斤计较，不宽容。            
(4星)	 我也看了《蜗居》，我从小贝与海藻的故事看到的结论是：海藻在现实与理想之间徘徊，在物质与精神之间迷失，而最终选择了现实与物质；小贝则是很傻很天真的活在甜蜜的爱情里，在最后的最后才发觉，爱情很近，但婚姻很远！             
(4星)	 太现实.09年寒假看完            
(4星)	 结局我不喜欢，明显就是糊弄人嘛！            
(4星)	 写实。            
(4星)	 很现实！            
(5星)	 全面揭露中国社会的各种阴暗面，六六危险，小心安全            
(3星)	 6/10            
(4星)	 @24 风筝只为一根线在天空飞翔，你却剪断去找所谓天堂。            
(5星)	 告訴我，什么才是小小的幸福！            
(4星)	 论起现实性，与同期看的蚁族差太多            
(4星)	 现实远比这复杂 但这样的感情就是狗屎            
(5星)	 很现实，很有教育意义。            
(5星)	 现实生活的翻版, 句句台词都好经典~            
(4星)	 理想化了的现实剧            
(5星)	 心情很久不能平静 很复杂             
(4星)	 ……            
(5星)	 蜗居备受的争议不得不使人看，海藻就不多说，喜欢海萍的真实，乐观，忠诚，勤奋及对女儿深深的爱。这样的女人比起发嗲献媚的要可爱很多            
(4星)	 海藻的心理很真切            
(3星)	 不得不说，这是神片            
(4星)	 这两个字就很有震撼力            
(4星)	 还是宋思明的老婆好            
(4星)	 有些值得深思的地方            
(5星)	 五星            
(4星)	 这是什么心理啊~ 一个时代的还是几个时代的            
(4星)	 宁愿平平淡淡，良心无愧的过着……            
(3星)	 1.海藻很傻很天真。2.海萍最讨厌，一副高高在上的样子，因为宋给他们家带来无尽的恩惠就放纵海藻和宋的往来，海藻有了孩子才貌似关心地讲大道理。马后炮谁不会。3.导演把宋刻画得太人模狗样了，有钱有权有情。4.事实看得最清的人是宋的老婆。            
(4星)	 为什么海萍能得到这么好的结局呢？真是让人不爽！            
(4星)	 有海萍为妻，窝囊如苏淳也变成幸福了。            
(3星)	 闲来无事的庸俗吧            
(3星)	 还是没能免俗地看了。。。            
(4星)	 最欣赏海萍，她始终在努力追求自己想要的生活            
(NA)	 这是活生生的现实啊！            
(3星)	 我娘非要看            
(5星)	 宋思明说，通向精神的道路有很多，物质只是其中的一种。这句话本身没错，但是具体在这个里面，里面的所有人都是严重地被物质所束缚了的。宋要给海藻物质，但是海藻在接受的时候，只是更加地束缚在其中。            
(NA)	 看了大半外加小半的分集剧情....每个人都能找到引起共鸣的点，也算编剧的不易了            
(4星)	 和妈妈一起看的@BJ            
(NA)	 窝心···            
(3星)	 人生，是自己选的。一定要慎重。            
(4星)	 买房子买房子            
(3星)	 要靠自己的双手汗水换来幸福，就象海萍。而不是靠身体，不要狡辩说当中也有爱，更何况你拆散了别人的家庭，罪加一等。PS：海萍在剧里面的专业是对外汉语哦~            
(NA)	 我承认我看过            
(3星)	 宋太太气质最佳，一边优雅的谈吐一边愚昧的自欺，她是真的杯具。文章贝我一开始没认出来，总觉得他的小贝略带傻气式神经质。姐夫苏应该是个好男人了吧，他的名牌大学毕业生不懂法让人啼笑，剧情发展下编剧的错。姐姐自始至终在矛盾，又享受着高官带来的便捷又害怕妹妹失宠。海藻讨人厌宋是个不负责任的            
(4星)	 残酷的现实世界            
(3星)	 家里电脑里有，就看了。            
(3星)	 ∵蜗居=小老百姓的日常生活+文艺腔的对话+二奶童话 且 蜗居=低俗 　　又∵广电局的领导们=二奶童话的缔造者 且 广电局的领导们不会自抽嘴巴子 　　∴蜗居=低俗=小老百姓的日常生活+文艺腔的对话+二奶童话－二奶童话 　　∴低俗=小老百姓的日常生活+文艺腔的对话             
(3星)	 花一个半小时看小说原著就足够了            
(5星)	 拖沓啊……六六好恨小三，可见一斑。            
(3星)	 很现实的电视剧，喜欢看姐姐奋斗的那部份            
(2星)	 越看越差劲，后面就拖快进了……两点要说：一，当了婊子就别立牌坊；二，我妈说剧中苏淳那个演员是我小时候看的儿童剧里的司机叔叔。他在该剧是亮点，20年了依旧是怪蜀黍一枚=。=            
(1星)	 凹滔            
(3星)	 看得我都被气死了            
(NA)	 现在的社会。不好说            
(NA)	 呵呵 据说现在的狠毒偶大学生都朝海藻发展~~幸好我毕业了!!            
(5星)	 好心痛            
(3星)	 讨厌某个女人的歇斯底里。            
(5星)	 摇摇椅，自行车被偷，雇人排队，温州炒房团，网店，二奶，最牛钉子户，强拆出人命，高房价，政府与地产商，宜家，电子桩和驾照，办准生证。。。六六记录了这个时代            
(4星)	 现实摧残            
(5星)	 憋屈            
(4星)	 看到海藻要死不活的，我心里很舒坦。。。            
(4星)	 每个人都会有一道自己的伤疤，有些人的会很深，譬如小贝、海藻、宋太，有些人的会很浅，譬如海萍、苏淳。也许这就是所谓的命运，它告诉我们：逆境时请坚强，顺境时勿放纵。            
(4星)	 原谅我还年轻= =            
(4星)	 小贝和海藻你们是回不了从前的了，因为从前那个小贝已经死了            
(5星)	 初看是洗具，细看是杯具，看完心里都充满阴影了。非常出彩的演员和对白，国产电视剧难得的佳作            
(3星)	 编剧的所谓疑问，还是从自己身上找答案吧。。            
(3星)	 什么时候开始，我们都不哈偶像剧，开始关注现实生活剧了。            
(4星)	 我花了很长的时间去断续这部电视剧。最后终于看完了，我也就安心了。            
(4星)	 所有人都好可怜啊……            
(NA)	 反动！            
(4星)	 看到后面觉得有点陈长。。。。。            
(3星)	 我们如蚂蚁一般忙碌，如蚂蚁一般坚强。我们如蚂蚁一般寻找着，寻找安放青春和梦想的地方。————我们是蚁族，我们在蜗居。            
(4星)	 前半段很励志，后半段很狗血~~            
(4星)	 因为现实而残忍            
(NA)	 厄，我无聊了。            
(5星)	 太现实了。。。富养女是很有道理的~~            
(5星)	 海萍最后那段关于投资的论调和海妈妈关于人生的那次谈话深刻告诉我们在这个物欲横流的社会如何能自省，自保，活得真实。不要为眼前的小利而心动，吃亏的还是我们。何人聪明，何人蠢？最后见分哓。            
(NA)	 全办公室都看了。。我不是很爱看中国的生活剧。。结果某天想不到某人居然也推荐于是看了。。现实到被禁播说明还是有可看性的。。无论什么理由做人小三都是不对的。。邬君梅演这个。。。总觉得大材小用了。。。            
(3星)	 如果以它作蓝本，那个最现实的选择就是每个人都不要出生。没有人口，没有房价，没有压力，没有小三，也就没有堕落和污浊。            
(4星)	 很真实真残酷            
(5星)	 你是我心頭的珍珠            
(3星)	 没看完，看完需要勇气！            
(2星)	 现实还需要你演来看么,,,糟糕的剧情,糟糕的演员,,            
(4星)	 好久没看电视剧了，拉着看完，看到蛋疼啊            
(4星)	 看完了才发现，这部电视剧里面的女人里，宋太太才是个好女人，是个称职的好妻子！            
(5星)	 今年看过的最好的国产剧            
(4星)	 哥伦比亚爷爷译注版。过于现实，以至于不得不表示鞭笞我们正道直行，都显得有些气力不足。            
(4星)	 结尾不喜欢            
(5星)	 不是我的菜            
(NA)	 能认清自己的欲望比什么都重要            
(4星)	 前面很现实 后面很科幻            
(5星)	 海藻是纯啊纯啊还是纯啊 漂亮啊~~~~ 闷骚型？            
(3星)	 太现实，太沉重，太无奈了。            
(NA)	 爱是毁灭            
(4星)	 蛮复杂……             
(4星)	 说么，这么多人自说自话，谁都不理解谁。那不如都好好闭上嘴巴过自己日子。/我说，明明海藻就是被她姐害的，她姐享受了投机的一切好处了以后居然还有脸说，她行得正行得远。这简直是...            
(3星)	 不过如此嘛            
(4星)	 演员们演得都不错~很生活，很真实~            
(4星)	 编剧不厚道，理想在现实面前击的粉碎            
(4星)	 我当年太爱宋思明了！ 还有我看了两遍 因为第一遍居然被看了删节版！            
(2星)	 欠抽两姐妹            
(3星)	 为了看郭海藻有什么下场才把整个电视剧看完的            
(3星)	 宋思明真的可以去死了。            
(NA)	 禽兽啊            
(3星)	 一个骚一个蠢，社会常常是笑贫不笑娼，于是就有这样的二奶奋斗史。            
(NA)	 面试考这个 选题做这个 吃个冰激凌还听到隔壁桌谈这个            
(3星)	 三星是给郭海萍            
(1星)	 一星送给其中的大部分角色。            
(4星)	 现实派            
(5星)	 没上班 终于在网吧看完这35集了。。。呵             
(4星)	 怎么那里面的男人各个这么好？            
(4星)	 真不是只是房子这点事。还是不错的。            
(5星)	 最近又看了些与蜗居题裁有关的节目,我可能还是会选择蜗居.            
(5星)	 喜欢海藻的长直发，直直的、顺顺的、黑黑的            
(5星)	 你不可不知道的现实……            
(3星)	 看的时候 很压抑也很现实 但是觉得海藻或者宋思明其实并没有那么讨厌 好像每个人都有他们各自的苦衷 很难说清吧这些            
(4星)	 现实。让人奋进            
(5星)	 海藻，宋思明，怎一个贱字了得，尤其是海藻，贱到极点，社会上这样女人不少            
(4星)	 不喜歡海藻，就是不喜歡海藻            
(4星)	 现实。爱情。幻灭。            
(4星)	 结局很完美。同情小贝。            
(4星)	 全部看完之后才会觉得，其实这部片子不错，万万不能断章取义            
(5星)	 结局太惨了，宋思明罪不过死，海藻站在雨中沉思时应该接到小贝慰问的电话，最后海藻带着孩子离开这个没人味的城市。            
(2星)	 笑贫不笑娼            
(3星)	 这剧里没几个人是正常的  宋思明破坏了张嘉译在我心里的印象               
(5星)	 古人说画鬼容易画人难，编剧六六能够把我们身边的众多家庭和社会冲突历历在目地地展现出来本身就是一个方面的成功。从另外一个角度六六也阐明了，他们的悲剧是因为他们身处在这个社会地位上，身不由己，心太懵懂。            
(4星)	 完结。            
(5星)	 生活的本质跟最恐怖的恐怖片有的拼            
(4星)	 小贝很可怕  还是宋的老婆好            
(4星)	 更上一层楼，不只是用脚上，也需要用脑子上。            
(4星)	 这就是一个笑贫不笑娼的社会            
(3星)	 现实了就现实了  我要买房去            
(5星)	 到底这样的故事有多真？            
(5星)	 体会过的人才能真正看懂，并且感同身受            
(5星)	 除了结局，其他我都爱。PS，亲爱的小贝你一定要幸福~~            
(5星)	 虽然看的过程中很憋闷，但是的确真实反映了当今生活的生态            
(5星)	 边看边气边羡慕。。。            
(4星)	 一个看上了他的光环，一个看上了她的单纯，于是他俩相爱了            
(NA)	 压力            
(3星)	 就看了最后一集            
(3星)	 纠纠结结的好长时间才看完，一个让人悲悴的现实写照。            
(5星)	 hao            
(2星)	 那个。。。总是没耐心看完。            
(4星)	 讽刺            
(2星)	 看得很杯具……            
(NA)	 bug一抓一大堆，中国的电视剧编剧和导演什么时候才能够开始严谨拍戏？            
(5星)	 每个人都应该看一下，尽管彼此看法不一致，也能激荡心中的智慧....            
(3星)	 就那样...            
(3星)	 是童话还是真相            
(3星)	 太无耻了这帮子人            
(4星)	 社会 / 房子            
(3星)	 纯粹是想看小三的结局才耐着看完。            
(4星)	 一直坚守的，抛开一切物质原因，你依然会选择的情感。            
(4星)	 超現實的一部劇，引發了太多社會敏感問題，映射了某某官員，導致停播，房子，每個人心中都想擁有自己的家，可是現在的社會房子可能會讓人背負一輩子的債也買不起，而有些人N處房產，這就是現實，友那天開玩笑的說了句“沒有拆不散的情侶，只有不努力的小三”我笑了，可是心裡還是覺得很難受，喜歡小貝            
(NA)	 终于看完啦~~~~            
(5星)	 2010.01.09            
(NA)	 后半段看不下去了            
(5星)	 纠结＋现实＋海萍和俺妈长得很像！            
(5星)	 真实。            
(2星)	 俗套的故事，没什么特别喜欢的人            
(5星)	 很好看！好看是因为太现实了。。。现实的可怕~~~            
(4星)	 跟风似的看完了，一切矛盾都缘起那一套超出自己实力的房子……            
(4星)	 台词很不错。编剧很厉害。            
(4星)	 朋友说是二奶指南，我怎么觉得是钉子户指南呢？            
(NA)	 夫妻就是战友            
(4星)	 这个社会太浮躁            
(NA)	 启迪心灵            
(3星)	 唯有一声叹息。            
(4星)	 看得人很不舒服            
(4星)	 还用多说什么~            
(2星)	 很恶心有木有，现实你妹啊现实！            
(3星)	 看了3集 是挺现实的 可是我一点都不想看下去 我的未来肯定比她们好肯定比她们的幸福的哇            
(5星)	 看了一半，还没看完，权钱勾结很不错，很瞧不起那位凤凰男。            
(4星)	 现实。            
(4星)	 原来宋是这么死的,一直以为是死刑呢.总的来说,这片比什么奋斗啊,我的青春谁做主啊这样的片强多了(那两个太矫情了),除了这结局,总感觉是画蛇添足,刚看到一影评,说的还是很中肯的,不过这道德沦丧是社会造成的,现在这个社会真的就是这样,海平又当如何,她的成功不一样是2奶的产物,杯具啊!            
(3星)	 黄的要死。            
(3星)	 我承认我是跳着看中间的            
(5星)	 虽然和美剧有差距，在国内电视剧里已经可以称雄了            
(3星)	 啥也不说了~            
(3星)	 用了两个晚上看完的一部被世人说的沸沸扬扬的电视剧~~~            
(4星)	 下雨时候，走路比跑步淋雨少是真的么？            
(3星)	 恶心            
(4星)	 看了《蜗居》以前 对未来很迷惘看了《蜗居》以后 对未来很无知            
(3星)	 1.邬君梅老演这号角色，不嫌晦气的呀？2.六六俨然跻身国内一线编剧之列3.有多少女人幻想成为郭海藻，可以碰见个宋思明？            
(5星)	 结局太和谐了，很想看看原稿的结局是怎么写滴            
(4星)	 我不要把我的小贝弄丢了            
(5星)	 非常喜欢的故事，残酷的真实。经历不同的人，看这部片子时也会有着不同的观点。喜欢海藻或痛恨她，都和你自己所走过人生的息息相关……            
(4星)	 事都是写实，情都是虚构            
(4星)	 血淋淋的现实 和 错误的价值导向 ~            
(3星)	 09年冬，很不温暖。            
(3星)	 又在给小三说话。小三就是个投机取巧的人。如果每个人都向海萍学习，女人可真不得了呀。            
(NA)	 我也算是看过了。            
(4星)	 看的挺那什么的            
(3星)	 看到后来想挠墙，瞧剧中人这点出息！            
(3星)	 看来看去 就没一个喜欢的角色            
(4星)	 18集以后就流于拖沓……            
(4星)	 小三的故事            
(4星)	 巨烦郭海藻……            
(4星)	 前面比较好看            
(3星)	 社会就是这样，很正常！看看就罢了没什么想法，可能已经开始麻木了            
(4星)	 我想大声告诉你            
(4星)	 当小三的和找小三的都不是什么好东西            
(4星)	 喜欢苏淳，有时候特可爱            
(3星)	 最大的得益者郭海萍所得到的一切都是宋思明带来的，代价是她妹妹那可怜的子宫。如果说宋思明海藻走的歪路都让其各自付出了代价，作为始作俑者的海萍为什么能够独善其身，自得而满足。没有宋便没有老外观世音马克，海藻能把五百万还回去，你郭海萍有没有想过把宋使横手从监狱里捞出来的苏淳也还回去呢？            
(3星)	 一人被包养，全家奔小康。            
(NA)	 蜗居也不能挡住的诱惑 这是从生存到思想的走光            
(3星)	 日常生活。选择一个知识女性结婚，相夫教子，是明智的。            
(4星)	 不错。            
(5星)	 20100128-02好的電視劇，劇情認真對白精采演員用心就很夠了。第一次沒有帥哥美女還追看此劇，證明真的很精彩。            
(3星)	 旁白笑死人，万恶旁白            
(3星)	 女猪烂            
(NA)	 跳着看的   想骂人            
(5星)	 知识固然重要，却往往被与生俱来的背景与关系凌驾            
(3星)	 恶心的小三儿            
(4星)	 实在，现实，真善美，人性 ........            
(4星)	 理想主义者了解你现实的世界            
(3星)	 3.5分            
(NA)	 现实！            
(NA)	 声音控~~~            
(4星)	 后十几集超拖沓            
(5星)	 现实就是各有各的难处，每个人都有值得同情的地方            
(3星)	 郭海藻你太贱了            
(3星)	 每个人都要为自己做错的事情接受惩罚。            
(5星)	 这就是现实~~            
(1星)	 假到不行 看到我都要吐血了            
(4星)	 还是很喜欢文章。。。每个人都有自己的路 不后悔就好。。。            
(2星)	 太夸张了吧。。。            
(4星)	 光顾着看宋思明了……            
(3星)	 我在想以后的生活会不会是这样。。            
(4星)	  我想你 单小贝            
(4星)	 最可恨的就是海萍夫妇，都是做了婊子还要立牌坊的。            
(4星)	 当代国民真实的心灵苦难            
(NA)	 宿舍的人看，听了两次。。。            
(3星)	 宋思明睡前竟然在读《九叶集》啊~            
(3星)	 每个人都不知道自己在干什么！这就是这部连续剧的看点！《蜗居》大都市生活的人状态写真！            
(5星)	 沉重~~更加不想结婚了……            
(4星)	 比较符合我现在的心境。            
(5星)	 从来没想过我会看这样的电视剧，也没有想过会要去推荐。但是我还是很认真的下载并看完了，因为它真的太TMD现实以及真实了。不知道说什么，我只知道什么结果都是自己的选择。。            
(4星)	 虽然通过多方面的剧透知道宋死了, 可是在元旦假期的某个清晨窝在被子看到最后, 还是哭的停不下来...            
(4星)	 催人奋进的成长现实片            
(4星)	 真实的都市生活写照抛开一切的丑恶不说郭海萍作为姐姐对于妹妹的贴心真的很感动            
(3星)	 很现实            
