http://movie.douban.com/subject/2024900/	梦幻情侣 환상의 커플
(5星)	 让我很喜欢韩艺瑟。            
(4星)	 08年暑假看的  罗丧失真的很可爱啊 韩艺瑟             
(5星)	 别扭的女主，害怕爱又期待温暖，像个等待别人靠近的孩子，口是心非，让人心疼……            
(5星)	 里面那个配乐很搞笑            
(5星)	 太搞笑了，挑剔傲慢却不讨人厌的桑实，吝啬小气却又很可爱的张哲秀，还有傻乎乎的姜子，这部剧里的每个角色都是活宝。            
(4星)	 女主角很漂亮。。哦 很搞笑            
(3星)	 韩艺瑟蛮有气场的。            
(5星)	 洪氏姐妹为什么总找一些没有名气的演员呢。不是帅锅。。。但是却是看的我很欢乐。剧情对白无敌了~~~~~            
(1星)	 我要告诉我自己。。。碰到洪氏姐妹的戏躲了吧！我太抵制她俩了= =            
(3星)	 女主很有钱。。。。            
(3星)	 没看完~ 但是觉得女一好美~音乐好像也不错~            
(5星)	 女主走路时抬着头，挺着胸，腰却摆来摆去的，真像一只骄傲的孔雀，哈哈~            
(3星)	 下给我妈看的，我顺便打酱油看看，男主真够丑的            
(4星)	 那女人的性格~~我喜欢            
(3星)	 炸酱面，姜子，princess...            
(4星)	 女主角很好            
(5星)	 超好看的~~             
(3星)	 感觉不如洪氏姐妹其他的剧。。。恩 女二挺好看的。            
(3星)	 炸酱面 &amp; 米酒 ~            
(5星)	 很好看            
(5星)	 超级搞笑            
(4星)	 洪氏姐妹的戏，不要错过~~PS：我太喜欢罗丧失的性格了~~            
(4星)	 喜欢男女主角            
(4星)	 逗乐            
(3星)	  男猪不帅，估计就是衬托女主的            
(4星)	 不错啊，女主角很美            
(4星)	 很有趣            
(2星)	 被湖南台逼着，被无聊逼着看的。。。我记得那时我已经不喜欢韩剧。。那女主那男主，对我没有吸引力啊            
(4星)	 韩剧就是狗血可我就是爱看那！！！！我要看韩剧看到眼瞎！！！            
(4星)	 其实我想说我看过的韩剧正经不少啊…            
(5星)	 罗丧失最爱电热毯！            
(4星)	 大学时候校台放的，难得看部韩剧，这部还是蛮搞笑的，哈哈哈            
(NA)	 第一次看韩艺瑟并不觉得她特别的漂亮。剧情很高傲很搞笑，狗狗忒可爱～ 嘻嘻太赞了～傲慢的艺瑟韩国女神             
(4星)	 瞧你那德行            
(4星)	 上学时超级喜欢，特别是女猪脚喜欢吃炸酱面，导致我去面馆吃饭只要有炸酱面就是必点之菜色。            
(4星)	 虽然抄袭，但是这女的太美了            
(5星)	 在电视上看的，真的很搞笑啊            
(5星)	 可爱的一部剧~            
(2星)	 韩剧都蛮脑残的╮(╯_╰)╭            
(5星)	 上海台            
(3星)	 让韩艺瑟火一把            
(3星)	 没看完            
(5星)	 这个太有意思了。。。韩艺瑟太好看了。。。女神啊！！            
(3星)	 电视上看了两集 跟我想的不太一样把            
(3星)	 韩艺瑟真漂亮            
(5星)	 很搞笑，很搞笑，韩艺瑟真美~            
(5星)	 超喜欢韩艺瑟 有气质 看了几遍的电视剧            
(4星)	 很喜欢哦~落魄的女王变得超可爱！炸酱面！！            
(5星)	 没有一般韩剧拖沓的剧情和矫情的眼泪，浪漫 真实 温暖 可爱。            
(4星)	 喜歡那首歡快俏皮的應該是手風琴演奏的音樂，因為.......喜歡那個盛氣凌人但卻不令人生厭的反而內心善良言談舉止可愛的桑實            
(4星)	 韩艺瑟很讨巧 啊            
(3星)	 韩艺瑟蛮漂亮的 男主角就差点 故事还行 看得最多的就是地道的杂酱面！            
(5星)	 很早以前看过            
(3星)	 最喜欢女主这种强势的个性            
(5星)	 超级搞笑            
(4星)	 太梦幻了.            
(4星)	 男女主角很般配呀。            
(5星)	 我喜欢女主            
(NA)	 有点意思。            
(5星)	 还是在电视上看的，不错的韩剧，爱吃炸酱面的安娜。除了男主角不帅，挺好看的。            
(5星)	 还好他们最后可以义无反顾的在一起圆了我一个梦            
(3星)	 湖南台的威力大啊……            
(5星)	 这，是我在07年看的韩剧了。。一直是记得剧情的，但没有记得片名。。现在，想起来了。。依然喜欢。            
(NA)	 可爱的失忆女人。哈哈~            
(4星)	 算是跳出点模版的片吧……            
(4星)	 不错。爱罗丧失一脸傲慢“鬼样”“不合格”的说像全世界都是她的            
(5星)	 错过的炸酱面永远不会再回来！            
(3星)	 呵呵，大叔一直是受，喜欢的都是攻。还有修水管的真的身材超好！            
(NA)	 超级搞笑和感人！            
(5星)	 真是太有贵妇气质了！            
(5星)	 真的是喜欢女主角，太漂亮了~~~            
(5星)	 喜欢罗丧失  拽拽的样子            
(4星)	 很搞笑            
(4星)	 我要和这个女人一样牛就好啦~~            
(4星)	 搞笑@            
(NA)	 这个要得就是反差            
(4星)	 非常好玩，就是结局不是那么如意            
(4星)	 记得挺搞笑的~~            
(4星)	 这个当初看时真是笑死了，相比其他韩剧或多或少的脑残和狗血，它真的要好很多……那一猫一狗我都好喜欢~            
(5星)	 搞笑~            
(5星)	 强烈推荐啊！本科时看的好像，忒搞笑！现在我还记得那小孩拽着女主角裙角几乎要拽下裙子的镜头！            
(4星)	 我很喜欢吴志浩这类的男纸···他有歌不错···socialist·            
(4星)	 cult            
(3星)	 我想吃炸酱面            
(4星)	 好好笑。。。            
(5星)	 慢慢敞开心扉            
(4星)	 见识了什么是公主病。韩剧该有的桥段、场面都有了，还是我们家桑实可爱呦、哲秀是个有情有义有为的好青年、比利你就不能坚决果断些吗。韩剧也是有好的嘛，用心了就好。有点受不了的是：时不时的给蓝色生死恋来些致敬的背景音乐？活活哈哈。            
(3星)	 Ban Ban,he shot me down            
(4星)	 还可以吧            
(3星)	 女主那傲慢范儿！、那锥子脸~            
(4星)	 大学的时候超爱这个。ONI.            
(3星)	 我只想说洪氏姐妹为什么总喜欢开头搞那么搞笑，结尾那么伤感呢，虽然都是hd，但总让人看得难过，何必呢？            
(4星)	 姐姐诶、好美            
(4星)	 很搞笑~并且让我喜欢上了炸酱面~            
(4星)	 因为情节太搞笑，很温暖，人物也不错，所以四星            
(5星)	 稀罕女主角傲慢的那个范儿            
(NA)	 copy n年前美国一部片子,不解释~~~~~~            
(5星)	 超爱韩艺瑟！            
(5星)	 因為那如女二般的女主角 我願意給道5顆星啊!!!!!  羅桑實實在太酷            
(5星)	 两个很搭很逗            
(NA)	 第一次认识韩艺瑟，剧情还不错，搞笑            
(4星)	 喜欢韩艺瑟            
(4星)	 不知道是在哪里看到有人推荐，便去土豆上下载了全集，放在MP4里好久都舍不得删，男主是我喜欢的类型，韩艺瑟也是任性的可爱，没想到的是懦弱的男二号竟然是人鱼小姐里的朱旺君呢^^这部韩剧真的拍得好好，没有很多做作和俗套的剧情，温馨感人。            
(5星)	 说是根据美剧改变的，但还是不错的。有这个认识了韩艺瑟，很美身材很好，气质很王道的女演员。            
(5星)	 韩艺瑟美翻啊！女王~            
(3星)	 真的觉得很一般，虽然这剧当时很火。            
(3星)	 猴猴借给我的片 那时候我哪儿来那么多时间            
(5星)	 剧情很流畅，的确不错，仔细一看，果然是洪氏姐妹的大作。。。。            
(5星)	 本科时候就看过，记得当时我先看来着，我对铺胖子也渐渐的看上了，后头还看我前面去了，晕~映像最深的就是里头女一捡到钱那段，逗死了，呵呵            
(5星)	 最近又重看，觉得赵安娜/罗桑实在某些性格上有点像男版金朱元。            
(3星)	 这部剧。很是回忆。主女人的眼神真的很有趣啊。            
(4星)	 不错，蛮搞笑的，看完了还想看的剧。            
(4星)	 一个失忆的女人是可爱又可怜的，一个很疯狂的失忆的女人是.....            
(4星)	 不错看            
(NA)	 蛮好笑的·            
(3星)	 韩艺瑟五官无可挑剔            
(5星)	 洪氏姐妹出品 质量有保证            
(5星)	 瞧瞧那德行！~            
(5星)	 罗丧失~~~丧失~~~~~            
(5星)	 韩剧看得并不多，但看过的几部都可谓精品，比如这部。很久之前看过，最近又拿出来重温。心情阴郁的时候总有一些作品让人怀念，比如这部，还有比如日剧“my boss my hero&#34;，再比如one piece。带着欢笑和眼泪看完的好作品，喜欢那一个个让人感动的细节，包括音乐和如诗如画的景致。喜欢女猪的率性而为不            
(4星)	 超可爱的一部韩剧~            
(4星)	 女王样            
(4星)	 女王控……            
(5星)	 关注女主，可惜现在她不拍什么片            
(4星)	 hahahha 想起姜子 哈哈哈哈  挺好笑得一部片            
(3星)	 开场做的挺有意思的，不过都是倒着看的，挺有意思的            
(5星)	 前面闷，中间十分十分有趣，结尾比较平淡。很搞笑，哭笑不得，新型的搞笑剧。            
(4星)	 里面的男主长的像年轻时的阿部宽            
(5星)	 看过最好玩的电视剧            
(5星)	 超级搞笑^.^我就喜欢看这种搞笑的电视剧            
(4星)	 搞笑剧            
(4星)	 笑死~~~            
(3星)	 看到一半对剧情开始厌恶了，勉强看完。            
(5星)	 ╮(╯▽╰)╭ 張哲秀，炸醬麵。            
(4星)	 女主那个劲真有意思。            
(5星)	 里面的每一个演员都很出彩，真正的喜剧片            
(4星)	 就是喜欢看这种搞笑浪漫的片子  想当年刚去大学报到还未看完结局   还跑去网吧看玩的呢            
(4星)	 搞笑 轻松 有趣 小拖沓            
(5星)	 挺好玩的，现实中有个朋友很像这女人            
(5星)	 最喜爱的韩剧，从此吴志浩彻底成为我最爱的韩星。品尝生活中的打打闹闹，一点一点发展的羁绊，令人忍俊不禁的同时被深深打动。印象最深的是安娜的老公捡到她的手机翻看里面的照片，自言自语道，安娜，你在那里很快乐吧，然后照片停在张哲秀的笑脸上，真是非常令人感动。            
(5星)	 喜欢            
(5星)	 搞笑，温暖，角色都很朴实可爱，看了会喜欢上他们。韩艺瑟演的很真呀。            
(3星)	 还行吧            
(4星)	 挺搞笑的说，女主角的那副姿态挺好玩。            
(5星)	 搞笑 音乐还爆好听！就是不喜欢男主角            
(4星)	 我喜欢韩艺瑟~~~~...&gt;________&lt;```瞧瞧你那鬼样子!            
(3星)	 瞧你那熊样            
(4星)	 很有趣的电视剧，尤其是前半部分男主被女主整的部分，两人在大雨中扭打在一起的那场戏真不是一般的搞笑，有一些小地方也意外的温馨感人，总之男主和女主的表演都很给力~~~~尤其喜欢韩艺瑟表现的女王范儿~~~呵呵~~~看完后，脑子里印象最深的就是她那句：“看看XXX的狗样子！！”~~~哈哈            
(5星)	 瞧瞧那副德行            
(3星)	 绝对给力的赵安娜 。人生信仰啊，            
(5星)	 很好看的电视剧，很温情很happy            
(4星)	 什么鬼样子P            
(5星)	 喜欢！诙谐！幽默！            
(4星)	 片子蛮搞笑的~  安娜→罗丧失→安娜~  里面安娜的老公Billy很Ci的~            
(NA)	 韩版爱情剧。王子与灰姑娘的故事。或者公主和布衣族的故事。无外乎老一套。            
(5星)	 喜剧中的强剧，韩艺瑟演技太高了。刚看完她跟张赫演的《老千》，英文一级棒！            
(5星)	 一口气看完的，很喜欢            
(5星)	 很喜欢的一部韩剧            
(3星)	 一般             
(NA)	 棒子惯有的YY            
(4星)	 蛮好玩的~            
(NA)	 看那这是什么鬼样子。            
(4星)	 韩艺瑟真漂亮            
(4星)	 轻喜剧，很好玩哦！            
(5星)	 很好看~喜欢洪氏姐妹            
(3星)	 很欢乐            
(NA)	 还可以！            
(2星)	 韩艺瑟属于耐看型的。            
(4星)	 喜欢.深深的.            
(3星)	 觉得好像宝里宝气的PP哦~~哈哈O(∩_∩)O~            
(4星)	 韩艺瑟装酷卖萌有一手 ^ ^            
(5星)	 这个女人真是高傲的可爱啊！～              
(4星)	 韩艺瑟美死了。。。爱死她里面的眼神了            
(4星)	 喜欢他们吃炸酱面 喜欢这女人 她的声音和表情 嘿            
(5星)	 很喜欢那句：看他那副德行~^^            
(NA)	  韩剧爱情里面剧情不会中间乱套的，没有唧唧歪歪 拖泥带水剧情的就是 洪氏的剧了 。            
(4星)	 很好看，看了好几遍了，姜子是个亮点啊，只不过现在配音超级山寨，让人很想死啊            
(4星)	 看到后面觉得还是蛮搞笑的            
(3星)	 好一般好一般.............            
(5星)	 时不时的 给你找点乐子 打发时间良药            
(4星)	 看开头的时候挺鄙视给我推荐这片的NANA，看后发现还可以。哈冤枉她了            
(4星)	 除了男主角差了点，其他都还好            
(4星)	 轻松搞笑。。。好看，炸酱面就那么好吃麽？？？            
(4星)	 韩剧的经典桥段，但演员的演技把剧上升了一个台阶            
(5星)	 笑死俺老~~~            
(3星)	 看看你们这些家伙的德行            
(4星)	 至今还很喜爱的一部。            
(2星)	 罗丧失            
(3星)	 我嫉妒羡慕崇拜女主哇            
(5星)	 搞笑，喜欢这剧            
(4星)	 哈，看看你这德性!            
(2星)	 不喜欢这样的剧情            
(5星)	 笑死人 XDD            
(4星)	 每个富婆都有一个村姑的梦            
(4星)	 一开始不想看，后面看着还挺好看的。            
(4星)	 很逗~            
(5星)	 喜欢韩艺瑟，美女啊            
(4星)	 后半段的风头那对蓝色生死恋抢的一塌糊涂，爱的罗曼史以来我就憋不住了..。哈。看的韩剧不多，这部真实得很，看看女主角那个骄傲的鬼样子。            
(3星)	 看过很多遍了。剧情还不错啊。不过说真的，剧情似乎有点太美好了。            
(4星)	 就 能看很多遍的片            
(5星)	 让人眼前一亮的剧~~看完后口头禅自动变为——瞧你那德行！            
(4星)	 看到后面，猛然发现女主竟然和范冰冰有些神似- -            
(4星)	 韩剧不都是这样的吗：）            
(5星)	 少數愛女主甚過男主的戲劇            
(4星)	 背景音乐非常喜欢。女主那是女王和傲娇到巅峰的权势，那鄙视人的眼神，凶狠的语气，盛气凌人的姿态……太爽了。            
(5星)	 一天看完，有点霸道的赵安娜            
(4星)	 喜欢单纯的女主，做事情直接。            
(4星)	 不错            
(NA)	 很逗！～～～～80            
(2星)	 没能坚持看完啊            
(5星)	 最好看的一部韩剧 guo la ji ya guo nei            
(5星)	 女孩子虽然尖锐，但是男生的包容无处不在。总是吝啬的男生，每次嘟哝着给女主买炸酱面和米酒的情景最经典。            
(4星)	 女主很个性～毒舌得个性！            
(4星)	 主题曲很可爱!成为我好久一段时间的铃声~            
(5星)	 好片子啊             
(NA)	 好看            
(3星)	 笑点很成功，挑剔的女人其实也很可爱。韩艺瑟你不要改变戏路去装小白兔...            
(3星)	 看过1些些。。。= =            
(4星)	 前面真的超搞的~！            
(3星)	 是的，这个我也看过~            
(5星)	 喜欢。但是现在不敢自己看.....希望以后能遇到一个可以一起开心看的人。那个时候再看第二遍。            
(NA)	 第一次看的时候，几乎每一集都有笑点，真的很搞笑            
(5星)	 女主角演技真好            
(5星)	 去年冬天的时候看得很欢乐，谢谢俄罗斯朋友的推荐！对韩艺瑟也改观啦。            
(3星)	 韩艺瑟有点像范冰冰~~            
(2星)	 芒果台放的~~无聊==+            
(NA)	 当时是那么的喜欢韩艺瑟，那个娇里娇气，傲慢，让人又气又爱的女人            
(NA)	 4            
(3星)	 就当做看别人做梦好了。女主角打扮后还好，不打扮不喜欢。。。            
(5星)	 罗丧失.........女王V5..........            
(5星)	 志浩君 我爱你 ！            
(4星)	 韩艺瑟啊！！！            
(4星)	 高三暑假看的   超级无厘头            
(3星)	 倒是看过，只不过没室友说的那么好看~~            
(4星)	 快毕业的时候看的，挺好玩的~            
(NA)	 女主角表演还是比较生硬，眼神没有表演出来            
(4星)	 蛮搞笑的~            
(5星)	 这女人太美丽了，演技又超好，爱她！            
(4星)	 居然觉得康子的角色演得很棒，每次她的出现总是笑翻            
(4星)	 洪氏两姐妹的戏从诙谐往闹剧转变了~要是只是想笑一笑~还是不错的~角色个性鲜明~总有标志性台词~            
(4星)	 无意间在广西台看到 看了3个下午就这么看完了 觉得还挺有意思的~ “看看你这副德行！”            
(4星)	 搞笑~几乎没怎么快进看完的~男一喜欢的~            
(5星)	 最喜欢的韩剧，韩艺瑟是最喜欢的韩国女演员，吴志浩帅的很敦厚~            
(5星)	 真的觉得耳目一新~很不错~            
(4星)	 女主很漂亮            
(5星)	 很好看的电视剧，韩艺瑟很女人，表演很到位，洋派演员，好看            
(5星)	 算的上这两年比较不错的一部了。剧情很搞笑，女一号不错。。            
(5星)	 男1是好男人 女1是女王            
(NA)	 好有性格的女人，吸引人            
(5星)	 很搞笑。            
(5星)	 这部剧看的很轻松，没有负担。演员的表演也很到位，人物刻画很好哦。喜欢看。            
(5星)	 超级搞笑            
(4星)	 還蠻有意思的。喜歡羅喪失，哈哈。。。            
(3星)	 失忆的老姑婆和潦倒的老男人之间的故事            
(5星)	 与众不同 轻松温馨的韩剧            
(4星)	 因为这部片子很喜欢韩艺瑟，太有范了。            
(5星)	 韩艺瑟终于被大家认可~\(≧▽≦)/~啦啦啦快乐的走红吧！            
(5星)	 超级搞笑，从此爱上韩艺瑟            
(5星)	 看哭了，反正            
(3星)	 苦逼男有了桃花运。            
(5星)	 这什么鬼电影嘛，我很满意。哈哈，挺好玩。            
(5星)	 很不错的韩剧啊，没有淹死人的眼泪，只有happy不断的桥段~~很喜欢！力荐啊力荐！            
(3星)	None
(5星)	 艺瑟演技很到位~~情节很不错            
(NA)	 看完就想吃炸酱面.....            
(5星)	 韩艺瑟，你怎么能这么美呢？~赵安娜太有范了！超搞笑又感人的剧！            
(NA)	 快乐和悲伤            
(4星)	 很搞笑。喜欢看罗桑实很不屑的样子，酷酷的口头禅：“看那是什么鬼样子”，也喜欢她教孩子的教育方式。。。。            
(4星)	 感觉很爽            
(5星)	 我很喜欢这样的韩剧，不喜欢哭哭啼啼的~            
(4星)	 结局又烂尾 说是建筑工人 其实是包工头吧！            
(4星)	 韩剧里难得一见女主角有演技且不会忽然变玛丽苏的            
(5星)	 完全好看！~经典之作~            
(4星)	 喜欢男主！！讨厌女主！！            
(4星)	 故事挺有趣的！            
(4星)	 前面比后面好看~~            
(5星)	 太赞了，所有主要演员的表演都非常出色，不乏让人忍俊不禁的情节。一首插曲，旋律诡异，出现频率太高            
(4星)	 搞笑。。最小的那个侄子是家门里的，超可爱            
(5星)	 又好看又感动：）            
(4星)	 好好玩啊            
(5星)	 搞笑~            
(4星)	 那个女主演得真好            
(3星)	 一个人失去了记忆,然后遇见喜欢的人,在他身边找回真正的自己。现实生活中,这样的概率约等于零。            
(4星)	 丧失！            
(4星)	 蛮喜欢张哲修和安娜的            
(4星)	 很可爱啊            
(4星)	 我愛            
(3星)	 为了教孩子数数，然后吃好多巧克力那段最经典，我没事就会想起来：）            
(4星)	 意外的好片子啊！            
(5星)	 炸酱面太诱人。            
(5星)	 目前看过最好看的韩剧            
(3星)	 表演有点夸张吧。            
(3星)	 我们艺瑟显老了            
(3星)	 不喜欢            
(3星)	 康子七的由来。。。            
(4星)	 难得的一部不走&#34;寻常路&#34;的韩剧, 人物都极具特色, 哈哈, 夸张的设定, 戏剧冲突浓郁的种种搞怪, 也再此见证了美女韩艺瑟无可厚非的演技实力, 和吴志浩哥哥一向实力的超级实力~ 喜欢韩艺瑟~~支持吴志浩~~            
(5星)	  韩艺瑟增可爱。。。。。。。。            
(5星)	 很爆笑的剧，是我看过韩剧里最喜欢，一般我都看日剧，但是这个剧不得不说很有爱，夸张不做作，很真实的女主角，演技很棒            
(5星)	 自己看过最感人的一部韩剧了555            
(5星)	 很喜欢的剧.米酒,杂酱面,简单的爱.            
(5星)	 很有性格的女主角，我很少这么欣赏一个角色，真的            
(4星)	 Princess~ where are you？            
(3星)	 罗丧失~            
(5星)	 这么刻薄坏脾气的女人最后会让人觉得她可爱的不得了，编剧演员都太厉害了，韩艺瑟最佳演出，跟金三顺一样好看！            
(3星)	 哪有喜欢受虐的男人？            
(NA)	 韩艺瑟还是适合霸道的角色            
(4星)	 嗯 一眼还是被朴寒星所迷倒·· 我喜欢她··是真的很漂亮啊            
(4星)	 很搞笑            
(5星)	 我认为它是比较温馨，逗乐，有趣的电视剧。            
(NA)	 為數不多完整看完の韓劇之一。屬於NNUの美好回憶，那些爲了看劇翹掉上午最後一節課的日子XD            
(3星)	 还挺好笑的吧            
(3星)	 女主是个御姐            
(NA)	  很排斥韩剧的，不过，这个不错！            
(5星)	 韩艺瑟真美啊            
(4星)	 还是觉得女一长得不错，还有十分激起我想要试试黑乎乎的炸酱面的想法            
(5星)	 这可是我看的第一部韩剧啊！嗯.......我很喜欢！是很喜欢！            
(NA)	 芒果台看的            
(5星)	 很好玩这部韩剧   刚开始女主人公的语气  骂人的样子 哈哈！！              
(5星)	 好看，喜欢女主角            
(NA)	 这部戏我喜欢。。好看            
(5星)	 前15集笑到抽,最后一集哭到死,好像是这样            
(5星)	 好看好看好看！！！            
(4星)	 princess,where are you??深入人心的台词哈哈            
(4星)	 要是剧情是有钱衰哥失忆被女人捡回去养的话我铁定是不会看的            
(5星)	 大爱阿，韩艺瑟太可爱了。            
(4星)	 很喜欢的一部爱情喜剧~            
(5星)	 满足了我对爱情全部的幻想！            
(5星)	 富婆的故事~前半部份超好笑，康子太好玩了！            
(3星)	 其实有点想不通为啥当初这片子的收视率会是最高的。。。那年播的都是烂片么难道。。。            
(5星)	 美啊美啊美            
(5星)	 迷上女主的高贵神秘            
(4星)	 貌似是07年暑假看的吧 前面还蛮搞笑的            
(4星)	 搞笑是洪氏姐妹的拿手好戏，只不过是最近几年常常失败而已            
(4星)	 世界上有这种爱情吗？            
(5星)	 又哭又笑的！！！！！！很喜欢的说！！！也是和我妈一起看滴！！！            
(5星)	 很好笑的剧情，很真实的感觉            
(5星)	 哈哈，剧情虽然小小俗套。但是韩艺瑟演的这个角色真的很搞，让人爱。            
(5星)	 好 ，不错 的 版本！            
(4星)	 还挺好笑的~            
(NA)	 喜欢她的声音            
(5星)	 很独特，女主很帅气            
(5星)	 喜欢那个罗丧失，那么土的掉渣的衣服也穿出味道，这就是美女。其实傲慢的女人是最让人讨厌的，可是在她身上，这种傲慢也能找到合理的解释，让人接受，让人喜欢            
(4星)	 奇怪的配对，但又绝佳的合拍！            
(3星)	 配角挺可爱的            
(NA)	 满戏剧化的搞笑为主的····            
(5星)	 这是一部 可以从头笑到尾的片子 从主角到配角 都那么可爱 都有亮点 桑实 比利 孔室长 姜子 还有那三个孩子  都那么那么可爱 哦还有花顺 哈哈 看过三遍 仍然觉得好看            
(5星)	 不知道为什么，最后就是看哭了。。。            
(5星)	 特别特别搞笑～！            
(5星)	 搞笑            
(5星)	 因为这部韩剧爱上炸酱面            
(5星)	 很喜欢看             
(4星)	 不是主角党而是内容党            
(NA)	 让你轻松，开怀大笑的剧集。 学会了口头禅： 不合格，换掉！            
(5星)	 超爱赵安娜，多彩的表情，哈哈，i like a queen.  小爱处女座韩艺瑟的样子，嘿嘿。            
(4星)	 真喜欢那种坦白得要死的性格。锅拉几哈棍            
(4星)	 这怕是我唯一看全过的韩剧~            
(3星)	 湖南卫视老播，还不错，不喜欢男主角，女生蛮好看            
(3星)	 比较夸张            
(5星)	 次啊，笑啊，我走路也变成那样了            
(4星)	 很喜欢，很喜欢的安娜            
(5星)	 很MARK韩艺瑟，还有那只猫猫            
(4星)	 什么鬼样子！。。。。。。。。。            
(5星)	 “po la gi go la ni”应该是这么说的吧，安娜的招牌话“瞧瞧那副鬼样”            
(4星)	 看看那德行。哈哈。 經典            
(4星)	 搞笑 轻松            
(5星)	 唯一不足之处就是男主角演技太差！            
(5星)	 韩艺瑟演的不错            
(4星)	 挺喜欢的            
(5星)	  韩艺瑟加油！            
(4星)	 韩艺瑟好可爱啊            
(5星)	 太搞笑了            
(4星)	 好看 很好看    韩艺瑟漂亮  喜欢  就喜欢她没失意前坏坏的样子  hoho  我会再看很多遍的            
(5星)	 搞笑            
(4星)	 princess~            
(5星)	 唯一从头看到尾的韩剧。            
(3星)	 纯属搞笑            
(5星)	 安娜、丧失。   OST很赞很赞。              
(5星)	 好好玩！音乐也好听，韩艺瑟也好看。            
(4星)	 =A=。            
(4星)	 很好玩的一部韩剧哇咔咔~韩艺瑟好漂亮的，很符合女主角那种蛮横高贵的气质呀！            
(4星)	 搞笑            
(5星)	 ~相当好看的剧，越看越好看难得一部韩剧中没有破坏男女主角的可恨女二号，难得没有对女主角痴情的完美男二号，难得剧中没有什么血癌、车祸，难得女主角脾气这么差我还很喜欢……瞧那鬼样子~经典！            
(4星)	 搞笑呀            
(NA)	 超喜欢的韩剧            
(4星)	 “瞧瞧那鬼样。”笑死。            
(5星)	 秋天的感觉~ 小村庄 可爱的村民 还有拉面 小米酒 等等 很喜欢女主性格 喜欢这种宁静的生活            
(4星)	 搞笑的韩艺瑟，不过爱情的进展不是很浪漫，但很朴实，很喜欢那个小村子            
(4星)	 罗丧失呵呵，我要吃炸酱面，酸痛贴布，看完后狂爱吃炸酱面            
(5星)	 超爱            
(4星)	 失忆后起的名字挺有趣的            
(4星)	 好搞笑            
(4星)	 实在太好笑            
(5星)	 洪氏姐妹的最高峰，贊。            
(3星)	 挺搞笑的            
(5星)	 很好笑~~从这里喜欢上韩艺瑟            
(5星)	 很逗得o(∩_∩)o...            
(4星)	 喜歡韓藝瑟，很漂亮，說瞧瞧這鬼樣子是更好看            
(4星)	 韩艺瑟            
(4星)	 内心善良外表冷漠的女主角，嚣张可爱。物质能够影响人，不能决定人。            
(5星)	 超喜欢韩艺瑟            
(5星)	 看过印象最深刻的韩剧            
(4星)	 从以前就很喜欢韩艺瑟的声音，这部剧里面好喜欢这样的性格。            
(3星)	 挺喜欢男女主角的 但我不满意结尾的情感            
(5星)	 这还是在lu推荐的 高考前两天看完的 韩艺瑟太酷了！            
(3星)	 剧情还蛮轻松搞笑的。艺瑟在里面的乡村复古混搭风满赞的！寒星的装扮也很好看～～            
(NA)	 如果想要挽回，首先要学会坦白。            
(4星)	 近年来看得电视剧及电影数量剧减。但这部还是不错，总之是个有趣的故事。            
(3星)	 红了炸酱面~！            
(4星)	 第一眼看到女主角的时候我还以为是金喜善.            
(4星)	 和以往的韩剧不同，这部韩剧很搞笑，前面很好看，但是到赵安娜恢复记忆后就回复到一般韩剧的轨道了            
(5星)	 很喜欢韩艺瑟演的角色...            
(4星)	 看看那德行！哈哈            
(5星)	 o(∩_∩)o...我很喜欢 原来是韩艺瑟恩感叹一下 简单生活会让人更快乐            
(5星)	 这片子太有喜感了！！！            
(4星)	 身材~~~腔调~~~古拉叽哈滚~~~            
(NA)	 真是瞎写            
(5星)	 很喜欢的一部            
(4星)	 真的好好玩，每集都有小惊喜这样            
(4星)	 炸酱面= =            
(3星)	 搞笑部分还不错            
(5星)	 韩剧总是圆满收场 这不是关键 主要太搞笑了~            
(4星)	 那眼神、那表情、那语气，韩艺瑟简直绝了...女人再刁蛮、再恶劣、再凶悍，也有一个深爱的男人，这点不是每个人都懂。            
(4星)	 很离奇呀。            
(4星)	 看完好长一段时间天天奔渭水东食堂二楼吃炸酱面             
(NA)	 女主角傲慢的表情很搞笑，嘿嘿．            
(2星)	 看了两集弃掉的……实在不喜欢韩小姐寒酸的声音和扭结的长相……            
(5星)	 湖南卫视暑假播的时候看了 女主角野蛮高傲但其实很可爱 还有姜子那个雷人的 姐姐帮我解下叮 ——！orz..            
(3星)	 我主要还是记得那个炸酱面，真有食欲~            
(4星)	 纯粹的女人和纯粹的男人,倻            
(4星)	 只是看过。~~~            
(5星)	 2008年12月9号包宿看完的             
(4星)	 我们全家都爱看，这不容易啊。。。            
(NA)	 e..            
(5星)	 很喜欢女主角            
(5星)	 很是好笑,也觉得她讲得挺有道理的            
(3星)	 看看译名的这副德性，给我换掉它。            
(4星)	 搞笑的，大一的期末看的，最后一集还是在空荡荡的新宿舍里看的，那个雨季            
(4星)	 失忆片 拍的有新意！            
(4星)	 搞笑 轻松下娱乐下            
(3星)	 搞笑            
(NA)	 极少的看得韩剧……欣赏那句“看看那德性”囧。            
(NA)	 一个以自我为中心的女人碰到了一个善良可爱的男人，男人改变了女人，彼此相爱，喜欢他们告白的方式，直接不做作。不让人着急O(∩_∩)O哈哈~            
(5星)	 跟着芒果台            
(NA)	 在我上班累到不行的一段期间内，还是有一些轻松作用的@@            
(NA)	 特别特别喜欢 我喜欢这种风格的女生             
(4星)	 挺搞笑            
