http://movie.douban.com/subject/4894070/	黎明之前
(5星)	 没有一分钟被浪费！没有一句废话，没有一个烂镜头。这是我有史以来看过的最好的一部国产剧。            
(5星)	 确实有水平，有美剧感。不过还是略微有几个细节需要推敲完善。不过，结局真的很精彩！            
(5星)	 我想到了24小时，东方的            
(4星)	 四星半，情节紧凑，高潮迭起，环环相扣，虽有不足，也算是瑕不掩瑜了。一口气看完，很有意思，结尾似乎有点烂尾了。            
(5星)	 哎呀我去花了三天两夜终于看完了真是爽啊别的什么事情都没干啊喂！！！最后刘兄孤身一人身陷敌军看的真心酸T________T            
(5星)	 2010绝对是刘江年！《媳妇》打破了婆媳大战的苦情戏码，《黎明之前》也有其独特的叙事方式，精彩！当因为看一部电视剧而让你无法去做另一件事时，这部剧一定不容错过！            
(5星)	 好的电视剧，比的不是政治性和教育性，而是创作者的灵感和诚意。            
(5星)	 易老师要给力啊            
(4星)	   ·开会的艺术，即领导的制衡术+幕僚的斗争术。  ·此片的前提是，个人业务都很精，包括领导的业务也很精。现实情况并不一定如此。  ·即使如此，业务精并不是唯一的、重要的、有效的升官之道。片子提出了所谓“忠诚”+“能力”的模式。  ·三明治广告片，吃的东西除了三明治没有别的            
(3星)	 可怜购得假共和            
(NA)	 谁都没赢……            
(4星)	 一对繁星，不同轨迹。            
(4星)	 感觉像刑侦片不像谍战，虽然没法超越潜伏，但还不错            
(5星)	 我这一寒假基本上就憋出一句话，，，吴秀波 太帅啦啦啦。。。强烈推荐黎明之前            
(5星)	 本是同根生，相煎何太急，国共两党情报人员都是国之栋梁            
(5星)	 虽然是一个简单的故事，但是情节绝对够引人入胜。真是部拍出来电影感觉的电视剧，喜欢主角吴秀波。。。            
(5星)	 很像听一个人编故事，修改了好多次以后，得到了一个满意的结局。男主角很风尚啊，使我想走这样的风格......            
(5星)	 大帅哥一枚！！！！帅帅帅帅！！！！！！！！！！！！            
(5星)	 吴秀波 我哈定你了！            
(5星)	 封闭三天，终于看完，持续疯癫状态中。。            
(5星)	 吴秀波啊刘新杰~            
(4星)	 虽然有些漏洞，虽然男主角没什么演技，不过胜在配觉都很好，结局也很出人意料，还是相当不错的            
(5星)	 最近看了本片，很好，我喜欢！也推荐大家去看。吴秀波：当男人难，当特工男人更难。明面上嘻嘻哈哈，没有正事。暗地里，忠诚、冷酷。演得特好。领用将：冷酷其他：            
(5星)	 劉新傑似有若無的情感流露，果然是很迷人啊            
(4星)	 党国的精英真多呀！共军也强，势均力敌呀。            
(4星)	 好是好，可导演老觉得观众看不懂，不停的在那儿提示……            
(5星)	 谍战片的高峰之作，我觉得比潜伏还要好看。推荐，死命推荐            
(5星)	 推翻了我之前认为生死线是最好的国产剧的看法。            
(4星)	 吴秀波~~~帅啊~~结局各种YY啊            
(5星)	 这把年纪了还HC是有理由滴。            
(5星)	 需要看第二遍，看完才觉得亮点都在最后，并且改变了之前认为的最喜欢的人物~            
(5星)	 今天终于看完了黎明之前。结局时，黑底白字讲述着谭，刘的命运，配上那磅礴沧桑的音乐，我内心触动很大。 到现在2个多小时了，还没从剧情中拔神出来。我喜欢刘，谭，水手间的眼泪，那些无奈的压抑的痛苦的男儿泪，大颗大颗的掉落。谭忠恕和刘新杰，这一对好兄弟，一辈子再也没见过面。            
(5星)	 我喜欢刘新杰，坏坏的，又那么绅士。海清有点装嫩。几个处长都很出彩。            
(5星)	 比潜伏深刻，厚重，更有大格局大胸怀            
(5星)	 精彩            
(5星)	 非常值得一看，而且是连续看下来最好了。喜欢刘新杰！            
(4星)	 虽然不及潜伏，可依然一部好片子！            
(5星)	 好想看前传，好怕有后传。能把谍战片拍出一股子诗意，伤人和悲催的，真难得。            
(5星)	 优秀国产片啊！刘新杰自不必说，我原来以为我只喜欢上海滩里的发哥，没想到黎明之前的吴秀波也有这种气质，而且更加自然，发哥的上海滩毕竟时代所限，过于装了一点，看看吴秀波，简直就是这种类型的极致啊！说说党国精英谭忠恕，没有别的话讲，就是党国精英！精英！我很欣赏。全片就是海清弱了点            
(4星)	 看到最后结局的时候 伴同着《爱情公寓》 ，尤是觉得水手的预测像是 公寓 里那些人在玩故事接龙。。。个人觉得到后四分之一的部分 就开始有点扯了。。。            
(4星)	 可能看了太多推理探案的片子，前20集并无很大观感。完全是被那之后的戏剧冲突和张力所吸引。而顾晔佳和刘新杰之间的感情被处理地淡淡的，这点深得我心，电光火石四目相对时，两人才对对方的身份恍然大悟，这场戏演得非常好。而男人间的友情和对手戏，也是另外一大看点。            
(5星)	 大浦可爱，吴秀波还是不错的            
(NA)	 很好看的谍战片 最后一集很精彩 喜欢吴秀波            
(NA)	 小叶子说，国民党最精了，而共产党拼的是信念。林永健和吴秀波演得好~            
(5星)	 发现勾心斗角的戏我们都能拍得特好，传统悠久嘛~~~            
(5星)	 两天两夜看完的，比追美剧韩剧都卖力，它成功的借鉴了美剧的模式，但是比看美剧还来劲，因为它确是难得的不把观众当白痴的国产剧            
(4星)	 爸妈觉得不如《潜伏》精彩，可能是先入为主的原因，确实在逻辑上没有前者严密，但总体上还是很不错。最大的特点在于它选择了一个很感性的切入点：关于信仰和友情的抉择；而且一如剧中地下党并联电路式的组织结构，众多线索穿插融汇，使情节安排显得相当紧凑；片尾曲《兄弟》词曲都很喜欢~~            
(5星)	 超爱吴秀波~从剧情角度来说，个人认为也比“潜伏”牛多了            
(5星)	 现在全世界都流行大叔吗？！海清在这里面还挺偶像的~            
(5星)	 真好看啊真好看~~~人人都演得很好啊，精品            
(4星)	 信仰無窮~            
(5星)	 吴秀波~~~吾好欢喜你啊~~            
(4星)	 细节上有点职业的样子了            
(5星)	 敏敏筒靴推的 非说吴秀波是最帅地男人。汗。。。  结局素虾米意思。。。            
(4星)	 林永健演技不赖            
(4星)	 其实没必要去和潜伏比。吴秀波像陈道明和黎明。            
(4星)	 总感觉前大半部分都一般般，不如《潜伏》那么紧凑，好在精彩集中在最后的5-6集，还挺过瘾的。            
(4星)	 介才是真正值得推薦的，很多地方都值得學習。。。翻盘太过突然            
(5星)	 好！            
(5星)	 第一次有一部国产片让我看的废寝忘食，感动点很多，故事也连贯紧迫。结局扯了点，却也在情理之中。第一次看到了有人味儿的国民党形象，很客观。问题是你敢不敢不在结尾关键时刻用“犬夜叉”的音乐啊，我一下子就跳戏了……            
(NA)	 国产谍战片，还是有些意思的，演员都不错            
(5星)	 潜伏侧重人物多一些，黎明侧重事儿多一些，潜伏赞，这个也挺赞            
(5星)	 孤独的吴秀波            
(4星)	 看到25集，竟然哭了，在那一瞬间相信共产党员曾经是有信仰的人！            
(5星)	 真是看得酣畅淋漓，恨不得一下子从头看到尾，只可惜这样的好剧太少了！            
(5星)	 爱死吴秀波，刘新杰怎么就这么帅，皮衣一穿无敌了，剧情很紧凑，局长太搞笑了，很像姥爷，三个处长在一起也很有爱，结局太棒了，局长明明知道新杰是卧底，情愿走进水手的圈套，这原来就是人情味啊！！虽然不待见海青，我还是要给他5颗星星            
(5星)	 精彩精彩，精彩极了。我爱导演编剧和每一个演员            
(4星)	 精彩的斗智斗勇，男主角很帅。            
(4星)	 阿九家居然也有杰克丹尼。。。配乐欠火候啊，都是搞一些阴森的音乐。            
(5星)	 看完了，心情不好，估计有一段时间没办法抽离            
(5星)	 这是一部令我寝食难安的电视剧  这是我认为迄今为止最好的电视剧  头一次也影评            
(5星)	 虽然一小部分的配角和枪战部分有些假,但依然无法阻止给出五星的评价,但有一个感觉是吴同学是姜武同学的瘦版......            
(5星)	 把“人”还给人——我不厌恶谍战剧，我只讨厌“样板戏”人除去政治标签还有人性，这就是进步了！~            
(5星)	 给力！            
(5星)	 谍战经典戏。越往后越牛逼。            
(4星)	 有硬伤：1，029太轻率了，卧底这种信息随意披露；2，打到刘新杰家里的电话怎么可能是找马巍然的，这理由太牵强了；3，新的军师对下线都不考察就直接采用；4，把一批政治犯关在一起本身已经不可能了，还让他们有一起唱歌的机会；5，安排海青那个角色没有意义            
(5星)	 故事情节跌宕起伏，紧凑紧张，有第一次看美剧时的感觉，一气看完，很爽的电视            
(3星)	 太罗曼蒂克的兄弟情了            
(5星)	 好看！！！吴秀波太帅了！！！            
(5星)	 30集 精品! 结局很精彩,人性化！            
(5星)	 很好很强大，喜欢上了一个大叔，相当有魅力的男人，刘新杰。            
(5星)	 这么惨烈得来的江山，怎么就会被糟蹋成这个样子。            
(3星)	 国产里边故事还算紧凑的，就是被吹得太厉害，所以不能达到期望            
(NA)	 最后一集的反间计 是怎么成立的?            
(5星)	 混个好人缘是多么重要            
(5星)	 感觉最终翻案那段很突兀……大概老谭生性多疑，反正我觉得那么多证据了，这翻案显得纯粹就是为了翻案而翻案PS，老李最后野兽般的狂叫震撼到我了……冤大发去了……            
(4星)	 只要把国民党不演得或邪恶或傻逼，只要不把共产党演的高大全，这电视就差不了。---我们的观众多宽容啊。            
(4星)	 比预期好看很多，办公室被拍得很有爱            
(5星)	 如果有六星，我要给这部剧六星！从编剧的缜密，到剪辑的紧凑，到表演的到位，确属精品！结局很精彩，是对几个人物性格的集中体现。此外，极力推荐卷耳苍耳兄的解析，是这么回事。            
(5星)	 看过的最优秀的谍战剧，大陆剧很有希望啊            
(5星)	 毫无疑问是2010年的国产剧的精品，虽然仍是与《潜伏》相仿的谍战题材，但个人认为，在人物性格刻画与场景拍摄细节方面甚至要好于后者。在这部剧里，没有绝对二元化的好坏角色之分，只是在目前体制许可下尽力去还原那个时代的原貌。四星推荐。            
(5星)	 令人一刻都无法松懈的剧情，令人动情的感情，细腻精湛的表演。经典好看            
(5星)	 没有翠平插科打诨的潜伏，真好！刚开始略显拖沓，第八集以后佳境渐入，演员表现也愈来愈好。如果国产剧有一半是这样的水准和智商，我们就真的可以是文化强国了。            
(5星)	 编剧是美国水平            
(5星)	 送庄云清走的那段计时实在是惊心动魄，阿九死的好惨烈，刘新杰经过爆炸现场时把那种悲痛万分又不能表现出来的心理通过面部表情刻画得入木三分            
(5星)	 终于在各方的指引下，看完了黎明之前。刘新杰身边的人都死了，他的对立者们帮助了他。至少，很多人看完之后，会说，原来g m d人是有情有义，不是恐怖滴。潜伏的终极目标。刘新杰。强烈好奇后来的他在那场运动中怎么样了。            
(5星)	 继《暗算》之后重拾对谍战片的热情。            
(5星)	 事实证明国产剧也能拍出精品。胜过《潜伏》。剧中均是老戏骨，各个有血有肉。关键还是咱们终于能把故事说圆满，说精彩。            
(5星)	 神作            
(5星)	 每个角 都很不错。难得一部好片。。            
(5星)	 架构有点向《春天的十七个瞬间》致敬的感觉，不过剪辑和镜头运用太出色了，让人不得不熬夜奋战啊。最后冒出勇敢的心的原声有点囧，不过情景很搭很感人。国产电视剧比电影有前途多了，现在大屏幕上那些陈旧的导演和面孔和伪商业真是难看透了。            
(5星)	 真是一容易让人心动的老男人。            
(5星)	 大陆电视剧里真的算很不错的了            
(5星)	 这是少数必须看着屏幕不能移开视线否则就会错过细节的电视剧。最让人心灵激荡的不是刘新杰，是水手。最令人印象深刻的不是信仰，是人性。            
(5星)	 剧情很老套 CP很有爱 波波十分闪耀~~            
(5星)	 绝对此类型的国产电视剧的一个巅峰了，目前是前无古人，期待后有来者            
(5星)	 真的很好看，没想到剧情这么紧凑！            
(5星)	 好喜欢吴秀波....花痴死了              
(5星)	 结局太不给力！！！！！！            
(5星)	 共产党员的形象更加丰满，并不是艰苦朴素、国字大脸、一身正气、健康阳光的才是共产党，共产党也可以是刘新杰、顾晓曼、余则成……刘新杰行动成功，新中国成立，国民党败走台湾并没有锣鼓欢天，相反这个结局我们成功了，心情却无比的沉痛。是代价太高？我牺牲的无畏？是各自对党国的理解及效忠？说不清            
(5星)	 近乎一气呵成的看完了。酣畅淋漓。每个主要角色都特别出彩。刘新杰穿皮衣戴礼帽的背影实在太杀了……那么多人为之牺牲才换来的黎明，真希望这个国家能重新找回那种纯净的信念            
(5星)	 一个人的死为了另外一个人存在的年代，他们有着共同的理想和目的，并以非常的手段在传承，刘新杰的精彩自然会在和平年代终结。谁传承了他？他的为之奋斗的理想            
(5星)	 田小洁这个小身板啊，就跟个小鸡崽似的，怎么演瘾君子演那么好啊。谭局佩林大浦我都喜欢。秀波有魅力就不说了，平时的发型太屎了。编剧真是有成为中国第一的潜力，我看好你。            
(3星)	 66            
(5星)	 吴秀波就是给力，他就是中国第一间谍！！！！！~            
(3星)	 情节和演技都不咋的,除了林永健演的好            
(5星)	 终于知道我爸为什么白天黑夜的看！            
(4星)	 这部剧结尾处理的不是太好，那一场扭转乾坤的大戏要是吴秀波唱完的，五星给定了。这点编剧是完全可以做到的，可惜了！            
(5星)	 难得的国产好剧啊....剧情紧凑，演员的演绎也很深入，能把观众带入情节......一种轻描淡写的深情，无言的震撼....            
(5星)	 太好看了。每集都紧凑有力，像看电影一样。一部剧集的最美之处不在当下，而在之后，有没有回味的必要，是不是一目了然的平淡。之后补习潜伏，四集就看不进去了。跟第八局和水手比，那简直都是废物。            
(5星)	 镜头很多，节奏算是国产剧中比较快的了。关键是对人物描写很细致，031同志也是人，所以即使身为共产党的卧底也会有恐惧的时候，而不是任何时候都表现得像孤胆英雄。而八局的人虽党派不同但也很有能力，生活中某方面可以算的上可爱。其实这样很好，并不是贬低对手你就高尚了，抬高对手也就是抬高自己            
(5星)	 不一样的谍战，不一样的男一号，不一样的吴秀波，在那个英雄的年代！            
(4星)	 豆瓣居然给了这么高的评价，吓到了，值得一看，有点美剧的味道。            
(3星)	 恩，讲点实话还是不错的，“其实共产党没有记住什么”。。。说什么国家记住了人民记住了民族记住了，结果给了个三等，那都是扯淡呢，重要的是自己有信念觉得值就值了。。。想起来那句不知真假传说是邓小平爷爷说的：“其实根本没有飞夺泸定桥，那是为了扩大我们的光辉，其实没打什么仗”。。。            
(5星)	 剧本好演员好导演好，逻辑严谨紧凑，没有一味的丑化国民党，国民党人也有信念也有人情味。也没有一味的美化共产党，共产党人在面对自己弱点的时候也会有叛变，客观并富有人情味。吴秀波终于有部绝佳的代表作品了。            
(5星)	 有种第一次看美剧的感觉，嗯，当时看的是24S01            
(5星)	 国家 民族 生命 事业 ，最感动的是刘新杰最后说的那句话我有信念!            
(5星)	 小瘸推荐的剧，看了半路差点弃，坚持到最后豁然开朗，五星吧            
(5星)	 在国产电视剧的王国中 国人的智商终于突围了！            
(5星)	 好好看~我都变得爱推理了            
(5星)	 国产片的高水准，看得值，力荐！            
(4星)	 渐入佳境，大叔手很好看            
(5星)	 大陆难得的精品剧集。。环环相扣，欲罢不能，连我这种一向对年代剧兴趣缺缺的都被其吸引，足见其素质优异。。不能说其毫无缺憾，但其已在当前条件下做到了无限趋近于完美            
(5星)	 渐入佳境的好剧，虽然新杰你笨了点儿...配角都好...顾晔佳最后哭得我相当心疼...            
(5星)	 只要是哥们~管他什么党~            
(5星)	 太感人了。原本在电视上播的时候由于没有连贯起来，没觉得好。后来连着看了两集觉得是真好。最后才明白水手的真正用意，才理解了真正的牺牲。相当精彩和感动啊！            
(5星)	 吴叔你实在太帅了            
(5星)	 吴秀波！！！！钟爱！！！！            
(5星)	 难得让我想都不想就打5星的电视剧，虽然也有硬伤，但是整体感觉太舒服了，剧本导演演员统统给力啊            
(5星)	 很久不看国语片，没想到这次这部出奇的好看......            
(5星)	 非常好看的电视剧！很有深度的男人戏，众主演演技赞啊~~            
(5星)	 看完这剧就不想再看别的了，中毒太深            
(5星)	 电视剧的情节尚可，虽不能媲美潜伏，但是演员的素质是真不错，非常喜欢吴秀波在本剧中的表演，笑笑的样子很让人回味....................            
(5星)	 信仰与亲情，孰重？            
(5星)	 大叔很帅气啊……            
(3星)	 间谍生存手册（顿悟版）：1.常看报纸常听广播少上网2.通晓机械知识上会修卡车下会做婴儿车3.通晓物理化学知识擅用酒精灯.4.通晓医疗知识会自己做枪伤手术5.来路不明的漂亮女人少惹6.窃听器无处不在7.常看三国演义8.有同一妈生的兄弟做小弟，有同一妈养的兄弟做大哥            
(5星)	 信仰到哪儿去了            
(5星)	 至今看过最好看的谍战片。            
(5星)	 看到刘新杰的第一反应，是让我想到了《相思树》中的康凯，可能是那部电视剧中的他给我留下了太深的印象。一点点被这部剧吸引着直到结局，有点意料之中，是我看破了其中的故作悬疑么？其实不是，而是一直被一种叫做“信念”的感觉所牵引，让我看得更远。            
(5星)	 各种小眼睛~~            
(4星)	 情节漏洞虽然很多，但还是值得一看            
(5星)	 所以说一定要混个好人缘            
(4星)	 这帮共匪太没人情味了            
(5星)	 以前觉得吴秀波有点不够自然地深沉，《黎明之前》应该是他的最高水平作品…关于这部剧,结局那场戏,谭齐孙等人的目的好像已不是抓卧底，而是一心要为刘新杰翻案报复李伯涵,这有点让人费解,直到最后结尾，谭刘俩人在水手墓地的对话，刘说他有信仰，谭说知道你有,我也会有的,接下来谭说国家和民族会            
(5星)	 吴秀波~~            
(4星)	 沉痛···            
(5星)	 没有正反派的谍战剧            
(4星)	 这是可以让人冷静的电视剧。            
(5星)	 爱死了            
(5星)	 看的不错            
(4星)	 啥都好...除了那個水手演技太挫            
(5星)	 近期看过的最好看的电视剧。看完结局竟然辗转难眠。            
(5星)	 虽然还是有点小问题，整体来说已经很好啦；之前还在纠结片尾曲《兄弟》是讲的刘新杰与其同一战线的各位同仁还是刘新杰与谭忠恕，现在看来是后者；眼药水原来这么危险，以后要小心喏！            
(5星)	 非常喜欢            
(5星)	 情感是最难战胜的东西            
(4星)	 人情味挺足~~~            
(5星)	 童养媳刘新杰到底是怎么赤化的。。。被植梦了是伐。。。渣攻菊长最后为什么不肯带他走三岔路口神马的最虐了TAT            
(5星)	 中国谍战剧能拍成这样，真不错了            
(5星)	 牛逼！！！！！！我真的是到最后才知道结果。。。            
(4星)	 齐佩林好萌的说，八局那三位处长都属于大萌，局长大大萌，谍战剧算是不错的了，这样一比几乎没有什么可以比肩的作品了            
(5星)	 大叔，间谍，闷骚神马的最喜欢了            
(5星)	 智慧如水手，牺牲自己，作为031的入场券。老齐，大浦，一个老成，一个单纯，还有那个一起同生共死的兄弟谭忠恕，他们知道却不愿意承认刘新杰是卧底。这几个演员太给力了。            
(5星)	 结局也太完美了吧！！！！            
(5星)	 这一切就像是一场赌局，筹码是你的生命，而我就是你的入场券。            
(4星)	 信仰什么的，我真没有。人缘好是关键。            
(4星)	 吴秀波帅得无以言表!!            
(5星)	 结局出人意料            
(4星)	 束焕老师什么时候能写出这种片子，我就崇拜他。            
(5星)	 爱死刘新杰            
(4星)	 不善伪装就活不下去的年代            
(5星)	 撒由那拉……            
(5星)	 耗时将近两个月，终于看完了。            
(5星)	 你我同样的信仰和忠诚，可却成了敌人            
(4星)	 好看的剧集，不会觉得闷或慢，不合理的地方可忽略不计，难得~最喜欢的一场是31号忍无可忍的对水手怒吼：‘我相信你的忠诚，可我TMD不相信你的智商！’多么有爱~            
(5星)	 好故事好道理，男主角除了老傻笑其他都还好。俺可是一口气看完的呀~            
(5星)	 所看过最精彩的碟战剧情，终于编辑不再当我们是傻子了。连配角都无比出彩            
(1星)	 快看完了，看完了写为毛我给1颗星。。。这么高的评分让我觉得十分不能理解啊，看反特片的观众难道真的是白痴么？？？？？？            
(5星)	 果然还是关系决定一切-_____,-            
(5星)	 李伯涵死那一段，我竟然非常的难过。            
(3星)	 我觉得看着比《潜伏》累，而且结局有点太过圆满了吧            
(3星)	 奇怪的结局。。            
(4星)	 名侦探丁三            
(5星)	 严谨周密，逻辑清晰，不可多得            
(4星)	 你走进了哪一扇门？难得的国产好剧。            
(3星)	 据传比《潜伏》还好            
(4星)	 吴秀波长得像周星驰吖。。结局太仓促之外，还挺用功的。            
(5星)	 不解释            
(5星)	 good            
(5星)	 就凭我看的那速度。。。            
(5星)	 好看死了！！！！！！！刘新杰帅死了！！！！！！但你当卧底能不能当的心虚点啊！！！！！！！！            
(5星)	 比潜伏好看!!            
(5星)	 吴秀波            
(5星)	 断断续续看完的，剧情还不错，只是那个频繁出现的表立场的敬礼让我有些烦感            
(4星)	 两岸本是一家人，兄弟相煎何太急            
(5星)	 吴秀波用酒精麻醉自己，我用黎明之前麻醉自己            
(5星)	 海青死的时候还是蛮难过的            
(5星)	 磨磨蹭蹭的 办事效率那么低 能不失大陆吗             
(5星)	 为了结局也得给五星啊！            
(5星)	 挺喜欢            
(4星)	 片子不错。不过刘新杰应该没想到这么快，天又黑了。。。。            
(4星)	 革命同事之间是有真感情地            
(5星)	 全剧演员，剧情都很出色，不亚于《潜伏》了。就是结尾太夸张了！完全颠覆前面的，把水手说成神了！            
(5星)	 好看好看好看！！！！！            
(5星)	 最近发现还是老男人比较对我胃口！！！            
(4星)	 吴秀波戴小礼帽很英俊            
(4星)	 结局挺好！整体剧情再紧凑些也许更好！            
(5星)	 好喜欢吴秀波啊！啊！啊！！！叔控伤不起啊！！！！！！            
(4星)	 同志们，当卧底不容易啊            
(5星)	 !!!            
(5星)	 年内唯一看了的一部内地谍战精品，水手最后的设计堪为精妙。            
(5星)	 结局太感人了，都要哭了TT            
(5星)	 超五星~最爱你们了~            
(4星)	 潜伏跟它比简直就是爱情片            
(5星)	 大叔萌死了 海清死的时候 我妈说你快过来 你喜欢的大叔抱着别的女人呢            
(5星)	 这就像是一场赌局 筹码是你的生命 而我是你的入场券            
(4星)	 好喜歡他的聲音偶是聲音控            
(3星)	 编剧是美剧迷，所以剧本写的非常不错，很多细节的东西都特别专业，支持这样好的锅铲剧。            
(5星)	 值得多看几遍！            
(5星)	 精彩精彩            
(4星)	 结局很给力，看来国产剧越发的有些水准了            
(5星)	 比《潜伏》还好看。演员都不错，情节很抓人，旁白是亮点，片尾曲不错。            
(5星)	 聪明反被聪明误，还是得看人。            
(NA)	 刘新杰老是酒驾醉驾。。。            
(4星)	 还挺好看的 话说吴秀波和海清还真是暧昧诶            
(4星)	 我总觉得吴秀波演得欠缺了点什么，国民党那派演得太好太突出了可能。            
(5星)	 很好看的！！            
(5星)	 这个大叔实在是太帅了`````````            
(NA)	 其实吧我假期就看了如同阿菲说的终于找到觉得吴秀波帅的同道中人            
(5星)	 信念很重要            
(5星)	 国货精品，每年一部。（20101103）            
(4星)	 我想再赞一下黎明之前。            
(5星)	 呀，我花痴啦！            
(4星)	 小吴同学好帅            
(4星)	 今年看过的卧底电视剧中最好的一部            
(5星)	 其实老谭知道刘是卧底吧细节不如潜伏，但意识上高出潜伏            
(5星)	 NB闪闪啊NB闪闪！！            
(5星)	 得~人家大结局了 明儿没盼头了            
(4星)	 纵使信仰相对 你依然是我兄弟            
(4星)	 我就冲着帅哥看的!结果天天看,还挺好看!每个人都可圈可点啊~~            
(5星)	 水手的行为在最后得到了答案            
(4星)	 男主角的长相好            
(5星)	 虽然最近谍战剧泛滥的有一种“死嚼口香糖想嚼出牛肉味”的感觉，不过这部戏看起来还蛮有趣的。            
(5星)	 间谍和阴谋神马的最有爱了。            
(5星)	 谭局长真的停止怀疑了吗？            
(5星)	 一个字“好”，真的好！            
(4星)	 这片儿 有意思，今晚守着看结局鸟~~~\(^o^)/            
(4星)	 《黎明之前》的BUG遮盖不了剧情本身的光芒。第一遍看剧情，第二遍看细节。            
(4星)	 假如投胎成男人，我就要是刘新杰。            
(4星)	 水手讲对了，老谭的信仰最终还是动摇，放了刘新杰是最好的印证。大势所趋，不是捉一两个特工可以挽回的，况且是和自己一起长大的兄弟。            
(5星)	 非常好的节奏感，非常感动的故事。            
(5星)	 太好看了！            
(5星)	 总算补完了这部~怎么办我花痴了╮(╯▽╰)╭~刘新杰还敢再帅一些么？！            
(4星)	 相比常露脸的 海清演技好像差了点            
(4星)	 即使你是对的，人际关系处不好一样没人帮你            
(4星)	 我知道结局了。国民党的孩子们好可怜。            
(3星)	 吴秀波~~~            
(5星)	 超级好看！！！ 刘新杰好帅！！！！            
(5星)	 喜欢谍战片和支持国剧的都可以看看～            
(5星)	 纯            
(5星)	 草鸡好看！不过最后一集显得有点过于仓促以及不太合理。而且很少见的一点是几乎从来没有看过这样没有丑化国民党的剧。而且最后的结局竟然是双方坦诚相见还互相理解，这未免有点太过牵强。不过真的是剧情紧凑推理紧张的一部好剧。只不过看到男主我还是只想到黑社会老大啊！btw.好人缘真重要            
(4星)	 又爱上一大叔。。。。。。            
(4星)	 还是人缘好最重要            
(5星)	 悬疑精品，不要太深究逻辑漏洞啦，不能都跟阿加莎克里斯蒂比            
(5星)	 我真喜欢！            
(5星)	 上海滩，依旧是悬疑的            
(4星)	 编剧不如潜伏 男主角好帅  刘伯涵就是一中国版的mahone            
(4星)	 男猪像周立波和钟镇涛            
(5星)	 一个通宵看完了，吴秀波的声音很迷人~~~            
(4星)	 又发现一枚帅哥！！！！总是难以抗拒那些沉稳中偶尔流露出乖张和孩子气的人            
(5星)	 男主角好隐忍……好像JGL……            
(NA)	 爱上吴秀波。虽然结局有点扯。            
(NA)	 连续两天晚上终于看完了，编剧和导演的确是美剧迷没错，剧情紧凑，侦查技巧放在现在也很拿的出手啊，配乐也不俗。但和潜伏比起来好像没那么酣畅淋漓，线太多，人物杂。最后一集的反推论证太过集中，把观众也弄得敌友难辨了。            
(5星)	 看得心痒痒~~            
(5星)	 就是俩字：“好看！！”            
(4星)	 第一集和最后一集的前半段那是相当的英勇啊。节奏紧凑，人物性格个个鲜明，很难得。就是女主的戏份少了点。男主角有点无辜，就稀里糊涂便成就了事业（重在听话吧）。            
(5星)	 沙扬娜拉。            
(5星)	 刘新杰关系硬，齐佩林很圆滑，孙大浦技术高，谭忠恕最智谋。。。最后呢？只有齐佩林混得比较好~ 看来关系是不可靠的，技术是不足够的，智谋是不绝对的，圆滑才是硬道理！哈哈哈瞎扯一通。            
(5星)	 精彩！            
(5星)	 近年来很不错的一部国产剧~~            
(4星)	 推理一直推到最后一集,非常过瘾.对GCD肃然起敬！反潜伏反的很强悍！            
(4星)	 潜伏 难以超越了，but，男猪好帅            
(5星)	 吴秀波很有魅力啊            
(5星)	 EPIC            
(4星)	 看完以后，不知道当时“潜伏”都能那么红。            
(1星)	 听了半天BTV宣传，说比潜伏还好看什么的。一个一事所成、只会哭来哭去的地下党高级特工，倒是配合他的地下党们不是叛变，就是牺牲了。反观国民党八局里的个个都是精英，有个性、有能力、有情有义。我就不明白了，这么一个人才济济，团结向上的国民党怎么会败走台湾的？            
(5星)	 有史以来国内最好的谍战剧            
(5星)	 因为有吴秀波，所以跟着撇了几眼。波波依然那么帅......            
(NA)	 做模型的时候边做边看的   结果模型拿了第三名。。   我这酱油打的很好。。            
(5星)	 为国产谍战剧叫好，美剧不是白看的            
(5星)	 男主韩寒一样的眼神发型第一集就秒杀了我！！！！！！！！            
(5星)	 看了几部谍战片最近，上部的名字都忘记了，我想想 孙菲菲演的那个 还有好帅的那个  哎  忘记了  老了   片子还是可以的   但是还是感觉剧情的发展在紧张的同时有种一触即破的危机感和观摩感  最后的结局也太过仓促  让我感觉  是不是要拍续集            
(4星)	 演员好，剧本不如潜伏、暗算。当然主要是看常常受点伤的吴秀波。            
(4星)	 吴秀波             
(5星)	 人缘好很重要            
(NA)	 厉害~~~是有点美剧的意思~~加油~~~~~！！            
(5星)	 拍得好演得也好...            
(4星)	 好看，好看！！~~两兄弟这一生再也没有见面这类的话最讨厌了            
(4星)	 刚开始不错，到后来就一般了，速度慢了点，还是喜欢潜伏            
(3星)	 比潜伏还是有很大差距的，从演技到情节。不过比那个敌后十八年强太多。            
(4星)	 佩林和大浦的恋情曝光了！            
(5星)	 虽然结尾有点仓促，但是已经够劲了            
(5星)	 跟潜伏类似的模式，比如内斗贯穿，于是演员的部分表演也类似，但这不是模仿出来的东西；虽有不少漏洞，技术的、经不起推敲的、处理粗糙的，但不妨碍其优秀和百分之二百的诚意：尤其难得一见的非常细腻而深刻的情感刻画。人物性格精彩多样、剧情紧凑故事过硬、表演感动了我，真的好久没看的这么过瘾了。            
(5星)	 黎明之前，为信仰敬礼！            
(4星)	 一级棒            
