http://movie.douban.com/subject/2248707/	激情燃烧的岁月
(4星)	 4.0。石光荣一角很适合孙海英。此前对该人的认识仅限于央视版《笑傲江湖》的淫贼田伯光。            
(2星)	 “我连石光荣都不怕！”            
(4星)	 从这部连续剧认识了孙海英夫妇            
(4星)	 小时候很喜欢看            
(5星)	 当和天天和我老爸一起蹲守这部剧，好怀念那段简单的时光            
(5星)	 我记得那会儿大家都在看            
(4星)	 吵了一辈子，却也是一辈子            
(NA)	 很老了吧，，但是记得很清楚，            
(3星)	 看了好久了            
(NA)	 我就爱看这对夫妻俩            
(3星)	 我承认我看过。            
(4星)	 ╮(╯_╰)╭            
(5星)	 看见石光荣，就想起我姥爷。。有些人是一部经典耗尽一生心血，此后再无佳作            
(5星)	 石光荣~哈哈，那时候是要有好多人看哦！            
(4星)	 我是个爱国的有志青年。            
(5星)	 内石光荣的脾气好像我爸爸。。。            
(5星)	 我最喜欢的电视剧            
(5星)	 大爱！~~~信仰~            
(NA)	 喜欢的，，喜欢的，，喜欢的            
(5星)	 跟我姥爷一模一样            
(5星)	 小老头和小老太太太可爱了。            
(5星)	 也是爸妈都很喜欢的！            
(4星)	 好看。。            
(4星)	 我妈像石晶            
(5星)	 那个时候风靡啊风靡~~~直到后来泛滥            
(4星)	 没看完 演员太老了            
(3星)	 怎么能有那么拧巴一人呢，还有人乐意跟这样的过。            
(5星)	 全家一起看            
(4星)	 喜欢二女儿陈丽娜            
(5星)	 蘑菇屯的记忆。            
(4星)	 需要石光荣的气质            
(3星)	 单纯喜欢石晶的爱情故事。            
(5星)	 要三个孩子吧！            
(4星)	 还是当年陪爷爷看的。            
(5星)	 好！            
(4星)	 挺有意思，像喝酒时候的卤花生。            
(4星)	 忽然忆起            
(5星)	 很激情啊            
(3星)	 那个年代的东西或许会不懂。无关爱情            
(NA)	 爱情失去之后的亲情，更加深刻！感情还是纯粹点好~            
(5星)	 一向对军人有好感            
(5星)	 不知道爲什麽。。小時候很喜歡很喜歡！！！！！            
(4星)	 生活，其实就是这样的。磨合            
(NA)	 这得是也算军旅剧的经典开山之作呢            
(5星)	 其实我想打10星 - -            
(5星)	 石光荣那样的土男人姐喜欢，挺欢乐的。            
(NA)	 上大学时，为了看这个电视剧，下午下课后，就跑到值班室，跟值班的田大爷一起看这部电视剧。在大学时代里吸引我的一部电视剧。            
(5星)	 当初多火一个片，虽然都是大龄人实力派偶像，但是很感人            
(3星)	 是激情也是平淡，这才是生活……            
(5星)	 一直被模仿，从未被超越            
(4星)	 俩人扮小年轻的时候真的是。。。。吓死人了！            
(4星)	 记得去年大一刚来学校没什么事还自己从头在看了遍。我喜欢石晶            
(4星)	 我爸爸很鸡冻的说 看这部 不过现在有时候重播 他也会说 那时候哪里会这样之类的             
(1星)	 俩2货            
(5星)	 全家都爱看~            
(3星)	 。            
(NA)	 有时爱可以轰轰烈烈，有时爱也可以悄无声息平平淡淡，无论是哪种能相守一生就是真爱            
(4星)	 孙海英在剧中饰演老干部一角 一炮而红 从此他身陷剧中而无法自拔 真把自己当成老干部了（借许子东教授之言）            
(4星)	 妥妥的            
(4星)	 小时候跟爸妈一起看的，什么都忘了，只记得电视剧拍得好，石光荣是个汉子。            
(5星)	 依旧想起我初中那个暑假，那一切淡定的岁月            
(3星)	 时代的悲剧            
(4星)	 很不错，即便高考也天天看。            
(4星)	 跟爸妈一起看的            
(5星)	 难以理解的那个时代的爱情。            
(5星)	 石光荣，我跟你没完            
(4星)	 我口味还真杂。。。            
(3星)	 三星给表演。从此剧始，迈入金婚、幸福像花儿一样的洗脑电视剧时代            
(4星)	 可爱滴石光小荣荣童鞋～            
(4星)	 孙海英仿佛石光荣，一个角色足矣！            
(5星)	 激情燃烧的岁月，父辈的婚姻原来是这样的。            
(NA)	 当时觉得这个很好........            
(4星)	 至少在我心中是一個經典            
(4星)	 最可贵的是不装蛋~~            
(4星)	 全家一起看的，和和乐乐。平淡温馨的历史，恰到好处的搞笑            
(4星)	 石光荣            
(3星)	 完全不觉得有大家说的那么好看~            
(5星)	 我喜欢~            
(4星)	 初中时激情燃烧的岁月。。= =            
(4星)	 虽然不是我喜欢的型，但还可以，没有看完整            
(5星)	 貌似是第一个把所谓抗战英雄从完美的框架里拉出来的电视剧。            
(5星)	 经典~~            
(NA)	 孙海英是不是神经病啊他            
(NA)	 受我爸影响~            
(4星)	 跟着妈妈看到的片子。。。只记得当时老妈看的又骂又哭又小的，，，            
(4星)	 挺好玩的。            
(4星)	 激情燃烧的岁月····            
(4星)	 老爸很爱的一部电视剧，跟着看了几遍，还不错，            
(5星)	 那时候，这部电视剧在很多地方台不停地播，犹记得暗暗地不停换台只为看一个人——那片林子将来一定能成才！那个有谋有识，有情有义，有血有肉的同他父亲如出一辙的倔强军人。            
(5星)	 百看不厌。            
(5星)	 男主角跟我外公太像了= =            
(NA)	 好故事            
(5星)	 有些剧有些感觉就是无法替代。。            
(5星)	 五星是打给当时的感觉的，现在的孙海英值250星            
(4星)	 挺经典的~。            
(3星)	 好喜欢啊            
(5星)	 真的好！            
(5星)	 好看 好看 热播的时候换台看了无数遍            
(5星)	 康师傅的片子必须好看            
(3星)	 和偶爸偶妈一起看的，全家都很欢乐。。。。            
(5星)	 想起我奶奶来了            
(3星)	 。。。            
(5星)	 经典            
(4星)	 不错不错，男主角那拗劲真像我姥爷，好怀念姥爷.....            
(4星)	 让东北风席卷全国的其实是蘑菇屯人。            
(4星)	 年代片，激起人们对那个年代那些事情的忆苦思甜。不过一切终将湮灭。            
(4星)	 挺喜歡這倆的。            
(5星)	 好看,说不上哪好看,就是特贴近老一辈的生活,看着觉得里面的每一分钟都充满浓浓的感情...夫妻间的真挚的爱体现的太到位了!! 比金婚2好看多了!!            
(5星)	 又是一对电视剧夫妻~            
(4星)	 让我们全家人都在回忆我的爷爷 不过军阀气质没有石光荣 那么强            
(5星)	 无论是哪个年代的人，都看的感触颇深。            
(NA)	 拍得还真不错            
(4星)	 自此以后一系列的仿版相继播出            
(NA)	 国产精华，石光荣特象我爷爷，当年我是特么迷这片子            
(5星)	 喜欢当年的石晶            
(4星)	 姥爷姥姥和娘喜欢。            
(5星)	 这是一个时代。            
(4星)	 又被老妈带领了……            
(4星)	 不错，唯一看过并喜欢的老八片            
(3星)	 算是一个时期的代表作了，歌很好听            
(5星)	 石光荣够男人！            
(4星)	 为数不多看过的军旅剧，真不错            
(4星)	 当时电视上可是轮番轰炸的。以前多好，总能耐心的去看每一部喜欢的电视剧，哪怕有好多广告，当时的电视剧也总是拍的那么好看，如今呢，演电视的他们写剧本的编剧看电视的我们都浮躁了            
(4星)	 生活就是柴米油盐酱醋茶，吵归吵，感情一直在            
(NA)	 挚爱着不对。热衷于保卫国家。国家需要这样的老顽固。            
(4星)	 拍的很有味道，而且挺有年代感的            
(3星)	 还好            
(5星)	 特崇敬那个年代的人            
(NA)	 当喜剧看的。。            
(3星)	 恩 果然很激情哟 果然很生活岁月如歌~~我希望爸爸妈妈也能这样。有吵闹但是依旧很相爱。比亲人更亲。            
(3星)	 = =..不喜欢这一对..            
(5星)	 当年是陪老娘一起看的～   感觉那个时代的很多东西拿到现在来看是挺可笑的～       但是仔细品味   你会知道神马是家庭 神马是生活  神马是亲情……            
(5星)	 岁月见证着爱情            
(5星)	 傻，或者更执着。            
(5星)	 看这部那是必须的，同学爸爸很喜欢，也是一军人老头。            
(4星)	 ╮(╯▽╰)╭            
(5星)	 果然激情燃烧            
(4星)	 当时热播的时候追看来着            
(4星)	 个人觉得它超越后面模仿它的很多剧            
(4星)	 那个年代的爱情，服从便是爱……有其父必有其女其子……            
(5星)	 那年刚上大学            
(5星)	 很生活，很真实。            
(5星)	 经常在各种颁奖典礼上面感受燃烧的激情音乐            
(3星)	 嘛~一种剧集的开端……            
(4星)	 孙海英 吕丽萍的成名作吧            
(2星)	 还是陪爸爸看的。我是不能接受这种土包子文化的。            
(5星)	 我又哭又笑的看了N遍            
(NA)	 激情燃烧！            
(4星)	 今天才知道是康洪雷导演的 真霸气，但也有些青涩            
(4星)	 第一部不错 我都看完了！！            
(5星)	 这个石光荣和他老婆对话太好笑了~~~~~~            
(4星)	 石光荣 有本事你把我开除出地球去！            
(NA)	 让那些现在还没成婚的艺人们，向他们学习            
(2星)	 讨厌孙海英            
(5星)	 看过的比较认可的少数电视剧之一            
(5星)	 好看，音乐好……            
(5星)	 难得我家仨人都爱看，五星吧，很多细节挺有亮点。当时这剧还没显出黄海波呢。。            
(NA)	 其实我曾经也是电视剧女王！！！！！！！！！！            
(4星)	 谈不上有多么好看，不过我父母这一辈都很爱看。            
(5星)	 石光荣~！            
(3星)	 回忆            
(4星)	 从此以后，孙海英再无超越石光荣的影视形象出现            
(5星)	 里面的音乐好经典 看过好多遍            
(NA)	 老套            
(4星)	 到位            
(5星)	 第一次怕被军人爱上，哎，那将是怎样的刻骨又是怎样的幸福的啊。。。            
(NA)	 小时候听着那段音乐就激动不已。            
(4星)	 石光荣成为一种模式            
(5星)	 看不膩的電視劇            
(NA)	 和爸爸一起看啊            
(4星)	 爸妈眼中的精华片            
(5星)	 哇！孙海英，吕丽萍夫妻档！            
(NA)	 陪老爸老妈看的            
(3星)	 现在回头看这一对儿是多么的绝配啊。一对儿傻B。            
(4星)	 一去不复返            
(5星)	 五分給小说《父亲进城》            
(4星)	 我就觉得孙海英像我爸            
(3星)	 跟着爹娘看= =。            
(NA)	 很想念北方            
(4星)	 印象里这电视基本都是白皑皑的大雪。            
(5星)	 很稀饭~~~外公说 那是破坏军人形象。            
(4星)	 革命年代一种很常见的结婚方式，但也是幸福的            
(5星)	 军旅            
(4星)	 当年那个石光荣~            
(3星)	 时代的悲剧            
(5星)	 我看了很多遍啊 边练字边看            
(5星)	 百看不厌啊            
(5星)	 特别温暖的感觉            
(3星)	 小时候看的片子啦            
(NA)	 这个我爸妈喜欢。。。            
(5星)	 很可爱的老一辈军人            
(4星)	 蘑菇屯            
(5星)	 拍得比较好的国产剧之一            
(4星)	 此类片子的经典            
(5星)	 我太爱看了。。            
(4星)	 美好的生活            
(5星)	 看这部电视剧 就好像是看姥姥姥爷一生的故事 真的 完全是一模一样的  现在姥爷去世了 每次再看这部片子 心里都不是滋味。 愿姥爷在那边一切都好。             
(5星)	 啊哈~            
(4星)	 石光荣            
(5星)	 解放区滴天是明朗的天~            
(4星)	 挺奇妙的感受。，。，            
(NA)	 跟我爸看的            
(5星)	 很生活化的            
(4星)	 老夫老妻的            
(5星)	 孙海英 我喜欢            
(5星)	 很久前看的，和爸爸妈妈一起看的津津有味，演的太好了！看的相当舒服            
(4星)	 有段时间一直很迷那个时代的爱情~后来受启蒙了~想到中宣部开始用这种亲情和爱情来美化那个可悲的时代~掩盖那个可耻的历史~觉得特别恶心！！！            
(4星)	 爸爸妈妈都爱的            
(5星)	 无法超越不解释            
(4星)	 对那个没经历过的历史居然有情结？            
(5星)	 石光荣让我想起我姥爷。。            
(5星)	 好            
(5星)	 那段激情燃烧的岁月啊            
(3星)	 被老爸老妈拖着一起看的= =            
(3星)	 可以更理性的看待这个当时被推崇的东西            
(3星)	 时代的。。。悲剧。。。            
(5星)	 激情燃烧的岁月，一个战火纷飞的年代的爱情，从这里开始，岁月虽然流走，但是爱却随着岁月渐渐变浓，也许时有争吵，但是直到有一天，你会发现其实争吵也会变成生命中不可或缺的一部分。            
(5星)	 喜欢石光荣倔强的性格。。。。。            
(4星)	 其实也就那样，人们认为好看是因为那个时候确实没有什么好看的电视剧            
(4星)	 几乎是照着孙海英的模子刻出来的剧本            
(4星)	 石光荣同学演完这片似乎魔怔了            
(5星)	 当年看疯了，真逗！记得当时的经典对白孙：“怎么不吃了”吕说“气都气饱了！”@Home            
(4星)	 石光荣 一个里程碑 式的人物。             
(4星)	 我只能说，这部剧播出以后的若干年，我看到结局还是有种震撼的感觉            
(5星)	 挺不错，挺真实……            
(5星)	 额，特好玩儿。。小时候看的。。。            
(4星)	 配乐赞~！            
(NA)	 大愛孙海英            
(5星)	 这是爷爷在世的时候最爱看的电视剧            
(4星)	 看了好多遍            
(5星)	 看的比较早的一部那个年代的电视剧，大爱，很棒！            
(5星)	 当年~~~很有爱的            
(5星)	 要嫁就嫁石光荣！            
(4星)	 因为看了它才会去剪短头发的啊            
(NA)	 很不错的哦            
(5星)	 从中看到了父辈的身影......不论时光如何变迁，他们给我们留下的记忆，永远也抹不去            
(5星)	 果然是激情燃烧，狂霸            
(NA)	 忒激情咧。。            
(4星)	 电视剧版的《我的父亲母亲》            
(5星)	 太好看啦太好看啦            
(5星)	 哈哈哈，军人家庭嘛            
(4星)	 激情燃烧的时候看的。            
(4星)	 关于那个时代的美好幻象            
(5星)	 那个年代真的很经典~            
(4星)	 石光荣  这日子没法过了！            
(NA)	 结婚的时候挺恶心我            
(4星)	 孙海英就永远是石光荣。            
(4星)	 哎·特别的意义嘛算·            
(5星)	 孙海英演的很本色~剧情也好~看得我热血沸腾的~~~            
(4星)	 这是哪一年播的来着？            
(4星)	 戏里戏外都是完美的            
(NA)	 怀旧怀旧～我喜欢那里面人物的激情和音乐            
(2星)	 去他妈的孙海英            
(4星)	 陪父母一起看。最后那几集我全家一起感动得哭。。。 史上绝无仅有            
(5星)	 音乐无可超越            
(5星)	 陪老妈看得            
(5星)	 一代人            
(NA)	 准确的说，那会我还真没时间看，但有耳闻，主要是广播版的有听过，有感觉。整个故事待有机会再详细看看。            
(3星)	 爸妈的爱好            
(4星)	 演的还是不错，就是孙海英这两口子后来还真当自己是老干部了，各种雷人语段            
(5星)	 好老好老但很好看很好看的国产电视剧            
(5星)	 喜欢石晶~~~            
(2星)	 土包子强抢民女            
(4星)	 懂不懂什么叫喜感.            
(NA)	 曾经很喜欢看，以后出的类似的片却也觉得太过相似了            
(4星)	 催泪啊，一遍一遍又一遍            
(4星)	 主要是不喜欢孙海英，要不然就五星了            
(5星)	 看了好多遍。            
(4星)	 孙大炮……            
(5星)	 “我愿意给倭瓜打伞，你有病找大夫去”--“那你让倭瓜给你买早饭去啊”喜欢，看了好多遍，就爱看这一节            
(4星)	 当年对爱情一无所知的时候 还是很崇拜石晶的            
(5星)	 笑死我了......            
(NA)	 乡巴佬的爱情故事，和母亲一起看得，觉得他们俩部配！             
(4星)	 小学时看的，记不大全，但似乎还是不错的片子。            
(4星)	 在爸妈的逼迫下            
(5星)	 非常好看，百看不厌            
(4星)	 演技大赏！！            
(5星)	 绝对的经典连续剧            
(5星)	 好啊好            
(5星)	 强推。。            
(4星)	 这就是生活吧，那时候还小，就跟爸妈凑热闹~            
(4星)	 2001            
(5星)	 太逗了!!!            
(3星)	 跟家人一起看的            
(4星)	 我觉得也行，但是就是总吵，不知道为什么？声音还挺大的。和妈妈看过几集            
(NA)	 4.5            
(3星)	 老爸老妈超爱            
(NA)	 年轻过的都要激情燃烧一次！拼搏最美！无怨无悔！            
(NA)	 很难想象这是一部虔诚的基督徒拍的            
(5星)	 百看不厌。            
(5星)	 不错的电影            
(5星)	 看的时候确实是激情燃烧，这一系列还包括亮剑、士兵突击、狼毒花、我的兄弟叫顺溜、我的团长我的团            
(5星)	 我爸爸很喜欢。还是那个年代的人比较实在，淳朴！            
(4星)	 那个年代的事，很有意思            
(5星)	 小时候看的吧，印象最深刻的一个连续剧！对石光荣产生无限好感            
(5星)	 音乐响起，情感也来了，欢乐与悲伤同在            
(3星)	 政治书中出现频率超高的一部电视剧～            
(5星)	 一句我三十六了。。。            
(5星)	 很好看            
(5星)	 和我家的情况非常的像            
(NA)	 姥姥姥爷那一代~~无爱也可以有情~~            
(4星)	 这个故事的起点其实是强权掠夺来的婚姻            
(4星)	 上一代人肯定很喜欢看。。确实拍了不错。。孙海英演的逼真吕丽萍演的也很到位。。好故事。。            
(5星)	 觉得还不错            
(5星)	 小学一年级看的，看不懂什么，就知道这非得看下去不可。            
(5星)	 这部红了，这部绝了。            
(5星)	 百看不厌！            
(5星)	 22集 康洪雷导演，孙海英 、吕丽萍主演            
(NA)	 为什么一个7岁的小孩子会超迷...看了好几年...            
(4星)	 头一次觉得大男人主义很有爱            
(NA)	 石光荣的儿子把猪弄丢了，站在小山上高喊，石光荣我连你都不怕了，猪丢了我也不怕            
(NA)	 喜欢里面的石晶 很独立 很要强             
(4星)	 抢老婆            
(4星)	 覺得很好看            
(5星)	 贫点吵闹点才是真生活?            
(4星)	 这片子挺真实的，不夸大不掩饰不矫情，每个人都活生生的。            
(5星)	 向前向前向前！！            
(4星)	 挺好的~            
(2星)	 看过一点            
(3星)	 那年代是不是大家都这样？            
(4星)	 以前一家人看的欢喜死。            
(NA)	 开启了国产军旅电视剧的先河，让我们的军人看起来不那么完美了，但是更可爱了            
(NA)	 难忘的片子，当初一家人围着看            
(3星)	 不是我喜欢的题材            
(5星)	 康洪雷            
(4星)	 石光荣就是块石头。。。又臭又硬。。。。一般人真是受不了。。。            
(4星)	 像 像我姥爷。。。            
(4星)	 好多年前的片子了            
(4星)	 2010-06-26            
(4星)	 当时，我真的很投入...            
(4星)	 其实还是可以的 也是跟我老妈一起看的 哈哈            
(5星)	 这是给我足够印象的一部家庭生活连续剧，很多人，很温暖。            
(4星)	 陪家长看的            
(5星)	 我爸妈就是翻版的石光荣和楮琴            
(4星)	 石光荣挺逗的~            
(3星)	 这部剧当时播的那个铺天盖地啊            
(4星)	 以我的这个年龄 还是 给4星吧            
(3星)	 蘑菇屯            
(4星)	 他代表了那一代军人            
(1星)	 糟糕的主旋律。            
(4星)	 这老爷子，现在和冯小刚杆上了，真是被激情烧坏了脑子了。可惜了小吕姑娘，我曾那么爱你            
(4星)	 军旅题材的首部热播剧            
(3星)	 这俩人。真神            
(2星)	 一个偏执老共产党的狗屁故事。            
(5星)	 偶爸的最爱~            
(4星)	 这么一辈子好像也挺有意思的            
(5星)	 人物形象刻画到位            
(4星)	 看这种电视剧时陪在我身边的总是我爸我妈            
(4星)	 石光荣当时太爱吕丽萍，当被拒绝时竟然觉得这是无法理解的事情，想不跟我你跟谁？              
(4星)	 无怨无悔的石光荣            
(4星)	 挺好看的            
(3星)	 我当年是怎么看过来的。。。            
(5星)	 革命真好啊。。。            
(4星)	 老军人第一次如此真实。            
(5星)	 经典呐。            
(NA)	 也是值得再看一遍的片子，找我爸一起看            
(4星)	 不晓得为什么，看了一篇又一篇            
(3星)	 这是爹爱看的。。            
(5星)	 特殊的时代赋予石光荣历史感。            
(NA)	 我很变态的很喜欢石光荣。。。            
(4星)	 和家人看。            
(5星)	 激情燃烧呀~            
(4星)	 促成了一对有情人啊！~            
(1星)	 恶心。差点没被搓吧死的好几茬人，津津有味的看着这本该让他们发怒的剧。就好象新纳粹说奥斯威辛当年是植物园，结果犹太人说是，里面的薰衣草现在都没有这么香的了            
(NA)	 军人家庭的生活              
(4星)	 我还是很喜欢那个石光荣的            
(NA)	 特熟，因为我妈喜欢，我妈喜欢的原因是这讲的就是我姥爷和我姥姥的故事            
(5星)	 看了n次。。。            
(5星)	 非常棒的电视剧! 当初赚了我不少眼泪,演得很出彩,女儿很像初中最好的好朋友,她之后也获得幸福了,真好!! 我现在还能哼ost&gt; &lt;            
(4星)	 挺好看的还是...            
(NA)	 孙红雷！            
(4星)	 那时候一度觉得我爸倔的时候很像石光荣……            
(4星)	 我连2都看啦~哈哈 还一家人一起追的            
(NA)	 呵呵，喜欢！！            
(4星)	 很有人味            
(NA)	 看过3遍呢~~说不出来为啥那么喜欢，估计那种典型的家庭气氛吧~~也有点怀念老北京的生活            
(4星)	 多年前和爸爸妈妈一家人围在电视机前看的片子，每次听到片尾曲还是会热泪盈眶。很温馨的电视剧，这个角色就像给孙海英量身订造一般，也造就了他和吕丽萍的一段婚姻。            
(3星)	 豆瓣用得这个剧情简介实在是很恶心            
(4星)	 这样的人物很真实            
(5星)	 算是革命经典剧了吧，貌似后面没什么剧超越过的！            
(5星)	 有一次在家看的时候看哭了，也不知道是为什么，那种激情就是我现在所缺乏的，让自己再次对生活具有激情，加油！            
(5星)	 喜欢，好玩儿，军人也是普通人啊            
(5星)	 当年..我就把你妈看做一块阵地...            
(4星)	 枉我把猪肉炖粉条想象得那么美好……            
(NA)	 从荧幕走向真实的一对            
(5星)	 百看不厌            
(3星)	 小两口吵架   让我想起了我爷爷            
(4星)	 时代感强烈            
(4星)	 个人中意这点事            
(5星)	 改编自石钟山的小说《父亲进城》，先看的小说，被吸引和感动了。再看电视剧，也很不错！石光荣这个角色塑造得很成功！一度很喜欢孙海英！            
(5星)	 不懂但是也很感动            
(4星)	 跟随娘亲看的剧。。虽然看的断断续续的。  但却一直留在印象中。。   不得不说。。  能让那时只看偶像剧的小屁孩看的那么起劲的。。  还真是个好剧。。             
(4星)	 我妈的最爱            
(4星)	 我妈真爱石光荣            
(5星)	 终于找到你啦！！            
(4星)	 嫁给石光荣不如一头撞死            
(5星)	 当时和妈妈争电视看争输了 没办法只好跟着看 但是没想到 挺好看的。。。            
(4星)	 没有完全连续看完。但是我妈很爱看。            
(4星)	 很不错的电视剧。            
(5星)	 把我爸我妈迷的            
(NA)	 爱死了那个倔老头，可真正和她生活在一起的那个女人，也会这样看吗？            
(4星)	 文革期间~~            
(4星)	 太久了，都快忘了，跟金婚差不多，爱了一辈子，吵了一辈子，是生活，是爱情            
(5星)	 当年看的我热血沸腾的。。。            
(5星)	 这个年代已离我们远去，但执着追求幸福生活永远是我们需要坚持的~            
(NA)	 有些东西写得像我外公~~~~            
(4星)	 很好看            
(4星)	 嗲            
(5星)	 一百多个人一起看。蛮有感觉。小学的时候看过一点点，这次重新看一次，很好看。            
(NA)	 一向不喜欢吕丽萍，这部剧集她演得还不错。            
(5星)	 看了N遍的电视剧 每次都能被感动的流泪            
(4星)	 那个年代的生活真的很激情，不错            
(NA)	 石光荣啊            
(5星)	 逢重播必看啊～            
(4星)	 我特爱看他们年纪大了的那段            
(3星)	 就那样吧            
(4星)	 这么多年还挺经典的            
(5星)	 包办婚姻也不错            
(5星)	 天天看的好high的            
(NA)	 太激情了            
(4星)	 一段不悔的爱情故事。。。记录那代人的爱情甜蜜与苦涩。。。            
(NA)	 一集不差的看了两遍            
(4星)	 激情以外，就是家长里短过日子。            
(4星)	 自然的演技              
(4星)	 挺神道的~~            
(4星)	 这是一部让我爸爸百看不厌的片子，所以我想应该是值得推荐的，他有一个军人的坚持和刚毅！            
(5星)	 看哭了都            
(5星)	 挺好            
(4星)	 那可真是激情燃烧的岁月            
(5星)	 如此的真实而细腻            
(5星)	 相当的本土，相当的可爱            
(5星)	 每年都看            
(5星)	 当年真没想到，我会喜欢看军旅题材。            
(5星)	 妈妈最喜欢的电视剧。看了那么多遍我还是会笑，孙海英演的太有意思了，很真实。后来看他演什么都不像了。            
(4星)	 很有意思。还是会播几遍看几遍。            
(4星)	 不错            
(5星)	 孙海英演绝了！            
(4星)	 很俗气却很好看            
(3星)	 燃烧吧。            
(5星)	 看了不下5遍...            
(4星)	 钟南山的小说吧，那一辈人的爱情与生活            
(4星)	 不知道为什么有段时间很迷这部剧呀  爸妈一起看            
(NA)	 我爱看。            
(2星)	 不喜欢孙海英，神经病。            
(5星)	 很少看电视剧，喜欢这个            
(4星)	 呵呵，我喜欢大男子主义的男人            
(5星)	 朋友问，作为文青的我怎么会喜欢这样的剧。其实作为伪文青的我来说，这剧有点儿尿性，因为他们和我的长辈们挺像，而我和石林挺像。            
(4星)	 石头            
(NA)	 激情燃烧的岁月啊            
(4星)	 hahahhaha             
(4星)	 陪老爸一起看的，还是挺赞的            
(5星)	 看完这部片子，我想会80年代出生的人，会更多的了解、理解自己的父母！            
(4星)	 小时候看的，感觉不错            
(3星)	 乡巴佬的爱情故事，和母亲一起看得，觉得他们俩部配！            
(NA)	 我就喜欢里面石晶。            
(5星)	 特别的岁月            
(5星)	 红色经典  好！！！！            
(5星)	 经典了!!!            
(4星)	 操蛋娘们            
(5星)	 无数遍，尤其爱与家人看            
(3星)	 无法喜欢的经典            
(3星)	 对部队啊 党啊什么的沾边儿的向来都排斥 不过这部剧有的地方还是蛮有趣的            
(4星)	 喜欢那个年代的爱情            
(4星)	 他们家这几个孩子比较搞笑。            
(5星)	 那个信仰至上的年代，感动着每一代人~~            
(4星)	 跟老爸老妈一起看的            
(4星)	 有点意思            
(4星)	 石光荣长得和那脾气真像我爷爷···            
(5星)	 最爱的电视剧            
(5星)	 真是可圈可点啊            
(3星)	 一般            
(5星)	 当年大爱啊            
(3星)	 断断续续看的，应该是挺好看的            
(5星)	 凌晨不经意发现电视台正在重播。看罢，总会有热泪盈眶的感动。            
(4星)	 死鸭子嘴硬            
(3星)	 片子不错.但因为孙海英其人而大打折扣.            
(4星)	 又一部家庭剧..            
(5星)	 记得那段关于猪脚臭的对白~挺搞的呵呵~            
(NA)	 一直有一个疑问就是：像石光荣那样粗野的男人，怎么在文革中活下来的？按理说，他比李云龙也多不了几个政治细胞啊？            
(NA)	 也仅仅属于和你们的回忆，我最爱的你们            
(NA)	  那一阵子流行            
(5星)	 真实，就象是在看父母当年。            
(4星)	 很有趣的剧集，虽然时间有点远，但那时候的生活仿佛因为这个戏而变得生动。            
(NA)	 喜欢 喜欢孙海英和吕丽萍            
(3星)	 孙海英            
(4星)	 军人的魅力~~执着            
(5星)	 看电视，一般就是握着遥控器狂摁，看到某卫视在播燃情岁月，手就不动了，饶有兴致的开始看。这是我本年度看过的最经典的电视剧，不管看过几遍，不管从哪里开始，都能看下去。生活化，说人话。细腻而不琐碎，温情而不矫情。很像生活，磕磕绊绊不断，却真实而美好。            
(4星)	 那个年代的那些人            
(4星)	 老一辈人的爱情！            
(4星)	 父亲永远是一个T点            
(5星)	 蛮搞的……蛮特别的爱情剧，呵呵            
(2星)	 自此有关老吕老孙的镜头一概略过！            
(5星)	 爸爸特别喜欢 我也特别喜欢            
(NA)	 啊我最喜欢的电视剧之一太喜欢了看了至少十遍            
(4星)	 喜欢看描述军人史诗生活的电视剧            
(5星)	 开创了先锋。            
(4星)	 如今只能想象的浪漫之歌。            
(4星)	 满真实的感觉            
(5星)	 悠扬的大提琴            
(4星)	 少有的我喜欢的军旅题材电视剧。            
(NA)	 那个时候觉得很好看的            
(5星)	 老爸老妈的故事o(∩_∩)o...            
(3星)	 其实这实在不像是我这个年纪的人会看的电视剧，当然我还是和爸妈看了无数次。。。。可能是因为我真的很喜欢军人的生活吧~~~呵呵，我是个有军旅情节的女人……            
(4星)	 我爸妈超爱            
(4星)	 这部电视剧是陪老爸看的，让我感受到了父母的责任与付出，岁月的磨砺。            
(3星)	 喜欢那歌..            
(4星)	 蘑菇屯            
(5星)	 当年是机缘巧合于是一口气看完的吧……看得很爽OTZ！            
(5星)	 绝对有一些很感动的地方～            
(NA)	 很搞笑，不过很早之前的了吧            
(5星)	 老爸的最爱            
(4星)	 军人父亲　文艺兵母亲　三个性格各异的孩子            
(3星)	 孙海英演过了            
(5星)	 很好的片            
(5星)	 喜欢一部戏里有长幼的差别，有时代的交错            
(NA)	 还是租碟子看的            
(3星)	 还是我喜欢的康师傅的作品，不过男主人公我可真……            
(4星)	 不错不错，感觉好极了            
(3星)	 石晶啊            
(5星)	 和爸妈一起看            
(4星)	 经典~            
(NA)	 渴望那个火热的年代            
(5星)	 每一集都是经典。。。            
(4星)	 据我妈说，我姥爷和石光荣一个脾气。。。不过我记忆中姥爷是蛮好的，就是孤僻了点。。            
(NA)	 张纪中还是能拍好东东的            
(4星)	 挺真实的老两口的岁月            
(NA)	 土共洗脑用，请选择性观看——pretty suck            
(5星)	 后来有很多电视剧都类似与这个电视剧 但是没有一部能过赶超 喜欢它就因为它真是 并贴近生活            
(NA)	 很喜欢            
(5星)	 好看            
(3星)	 对编辑部的印象里怎么吕丽萍是个美女来着？            
