http://movie.douban.com/subject/5031426/	真相
(3星)	没多大意思，打发时间而已
(5星)	难道有这么好看的港剧啊～～～
(5星)	女神！！
(5星)	挺好看的，关键不拖沓，不总是几个主角之间扯不清楚的n角恋，虽然也有，但只是小小篇幅，以案件为主，真不错。
(5星)	现在只有这部可以追啦 确实要比《怒火》好，剧情什么的都好啦
(5星)	近期生产不错的片子~
(4星)	原来肥仔杜太先是男女猪脚。从麦包到阮兆祥自己家还有个杜生...杜太真是肥仔控...
(5星)	第三弹 到第二十集可以盲听啦 很好看的剧 推荐之
(4星)	看得真爽，奏是太短了哈！
(4星)	爆好看！
(NA)	杀警案黄浩然演到我血脉喷张
(4星)	原来做律师都要打得...
(5星)	keith,mavis,wallace!!!
(4星)	真心比怒火有看头。
(5星)	TVB是有多久没出这样的片子了，而且这片子的演员我都好喜欢；再好的女孩遇人不淑还是一样结局惨淡，单纯不要紧，好人坏人要分清楚。
(4星)	开头很不错，可惜烂尾了，干嘛要搞给大C死啊！大C比杨怡有看头啊！！！
(5星)	强烈要求加拍！！！
(NA)	感觉编得有些断裂，主角人物与人物之间的串联不够，多数突兀。还不如分案例短剧。最后感觉就是主角人物情感不太连贯，胖子的警察爱情明显插进来的。
(3星)	对演员无爱啊。。
(5星)	之前看过怒火街头觉得真相应该一般般本不打算追，奈何最近剧荒。哪知一看下去就入迷了，觉得甩怒火不是一条两条街。看完真相觉得怒火硬伤太多。当然陈展鹏在里面表演实在是可圈可点。。让人不爱都不行
(4星)	男主终于从各种龙套转正了吖^ ^ 果然TVB男星是越老越成熟越有味道。。。
(2星)	剧情牵强众演员飙戏过度用力
(5星)	男主刻画欠佳！！！算最近最好看的TVB剧集了吧！！！杨怡这次好沉稳好专业，挑的起大梁！！！甩了怒火街头里面胡杏儿十条街！！！唐诗咏好漂亮啊！！！rax好傻逼啊。。马明好坏啊！！
(3星)	烂尾片，可惜。keith众口一辞赞，mavis去死，最后三四集没有事业戏支撑，她真丑
(3星)	前几集不错，后十集回到港片老路，减分
(4星)	此剧，属最近看上的电视剧，只是闲网络更新速度较慢！不很过瘾，其中有两集，关于印度人强奸案，比较完整，似乎有想呈现香港法庭陪审团之间的博弈，与《十二怒汉》有点貌似。
(NA)	虎头蛇尾 就不说啥了
(4星)	冲着杨怡来的。
(3星)	一开始看着觉得很不错啊 可是中间开始怎么又开始家庭的恩怨情仇了 orz...
(4星)	好的TVB片子，应该具备两个素质：一是编排紧凑的剧情；一是塑造隽永的银幕情侣。真相算是做到了第一点吧
(3星)	绝对好看
(4星)	看着看着我就把重点移到感情戏上了，到最后我也不知道要是我是mavis我会选宾个……陪审团讲的很清楚，律师的情况不知是不是真实~拍续集吧，求求你了！
(3星)	慕名而看，虽然看得下去也不像网上吹的那么神。不过第十集真是神来之笔，十二怒汉附体
(4星)	看到胡椒的豆瓣，我突然想起，这部戏的豆瓣状态我还没修改。我真的很讨厌这个结局，恨死了！！！！！！
(4星)	还行吧
(5星)	王心蔚的作品，不错！陈展鹏终于上位了，不容易
(5星)	完美
(5星)	话说陈展鹏很秒人，第一集完全秒杀我。。。很久没有这种追TVB剧的热情了。。一点快进都无。情节紧凑，希望后面剧情继续给力！
(4星)	虽然比起邓特希时代的法庭剧欠缺细节和对白上的精妙，但相比于其接档的怒火，专业性强，人物描写均衡，案情的设置都不错，演员的表现和养眼度也都更高些，（怒火里面女一看造型女二看腿女三才能让人舒心地看一看脸。。）
(3星)	很多案子都感觉到一半就被硬生生掐掉
(4星)	第一次发现陈展鹏很帅，不得不承认黄浩然老了
(4星)	偏爱卓少谦，因为自己也是那种危急关头必然奋不顾身的人。  可惜和他一样，未必有什么好结果。   还好第一部在这个时候结束，免得我心烦。    另，这剧有点后劲不足的感觉。
(4星)	不错，有专业性有人性深度；虎头蛇尾啊
(5星)	墙裂推荐
(4星)	好久没看这么舒服的TVB剧了，剧本、演员都到位，连客串演出的阿叔阿婶都看着很顺眼，结局减分。
(5星)	绝对是TVB2011年上半年最佳喇。陈展鹏，你得嘅！
(4星)	虽然今年还没过完，8过即使是近几年的律政剧来作为考量样本，也绝对堪称上乘水准了。就是收尾太仓促了，难道TVB拍到最后又没钱了莫。。。
(4星)	求求你结尾千万不要狗血啊～～～｀
(5星)	黄浩然的服装果然没有赞助商。。杯催 杨怡这次很不错啊。。眼线不错
(NA)	k真的好像好像亨杰
(4星)	案件的质量和拍法有高有低，整体还不错。
(4星)	结局太不好了，是准备拍续集所以这样么
(4星)	好久没有看过怎么对味道的律政剧！
(5星)	前半部不温不火的 最后几集看得我急匆匆的 大C居然死了！！！！居然死了！！！
(4星)	为什么每次上诉之后莫名其妙就赢了。。。编剧是想怎么样？
(4星)	黄浩然！！
(4星)	最後單case搞乜鬼呀～點都唔啱裡部戲的style～更衰黃浩然完全唔似二世祖！但係頭先d故事都超正！鍾意劉大狀！必須吐槽一句他奶奶的最近tvb為毛這麼鍾意死女主or女2～真相，怒火，潛行，法3，搞什麼嗎？？崩潰了要
(NA)	欣赏杨怡~
(4星)	好看好看好看
(4星)	怎么又是律政剧 比怒火正常多了好看多了 结尾搞什么飞机i啊
(4星)	很不错，案件都有代表性，又能引出思考。对基本的法庭知识也有所介绍。特别的是9，10集还描写了陪审团。不过HK法律程序跟大陆不一样，看看就好。
(4星)	尼玛 居然不告诉我女主最后跟谁好了。这不是坑爹嘛！！！！
(4星)	很利落 不拖沓！
(4星)	继义海豪情之后，唯一追完的TVB剧集。每个角色都好出彩！
(4星)	比怒火好看啊，结局太烂！现在这都是港剧的惯用结尾了么，死人就开心了么！终于不觉得陈展鹏是坏人了 = =
(4星)	除了大C挂了，这个结局我蛮喜欢的
(4星)	居然这样的结局。。。害我在那儿猜疑半天。。。
(3星)	我觉得的确比怒火有看头多了。
(3星)	&#34;真相&#34;在看到17集的时候，终于有点儿意思了~
(4星)	前面惊艳，后面勉强吧
(4星)	杨怡的鼻子怎么了？
(4星)	唐诗咏最近出镜很高。陈展鹏表现突出了。这部剧基上演员都不错。
(3星)	結局太弱...
(4星)	陳展鵬戴眼鏡的模樣斯文又紳士,很耐看。
(3星)	演员不行啊。。。
(NA)	杨怡现在越来越有爱啦~扮相不错~
(5星)	喜欢马明~
(5星)	主角反而不如配角那么出彩，但整体水平不错。@20110731
(4星)	ok喇...好難得最後女主一個都冇揀....編劇你好堅定喎!
(4星)	最後一顆星輸在 M小姐木有跟W先生在一起!!!!!!!!!!!!
(4星)	很不錯的劇，比怒火好！沒想到陳展鵬第一次做那麼正面的角色是這樣迷人哦~~楊怡做Mavis不溫不火沒有特色，不太喜。倒是結局情感歸宿太草率，各種鋪墊都像被被編劇騙了一樣。
(4星)	很多客串
(5星)	2011目前为止最好看的TVB剧。不过结尾太烂。
(NA)	比《怒火》好，暂定今年最佳港剧~
(3星)	没有感觉特别好看什么的
(4星)	大結局坑爹啊！！！咩叫做凈係想做好朋友喔！！！！！！！
(4星)	破案剧都还比较有剧情
(5星)	结束得太匆忙了！！！！大结局真是无力吐槽了。Keith咱们不要Mavis了，没有必要为了一杯咖啡放弃整个大中华饮品市场。。。不过单就剧情而言确实不错。
(5星)	马明又来煽情，带埋cici走咩都冇理，陈展鹏使唔使咁靓仔啊？！
(5星)	tvb编剧都有点结局无能！续集快来
(4星)	结局快得坑爹啊 焦虑地等续集
(4星)	如今能看到这样的TVB剧已经很满足啦~ 话说换做是我也不知道是选K还是W？？
(5星)	前20集讲案子 后5集集中火力讲感情 555 把ceci还给我。。
(NA)	TVB是暑假必备。我爱唐诗咏！
(4星)	最后一点也不好看
(3星)	后半部开始变味了
(3星)	其实还是挺助人思考的
(4星)	不错啊
(4星)	结局恰到好处。
(NA)	这结局太让我不满意了，想拍续集也用不着这样草草了事
(4星)	赞。煎饼要红了哟！！
(5星)	结尾狗血了。。
(3星)	鸡肋！！！
(4星)	好片~
(5星)	最初是冲着黄浩然去追的，却顿觉转正后的陈展鹏好掂！！！！！！！！！！！刘思杰刘思杰~~~~(&gt;_&lt;)~~~~ 就是大C和Alex这一对让人心酸啊啊啊T^T
(4星)	啊啊啊啊啊啊啊啊啊啊啊啊啊啊,,,,摔!!哭!!
(5星)	到了警察杀警察这个案子的时候 才逐渐发现这部片子所要挖掘的真相就是那些被掩盖的黑暗肮脏。这两集还蛮不错的哇~
(4星)	陪审员一集印象很好，让我想起林达似乎也讲过
(4星)	近期非常不错的港剧。
(5星)	有意思
(5星)	这么吭爹的结局，我只能安慰自己是为了续集铺垫了！！！！
(4星)	相当推荐
(5星)	因为陈展鹏，再加一颗星~
(5星)	结局的确有点坑爹。大C真不应该死TAT
(5星)	喜欢这部剧，个个都很有爱
(4星)	总觉得马国明有点可怜
(4星)	律师又见律师~三星半
(5星)	TVB2011年最好的剧。。。
(4星)	越看越好看，陈展鹏好帅！
(3星)	结构人物都一般。。。情节也没神马新意。。。还烂尾。。。这是要闹哪样
(5星)	看到22集，从刚开始的3星升为5星，实在好好看。
(NA)	很久沒看過tvb的電視劇
(4星)	主角的感情没着落。
(4星)	几不错。
(2星)	五集弃
(4星)	推荐，马明和大C真登对，续集复活好咩！W、K、M演的很棒啊！NAT下次可以拍女一的戏了吗？？？配角卡斯很大！PS：马明最后一集的那一幕好心酸。
(5星)	适合我看……
(5星)	超好看
(5星)	Keith帅！情节揪心，今年看过最好的TVB剧集了。
(5星)	果然,感情线没那么多的职业剧就是好看一点~
(4星)	陈展鹏终于熬到男主角了！
(4星)	貌似当年TVB的小配角们都开始当主角了？还可以吧，情节不算拖沓，还是有点扣人心弦D
(4星)	前20集很棒，后5集有点多余，为虐而虐……大C死得好惨！
(5星)	很专业
(4星)	谦少爷那个案子有漏洞！那些警察变质前那个卧底成SIR已经在里边了，难道他们有未卜先知的能力？太牵强了。。。
(4星)	杨怡演的不错～
(3星)	额  俗套 凑合
(3星)	律师题材的片子，乏善可陈，大概唯一可圈可点的就是爱情没那么狗屁倒灶
(3星)	陈展鹏很惊喜
(5星)	原来陈展鹏可以帅成这样啊！！！360度无死角啊！！！都怪以前的奸角把他害惨了！！！！ 唐诗咏也好美！！！
(5星)	找到了老TVB的感觉，超赞！
(4星)	很不错的法庭剧~节奏快不拖沓，人物刻画很深刻，帅哥靓女各种不错！
(4星)	江洛文你很帅
(2星)	警匪片拍烂了就换个包装，越看越没意思
(4星)	刚开始有些抵触，因为我有一个标准，壹号皇庭，不过无谓比较，2011难得的好剧
(5星)	陈展鹏不错看
(4星)	女二悲催死了，不带这么玩的
(4星)	3.8星
(3星)	一般，不是很让人记忆深刻。很一般。
(4星)	整体剧本是今年TVB律政剧中比较出色的
(NA)	已经没欲望评分了
(4星)	陈展鹏挺好。
(4星)	黄浩然把自己演成了配角。很喜欢ceci
(4星)	3分［3.5最多］但是为马明和黄浩然加分啊啊啊啊啊啊！！！！！！！！谦少各种帅气！！！Alex可惜不是好人啊TAT 没有好结果啊！！！但是还是很帅啊［另外马明坏人不要卖萌行不行啊！！！］
(3星)	原来不是很久的剧，却给人一种他很老的感觉。。
(4星)	果然如F所說 案件都不錯 楊怡鼻子哈好看
(3星)	对白方面有下工夫
(4星)	不记得内容但是喜欢可以嘛
(3星)	比起剧情~更让我感兴趣的是康芷欣(杨怡)最后的选择~!
(5星)	近年难得的作品，没有让我跳着看，哈哈~~重温第七集，结尾处让人哗啦啦~~~
(4星)	算是不错了，虽然大C的死很可惜。
(4星)	凑活着看看，还行。
(4星)	到黑警为止的几个案子都不错，最后个又开始乱撒狗血了
(5星)	陈展鹏绝对超越了男一。。。
(NA)	只记得那等更新的炎热日子啊。。。
(4星)	【2011.？-08.15】拖了好久终于看完，原来最后Keith还是没有和Mavis在一起。恶人终究是有恶报吧，只是还是会为大C的结局觉得心痛。（来自“主号”08.15豆瓣广播）
(4星)	马明一出来气场就是强！！W很好K也很好真的很难选。。不过TVB也不能无耻到为了拍续集就哪个都不选。。
(NA)	大C....
(4星)	垃圾很少，制作精良，最后大C死得很可怜，杨怡表现很好，比TVB某些花旦演技好多了，故事情节也不错。最后的结局没有选择和谁在一起，也许是留悬念想拍续集，但是她的选择和个性是和我有点像，感触良多。好看。
(4星)	杀警案颇有新意，但收尾有点草，其他案子略为平淡，却从不同角度展现了律师、法官、陪审团几方在不同案件中的作用。喜欢看法庭辩论的部分，台词富逻辑性，切入点很妙。
(4星)	好剧。
(5星)	看得晚了，烈火是去年看完，但真相无论剧情还是演员都胜烈火一筹，除了最后大c的死稍微有点遗憾。两对配角，胖子和女警，小律师和为妈妈报仇的女生，是亮点
(4星)	通过这个才开始觉得TVB的律政剧不错，怒火街头完全不能比好么！
(NA)	黄浩然最帅
(4星)	不仅仅是律师打官司，重点在于还原事件的“真相”。很符合剧集的名字。很好看，妈妈也很爱。
(4星)	在最后一个案子之前，这几乎是几年来TVB最好看的律政剧。但是有续集不代表可以烂尾，漂亮的剧情节奏，合理的感情戏都去哪里了，虽然马明的角色出现确实太仓促，但本人的演技肯定值得商榷。此剧最大亮点是陈展鹏新一类的专业人士定位，比吴启华更多性格，比林保怡又更正经腼腆，完全可以朝这条路走下去
(4星)	最后案例很残忍啊，大C这样惨shi！ps:看完港剧的最后总结就是，本故事纯属于虚构。用很多偶然的“桥段”来深化剧情！哈哈哈哈，TVB的剧情确实容易被看穿！like女主杨怡！
(5星)	不错的剧
(4星)	陈展鹏终于当主角了，希望TVB能继续捧他，杨怡也变漂亮了，演员演得都挺不错，马国明的角色不喜欢
(5星)	为了正义 坚持自己的原则 错就是错 对就是对 这个世界没有灰色地带
(4星)	算是tvb最近相当优秀的剧了，法律相关是我大爱，陈展鹏是变帅了么..?大C好无辜...马明坏也坏的好可爱=。=
(5星)	靠谱的律政片。
(3星)	真的不咋地 纯粹看看
(4星)	喜欢这样的架构，不过手法还不纯熟。tvb加油
(3星)	美女帅哥拉点分
(NA)	我纯粹是来看杨怡的！！！
(3星)	虎头蛇尾
(5星)	太惊喜了！不得不感慨这是去年TVB颁奖礼错过的一部好剧！虽是冲着黄浩然杨怡来的，但发现陈展鹏都很赞！就是遗憾感情戏少了点，期待续集~
(5星)	康大状的气场很足，Keith有型有款，不以感情戏为重，法庭戏很精彩，配角看着养眼，绿叶发挥出色，相当好看的剧。真心喜欢这样的法律精神，疑点利益归于被告，宁纵勿枉。每个人都应该得到公平审讯的资格，律师更需要发自内心的维护公理正义~
(5星)	十颗心！！！
(4星)	结局算什么 = = 3p啊擦
(4星)	结尾斯巴达了
(4星)	难得出了个开头不落俗套的律政戏，最后还是三角恋收场……
(NA)	为大C感到难过：（
(5星)	好久没一追到底了
(4星)	蛮不错的片子，陈帅哥演的很好~~~
(5星)	我心中2011年TVB最佳剧集。
(4星)	近年来不错的刑侦剧~虽然从法庭角度~但是很吸引人~
(4星)	很正义
(4星)	还说这世上不是非黑即白的，我看你们的世界就是非黑即白的。
(4星)	中意杨怡  中意陈展鹏
(4星)	看完这个有一种想去当律师的冲动。
(4星)	会不会有2呢。。。
(4星)	我只是喜欢谦少和大C
(4星)	陈展鹏展现出了TVB常年跑龙套积累下来的演技，小小经验了一把，Ceci和Alex最令人唏嘘~虽然陪审团那一章节有抄袭12angry men的嫌疑，但是运用到香港制度倒还可以，总而言之，不错的剧~节奏把握得比较紧凑~
(3星)	一般般，只是现在的TVB山中无老虎。。。
(4星)	TVB的法律剧永远看不厌，男主很帅，就是没感，倒是杨怡是最漂亮的一次，也是自己最不讨厌的一次。
(5星)	很好看！最精彩的是陪审团判强奸案的时候。结局太仓促了。Keith大爱~大C也萌。尽管Alex害了大C，我还是为他的眼泪动容了。开放式结局，还是支持康刘。
(4星)	好喜欢黄浩然和唐诗咏~！前面都挺好的，就是最后啊
(4星)	太精彩了。。
(5星)	陈展鹏、、、
(NA)	很喜欢刘思杰，突然发现这么多年我喜欢的都是同一类人，还有Alex，坏到没有底线，我也没办法恨他，剧情就不评了
(4星)	TVB的律政剧还是不错的
(4星)	马国民亮了 剧情也非常喜欢 庭审的时候很激励
(NA)	看过这之后忽然觉得律师好冷漠，世界好灰暗……
(4星)	不追剧了 开始做正经事啦
(3星)	感觉剧情不是那么吸引人，港剧套路——出事的总是警察、律师、医生自己的家人朋友，情感戏薄弱——两王一后居然完全不来电没有任何结果，稍微成型的一段居然女主翘辫子了。。。其中一出陪审团的戏，完全照抄五十年代老电影《十二怒汉》的桥段啊。。。
(4星)	如果没有怒火街头，这部戏应该也能在去年的颁奖典礼上出点风头的。
(2星)	和《波斯顿法律》很类似，没喜欢那个片子，所以同样也不喜欢这个
(4星)	挺不错的，情节减得比较紧凑，也几乎没有什么大漏洞。觉得谦少爷的台词基本上都是喝咖啡，吃饭，乐死了。mavis绝对是女人喜欢的女人类型。
(4星)	扣一分是因为剧情拖沓
(4星)	杨怡气场强的！
(5星)	真相完全秒杀怒火。
(4星)	杨怡的鼻子一天比一天翘啊= = 
(4星)	拍了这么多律师题材的片子后，我觉得要在案件上出心意很难了。主角无疑分两种，要嘛专门伸张正义，要嘛为了前途走偏门。这部剧让我比较喜欢的一个地方是穿插介绍了很多小的细节，而且个个都是资深跑龙套。比如陪审团那一part。坐在那儿一看就知道誰是来打酱油的誰是有戏份的。
(5星)	真心喜欢陈展鹏，但是也不需要让黄浩然一会儿爆头一会儿中刀吧！TVB一贯的再挂一个莫名其妙的小人物，没人死是不是不爽啊
(NA)	tvb看多了不消化阶段
(5星)	欣赏陈展鹏~
(3星)	前几集不错~~~~后面。。。
(3星)	太欣赏Mavis了，独立，坚强，美丽，清楚知道自己要什么，，，
(5星)	尺度很大
(4星)	蛮好看的，尤其是黑警那一段，看的我触目惊心啊~PS：黄浩然跟张智霖绝对的神似咩~
(5星)	难得吸引我看下去的一部电视剧。。。
(4星)	还不错啦~
(5星)	爱情的戏份不多，最后一个故事实在是为大c可惜啊
(4星)	结果什么的太好猜了~最后一集感觉怪怪的
(4星)	突破就在于没有了扯破布的感情戏，好好地在说案子。
(4星)	难得一见的好剧~无比写实 陈展鹏超级有腔调啊 难得的很少几乎没有谈情说爱的TVB 感觉比怒火街头嗲多了 哎 可惜怒火更符合大众口味啊
(4星)	陈展鹏！！！
(5星)	陈展鹏好帅~~~~~
(4星)	很有看头的剧啊，除了律师角度还有陪审团角度，光从电视剧上看香港法治的确比大陆更加透明民主啊，前面很有味道，后面有点拖沓硬凑，光看前面本想给五星来着
(5星)	还好没有太虎头蛇尾。每个人都有进步。
(5星)	近年来tvb难得有水准的作品，情节和节奏把握都很好，选角也不错，暧昧情绪很到位，结尾仓促了，个人喜欢mavis和keith在一起~
(3星)	看来看去，只有港版十二怒汉那场戏最好看。
(4星)	N年没完整的看TVB剧，这是除外的一部。
(4星)	过年期间发现的好剧，对人性刻画的入木三分。只是结尾拖沓，查完黑警察就结束，最后5集真是狗尾续貂
(4星)	【《真相》，在《怒火街头》的攻势之下，使这部同样是律师题材的片子变得不温不火，也在万千星辉上颗粒无收，应该是演员效应，郑嘉颖和胡杏儿两张脸完胜杨怡的一张。不过我想说，《怒火》我没看下去，《真相》，我看完了】
(5星)	接受現實……
(4星)	喜欢这个戏的她还有陈展鹏，怎么陈展鹏不多拍一些片子呢~挺有型滴
(4星)	情节不错，感觉没那么老套，就是结局太匆忙了些
(3星)	我喜欢陈展鹏···
(4星)	每看完一集看到片尾瞬间就醒了- -
(4星)	最喜欢的杨怡(^_^)
(4星)	真相只有一个！
(3星)	抱有太高期望了，很一般啊，平平淡淡的，后面有点点精彩了，但还是很一般啊
(4星)	XZ.
(5星)	难得的新阵容  陈展鹏很好
(4星)	keith,clayton,mavis,wallace.......觉得TVB剧的英文名越来越好听了....遥想当年看《刑四》，每次男主深情的看着柔弱的女主说：“man”我都会立刻出戏.....屡试不爽...
(4星)	挺喜欢~
(3星)	对演员不怎么感冒。
(3星)	暑假看着看着居然看到了寒假。。。陈展鹏居然扶正了我shock到了，有了朱敏瀚和黄嘉乐，完全忽略男1男2男3男4男5~~女主只有唐诗咏还符合我口味。Danny的感情戏太冗长，其他各位的感情戏也都很langweilig。谭sir的案子比较精彩~田新蕊在最后几集里面很可爱！
(NA)	比法证好~法证太装B~而且陈展鹏的戏太少=w=~
(4星)	虽然Alex出场晚又是个坏角色，但是我从看他第一眼就深深的喜欢上了他~~~
(5星)	好看好看  不过现在才有时间追嘛   正好心情不好 那就看剧咯
(4星)	马国明的反派角色相当精彩。
(4星)	喜欢香港律政剧
(4星)	大c死的好惨啊
(4星)	大C竟然就那样死了？？？？？里面感情的发展也太奇怪了吧。。。不过最后Alex被人捅两刀真的蛮痛快的，法律不能让人大快人心的事情或许需要用另一种方式去解决。。。发现现在看的片子越来越倾向于成熟化，我是职业西装控，哈哈。。。
(4星)	好看哒！相比天与地这类型的，还是爱警匪片侦探片法医片律师片
(5星)	一改以前的剧本 王心慰的剧还是值得一看的
(4星)	近期看过还不错的港剧。
(4星)	其实最喜欢的是黄浩然，生活中的真相往往会比这里更复杂，希望有很多很多正义充满这个世界。
(4星)	陈展鹏好帅
(3星)	因为同事的推荐，开始怀念小时候的港剧~~这部剧还可以，呵呵，但是，依然还是没有小时候追港剧的那种急迫心理~~
(4星)	大C好可怜的说。。。
(5星)	我好爱大C啊！！！！泪奔！真的很好看的电视剧啊！！！我是为了杨怡来看的 但没想到 所有的角色都这么喜欢 饮料仔 肥仔还有Danny 马国明~~还有两大男主角~都喜欢的啊~没想到男主这样的角色也是很有魅力的嘛~当然公子哥也是俺的心头爱~~~以及演员们的演技真心好啊~~~而且 居然没
(4星)	很多案子了结得有些快。好吧。我承认我是为了看陈展鹏。
(4星)	1杨怡在本剧中的形象=职场女性理想形象 2 这部戏毁了我深爱的马国明== 3陈展鹏略帅 
(3星)	这个真是有失TVB编剧的水准 故事情节很不紧凑 常常会有看不进去的状况发生
(5星)	除了最后几集之外 剧情紧凑 围绕主题 可以看见模仿十二怒汉的桥段 喜欢黑警那段 是部好剧 
(5星)	还挺专业的！不过老是说踩线，也还好吧！
(4星)	没想到一众配角演的电视剧还意外得能看！
(3星)	忘了···
(4星)	最后一个故事的结局太悲惨了
(3星)	感觉他们不越界去调查案子 这部剧就拍不下去了~
(5星)	长见识。。
(5星)	以律师的视角侦查案件、马国明的出现又将剧情推向高潮。
(5星)	两个男主角我都锺意
(4星)	总体是精彩的，拖沓是难免的。
(5星)	是我今年最喜欢的电视剧啦！！！好中意mavis啊！！！励志成为她这样的人啊！！！虽然最后两个都不选的举动让我微不爽……keith也好喜欢啊！！！不过结局里花那么一大段讲james真是搞不懂为什么……
(4星)	为了陈展鹏还是黄浩然是男猪脚纠结了半天，在看的过程中，没有想到，bingo都唔是...
(4星)	庭戏吃重才是王道！
(3星)	大c这么好的人居然死了。。。结局还是没说康律师到底和谁好了。晕。。。
(3星)	看了10集耐心到了极限
(4星)	大爱谦少。。。。Keith也不错。。。。
(4星)	还是烂尾……TVB剧什么时候能改改这个毛病。（PS：Keith真是我的菜。）
(4星)	好看哦 马明出场不要太帅啊！！！！不知道还有木有第二部了喂
(5星)	暑假的时候，一连看了怒火，真相题材相似但是却感觉很不一样的片子。这里很喜欢陈展鹏的角色，剧情很好，里面的感情戏如果能更明朗点就更好了。
(4星)	黄浩然好帅。。
(3星)	中途放弃。
(NA)	这部比《怒火街头》好看啊！
(NA)	看的我眼泪汪汪= =
(5星)	大爱 黄浩然和陈展鹏，终于担正了。
(4星)	最喜欢大C和马明那一对
(4星)	挺有意思的，马国明居然这么晚才出场(﹁&#34;﹁) 
(4星)	┭┮﹏┭┮结局让我小纠结了 为嘛大C会死啊 三个人之间的爱情还是无果的 不过整体来说还是值得一看的
(4星)	缺点是男主角长得有点丑
(4星)	正义女神蒙上了双眼才会看到公平。
(3星)	为什么大家都去喜欢那个mavis，keith跟他徒弟在一起不是很好……而且，好像除了第一、第二男主角之外，再出现一个年轻有为的青年才俊，都不是好人……
(4星)	Keith和Wallace你选谁？ 
(4星)	陈展鹏好帅~~~
(NA)	没心思看下去。。。
(3星)	马明和唐诗咏演的很出彩
(4星)	真心希望刘大状和康大状好了。。。最后的故事跟他们是律师的关系不大，所以扣了1分。。。
(4星)	三星半吧。前面的故事有点太平淡不是我喜欢的风格。黑警那段看的气死人了都快。
(5星)	看连续剧，不仅仅是连续剧，还看其中的法律精神。如果我们大陆能有这样一批人成长的土壤，多好啊！
(4星)	两个优秀男青年，一个魅力女青年确实两个都无法选择。爱情的成分多少恰当，关于陪审团的那段也很有趣，是部有主题有内涵的好剧。
(4星)	庭审一场接着一场，除了最后大家都是好朋友这种从冲上云霄开始就不喜欢的戏码，其他的都很喜欢~~~~
(4星)	就这个剧情算近几年港剧里比较给力的了 为啥名气就没接档的潜行狙击大呢= =一边看一边还能清楚了判例法系抗辩制下的法庭程序..没白学= =很具体啊!而且没有乱七八糟谈情说爱的什么来干扰视听 案子接二连三的非常紧凑 脱离了港剧必须HAPPY ENDING的特点..我居然两天就看完了!!!
(4星)	喜欢最后一个故事  但猪脚们最后的结局怎么那么仓促。。。。
(3星)	三色台2011年出品的最爱，其他都好rubbish
(4星)	暑假的回忆~~
(3星)	没觉得有多好看
(4星)	前边看着有点闷，后面好点儿，突然挺喜欢唐诗咏的......
(4星)	刘大壮在剧里很有味道，背带裤造型很man很挺拔，气场也完胜谦少啊。PS:话说浩然哥演戏真的很僵硬，表情和肢体都很机械，而且脸上干瘦干瘦的，总是不是精神十足的样子，杨怡虽然长得不是很乖，但是气质很好，非常适合职业女强人的感觉。结局比较烂，案子总体还可以。
(5星)	很好的法律片，值得一看
(4星)	黃浩然真的好像張國榮!
(4星)	杨怡越来越漂亮了 还不错 开始喜欢唐诗咏
(5星)	恰当的温暖，01TVB最好的片，没有之一。
(4星)	中间废话有点多....
(4星)	这部很给陈展鹏黄浩然加分
(3星)	打发时间。不耐看 也不够帅 只好看女人了。
(4星)	很多关于资本主义法制的东西都很新鲜
(3星)	律师案情片，中段和偏后段好看，但也有烂案子。不用猜太久就知道凶手。唐咏诗死掉还是满可惜的。
(4星)	看到陪审团那一段，感觉好像是香港法庭程序普及片。
(3星)	wallace
(5星)	是2011為數不多的好看的劇，可惜烂尾。
(NA)	诚意之作。有几个案子很有意思，明显有段是模仿了十二怒汉，不过一向对tvb的拿来主义没有恶感，可惜庭上辩护和结案呈辞不如以前的类似剧集精彩。马明如果出现的更早点可能感情不会那么突兀。几个配角出乎意料的可爱。
(3星)	就为了看两眼马明，黄浩然不错，陈展鹏也很好，但是不喜欢杨怡
(4星)	真心不错的剧，就是把黄浩然换掉就好了，一点没有公子哥样
(4星)	案件真得比law霸的好看太多了吧。。。
(4星)	被最后一集雷翻了……烂尾片
(5星)	够专业，比怒火街头要好，
(1星)	世界上最奇妙的事，无非于有人以拉屎为生，有人以把屎装到盘子里上桌为生，还有人津津有味地嚼啊嚼
(5星)	好。！很好。！非常好。！
(5星)	喜欢陈展鹏更喜欢杨怡
(4星)	结尾有点儿戏，建议只看到杀警案结束，后面的很凑数。陈展鹏演得真好，法证3里面怎么看都是个超级大配角，没想到扶正成主角以后气场这么强大，看来角色很影响发挥。
(4星)	节奏明快、人物鲜明，案件给力，法律精神贯穿始终，虽时有人物踩钢踩线但也在情理之中，有些新意的正统律政剧，比之草根风的怒火是另一种口味
(5星)	从2011年看到2012年才看完，真心觉得比怒火街头好看多了。除了结局那个U盘太扯淡之外其他的都OK。
(4星)	律政剧一向很难把握尺度，要么太小情小爱要么就太刻板，【真相】展现了一种公正的法律精神，我觉得此剧最出彩的片段就是一个经常随大流的家庭主妇在成为陪审员的最后，面临多方质疑却仍然坚持自己的看法，其实法律精神就是这样，要想问心无愧？就首先对得起自己的良心。
(4星)	对结局大C死了很不满
(4星)	好希望Mavis和Keith在一起
