http://movie.douban.com/subject/1790376/	巴黎恋人 파리의연인
(4星)	 哇 这个老男人的感觉 虽然不帅 但很有味道 喜欢开始他们跳舞那段！            
(4星)	 妈妈喜欢。            
(3星)	 一般,跟着电视看的~但是朴信阳绝对是实力派~            
(5星)	 사랑해도 될까요?            
(5星)	 曾经有那么一段时间 疯狂地找关于《巴黎恋人》的一切...            
(3星)	 导演和编剧那个其实真是一般中的一般，每次都打明星牌，切~            
(5星)	 巴黎恋人朴信阳            
(NA)	 那时侯太喜欢李东健了~            
(4星)	 相对来说还算不错。虽然大情节上一贯的老套，小细节上一贯的没什么新桥段。。            
(NA)	 灰姑娘            
(4星)	 成熟多金长相还可以的大叔            
(NA)	 其实我不喜欢里面的女主角            
(5星)	 啊啊啊~~            
(5星)	 你在哪里都是无敌！            
(3星)	 朴信阳 是看下去的动力            
(5星)	 真正的童话            
(1星)	 一看到女猪，算了，我还是什么都不说了，再加上个男猪，这样的JP组合你叫我上哪去找            
(4星)	 唯一完整看过的韩剧~            
(3星)	 女主ws,男主平庸。            
(4星)	 音乐真的不错            
(4星)	 向往啊！！！            
(NA)	 30岁后的男人依然为爱奔走，两个人的性格互补，彼此为爱理智、疯狂过。            
(NA)	 在巴黎烧钱的感觉真不错~            
(5星)	 会影响我一生的。。。            
(3星)	 怎么这么多人喜欢这部，我就没感觉呢            
(4星)	 让我做梦的片子。。。            
(3星)	 韩剧            
(5星)	 男主角不帅，真的不帅，可就是喜欢也~~嘿嘿            
(5星)	 en 2005            
(NA)	 挺好的～            
(4星)	 的确是灰姑娘的故事，只出现过两次法语的片子            
(5星)	 朴信阳，成熟的魅力            
(3星)	 腔调啊            
(NA)	 喜欢的            
(3星)	 超级喜欢李东健!!            
(4星)	 妈妈很喜欢看哦！            
(NA)	 那男的实在太丑了。。            
(5星)	 喜欢这样的恋爱            
(3星)	 又是灰姑娘的童话...还是被吸引了..看了前面5集.后来搁置了一段时间,就没有心情看下去了..            
(3星)	 老实说，这部剧很多人都说好看，但我真的觉得只是还好吧！            
(5星)	 看了很多遍，很喜欢的一部韩剧。喜欢剧中的主人公！            
(4星)	 喜欢修赫，东健很帅            
(5星)	 里面的女主角就是我最理想的女孩。            
(NA)	 男主角有点难看            
(NA)	 女主角长得真一般般，还扮天真。真可怕            
(2星)	 中央八套，电视剧频道—妈妈的最爱            
(NA)	 我喜欢金贞恩~~            
(4星)	 还是会心动吧～            
(NA)	 我最喜欢的一部电视剧            
(3星)	 结尾超级烂            
(NA)	 喜欢这个故事，喜欢这个结局            
(NA)	 这个女人整容整的特别可怕            
(4星)	 D            
(3星)	 电视台里断断续续的放着，也就跟着在周末下午断断续续的看，还行，总算这部里没死人（至少我看的部分好像没死）；还有配音版可是比韩语版让人能接受多了            
(NA)	 当年很迷恋，但是结局让我很不爽            
(3星)	 朴信阳属于少年回忆了            
(1星)	 3个主角都相当难看……            
(2星)	 比较讨厌里面女猪脚怪异的三角形状的眼睛            
(NA)	 我想如果可以，我会早点学法语去巴黎。            
(4星)	 呵呵呵呵。。。。呵。。。有钱就是好            
(NA)	 只因为朴信阳。女主很讨厌            
(4星)	 我喜欢洙赫            
(4星)	 不错            
(NA)	 喜欢朴信阳            
(4星)	 这样的男人才够酷。不喜欢的女人统统闪到一边。            
(5星)	 巴黎的风景很漂亮呢            
(4星)	 哎 我爱的类型怎么都是这样  反正男主角是这类成熟魅力可爱善良深沉.. 不知道怎么说,这类我都爱啊            
(5星)	 经典中的经典-- 希望和秀仪谈恋爱，和社长结婚．            
(4星)	 难得一部我觉得唔错既韩剧啊!            
(NA)	 从此迷恋声音和影像带来的回忆.            
(5星)	 ``            
(3星)	 满足你灰姑娘梦想的剧。            
(3星)	 看了之后就啥也没了            
(5星)	 我惟一喜欢的韩剧            
(4星)	 让我与法国结缘~            
(3星)	 演员没选好……            
(3星)	 和室友看得好ＨＩＧＨ啊            
(3星)	 陪老妈看的            
(NA)	 超级好看```强烈推荐```            
(5星)	 喜欢的不得了~狂迷朴大人            
(4星)	 喜欢韩启柱!!            
(3星)	 总是没看到最后一集......            
(5星)	 不管别人怎么看，我真的很喜欢，喜欢男女主角~            
(2星)	 片子太长了……            
(5星)	 名符其实的收视冠军！            
(3星)	 ．．一般．．            
(NA)	 还是很喜欢            
(3星)	 有点神话了            
(5星)	 拉着老妈一起看   呵呵感觉好好哦~~~~            
(4星)	 女主角像弱智~喜欢男二号~            
(NA)	 有味道，继续看            
(NA)	 谁说老女人没人爱？            
(NA)	 灰姑娘海外奇缘            
(3星)	 那么老阿，偶第神阿            
(3星)	 老男人与老女人的爱情故事。            
(4星)	 唯一看的韩剧，还不错            
(5星)	 我最喜欢的韩国电视剧!超棒.从剧情,演员,音乐,服装,还有背景都喜欢!            
(4星)	 奢华的选择            
(4星)	 看了好几遍,越来越喜欢,特别是修赫            
(3星)	 音乐和女主角不错            
(5星)	 坚定不移地走下去            
(2星)	 灰姑娘的故事，唉！千篇一律，尤其是韩国的。这回没让女主角得什么病死掉还算意外            
(4星)	 老女人和老男人的故事！            
(NA)	 我就是看这些剧成长起来的，能不脑残么。。。            
(NA)	 应是看过，疯子竟然忘了后面的剧情。看《女人的香气》香气眼睛男。            
(NA)	 第一二集很一般啊 没什么特别吸引人的地方 女主角的性格和《on air》里的徐编剧类似 细节上也有粉红领带 总之 不看了~            
(NA)	 又是看了一半看不下去……            
(4星)	 其实我不喜欢戴眼镜的            
(4星)	 其实看的时候有一搭没一搭，但是游泳池那段脑海里总归有的时候会蹦出来。。。喜欢朴信阳演的那个角色的性格。。。            
(5星)	 最美的童话            
(3星)	 女主真的已经过了装纯的年纪了……很久以前看的，剧情都忘了，看来应该是一般            
(4星)	 韩社长啊，爱死你，朴信阳最好也是最帅的角色了，呵呵，妈妈也很喜欢，说这是她最喜欢的韩剧了。            
(4星)	 因这部戏开始憧憬巴黎，开始喜欢朴信阳，对man的男人由心钦佩。            
(NA)	 我还看了蛮多韩剧嘛 嗯哼            
(3星)	 陪妈妈看的 妈妈爱死这部剧了 我反而觉得一般般            
(3星)	 也算经典之一~            
(4星)	 李东健是我第一个喜欢的韩剧男二号。            
(5星)	None
(2星)	 不喜欢金正恩。            
(5星)	 我最爱的一部韩剧            
(3星)	 那时候的韩剧都是一个套路滴            
(5星)	 这是我看过的最好看的韩剧~既可以让你开怀大笑，也可以让你潸然泪下~情节老套，但是引人入胜；女主角不够漂亮，但是很可爱，男主角不够英俊，可是很完美~上大学之前的那个暑假看得如痴如醉，现在也还念念不忘~            
(3星)	 【纪念一个属于自己的年代。那个年代我也疯狂的看过这些韩剧。现在几乎没兴趣的东西】            
(5星)	 深爱朴大叔            
(2星)	 男的丑             
(4星)	 因为男女主不合第一眼缘差点错过的我喜欢的剧            
(4星)	 以前一度痴迷于这个.......            
(3星)	 你在夏娃的诱惑里真的很有魅力。。但是这里就变兔子了。。@_@。。            
(NA)	 经典韩剧 心疼男二呀            
(5星)	 金正恩那眼睛美的。。。。            
(3星)	 老套老套            
(5星)	 那时候好喜欢朴信阳……然后因为是大叔然后觉得好有爱            
(3星)	 一同学看完以后强烈推荐给我看，理由是你看看钱有多重要。            
(4星)	 严格意义上看的第一部韩剧，蛮不错，喜欢李东健            
(4星)	 可能是看过遍数最多的韩剧            
(4星)	 为了结束曲的“我可不可以爱你”还有我已远去的15岁,,,,            
(3星)	 金正恩的尖下巴~╭(╯^╰)╮            
(4星)	 很浪漫的一部剧，初中时候的回忆~            
(3星)	 我觉得此剧只需要看开头巴黎的情节，然后直接跳到最后一集。事实上精华也就在这几集中。            
(3星)	 只记得朴信阳大叔了...            
(5星)	 大爱            
(3星)	 女主角还是挺可爱的~            
(3星)	 现在想起来 女主的脸有点老、、、、配乐依旧不错            
(4星)	 当时真的还蛮喜欢李东健的╮(╯▽╰)╭            
(4星)	 当年可是租碟子看的，还是每周去租~~估计和现在电脑追局差不多~~同时期的浪漫满屋也不错            
(5星)	 喜欢            
(4星)	 灰姑娘的故事            
(5星)	 看了不知道多少遍。想想觉得比蓝色生死恋还经典。            
(4星)	 很喜欢女主的笑 很美            
(4星)	 灰姑娘呀灰姑娘。            
(3星)	 很久 很久之前 看的            
(5星)	 当年的大爱~            
(5星)	 第一部完整看下来的韩剧 还记得高中毕业的那个暑假 一个人坐在电脑前随着故事发展一会儿笑一会儿哭。现在重新看看 觉得剧情不免矫情 可是还是很喜欢 因为两位美好的男主角 爱笑的女主角 动人的音乐 还有 深藏在每个女孩子心底的 灰姑娘的梦。。。            
(5星)	 当年很迷的韩剧~            
(5星)	 不知道是太小还是太纯，看的时候哭得稀里哗啦的。            
(5星)	 每个女孩子的灰姑娘的梦。            
(5星)	 结局挺有创意的~男猪虽不好看，但是讲究的是人格魅力啊！            
(NA)	 这女猪脚动不动就哭啊！            
(3星)	 一度很喜欢呐~音乐也不错~那就继续NAIVE吧~            
(5星)	 演技不错            
(NA)	 剩女灰姑娘~            
(5星)	 跟我一起生活吧，不要想得太复杂，不用想别的，如果你不好意思说的话，我让你选择：一、同意马上结婚；二、就算不同意也要说同意，然后结婚；三、如果需要时间考虑，就给一天时间考虑，然后再结婚，选吧......”——《巴黎恋人》            
(4星)	 这个也挺喜欢的 而且挺心疼李东健的            
(5星)	 初中的时候看了前2集，之后开始发疯的去看。一个人留学的感觉 遇到了国人的亲切和叔侄之间的羁绊、、、、、即使我离开 我还是爱你            
(3星)	 我看过！！我当时居然还觉得男主角很帅！！！！自戳双目(@﹏@)            
(4星)	 这部剧很喜欢！            
(5星)	 我的最爱，看了7遍，跟别的韩剧根本不一样            
(2星)	 单纯觉得男主很胖啊。。女主老是睁大眼睛我好想打她。。            
(3星)	 这部剧拍的早，我看的太晚，所以感觉一般吧            
(4星)	 很老了。。。            
(3星)	 男主好丑。。。            
(5星)	 太！好！看！了！！！            
(5星)	 05年看的            
(NA)	 原来胖胖的男主角也很有爱啊，小时候看过的韩剧之一。            
(3星)	 這部片子，嗯，還算可以吧，不算是我滴菜，不過金正恩還蠻舒服滴            
(2星)	 女主怎么那么假。            
(NA)	 这部电视剧我暑假里看的，当时追的很迷恋。这样的大叔谁都爱，但是我更爱东健。很长一段时间以来，他跟韩智慧是我最喜欢的一对人儿。            
(4星)	 必须看完整第一集才能爱上朴信阳。不然只会因为以貌取人而错过这部片子。            
(4星)	 我妈最爱 看久了觉得 男主真可爱            
(5星)	 其实无论别人怎么讲男主丑，女主丑，剧情老套等等等，这都是我第一部爱上的韩剧~~            
(NA)	 灰姑娘的故事            
(4星)	 喜欢李东健            
(5星)	 朴信阳            
(5星)	 记得当时灰常稀饭,歌好听            
(NA)	 不愧是收视冠军的剧……男主演技那挂的~            
(3星)	 好好的剧，开始的时候再美好再夺人眼球，几集以后就成了棒子式拉大锯扯大锯了，哭哭哭，一直扯到最后一集。唯一的印象是女主的粉裙子真漂亮啊            
(2星)	 金正恩长得不像灰姑娘，老。            
(4星)	 有味道的大叔。。。            
(3星)	 对金正恩一直不太喜欢，直到去年的我是传说才对她彻底改观。            
(3星)	 啊。话说，这男人难道很帅吗？？？？？我肿么一点都不觉得。。。。。            
(4星)	 不知道为啥我觉得这剧不错阿。。            
(4星)	 我是大叔控= =当时因为什么来着，就为了看面无表情的大叔和漂亮的姐姐= =            
(4星)	 又是部经典...            
(NA)	 完全是为了李东健才看完的呀~以前看的时候就想为什么一个水桶腰加大饼脸的男人可以当男主~            
(4星)	 当初很喜欢            
(3星)	 那个男主，要多丑有多丑⋯⋯真不知道我当时是则么把它看完的。            
(4星)	 虽然从这时开始的你便是我不喜欢的，但是这还算后来烂片里面凑合看的，整几次容还是很美的。            
(3星)	None
(3星)	 跟爸爸妈妈一起看= =            
(1星)	 男女主角都丑爆了好么？剧情狗血的编剧可以剖腹了好么？韩国人的法语发音太恐怖了好么？            
(3星)	 瞄过几集~~            
(3星)	 男主角太丑            
(5星)	 我所看过的韩剧里最棒的一部，没有之一！            
(4星)	 喜欢里面的歌~            
(3星)	 灰姑娘剧~~中学放假万般无聊时候换台看着这个也就顺着差不多都看完了，没有一般韩剧里的帅男美女，人物性格确是挺鲜明的。            
(3星)	 不喜欢的故事            
(3星)	 虽然剧情狗血，虽然男女主不美型，但是依然不可否认它是经典的事实。            
(2星)	 大叔和李东健你选谁？不好意思了大叔。。            
(3星)	 挺早以前看的了            
(4星)	 貌似从这部剧开始，女的都找大叔了的吧            
(4星)	 喜欢女主角，可为什么男主角长这样- -            
(5星)	 很美很美 音乐与故事 朴信阳金贞恩李东健的完美组合 堪称韩剧的巅峰之作            
(4星)	 我咋这么喜欢看这部            
(4星)	 属于韩剧中的一个经典吧。好多年前看的。            
(4星)	 童话爱情故事             
(3星)	 断断续续的看了一些……没什么感觉……            
(3星)	 看到后来实在看不下去了 韩剧就是让人着急上火            
(2星)	None
(3星)	 就是很多因素轰动一时。            
(NA)	 2005.12   ~2006                                          
(NA)	 蛮喜欢的，歌曲也很有感觉~            
(3星)	 补看一下。            
(3星)	 很早之前看过的，只觉得女主的盘发好好看            
(5星)	 姜苔玲是我目前看过的韩剧觉得最美好的女子之一，坚强，美好，摆脱了以往的灰姑娘只有善良的传统样子，里面的爱情很棒，想要成为像姜苔玲一样帅气的女人            
(3星)	 要是男二能跟女主圆满了多好啊            
(4星)	 清清淡淡~挺好~            
(2星)	None
(3星)	 匪夷所思的。高一暑假？            
(4星)	 法国式的爱情            
(2星)	 金正恩整的太残不忍睹了。            
(3星)	 为朴信阳的钢琴和两个人的喷泉            
(4星)	 当年很喜欢            
(5星)	 第一次看的时候就很心动            
(2星)	 大叔和大婶的装嫩爱情故事..            
(3星)	 有首歌特好听。            
(4星)	 朴大叔的魅力难挡！PS：李东健老是悲催男2的命            
(5星)	 哥哥的断魂小酒窝~！~！吼吼~！~！~！            
(3星)	 电视剧是一种叫做沼泽地的东西            
(5星)	 可能那段时间爱做白日梦吧，恰好符合了我的想象            
(4星)	 男主很不同，女主很难消受~~情节尚可            
(2星)	 不说了，陪老妈看的狗血韩剧-3            
(2星)	 实在是不喜欢他俩⋯⋯            
(4星)	 最喜欢的一部韩剧了。韩国人讲话的方式总是很奇怪，瞪眼，嘟嘴，挺难接受。但这部感动我的地方挺多。比如女主角摄影，录音，写字的习惯。有编剧自己的影子吧，她编的另一部《On Air》我也挺喜欢。最后一集，她问；我们是不是曾经见过。我只当这是个新的开始。相信剧本以外的故事也同样美满。太不现实，            
(4星)	 电视剧的配乐仍然记忆犹新，当初老娘在追这个剧，我周末回家也顺带看了。            
(3星)	 主题歌好听  故事老套            
(3星)	 这个片儿 当时感觉还不错。由于女主角在向日葵，爱上女主播里都出现过，，各种风格。恩  觉得她能抗起不少角色。挺好            
(4星)	 还不错吧，其实应该是3星半……因为我觉得女主不够好看            
(2星)	 无法坚持看完……            
(4星)	 就让我做块胶布，            
(4星)	 女主是爱上女主播里面的哦            
(NA)	 某一个暑假，准时守候电视。。            
(3星)	 男主和女主也太老了吧。。。。。。            
(NA)	 这女人太老            
(NA)	 喜欢男二            
(3星)	 突然想起看过            
(3星)	 追过中文的，实话实说女主整容整地......让人无语呢            
(4星)	 话说我以前一度喜欢看韩剧呢！            
(4星)	 更喜欢前面部分            
(3星)	 当时觉得男一男二各有味道啊~            
(4星)	 以前大爱            
(1星)	 极为做作的女猪脚            
(NA)	 非常喜欢这部韩剧，结局真的出乎人意料，虽然依旧是灰姑娘变公主的情节，但是这部剧却很励志，无论是爱情还是对生活的态度，再加上女主人公和男主人公经典的幽默对白。都给人耳目一新的感觉，喜欢苔玲的坚强和乐观喜欢韩社长的温柔和别具一格的处事风格~~            
(3星)	 从这部剧开始,沉溺于各种fairy tale各种daydream~~~~~狗血!!!            
(4星)	 李东健。。            
(3星)	 看过 某些名场面还是比较深刻的 总体印象不深            
(4星)	 当年姐也疯狂追得一部韩剧，继《对不起，我爱你》之后            
(4星)	 如果这一切都是假的。那么我真庆幸可以与你的相遇。            
(2星)	 男女主角都丑之。            
(3星)	 跳着看的，剧情一般一般，男女主一般一般            
(2星)	 实在觉得这个男主不怎么。。。。。            
(5星)	 还不错！！！！剧情还是蛮有惊喜的！            
(4星)	 看了两三遍了，，很喜欢的片子，就是灰姑娘的故事嘛             
(3星)	 无感            
(NA)	 韩剧嘛，哎            
(NA)	 一直都爱那首主题曲            
(4星)	 男猪不帅啊            
(3星)	 朴信阳还是有点魅力的，好还吧，记不大得了~            
(3星)	 电视上看的            
(5星)	 可爱的金贞恩呐            
(4星)	 好像当时爱上了男主角的眼泪            
(NA)	 我不晓得为啥子我当时多喜欢男主，但是他真的不帅。。。            
(4星)	 男女猪脚真不是我的菜啊，还是被感动了，特想要台立得拍            
(1星)	 不想多接觸            
(4星)	 因为这部剧迷上了李东健            
(5星)	 韩启柱只能在电视剧里看到，生活中哪有这么完美的男人？或许刘在石算一个            
(5星)	 跟着老妈一起看            
(4星)	 女主角初看一般但是越看越有味道的那种，跟爸爸看了2遍了，不错            
(5星)	 我最喜欢的韩社长~~            
(NA)	 我是被动啊被动啊……那时候我还小  是我舅妈在看啊……            
(NA)	 我是我伯母地大爱！            
(5星)	 非常棒的一部剧，偶电脑中永久保存的剧集。最爱韩社长。            
(5星)	 2004年韩国的收视冠军，刚开始看觉得蛮一般的，特别是几位主演都挺老的，但是越是看到后面越是觉得精彩，正应了那句话，“姜还是老的辣”，朴信阳的演技是好呀，李东健一开始那颓废样，但到后面真得帅的不得了呀。。后来电视上也放了，放一遍我看一遍。            
(4星)	 绝对经典啊~             
(5星)	 女主很漂亮。            
(3星)	 想买拍立得...            
(NA)	 这是我还是高中时看过的一步片子，那时不懂爱情，那时期待巴黎恋人般的恋情，那时迷恋断魂小酒窝。今天当所有期待和迷恋都已远去，我知道有些东西不能太看重，相濡以沫才是重要的，然而心底总有个童话梦，我知道有一天也会实现，所以……依然期待~            
(NA)	 还是最喜欢这个男的            
(2星)	 第一部没让我流泪的韩剧。女主表演太费劲了一举一动好做作，好夸张。李东健这个时候刚出道吧。虽然稚嫩，但真诚感人。远远超过男主。看他的时候，不快放。            
(4星)	 貌似这是当时我最喜欢的一部韩剧，也貌似是从这部我是真正完整看完的，所以很喜欢他们。...喜欢韩启柱，喜欢姜苔玲，尤其喜欢她在跳舞时穿着粉色晚礼服，头发盘上去，跳舞时候的样子，当时觉得好美。...            
(5星)	 永远不会忘记这部剧  这几天重温了一次 还是哭的不行 给我一个尹洙赫吧 真的，求你！！！！！            
(3星)	 那个韩剧风靡的年代            
(4星)	 很早期的一部韩剧啦~~~~            
(5星)	 我的第一部韓劇 哭啊！！！            
(4星)	 国字脸和长脸的爱情特别有爱 纪念那些看韩剧不知日夜几何的岁月            
(5星)	 这是第一部我喜欢的韩剧了，我忘不了，初三的时候每天挤公车回家，只希望不要错过太多精彩了。还好我看到了故事的结尾。虽然里面有些情节我没有全部连贯看完，但是，我真的好喜欢看啦。故事和人物都很好，也很有励志的意义。可惜，那时的我，并没有如女主人公那样，能够吃苦，能够去奋斗，也没有遇到王            
(3星)	 虽然统统都很丑- -            
(5星)	 喜欢~~~~            
(NA)	 虽然很多人说女主啥啥啥的，可是我还是觉得女主比较可爱，然后这剧没其他人啥事了            
(5星)	 看到17集地时候忍不住 上百度看了结局 结果纠结了大半天，后来，看完剩下部分有点开心 也有点觉得这个结局是有点让人感觉局促或者尴尬···整体还好~            
(5星)	 正好击中俺滴萌点，那阵子简直迷死朴信阳了……            
(5星)	 当时很喜欢男主角。            
(5星)	  我最爱的韩剧，无法抵御那种剧情            
(3星)	 前面还行，后面就看不下去了，男主角的领带怎么老打不好，看得我烦。剧情现有看起来有些过于老套。            
(5星)	 社长太帅了            
(3星)	 李东健后来好帅            
(5星)	 为什么这个剧的分这么低~！愤怒。。。。想当年被韩社长迷的死去活来的。            
(1星)	 什么玩应            
(5星)	 真的很爱很爱这部剧，于是又入迷了            
(4星)	 那个时候开始觉得巴黎蛮美的。。。            
(3星)	 看的断断续续~~            
(2星)	 丑男丑女？韩国人不是爱好整容吗，这一对儿是怎么了。。。            
(2星)	 男主角那个丑，女主角那个大长脸            
(3星)	 还可以。不过女猪脚那嘴是真心不喜欢啊。            
(4星)	 开始对男主角有印象的剧            
(4星)	 给你三个选择 A跟我回家B马上嫁给我C考虑一下嫁给我            
(4星)	 蛮好看的，外景非常灵~朴信阳演技真心赞~            
(4星)	 应该是另外一个灰姑娘的故事的开始            
(3星)	 还是不明白男的为什么看上这女的            
(4星)	 主演不好看，可是电视很好看。            
(5星)	 没啥好说的  多年前看过 直至今天都认为是最好看的王子公主的 就冲着朴大叔 也要给5颗星            
(3星)	 剧情老套，灰姑娘打败公主，嫁给王子            
(4星)	 高三时很迷恋 在那有些绝望的日子里迷恋它是对是错不那么重要了 那么美丽的女子应该有这样的男人来保护爱惜            
(4星)	 一口气看完的，当做休闲娱乐放松心情来看很不错，除了女主女二在韩剧中一贯的做作和讨人厌了一点，啊……我们不讨论剧情，其实韩剧最有趣的都是一些片段和细节，反正他们都不是剧情片。男主信阳大叔的演技啊，华丽丽滴！！这个男主本身塑造的也好，很解气很干脆很果敢很决绝很爽快，真的，冲信阳大叔！            
(3星)	 熊与猴子的巴黎爱情故事            
(3星)	 跟着我妈看看 挺好看的            
(4星)	 男女主那么丑我看得还挺乐，可能是因为女主的导演梦打动我了？            
(3星)	 这个我竟然也看过。。。            
(3星)	 计算机课上的默剧^^            
(NA)	 曾为之疯狂            
(5星)	 打算重温的韩剧            
(3星)	 大学美好的记忆  朋友们你们记得吗？            
(3星)	 电视上看的~每天早上4。5点的时候就开始放了~非要等它放完再去读书啊~哎！被韩剧摧残的小孩~            
(4星)	 今天哟饿死疯了才点开这部剧的豆瓣来看··然后发现很多以前都不知道的事情，原来收视率超级高啊！妈的没看到结局的我就是悲剧！！！真让人伤心，这部剧也是我曾经理解不了的喜欢和中意啊！！长得丑的主角们可是很有爱我曾经很打动啊！！尼玛让我手贱点开看！！！            
(4星)	 男主开始觉得很丑，越看越觉得好看。。。            
(3星)	 大叔大妈的爱情故事，还是喜欢李东健，淡淡的忧郁            
(4星)	 年龄从来都不是爱情的问题            
(3星)	 男女主角相貌无法吸引我看完            
(5星)	 当年好痴迷的            
(3星)	 其实真的不记得了，只是记得女的脸老小的            
(5星)	 我觉得谁都会幻想成为女主的。即使对方是个温柔的老男人。            
(4星)	 其实前半部分还是可以的。。            
(5星)	 最赞的韩剧，没有之一。            
(5星)	 只要他爱你了，他眼里看到的就只有你的好，谁都替代不了。            
(5星)	 原声大碟好听~            
(5星)	 当时觉得朴信阳超帅            
(5星)	 灰姑娘的故事。。那会迷的是一塌糊涂啊。。女猪脚一般，但是男猪脚真是太帅了。。            
(3星)	 电视台无限放想不看都不行            
(NA)	 男主角长得有点儿抱歉            
(2星)	 女主角是最讨厌的韩国艺人典范。脖子一缩一缩，做鬼脸，伸舌头，简直是太噩梦了            
(5星)	 原来大叔大婶也能演绎王子公主的童话啊，除了结尾不是很喜欢，其他的还是很浪漫的。            
(3星)	 高中的时候电视里天天播...不得不看吖..            
(3星)	 成长之后，还是觉得熟男靠谱            
(3星)	 大龄男大龄女的恋爱            
(2星)	 不知为啥好多人看，有一阵好多台天天演，好假呀            
(5星)	 即使没有在说爱情，也都很美好。            
(3星)	 女主很做作            
(NA)	 懑早看过的一部.很经典. ...            
(5星)	 我的，第二部韩剧            
(3星)	 这男主角，选得很有创意啊···            
(5星)	 当年非常喜欢这部片，虽然男女主角都不是俊男美女，但两人的演技是没话说的，剧情吸引人。ps.主题曲也超好听的            
(3星)	 李东健后来帅了，女主角一直都不好看            
(5星)	 曾经唯一喜欢看的韩剧            
(NA)	 最爱            
(3星)	 看過之後毫無印象            
(3星)	 李东健啊            
(5星)	 丢枚硬币许个愿吧！            
(5星)	 记得小学六年级还是什么时候，为了看这个电视一直等在电视机前一个下午呢             
(1星)	 韩剧史上最丑男女主演            
(4星)	 本来以为自己没有看过结局，心血来潮地补看结局后发现自己已经看过。            
(NA)	 第一部着迷的韩剧，而且男主角怎么这么帅啊，大把的钞票直接撒在游泳池里。            
(4星)	 高中的时候多少人追的剧啊~~~            
(3星)	 我还是喜欢男二号……            
(NA)	 恩。很浪漫。            
(NA)	 王子与灰姑娘的老套韩剧，看在朴信阳的剧，才去看的。            
(3星)	 吐槽男主。            
(NA)	 换下女主角该多好            
(NA)	 只是启蒙韩剧而已。            
(5星)	 男女主角算是韩剧中最不养眼的，但我很喜欢这电视剧            
(5星)	 喜欢朴信阳和金正恩的组合，很经典的现代灰姑娘的故事            
(2星)	 不喜欢介个男猪脚。。喜欢男二号捏。。弱弱滴说。。。            
(NA)	 当时电视上看的，觉得男主咋这么丑的。            
(4星)	 金贞恩虽然看着怪怪的，但我就是喜欢看，这是为什么···            
(3星)	 插曲都好听啊            
(2星)	 是不是因为演员年纪大而经典啊。。。。？？            
(5星)	 很好看的韩剧~哈喜欢男一号~            
(1星)	 女猪脚太傻大姐了！傻和纯是两回事吧！！            
(4星)	 我只是很疑惑，56的收视率怎么来的= =PS：弃剧了。坚持不下去了。。。            
(3星)	 又犯病。爱上男二号的剧集都看不起阿...            
(1星)	 女主角的脸是怎么了，能不抽搐么亲。            
(4星)	 女主角不是很美，整部剧也很童话，从这里开始渐渐喜欢大龄男人·····            
(NA)	 也算是断断续续看过吧= =对女主依然无爱orz            
(4星)	 是我喜欢的桥段            
(4星)	 又是一个灰姑娘的童话故事。这次，在巴黎。（j记不得了）            
(4星)	 李东健太帅了。            
(NA)	 M            
(3星)	 很早以前看的，现在想起来，贼噶虚假，韩剧都这个调调。。            
(4星)	 。。朴信阳不帅啊~~但是我一直记得他面对女主角露出的笑容。。就像冰山瞬间融化~~            
(5星)	 难以超越的大叔❤            
(4星)	 女主太丑、、、、            
(5星)	 很经典 ost也好听~~~            
(2星)	 讨厌男猪脚(PД`q。)·。&#39;゜             
(5星)	 高中时期的记忆            
(4星)	 在做梦的那个年华看过的            
(5星)	 今天一次性把以前看过的韩剧都收了，这部也是经典，想当年...            
(3星)	 结尾怪怪的            
(4星)	 看了N遍的韩剧。            
(NA)	 男主好像周笔畅啊~            
(NA)	 认真赶脚男猪丑挖...            
(3星)	 不喜欢男主角。。。太丑了            
(3星)	 不明白收视率为毛这么高。前面喜剧，后面哭啊哭的，有什么好哭的呢。            
(4星)	 女主跟舅妈好像！！            
(3星)	 女猪脚  实在！！！呃            
(4星)	 虽然剧情仍然很狗血，不过是巴黎恋人哦            
(5星)	 如果不是最后一集，我不会给这剧五星。金编你真是神人啊神人，认认真真看完整部恶俗的灰姑娘戏码，最后十分钟您告诉我们这只是女主剧本中的情节、脑海中的想象！如果相信灰姑娘的存在，有一天也许王子真的会出现！真是很有深意啊~~~您的剧真是处处有惊喜~~哈哈            
(5星)	 真的很好看!!~俊男美女組合 很滿意 歌也好聽            
(4星)	 这是我看的第一部韩剧            
(5星)	 我不知道你的心里有谁，但我的心里有你！            
(4星)	 嘛~~~ 就我當時覺得還行 現在已經不知道為什麼我當時會覺得還行            
(NA)	 很久没写文子了。喜欢在韩剧前面加肥皂二字，单不会用在这部剧上，谁不曾年轻过，谁不曾幻想过自己是灰姑娘，每每面对早晨的闹钟。。睁开眼睛微微的叹息一下，毕竟要面对现实。。。这部剧恰恰触动了心里最温暖最最柔软的那一点那一滴。。。跟着走到最后。。。心态放到了哪个最平衡的一点。。。。            
(3星)	 为啥我看不下去？            
(3星)	 丑死了            
(3星)	 大学时代的回忆啦。            
(4星)	 挺好看的~            
(4星)	 估计是看的最多遍的剧，这个灰姑娘的梦不想醒。爱到开窍，爱到发狠，只为同一个女人。爱真的能让人改变很多，也能看到自己最初的样子。            
(3星)	 拍立得印象深刻。            
(4星)	 谁不喜欢这样霸气有担当的男人为我们遮风挡雨            
(3星)	 不错，真的            
