http://movie.douban.com/subject/3348511/	暗香
(5星)	算是偶像剧的话，真的很好了，内地基本没有能看的偶像剧~~~~
(5星)	最后结尾给人想象的空间~~~挺感人的，这部电视剧。
(3星)	教主。。。。
(NA)	俩人的温馨时刻太少了，不过还是蛮喜欢看的~~
(4星)	当责任重于一切的时候，很多东西都要让理智战胜感情。人的一生总会遇到一个让你愿意为之付出一切，甚至愿意因为爱而想念一辈子...
(4星)	现代版的王子复仇记。家族、事业、商战，本剧的主旋律，感情故事反而是其他的陪衬，感情在其中就像片名一样幽幽的散发一点点的淡淡的暗香，完全是几个主人公之间的互动流露，并没有太多的“心跳加速”，很是简单干净，而反衬了故事情节的紧张激烈、跌宕起伏。但不足的是其中一些情节交代不清，存有疑问
(NA)	挺不错！
(5星)	这就是 爱
(4星)	我不能爱你，可我只能爱你。我能面对我爱你，可我承受不起你也爱我。
(NA)	 TV 每天7点 三集连播
(4星)	唯一一部觉得教主不讨厌的电视剧
(5星)	喜欢这个风格、
(4星)	能让我一口气看下去的电视剧该给四星
(4星)	不得不承认这部不错
(3星)	不喜欢王珞丹
(3星)	多年 以前看的了，不远承认的事实。。。。
(1星)	什么都没有，遮什么遮。。。。
(4星)	记得。
(3星)	故事太过混乱，最后在酒吧的一幕很好~~
(4星)	纠结。。。
(NA)	結果您的鏡頭還是被剪掉了。。。算了，咱家多了個教主的合照也不錯。這個就不評價了。。。我居然看完了。。。
(NA)	好吧，沖著老爹演的，我該看看。。。
(NA)	青春悬疑剧~~
(5星)	当时的黄晓明还不2
(3星)	有些地方很牵强…留下来的人在外人看来很幸福但自身的痛苦只有自己了解
(3星)	其实就是个狗血言情剧，各种元素都有，比很多偶像剧都要好看，但不知当初为毛没火。。。
(NA)	充满言情偶像的感觉~
(3星)	去年看的 黄先生
(3星)	是因为王珞丹才看的····
(4星)	因为王珞丹才看这部剧，迷人的风光，纠结的情感，很不错！
(NA)	还不错
(4星)	算是国产偶像剧里比较厚重的一部，尤其是商战描写的很到位
(4星)	①只因王珞丹②唯独这里的黄晓明我是可以接受的。
(NA)	其实我感觉是现代版 来不及说我爱你
(4星)	剧情虽然老套但场景华丽风景美丽  演技也蛮好 有些场景真的很帅 很壮观
(5星)	难得好看的感人大剧！晓明和珞丹都演的很到位，喜欢～～～
(NA)	瞬间看完了一部电视剧，黄教主的英语确实很难懂啊，怎么也得弄一配音才行呀。
(5星)	看了三四遍，还是不厌，呵呵~~`我是看完暗香真真正正的喜欢上黄晓明的
(4星)	看的很过瘾 惊心动魄的电视剧 只是男主角太...了
(3星)	看了一半，不想看下去了，有点受不了女猪~
(4星)	前半本编剧编得还不错 后面就有点纠结了。。。能死的全死了。。。最后那一幕 教主真是V5啊！
(4星)	还好啦。比较喜欢黄晓明这张漂亮的脸。王珞丹也蛮喜欢的。
(5星)	就这样喜欢程远对伍月的爱，十分特别的喜欢！
(NA)	结局啊结局啊哎怎么这样让人郁闷
(4星)	不捡最大的也不捡最漂亮的只捡自己最喜欢的！
(3星)	看人去的
(5星)	整部戏都很压抑   不过王珞丹成长了
(3星)	演员阵容太强大……但是，真的一个吻戏都冒得，我好生郁闷……
(4星)	看王珞丹的...可黄晓明实在无爱...
(2星)	越来越讨厌王卤蛋了。。
(NA)	4
(3星)	唯一记得的就是黄晓明身材很好哇，衣服套套好看
(5星)	“没有如果，因为他不是我” GOD……这绝对是我听到过的最感人的话……
(4星)	情节一般 拍的不错 喜欢伍月的性格 直爽单纯善良头一次发现黄晓明挺好的丽达很漂亮
(5星)	很唯美~很唯美~从头到尾只是有一个亲额头的镜头..
(5星)	《暗香》，一部不错的电视剧，不过，不太适合我们（高中生）看，因为我们正风华绝代，而《暗香》已残留……暗香浮动月黄昏——暗香在我的心头浮动，渐渐地，幻化成，悸动……
(4星)	在内地偶像剧里当然算不错的了。去年暑假时看对鸟巢和水立方很有亲切感，今年暑假则是为后海景色动容。这对我来说，竟然是一部思乡之剧。
(2星)	呐女的，怎么看怎么不爽。要脸蛋，要身材，要演技，都没有。。。真不知道怎么红的
(5星)	这部戏真的是黄晓明这么多部戏里最最最自然最最最帅的时候了
(5星)	更喜欢他的另一个片名：《被爱追逐》最喜欢程远和伍月说的那句话“谁肯为了爱连性命都不要？只有我。”
(5星)	优秀的国产偶像剧,虽然是王子与灰姑娘的故事,却演得不落俗套.尤其配角个个都光彩夺目,晓明更是帅到了极致!我爱一切美好的故事,即使是做梦,也珍惜梦里的真善美.
(3星)	还苦役，那个时候黄教主还是蛮帅的，和王珞丹的搭档也挺新鲜的
(3星)	剧情太复杂了 乱了乱了~
(4星)	北京的故事……
(NA)	黄晓明，王珞丹，其实蛮搭的
(4星)	是电视剧吧……不是电影……
(4星)	剧本不错 演员演得也不错 黄晓明的英文讲得相当地经典~~
(5星)	程远就一个帅字了得！
(3星)	不喜欢黄教主
(5星)	美并内涵着~~难得的好电视剧！！！我发誓我是客观的！
(5星)	暗香是难得有内涵的一部剧啊
(NA)	中国版007，很帅很感人~~
(NA)	   这个剧 非常好看，看了三四遍了
(5星)	好看
(5星)	内地第一部商战题材的电视剧。黄晓明投资。很好看。
(4星)	为黄晓明定制的长篇MV（服装由GUCCI赞助），王洛丹客串女主角，比较欣赏费丽达
(5星)	演绎很好!很有爱国思想!
(5星)	真的很赞，国内少有的电视剧~中毒很深，大爱黄晓明~
(4星)	国内偶像剧制作非常精良的一部戏，黄晓明和王络丹的组合很新鲜也很契合~个人看了两遍~~虽然脱不开王子灰姑娘的俗套，但是这部戏让人感动、感伤，程远这位少爷，大概是所有女孩子的梦想
(4星)	我看了好几遍了，每次总是被晓明和丹丹所吸引，它不同于一般的偶像剧，除整个画面比韩剧精美外，剧中人物的表演，能让人不知不觉进入人物内心，被他们的喜怒哀乐所吸引。
(5星)	故事情节紧凑。境界跌宕，看起来感觉很棒。！
(5星)	算是大陆偶像剧，很有情节，很有节奏，在大陆偶像剧里算是经典了，很好看，比台湾偶像剧又多了一份深度与层次感，有超越~！很不错啊~！
(4星)	我比较喜欢看前三集小明和杨幂的那段
(NA)	讨厌女主角啊！不好看！只知道哭，不停地哭~讨厌死啦~~
(4星)	典型大陆剧的气场~但是呢，我喜欢王珞丹= =黄晓明本来就有点帅
(3星)	好吧，我承认我只是因为黄晓明。
(5星)	  程远 我早就爱上你啦~
(4星)	呃，同意谁说的，民国时期那段可以拍长一点。。。后面女主整个就雅典娜化了= =
(4星)	暑假看的 因为这部大爱黄晓明了 有梦想才有翅膀
(4星)	还不错的啦~看过的娃儿都说黄晓明先生在里面很帅。
(3星)	我彻底的被黄晓明给秒了，以前真没看出来~~~~~~
(5星)	很好看，让人难忘，不同于一般的偶像剧！
(4星)	帅哥美女是看点
(NA)	我姐，你的王珞丹。。。。我好像好久没看电视剧的样子了。。。
(5星)	难得一见的国产偶像剧中的精品。演员，剧情，场景，道具都堪称精品。本来对黄晓明是不支持也不反的态度，演起戏来总是一副扑克脸，看过该剧后完全改观，真是帅呆了。GUCCI的西装还真是称他。王珞丹真的是非常有个人魅力的女演员。感人台词“别伤了自己，我赔不起”，“因为他不是我”。
(3星)	剧情太拖啦，不过黄晓明还真是帅啊啊~~~
(4星)	我只给四星，冲着黄晓明和王璐丹给的。过程太过纠结。有太多勾心斗角，我不喜欢如此复杂的电视剧。急急忙忙看完，就这样，脑子里留下的，有太多伍月的眼泪。真好听的名字。就这样吧。
(4星)	好吧 我承认我有点喜欢黄晓明。。。开始认为这是一对很奇怪的组合 不过现在看来也还不错
(3星)	在内地剧中应该算制作比较精良的，演员不错，镜头不错，场景不错，服装不错，音乐不错（大爱片头曲）。可惜剧情依旧狗血，对白仍然雷人，末了两集，我几乎看不下去~不过，国产剧的进步有目共睹。
(5星)	
(5星)	看完这部剧，彻底被黄晓明秒杀了，丫怎么可是这么帅？！
(3星)	越到后面越瞎，编剧就不能严谨一点么
(5星)	实在是太好看了，熬夜4晚看完的，看完后被震撼了原来大陆剧进步了这么多，不论是情节还是表演，道具场景都很赞我圆满了
(3星)	还OK 主要是因为王珞丹才会看..
(5星)	超级好看的剧，尽管情节怎么看怎么像碧甃沉。。。
(5星)	好喜欢他们俩。
(4星)	就言情而言，挺好的。。。
(5星)	哎，要是结局能再完美一点就好了。。。
(5星)	黄小明你演演这个就可以了。。去搀和什么泡沫之夏真悲剧
(4星)	结局让我有些失望，要是不错过就好了...
(NA)	黄，很帅。呵呵~花痴了
(4星)	黄晓明不再是花瓶
(NA)	偶然看到这部电视剧 感觉不错！第一次发现黄晓明很帅！以前看到他就觉得烦 不过这次 我是真的有被剧中的爱情所感动！暗香——原来，就是这样！
(3星)	黄晓明很帅
(4星)	如此的战场。。如此的爱情。。。
(2星)	情节什么不记得了 也没看完 就记得和我一起看的那个人让我很失望
(NA)	一直都不喜欢看故事片，但这部还可以，黄晓明演技一般，不过还不错的一部片子
(5星)	怎么会爱得那么痛苦。。
(NA)	很纠结...
(5星)	最后几集的丽达和前面很多集反差太大了。。 不像她啊。。 
(4星)	幕后主使是谁？没看明白
(5星)	看了暗香，我喜欢上了北京女孩王珞丹
(3星)	金童玉女最不该演的一出戏
(3星)	bug很多，剧情也很老套，不过黄晓明和王珞丹的对手戏倒是满有爱的，很可爱，典型的小言情套路。
(4星)	黄晓明！！帅哥都是有缺陷的，比如讲话生硬。
(2星)	看点：男女主角的长相。
(3星)	黄晓明里面蛮帅的 只是王珞丹的风头完全被女二盖过了
(4星)	不就是爱情故事吗？
(5星)	剧情很好
(4星)	很主旋律的偶像时装剧，挺好看的。
(4星)	闹太套！
(4星)	超喜欢黄晓明，王珞丹两人！
(4星)	这或许是我看过的、大陆拍摄的最豪华的电视剧！也是我看过的最帅气的黄晓明！开始的一切我是比较喜欢的，程远敢爱、会爱。但对家族的争端是我所不屑的。一切都没有意义。一切的死亡都无谓。最后的结局令我最无语，责任、奉献、善良。。。都多余爱情！联想的结局纠结到无趣！
(5星)	俩主角的深刻演出.很动人.
(3星)	前面部分还行。看着看着就没有耐心看下去。我是拖了两个月才终于看完的。
(NA)	 就是暗香,有种淡淡的、悠长的、难以忘记的情节！超级喜欢，黄晓明帅啊！！
(4星)	情节有点老套~~还成吧，happy ending就好
(5星)	超赞，看了N遍了，支持支持啊
(5星)	很震撼人的一部剧，每个人都是演技精湛的经典角色
(3星)	我妈都看了，她说，其实黄小明还是有点帅。
(NA)	剧情有点纠结，我讨厌人物一个个死去。我还是适合看看电影！
(2星)	除了黄晓明帅点外，没什么可看之处~
(4星)	因为王珞丹才决定看这部片子，说实话黄晓明的表演风格很适合这部戏~~
(5星)	超喜欢黄晓明。很gentlem。
(3星)	有点做作
(3星)	王络丹不该接这部戏，“被安排”很惨。作为偶像剧其算是有情节的。
(2星)	情节老套，毫无逻辑
(3星)	我怎么就那么不喜欢黄童鞋。
(3星)	电视上放的，没看到结局。虽然是现代剧但是为啥打上国产剧的标签以后我就觉得背景设定好架空捏？
(5星)	感人至深的责任
(3星)	喜欢皮皮。在想，他对丽达真的是喜欢得不行了的吧？！！要不不会如此的为他付出。。还有丽达，一个为了爱不惜付出所有的女子，，如此的委曲求全，只不过，他的目光始终都未曾落在她的身上。。所以，注定也都是无果。。
(NA)	这样的坏爱情，会有多难啊……
(NA)	剧情发展的让你思维与心脏备受考验！
(NA)	好看~
(4星)	前面比后面好看，黄晓明挺帅的，+一星
(4星)	看了三天，梦了三天的程先生。可不可以不要再走下去
(5星)	好吧 最后的大结局真是看得我添堵....既然编剧安排了次见面 至少也给个拥抱吧 机场那程度的我就满足了...结果光在那笑了 这也忒抽象了 我恶俗...我就想要个明了的完美结局...我敢打赌这编剧一定是个男的唉....
(4星)	国产电视剧里经典的一部，有点偶像剧的成分，也有点家族争产的成分，总之，算是经典了。
(3星)	刚开始还可以，后面挺拖沓的，失忆啊又出现了
(NA)	王珞丹弄的真变扭~
(3星)	教主是相当的帅啊
(4星)	大爱特爱。
(5星)	很好看 大陆难得拍出这样水准的偶像剧
(3星)	求你了 王络丹 换个风格吧
(4星)	我喜欢费丽达:-)
(5星)	黄晓明 特别的酷
(2星)	大陆片拍的实在是········
(4星)	黄晓明有装酷的嫌疑 看习惯就行了
(NA)	黄晓明太帅了~~~不过剧情有点不现实
(5星)	在国产电视剧里算是相当不错的，就是解决别扭了点
(3星)	场面不错，就是情节不太好。。有些虚。。。
(3星)	不推荐 其实比较差
(3星)	也许是太高的期待，不免带来些许失望- -。喜欢黄晓明，喜欢王珞丹。
(4星)	喜欢喜欢！！！！
(5星)	这部片咋说呢。因为《奋斗》，是为了看看王洛丹的表演，但后来觉得这部电视剧也不错，黄晓明的大少爷的形象也表现的很不错！
(3星)	两个演员都觉得还可以 不知道为什么觉得剧很一般
(NA)	暗香
(4星)	纯属消遣
(5星)	力姐说“一个男人如果没有责任感，那什么帅气，才气……都是扯淡”他做的很好！他的责任、正义、善良…把他的帅烘托到极致。
(5星)	为姑娘投上五星~好虐的剧阿~
(NA)	最喜欢黄晓明了
(5星)	每个人都有弱点；爱但不奢求拥有；现代版柏拉图式的爱情，唯美，心痛，甜蜜，满足；没有吻戏依然可以把爱情演的淋漓尽致；缘分是命中注定；
(4星)	黄同学很帅！
(NA)	伍月&amp;程远
(3星)	觉得王珞丹演什么都是一个样，实在厌烦。剧本硬伤还是大了点。 
(NA)	黄晓明果然总是一副面孔，但是，是很好看的那种，哈哈哈
(4星)	国产偶像剧~拍的算不错的了~
(3星)	断断续续的看过，感觉还行，不过剧情有点沉闷。。。
(5星)	喜欢 就是喜欢 没道理
(3星)	跟老妈看的 感觉模仿得痕迹太重……
(4星)	黄晓明好帅  哈哈
(4星)	很纠结
(5星)	真的是黄晓明的最帅的一部，即使我并不喜欢他还是觉得不错，伍月，很真的女生
(4星)	看的时候动情，看过之后全忘记。这便是感情戏么？
(4星)	黄晓明这里好帅啊！
(5星)	黑毛推荐我看的，真的是不错~
(4星)	黄晓明真是挺帅的，喜欢王珞丹！
(3星)	不喜欢伍月这个角色
(NA)	完全没看进去
(5星)	大爱黄晓明~
(NA)	编剧还真的牛啊，竟然把三亚说成南亚。亏得我那天百度了南亚，那种印度，阿富汗等地方，中国人很少啊，更不要说中国企业了！还金蟾岛呢。。。蛮牛的编剧。。。
(NA)	喜欢王络丹啊~
(4星)	因为王珞丹进来，因为黄晓明出不去了。。。
(4星)	不错，值得一看
(4星)	王珞丹比黄晓明更有资格说自己是香蕉人~！黄晓明那口破英语··2010年看的第一部大陆剧~！好的开始······
(4星)	无视黄吧，演戏永远一个劲。端着。王珞丹是亮点。大亮点。
(5星)	喜欢王珞丹，喜欢她的直率可爱，喜欢她北京妞的气质，喜欢刺激冒险的经历，喜欢患难见真情的感情（恐怕咱这辈子都没这机会），整个电视剧的基调是悲情的，有感觉模仿韩剧情节，但还是有鲜明的大陆剧的残酷感，和老姐一块儿看了两天，要是我一个人看的话一定会哭的稀里哗啦的~~~
(5星)	超级好看，他们俩也太登对了吧
(4星)	我很喜欢，喜欢黄晓明在里面那么帅，喜欢王珞丹在里面那么单纯
(NA)	王子与灰姑娘的故事
(4星)	挺好玩的，喜欢王珞丹的性格，黄也很帅，呵呵，我怎么觉得我这么肤浅呢
(4星)	这部剧让我从讨厌黄晓明到爱上“程先生”。。。
(5星)	很感动的片子
(NA)	好看，剧情好，人更好。
(5星)	商人只会唯利是图，但诚信最重要。任何时候都不把吧政治家作为最后的王牌。害人之心不可有，防人之心不可无
(4星)	看到前面说这是啥子电视哦  哎  反正还是看完了 具体感受就想不起了
(5星)	不错，情节紧凑，很精彩
(4星)	俊男美女，赏心悦目
(5星)	纠结的爱情，真正一个人不需要占有，他们的爱始终带着淡淡的忧伤，人真的不能放弃一切去爱，因为我们有祖国有家有亲人。
(3星)	开始很喜欢，后来有点拖沓，再后来老不到结局就有点烦了
(4星)	伍月和程远的爱情还真是纠结。
(3星)	有点雷，专供打发时间
(5星)	和妹妹花了两个晚上一个白天看的。上瘾~~可惜死了太多的人，不然会更美好些。很是喜欢王珞丹。。期待她的杜拉拉能突破米莱钱小样饰~
(3星)	黄晓明演的很傻
(NA)	最近还真没这么耐心地看一部电视剧
(NA)	出生便注定一切 情与欲的交战中，有情人总是输者
(4星)	中毒ING。。。看完又好空虚。
(3星)	其实我觉得一般。很一般。
(5星)	因它中毒
(5星)	爱情很伟大。凄美动人。。
(4星)	晓明 酷
(4星)	因为这部剧，开始关注黄晓明......
(NA)	在非洲看过的最好的电视剧，注意，是在非洲
(5星)	一个人的成长是建立在磨难的基础上的
(4星)	黄晓明演绎的很是帅！
(4星)	黄晓明在里面很有气质，王珞丹也是。
(3星)	冲王珞丹去看的，觉得后半部分的剧情好看点。还有觉得杨幂的客串有点怪异，总体ok
(NA)	某人的演技实在是……挺喜欢饰演皮皮的那个演员的 演得挺好   本故事纯属虚构的吧~~       看热闹~~~      -_-\\\
(3星)	忘记改了...黄晓明的演技好烂...
(3星)	有点乱，编剧不合格
(5星)	黄晓明就很适合演这种帅气多金有很睿智的角色，越来越喜欢他了。
(5星)	喜欢王珞丹，喜欢她的率真，强力推荐~~~
(4星)	黄晓明太帅了……男人~
(1星)	编剧太菜，剧情太假。黄晓明还是帅得很偶像。这个剧就是他的时装SHOW，他和丽达很配。
(2星)	雷剧。。。亏我竟然还看了四集
(5星)	其实我想看黄晓明啦
(4星)	情节很吸引人~害我通宵...
(4星)	还比较喜欢。帅哥美女。剧情也是有些跌宕起伏。不知道结局到底会是什么。很喜欢这种感觉。
(4星)	就是幼稚偶像剧，皮皮很MAN。黄晓明真是太帅了，这部剧让我爱上他。五月还是钱小样！！雷
(NA)	喜欢王珞丹
(5星)	虽然情节融合爱情和商业，说实话，个人感觉故事情节还是较老套的，但最近许多年大陆都没有拍过这样的片子了，很有档次，而且比偶像剧有看点的多
(3星)	超级罗嗦
(4星)	酣畅淋漓。
(NA)	很喜欢后面两人告别的镜头，相拥 ，头也不回的离开
(4星)	还是一样的喜欢看那个单纯善良的女孩儿，从不食人间烟火的天使，渐渐成长为心智成熟的干练的样子，希望有那么一天
(4星)	结尾收的过于急了，不过也可以算是很好的诠释了一下什么是缘分！~
(4星)	前面真的是挺好看的,但為什麼愈看到後而就劇情就愈弱了,不過我覺得程先生們真的很帥呀.
(3星)	情节不错 但是演员有点做作
(4星)	很好看 对黄晓明改观很大
(NA)	挺好看的富人的悲与喜……
(NA)	喜欢王络丹
(2星)	有点扯
(NA)	强力推荐
(3星)	国产偶像剧的编剧还有待加强啊！
(4星)	情节有些拖沓的说！~
(1星)	太假了
(4星)	梦推荐我看的，还不错。
(2星)	建議開頭就不要看了，看了白看
(2星)	小黄还是先回去练练E文再来
(4星)	我第一次觉得黄同学挺帅~  个人觉得前半部分比后面好看
(NA)	挺离奇
(NA)	残酷
(4星)	2009年最爱剧集~
(4星)	不多说了，女弟弟说的很到位。
(5星)	很虐心，王子与灰姑娘的故事，虽然故事框架老土，但两个演员都让我看到他们在某个阶段很难看到的另一面。黄果然是，一放松，就是会演戏的，而他平时总给我一种紧崩崩的感觉。王相反，平时就很放，这戏的后半部，她要演得很收，这是她的一次成功的尝试。导演讲故事的能力不够
(3星)	或许情节有些俗套，但喜欢程远与伍月
(1星)	某人看时在旁边被雷倒了 太他妈烂了～～～
(4星)	黄晓明在这里帅的没有办法说……
(4星)	一口气看完了33集，然后我一直在想到底什么是爱情~~~
(3星)	看到最后一集，眼泪在眼圈里打转，真挚的情感总是让人感动。可是现实中很难找到童话般的爱情，女孩子还是少看言情剧吧，太过沉迷，智商会降低的 ^_^
(4星)	看完这个，觉得黄很偶像。。
(5星)	怎一个赞字了得啊！牛！
(5星)	虐。。
(3星)	3.8
(4星)	黄晓明很帅
(3星)	爱得愿意为对方失去一切，伟大的爱情！
(NA)	场景很不错，用妹花痴的说法就是黄晓明演的很好
(4星)	开始 王络丹演的那个角色 太傻了 我们家一起看的 都受不了了 傻得丢中国空姐的脸啊 不过整个剧还是很好看的 特别是黄晓明  
(5星)	晓明在里面的演技是不用说了的 哈哈 挺！人与人之间的那种明争暗斗，太恶劣，如果我们还能保持一份原有的那份纯洁，那是在好不过的。。。
(5星)	hxm在里面太帅了。。。。完全就是Gucci代言人。。。王珞丹有一些小突破尤其在后部分。。老戏骨二姐 七叔都非常传神。。。。皮皮扮演者也表演还OK。。。。。剧情整体 还是可以的，尤其是猜测最后的幕后元凶。。。。但是编剧在某些细节做得很烂，有的地方让人觉得莫名其妙。。
(4星)	看完后迷恋了一阵黄晓明
(5星)	剧不错 只可惜结局有点弱
(3星)	别的倒都没啥就黄晓明里面的造型都太帅一个个小西装真是有型要是脸不那么凹会更好看的
(5星)	纠结
(4星)	  本人觉得小黄在这里演的很好。
(5星)	很棒 忧伤的氛围 笼罩心房，很好
(NA)	黄晓明的英文也好意思说是ABC。。。
(NA)	今天晚上放大结局。我爸由于流感没精神玩电脑，居然和我妈一块看这片儿～我爸看完教主的感情戏突然说“加这么一段是什么意思啊”，另外，我妈真是教主的颜饭……
(4星)	黄晓明看看还是有点小帅的，不过剧情么有那么点小郁闷。
(5星)	我是一口气看完的。很感动，从剧情到演员的演技都挺好的，今年比较郁闷。这是几年来看到的最好的电视剧，内地的电视剧也越来越有内涵了。演员拿捏角色恰到好处。加油。希望看到更好的作品。
(4星)	晓明好帅的诶·~·
(5星)	可得说说晓明这搞笑功底啦~~~真是搞笑于举手抬足，幽默于无声无息之间啊
(1星)	什么破剧情啊？我感觉看完都变傻了!
(5星)	好看
(4星)	黄教主华丽变身！有赞到。
(4星)	 就是爱上了//..
(5星)	惨，不一般，纠结。“我愿意”的刹那以及最后片段之鸟巢留念的刹那被小小感动。
(4星)	被无辜害死的人太多了
(4星)	还好吧，情节挺感人的。挺喜欢王路丹的表演。
(5星)	片子构思还行。。不过我因为黄晓明和王珞丹的英语快笑抽了。。
(4星)	不错```通过这部电视剧对黄晓明有了改观````
(2星)	冲着王珞丹和对黄晓明的颠覆评价去看的，很失望，很一般，很混乱，剧情很裹脚。。。王珞丹就不适合这个角色。。。演不出真正的王珞丹。
(3星)	这个电视不应该叫暗香  应该叫排队死……
(4星)	喜欢
(3星)	BUG太多了！感觉男主角连累的人太多了呢
(3星)	刚开始看吧，觉得真的好美好；后来吧，越来越虚幻了，不晓得是我的心情变了还是这电视剧变了。。。
(4星)	还可以啦
(3星)	王珞丹哭戏好多啊，如果感情戏少点儿，加入更多商战题材会更精彩
(NA)	喜欢老黄的演技
(5星)	相信爱情童话！
(2星)	整个电视剧就是雷啊，前几集还行，往后根本连快进都受不了了。制作也是相当残疾。
(3星)	我恨你，你对我太好，让我不知道以后还怎么找男朋友~~她爱他，因为他给他带来危险的同时，是满满的保护。时光流转，最后那释然的一笑最为珍贵
(2星)	开头还可以吧，后面又落入俗套了，失忆，绝症一个都不少。真不明白了就没有新意可编吗？太失望了。
(NA)	故事情结还是很不错了，但是看起来的时候有心太慢了，有一些地方本可以一笔带过了，可是演的，我都要过几集才看，还是在那个事情上……
(1星)	看了两集，到处都是插入广告，太明显了，可是电视台放的也没法快进，跳不过去。网上搜了下剧情介绍，简直是狗血雷人剧情大集合啊，这样的也有人说是09年最好的电视剧，真是无语啊居然评分这么高，好多托啊
(NA)	王珞丹胸好小啊
(3星)	太惨烈了，后面我都不忍心看了~~
(3星)	节奏太慢……
(5星)	好看　
(2星)	虽然我爱黄晓明
(NA)	温暖的感觉
(5星)	黄晓明很帅！
(3星)	除了黄晓明那张无可挑剔的脸，基本上没什么看头。逻辑混乱不说，基本当观众都无脑。南亚版灰姑娘。
(3星)	两位主角很吸引我~可是 因为剧情的关系 我还是跳着看完的
(3星)	这里王珞丹还算正常的 之后就没法看了
(3星)	这个电视剧就是用来给黄晓明耍帅用的
(NA)	黄晓明，王珞丹，我的挚爱影片。
(4星)	爱一个人到了可以为对方去死，也是一种境界
(NA)	明明两偶像..却被硬拍成不像偶像剧的剧...
(4星)	为了衬托这两个主角，死了好多好多的配角。。。有点残酷，结尾有点假。
(5星)	很复杂很累~~
(5星)	奋斗 励志
(3星)	坏人太多 黄很帅 络丹可爱
(4星)	虽然有许多漏洞，但不失为一部好看的家族商战爱情剧。看完之后很难受，久久不能平静。“没有如果，因为他不是我。”
(5星)	程远啊程远 伍月啊伍月
(3星)	额。。。一部很长的电视剧
(4星)	从这一次我相信了相爱的人可以不在一起，即便是个好结局。
(4星)	里面全是三星的手机啊，这广告打的.....
(3星)	头一次发现黄晓明这么帅，可惜没坚持看到最后
(3星)	完全可以用来吐槽的片子
(4星)	豪门的斗争太复杂了，不知道现实生活是不是真的如此，总体还行，可以一看，就是结局的那个镜头有点傻。
(4星)	这男人太帅了！
(3星)	20110821看...
(4星)	情节一般，但演员演得很好，我第一次觉得黄晓明那么帅，还有伍月的单纯善良，皮皮的痴情……
(5星)	值得一看  了解南洋华侨的发展史  爱上黄晓明 爱上王络丹
(4星)	黄晓明的西装真帅。。
(NA)	尔虞我诈，真真假假，虚虚实实，但爱情是美好的，黄晓明很帅，帅呆了
(4星)	大陆 偶像剧 中 不那么恶心的 一个...支持下
(4星)	太喜欢黄晓明了
(3星)	黄晓明很帅。剧情有点托
(5星)	真的很不错，越来越喜欢黄晓明了。。。
(NA)	推荐~
(NA)	都是因为爱
(5星)	很好的一部戏，
(5星)	结局。。
(5星)	真的很感动。
(4星)	      虽然是海南岛取景，但是感觉还是没到没话说，黄晓明也是帅的没话说，本身也比较喜欢王珞丹，所以很赞！
(4星)	黄晓明真是太帅了~~~
(3星)	前三集多美好~~王小姐真干瘪~~
(4星)	情节不俗套，不再是恩恩爱爱，我觉得写的很现实，而且黄晓明在里面演的非常好。
(4星)	很久不看电视剧了，所以能让我看下去的即使有再多的硬伤也总有吸引人的地方。我不是一个花痴的人，但我实在是羡慕黄晓明的气质。
(NA)	後半部份的愛太過沉重糾纏，不敢再看下去。
(NA)	一个男人何以如此有型一个男人何以把西服穿的如此有型超爱  黄晓明
(3星)	后面剧情没有特色。前面又过分言情小说。
(5星)	国产商战剧 挺不错的  
(5星)	诠释的不仅仅是爱情  还有责任  对朋友  对家人  对工作  对爱人  对自己   对承诺的责任  爱情不是他的中心  承担责任  是她要表的目的 
(3星)	场景不错。
(5星)	超好看，都开始喜欢黄晓明了···
(3星)	黄晓明儿，你不穿小一号的亮亮布料的西装，不发出某些怪怪的自嘲的声音，你还是可以看的，记住，不能做作。讨厌王珞丹的哭声。。。
(NA)	很少看大陆连续 、黄晓明很有型，但是可塑性并不很强 有些时候很做作 剧情吧。。没什么好说的   噢！对了 &#34;米莱&#34;很赞!
(4星)	现在才看两集呢。。好看好看，真的好看，黄晓明的演技越来越好了。期待王络丹咯~~
(4星)	心里很纠结~~
(4星)	很佩服程远…
(4星)	你我的爱情，是黑夜里的暗香。
(3星)	整体看来有点儿假~~没有范儿
(3星)	最开始第一代我认为是最好看的时候
(3星)	当黄晓明的个人时尚秀看，很爽
(5星)	这是我看过黄晓明出演过可以说是最IN，最TOP的了，所以力荐5颗星，剧情看过的TX自有自己的收获，理解和领悟，冷暖自知。剧中黄晓明的服饰真的是很时尚哦，男士西服早就该这样了，程远可以说是近乎完美，伍月简单却平凡，往往就是这样的落差，成全了最后看似还算完整的整个故事！
(5星)	挺好，看完米小明~~
(4星)	要说有什么不好看的地方……剧情太紧凑，看着比美剧还累……
(4星)	虽说剧情不太现实，不过喜欢王络丹！！总能给人带来活力与激情
(4星)	剧中的黄晓明很帅 至少我很喜欢
(3星)	还行，相对而言
(4星)	现在在看 不知道结局  不过 猜到一点点
(4星)	很难得内地也能拍出这样的电视剧。难得黄同学能拍个这么帅气到底，很惊艳
(3星)	在同学的强力推荐下去看这部片~结果失望啊~情节普普通通~害我都没有看完~看到十多集实在是看不下去了~直接跳到大结局去了~
(4星)	前天看完啦，这才是真的爱情。
