http://movie.douban.com/subject/2303265/	少年杨家将
(NA)	 可爱的小七，帅得掉渣的小耶……            
(3星)	 看完发现我也可以做编剧了。不过不得不说，唐人的服装道具场景真的不错，很精致，演员也是我的菜。            
(4星)	 好看好看            
(NA)	 喜欢柴郡主，很可爱的感觉，和胡歌很搭，但是感觉胡歌总是在演同一个人，如《天外飞仙》等……耶律斜太强大了，关红根本就不配和他在一起，耶律斜是一个真正的侠士……            
(5星)	 老七死的时候哭的那个一塌糊涂啊            
(NA)	 哭得不行 不说了~~~~(&gt;_&lt;)~~~~             
(4星)	 四星给的帅哥们，剧情？不记得了~            
(4星)	 严重怀疑服装师是从日本来的            
(4星)	 诗诗真是挡不住的水嫩。七弟也要萌翻天了，就是结局真是凄凉            
(4星)	 这版的杨家将 个个都萌。            
(3星)	 囧……这是偶尔回光返照一下儿童时代            
(5星)	 爱死彭于晏了 当时七郎死的时候哭成P了            
(NA)	 每一个都那么。。。            
(NA)	 高中时老姐买的光盘。一家帅哥 养眼的寒假            
(NA)	 就是冲着彭帅去的            
(5星)	 儿啊。            
(5星)	 最艳羡的一对是老爹老妈，最心爱的是八妹和七郎两个活宝，最哀叹的是四郎和罗氏女，最欣慰的是六郎和郡主。本来对这种偶像云集的古装剧是有偏见的，但JST一役那几集完全把我折服了，真不该在眼角发炎时看这剧T-T  PS：三观不正我还是要说，愚忠害死人啊=口=             
(5星)	 给我努力的小白兔们四颗星。            
(3星)	 刘诗诗和林家宇很可爱~            
(4星)	 这个还不错~帅哥家族，何润东一边去            
(4星)	 啊耶律斜~            
(5星)	 哭死我了~可爱的小七~~            
(5星)	 超级大爱  促使我来温哥华的原因啊            
(4星)	 耶律斜~~~            
(5星)	 都說楊家將是大愛了@@            
(3星)	 完全是因为胡歌才去看这片的啊~~话说这是刘诗诗的出道作吧？彭于晏很帅啊~~陈龙也很魅力~~鞋拔子脸可以忽略~~            
(4星)	 喜欢耶律斜。            
(5星)	 唐人            
(5星)	 看少年杨家将哭得死去活来 后来买了碟准备重看 就没看大结局了 很喜欢何润东 这时对胡歌还无感啊            
(4星)	 虽是偶像剧，但还蛮让人入戏的。喜欢七郎、六郎、四郎和八妹。最后真费了我一大把纸巾            
(4星)	 彭于晏~            
(5星)	 虐死了            
(4星)	 TAT            
(3星)	 只看了一部分，喜欢胡歌，也比较喜欢何润东啦！只感觉有一些部分的戏有点假，不过很喜欢里面大家团结在一起的情节。            
(5星)	 从小到大唯一一部能让我从头看到底的偶像剧。里面的有些剧情和对白自然有点脑残，但总体上这部片子还是很成功地在比较轻松的氛围下讲述了杨家将这个很悲壮的故事。            
(4星)	 七郎T T            
(4星)	 想了一下，为了七郎多加一颗星，其实挺傻气的，这是唐人的吧？唐人的台词都很傻╮(╯_╰)╭            
(5星)	 彭先生万剑穿心，太悲惨了。            
(3星)	 彭于晏            
(5星)	 HC专用            
(5星)	 一群帅哥，彭于晏也太帅了            
(4星)	 养眼+搞笑+虐心            
(4星)	 奔着帅哥去的，女的长的也好……            
(3星)	 我很实诚的，虽然剧情有些让我看不下去，但是有四个以上的帅哥就给四星！我的时间也很宝贵！不能让我投入至少让我花痴一下！唉，我果然还是不太能看的下去……为了老袁还是有点违心的保留着三颗星吧            
(5星)	 好看好看好看／金沙滩看的我老泪纵横 死的壮烈！／从杨业身上明白一些道理／6郎是老胡最正的角色／郡主为6郎自杀的时候太佩服了 很美丽／关姑娘应该选耶律斜 他比5郎好 5郎太没有情趣了／杨夫人好牛叉／7弟非常搞笑 老婆很美丽／4郎好悲剧 最后失忆了...罗姑娘悲剧阿            
(NA)	 。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。            
(3星)	 还是刘诗诗最漂亮            
(3星)	 .......断断续续的看过...看到苏五郎和他女人的泣泣漓漓的爱情故事...我就彻底崩溃...跑去看Supernatural了..            
(5星)	 这部杨家将怎能不看。。。都这样帅&gt; &lt;            
(5星)	 好看，演员好，演技好，服装道具盔甲异常华丽，剧情连贯，人物个性鲜明，后半部分的故事感人致死！！！哭死我了~~~我正在看第3遍。。。。            
(5星)	 如果它不是悲剧的话我会更爱的T T。            
(5星)	 有老大的戏都给5星 最后竟也哭得稀里哗啦的            
(3星)	 唐人的制作一直不错。看这个一开始就单纯为了看帅哥呗。哎哟最后死的那个凄惨啊            
(4星)	 很虐很萌，结局很莫名= =            
(4星)	 算是古装偶像剧吧，呵呵~            
(5星)	 我觉得比仙剑有意思多咯~~            
(4星)	 哭得稀里哗啦的            
(5星)	 搞笑又不乏哲理，感人而不失大气；讲述少年杨家将们的成长与蜕变...            
(5星)	 我就不懂,这片为什么没红???            
(3星)	 就因为有我喜欢的演员当年死命的追            
(4星)	 咔咔，这里面的袁弘真是好帅啊~~~            
(3星)	 男人们都很美好~刘同学和另一个刘同学有点像，符合我的审美~            
(4星)	 平定安辉德昭嗣.大喜便有大悲.            
(3星)	 气愤~。。。看的郁闷~真多集~要不是有彭于晏。。我打死也不考虑看~~~继续绝望的主妇~            
(3星)	 我还真是什么都看。。。            
(NA)	 天啊,看得我,现在想起杨家将心都好痛,7郎啊,你真让我纠结            
(NA)	 不错~            
(4星)	 ZHU家将。和弟妹一起看。            
(5星)	 我学会了什么是真正的夫妻之道 也终于知道何为人妻 幸福不是必然的 要珍惜一起的时光 真爱 一辈子经历一次            
(NA)	 喜欢            
(5星)	 超喜欢,由于该戏,正式疯狂爱上何润东,触动心灵的剧            
(5星)	 我可爱的七郎啊~唉            
