http://movie.douban.com/subject/6110548/	对我说谎试试 내게 거짓말을 해봐
(3星)	 好几次想弃剧但都咬牙坚持下来了...男主角怎么胖成这样啊...            
(2星)	 这剧情...╮(￣▽￣&#34;)╭ 吐槽无能            
(3星)	 因为尹恩惠看的，结果看的实在太牵强了            
(3星)	 剧情太老套，看不下去了。            
(3星)	 后段真的很无聊！！前面还好。            
(3星)	 好演员吃力地演着很韩式的剧本。。诶~亮点在哪里？            
(3星)	 9集以后我就无语了 弃之            
(3星)	 到15集剧情有点乏味了，不想看了，弃。            
(3星)	None
(3星)	 如果不是尹恩惠……            
(3星)	 终于腻歪完了  恩惠xi你肿么了            
(3星)	 还是很喜欢尹恩惠。两个后期在一起后剧情反而没那么好看了。            
(3星)	 打发时间的无聊韩剧            
(NA)	 他们两个搭戏啊，完全想象不出。。。中间就放弃了            
(3星)	 好瓜的……姜志焕什么时候变这么娘的……            
(3星)	 脑残的编剧 白瞎了好演员啊             
(3星)	 可爱的小秘书！科科            
(2星)	 看了12集看不下去了也真坑爹 剧情还能再烂一点么            
(NA)	 阿~剧情果然很韩剧。。。灰姑娘神马的。。。            
(3星)	 女二是照着谁整的~抠鼻            
(NA)	 看到前几集，还觉得可以。。。后来不行了，果断放弃。。。编剧无力，男主越看越不顺眼了。。            
(5星)	 喜欢看，男主角好可爱。            
(5星)	 我的第二女神~ 尹恩惠            
(4星)	 鼻子上有志神马的真好看            
(3星)	 当时我选了姜OBBA的三部戏，一部这个，一部快刀洪吉童，一部京城绯闻，这个因为尹恩惠看完了，编剧很无语，明明可以编的很狗血的剧情（那样会好看些，虽然会有抄袭巴黎恋人的嫌疑），却编的这副样子。姜OBBA还是时装造型好看，快刀洪吉童看着看着，跟着男二去了。            
(4星)	 弱智肥皂剧，我喜欢！            
(4星)	 蛮可爱的。            
(4星)	 比较甜蜜 没有那么多梗            
(3星)	 不太好看说实话            
(NA)	 尹恩惠的哭戏真心的多 没有一部不哭的 有时候演员也挺不容易的 这个哭戏吧 大哭 小哭 欲哭无泪  欲说还哭~ 谁哭谁闪亮~            
(NA)	 喜欢前面的误打误撞，虽然后面有点腻歪，但不失为一部好剧。            
(3星)	 为了看尹恩惠！剧中男主角也太理想化了吧，无可挑剔。            
(3星)	 男猪脚真心娘。。。            
(4星)	 一般的剧情 完全因为喜欢尹恩惠去的            
(5星)	 久违了的感觉，触动心弦的是深情的眼神，唯美唯美~            
(3星)	 后面还是弱了点a             
(4星)	 突然感觉姜志焕有马景涛范，好用力。            
(NA)	 演员养眼            
(3星)	 好失望...是因為男主很醜嗎?..反正我只看女主換衣服            
(3星)	 尹恩惠还是以前的演戏风格，似乎一直没有变过，男主的声音有点嫩~总体来说是部比较甜蜜的片子。没有太深的意义了~            
(2星)	 尼玛毁了我对男猪脚在加油金顺重的完美形象啊！！！            
(NA)	 还不错！ 起码我看完了            
(NA)	 算唯一看的比较全的韩剧。            
(3星)	 韩国电视剧中的女人都没有自尊心吗！！除了狗血还是狗血            
(3星)	 冲着恩惠去的~~~            
(3星)	 直接跳尾巴看的。。。果然还是受不了只谈情说爱的片子            
(3星)	 太过梦幻。灰姑娘和白马王子的故事不是在谁身上都会发生。            
(NA)	 cola-kiss            
(NA)	 122011            
(3星)	None
(3星)	 尹恩惠老了，感觉脸都快掉下来了            
(2星)	 跳tone            
(4星)	 总是不能把一整部韩剧看完            
(3星)	 其實我棄了            
(3星)	 大话女说实在话还是挺可爱的            
(4星)	 满好玩的，不过好像情节什么的都够老套……结尾都能猜到了=。=            
(3星)	 太浪漫了，浪漫得有点儿假了……            
(2星)	None
(4星)	 虽然很爱尹恩惠，可是这剧我真是看不下去啊，勉强给个四星吧            
(4星)	 笑~            
(3星)	 没什么太大意思~            
(5星)	 韩剧 我喜欢喜剧 这部也是            
(3星)	 3星半。姜志焕大叔好可爱&gt;&lt;            
(3星)	 狗血+烂尾            
(4星)	 嗯~怎么说呢~~总觉得。。。有那么点像命中~~也是莫名其妙在还有前任的情况下不得不嫁给某人~~不过~~实在感佩韩国人整体的八卦精神~~要这事儿摆在中国~~绝对没戏~~            
(4星)	 Love love~            
(2星)	 没趣的韩剧，男主老男人没看头            
(NA)	 嗯  看了一天   很好看  感人              
(1星)	 我去，终于看完了这个让人蛋疼的韩剧，起码半年不再想看韩剧了。。。虽然我很爱尹恩惠，可是这样的烂剧超出了可以容忍的范围好么。。。早知道只看最后的几分钟就好了orz            
(NA)	 喜欢......            
(4星)	 尹恩惠的我都喜欢 哈哈哈            
(3星)	 看得下去，不过也是俗套的故事。            
(2星)	 话说拍到一半换导演了？？剧情乱搞，恶 恶 恶            
(2星)	 为了尹恩惠多加一颗星……            
(3星)	 背景音乐倒是都是国外热门的好歌。            
(5星)	 搞笑又温情~            
(3星)	 冲尹恩惠看的。。。剧情一般            
(NA)	 烂剧。。。。但是恩惠妞确实还是那么可爱~~            
(NA)	 被里面那对中国老笑死了，的确是从上海来的。。。也只能韩国人看看听听的为            
(3星)	 格式化的韩剧            
(2星)	 真心看不下去啊！！！我的青春！！！！姜志焕你的脸是怎么了！！！！            
(2星)	 姑娘，你是相等于我青春的存在啊，可是！这部戏你也接是想怎样？！不过里面的衣服完全好看，完全我爱的范儿。            
(3星)	 恩，剧情千篇一律，台词前后顺序还有问题。一分给尹恩惠，一分给姜志焕，一分给可爱的权世仁            
(4星)	 好好笑            
(2星)	 看完就不记得说过什么的片子。。            
(3星)	 脑残剧，实在是没剧看了打发时间还行吧            
(3星)	 尼玛男一的声音太disgusting了            
(4星)	 三星半。 一星是给我喜欢的尹恩惠，二星是给男猪脚后期的可爱表现，三星是给熟女剧情，半星给服装打扮以及济州岛的美景......            
(2星)	 13集弃            
(4星)	 挺好玩的            
(4星)	 长得帅、有责任心、常识、教养、风度~~~~~~欣赏玄奇俊的五件。            
(2星)	 一边看一边满大街找白衬衣，卡其绿外套。。。            
(5星)	 喜欢看这种浪漫甜蜜、让人心情放松的爱情韩剧，超爱姜志焕。            
(NA)	 好爱尹恩惠啊~            
(3星)	 弟弟君...            
(4星)	 尹恩惠整个儿无可挑剔 姜志焕演技略显浮夸（也许是声音问题） 他弟弟很不错 大有可为啊 编剧一般            
(3星)	None
(4星)	 来看姜OBBA滴，造型很帅，演技很棒！            
(2星)	 没有尹恩惠 就没法儿看了 男猪脚 一号二号 都比较让人不想回味            
(3星)	 女主的两个大门牙看着真别扭，演技也太夸张。            
(2星)	 尹恩惠整容没以前好看了            
(NA)	 美好但不现实……            
(4星)	 剧情还可以。男主角好帅，演技很棒！            
(3星)	 韩剧就是这样。。看过就忘。。            
(2星)	 恩惠姑娘怎么最近接不到好片，姑娘演技有突破，但是男主实在不养眼，演技又烂，情节一般，编剧又不给力，森女风又不是我的菜，毫无理由坚持，到第十集果断放弃。            
(5星)	 不错，很喜欢男猪脚。            
(2星)	 其实 蛮无聊            
(3星)	 大叔永远不是我的菜~~            
(NA)	 真的感觉尹恩惠不错            
(NA)	 这次的樱花落了就再也不会开了            
(3星)	 2011-12-30 fri 尹恩惠真好看            
(2星)	 今天翻東西時才想起今年還看過這部，不知所云到吐血程度...            
(2星)	 看了开头果断弃            
(4星)	 前12集都非常好看，从13集开始急转直下，没有逃脱韩剧拖沓的命运。不过尹恩惠在里边又让我恢复了信心，喜欢她的服装造型。            
(5星)	 好看，很喜欢姜志焕，帅气有型，演技出色。            
(2星)	 一个字唉...两个字, 太二.            
(3星)	None
(5星)	 帅哥美女啊.....            
(4星)	 很欢乐的言情片，保留了韩剧的一贯风格，两人好了之后的剧情基本就没啥看头了，越来越喜欢尹恩惠~~            
(5星)	 为姜志焕看的，演得很出彩，剧情也不错。            
(5星)	None
(3星)	 我爱尹恩惠！！！前面我的菜 后面剧情有点扯！            
(3星)	 尹恩惠是一直都蛮喜欢的，男主不是我的菜。看完都没什么映象的剧。            
(3星)	 就看了最后一集，还不赖啊，可能因为只看了一集的缘故吧，尹恩惠成熟了耐看了            
(5星)	 不错！尹恩惠和姜志焕很搭啊，男帅女靓，气场也很合！            
(3星)	 女主角的两颗大门牙和脸型真难看!            
(4星)	 男主角好帅啊，气质迷人，喜欢！            
(3星)	 不待用烂剧本糟蹋老演员的！看到一半才反应过来男主是我爱的姜帅哥啊，哭。最后变成男二党鸟。            
(2星)	 恩。。男主角挺帅的觉得。并且我坚持看完了。            
(2星)	 男猪脚太丑了            
(5星)	 好看！很喜欢姜志焕，帅气可爱，演技出色！            
(4星)	 如果你喜欢尹恩惠 如果 你不认为穷女孩和高帅富的故事 是脑残的编剧的惯用伎俩 如果 你纯粹打发时间并且喜欢看大团圆 OK 可以一看            
(NA)	 我觉得很好看呢，很唯美，很浪漫！喜欢            
(2星)	 没有新意！            
(4星)	 恩惠越来越漂亮了            
(3星)	 还行            
(4星)	 头一部看的韩剧啦，蛮可爱的，但是爱情没有这么梦幻吧，很喜欢尹恩惠啦            
(4星)	 不错！剧情虽略显平淡，但那种浪漫爱情所散发出的甜蜜氛围让人有心动的感觉，好想谈恋爱哦。            
(5星)	 喜欢浪漫甜蜜的爱情氛围，喜欢帅哥靓女组合的男女主演。            
(2星)	 病假在家没事就看了，带了很多快进还是没能坚持到最后一集啊，，，我是老了嘛，，，剧情太烂，爱情太俗！            
(3星)	 我妈爱死男猪脚了。            
(4星)	 男主角好帅好有型，演技也很赞！            
(1星)	 男猪脚真的是猪脚.......看不下去啊            
(3星)	 韩剧太能编，太乱编了，尹恩惠演喜剧不错。            
(3星)	 跨度半学期才看完啊 前边番茄汁那段笑死我啦 后边就非常一般咯            
(5星)	 不错，是我爱看的韩剧类型。很喜欢姜志焕。            
(3星)	 前部分好后部分 不想评论             
(2星)	 虽然我的理智不允许我看这么弱智的片子，但为了尹恩惠我还是看了。            
(3星)	 典型的韩剧，唯一的亮点就是尹恩惠的衣服            
(4星)	 经典韩剧~            
(2星)	 一团混乱            
(4星)	 还蛮适合消遣的~~~啦啦啦~~~            
(2星)	 姜志煥的片爛尾的機率怎麼這麼大，上一檔的咖啡館也是如此。            
(2星)	 用两天看完，但说真的不。。好。。看！~            
(5星)	 好看！男主角完全是偶的菜，好帅！气质、演技尤佳，喜欢！            
(3星)	 偶像剧果然不虐心虐肺，看起来好欢乐。。。为了防止堕落太久，直接跳到看结局，速战速决，哦也            
(5星)	 很男朋友一起看的 呵呵            
(2星)	 N久没看韩剧了，依旧是很扯的剧情。一星给姜志焕，一星给尹恩惠，但真不觉得尹好看..            
(5星)	 呵呵~ 很轻松愉快的剧情，看了2~3遍。            
(4星)	 男一号演技很棒！！啊，我又有恋爱的冲动了！！            
(4星)	 【2011】            
(4星)	 纯粹是因为喜欢姜志焕和尹恩惠            
(4星)	 轻松 不用动脑 加上喜欢尹恩惠所以这部剧还是有看点的～虽然韩剧都狗血 但给了我们很多对爱的期待还有对唱的歌好甜蜜 最近一听心情就好好啊            
(4星)	 男主角吃醋的样子很惹人爱！~            
(3星)	 男女主角似乎都有些老，唉，不是很养眼啊……            
(5星)	 爱就要执着！坚定！            
(NA)	 苦逼少女的大学消遣物            
(5星)	 喜欢！玄奇俊好帅，气质迷人！            
(5星)	 很不错的一部浪漫爱情喜剧。喜欢男女主角，帅哥靓女的组合，演得也很出彩！            
(2星)	 小秘书很可爱，至于其他的实在没什么可取之处，就这样            
(1星)	 剧情不合理，也无聊！男女主角都不受用！可能由于刚看完秘密花园，对比之下，这部片子太没劲了！            
(1星)	None
(3星)	 哎，还是觉得拖沓……            
(NA)	 双鱼巨蟹   玄奇俊  朴勋~~            
(3星)	 16集都有點嫌太長。這種片子就是讓眾婦女盆有對浪漫情節羨慕嫉妒恨的~            
(4星)	 让人轻松地都市            
(4星)	 我总遗憾。。。如果没有换编剧。。。会不会不是这个样子了呢。。。但还是很喜欢片子给我的感觉。。。大爱尹恩惠！！！HOHO~            
(3星)	 傻！            
(5星)	 有爱情、有亲情、有友情，还能逗你笑哄你哭，要那么多大道理干嘛，看电视的目的不就是这些么            
(3星)	 棒子有演不完的灰姑娘..男猪的款型不错            
(4星)	 女人真的不用愛得那麼卑微~            
(3星)	 给宅女幻想用的~~~            
(2星)	 要不是恩惠点击打开的心都没有！要不要这么鬼扯啊！！            
(3星)	 大叔比coffee house时期肿了...编剧试图证明强扭的瓜，吃吃就甜了，有时候绯闻会变真就是这个理？            
(5星)	 为姜至奂看的，很不错。欣赏玄社长的五件套。            
(2星)	 有点俗透了 又没有笑点            
(4星)	 爱情会让人变傻。但是，会变得更有人性。笑眼中满是温柔。            
(3星)	 今年就看了个这韩剧，夏天打发时间凑合看的，不过剧情已忘i。只i是能看下去而已~            
(3星)	 虽然剧情夸张，但演得舒服。。。            
(5星)	 喜欢这种没有很多虐人情节、轻松浪漫、男女主角赏心悦目的爱情韩剧。            
(3星)	 怎么说呢 没有让人有刻骨铭心的恋爱的感觉 一切都显得有那么点刻意            
(NA)	 冲着恩惠去的，不咋地            
(2星)	 ”不是想结婚，而是想成为结了婚的女人“ 太夸张了吧、、、            
(4星)	 女主角演得太过了，演技欠火候。            
(4星)	 大叔有时看着很帅，有时看着还是像大叔。            
(5星)	 姜志焕好有魅力，演技很出色！            
(4星)	 男主角是不是对自己的感情认定的也太不动摇了            
(4星)	 男1女1 都很喜欢              
(4星)	 虽然剧情及其老套，但是谁叫是尹恩惠和姜志焕演的呢？            
(5星)	 很好玩的一部剧。很爱剧里的周边。 &gt;.&lt;            
(3星)	 只是冲着女主去的~~感觉一般~~            
(NA)	 我终于有点明白现在男人的眼光了，原来是韩剧看多了            
(4星)	 笑死了，很适合打发时间，抛开那些个韩剧的通病，总体来说，还是有点儿意思            
(5星)	 看韩剧已经有十年的历史了，但是一直不习惯追剧什么的。这是我唯一追的一部韩剧。很喜欢。            
(4星)	 好看            
(4星)	 男主角后半段表演很有喜感。很有爱的片子。            
(2星)	 没看完            
(2星)	 男主角的演技真的不敢恭维。            
(3星)	 记忆点竟然是男主角的别针小花们            
(4星)	 剧情轻松，有了尹恩惠，一切都够了。            
(3星)	 开头不错 可乐那里有爱 剧情神马的就算了 虽然喜欢尹恩惠还是没看完=  =            
(3星)	 只能说还不错啦~男主偶尔有点娘 剧本有点无聊~不过恩惠的表现还是可圈可点的            
(4星)	 看演技的~            
(5星)	 又一个灰姑娘的故事            
(5星)	 觉得好好看。囧。            
(3星)	 男猪脚怎么是个娘娘腔！            
(3星)	 有一个灰姑娘  不明白名字是怎么起的            
(3星)	 没追完。。            
(5星)	 我喜歡那五種set            
(5星)	 小圆脸又胖回来了，当年拜托小姐上映那会儿说她整容的可以闭嘴了，呵呵，从五官来看，尹恩惠确实没有整过容，拜托小姐里的巨大变化，只是减肥和化妆的效果罢了。            
(2星)	 尹恩惠近几年接的剧是个屁哦。。。。            
(4星)	 喜欢尹恩惠，笑起来很甜美，剧情也有点意思，呵呵            
(3星)	 公务员像尹恩惠那样会不会下岗呐？            
(3星)	 尹恩惠不抽风还能接受            
(3星)	 话说开始很不错  后面有的落入俗套了            
(4星)	 喜欢男主角，外型、气质、演技俱佳！            
(4星)	 男主身材很好，但是那个脸和气质很像我的高中班主任......尹恩惠还是一如既往地好玩，真可爱咩            
(4星)	 不错吧~            
(5星)	 好看好看...韩剧就是让人花痴啊            
(3星)	 果断弃之~            
(2星)	 说谎吹牛如同滚雪球，越滚越大。云集了各种韩剧的俗套。俩男爱一女，富家公子哥爱上职员，家族兄弟情，各种装各种爱情浪漫口水俗套点，外加妒忌女挑拨。齐全了。            
(5星)	 挺喜庆的。。有意思，喜欢男女主角，值得一看            
(3星)	 开始还挺有趣，后来越来越脑残，11集弃了，网上google了余下几集的剧情介绍，后面几集更加脑残            
(4星)	 姜志焕的声音真是够尖的……结尾有点儿仓促啊            
(5星)	 很喜欢这种男女主角养眼的纯情韩剧，看得赏心悦目、身心放松。            
(3星)	 剧情太狗血了            
(3星)	 开头很好，后面无聊了            
(5星)	 喜欢            
(4星)	 感觉尹恩惠比咖啡王子一号店的时候老了。。。作为一部韩国轻喜剧的爱情片，还是蛮好玩的~值得一看            
(NA)	 看了个头又看不下去了            
(3星)	 就韩剧一直的模式。。。之前陪家里人看的，要不我怎么会看韩剧呢。还好我不排斥尹恩惠。            
(4星)	 姜志焕很帅气很可爱哦！            
(1星)	 尹恩惠只有演男生的时候可看            
(4星)	 能一直看完的剧很少很少...            
(3星)	 之前看预告就预感这部又是一俗套的剧，果真如此，唉，算了，就看看可爱的尹恩惠吧～～            
(4星)	 刚开始看觉得姜志焕不怎么样，看到后面我觉得越来越好看呢，成熟稳重还有可爱的一面。哈哈。            
(3星)	 最近在陪老妈看这个，很搞笑！            
(5星)	 男女主角很养眼，剧情轻松浪漫，喜欢。            
(2星)	 没想到我竟然坚持看完了 另：导演 你找个会说几句中国话的人很难么很难么= =            
(3星)	 弃了,两只不是很搭..            
(3星)	 没看完            
(NA)	 一般的套路： 富二代和灰姑娘的故事。最大的感触：流言原来这样起来滴。。。第一次真确的理解到什么叫“三人成虎”。。。。            
(5星)	 尹恩惠的片永远不会错过！            
(3星)	 感觉是看过,不过一点也不记得了.            
(2星)	 couldn&#39;t continue            
(3星)	 女猪脚的两颗大门牙真难看！            
(3星)	 额。。。失望诶。。。            
(4星)	 挺不错的一部浪漫爱情韩剧。男主角好帅，气质相当迷人。喜欢！            
(4星)	 前边虐虐的我很喜欢，唯一可喜之处就是男主爱的太快缺乏铺垫。可十集之后赫然转身变了味道，令我百思不得其解，难道换剧本换导演？男主不够帅，也是遗憾之一。当年洪吉童中颜被帅男二甩过几条街，如今找个更没有颜的男二，看起来确实舒服多了。因为情书和x man，我还是蛮喜欢看少女大力士的剧集的。            
(2星)	 看到男女主人公为什么有纠缠的时候就弃剧了，因为这个原因太垃圾了            
(3星)	 走不出的四角恋            
(4星)	 不错啊，怎么评价偏低呢！但故事情节真不新颖~            
(1星)	 太无聊了，这里的尹恩惠 没有一点好感，谁骗我看的？？浪费时间            
(3星)	 看不下去            
(NA)	 话说：看到后面。。。发现男猪角还是蛮帅的。            
(5星)	 好看。男主角很帅，演得很出彩。            
(4星)	 男主角长的不好看，不过内容凑合尹恩惠最近看的比较多，总体来说还不错的女演员～            
(4星)	 姜志焕好帅好有型啊！            
(4星)	 比较新颖 但优秀的点不多            
(3星)	 终于看完了，又臭又长的2011.10.08            
(5星)	 尹恩惠自从《咖啡王子一号店》之后,已没有突破！我有好失望！            
(3星)	 男主真的是让人无语啊~~~            
(NA)	 尹恩惠 表演也太夸张了吧。            
(4星)	 不错不错，虽然我现在只记得开头。            
(1星)	 真心无聊            
(5星)	 姜志煥好帥. 尹恩惠好靚. 顏色非常美膩~~~氣氛非常甜蜜~~前半部比後半部好看. 因為換編劇的原因, 可能...            
(3星)	 凑合，弃。            
(NA)	 一般            
(4星)	 快把人给看傻了……男主角帅哦~            
(NA)	 因為姜大叔而看，用來打發時間不錯。ps，韓劇里各種大叔一把將女主拽進懷裡的鏡頭真心有腔調。            
(3星)	 有时在谎言里，往往隐藏着比事实还要炽热的真相     我不是想要结婚，而是想成为结了婚的女人            
(4星)	 从第九集开始，就不可避免的狗血            
(3星)	 前面还挺好玩的，看了6集左右            
(5星)	 哈哈 还可以            
(4星)	 一直就觉得尹恩惠不漂亮，问题出在门牙和脸型上。            
(3星)	 长假就是要煲NC剧嘛！~~~第8集哭惨了虐！……后面剧情很拖拉！！            
(3星)	 有点扯            
(4星)	 啊啊啊 尹恩惠            
(5星)	 同学推荐的，确实不错。喜欢男主角，长相、身材、气质、演技都很棒！            
(4星)	 男主是今年新片里身材最没看点的，但是老套狗血的剧情看着很轻松，适合放空的时间。            
(5星)	 我觉得尹恩惠真的是票房保证，一开始不喜欢大叔，但是看到最后超可爱啊真是！            
(3星)	 能不能行  导演你找个中国人来中国人演能死啊            
(5星)	 很好看。姜志焕又高又帅，尹恩惠也很可爱。            
(4星)	 难道只有我一个人觉得尹恩惠的某个角度很像现在的林心如，而……男主角长得像拉宽版周杰么            
(4星)	 姜志焕魅力十足啊！            
(5星)	 大叔的魅力            
(2星)	 尹恩惠怎么跟了个这么傻X的男人！！桑梓            
(5星)	 很逗            
(NA)	 感动，搞笑，景美            
(4星)	 感觉到了后面情节不怎么吸引人了            
(3星)	 姜志焕你肿么了，你还记得当年爱得死去活来的金顺么。。女二跟社长是怎么了，这验证了一切反动派都是纸老虎的说法            
(2星)	 剧情其实没有什么看头，感觉有点像豪杰春香或是浪漫满屋，但剧情不幽默，发展的也有点刻意。而且兄弟俩两次喜欢上一个女的，多扯啊            
(4星)	 痛经的时候看了 有缓解一些            
(4星)	 不错的一部韩剧            
(3星)	 不喜欢..妈妈说很好看..咳.            
(NA)	 剧情挺俗套的说。            
(3星)	 还行，，，名字挺有情节的。。。            
(5星)	 很好看的一部爱情剧。非常喜欢外型、气质、演技俱佳的姜志焕。            
(3星)	 一样的恩惠，无聊的编剧            
(4星)	 其实只想给三星的，但是看在尹恩惠的面上，还是只能给四星啊。。。片子其实在热恋中的那个部分写的很美好。。。但是其他就。。。第二男猪脚的演技太差了。唉~~~            
(5星)	 嗯，我很喜欢。            
(2星)	 最后难免有些俗套~            
(NA)	 好的            
(3星)	 人物感情设计真不靠谱            
(2星)	 老套            
(3星)	 没有兴趣看下去。尹恩惠怎么看着怪怪的。            
(3星)	 因为有尹恩惠            
(5星)	 刚看完，很喜欢这种轻松浪漫、主角养眼的爱情剧。姜志焕的演技真赞，把拥有五件套的玄奇俊社长演绎得非常完美，不愧是一个获过多项演技大奖的优秀演员。            
(3星)	 男主演技实在差 到处透着娘气            
(4星)	 那两场吻戏拍得让人印象深刻，其他都一般!            
(2星)	 失望            
(3星)	 尹恩惠胖了那么多，脸一直肿着，还油糊糊的，好难看啊。            
(3星)	 比较俗套。唯一不俗的是姜志焕西服的装饰花不错。            
(NA)	 尹恩惠演技的确不错的说,男一号,一开始不觉得他咋的,越往后看越喜欢上他了,男人不都是这样,时间越长,味道越耐看.            
(5星)	 姜志焕怎么看怎么有喜感。。。还不错！            
(2星)	 尹MM挑剧也有走眼的一天啊~~~~            
(3星)	 冲着尹恩惠看的。前几集还好。            
(2星)	 孔雅静的这一句话说出了多少剩女的心情。是的，我们不是想要结婚，而是想成为结了婚的女人。            
(5星)	 很好看的韩剧。姜志焕已经由当年的花美男演员变为熟男演员，愈发魅力十足了，好帅！            
(4星)	 对于韩剧。我只有两个评价，一个是泡沫，一个是喜欢。这部称之为喜欢。            
(4星)	 尹恩惠真的好可爱，笑起来的老虎牙好可爱。。。穿什么像什么。。            
(5星)	 很不错。姜志焕好有魅力啊，喜欢！            
(4星)	 至少我还蛮喜欢的。            
(3星)	 因为尹恩惠看的  一直很喜欢她 不过剧情神马的都一般 倒是看起来毫无压力 结尾也匆匆了事            
(NA)	 前面看着挺有趣的，可是后面好像有点无聊！不过演员还是很养眼！             
(3星)	 可樂那邊太棒了五顆星但之後就還好            
(NA)	 我爱大叔            
(5星)	 比拜托小姐好看，这部剧的男猪脚比较帅的关系吧；恩惠演技超级棒，很自然，有时候大大咧咧有时候很害羞过度很好。造型也是很喜欢（嘿嘿，其实是比较遮肥）。其实她真的有点胖，但是都可以遮住，身材和范冰冰有点像，个子高骨架大，腿长，小腿细大腿粗。我觉得她穿的衣服都是考究过的，专门挡住大腿的。            
(4星)	 希望所以的爱情都是美好的。            
(3星)	 水准之下且莫名其妙...            
(2星)	 没有剧情可言，真是浪费了两枚好演员            
(5星)	 很久没看韩剧的我，超喜欢。2011最喜欢的韩剧，有我喜欢的淳朴可爱的伊恩惠，还认识了姜志焕，两个人的表演很到位，配合很默契。有点无厘头的剧情，时而逗得我捧腹大笑，时而感动得声泪俱下，不过最终两只还是幸福地在一起了。总之，是一部很好看的韩剧。            
(3星)	 剧情其实有点老套拉            
(3星)	 喜欢这么真实的女孩            
(3星)	 韩剧吧，这男主角似乎都是最初跟仇人一样，等恋爱了就变得无比温柔体贴            
(5星)	 男主好帅、好有魅力，演技还那么棒，剧中最出彩的就是他了。            
(4星)	 蛮喜欢的，这男人第一眼不帅，二三眼就爱上了            
(4星)	 剧情非常一般。。完全没内容的 很拖沓。。就是看发看发觉得男主很灵呀            
(3星)	 没大看明白···            
(3星)	 一锅乱炖。            
(2星)	 情节又老套又牵强..            
(3星)	 迷男1和男2~~~            
(4星)	 就是看完了。在同期众多的韩剧之中。            
(1星)	 剧情真瞎啊。。。浪费了两个好演员            
(5星)	 尹恩惠，叫我怎么能不爱你            
(3星)	 韩剧是用来放松神经的            
(4星)	 狗血的剧情。但是姜志焕太有爱啦！！满分啊亲~~            
(4星)	 喜欢尹恩惠肉肉的脸和那对兔子牙，表情丰富又自然。男主顺眼，男二好像认识的一小友。忽视掉韩剧必然的种种弱智，还是挺好看的。            
(NA)	 恩惠姐姐的油光脸怕是要注意了            
(4星)	 花了几天时间，慢慢的看完了，还不错，反正能吸引我一集一集看下去。            
(3星)	 第一集很好笑啊  尹恩惠老了很多的赶脚            
(NA)	 越往后看越好看，真的很久没看到这么一部好看的韩剧了。            
(3星)	 冲着尹恩惠看的,还可以吧            
(4星)	 看的时候觉得有小小的吃惊，怎么会有那么脏的女生。            
(5星)	 很韩式. 很恩惠.不过可乐那一段~哎呀~            
(NA)	 有没有人觉得社长简直完美到极点，耍赖，尤其是大叫着是我的是我的时候特萌。            
(2星)	 老套的情节，灰姑娘变公主的故事。如果不是女主角不会看，只是有时候消磨时间而已。结局没看懂，是说有过共同的回忆就叫爱情？            
(4星)	 最喜欢尹恩惠了，不过这个剧越往后看越觉得拖沓            
(3星)	 开始非常搞笑，到中间偏后剧情就没意思了，一贯的轻喜剧好结局。基调还是积极向上的。            
(5星)	 男主超帅啊～！！            
(5星)	 我觉得，韩剧的魅力就在于让复杂的人在看戏时变得简单，享受简而浪漫的幸福。            
(3星)	 姜志焕帅！            
(3星)	 韩国人扮演中国人说话。尼玛还上海的。让我淡定不能。            
(3星)	 还不错啦。尹恩惠很容易出油的脸            
(3星)	 收视率低不是没理由的，前几集剧情真的是不行，中间好了很多，但后两集又无聊了。酱油男二明明就还是个小孩啊，演技不行，还驾驭不了这个27岁的角色，短发比长发帅。还有姜志焕的声音好扁            
(4星)	 搞笑            
(3星)	 浮夸。男主小小透露出娘的气息。            
(4星)	 我喜欢尹恩惠的一字眉、细腿还有她的大风衣……            
(4星)	 主要是冲着尹妹子的那张脸去的。前半段有情可原，后半段又重复了韩剧的套路，狗血了。。。快进结束！            
(4星)	 因为喜欢恩惠~ 所以才看的。但是最后一集还是没看完。            
(NA)	 剧情不够，吻戏来凑！可乐之吻是一个亮点            
(3星)	 无聊又狗血            
(3星)	 韩剧都是大长巾……尹恩惠好漂亮            
(4星)	 全全依靠尹恩惠撑起戏份。            
(NA)	 女人的流言是很可怕的。。            
(NA)	 俗剧一部            
(4星)	 有些环节是跳着看的，但是总体来说还是个不错的电视剧            
(3星)	 前面觉得挺好看，可看到后来突然特别反感尹恩惠哭，所以后面的都没怎么认真看。            
(4星)	 后面的剧情太拖沓......男女主角都是我的心水啊，怎么可以这样浪费呢！            
(4星)	 喜歡恩惠！！            
(4星)	 还不错            
(5星)	 好看的韩剧。喜欢外型、演技兼备的姜志焕。            
(3星)	 尹恩惠还是很喜欢的 不过韩剧的老套路还是很不喜欢的             
(4星)	 天哪~也赐给我一个这样的男人吧~~~~~~要后半段的！            
(NA)	 可爱            
(5星)	 好看！姜志焕魅力十足啊！            
(2星)	 即使无聊到死，也实在看不下去了。。。            
(3星)	 老套路，王子灰姑娘。            
(3星)	 韩剧大多虎头蛇尾，这个也不例外。            
(5星)	 为姜志焕看的，演得确实很出彩。            
(2星)	 又是一个JP编剧，颠三倒四，看得莫名其妙。尹恩惠有越长越残的趋势，到了后期由于拍摄辛苦那个熊猫眼有点不忍看了，倒是男猪那一脚飞踢长椅看出了深厚的足球功底...            
