http://movie.douban.com/subject/2208933/	武则天
(4星)	 所有星星送给剧中一干具有古典温婉气质的美丽女子们！            
(4星)	 武则天，前无古人后无来者            
(5星)	 刘晓庆演的武则天印象深刻            
(4星)	 天朝第一君，是个女儿身。抱在娘怀里也娇嫩，不爱胭脂爱乾坤。            
(3星)	 刘晓庆绝对经典的片子            
(4星)	 女主武王。            
(4星)	 当时我觉得她的头发长的真快            
(4星)	 对比，这部较真实~            
(3星)	 70分            
(3星)	 儿时记忆···记得在深宫，深红色，咖啡色，一个落寞的女人，还有装着鸟的鸟笼 当时觉得好诡异 不懂            
(4星)	 hoho 小时候爱看的电视剧            
(4星)	 印象最深刻的武则天，后来才知道刘晓庆演这片子的时候都快50了，化妆技术真是奇妙。。。。。            
(3星)	 还行            
(4星)	 刘阿姨在里面的扮相还真不赖诶，只有她能担当此剧 啊            
(4星)	 一代女王            
(1星)	 想起来都恶心            
(4星)	 很少的中央一台播过的，我看过的，还觉着可以的            
(5星)	 刘晓庆的武则天是经典            
(5星)	 看这个电视剧的时候，我总觉得刘晓庆就是武则天转世，演得太逼真了！            
(4星)	 小时候每天下午守着看            
(5星)	 我的兰儿啊啊啊            
(NA)	 这个只看过一遍，反正很小的时候。天哪。。。。。。            
(4星)	 无法动摇的王者版本！            
(5星)	 刘姥姥宝刀未老            
(5星)	 刘晓庆的表演可圈可点，只是演员本身的限制，使一代才女加风华绝代的美女于一身的气质没有很好表现，有时像个骂街泼妇。            
(NA)	 小时候央视热播，隐隐约约有点印象            
(4星)	 小时候迷恋的            
(5星)	 不得不佩服刘晓庆同学的演技。虽然和大部分的电视剧本一样，挖掘不够深入，编剧单一化，故事讲起来有点草率。不过刘晓庆还是把一个女人的心思演活了，演的入木三分。现在想起来，片子的技巧性来源于历史本身的魅力，剩下了便是演员独到的感染力和驾驭能力            
(4星)	 话说刘大妈那时真有魄力。。            
(NA)	 一代女皇武则天            
(4星)	 真正看到刘晓庆演技的片子，还是老片比较拍摄的有水准            
(NA)	 伴我成长，很好看            
(4星)	 还行            
(5星)	 最近重温一下，还是觉得很好看~~            
(5星)	 刘晓庆姐姐 实在是演的太好了            
(5星)	 好经典呀~~~觉得当皇后之前好看            
(3星)	 天啊，高超的化妆技术~~四十岁变二十岁            
(NA)	 从这部戏认识了刘晓庆            
(5星)	 算是刘晓庆的代表作了吧            
(4星)	 迷恋上武则天            
(5星)	 从这里知道了武则天。。哎。。。            
(2星)	 不喜欢刘。            
(5星)	 演的好            
(5星)	 不能不服刘晓庆            
(4星)	 小时候的事~~已经想不起来了            
(4星)	 这部剧的造型太漂亮太经典了~李建群真是才女啊            
(4星)	 当时我为啥觉得有点可怕呢，蛮傻的&gt;&lt;现在想起来。            
(NA)	 童年回忆系列            
(3星)	 记得弱弱的宝国皇帝            
(NA)	 功劳与否任后人评说            
(4星)	 从十八演到八十，放眼中国大陆，除了刘晓庆，别无他了。港台的有个潘迎紫，又叫不老神话的那个。            
(NA)	 光头的刘奶奶            
(4星)	 演得确实不错~            
(3星)	 当年跟姥姥姥爷看的            
(4星)	 很大气的剧……虽然不是谁都能看着喜欢的那种OTZ            
(4星)	 最是那一咬的温柔            
(4星)	 快没印象了...            
(NA)	 脑袋里还鲜明的留有武媚娘还俗后很现代的那个短发形象。。。囧            
(4星)	 武则天的都喜欢            
(NA)	 央视又一部优秀的电视剧.            
(4星)	 刘晓庆太美了，在她那个年代她是当之无愧最美的            
(5星)	 最喜欢的这一版的武则天            
(4星)	 现在再看，真佩服那个时候对化妆与服装的一丝不苟            
(NA)	 演技 史实 俱佳            
(NA)	 经典恐怖片～～～            
(3星)	 觉得她不像武则天            
(5星)	 经典阿            
(3星)	 不怎么好 勉强通过吧            
(3星)	 不太記得了～            
(3星)	 对于以前看的电视剧完全失去判断力......            
(3星)	 女王美            
(5星)	 看多了现在满眼的瘦瘦的美女，再看这版武则天，里面都是丰腴的美人儿~@^_^@~好美啊！             
(4星)	 刘晓庆并非浪得虚名            
(NA)	 刘晓庆的演技没的说            
(4星)	 刘晓庆扮年轻时候的武媚娘，惊艳啊。            
(5星)	 经典             
(5星)	 那个时候刘晓庆真是好看啊~那里还有陈宝国            
(5星)	 刘晓庆演得很好~~长大后觉得这部比潘迎子版要好~~            
(5星)	 我那时候总学武则天坐在凳子上 脖子一梗一梗的            
(4星)	 刘晓庆演的还是不错的，就是粉厚了点            
(5星)	 原来唐朝这么乱            
(4星)	 重温            
(4星)	 好看            
(4星)	 十三年了，灯光摄影服装布景化妆表演...那啥，搭沧斤，也叫精品?!            
(5星)	 在我心中的经典，当时真的为不能看完全剧而伤心了好长时间            
(3星)	 其实电视机本身可以打四星，问题出在刘晓庆用力过猛，而且怎么看怎么像没读过书的。            
(NA)	 这部戏让毛戈出名了。。            
(3星)	 和妹妹看的很开心···            
(3星)	 刘晓庆当年还是挺漂亮的,那个时候除了看CCTV好象就没什看的了            
(3星)	 装嫩            
(NA)	 刘晓庆当年确实是个美女...演技也不错...可惜...晚节不保呵...            
(4星)	 她不年轻            
(3星)	 妆化的无懈可击,可是看这那么老的人装嫩总觉得别扭            
(5星)	 小时候就喜欢这个，虽然刘晓庆不招人待见，但是演的确实不错            
(NA)	 描述了最接近历史事实的武则天            
(4星)	 爱武则天，也爱刘晓庆，即使舆论都给了他们粉大压力。            
(5星)	 不管怎么说，这部是当时已有的武则天电视剧里最认真的了！            
(4星)	 一个50岁的大妈，把女人演绎成这样，也该表扬下了            
(3星)	 印象不深了，只记得女主角很pp            
(NA)	 当年我看的时候连话都说不清楚，把武则天说成九则天，汗……            
(5星)	 精彩！            
(NA)	 这个我看的比较多- -其实挺假的            
(4星)	 武媚娘的扮相真是贊            
(3星)	 还有陈宝国呢……？            
(3星)	 童年回忆            
(NA)	 当年巨牛的电视剧            
(5星)	 艰辛离奇、辉煌灿烂而又痛苦孤独的一生            
(NA)	 1995年            
(3星)	 我真是啥都看啊……小学时真闲            
(3星)	 一代女皇            
(4星)	 风靡一时            
(4星)	 很接近历史的一部剧,现在这种电视剧已经快要绝种了            
(5星)	 好久远也是！            
(5星)	 其实拍的和演的都很好，尤其喜欢不老的刘晓庆！            
(NA)	 陈宝国、刘晓庆            
(4星)	 她一生侍奉李家人、嫁了李家人、杀过李家人却又生了李家人；为了登上皇位，她牺牲了二子一女、两兄一姐和外甥、外甥女，却不得不把皇位还给李家            
