http://movie.douban.com/subject/2229596/	东游记
(3星)	 超喜欢穿山甲啊……恨死何仙姑了555555            
(5星)	 牡丹仙纸～～～～～～～            
(3星)	 小时候传说这剧是个小孩子写的，也没证实过真伪。牡丹仙子是真漂亮，吕洞宾那时候也风流帅气还没公认为咆哮教主……其实我挺喜欢何仙姑的那个演员，叫郑秀珍吧。。。            
(3星)	 白牡丹            
(4星)	 现在看感觉很烂，但在那个我自己借VCD来整个周末泡着看的年代，其中就有。            
(3星)	 就是八仙....            
(3星)	 马哥！！            
(3星)	 当时新加坡电视剧还流行着~            
(3星)	 我是来看小马哥的            
(3星)	  = =             
(4星)	 80末出生的人是这样成长的～            
(3星)	 教主啊~当年还是年轻帅哥一枚~            
(5星)	 当时为了牡丹仙子哭的稀里哗啦的            
(5星)	 华丽的回忆。击掌那一幕记忆犹新，诚以为那才是感情的极致。            
(3星)	 看了很久，没什么印象了都            
(3星)	 原来看我过这么多电视剧            
(4星)	 小时候特喜欢马景涛，那么帅的人居然。。。。            
(4星)	 在当时来看这片风格实在是太奇怪后来才知道是新加坡制片，总之穿山甲太尼玛丑了            
(1星)	 垃圾片好么            
(5星)	 我就是因为这部剧爱上马景涛教主的你信吗！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！            
(5星)	 多好看呐，还勤奋的听主题曲把歌词抄下来，练习。老喜欢穿山甲了，可是何仙姑不喜欢他。            
(4星)	 小时候看的 电视真多,难怪考试不及格,好喜欢何仙姑呀            
(5星)	 郭妃丽好美            
(2星)	 不好看            
(4星)	 太怀念了            
(4星)	 西游虽然经典，东游也不赖            
(4星)	 小时候放寒暑假的时候经常看，超喜欢何仙姑            
(5星)	 多年前当我还是个孩子的时候 很喜欢看            
(5星)	 最爱两个人牡丹仙子和蜥蜴精            
(NA)	 马教主。。。牡丹仙子            
(4星)	 只羡鸳鸯不羡仙。            
(5星)	 不知道为什么，总觉得以前小时候的电视剧都经典而且剧情记得比现在看的清楚。。            
(4星)	 长大后才知道是部新加坡电视剧，当时只记得何仙姑和牡丹仙子都太美了！            
(NA)	 景涛兄难得没有咆哮的一部戏…ORZ            
(3星)	 牡丹挺美的，仙姑长的不咋滴            
(NA)	 我记得我喜欢穿山甲。。。好可怜            
(2星)	 磨磨唧唧            
(4星)	 无限回忆            
(5星)	 我当年是多么希望吕洞宾和何仙姑在一起啊！片头曲超好听。            
(4星)	 郭妃丽!            
(3星)	 当年爱看            
(NA)	 赫赫。当年好稀饭看则个。。。            
(3星)	 当时看时就是觉得这片子怎么如此之沉重。。他们之间除了纠结就是纠结             
(4星)	 教主神威            
(2星)	 好土哦            
(5星)	 现在看觉得那谁好像唐嫣啊            
(NA)	 对头 当时觉得这部戏很高级            
(4星)	 小时候看的了。            
(3星)	 印象里一般吧             
(2星)	 那個時候的馬哥還風流倜儻，後來為什麼變成咆哮帝？            
(4星)	 小时候觉得里面的女生好美。            
(4星)	 小时候看的            
(4星)	 那时候老爱咆哮马的。还有两个女主都好喜欢            
(4星)	 咆哮哥            
(4星)	 不知道说什么诶~小时候的记忆吧~~            
(3星)	 太二逼了，马教主啊            
(3星)	 表示，其实还是挺好看的。很怀念小学的时候，一放学就回奶奶家看电视的时光            
(4星)	 那是咆哮马还没有肆虐天涯  还挺喜欢吕上仙的            
(4星)	 &#34;走啊走啊走。。。好汉跟我一起走。&#34;歌词是这样的吧？！            
(3星)	 总算看完了            
(5星)	 不错不错，过去的回忆呀！            
(3星)	 好怀念            
(3星)	 那年我小学~觉得吕洞宾巨帅            
(3星)	 小时候看得好尽兴的......            
(NA)	 当时好喜欢马锦涛真的昏了我的眼            
(4星)	 我小学的时候这个热播，记得我当时的同桌天天唱“逍遥游”终于把我唱的一听那歌就浑身难受……其实是首很好的曲子来着。            
(5星)	 好看死啦！！！！            
(3星)	 没什么印象了....            
(2星)	 有印象            
(4星)	 当时看的好混沌            
(3星)	 我有一次为了这个没有做暑假作业            
(NA)	 当年好喜欢好喜欢。            
(3星)	 还记得以前很奇怪它为什么叫“东游记”，呵呵~~            
(3星)	 教主 牡丹很美嗯            
(4星)	 这部是文艺教主            
(4星)	 咆哮帝的古装剧！小时候暑假整天看啊！            
(3星)	 最喜欢吕洞宾和张果老了，里面的歌也很喜欢            
(3星)	 小时候看过的电视剧9            
(NA)	 这个必须记住。最偶像剧版本的东游记。            
(3星)	 中学时看的，马景涛还不错            
(4星)	 我当时貌似还追这剧来着，我好希望何仙姑和吕洞宾在一起            
(5星)	 小时候的美好回忆 那时候觉得仙女就应该是牡丹仙子那样的吧             
(3星)	 出了那首主题曲，别无出彩            
(4星)	 记得八仙都长什么样，记得最后那谁和魔化了（。？）的吕洞宾在什么洞里。。。。还有最后他们过海。。。            
(4星)	 拍的太“字正腔圆”反而不像新视的作品。            
(3星)	 其实何仙姑和吕洞宾挺配的~            
(4星)	 当年很喜欢韩湘子还要嘴硬不承认最后被我哥说破很丢人            
(5星)	 一直以为仙人就是这部剧里的模样            
(4星)	 小时候很喜欢看，记得还是贵州台放的。真另类的八仙，不过形象还算饱满。            
(4星)	 马景涛怎么不咆哮..这样不好            
(4星)	 原来大家小时候都觉得吕洞宾应该和何仙姑在一起&gt;&lt;            
(4星)	 教主的片儿又是，当时觉得牡丹姐姐好好看。。。            
(4星)	 长大了才知道是新加坡拍的...教主的吕洞宾形象深入人心啊            
(3星)	 我勒个去，小时候很喜欢看的神剧啊。。。            
(NA)	 当时感觉这个电视很变态，但是还是看了好几遍            
(3星)	 当年，教主还不是教主             
(3星)	 我最爱的何仙姑啊！！！！！            
(5星)	 还TMD是花钱租碟子看的            
(NA)	 我们的咆哮马。            
(3星)	 那时年少各种剧~            
(3星)	 有点扯，喜欢穿山甲            
(5星)	None
(NA)	 初中时和妹妹一起看的 那时还因为晚上不让看电视而气得半死            
(3星)	 。。。。            
(NA)	 当时喜欢白牡丹啊。。            
(3星)	 当时觉得何秀姑和吕洞宾在一起不就结了么。            
(5星)	 郭妃丽 郑秀珍两位真是太漂亮了。。。几位配角也很幽默，特别是林益盛。。。。另外，两首歌《逍遥游》和《相思无解》也非常棒，可惜宣传不够，完全有潜力成为经典的。            
(2星)	 印象中就是乱七八糟的            
(3星)	 越来越脑残。但是几位女仙子还是张的不错的。            
(4星)	 偶当年很喜欢何仙姑的。可四为虾米咆哮哥总是在里面转扇子呢。            
(4星)	 这个我居然也看过！！浓浓的新加坡味~~很玄幻，对于当时还是个孩子的我很对胃口。            
(NA)	 532235，66655532~~            
(3星)	 三星全部给牡丹仙子            
(3星)	 话说....小学那阵子还是萌过咆哮帝的.....................掩面...            
(NA)	 又一次卧谈时候聊到的，我最喜欢何仙姑和穿山甲的            
(NA)	 现在想想还是觉得很好看呀            
(4星)	 那时候的咆哮马还不叫咆哮马，风流倜傥啊，觉得还真的蛮帅的            
(4星)	None
(4星)	 片尾曲好听            
(5星)	 依稀记得黄粱一梦的情节，一直以为是真实的情节铺展，于是这便也成了我对小时候的黄粱一梦。            
(4星)	None
(4星)	 印象深刻            
(3星)	 最有印象的是穿山甲---一个大反派            
(NA)	 新加坡那几年真的很有魄力            
(4星)	 一直纠结吕洞宾没和牡丹仙子在一起！            
(NA)	 啊 教主在此！谁敢抗命！            
(3星)	 好像是新加坡的电视剧            
(3星)	 记得当时很喜欢孙影~ 还有就是觉得吕洞宾一定要和何仙姑在一起~            
(3星)	 印象深刻！！            
(NA)	 好像是没看完整版吧，但记得当时真的蛮爱的，小孩子嘛，当然喜欢。            
(3星)	 看的时候每次都在担心牡丹仙子和吕洞宾~            
(4星)	 爱仙姑不爱牡丹~            
(1星)	 极烂的电视剧，实在看不下去            
(NA)	 ！！！！咆哮马演吕洞宾，哂纳……            
(NA)	 挺搞的            
(3星)	 我小时候就觉得人物真特么复杂。            
(3星)	 教主其实还是很美貌滴            
(5星)	 教主~！一直记得的是狗咬吕洞宾那一幕。            
(4星)	 都有点记不太清了，当时觉得他们都很好看，嘿嘿。。            
(5星)	 很小的时候就看过  喜欢吕洞宾何牡丹  希望他们在一起            
(5星)	 看到吕洞宾和牡丹的那一幕，妈的真上火，真痛心啊……            
(2星)	 马哥那袭白衣。。            
(1星)	 白牡丹说话的感觉....让我一直不明白这个女人到底好在哪里            
(4星)	 看了好多遍 当时就想那个白牡丹怎么还不死啊 何仙姑那种感觉多好啊            
(NA)	 我记得我没怎么看啊。可是对吕洞宾印象很深刻，后来才知道这是叫煮啊！！            
(4星)	 那时咆哮哥也很帅！T T喜欢何仙姑和蓝采和！            
(4星)	 我很喜欢牡丹的啊！！！差点泪奔的啊！！！！主题曲很好听啊！！！！当然也喜欢何仙姑的！            
(4星)	 四星给白牡丹，韩湘子得一星，咆哮洞宾减一星。            
(3星)	 当时挺喜欢的。            
(3星)	 马叔叔那时候很帅。            
(3星)	 马景涛的造型印象很深            
(3星)	 穿山甲            
(4星)	 何仙姑和那谁是一对？            
(4星)	 那个牡丹仙子真是漂亮啊            
(4星)	 喵的。。我就记得命运坎特的穿山甲了。。            
(3星)	 当时的教主还是我心目中的帅吕洞宾            
(4星)	 当时很天真地yy吕洞宾跟何仙姑            
(3星)	 直到现在依然觉得郭妃丽真是美。            
(3星)	 还是初中            
(4星)	 片中插曲“走啊走啊走”，还有多少人记得。那时多么希望吕洞宾和何仙姑在一起，穿山甲对何仙姑也真是真情。            
(3星)	 儿时记忆            
(NA)	 涛哥的各种狗血剧            
(3星)	 爱情很纠结~~~关系也纠结            
(4星)	 当年真喜欢啊            
(4星)	 小时候不知看过多少遍            
(2星)	 韩湘子长得像蔡国庆。            
(3星)	 那时候特迷牡丹仙子！            
(4星)	 我记得主题歌很好听，马教主没怎么咆哮还很帅，最爱何仙姑，爱情之外这个世界大而美            
(NA)	 好汉跟我一起走 发现很多人爱白牡丹 我爱白牡丹！            
(4星)	 小学爱看            
(5星)	 偶要回顾~~~~            
(3星)	 啊，我也看过            
(4星)	 当年对这些神仙那叫个迷恋            
(NA)	 纠结的爱情，一会儿神仙一会儿贬为凡人的，瞎折腾            
(4星)	 啊呀呀  当时觉得可好看了            
(3星)	 才发现有马景涛            
(NA)	 还好有人记得它            
(3星)	 咆哮马蜀黍。。。记得当年一开电视到处都是蜀黍的青筋。。。            
(4星)	 那时最喜欢何仙姑了~            
(5星)	 小学超级爱看，那时看电视还是用天线。            
(4星)	 好看的新加坡电视，里面的人很好看，景色也非常美。            
(4星)	 谢韶光的穿山甲演的好棒~为毛总是对反派印象深刻~            
(4星)	 郭妃丽果然美哦。            
(5星)	 原来好爱看！！！            
(5星)	 我喜欢牡丹~~！！！！小时候看的片子呀怎么能不爱！             
(4星)	 太小的时候极其迷恋，马景涛演得吕洞宾真的是一见此君误终生。            
(4星)	 制片是新加坡            
(5星)	 主题曲《逍遥游》很好听            
(3星)	 为了教主，多打一星……            
(NA)	 马景涛啊！！！！！！！！！！！！！！！！！！！教主啊！！！！！！！！！！！！！！1            
(4星)	 小时候觉得里边的女的都特漂亮            
(5星)	 吕洞宾很帅气啊~很好看啊~何仙姑 龙三~~            
(4星)	 童年回忆，不错。            
(4星)	 教主！！            
(3星)	 唔.......我看过，但自己都不好意思说...            
(4星)	 我哭……又是一个给我留下阴影的片子。很长时间我都不知道蓝采和的性别。不过牡丹仙子美到爆！韩湘子你个情圣你对不起你老婆你还对不起小蛟！穿山甲你太阴暗了真的没事你别控御姐了，孩子你驾驭不了。洞宾哥你别跟仙姑搞暧昧了你赶紧把牡丹姐姐扛回去吧……            
(3星)	 原来是新加坡拍的...            
(4星)	 小时候看的，为什么我觉得小时候看的剧都那么经典呢，那时候好像很希望吕洞宾和何仙姑在一起呀，那时候也没发觉马景涛的咆哮功力，哈哈~            
(3星)	 喜欢白牡丹            
(4星)	 其实我蛮同情白牡丹的。            
(3星)	 唯一一部能看进去的神话片            
(3星)	 剧情是很扯，不过当时也是天天追着看的            
(3星)	 其实，我不怎么喜欢。。            
(NA)	 又是一个夏季的记忆啊！            
(4星)	 三星都给郭妃丽的容貌,何仙姑那个讨厌啊,这个新加坡演员就是喜欢不起来.            
(3星)	 白牡丹美丽，情节忘空空。            
(3星)	 穿山甲长得太恶心了。当年是新加坡剧横行啊！！！            
(3星)	 配乐不错 景色好看            
(NA)	 只记得里面的风景特美，是在黄果树瀑布那儿拍的吧？            
(2星)	  郭妃丽好美~            
(3星)	 这里边的仙子都。。。唉，个人口味不同 吧            
(4星)	 话说当初很喜欢何仙姑啊··还有韩湘子··关注了他的围脖··一可爱的2货··逗死了            
(3星)	 小时候看的，只模糊记得，妖怪可以任意变成他想变得人            
(3星)	 为什么这么多年过去了，我印象最深的是最后，何仙姑问吕洞宾，吕动宾有没有爱过何仙姑，而吕动宾反问，那么何仙姑有没有爱过吕动宾呢？顺序不知道对不对，但是就是这样的两句话，当时让我很惆怅.             
(3星)	 印象里一般吧            
(NA)	 这个绝对是太怀念了 景涛哥啊~！            
(4星)	 咆哮帝出品，必属精品，啊哈哈哈哈            
(NA)	 喜欢白牡丹，讨厌自以为是的荷花。            
(3星)	 郭妃丽美            
(5星)	 原来这部剧叫这个名只！！！！            
(4星)	 大致内容都不记得了我只记得龙三很漂亮啊            
(3星)	 当时那个什么仙子让我很恶心~~~            
(3星)	 当年被郭妃丽惊艳到了~            
(3星)	 小朋友应该很喜欢看。            
(5星)	 回忆            
(NA)	 哎哟我当时可喜欢马景涛了！！！            
(4星)	 给4分就是因为记忆，怀旧。话说我竟然喜欢里面韩香子的角色。哈哈哈！            
(4星)	 小时候很爱啊            
(3星)	 我還蠻喜歡何仙姑的好嗎            
(3星)	 那时候觉得很好看特技做的不错            
(4星)	 不错啊            
(4星)	 呂洞賓&amp;何仙姑明明就超曖昧的啊，有木有！不准給我提白牡丹 = =！            
(4星)	 何仙姑和牡丹仙子很漂亮            
(NA)	 只記得糾結無比的馬錦濤            
(3星)	 哈哈，学生暑期档！            
(4星)	 那首主题曲还记忆犹新。            
(NA)	 后遗症是 拿到什么乐器就想弹片尾曲 尤其是古筝。            
(4星)	 白牡丹漂亮，韩湘子我很中意，恩就是这样。            
(2星)	 喜欢马景涛和郭妃丽那段故事            
(4星)	 当年看的时候，教主演的吕洞宾好帅啊            
(2星)	 童年的阴影啊混蛋！！！看到演穿山甲的家伙我就起鸡皮疙瘩            
(4星)	 有空再看一遍            
(3星)	 一直搞不懂何仙姑怎么就那么受欢迎..            
(3星)	 荷花姑挺怜爱她的，不过不喜欢那个男一号喜欢一个花仙子为她要死要活的。            
(4星)	 在我记忆力 就是一部神奇的电视剧            
(4星)	 曾经很迷很爱看            
(4星)	 觉得比西游记好看 啊            
(5星)	 想不通打分的人是怎么想的！这部可是八仙所有版里最好的呀！            
(3星)	 好喜欢牡丹来着。            
(4星)	 白牡丹好漂亮。            
(3星)	 小时候看的            
(NA)	 当时很喜欢看是怎么回事- -            
(5星)	 牡丹仙子真是深入我心            
(4星)	 原來不叫八仙過海.....喜歡何仙姑&amp;藍采和            
(5星)	 很喜欢哦            
(2星)	 记不清了，十几年前播过一次            
(NA)	 让我爱上九寨沟            
(4星)	 其实滿经典的吖哈哈哈。            
(3星)	 看了很多遍的同一个地方 似乎自己还没有完整的看完 不过 现在应该没有心情去看完它了吧            
(3星)	 看過一點。依稀記得一句臺詞很經典。人活在世上，哪個不是帶著面具？            
(4星)	 这戏当年可火爆了，同学里面几乎没人没看过吧~            
(NA)	 音乐还有印象好么            
(3星)	 我喜欢教主我会随便说吗            
(2星)	 相对于新加坡本土的更多傻逼兮兮的电视剧，这剧算很好了。            
(3星)	 小时候超迷的一部剧！            
(NA)	 居然是教主演的 (⊙o⊙)             
(3星)	 记得当年一大卖点就是说此片剧本是一八岁孩子写的，不知是真是假            
(3星)	 小时候电视台一直在放，想不看都不行啊            
(5星)	 好喜欢  还能看见景涛哥在咆哮，那时多希望何仙姑能和吕洞宾在一起，还有唱快板那家伙 话说是姑娘扮的吧，五一戏弄~            
(4星)	 我很喜欢何仙姑啊哈哈哈 小时候看的都得推荐             
(3星)	 不想让何仙姑稀饭吕洞宾            
(4星)	 洞宾 ~~你就从了牡丹仙子罢            
(3星)	 牡丹仙纸 (＠゜▽゜)            
(3星)	  还是不错的，背景是九寨沟呀            
(4星)	 不得不说，这个八仙过海还真是特别啊！            
(5星)	 挺好看的。。。            
(3星)	 原来她叫郭妃丽，惊艳我这么多年。            
(5星)	 这个超超超好看            
(NA)	 景涛= =            
(5星)	 第一次看到郭妃丽~    啊~美~  啊~  喜欢演潇湘子的常鲁峰，后来还和李小璐一起演了的 改名叫常诚了~ 帅~            
(1星)	 小时候被摧残的想死……            
(4星)	 结局拍的太恶心减一星            
(3星)	 当时景涛哥还是很帅锅的。。没有变成咆哮鼻祖。。。。            
(5星)	 其实蛮经典的。。。费长房和韩湘子。。。八仙全传里写的不明不白的。。。另外一星给咆哮马的配音。。。            
(3星)	 白牡丹            
(4星)	 片头曲不错            
(5星)	 初中时代最爱的电视剧啊- -当年纠结牡丹纠结了很久，然后找来原著 八仙得道传看，结果心情一落千丈啊- -            
(3星)	 这个是新加坡拍的么？！            
(4星)	 当时好喜欢演何仙姑的那个。            
(4星)	 当初好喜欢看这个...纠结吕洞宾到最后也没和何仙姑在一起            
(3星)	 当年我看好吕洞宾跟何仙姑啊            
(3星)	 哪来的。            
(4星)	 小学时候一直看的 姐是有多老o(╯□╰)o             
(5星)	 感觉好棒，白衣吕洞宾很有点白衣香帅的气质，郭妃丽也喜欢。            
(3星)	 看的很吐血。。。。。            
(3星)	 我完全记不清剧情了。。。            
(3星)	 那时候觉得咆哮哥特别帅 特别有气质 牡丹仙子超漂亮 还有何仙姑 @@            
(3星)	 何仙姑            
(4星)	 教主的不经典电视剧啊            
(4星)	 参见教主！！！            
(4星)	 咆哮帝，马景涛！            
(1星)	 很莫名其妙的一部片            
(2星)	 蓝采和挺耐看的            
(NA)	 这个也是新加坡的~主题曲印象非常深刻。小时候就是美好啊，在又热又无聊的夏夜能有这样的电视剧供童年消遣。            
(3星)	 记忆啊            
(3星)	 新加坡拍的古装剧总给人一种奇怪的感觉            
(NA)	 童年 啊～             
(4星)	 我因为这部剧迷过教主……            
(3星)	 八仙过海。。。扯淡            
(3星)	 记得当年惆怅事，白牡丹遇到吕洞宾就是命里的劫数            
(3星)	 当年情迷。            
(3星)	 喜欢白牡丹~~            
(3星)	 咆哮            
(5星)	 何仙姑            
(3星)	 很傻。            
(3星)	 嗷嗷嗷噗噗噗            
(4星)	 牡丹仙子呀~            
(NA)	 为嘛我当年年少无知德时候绝对景涛叔叔忒帅麽！？            
(1星)	 我今生若有什么遗憾，就是我未能感受到你的痛苦。。。。            
(2星)	 其实挺无语的。。。            
(5星)	 牡丹不喜欢来着。吕洞宾真心觉得帅气啊。            
(4星)	 当年大爱            
(4星)	 自此爱郭妃丽            
(3星)	 重播了不下十遍，可是一遍也没看全过            
(NA)	 湖南卫视......            
(3星)	 景涛和那女的当时挺喜欢，我怎么又浪费时间看呢！？            
(4星)	 当年马景涛也是风流倜傥的            
(3星)	 我嘞个擦。竟然是马教主！ 小时候还没注意。。。            
(3星)	 看到马景涛就别扭            
(4星)	 童年啊！！！            
(4星)	 当年觉得吕洞宾不错的啊 最喜欢牡丹仙子了 为什么就她最惨啊 就算复生也觉得惨 大家都那么团圆 只有她..伤心 从开始就没少流眼泪啊 贬下凡间那哭死我了TT 最讨厌的是间奏都要放两遍            
(4星)	 因为这部电视而知道八仙过海的故事            
(3星)	 只因牡丹仙            
(4星)	 多情种子，吕洞宾。。            
(5星)	 何仙姑应该和吕洞宾在一起有木有啊!!!龙三又漂亮又可爱有木有啊!!穿山甲好猥琐有木有啊!!            
(4星)	 厄~~这部么~~我看的还蛮开心的小时候~~那时候都还不关注教主呢~~            
(5星)	 好喜欢韩湘子！那个时候的常GG颜很巅峰啊！            
(3星)	 现在才知道是新加坡产的啊            
(4星)	 我还挺喜欢的，初一的时候出去玩看不到还很焦急呢            
(4星)	 郭妃丽老漂亮了            
(5星)	 我爱何仙姑！！！！！可是牡丹确实美~            
(5星)	 牡丹仙子，最漂亮            
(3星)	 额~~纪念了一下~我的童年~小说是先读的八仙过海，电视也是先看的东游记~可怜的西游记哪~直到我初中了才陪表弟一起看几集。。。            
(2星)	 郭妃丽真漂亮。            
(4星)	 有的情节挺感人            
(3星)	 当年好喜欢何仙姑啊。。            
(4星)	 看到这部剧，想到曾经和他们一起发疯的日子。操场上疯跑的影子。            
(4星)	 2007            
(4星)	 每年暑假都有的看，那个时候的美好回忆哎~记得当时很喜欢那个牡丹仙子捏~            
(4星)	 走啊走啊走。。好汉跟我一起走。。            
(3星)	 呵呵呵            
(4星)	 喜欢仙姑            
(4星)	 看过很多遍。还是很喜欢的。不错。喜欢马景涛演的的吕洞宾            
(NA)	 因为电视剧找了小说看，翻了几页就看不下去。郭妃丽            
(NA)	 教主！            
(4星)	 教主，有木有~~~~~~~            
(NA)	 为什么吕洞宾是主角？？            
(3星)	 当时觉得很好看            
(1星)	 很烂的一个片，是咆哮帝的作品，，。。            
(3星)	 当年我怎么这么爱。。。。            
(4星)	 新浪网原创文学改编小说《东游外传》http://vip.book.sina.com.cn/book/index_161121.html力荐网友阅读点评支持吧！            
(5星)	 叫煮那时还不咆哮。。            
(3星)	 。。。犹记得淹淹给我背的那一段台词            
(5星)	 牡丹仙子太美了，还还是希望吕荷在一起~~~            
(3星)	 那时在看的我不不理解吕洞宾动情是什么意思。好单纯的一个娃。            
(3星)	 何仙姑啊何仙姑。。。            
(4星)	 竟然有教主！！！！            
(4星)	 特想抽吕洞宾的说……哪那么花心啊！            
(3星)	 好吧，我从小接受囧剧熏陶            
(3星)	 明明吕洞宾和何仙姑有爱，，，为什么不了了之了捏            
(5星)	 何仙姑啊~            
(5星)	 里面的歌都超好听 景也超美 后来才知道是在九寨沟拍的 新加坡的电视剧跟香港的是有些不一样 很清新            
(3星)	 为教主而来~~~~            
(3星)	 当年，教主还不是教主            
(3星)	 三颗星为了郭妃丽。            
(2星)	 马吼吼+ 一堆典型新加坡长相的女主女配。我当时怎么会去看这片呢？            
(4星)	 教主演的吕洞宾真的好帅好帅啊！！！！            
(NA)	 吕洞宾怎么不和何仙姑在一起啊！！！            
(NA)	 郭妃丽很漂亮，印象超级深刻。郑秀珍实在长得不怎样。马景涛还是蛮帅的，而且没咋咆哮。            
(5星)	 这个，当时很喜欢的神话剧了···            
(3星)	 诶，小马哥不错呦            
(2星)	 教主在里面好像不怎么咆哮。。            
(3星)	 八仙的故事 当初一直纠结 吕洞宾怎么就没跟何仙姑呢...            
(3星)	 教主  -  -            
(4星)	 当年大爱的剧啊……            
(5星)	 以前超爱看！间歇音乐还历历在耳！牡丹仙子没何仙姑好看！龙王女儿的对象还不错！穿山甲痴情过头！            
(3星)	 小时候看看也就好了，我实在想不通为什么我们高三的时候晚自习一休息我们班的一群男生女生就自觉的打开了电视津津有味的看起了这个=。=            
(3星)	 ！            
(4星)	 记得小时候趁爸妈睡着的时候偷偷开着电视看            
(4星)	 那时候超喜欢涛哥的，还有范文芳            
(NA)	 又一烂片            
(3星)	 看的时候真纠结的剧情。有点印象的是现实中女主角破产。            
(3星)	 记得小时候也就5，6年级暑假看的，看完一集，马上跑到村子河边去滚水，然后马上跑回来...神仙对小屁孩来说始终是个诱惑            
(NA)	 里面的牡丹很惊艳啊            
(4星)	 无论如何，当时的确是迷得死去活来的。            
(3星)	 吕洞宾为什么不爱何仙姑？？？？            
(5星)	 记忆啊....            
(5星)	 何仙姑，你为什么不跟吕洞宾在一起            
(3星)	 何仙姑好漂亮，她叫郑秀珍            
(1星)	 咆哮吧！！！！！！景涛！！！！！            
(3星)	 好久了- -            
(4星)	 马景涛很帅            
(5星)	 最爱！！！！白牡丹            
(4星)	 咆哮帝= =            
(5星)	 牡丹好美~~            
(4星)	 景涛兄！！！            
(3星)	 教主不咆哮的时候还是挺帅的，一咆哮~~那啥~~你们懂的~~            
(5星)	 哎，当时也不觉得教主怎么样嘛……            
(4星)	 挺好看的，八仙剧里最经典的了吧。            
(3星)	   消磨了一暑假 。            
(3星)	 景涛胸！            
(3星)	 最喜欢的角色就是张牡丹            
(4星)	 喜欢牡丹仙子~            
(3星)	 正经看过一些新加坡剧呢，郭妃丽应该挺漂亮的            
(4星)	 教主使我加了一颗星            
(3星)	 讨厌配音。。。挺还念马哥的，，，一直还不知道何仙姑是谁演的。。            
(3星)	 到现在我还是觉得何仙姑比牡丹好看，还有一袭白衣的咆哮帝不如那个蜈蚣精演得卖力，龙三和孙猴子我很喜欢。            
(4星)	 假期的时候又看了几集，但始终没看完过            
(4星)	 挺美的。            
(3星)	 好久远了，我最喜欢韩湘子            
(3星)	 首都见识其狮吼功            
(5星)	 星星全是给郭妃丽的            
(3星)	 郭妃丽好美啊！！！            
(4星)	 小时候可喜欢看了~            
(3星)	 咆哮教主教主            
(4星)	 奇怪了，小时候怎么这么喜欢的。。            
(5星)	 小时候超爱看！！但是断断续续的也没有看完~光记得那些光怪陆离的神仙鬼怪了，却不记得教主当时有木有咆哮~~            
(4星)	 童年            
(3星)	 咆哮哥···            
(5星)	 龙三超可爱！！！！            
(4星)	 还行            
(5星)	 太华丽了！            
(4星)	 还记得穿山甲的爱情，最终变成了一把伞吧            
(5星)	 牡丹仙子还是白牡丹，东华真人还是吕洞宾，兜兜转转，轮回不尽，情劫还是命中注定            
(NA)	 看完呢就忘了            
(3星)	 曾经很喜欢何仙姑，并为之抱不平            
(3星)	 就记得牡丹仙子好漂亮。。            
(2星)	 我居然连这个都看过。            
(5星)	 教主教主！！！            
(4星)	 咆哮哥在里面挺帅的！！！            
(5星)	 景色美，音乐好听。很有诚意的电视剧             
(4星)	 牡丹仙子好美啊~            
(4星)	 这个也还行。            
(3星)	 童年的回忆~            
(3星)	 吕洞宾有点让人受不了            
(4星)	 最后穿山甲变成了华盖在空旷的平原上转啊转……这个神话剧是那么悲伤            
(2星)	 这片子感觉就是垃圾            
(3星)	 景涛哥你到处都在咆哮！！！！！！！！啊！！！！！！啊！！！！！啊！！！！！！！！            
(4星)	 我觉得挺好的            
(3星)	 片头曲很好听            
(NA)	 。。。            
(3星)	 八仙过海。。            
(3星)	 教主！！！！！！！！！！！！！！！！1            
(4星)	 那时觉得挺好看的            
(3星)	 哈哈，童年的回忆啊~哈哈哈哈            
(3星)	 陈飞推荐,啊,还有他们以前的家,诡异的建筑风格            
(4星)	 小时候好喜欢看啊！            
(2星)	 小时候的寂寞~记得以前某无良电视台总是在播完每天的环珠格格后继续播这个。。。            
(3星)	 我姐喜欢看            
(2星)	 话说，我怎么什么电视剧都看            
(3星)	 马景涛这个时候挺帅的。            
(3星)	 这片当年追过            
(4星)	 这个是新加坡的电视剧啊，晕倒，小时候天天看的            
(4星)	 我承认我很土！            
(3星)	 绝对的经典。            
(2星)	 不喜欢马景涛            
(5星)	 牡丹仙子何仙姑还有龙三 都好美啊!  连咆哮教主都看着挺正常的了...            
(5星)	 天若有情天亦老 不如与天竞自由            
(3星)	 当年很热衷的题材~九寨沟很漂亮！~歌曲还不错！~            
(3星)	 教主！            
(4星)	 风景很美，在九寨沟拍的啊            
(5星)	 童年记忆！当时是着了咆哮马的道了            
(3星)	 对郭妃丽印象深刻...            
(5星)	 小制作，认识了不少新加坡朋友            
(NA)	 记得当年看的时候喜欢韩湘子和孙影            
(3星)	 小时候看的            
(2星)	 新加坡剧的典型性纠结            
(3星)	 那是觉得马景涛还满帅的类            
(5星)	 2            
(4星)	 当年我以为教主和何仙姑有JQ.. = =            
(3星)	 新加坡有点奇怪的普通话~~            
(3星)	 除咆哮帝以外 我觉得何仙姑和韩湘子帅帅美美的            
(2星)	 咆哮教主            
(NA)	 教主V5，乃是我心中永远的吕洞宾- -。            
(2星)	 牡丹仙子太美了！配教主太衰了！            
