http://movie.douban.com/subject/6855096/	我也是花 나도, 꽃!
(4星)	 对白白嫩嫩的女主充满好感，男主演的不错，不太看韩剧的我都能挺下来看了15集，好笑是一点，情节某些地方很容易让人联想到自己吧。            
(4星)	 剧情这么好  居然收视率低迷  真怀疑韩国大妈的审美            
(NA)	 男版刘亦菲            
(NA)	 因了ep03一厢情愿追完，喜欢女主，男主也不错只是不适合此剧，配角们都算有爱，因为砍剧结局略显仓促，尤其是医生和妹妹这对儿。另，OST很棒。            
(4星)	 看了第六集我要吐槽了。所以说女的就是处于弱势啊！！一个吻就可以把女主收得服服帖帖。啧啧啧。老实说越到后里越不给力...还是之前给力啊。            
(5星)	 虽然我喜欢的大嘴最后因为习惯性脱臼没能演这部剧。。但是换了的男主也很有魅力啊~小眼睛男森~~            
(NA)	 爱情是治疗爱情的云南白药，字幕组哎都是神人。。=      =            
(5星)	 2011最温暖的韩剧            
(4星)	 结束的仓促了些。表示小允很萌！            
(3星)	 两只受伤的刺猬是怎样相互取暖的~            
(4星)	 好吧  看在剧情很给力的份上  原谅女主角那张不顺眼的脸 这样的片子在韩国收视不佳  只能说明大韩民国的欣赏水平……            
(4星)	 我最近是有多要打发时间，翻了一部又一部韩剧来看，尼玛还要等更新，尼玛我暴躁了。。。最近看的算是比较喜欢的韩剧，很喜欢车巡警在在熙说要她跟他私奔的时候一脸呆滞的样子，她是真的有认真在考虑啊，我很喜欢这种性情的女人。反而在熙就弱暴了，左顾右盼的，不知道到底在搞什么。后面开始拖沓了。            
(4星)	 봤더니 재밌네~!挺好看啊，怎么在韩国收视這麼低弄得要提前结束呢？！            
(2星)	 个人觉得不好看·······萌不起来= =。            
(3星)	 李起光总是出演这种二傻角色……            
(4星)	 第六集完全打动哇哈哈哈哈哈！！！四集也不错~~哈哈哈哈！！！（哼，后面竟然一点都没有。。）            
(4星)	 还行吧~~之前看是喜欢男猪的性格，看遍世态炎凉，于是有了少有的平易近人~女主的善良，刀子嘴豆腐心，都是善良的人呢！            
(3星)	 看下去的原因是女主角的主線故事，有點兒另類啊            
(2星)	 那么多人喜欢，为什么我就看不下去呢弃            
(3星)	 金三顺编剧--有多少剧放弃在了第一集TT            
(4星)	 很不错的韩剧，细微处打动人心！！！只是缺了天时、地利、人和，收视率太惨了。            
(2星)	 果断看果断弃~            
(4星)	 最好下载1280x720的HD版本搭配字幕，真是很棒啊！            
(4星)	 李智雅就是那种我一看就喜欢上的女人没办法而且几年了一路追着看了所有演过的好看的不好看的无聊的有趣的剧集这样的情况对我来说还真是少见            
(3星)	 烂尾，墨迹            
(4星)	 陪我又度过了一个冬天的感觉、很温暖。            
(4星)	 最喜欢的韩剧女主，性格实在有爱。2011年冬季最后一部韩剧，带来不少温暖。只可惜坑爹的收视率。。。。            
(3星)	 虎头蛇尾，失望            
(4星)	 好玩            
(3星)	 可愛的火爆女警            
(4星)	 还不错，挺好耍，虽然老套，但是蛮可爱，导演其实还不错，男主有时候会让我想到丁一宇，最近韩国不熟悉的面孔好多类似以前的人，哎。结尾虽然温馨，但是总欠缺点什么，后面三集low掉了            
(4星)	 又一部远离狗血剧情,叙事手法自然的好剧.看了两集就好激动,秘密花园后终于又等到了值得观看的韩剧.第六集长达一分多钟的吻当时就看得人惊呆了,没见过这么有感染力的接吻.7.8集里粉红无处不在,让人满心期待剧中人物的命运.但后面主角越来越打酱油,砍了一集后,结局显仓促和平淡无味,是我们            
(4星)	 141111-230112 @pps / 甚麼叫怪？ / 兩夥受傷的心相愛了~ 戀愛的人都在對方身上找相同處~ / 每個人都是花，懂得愛與懂得被愛/ happy ending是期盼的，但新心理醫生的出現，有點畫蛇添足~ 整體還是好的。/ 原來李起光是車同事以外，還是pink ch            
(4星)	 2011年冬的温暖记忆            
(3星)	 赵敏基挺有看头女二的表演过头了最近怎么没有能让我一口气看完的韩剧了呢 都是越看到后来越没劲！            
(4星)	 男主各种明星脸啊 各种像GD 李俊基 丁一宇            
(5星)	 决定追··            
(4星)	 我表示完全喜欢这部剧哦 配乐都好听 哈哈 看完只想说 我也想帅气的活下去！！其实从头到尾都喜欢，都没有厌倦期，可是结局有点小小的不满 &gt;&lt;            
(4星)	 不错嘿            
(NA)	 李智雅是那个和徐太志结过婚的那个吧？？这女人。。。            
(3星)	 等等等            
(4星)	 学会爱是人生的一大课题            
(5星)	 李智雅Perfect!即使是整容，隐婚，虚报年龄我也爱~            
