http://movie.douban.com/subject/2189642/	北京人在纽约
(4星)	 第一部反应海外华人生活的电视剧，经典            
(4星)	 我去过纽约了            
(NA)	None
(5星)	None
(5星)	 小时候一听片头曲就什么都不干了~直接做电视旁边 ~            
(NA)	 绝对精彩            
(5星)	 经典哈，王姬很妖艳的。            
(NA)	 看过~呃 ~小说，原来老姜是靠这个红的呀            
(4星)	 原来这是冯小刚的啊            
(5星)	 果然不出我所料，超过8分，经典是经得起考验的。            
(5星)	 过个几年再看这片，或许又是另一番滋味？            
(5星)	 小学生上中学            
(4星)	 竟然是冯小刚拍的。。。            
(5星)	 小时候看的，果然是没什么印象了，这不是什么励志片...灰色得不能再灰色了            
(NA)	   千万里我追寻着你 对这片的记忆就是我妈在打毛衣 我在电视机前跟着她看这片子 好看！            
(5星)	 千万里我追寻着你~~姜文，够man            
(5星)	 把#北京人在纽约#看完了，剧里有两句话给大家分享。阿春说：纽约既不是天堂，也不是地狱，是战场。第二句，我来美国十八年了，现在我既不是中国人，也不是美国人，我也不知道我是哪国人。这句也是阿春说的。演员不做评判，故事写得是真好。            
(4星)	 那个夏天            
(5星)	 time and time again, you ask me, 问我到底爱不爱你；time and time again, i ask myself, 问自己是否离不开你            
(3星)	 窥探在纽约            
(5星)	 还记得姜文的那件花毛衣吗？            
(5星)	 那一句“我已经变的不再是我，可是你却依然是你”感动了多少海外游子！建议大家有空再温习温习，王启明是北京爷们的典范！            
(5星)	 当时觉得巨好看……            
(3星)	 才6岁啊，才小学一年级啊，看不懂，而且只记得&#39;&#39;千万里，我追寻着你&#39;&#39;了            
(5星)	 怎么也看不够             
(3星)	 有印象，主题歌红            
(3星)	 快忘了，原著看的熟            
(5星)	 感觉结尾草率了点，这是初步想给四分的原因。但不得不说，在1992年的这部片子，已经是非常前卫，思想十分开放的作品，这是最终给五分的原因。            
(5星)	None
(4星)	 果真冯小刚编剧的东西，内核是有共同点的，比如不见不散            
(5星)	 很经典的国产片啊！主题歌也是让刘欢一夜成名呢！~            
(4星)	 有的时候人性真的会被环境所扭曲，人到中年本来就处于困惑与茫然之中，如果在生存在一个骤变的环境下，原本的人性就会被扭曲，两种文化的冲突，造成观念上的混乱。似乎美国梦给了他一切，又毁掉了他的一切！            
(5星)	 好小时候看的   cool            
(5星)	 原著作者真实故事改编，美国梦这三个字太沉重            
(4星)	 挺喜欢的            
(5星)	 初识姜文            
(5星)	 让我知道了这样一种人生            
(5星)	 唉...到底为啥            
(5星)	 马晓晴举着脑袋侧着身对着王启明，问到：“你觉得我在这样好看么？……就是这少颗痣……像麦当娜那样……”            
(4星)	 很小的时候看的，有空再看一次            
(NA)	 你也看过了吧？            
(5星)	 怎么都想不到这个结局，他把自己的老乡送到了自己的起点，他把中指竖给了我们。”做不了美国人，也不知道做中国人的滋味儿了“；“美国人说我尽了我最大的努力，北京人说爱咋地咋地”；“不爱赌干吗来美国”。受挫折也许是出国的最大收获，然后你才学会停止抱怨，埋头努力，少了理想只有现实            
(NA)	 跟父母一起看，记得有少儿不宜情节：姜文把王姬推倒在桌子上...然后我爸就捂住我的眼睛不让我看~~~            
(5星)	 说实话已经记不清楚情节了。只是小时候很爱看觉得好看，每天都偷偷跟着爸妈看。            
(5星)	 带劲，冯小刚打酱油的历史可真够悠久的            
(4星)	 扣了那一星儿给穿帮＝ ＝故事很好。            
(4星)	 姜文太男人啦！            
(5星)	 现在再看简直帅爆了！            
(2星)	 今年重翻此片看感觉大不相同。剧本写的太烂，很多细节交待不清，看完后更不喜欢姜文。非常讨厌剧中的郭雁。这两口子给我感觉就是恶心。钱在多也让人恶心。也许北京人喜欢这调调吧。            
(NA)	 又一丰碑啊            
(4星)	 突然覺得以前的電視劇怎麼都那麼好看、幾乎各個是經典。            
(4星)	 time and time again            
(NA)	 看了五六集，再加上小时候看过的一些记忆。。            
(5星)	 千万次的问！            
(5星)	 应该再看一遍。            
(5星)	 演技派经典作品。            
(4星)	 貌似是我人生中看的第一部揭露生活阴暗面的片子~            
(NA)	 老妈带着看的            
(5星)	 Time and time again, I ask myself            
(NA)	 也看过书。            
(3星)	 那时好小，什么都没看懂，只记得主题曲了。            
(4星)	 很深刻很犀利，身份的迷失，文化的差异，对生活的思索。。。。喜欢霸气的姜文            
(4星)	 因为这部剧一直以为纽约是美国首都的站出来！剧情不知道。。没赶上那个年代 片头曲好熟 还上过春晚            
(NA)	 看完这个就和爸妈到美国了            
(4星)	 一代人的回忆，还记得小时候听过的那首歌            
(4星)	 很有代表性，可惜的是上个世纪九十年代的作品，画面和表达方面有些落后，现在可以重拍了，加上些新一代留美的故事，又会成就另一经典。            
(4星)	 这个太遥远了 不过还记得当年很火啊。。            
(4星)	 挺不错的。。。虽然印象没多少。。但残留的印象像是可以有四星以上有范~的东西            
(4星)	 试问那个年代有几人不看啊            
(5星)	 如此经典的电视剧，当年的大爱啊！现在还想重新看呢！            
(4星)	 现在才知道当初这部是姜文拍的啊~~好小的时候跟着妈妈一起看的~~现在觉得姜文超有范儿的~~~            
(NA)	 很久很久以前的了            
(4星)	 很早的电视剧耶            
(5星)	 北京人在纽约 刷盘子 中国的艺术家 博士到了美国只能刷盘  我愿意刷盘子 只要能去美国 不过我肯定会后悔的 就像我来到上海一样 但是我没有退路 因为我没有住房 没有保障 我只能不断的往前往前 谁叫我不是美国人  电视机拍的跟电影一样精彩            
(NA)	 经典之作            
(4星)	 每次听到刘欢的主题曲都有想哭的冲动。。。            
(NA)	 那帮人很牛的。。小时候印象很深。。。刘欢的歌还是冯导写的词            
(4星)	 千万里我追寻着你            
(4星)	 回家问问你爸，当年恋没恋过王姬            
(5星)	 姜文一路牛到现在！            
(NA)	 当年没看懂，只是记得音乐            
(5星)	 出国前必看。            
(4星)	 片尾曲是最经典的 特别有时代感 洋插队们的心路历程            
(4星)	 美国不是天堂 也非地狱   而是战场            
(4星)	 第一次认识姜文 我妈说这人帅吧              
(5星)	 小时候常看            
(4星)	 里面的情节记得不是很清楚了，只是对里面主题曲和引用的“新大陆”印象深刻。            
(4星)	 懵懂的少年时期看的~            
(4星)	 那段回忆需要重温。比《上海人在东京》真实。            
(4星)	 挺不错的电视剧            
(3星)	 这和六人行是同年的，怎么看着像隔了几十年            
(5星)	 最好之一            
(4星)	 首播的部分场景后来复播时被删了，我看得仔细，记得特别清楚。            
(5星)	 时光不解释            
(4星)	 我都忘了            
(4星)	 我擦，原来他是姜文。            
(5星)	 突然想起来的。            
(5星)	 堪称一时风靡，人生起伏，婚姻家庭社会事业，到底在意的是折腾的过程还是结果？当一件事物势不可挡的成为一种潮流，让大众盲从的潮流的时候，你是否还有心情和理智去看待、思考？            
(5星)	 当年看的时候还小，有时间一定要再看一遍~~            
(4星)	 很老了···            
(5星)	 如果你爱他            
(5星)	 千~万~里~~我~追~寻~着~你~~！！            
(4星)	 经典的国产电视剧 同样也让我从此记住了姜文&amp;刘欢的主题曲            
(5星)	 什么时代看都有意思...            
(3星)	 我就看了一个地方 还特么特劲爆            
(5星)	 变            
(NA)	 记得学会了一个词乱伦            
(4星)	 现在看 依旧很好看的 尤其是自己来美国以后            
(NA)	 今天在人人上看到这个电视剧的评价，想起那时全家人刚到惠州，各种感触            
(4星)	 妈妈总说“北京人在扭腰”。。。刘欢的主题曲            
(5星)	 当年火得一塌糊涂            
(4星)	 TIME &amp; TIME AGAIN ,YOU ASK ME~            
(NA)	 怎么可以买到这部电视剧的碟啊            
(5星)	 小学靠在老妈旁边，迷糊的看完，现在早就忘记了。            
(4星)	 姜文太牛X了。里面的粗口跟over程度是当下电视剧不可比拟的~！中英各种粗口不停出现~  就是露馅镜头太多，老看见那个收音的mic在晃来晃去。。。而且杂音也多也没字幕，训练听力啊这是。。            
(5星)	 太经典了这电视剧            
(NA)	 论文电视剧            
(NA)	 千万里~我追寻到你~很小时候看的            
(NA)	 完全不记得讲什么的了。            
(4星)	 ````````````````````````            
(4星)	 千万次的问可真是神曲啊。            
(4星)	 姜文是一爷们            
(NA)	 童年啊            
(4星)	 n年前看过的吧，，，，            
(4星)	 主题曲，很久以前看的，当时太小，没有把握到内涵            
(5星)	 看过很多次，有些东西很叫人深思啊            
(4星)	 主演都很专业，故事也十分精彩，印象深刻，就是录音的话筒总抢镜头……很无语，原来冯导从这就开始客串了的啊，很出彩嘛，哈哈哈。姜文的表演已很成熟，可惜拉琴的那段很假。            
(5星)	 是小刚的里程碑，也是电视史的里程碑            
(3星)	 我只记得里面居然有中国人的床戏。。。            
(4星)	 我老母也不知道为神马这么爱看！            
(5星)	 这部是经典，激励很多人，包括我            
(5星)	 最经典了！            
(4星)	 年轻的父母对待婚姻的态度毁掉了一个青春期的孩子。还好我当时没有那么叛逆，可是我为什么不呢？            
(5星)	 超级喜欢。还有刘欢那歌。小时候不喜欢王姬演的阿春，喊人家叫臭婊子，现在觉得王姬很有气质。            
(3星)	 那时我还不懂事            
(4星)	 我相信，大家都很辛苦            
(5星)	 给力@！！！！！！！！！！            
(3星)	 不是特别记得了，不过一直和爸妈一起看来着            
(4星)	 小时候天天都要看 其实看的懂么？现在除了那首歌和餐厅 就没什么印象了            
(NA)	 就是这个味。。。            
(4星)	 什么时候看的？            
(5星)	 经典老剧            
(5星)	 经典中的经典！！！            
(4星)	 儿时的记忆~            
(4星)	 印象最深的两点：一、刘欢演唱的主题曲，二、美国的墓地管理真严格，不是可以随便拍摄的。            
(4星)	 只记得刘欢的歌了            
(NA)	 好  真想写点东西            
(4星)	 那时候的姜文还很年轻啊            
(5星)	 我那个童年.,            
(5星)	 小時候看的            
(NA)	 姜先生            
(5星)	 姜文就没演过烂片。            
(NA)	 小时候看过            
(5星)	 “我跟你睡觉才叫乱伦呢”            
(4星)	 只记得刘欢的声音了“千万里我追寻着你 可是你却并不在意 我已经变得不再是我 可是你却依然是你”。。。            
(5星)	 那时候我刚记事儿吧            
(5星)	 这是我看过的第一部“所有的人都是坏人（都不是好人）”的片子，具有重要的启发意义。            
(5星)	 故事一波三折。姜文王姬演得也好。当时王朔也V5            
(4星)	 很早的有印象的片子            
(NA)	 我只记得我看过 其余的都遗忘了            
(4星)	 姜文年轻的时候            
(5星)	 我算看过还是算看别人看过？            
(5星)	 额滴天！这原来是冯小刚拍的。现如今，他和姜文都是我最喜爱的中国导演            
(4星)	 我先听的评书。。。            
(4星)	 我倒觉得是王把郭推向了David。在异国他乡奋斗，到底是怎么样的一个处境？如果有相爱的人陪伴，不离不弃，再苦都不怕。            
(5星)	 懵懂时期 半梦半醒之间 看过 不过真的很好看            
(3星)	 我是冲着小说看这部电视剧的，结果记得很多好情节都不见了。            
(5星)	 90年代才是中国艺术的黄金年代            
(3星)	 我妈喜欢的剧 当时我看不懂            
(5星)	 老妈看了不下五遍的电视。。我也太爱了吧。。            
(5星)	 姜文确实很经典            
(5星)	 经典的电视连戏剧            
(4星)	 非常好看的中国电视剧            
(4星)	 国外的月亮没有比较圆 还是中国好            
(3星)	 真的不怎么喜欢            
(4星)	 。。。            
(5星)	 哈哈            
(4星)	 原著去年翻來看過~            
(5星)	 就是这部片子，让我爱上王姬。            
(5星)	 现在每次看都很有感触   我老了咩=。=            
(4星)	 小时候看的= =豆娘你是为毛翻出来啊            
(5星)	 经典就是经典            
(4星)	 刘欢的插曲为片子加分不少            
(4星)	 嗬 当年姜文也是这风格             
(5星)	 太有才了各位。            
(5星)	 3岁说过的话。会记得一辈子。3岁结下的缘。是一辈子的。原来我幼小的内心早已埋下传媒人的种子。            
(4星)	 我还有这盘磁带呢            
(4星)	 很久很久以前看的，，那时候觉得出国是特nb的事情，，但当自己也去过纽约以后才觉得，还是tm北京好。            
(5星)	 第一次认识姜文            
(5星)	 移民才是王道~            
(5星)	 每次冯小刚拍新片我就把它拿出来祭奠一下……            
(4星)	 还记得那首《千万次的问》            
(5星)	 纽约的漂客们，心酸又甜蜜的日子            
(5星)	 结局搞笑~很生活~~不下于当下电视剧~~各种生活无奈~~            
(NA)	 小时候巨轰动的电视剧啊            
(4星)	 犹记得那首歌曲，和大概的故事            
(5星)	 拍得是真不好 演得是真好看            
(4星)	 以前还特爱看呢。。都忘了讲什么的了。就记得一中国餐馆儿了            
(4星)	 “生活，需要学习，也需要复习”。http://movie.douban.com/review/3536575/            
(4星)	 第一部反映在外国的中国人生活的作品，拍得很经典。            
(5星)	 都有各自的艰难            
(NA)	 那种酸楚，也许是这代留学生无法体会的。            
(5星)	 让子弹飞            
(5星)	 改革开放的后果是，土包子吃洋快餐打洋工拽英文，但还是受欺负，悲催的他们奠定了出国浪潮的基石            
(5星)	 现在看起来还是很有感觉的            
(5星)	 男人就要像王起明那样，能屈能伸            
(5星)	 对启蒙时期的影响和潜在性格的激发，无出其右            
(4星)	 为了给“让子弹飞”提供参照物看的。基本上算是商场片，前半部分以为是励志，结果后半部分悲剧看得很郁闷，最后的一句“仍在苦苦支撑”可真让人唏嘘那~~~里面那个街头打鼓的黑人很有意思，无论你大王旗怎么变换，他只是在打他自己的鼓。其实人生本没有意义，人非要让自己高于动物，而自寻烦恼罢了            
(4星)	 遥远的记忆            
(5星)	 小时候就看震撼了            
(5星)	 回忆里的味道，小时候看不懂，现在很能体会那种漂的感觉            
(5星)	 开始了解中国人在国外的生活，其实也并非是光鲜亮丽的            
(5星)	 重温了一遍，小时候看不懂。。。现在觉得太他妈经典了，无论是剧情还是演员的演技，特别是文哥，太他妈牛逼了。。。            
(5星)	 真正完整看过一遍的是在中学（初？高？）伴随着刘欢那一曲总让我有种时间凝滞了的都市史诗感，让我从小就有种对于时代往复的失落。人物命运的沉浮于细节于整体现在看来也很精致吸引人，唯有对于美国社会的理解过于谬误肤浅媚俗：好像说多美好的中国家庭到了这罪恶的温床也会变质一样。除立意外毫无瑕疵            
(5星)	 很小的时候看的，也是我最早对于美国的印象。。。希望有天可以过去看看。            
(5星)	 今年刚看的，92年的作品。听说王姬因为这部电视剧害苦了她的儿子。            
(5星)	 姜文，冯小刚，王朔的经典组合，前无古人，后无来者~~~~~一直以为姜文才傲高寡，碰到王朔也只有屈当冯小刚的男猪脚了，现在的姜文只做自己的猪脚~~~~~            
(5星)	 90年代的片子居然如此现实 满片子狗日的和FUCKING 当时广电不知改良过么有 姜文还是如此爷们            
(4星)	 当时只觉着这里面都是流氓。。。            
(5星)	 继续怀旧            
(5星)	 后来，姜文成角了。            
(5星)	 千万里我追寻着你，每听到这个歌就想哭            
(4星)	 多年前看过，记忆都模糊了。            
(5星)	 王启明扔掉了理想，最后变成了一个彻头彻尾的商人。            
(3星)	 刘欢的歌            
(5星)	 我今生看来注定要独行，热情已被你耗尽。我已经变得不再是我，可是你却依然是你。            
(4星)	 千万里千万里我追寻着你~            
(4星)	 那年，王启明和某位阿春            
(4星)	 小时候看的，完全不记得了。OMG.            
(NA)	 主题曲更难忘            
(4星)	 王姬一直都是熟女            
(NA)	 只能说看过，那时还小不记得那么多精彩            
(NA)	 经典之作，主题曲是我K歌的保留曲目            
(NA)	 在我爸妈心目中恐怕也是最经典的国产电视剧吧。            
(4星)	 很小很小的时候 我爸我妈天天看            
(5星)	 演技啊            
(3星)	 这是我看得比较完整的一部电视剧，题材当时觉得挺新颖的，就一直追着看，感觉主要是猎奇吧            
(4星)	 很小很小的時候放過~有那麼點點印象~媽媽很喜歡看！            
(5星)	 节奏，演员，故事，都不错。只是我有点误会纽约总是那么冷。            
(3星)	 小时候看过几集，离我的生活比较远～            
(5星)	 多少人还在重演悲剧            
(4星)	 “如果你爱他，就把他送到纽约，因为那里是天堂；如果你恨他，就把他送到纽约，因为那里是地狱。”             
(3星)	 当年也许很震动，现在看来已觉得是老生常谈。不过姜文和王姬还是让人物充满了生气，演郭燕的整个跟一游魂似地，毫无魅力。            
(5星)	 还是小学时候的某年暑假 在外婆家的我每天吃着午饭看着的就是这个            
(5星)	 好东西！由于无意在校内分享了耳熟能详的北京人在纽约的主题曲，却不记得演过什么内容，就用一天的时间全部看完！人生就是一场赌博，在你选择要走的路后就要承担他所带来的一切。但是有一点，不要轻易放弃，尤其是感情，尤其是那份脆弱的爱。更多的时候，我们需要的是沟通，而不是赌气。。。            
(5星)	 原来这个豆列里还包括电视剧，我还以为这些都翻拍成电影了            
(5星)	 千万里我追寻着你，可是你却并不在意。            
(4星)	 好片永远都是好片            
(3星)	 這算我第一部接觸大陸電視劇，拍的很真實、當人在異地後的感覺。只能靠自己存活在這個冰冷都市、現實就是水泥架構的叢林求生紀。            
(5星)	 超爱姜文~            
(4星)	 刘欢的歌声响起的时候至今还觉得十分熟悉，这部电视剧也让很多人唏嘘不已！            
(4星)	 比较经典的中国电视剧            
(5星)	 献给为理想而奋斗的朋友们            
(NA)	 小时候的热宝电视剧！看过很多遍            
(5星)	 姜大爷V5            
(4星)	 那个时代的经典，当时自己很小，但印象比较深。            
(4星)	 记忆中的。。。            
(4星)	 我已不再是我，而你依然是你。            
(4星)	 好看 姜文演这种痞子演都不需要演  剧情不错 他的女儿能演的让人觉得真心烦 也是个水平            
(4星)	 朦朦胧胧还有那么点映像 毕业论文就讲到这个剧了 还是导师提醒了很多细节            
(NA)	 现在才发现是冯小刚导演的。当时只记住了王姬和她的孔府家酒。            
(NA)	 还记得阿春吗？只有阿春的身影和沙哑的声音还能隐约记得。            
(3星)	 惨。。。            
(4星)	 老哥还买了原声磁带送老妈            
(NA)	 老片子了~~            
(4星)	 经典啊            
(NA)	 记得俄罗斯人离不开面包            
(NA)	 这样的电视剧怎么能让小孩子看呢！            
(4星)	 经典~~            
(5星)	 喜欢姜文的范儿            
(5星)	 我想下            
(5星)	 在开始考TG的时候，连续看了3遍，如今我也来到了美国，这个曾经只在梦中出现的国家。            
(4星)	 当年是相当不错的现实主义电视剧            
(4星)	 模糊的记忆~            
(5星)	 实实在在的励志，不是虚张声势的奋斗            
(5星)	 一本反应美国个人主义价值观的片子．．            
(5星)	 看了多少遍了。。。            
(4星)	 美国也有外地人            
(4星)	 值得再看            
(3星)	 我说怎么最近偶尔瞧见的那个大路朝天里面的女人那么眼熟呢~~嘿嘿            
(NA)	 喜欢姜文很有血性的调调。彻底改变我人生的一部戏。在我眼里，算是一部励志片。            
(5星)	 千万里我追寻着你，可是你却并不在意。姜文儿！！！！！！一定要把儿音特别牛逼的念出来！！！！！！！！！！！！！！            
(NA)	 有人说89十年代出国的人是追寻理想，而现在出国的人是逃避现实。不知道他们看到现在和纽约一样的北京。上海有什么感想。。            
(NA)	 忘了            
(4星)	 好老的片子啊            
(4星)	 只有资本主义精神，没有新教伦理。            
(5星)	 姜文！            
(5星)	 我家住在黄土高坡。。。            
(4星)	 千万里我追寻着你~            
(5星)	 挺经典，后来上海人在东京就没怎么看。。这个以后值得再看一遍。。            
(4星)	 姜文儿            
(5星)	 纽约            
(3星)	 没劲            
(5星)	 现在都放的都是些啥电视剧啊 就没点进步            
(5星)	 好看！每个主角都可圈可点~            
(4星)	 张力十足。            
(4星)	 牛编剧牛导演牛演员，看的时候年纪很小，几乎看不太懂，但很多话现在还记在脑子里            
(4星)	 小时候没看懂，但觉绝望。。            
(4星)	 爸妈当年超爱看，小P孩的我也跟着看！童年记忆            
(3星)	 NINGNING真TMD讨厌！日死她丫的！            
(5星)	 姜文，我是你粉丝            
(4星)	 华丽丽的姜文啊！            
(5星)	 第一代移民，无处诉说的苦            
(4星)	 真不错            
(4星)	 如果你爱他，就送他去纽约，因为那里是天堂；如果你恨他，就送他去纽约，因为那里是地狱。            
(4星)	 1993年出国热            
(4星)	 姜大叔是我的菜啊！！            
(NA)	   远距离恋爱果然不行            
(NA)	 那个年代……            
(4星)	 那时觉得阿春太有味儿了。后来又看了原著。            
(3星)	 我已经记不得内容了。            
(4星)	 永远的经典。那是个让人冲动的年代。            
(3星)	 看了2集  年代感太重  不想看了            
(5星)	 挺不错的。主要记住了里面演姜文女儿的那个            
(3星)	 yh会好吗？            
(4星)	 老一代上一辈的成长回忆。。确实从演员导演题材各方面都不错。。每当听到刘欢的Time and Time again就回想连篇。。很有当时时代背景。。值得反思。。            
(5星)	 在犹豫这是否出去读研的时间，看完了这个电视剧，对中美文化差异有个更深的体会，也更坚定了出去的信念。就像宁宁最后说的一句话，“我最爱的是我自己，我有权利选择我过怎样的生活”，中国人传统的教育让我们感觉这样的做法是大逆不道，但是现实就是这样的现实，你必须选择            
(4星)	 不要问我为什么给4星，我不知道            
(5星)	 严重经得起时间考验，小时候为了晚睡一边假装看得懂一边使劲看，结果那么多细节现在都还记得，当年资本主义世界真真没有白白冲击我幼小心灵。王姬，姜文，刘欢。            
(3星)	 第一次看的時候還小，隨便看看。長大後再看發覺不錯～            
(NA)	 超經典    全是演技派   劇情真實的令人流淚            
(4星)	 中国电视剧又一经典            
(NA)	 这电影影响过我            
(4星)	 我就记得那句 嗨 美丽的清洁工            
(5星)	 看过两遍，喜欢            
(5星)	 总算全部看完了，父亲，家庭，自尊，爱与沟通。。。不容易，人的一生真的不容易            
(5星)	 这也是励志电视啊！            
(NA)	 我累各去，这货不是北京人。。。这货不是北京人。。。。            
(4星)	 还是只记得主题曲了            
(NA)	 你说我那么小时候看的。我懂吗？            
(5星)	 time and time again i ask my self            
(4星)	 小学时候偷偷看的 可惜没真的看懂(～ o ～)~zZ            
(4星)	 纯粹而赤裸的地域价值观激荡，最终还能剩下什么，似乎只有姜文的回望。            
(5星)	 没得说 关于梦想和现实的            
(5星)	 中指。            
(4星)	 姜文            
(3星)	 太老的片子了，，那时候妈妈很喜欢看            
(5星)	 这是王朔的剧本( ⊙ o ⊙ )啊！            
(4星)	 太久以前。。。            
(5星)	 我奏是喜欢姜文儿！            
(4星)	 又一部很不错的留学题材电影。            
(5星)	 现在回味这部电视剧，仍然觉得耐人寻味，过了这么多年了，不简单啊            
(5星)	 小时候看的            
(5星)	 那个年代散发着迷人的光彩            
(3星)	 很久以前看过的            
(NA)	 我只能说我看过~但是我真的没什么印象了            
(4星)	 第一次知道纽约。            
(5星)	 我能闻到纽约的味道~            
(NA)	 千万次的问            
(5星)	 有些遗忘其中的细节。。想再次重温            
(3星)	 真古老。            
(5星)	 主题曲记忆太深刻了            
(3星)	 刘欢！！！！            
(5星)	 卧薪尝胆啊~            
(4星)	 好片。时代风貌            
(4星)	 忘了。只记得王姬的眼神。            
(4星)	 看了N遍            
(5星)	 经典重温，梦想中的现实            
(NA)	 我总觉得 那个年代出国 比较牛             
(5星)	 小学时  跟家人一起看            
(5星)	 太经典了，这个～            
(5星)	 重温了一遍！曾经还小的时候看不懂的，现在有了更深刻的理解！            
(5星)	 If you love him,bring him to New York,for it&#39;s heaven.If you hate him,bring him to New York,for it&#39;s hell.            
(4星)	 感同身受..什么叫感同身受?  在梦里你是我的唯一            
(NA)	 尤其喜欢里面不断出现的那个黑人敲的垃圾桶的片段。            
(4星)	 千万里我追寻着你，可是你却并不在意。中国20世纪90年代初出品的优秀电视剧作品，和现在的国产电视剧相比，和国外同时期的电视剧相比，还能给你震撼的感觉。。。            
(5星)	 喜欢！            
(5星)	 具体看简介吧。80后至30后都会有印象，很好看的电视剧            
(5星)	 吐血地发现：当年的我以幼齿的年纪观看了这么多部有着深刻时代内涵的电视剧，现在的我却死命拖着青春的尾巴不撒手倒回头去看了这么多部幼稚的电视剧。我的匪夷所思的电视剧之路啊~~~~~~~~~~~            
(4星)	 垃圾堆里捡电视机.            
(5星)	 改革开放大潮汹涌下的美国梦之反思            
(3星)	 一股骚风吹遍中国大陆..            
(5星)	 惟一一部与父亲同看的电视剧            
(5星)	 很真实...很好！很强大！            
(5星)	 比现在那些垃圾连续剧强多了            
(4星)	 早期            
(4星)	 曾经影响几代的片子 促使了多少人走出国门走向世界 又吓退了多少人走出去啊             
(4星)	 time time again            
(5星)	 小学时候看过几眼，不知道为什么现在总是会不由自主的哼哼起刘欢唱的主题歌。            
(5星)	 如今我也来纽约了。。时光荏苒啊            
(5星)	 千万里我追寻着你...马晓晴后来上哪儿去了...            
(5星)	 大爱            
(4星)	 当时看完后很喜欢王姬，虽然是个第三者的角色，不过，她真的很适合演小三的。            
(3星)	 。。。            
(5星)	 前不久还看过一次....            
(4星)	 小时候在电视上看的还有刘欢的主题曲            
(5星)	 好。            
(3星)	 enh            
(NA)	 x            
(4星)	 比较经典的电视，现在才想起来看看。还是喜欢姜文的表演            
(5星)	 王姬，还是严晓频，都是女中极品            
(4星)	 有几个情节印象很深～            
(4星)	 老经典            
(4星)	 主题曲经典            
(4星)	 原来是冯小刚的电视剧啊，如果你爱一个人，送他去纽约，因为那里是天堂            
(4星)	 现在我想像的美国的生活还有北京人在纽约的影子……            
(5星)	 十几年前看，看到不一样的世界，新奇;而今，人在海外，心中顿生共鸣。作品散发着强烈的现实主义气息。一部真实反映海外生活的电视剧，一部足以载入大陆电视史的作品            
(3星)	 主题歌是经典            
(4星)	 恩..那个风格            
(5星)	 09年北京台又重放来着。。又看一遍，才发现原来都是牛人。冯小刚 艾未未             
(4星)	 这是一部既郁闷又压抑的电视剧            
(4星)	 小时候的记忆            
(4星)	 千万里！我追寻着你！如果你爱TA，请把TA送到纽约，因为那里是天堂；如果你恨TA，请把TA送到纽约，因为那里是地狱。            
(3星)	 快忘了            
(4星)	 够老的。。            
(3星)	 很好看。            
(NA)	 我妈妈经常念叨。            
(NA)	 北京人在纽约。。。王启明            
(NA)	 仍然记得那首歌，片头的那些话            
(3星)	 当时很轰动            
(5星)	 中国内地电视剧海外取景的范本            
(5星)	 美国！纽约！我王起明——来了！ “你们这儿是不是逮着什么放什么?” “等以后咱有钱了，就颠覆小国家!” &#34;你瞅瞅 湘园楼，这名 它活像个妓院...&#34; “王起明——我操你姥姥！”            
(4星)	 当时热映的时候没看过，现在看了遍            
(4星)	 前半部分好看，也就是姜文特穷那会儿            
(4星)	 各种杯具            
(NA)	 小女生 的时候不太爱看            
(5星)	 永远记得的主题曲，如果你爱一个人，让他到纽约；如果你恨一个人，也让他到纽约吧            
(5星)	 喜欢，当时给人的震撼感现在还有            
(4星)	 是不啥时候该再看一下。。            
(4星)	 很小的时候 最深的印象是刘欢的TIME TIME AGINE             
(5星)	 姜文  如果你爱她爱她就带她去纽约，如果你恨她就带她去纽约              
(3星)	 嘿嘿·爱ta恨ta都送ta去纽约吧～            
(4星)	 千萬裡我追尋著你……            
(5星)	 现在一听到那主题曲还很激动的来着！            
(4星)	 还不错，但是真不如原著。。。            
(NA)	 看了，忘了！            
(4星)	 姜文真爷们！            
(4星)	 小时候印象很深的一部电视剧。。。            
(NA)	 不防水的睫毛膏            
(4星)	 从对生活充满幻想到为了生存而不择手段 挣扎徘徊于是非准则的界限内外 每个主角都在为自己曾经犯过的错误买单 并在生活的困难面前试图救赎亦或抛弃自己            
(5星)	 人就他妈起起落落的一生就过去了            
(5星)	 92年的美国，09年的中国。一样的物质，一样的让人蜕变。“别和我再提拉琴的事儿”，王启明的话说的决绝而愤怒。穷可以让人变得扭曲，让思想变得卑微，理想和现实的不能重合！“我已经变得不再是我”~~~我是谁，谁又是我？            
(4星)	 问自己，是否离得开你？~~~~~~~~~~            
(NA)	 在咿咿呀呀学语时就看过的电视剧，当重新回味时，发现，感觉依然没变            
(4星)	 想想现在那么多同学在美国,不知道有没有上演XX在XXX的故事...            
(4星)	 小时候看的 记忆模糊 只记得还不错            
(4星)	 小时候看的，那时候很红啊            
(4星)	 姜文的部分都很好！            
(5星)	 湖北人在英国。冏。            
(4星)	 太经典了!            
(3星)	 他家娃叫啥来？恶哈哈            
(4星)	 很多年前，曾经仔细的看了半部左右，奋斗的挣扎是最有意思的            
(4星)	 上初中的还没建立起完整的价值观的我就超不爽郭燕，前情未了藕断丝连，真白瞎了麦卡锡的真心而对。。还是喜欢阿春，敢爱敢恨，一直对自己的生活有主心骨儿            
(NA)	 都忘了。。。好小的时候看的。。。            
(4星)	 姜文、王姬演技都不错            
