http://movie.douban.com/subject/2154096/	士兵突击
(5星)	 一歇哭，一歇笑            
(NA)	 好看的~            
(5星)	 经典            
(5星)	 它怎么就能让我笑了哭哭了又笑呢            
(5星)	 很久没有看连续剧。被这部打动。            
(5星)	 很适合我看，给了很多启发。            
(4星)	 挺喜欢。            
(NA)	 不抛弃，不放弃，生活就有意义近来唯一能打动俺的国产电视剧            
(NA)	 作得鬼中鬼，方为人上人，承受不起就滚蛋！            
(5星)	 这是我07年评价最高的一部作品。            
(5星)	 好片是让人引发思考的            
(5星)	 哈哈 很好看呢            
(5星)	 军人柔情            
(NA)	 什么样是最传奇的江湖?我不知道. 从三多身上我看到了最简单的人生.有意义就是好好活,好好活就是做许多有意义的事.简单的人生,使人做事更执着,信念更坚定.  一个人的心理素质更决定了一个人做事的风格与成败.好的心理素质是历经磨难培养出来的.              
(4星)	 真正国产的优秀巨作            
(5星)	 其实不想把励志的标签贴在上面，但是这里面的点点滴滴确实是在不断的激励着我，激励着我不断向前。我每天就像七连里的一个兵在生活着，我每天都在告诉自己——不抛弃，不放弃！我是钢七连的第四千九百五十六个兵！            
(NA)	 士兵突击            
(NA)	 赞！！！            
(5星)	 不得不看的一部戏            
(5星)	 士兵突击 是我看过最过瘾的军事题材的电视剧！            
(5星)	 内地电视剧终于崛起 此乃励志大片 且我相信它会成为经典的            
(5星)	 看过得最经典最励志最值得回味的一部片子！            
(NA)	 简单主义。            
(5星)	 造就了一大批金牌男配角！绝对的！            
(NA)	 。            
(NA)	 07年最喜欢的电视剧            
(5星)	 如果断断续续地看还没看完也能算看过的话……            
(5星)	 笑着开始看，哭着看完...            
(5星)	 哇赛！帅！俺最喜欢袁朗、高城，再排下来是吴哲。对于许三多和成才，我抱着绝对理解的态度！就像理解人性一样！　总之，好作品！            
(4星)	 在这个价值观混乱的时代,许三多们渴望而不可及            
(5星)	 &lt;兵王&gt;的电视剧版,,很棒很棒,,不像很多其他的改编连续剧,一看就乏味~            
(5星)	 帅哥成群            
(5星)	 男人的情感片，男人的成长史。            
(4星)	 做自己            
(5星)	 good            
(NA)	 看了能有十遍了,有点魔障了            
(NA)	 男人戏 绝对男人戏            
(5星)	 太好看了。。TOT            
(5星)	 据说从许三多身上可以看到我们所缺少的钝感力，但是我更多的是被里面一个个班长，连长和队长感动着，外加许三多和成才之间的友情。            
(5星)	 《士兵突击》，说来很是偶然看了这部片子。本是经不住同事一再的请求，于是帮忙给他把28集全部下载下来。又不忍于自己如此耗费功夫结果只让同事们去享受。嘿嘿，很勉强的双击了《士兵突击》第一集。就这么一次偶然的双击，让我就这么无法自拔的陷进去，这在之前只有《与青春有关的日子》能让我如此反复如此用心的去欣赏去反思一部电视剧。现在网络上好像已经对它竟乎疯狂，不论是记者亦或是像我这样的草根；不论是sina，sohu，亦或豆瓣天涯，几乎网络上能写点什么的地方都在写它都在讲它。的确让我这样的草根佩服不以。            
(5星)	 很男人的一部戏，但却很真实，感人！            
(5星)	 袁朗、史今还有我们的老七            
(NA)	 电视剧             
(5星)	 看得我又哭又笑            
(5星)	 不抛弃,不放弃.            
(4星)	 我最喜欢史今，然后是袁朗            
(5星)	 执著            
(4星)	 中国的阿甘            
(5星)	 推荐给每一个认识的人看，每个人都会从中受益匪浅            
(4星)	 许三多。。            
(4星)	 原来许三多就是郭靖+圣斗士星矢            
(NA)	 没有一个女性角色的电视，竟然看下来了            
(5星)	 一部不错的片，很多不错的人。[20][22] 成才。[24] 成才去找枝枝蔓蔓了。 [27] 成才很聪明，我没看错你。            
(5星)	 感动的我两次掉下眼泪            
(5星)	 到头来原来最喜欢吴哲，太理想了            
(4星)	 难得好看，值得看的国产            
(3星)	 虎头蛇尾            
(5星)	 前一半还不错 ，后面太假~            
(NA)	 只有男人的电影            
(NA)	 最喜欢史今             
(5星)	 好            
(5星)	 太搞笑了            
(5星)	 人物形象塑造的很让人难忘。羡慕他们的人生，每一天的精彩。            
(4星)	 我家多多，还有高成。            
(5星)	 不抛弃，不放弃            
(NA)	 我就是许三多啊！            
(5星)	 我还是喜欢的，不过这么说的呢，人嘛要活得认真点比较好            
(NA)	 好男人真多            
(NA)	 哭得一塌糊涂~~还得继续看~~            
(5星)	 最近就迷煽情的国产戏,泪腺二度发育            
(5星)	 中国的阿甘，再现“谁是最可爱的人”的风采            
(NA)	 更喜欢高成。男人啊~~            
(5星)	 不抛弃.不放弃.&#34;平常心&#34;            
(5星)	 暑假在家天天就是看这个片子..有笑有泪..            
(5星)	 看了不知道多少遍，依旧有再看一次的热情。            
(NA)	 超爱7哥            
(5星)	 绝对是好片子。喜欢许三多            
(4星)	 不的不说这是大陆地区难得一见的好电影            
(NA)	 可能是一个人在家的缘故，很多情节让我眼眶湿润。。            
(4星)	 从士兵突击能看到HW的很多影子，我笑不出来 //20071226;DVDRW&lt;200712100000&gt;+&lt;200801070000&gt;; -End-            
(5星)	 不抛弃，不放弃——喜欢木纳、一口经典白牙的许三多；喜欢平常心挂嘴边，聪明英俊的吴哲；喜欢具有超强亲和力的史今；喜欢‘钢七连最生猛的兵’的伍六一；喜欢霸气和藐视一切但内心在乎每一个兵的高城；喜欢幽默风趣，心思缜密，眼光锐利，做事果断，英俊不凡的老A高手段奕宏，简直太帅了            
(NA)	 不抛弃,不放弃            
(5星)	 好好活，就是干有意义的事，英雄不再，梦想夭折，稀薄的人生因为某些人的坚持而有力起来。            
(5星)	 许三多是我，许三多是你，许三多是他，许三多是我们大家－－ 俞天任            
(4星)	 很有意思的片子..每次离别的时候都能难过..            
(5星)	 从没有这样喜欢过一部大陆连续剧            
(NA)	 喜欢袁朗            
(5星)	 看过十多遍了，没得看的时候很想念            
(5星)	 真的很不错！            
(5星)	 这是一部展现男儿血性的片子，看完它是震撼。。。            
(4星)	 制作一般，胜在题材特别，主题励志。谁叫社会太复杂，现实太残酷？于是一个执著的傻子告诉大家单纯的人生追求最幸福也最容易成功——问题是取得这样成功的傻子只有一个。原谅我许久以后用最势力的语言评判这部曾经看的激动无比的电视剧。            
(4星)	 N多朋友推荐            
(5星)	 就像一颗晶莹璀璨的小水滴，融入那芒芒的大海里！            
(5星)	 就是真实，就是好看！            
(5星)	 咋就这么喜欢呢？            
(5星)	 太他奶奶的好看了！！！            
(4星)	 有点理想主义哦，男人们的最爱，女人们梦中的男人。            
(3星)	None
(NA)	 喜歡...            
(NA)	 正在看，感觉不错。军剧呀            
(5星)	 一只在等班长……            
(4星)	 给了四个星，不希望它太完美，太完美总是不真实。            
(5星)	 喜欢袁朗，许三多            
(5星)	 边笑边哭            
(5星)	 不抛弃 不放弃            
(5星)	 一部很平凡的电视剧，可是留心的话，每个人都能从中找到重要的东西。            
(5星)	 人物丰富，故事比较紧凑，几乎一口气看完，只跳过在村子的那段。不抛弃，不放弃，就是钢七连的精神            
(4星)	 三多，后面特种部队的作战服一点都不好            
(4星)	 许木木心灵成长史            
(5星)	 好好看口牙            
(5星)	 非 常 好 看             
(4星)	 节奏太电视剧，可以拍成电影，或者长点的什么三部曲！            
(5星)	 好好活着,做有意义的事            
(NA)	 刺激的人生            
(4星)	 不抛弃不放弃！            
(5星)	 不抛弃 不放弃            
(NA)	 稀饭班长            
(NA)	 狂爱的电视剧            
(5星)	 超级强烈推荐            
(5星)	 你我他都可能成为不平凡的人            
(5星)	 真当精彩啊！！！            
(5星)	 被洗脑......            
(5星)	 配角的戏非常出彩            
(NA)	 士兵突击            
(5星)	 没看过的．．．快点补吧．．            
(NA)	 不错            
(3星)	 为什么我就是不喜欢许三多？            
(5星)	 感动我            
(NA)	 没有一个女演员的男人的世界，但绝对精彩            
(5星)	 纯爷们军旅大戏            
(4星)	 生子当如孙仲谋，男人就该去当兵            
(NA)	 一直都是断断续续的在看着，总是有一点没一点的过滤着里面的片断，“许三多”——我最喜欢的士兵状态，或许我的梦里就有这样的影子！            
(NA)	 俺要好好活，做很多很多有意义的事儿。。。。            
(4星)	 No victory is coming without price!            
(5星)	 不放弃，不抛弃。            
(5星)	 第一次在网上看国产片            
(NA)	 精彩!            
(5星)	 07-11-13半个月内看完 很棒            
(5星)	 有意义就是好好活，好好活就是做有意义的事。            
(4星)	 信念的生活            
(NA)	 强烈推荐的一部连续剧，最不CCTV的军旅生活片，看哭了好多次。            
(NA)	 娘的感人            
(5星)	 喜欢老七，喜欢班长，喜欢六一，喜欢成才，袁朗一般，讨厌许三多，非常讨厌！！            
(NA)	 好好活就是有意义！            
(4星)	 不抛弃不放弃            
(5星)	 小处见大。            
(NA)	 我已经是突迷了，你说好不好啊！            
(NA)	 我比许三多笨；我比成才不受人待见。。。            
(5星)	 喜欢史今班长~~~~            
(4星)	 吴哲、袁朗、史今、伍六一...我通通喜欢！            
(NA)	 绿色的军营曾经的梦想一群永不放弃的人            
(5星)	 男人的成长，血泪史。优秀的编剧！            
(5星)	 2007年10月，除了《武林外传》外第二部可以反复看而不腻的国产连续剧。            
(5星)	 非常喜欢，看完之后开始对自己重新认识            
(4星)	 没有看全的电视剧，感觉还算比较实在，没什么假激情，让我看到了情感上真实的东西。            
(5星)	 最喜欢的是袁朗!            
(5星)	 舍不得看完，又想快看完的电视剧。            
(5星)	 生命中有了当兵的历史，不遗憾！            
(4星)	 我们需要英雄 比较喜欢里面的所有人物 耿直 纯真 没有金钱概念            
(NA)	 从今天起，我也要做好多好多有意义的事            
(5星)	 爱死袁朗            
(5星)	 啊啊啊。超级无敌的好看。            
(NA)	 看了两遍。为励志。            
(4星)	 多人推荐所以开始看,网上评价也够高,可惜觉得有些地方还是显露了中国电视剧的一些通病,所以只给了四星,而不是五星.王宝强演这个角色很合适....            
(5星)	 王璐推荐            
(5星)	 有些搞笑更多感动            
(NA)	 man            
(5星)	 强烈推荐！！            
(5星)	 在没有女人的日子里            
(5星)	 心里头开着花呢，你走了，拔去了最后一把草……            
(5星)	 很久没有看到这么好的电视剧了。我们说好，要保存。07年9月。            
(5星)	 史今，高城，袁朗到底嫁哪个好呢？好艰难的抉择            
(5星)	 可以把天上的繁星都给它吗？？            
(NA)	 一部不错的片子            
(4星)	 不抛弃,不放弃,能做到,真不容易            
(5星)	 不那么红不那么专的国产军旅题材剧集，竟然看哭了都。。。            
(5星)	 傻根            
(NA)	 挺感人，但是在现在的中国，还是有点假            
(NA)	 钢七连带来的感动            
(5星)	 一个字：强！！！两个字：好看！！            
(5星)	 最爱史今            
(NA)	 可以经常的拿出几集来播一下            
(4星)	 寒假终于把它补完了            
(5星)	 男人就应该像袁朗一样            
(5星)	 中国版的阿甘,但他更有大巧若拙、大智若愚的味道            
(5星)	 非常喜欢，人物生动鲜明。不同于以往的国产军旅片。            
(5星)	 很好看的电视剧。            
(NA)	 看多少遍都不会腻，超喜欢            
(5星)	 没有一个女性的角色，也几乎没有一个多余的角色，每一个角色都有棱有角，个性十足，难得一见的精品，推荐。            
(5星)	 经典～            
(NA)	 不抛弃，不放弃            
(NA)	 人是可以改变的            
(5星)	 激情澎湃以及感动。除了无数美好的品质还有很范儿的男人。            
(4星)	 男人！            
(NA)	 实在无法用言语表达我对这部电视剧的喜爱!            
(3星)	 有意义            
(5星)	 没有加入女性角色,实在是太赞了。还有，也没有勾心斗角。            
(5星)	 难得的不做作的作品。            
(5星)	 许三多不是阿甘            
(5星)	 好            
(5星)	 好好活就是做有意义的事┆做有意义的事就是要好好活            
(5星)	 很希望这部戏里说的是对的。            
(5星)	 如果人民军队真是这个样子，那我就放心了。            
(5星)	 绝对经典的国产电视剧！！            
(5星)	 伟大的男人的疏漏的友谊啊。爱死了。            
(5星)	 散了，聚了，痛了，成长了，明白了~            
(5星)	 不抛弃不放弃，这就是钢七连！            
(5星)	 回首2007年的暑假，我好像只做了一件意见有意义的事：看完了《士兵突击》。好好活，做很多有意义的事！            
(5星)	 时间不够，没看完            
(5星)	 看过《士兵突击》么？没看过？赶紧去看吧！看过些？赶紧补课吧！看过了？再看一遍吧！            
(5星)	 一个兵的成长，一个人的成长，更是一代人的成长            
(5星)	 第一次被部队题材感动            
(5星)	 不给5星不道德啊            
(5星)	 当许三多是要有点勇气的            
(NA)	 邢佳栋被他气死了，演得真好。            
(4星)	 不喜欢王宝强。            
(5星)	 为什么近几年就没有这样的电视剧呢？一部深入人心又震撼的教育片呢？            
(5星)	 不抛弃，不放弃，我记住了。大学时候没有功夫看，毕业之后条件好了，时间也宽松了，于是想起来好好看看。励志啊！必须好好活！好好活就是有意义，有意义就是好好活。一定要活出个人样来！努力吧！翻滚吧！人生的路还很长很长，我们才都刚刚开始。            
(5星)	 大好き。            
(NA)	 孬兵 变 好兵，我期待一次蜕变            
(4星)	 难以相信这么个CCTV电视剧，居然如此暧昧横生~~三多和班长，班长和副班长，班长和连长....尤其没想到是如此直白，有时候看得我直起鸡皮疙瘩.....不知我妈这一辈的广大观众对此作何感想......还有那个有才，怎么看着那么眼熟，【春风沉醉】有为事业献身啊,小子胆儿挺大.....            
(5星)	 都很好。最喜欢连长，老七            
(5星)	 我喜欢高诚，真爷们儿！            
(5星)	 感动            
(5星)	 活着就要有意义            
(5星)	 哎哟 爱死段郎了~！！            
(5星)	 可谓经典               
(5星)	None
(4星)	 有些东西无所谓真实虚伪，你若信了，它就存在。            
(5星)	 我爱史今！            
(5星)	 又基又好笑又感人 班长是个好男人            
(NA)	 很喜欢这部片子。撇开了目前跟风似的男女情感关系的线路。里面有很多话都很激励人！当初看的时候，还做了个笔录。呵呵现在看看，都很有感觉！            
(5星)	 这是我完整的看完的为数不多的电视剧之一，也是给我影响最深的一部电视剧，真的被鼓舞了，打动了            
(4星)	 不抛弃，不放弃。许三多            
(5星)	 还用说么。            
(5星)	 电视看了好几遍，小说看了不下三遍，每一遍都感觉很有收获。不抛弃不放弃，一种执着，一种信念。常相守，是一个考验，随时，随地，一生。            
(5星)	 喜欢连长            
(5星)	 最好看最影响我的电视剧。            
(5星)	 最近云南搞了个节目叫士兵突击。突然就想起这部片子了，好片啊            
(5星)	 一部激励我走过黑色高三的作品。尽管当时只看了许三多到老A之前。每次看，都有每次的感动。            
(5星)	 不抛弃，不放弃            
(5星)	 迷上了史今、以及吴折还有袁朗，一群男人一群大男人。当年在寝室里和一群哥们一起看的，怀念那2B岁月～～～            
(NA)	 不爱许三多，爱袁朗，崇拜地无穷无尽。。。            
(5星)	 我太土了，连这个都没看过            
(5星)	 看了好几遍了，仍旧喜欢看~而且永远忘不了的~            
(5星)	 想起大学写作课来了            
(5星)	 我很少看电视剧，这是为数不多的其中一部。            
(5星)	 继续\坚持\下去            
(5星)	 我想写个长评，不是简短评论。            
(5星)	 和大明宫词并称我最爱的大陆剧啊~~~            
(1星)	 8.9分？太过点了吧,呵呵呵...            
(5星)	 力荐的最喜欢的军旅片。            
(5星)	 很久以前看的嘛，也是因为这几个演员才看北爱的            
(5星)	 不抛弃，不放弃，不是嘴上说说。            
(5星)	 又重温了一遍，这片确实经典，人物塑造，台词设计，演员表演都十分到位。虽然我最不喜欢的仍然是许三多，但我不得不承认我如果有他一半的坚持，有很多事情都已经做成了~            
(5星)	 不抛弃不放弃            
(5星)	 正在看第三遍~~            
(5星)	 我一直认为这是我看过的最有意义的国剧，它的意义真是很丰富，即便再看也觉得感人至深。经典！            
(NA)	 333            
(5星)	 最喜欢连长了~            
(5星)	 我居然一直没选这个！            
(5星)	 太喜欢了！            
(5星)	 好看            
(5星)	 简单地信仰，你就会成功！            
(5星)	 刚出来的时候就看过了，后来不知道怎么的突然就火了            
(5星)	 很多细节的处理是让人敬佩的。。。            
(NA)	 真挚 是显而易见的! 其中穿插着很多 道理也好 感悟也罢.. 那都是我们所缺失的!还记得 再某一集中的一句话: &#34;好了你现在自由了 没有约束 没有管制  但你要对自己负责 或不!  &#34; 就这样一句话 有多少人可以理解?            
(4星)	 李晨真美好！袁哲万岁！！！！！            
(5星)	 开始太搞笑了 后来又很感人 每个人都演得那么好 不抛弃 不放弃            
(5星)	 该书和剧，对我已经不是作品而是类似信仰啦。请关注突迷们建立的幸福时光”突迷希望小学”。已成四所，正为第五所的筹款。关注百度同名贴吧，欢迎天下突迷长相守。            
(4星)	 我看过的第一部真正体现“人”的价值的主旋律。            
(5星)	 一个字，赞~            
(5星)	 不抛弃，不放弃。决不。            
(5星)	 我简直不能相信他居然这么精彩            
(5星)	 尽管有点杰克苏，但还是觉得很好看。            
(NA)	 可惜我们不是许三多，可惜我们不如许三多            
(NA)	 当年某语文老师的寒假作业            
(5星)	 我还看哭了呢，高三            
(5星)	 好几年前看的了，当时每天看到两三点欲罢不能。我看过的最好看的电视剧。最喜欢袁朗给三人做评估的那段，好有哲理！            
(4星)	 看了三遍            
(NA)	 看过N遍士兵突击,有时候感觉自己就是许三多            
(NA)	 假期在家又看了一遍，看完以后还是感动的哭了。            
(5星)	 永远不要把希望寄托在别人身上            
(5星)	 我最爱的电视剧，这几年都没有之一能加在后面            
(4星)	 很久以前看的一部电视剧，挺励志的，影片中贯穿的精神挺让人感动的。有时候我们也该有股傻劲，有股坚持的动力。            
(5星)	 不抛弃，不放弃            
(3星)	 老A和吴哲基情燃烧的岁月！            
(5星)	 当时哭到一塌糊涂啊。。真心感动！！            
(4星)	 像童话一样            
(NA)	 拍的不错，喜欢            
(5星)	 超赞的 每集都会哭哈哈 还想再看一遍            
(5星)	 你永远无法知道自己能够走多远。            
(5星)	 几年前看完后，想嫁给班长~结果一查，张译同学已经结婚啦~还有袁郎同学也很帅哦~超man的！            
(4星)	 必须喜欢。。。            
(5星)	 对军人的热爱！            
(5星)	 不抛弃  不放弃  一直影响着我们            
(4星)	 我个人比较喜欢军旅的片子，许三多的个性跟我很像，会有共鸣。所以比较喜欢。            
(5星)	 大爱！ 没有男女爱情的片子可以这么吸引人，真的就是个奇迹！太多感动，太多铭记。王宝强、张译、李晨、陈思成、段宏弈、张国强、邢佳栋······这伙儿士兵帮秉持着“不抛弃不放弃”的信念，一点一点教会我们成长。我爱士兵帮，我想念看麒麟的日子。            
(5星)	 看的时候笑了，也哭了。很感人。可惜这样的铁骨铮铮现实中太少太少。喜欢史班长，喜欢伍六一，喜欢高连长、袁朗，那是我的英雄情节。当然，许三多或许更伟大，但只是感动，尊敬。而不会恋上。男人间的友谊，男人的义气，真羡慕            
(3星)	 断断续续的看完了            
(NA)	 越看就越怀念弟弟、心底最深的不舍和歉疚、无法拯救他的灵魂。言语无法表达的悲伤和难过。            
(5星)	 现在看，还是觉得挺不错的！            
(5星)	 我真的好喜欢这电视剧。。。。许三多。。。。            
(5星)	 没有女人的好电视剧。            
(5星)	 不抛弃不放弃            
(5星)	 百看不厌好剧集！            
(3星)	 在宿舍看的，打扑克没意义            
(5星)	 【最好的励志剧和偶像剧。如果你因为不热爱军旅题材或者出于单纯的逆反心理而错过它，那就太可惜了。】+1，其实那些男人们符合我的所有幻想。看剧情介绍没劲到爆，实际上有劲到爆。            
(4星)	 还不错，就是一看见王宝强就想抽他。            
(5星)	 很少有军旅题材让我如此的喜爱，整部剧几乎没有女性，是一部真正的男人戏，很有内涵！值得一看！            
(3星)	 励志的近似不真实            
(5星)	 奇了怪了            
(3星)	 说教太重。            
(4星)	 讲述了男主角军旅生涯的成长故事。剧中对白幽默，剧情平淡，乃茶余饭后百无聊赖时观影最佳。            
(5星)	 天知道看完我多艰难才看完。爱袁朗爱吴哲爱伍六一。            
(5星)	 必须五星            
(5星)	 今晚我们继续欣赏电影“大浪淘沙”，啊！~这白花花的沙子~！“班长，这电视咋放出收音机的音了呢？”            
(5星)	 2006的电视剧，2012年才看。超棒的电视剧，喜欢里面的一群人。            
(4星)	 其实我更喜欢张译的班长            
(5星)	 很少有军旅剧能让我看下去的，士兵突击做到了。            
(5星)	 心永远系七连！当然当然，老A也很棒！            
(5星)	 烙印在我心中最深处的励志故事，没有之一。            
(5星)	 一个天才傻瓜的传奇！心无旁骛、一心向前、不抛弃不放弃！学会了：我信！            
(5星)	 值得每一个人看看 PS：我喜欢班长，片尾的吴哲很可爱            
(4星)	 可算是看完了 = =            
(5星)	 经典，心灵震撼！            
(5星)	 就因为现实里绝对不会有许三多这样的人,所以才能让我们感动            
(4星)	 好看好看、从此化身士兵控了、汗汗、、叫吴哲的怎么在哪儿都这么招人烦啊~~没治了、白瞎李晨了。成才没什么错嗯嗯、还是稀罕七连长内范儿的吖。            
(4星)	 这样的励志是否是一种偶然现象            
(4星)	None
(4星)	 当年看得热血沸腾。鼓劲            
(NA)	 喜欢袁朗和菜刀            
(5星)	 我们去过的每个地方，遇见的每个人，经历过的每件事都需要我们付出时间和生命，更需要我们付出感情。。。            
(NA)	 班长，让我抽许三多两巴掌吧！！            
(5星)	 不解释！因为这两部剧 我要弄个“电视剧”标签              
(5星)	 看了N遍的电视剧，血性男儿!            
(5星)	 有灵魂的电视剧！            
(5星)	 三多            
(5星)	 纯爷们儿            
(5星)	 这里面有柔情的男人，有铁血的男人……无论哪种，怀揣梦想与感情的，都是至真的男人            
(5星)	 ：）            
(5星)	 花了两天连续看完了，真是中国最好的连续剧之一了！参与制作的人都是用真情拍的，配乐也选得那么精彩！多少次让我一个人大哭，甚至哭得痛彻心扉...我想之后我还会再看很多遍的            
(4星)	 高城史今....国民CP剧的开拓者            
(5星)	 不抛弃不放弃            
(5星)	 值得一口气看完  太多的道理            
(5星)	 所有男人都应该看的励志片啊~            
(5星)	 记住了几个角色：许三多，袁朗，史今，561            
(4星)	 完全的不矫情            
(5星)	 让我想得最多的是，个人集体归属感的合理性。兰晓龙按他的思维给我们下了套，这套是正确的吗？困惑。            
(4星)	 当兵的男儿真的很令人佩服啊。            
(4星)	 没看到有袁朗的部分。最爱史今，老七561也不错，对袁朗无感，最烦许三多和陈思成            
(5星)	 在高三的时候给了我莫大的帮助，也让我对军人以及军旅生活非常崇拜和向往~            
(5星)	 不抛弃，不放弃！人活着就要做有意义的事，好好活着！            
(5星)	 又到了复习期。说实在的，此剧除了对《太极旗飘扬》OST的煽情复制外，瑕疵难找。            
(4星)	 喜欢成小花和561            
(5星)	 励志。            
(5星)	 最最最喜欢的电视剧，看了好多遍            
(4星)	 没有女人~多好啊~            
(5星)	 純爺們！！            
(4星)	 如果是自己一个人，可能是不会看的，当时闲来无事，陪着老爸老妈看的，看着看着就看完了整部。挺喜欢整部剧的，但是不知为何，却不喜欢主角，许三多。            
(4星)	None
(5星)	 超爱的电视剧啊！太TMD励志了！而且超喜欢人品好的史今史班长！！！！            
(5星)	 鼓舞年轻人投身革命军队的电视剧,很有号召力.看过能让你更加man哦!有容乃大,无欲则刚.的确感觉像中国版的阿甘正传.            
(NA)	 中国军人            
(5星)	 要把自己当做许三多.不抛弃不放弃.好好活,做有意义的事.要学吴哲,有平常心.要学成才,做人圆滑.要学高成,爽朗坚强.要学史今,待人善良.要学袁郎,聪明能干.要学伍六一,顽强认真.            
(5星)	None
(4星)	 哭的稀里哗啦，抛开意识形态，单纯为信念和热血。            
(5星)	 花了两天时间完整的看了一遍，以前喜欢胡哲袁朗，如今喜欢成才。            
(NA)	 20120127 我喜欢没有女主角的电视剧,啊哈            
(5星)	 已经看过不止一遍了，可每次看到班长离开的场景都会哭。。。看过士兵突击其他军事题材的电视剧都没法入眼了。必须五星！            
(5星)	 我第一次看到的时候以为是  土兵突击= =            
(4星)	 陈思成¯﹃¯            
(5星)	 有两个字来形容看后的心情，就是感动，真的被里面的人物，台词深深打动，真的很少有这么深入人心，励志的电视剧，很值得看！            
(5星)	 经典+里程碑 高中时老爸就叫我看，我因为没有女主而没看……6年后才看觉得相见恨晚。不过段奕宏和张国强还有陈思成是通过别的别的剧知道的，很喜欢            
(5星)	 561和连长都爱班长爱的好深 = =            
(4星)	 我的CP是史今和伍六一阿，残念…然后，我爱伍六一，爱高城，爱吴哲，羞射            
(NA)	 欧麦。            
(5星)	 国产连续剧里面唯一好看的            
(5星)	 男人的戏，真的可以一个女人都没有，也一样精彩！所以，真的别做梦了，他们的情感不在你这里，为自己的理想而活吧，姑娘们！（听上去真别扭，好像这条路走不通，才无奈的调头似的，大家都长点心吧）            
(3星)	 我的承认我没看懂……            
(5星)	 虽然我完全不相信部队里会这么纯碎，但在感动之余也不禁会想，如果我在06年看到这部片子，我的人生轨迹会不会不一样。。。            
(5星)	 纯爷们～            
(5星)	 每一次驻足观赏，每一次收获非常；感动依然存在，真情永远不老……            
(5星)	 许三多说：活着就是做有意义的事，做有意义的事就是要好好的活着。看这片绝对是件有意义的事。喜欢剧中的：史班长，老马，高连长，伍六一，老A，吴哲，成才。他们各各都个性鲜明又有情有义。是部值得一看再看的好片。PS：喜欢许木木的内心独白，喜欢教官训话新兵时像打了鸡血一样亢奋            
(5星)	 我心目中最好的国产电视剧，百看不厌，无可置疑的经典。            
(5星)	 他们都说我爸作风像袁朗 长得像老七            
(5星)	 感动我的男人帮            
(NA)	 看了好几遍···都不腻            
(5星)	 哭了            
(5星)	 大爱纯爷们！！            
(5星)	 给六星！            
(5星)	 挺好看的啊            
(5星)	 太多西皮了            
(5星)	 非常的纯粹，非常的干净利落！            
(3星)	 20120125   还行     高一时看完的吧            
(5星)	 昨天又看了一遍！~ 虽然还是不那么喜欢许三多…            
(5星)	 多谢杨妈推荐、            
(5星)	 这电视剧改变了我的一生            
(4星)	 许三多根本不是普通士兵，他是神，是完全没有人性弱点的至善至美的神仙。我不喜欢看一个红花配绿叶的神话故事，却爱着每一朵陪衬的红花。            
(5星)	 大爱之作！            
(4星)	 未来之路不可知。靠信念而活的路上，坚持就是胜利。            
(5星)	None
(5星)	 狂顶史今没话说啊。            
(NA)	 有木有人YY士兵突击啊，刚看了两集，JQ这么大呢？男人之间的友谊啊~~总让我感觉怪怪的。。。            
(1星)	 “好好活”和“有意义”的同义反复暗示了，在他们生活中思考和批判是多余的。“意义”并不是思考的结果，不是自我选择的结果，而是一种具有绝对态度的自足行动。            
(5星)	 小卒走得慢是慢，但好在义无反顾            
(5星)	 第13集，班长走的这段，你会发现眼泪真不是你的，眼泪真是不要钱的。            
(4星)	 值得一看 然后又看了上面的很多评价 不错            
(5星)	 很棒！            
(5星)	 几年前看的 还是记忆深刻 励志佳品 不抛弃不放弃 仍是挫折时的佳句            
(5星)	 没想到纯爷们的戏真不错            
(5星)	 每个人心里都有个成才。            
(5星)	 想当年军训后看，忒有感觉！            
(5星)	 国产神作            
(5星)	 配乐好喜欢好喜欢...电视剧里的人物有更多的时间和篇幅去描绘...这跟看电影的感觉是不一样的吧...能更长时间沉淀在人物的故事里...很爽            
(5星)	 精神            
(5星)	 赤裸裸的励志，赤裸裸的温暖，似童话，似预言，却直击人心            
(5星)	 平常心，平常心            
(5星)	 不抛弃不放弃.            
(5星)	 真是又感人又搞笑。我就是看男人去的，没有一点女人戏啊，真爽。爷们之间的各种暧昧啊。还有史今就跑到了十多集就没了，李晨袁朗什么的20集以后才出现。不想看三多吧，从头到尾都不少他的镜头，烦银            
(4星)	 这剧到底是有多腐...看的我是基情澎湃....没有女主角...很好很好   哈哈            
(5星)	 (⊙o⊙)…            
(5星)	 每看一遍都会热泪盈眶，但却会有不同的感悟            
(5星)	 很对我的口味，多希望再多演一点，30集太少啊，混蛋。            
(5星)	 很喜欢的军旅剧啊            
(4星)	 弱化了军事题材，强化了政治教育。            
(4星)	 才想起来标记。许三多这个傻缺看着就来气            
(5星)	 看一遍，成长一遍            
(5星)	 没看的赶紧看看 看得小乌龟欢欣鼓舞啊 忽略那次到不行的配乐            
(5星)	 看完就不舍，许三多除外。看我的团长去~~~            
(4星)	 帅哥啊 男人啊            
(5星)	 看到后面是流着眼泪看完的，尤其是到最后班长走的时候那一幕很深刻            
(5星)	 不抛弃，不放弃！            
(5星)	 看了很多遍依然想看。爱上了剧中的每一个人物。            
(4星)	 SP在信中给我写道，不抛弃，不放弃。我一直都记得。            
