http://movie.douban.com/subject/2228525/	男才女貌
(1星)	 四不像的偶像剧。            
(3星)	 他一定很爱你~            
(5星)	 小时候的回忆啊！            
(5星)	 小学假期看的，特喜欢这个，从这开始喜欢林心如的            
(NA)	 我觉得曾黎的颜如玉非常漂亮            
(NA)	 当初很喜欢看··现在依然会想起一些细节··还有主题曲··还有··那里边可是还有现在的大红人·冯绍峰呦~~            
(4星)	 这部里的陆毅算是比较养眼了，那时真没啥好的            
(4星)	 回忆            
(4星)	 真是男才女貌啊            
(3星)	 印象不深了            
(NA)	 挺写实，不狗血            
(3星)	 这剧是不是有杨幂她老公？            
(3星)	 小时候喜欢看            
(4星)	 顏如玉，從這裡我第一次認識了曾黎～            
(2星)	 还能再假一点吗？            
(3星)	
(2星)	 当年觉得陆毅还不错。看来我是脑残了啊、、不喜欢林心如。还珠里就很讨厌她了。            
(2星)	None
(4星)	 记得是 阿杜的 他一定很爱你            
(5星)	 地铁里两人初见时响起的他一定很爱你有很长一段时间在我脑海挥之不去            
(3星)	 当时好爱陆毅来着，买了好多海报和小贴纸            
(3星)	 他一定很爱你~那个应该就是我听的阿杜的第一首歌吧。果然我已经老了，小学时代什么的，已经离我远去了。╮(￣▽￣&#34;)╭            
(4星)	 十年前，马景涛的老婆还是纯情少女，《宫》里面的八阿哥还是皮白肉净的小白脸，高圆圆的男友还是个老实吧唧的小正太。十年之后。。。如果说一切都是明天一切都是天意谁也说不清。            
(NA)	 办签证那年看的，当时的要求真一般！            
(NA)	 中国偶像剧，拍得还行            
(5星)	 那时候还小啊            
(NA)	 就是这个题目！            
(NA)	 比女才男貌好看            
(3星)	 我小学的时候看的电视剧真多啊            
(5星)	 不多说了 去年才发现冯绍峰演了            
(NA)	 男女主的黄金年代            
(5星)	 挺好的结局。。。            
(4星)	 那时候觉得他俩配的呀。            
(3星)	 上海的地铁站            
(3星)	 此剧捧红了一个叫阿杜的男人             
(3星)	 景飒名字真好听。。。            
(3星)	 挺傻的，当时就是奔着郎才女貌了            
(3星)	 喜欢心如，当时啊，迷得~~阿杜那首他一定很爱你 哟~~            
(4星)	 第一次看还是初中。现在又翻出来看一遍。电视剧本身和主题曲都很喜欢。一部很经典的爱情剧。上海打工者的爱情            
(4星)	 当时也是很爱看，那个阿杜的主题曲，他只是很爱你，还很火来着            
(3星)	 那个时候就觉得教主的妻子很美啊。            
(4星)	 永远的苏拉            
(3星)	 三角罗圈恋~            
(2星)	 真挺狗血的。            
(3星)	 当年阿杜的他一定很爱你印象更深刻            
(3星)	 曾记否啊亲！！！！！！！！！！            
(3星)	 小时候，天天看这种电视剧，哈哈            
(3星)	 冯绍峰那年还演个小角色 叫什么杉好像 林心如的前女友……但竟然就对他留下了挺深刻的印象……            
(3星)	 那时候觉得他们可配可配呢~里面还有一个坏女人！            
(NA)	 男主人公永远都是那么成功            
(4星)	 我喜欢林心如~~~~~            
(3星)	 当年真的很火的说            
(3星)	 阿杜唱得片尾曲很好听～            
(5星)	 这个拍得多好的            
(2星)	 只记得林心如演的叫苏拉，片尾曲是他一定很爱你，还有地铁什么的。但相比较起剧中妖娆的曾黎，更喜欢她清纯的样子。            
(3星)	 看的第一部陆毅的电视剧……            
(3星)	 他一定很爱你，别把我比下去……学会了这首歌            
(3星)	 还好            
(3星)	 他一定很爱你。。。            
(5星)	 突然又想看看了~苏拉~~邱石~~景颯~~当然不能忘记唱歌的阿杜~~yeye~~            
(5星)	 好看的            
(3星)	 我真的觉得我看过太多国产剧了 - -            
(4星)	 挺清新的，还行            
(4星)	 都是当年，呃，具体剧情都不记得了，有冯绍峰吧貌似            
(4星)	 林心如最红的时候            
(NA)	 8爷好帅。。。            
(4星)	 颜颜最好看，就是曾黎。            
(3星)	 &gt; &lt;            
(5星)	 初一看了好多遍。。。            
(NA)	 芳姐哈哈            
(4星)	 就看上了那几个女猪脚……            
(4星)	 国产电视剧中算是好看的了            
(NA)	 谁没有童年！            
(3星)	 《他一定很爱你》            
(3星)	 不难看。            
(3星)	 对陆毅无爱。            
(4星)	 那时候陆毅演精英还有那么点意思。            
(3星)	 主角还还都不讨厌，就是这个，想着回头看陆毅的成名作            
(NA)	 我坐在车里 手握着香槟  ~··啦拉拉拉拉~~~            
(NA)	 cctv-8            
(3星)	 到现在印象最深刻是阿杜的那首歌            
(3星)	 以前电视台放的时候看过，没什么记忆了。            
(3星)	 最近又翻出来看了看 原来这是偶像剧！ 原来前男友就是冯绍峰 不好看            
(3星)	 当时觉得很喜欢，苏拉很个性            
(5星)	 我的陆毅啊！！！！！！！！            
(3星)	 以前是多么无聊啊            
(3星)	 所谓的往事不堪回首啊            
(3星)	 林心如现代剧的扮相也很不错。            
(4星)	 比较好的国产偶像剧。喜欢苏拉，更爱景飒。            
(4星)	 我觉得林心如在这部剧里很好看，剧情方面，还好吧~            
(NA)	 帅哥加美女，养眼            
(5星)	 经典。！            
(4星)	 好看耶！从看了这个以后我更喜欢林心如了~~而且拍的很现代，在那个时候很难得的不俗气！林心如很优雅~~            
(3星)	 呵呵呵            
(3星)	 啊，是那个一堆村姑进城找工作的故事。            
(3星)	 很久以前看过滴~~~            
(4星)	 当年的陆毅还是灰常帅的            
(5星)	 抛开深刻不谈，具备了一部成功都市剧的所有元素！            
(4星)	 经典偶像剧，坐在地铁里总是会想起来初见那一幕。            
(4星)	 看了又看~            
(3星)	 好都市情节啊。            
(4星)	 此剧让我想起初二夏天的晚自习~~            
(4星)	 好喜欢看            
(5星)	 印象最深的还是阿杜的那首《他一定很爱你》。。            
(4星)	 最爱林心如了            
(4星)	 在那时也算相当不错的小青春 小偶像 小都市言情了 颜如玉 漂亮是漂亮 但过于媚俗了 其他都还不错各有特点            
(4星)	 小芳啊小芳！你男人最近很红好吗！你儿子很萌好吗！            
(5星)	 红极一时啊~ 陆毅火了一把！那歌也火了一把……躲在车底……            
(4星)	 还记得里面的小芳吗，现在是马景涛的太太。还有里面的尹衫，就是现在很红的冯绍峰。想不到吧？            
(NA)	 做梦精选参考            
(3星)	 一般般了。对陆毅始终没好感。            
(4星)	 喜欢林心如~            
(4星)	 一切都很偶像剧啊            
(4星)	 回忆　回忆～            
(3星)	 曾黎演的颜如玉让人很惊艳。            
(4星)	 金童玉女真心养眼            
(4星)	 很棒            
(4星)	 典型言情 好的人太好 坏的人太坏 不太好看            
(3星)	 。            
(4星)	 算是比较经典的内地偶像剧吧            
(4星)	 相不相信？那个电视剧竟然让我知道好多，比如大学生可以自己租房子住，有钱人追人也有热脸贴冷屁股的时候，原来外地人是这样看“本地户口”的，曾经可以推心置腹的好姐妹最后为了掉金龟婿，也会跟你闹翻，女人创业也可以如此气派，即便是婚礼当天也可以犹豫一下到底要不要嫁给你，流行歌可以作主题曲            
(4星)	 林心如在里面的衣服我都很喜欢耶。。。。。            
(3星)	 喜欢邱石买内房子..........            
(NA)	 女主因为她娘给的一条手链遇到男主了 于是我那时候就超级想让我妈也给我买条好看的手链 哈哈~            
(3星)	 当时还挺爱看的 美女挺多的            
(4星)	 为了心如和陆毅            
(4星)	 貌似是偶像剧启蒙？            
(3星)	 追过一阵来着            
(3星)	 可能是初中的时候看的，当时觉得还不错的            
(NA)	 那时可喜欢了            
(3星)	 哇塞，好久之前哦，那时我还年少            
(4星)	 初中时看的，以那个时候的我，会打上推荐的标签            
(NA)	 大陆少有的青春剧            
(5星)	 高考之后看的，看完之后狂迷林心如和曾黎  =0=            
(5星)	 很早的电视剧了~心如可爱啊            
(3星)	 有个警察和孙菱长的一样一样的            
(3星)	 哇塞竟然发现了这部！看的也很零落。。            
(NA)	 写完作业才能看            
(4星)	 我那时候觉得很好啊            
(4星)	 很好。。。            
(3星)	 我竟然看过。。            
(3星)	 我就记得这里面有冯绍峰            
(5星)	 当时觉得他们真的好配啊。            
(NA)	 超喜欢那时的林心如和陆毅，总觉得曾黎怪怪的。            
(3星)	 曾经幻想过地铁偶遇一段美丽的爱情，好可爱的幻想~~~            
(4星)	 好看啊！！当时看的时候！哦呀！            
(3星)	 对她们毕业后在黄浦江边说一定要在上海立足的场景印象深刻。            
(3星)	 这是一个。。。符合yy的故事。。。            
(3星)	 这部剧里的林心如格外美            
(3星)	 那时候看这个还凑活            
(3星)	 林心如好看~~            
(NA)	 那时觉得不错            
(3星)	 最近宫里面的八阿哥在里面演一号反派            
(NA)	 颜色挺好看的            
(3星)	 高中看的......            
(3星)	 陆毅真的不好看啊...            
(4星)	 这两天又在看，想起了高二时光，没想到苏拉和颜如玉遇见的多年后都遇见……            
(4星)	 很久很久以前，八阿哥=尹杉！冯绍峰冯绍峰冯绍峰！！！那一年，阿杜红了！and，剧中的小芳，如今嫁给咆哮帝马景涛了。。。            
(4星)	 让年幼的我超级向往都市生活            
(4星)	 小学的时候觉得很好看，一遍一遍地追。            
(3星)	 其实吧，我觉得还行啦            
(3星)	 当年看得很开心，明明是男貌女貌= =！！！            
(5星)	 第一次看时还在中学。如今毕业、出国、回国……电视正好有重播，再看感觉真有不同~觉得还是国内最好的偶像剧。            
(3星)	 也算是偶像剧吧            
(NA)	 当年陆毅一口一个帅~迷到死。            
(4星)	 阿杜的歌火了~            
(4星)	 很喜欢林心如            
(3星)	 内个年代的电视剧。。。林心如还行，陆毅太假了！            
(4星)	 这个还挺不错。蛮喜欢的            
(NA)	 CCAV8！            
(4星)	 那时觉得挺好看的            
(4星)	 第一次听阿杜的声音……            
(3星)	 里面有冯绍峰诶~~            
(3星)	 冯绍峰！！！            
(3星)	 我耳边响起了阿杜的声音......            
(3星)	 这都是当年的片啊            
(3星)	 既然看到了，就给个分吧，当年我可是被陆毅迷得不轻啊！PS：最近很红的那个冯绍峰就是里面林心如的前男友，当年我就觉得他跟陆毅比也不差，迟早会红的，只是没想到过了十年才真真大红。            
(5星)	 当时大爱的片子，一直以来，陆毅那款都是我的大爱。            
(4星)	 这个是不是还衍生一部女才男貌阿。印象中任达华也有演吧，踢足球的貌似            
(3星)	 集中回忆我看过的国产电视剧 这已经算不怎么雷的了。。。            
(3星)	 那时候还挺喜欢陆毅            
(3星)	 那时候特喜欢看啊，怀念。            
(4星)	 国产能拍出这样的真的已经不错了。当时阿杜的那首片头曲坚决火呀            
(5星)	 当年很迷陆毅啊 哈哈 那时候还小学            
(NA)	 六年级的时候每天等在电视机前就为了这部片子，哎。。。            
(3星)	 话说当时觉得还挺好看的。            
(4星)	 如果换个男主角，我还能给高点！            
(2星)	 偶像剧……囧            
(4星)	 小时候觉得还不错            
(4星)	 陆毅帮林心如满配的~~~            
(3星)	 狗血剧情            
(1星)	 …………………………            
(NA)	 阿杜的那首歌依然觉得很好听~            
(2星)	 原谅我只给两星。。。            
(4星)	 比奋斗要真实的多            
(4星)	 =。= 要开始炼成陆毅那样的身材……            
(1星)	 中央某台放过            
(3星)	 第一次听阿杜            
(4星)	 这个当年很火呀，挺现实的            
(5星)	 童年回忆，经典，当年特喜欢看这个，看了好几遍            
(4星)	 当时还以为邱石这种帅气多金男在上海满大街都是呢~            
(2星)	 初中毕业那年暑假看的，当时很爱看，现在回想起来怎么觉得情节那么无聊。            
(NA)	 就是那时爱上的陆毅            
(5星)	 还是林MM最好看~~            
(4星)	 这片让我看烂了            
(3星)	 印象最深刻的是开始，林心如在地铁站哭那几帧，美翻了。            
(3星)	 ~~            
(4星)	 缘分            
(3星)	 非常不够啊。            
(5星)	 经典啊经典            
(4星)	 说实话吧你们！当年有没有被陆毅迷过！！林心如真好看~            
(3星)	 还行吧            
(4星)	 我爸蛮喜欢的。。。。。。            
(3星)	 那时貌似很红 但我不喜欢昂            
(3星)	 一小般            
(4星)	 到最后印象最深的还是OP阿杜的声音：他一定很爱你~恋爱启蒙教材吧            
(3星)	 当年胡少刚去上海的时候看的这部，唔，那时真是对魔都充满向往啊。            
(NA)	 小时候觉得好好看的，还有阿杜那首歌不断响起，他一定很爱你。            
(3星)	 男二和女二超过了男一和女一。。            
(3星)	 哪有这么美的事啊            
(NA)	 喜欢里面的小芳            
(NA)	 恶俗电视剧你还想看多少！            
(3星)	 这么多年，赵薇生女，范冰冰妖娆，林心如始终没变，还是那个样子~            
(3星)	 林心如现代装果然不如古代啊，阿杜声音很特别呃            
(4星)	 喜欢苏拉这名字            
(4星)	 响起音乐的地下铁，我每次都觉得很感动。也是第一次知道紫色的鸢尾。            
(3星)	 N年前看的…那时的我感觉不错…就偶像剧呗            
(5星)	 在我看来是内地拍得最好的偶像剧。主角要颜有颜，剧要情节有情节，很喜欢，百看不厌，当时看时就想着要学苏拉，要做个独立自主的女性！喜欢女主个性，林心如漂亮得没话说！！            
(3星)	 林心如的苏拉是我最喜欢她的角色之一~~            
(3星)	 居然是我唯一一部看完的爱情片……            
(2星)	 中考的陪伴..            
(2星)	 这两人都不怎么讨喜。不是我说。            
(2星)	 囧            
(5星)	 我的小心肝儿哟~~你在地铁里那场哭戏，给我哭的心都碎了~~~老久远的电视剧了，自此，就很少再看到这么好看的偶像剧了            
(4星)	 初中一下自習就沖回去看那麼十幾分鐘            
(4星)	 林心如真好看            
(4星)	 演员都青春靓丽，剧情很轻松            
(2星)	 断断续续看的，不知所谓。            
(4星)	 很不错的。。不论是剧情还是演员            
(NA)	 哈哈哈~还有这个。。。            
(2星)	 看的时候就觉得无聊，我不喜欢林心如的电影，不知道为什么            
(3星)	 雷            
(3星)	 脑残            
(3星)	 蒋导最好的内地片            
(4星)	 那个时候想，要做个独立的女性。            
(3星)	 还不错            
(3星)	 当时是一部时尚偶像剧。            
(NA)	 羡慕剧中苏拉的好运气，喜欢他们在上海的甜蜜生活，不知道自己会不会有这样的好运，在对的时间，对的地点，遇到对的人            
(3星)	 拍得还算是可以，不让我那么难受，但林心如和陆毅之间总少那么点chemical            
(3星)	 当时觉得林心如比赵薇好看。            
(3星)	 挺登对的            
(3星)	 阿杜《天黑》的音乐缓缓响起…            
(4星)	 我记得那时候很喜欢这剧。。。现在好像淡定多了。。。            
(5星)	 友爱的内地偶像剧。好看。            
(3星)	 真不知道林心如貌在哪里。            
(5星)	 多么经典的偶像剧呐            
(1星)	 新鲜的搭配嘛。            
(4星)	 曾經追戲到騙老豆！！其實第二天還有好多考試。。。啊！！林心如啊。。我dream頭型也在裏面啊，現在看比較土了。。            
(3星)	 一见钟情的。。。            
(4星)	 回忆。他一定很爱你。那一晚我哭得很伤心。            
(4星)	 这部电视剧，让我喜欢上了上海，让我迷恋上了地铁，让我开始向往回来...那一年，我13岁...            
(3星)	 沒啥太深的印象 竟然腦子裏浮現的是地鐵的鏡頭            
(2星)	 女有貌男装才            
(4星)	 当年看陆毅就不爽...            
(3星)	 当初看觉得心如和陆毅好配的=。=            
(3星)	 一般            
(4星)	 当时我苏于小伟。。。。。            
(4星)	 初中那会儿，我和几个死党最喜欢林心如和陆毅了，海报买了好多张~            
(3星)	 都市。时尚的城。地铁。囊括一切邂逅的因素。。。今天咋了，随机看到的剧集都是少女时代的记忆……当年是那么那么爱幻想哈……不管了，今天就来2一下~哈哈。装个小年轻。哈哈！            
(3星)	 年幼的我很喜欢哦！！！            
(3星)	 男主很沒氣質。            
(5星)	 喜欢这种爱情            
(2星)	 凸            
(5星)	 我真的觉得他俩很般配            
(4星)	 纯情爱情故事，没有吻，没有床戏，没有乱七八糟的，就是纯纯的喜欢，就连阻碍都是很简单的，当初看的时候很喜欢，觉得陆毅挺帅一小伙，现在再看三国，这孩子发福的厉害。一直很喜欢林心如的            
(3星)	 …………那时候是小学吧，看的特起劲儿（跪            
(4星)	 那时候可喜欢了            
(4星)	 以前和媽咪一起看的 都很喜歡這部片子            
(4星)	 也许每个女孩都有同一个梦吧，就是遇到一个已经事业成功，爱自己的男人。            
(1星)	 还真巧。真好我特讨厌他们。            
(4星)	 《他一定很爱你》配上郎才女貌的演员，虽然是爱情片，但是剧情却不是当下流行的泡沫剧，会激励自己奋进、自立            
(3星)	 剧本一般``            
(5星)	 那天看到央视重播不禁引发了些许感慨。算是朝廷台难得的一部不土气的偶像剧了吧，不过英文名翻译和片尾曲还是土气了一把。。。            
(4星)	 小时候很喜欢看的= =最近妈妈在看            
(4星)	 现在CCTV1又在放咯。。            
(3星)	 别说阿杜当年的那首歌真的红遍大江南北的。@Home            
(3星)	 还好吧，合格的偶像剧            
(3星)	 一想我当初想学历史我就郁闷。            
(5星)	 林心如演什么角色我都讨厌。。曾黎好漂亮            
(3星)	 你慢慢抽吧。            
(4星)	 其实吧，剧情挺狗血的，但那时候蛮喜欢            
(3星)	 曾黎！            
(3星)	 除了陆毅讨人厌，演员都算养眼            
(3星)	 当年看得很带劲            
(5星)	 当时实在太喜欢了。            
(NA)	 颜如玉好美！好美！            
(3星)	 让我惊艳的是曾黎！！！可她就是红不起来，唉            
(4星)	 那时候，林心如还好纯，现在味道也不错            
(5星)	 我就喜欢曾黎。            
(5星)	 喜欢苏拉~            
(5星)	 好看好看            
(2星)	 这两人都不喜欢            
(3星)	 好人有好报这种故事也只有在电视上才能一窝蜂的出现了            
(3星)	 那个时候觉得陆毅还不错，现在觉得他很错气= =不过就电视剧而言，还是蛮有看头的            
(5星)	 那个时候真的是大爱 - -            
(4星)	 好吧，我又三俗了            
(4星)	 以前很喜欢呢            
(NA)	 心如姐姐的偶像剧            
(3星)	 曾黎美啊~            
(3星)	 顺便。。            
(5星)	 最喜欢这个了...            
(NA)	 那时觉得陆毅真爷们~哈哈~            
(2星)	 讨厌陆毅            
(NA)	 嗯，以前年少无知的时候看的！！            
(3星)	 给三星是因为林心如，看了陆毅这么多年，始终觉得他是那么的小白。            
(4星)	 追逐梦想...爱情...            
(3星)	 真没看出哪里好的说……            
(NA)	 林心如很漂亮            
(3星)	 喜欢景飒。            
(4星)	 喜欢林心如，片头曲还是阿杜的，那个时候阿杜也很红火啊            
(4星)	 我只喜欢冯绍峰            
(4星)	 阿杜唱的主题曲还不错            
(4星)	 曾黎真的好靓！            
(3星)	 一般吧，比较时尚            
(4星)	 想想当年因为那首歌才看的这部电视剧呢！            
(2星)	 两个主演我不太待见，不过那时候林心如真是嫩啊青春啊～剧情完全不知道，因为看的时候我都忙着鄙视他们俩了            
(3星)	 当年看了这玩意才知道阿杜。。。            
(4星)	 那时候 陆毅 还是很帅的            
(3星)	 《他一定很爱你》。            
(NA)	 很喜欢林心如            
(3星)	 林心如在里面很漂亮。            
(NA)	 俊男美女的组合，经典~            
(3星)	 好像好遥远哦。。            
(NA)	 和妈妈的美好记忆。            
(3星)	 喜欢林心如            
(4星)	 当年超级喜欢            
(NA)	 我就是怨念那个小美女怎么嫁给了马景涛…            
(NA)	 那时候好喜欢陆毅啊啊啊啊啊            
(4星)	 据说有在上海取景。。还是都在上海取景。。。话说我比较喜欢里面的景飒 和 传说中女配角的咆哮教主之妻。。。反正男帅女靓的，当时很喜欢看的！            
(NA)	 钻石王老五与落难美女的老套都市剧，不过你也抵不住人家男正才女正貌            
(5星)	 他一定很爱你            
(3星)	 颜颜的出卖 很真实            
(4星)	 能称得上是偶像剧的大陆偶像剧            
(3星)	 初中非典时期看的，主题曲很好。            
(3星)	 超喜欢景飒这个名字            
(3星)	 just 4 fun……那个啥博士长得很像我小学同学= =            
(4星)	 2003            
(3星)	 这戏 连里面的小芳都是孩儿妈了            
(3星)	 当初 觉得 超级好看的            
(3星)	 好多年前的了             
(NA)	 初中时巨爱看 谁也难逃泡沫剧的命运            
(3星)	 呵呵呵，又烂俗又受欢迎，还有那个 我在这里不在这里……的错乱歌词，那时才上初中啊            
(5星)	 当年找各种借口晚睡。。。只为看这部电视剧。。。            
(4星)	 一直都很喜欢陆毅……            
(3星)	 一般吧             
(4星)	 我很喜欢林心如            
(4星)	 hoho编剧是苏拉老师的朋友~            
(5星)	 真是男才女貌啊~            
(4星)	 我也想在地铁碰到我的他            
(4星)	 喜欢陆毅里头的性格。。。好男人            
(3星)	 妹子们长得都很乖.            
(NA)	 - -            
(4星)	 苏拉神马的= =            
(4星)	 那时候就好想考上海大学历史系，出来做导游哦            
(3星)	 现在看起来怎么这么怂！            
(2星)	 一部并不算很出彩的偶像剧，却意外赢得了关注度~            
(3星)	 曾黎很不错            
(3星)	 对比了刚才那些雷剧，俺觉得这个至少可以给个及格分。            
(5星)	 时间过得真快，一眨眼8年过去了            
(4星)	 当年我是相当喜爱的哈~苏拉，小的时候觉得这名字真洋气~            
(3星)	 早期接触的偶像剧。            
(3星)	 还不错的偶像剧。            
(5星)	 ··那时候这片子不知被多少台播过            
(4星)	 不知道为啥当初我看了五遍这部电视剧，哎，年少无知啊~            
(3星)	 当年陆毅还年轻,现在就....            
(4星)	 cctv8&amp;1            
(4星)	 换掉林心如！            
(3星)	 那小姑娘怎么嫁了马景涛            
(3星)	 剧情比较简单传统，只是因为林心如才看的            
(NA)	 剧情很奇怪            
(4星)	 当年超高收视率……据说在央视只低于新闻联播……            
(4星)	 不错的。            
(3星)	 好经典！！            
(4星)	 三星全是给林心如的            
(3星)	 苏拉。还让我记住了沈小芳—如今的景涛兄老婆，╮(╯▽╰)╭            
(2星)	 最深的印象是景飒这个名字，还有景涛兄他那美丽的老婆            
(3星)	 喜欢配角。            
(5星)	 看演员啦            
(4星)	 其实觉得里面的女的都蛮漂亮的~            
(4星)	 欧，里面那个漂亮的小姑娘竟然成了咆哮教主的LP            
(5星)	 林心如好美丽啊            
(3星)	 后来出来一部  女才男貌？             
(3星)	 当时觉得男貌也还行            
(4星)	 RT。            
(NA)	 第一次知道了颜如玉            
(NA)	
(4星)	 初中的时候，貌似班上女生都被陆毅演的丘石迷得五迷三道的。            
(4星)	 这个剧，使我一度向往上海，觉得那就是梦的天堂。            
(5星)	 好吧，我非常喜欢的一部...            
(3星)	 曾经做梦喊林心如的名字，被妈妈发现我喜欢她....我经常说梦话，还会回答问题，所以不能当间谍。。。 - -            
(NA)	 真的一点印象都没有了啊。陆毅已经从才男沦为打胎帝了。            
(3星)	 林心如化作灰姑娘勾搭有钱人的故事。            
(3星)	 有爱有颜的内地偶像剧。你发现了么，演苏拉前男友的是冯绍峰啊，他要红了，虽然我对他无感。            
(3星)	 那时候的曾黎是多么的美丽啊。。。。。            
(NA)	 励志，温馨，浪漫，青春偶像剧中最好的一部！！！            
(3星)	 当时还挺爱看的~            
(3星)	 在言情剧中还是不错滴            
(4星)	 大一的记忆。陆毅又演了个多金男，和林心如蛮配。            
(NA)	 不看好陆毅            
(3星)	 不喜欢陆毅的            
(3星)	 小时候迷恋陆毅穿西装。            
(3星)	 其实我看这个片子是因为我喜欢那个叫赵磊的小警察            
(4星)	 蛮好看的~            
(2星)	 看了新版三国里诸葛亮和孙尚香的镜头，总觉得眼熟，终于想起来在哪里见过……            
(5星)	 林心如绝对与陆毅是绝配            
(3星)	 钻石王老五- -            
(3星)	 小时候对这种东西看多了果然青春期的时候就腻歪了。            
(4星)	 很好看嗲！            
(4星)	 当年好像挺喜欢看的，爆头~            
(4星)	 大陆自制的这个还不错            
(4星)	 喜欢景飒            
(3星)	 喜欢苏拉和景飒。还有一直都向往那样几个好朋友一起的同住生活。            
(5星)	 经典的邱石哥哥和苏拉            
(3星)	 那个时候的陆毅又帅又不胖。唉~时光是把杀猪刀、            
(3星)	 喜欢里面的苏拉。            
(3星)	 以前很看好这一对            
(2星)	 看过了 却不记得剧情 那应该是不怎么样的            
(4星)	 虽然剧情有点小假，不过还是反映了很多现实的东西。PS：女人可以活出自己的精彩。            
(NA)	 很清楚的记得是小学毕业那会火滴            
(3星)	 一般吧            
(2星)	 当时还挺喜欢林心如那发型的            
(5星)	 惊艳  颜如玉            
(NA)	 苏拉和邱石的爱情。。。里头颜如玉对苏拉的陷害，哎，本来是好朋友的她们。男才女貌，怎么说女人也要有才。。。            
(NA)	 童年回忆系列我干脆做个豆列算了            
(4星)	 那时候好喜欢陆毅            
(3星)	 还好            
(3星)	 一般的剧情            
(3星)	 那时候多年轻呐。。。            
(4星)	 初中最喜欢的一个            
(4星)	 曾经对白领生活的浅薄理解可能就是来自这里了            
(3星)	 喜欢电视里面的陆毅和林心如            
(3星)	 这里陆毅很帅~            
(NA)	 最喜欢的一部剧。            
(4星)	 林心如在里面挺好看的，这剧也出了不少奇葩，一个后来成了教主夫人的女配，一个后来因为脑残剧大红的冯绍峰            
(4星)	 很完美的爱情故事，那些都市男女的爱恨情仇~~            
(NA)	 苏拉这命好的灰姑娘的爱情故事            
(4星)	 经典温暖人心的~            
(3星)	 又是很久之前的...            
(3星)	 谁说我长得不像林心如,看看那.            
(3星)	 还行把            
(5星)	 还是小时候看的东西记得深些，现在太速食，看过不久就忘记了。            
(NA)	 陆毅真帅            
(5星)	 林心如和陆毅很配            
(3星)	 呃，叫我说什么呢            
(2星)	 矫情的一部剧            
(3星)	 曾黎.            
(3星)	 曾黎和于小伟是这部戏的亮点            
(3星)	 初二，每晚必修课。。。            
(3星)	 喜欢苏拉这样的女孩儿~            
(3星)	 小学看得吧 忘记剧情了都            
(2星)	 帅哥美女如云            
(NA)	 都忘了讲什么的了。只记得有个名字叫颜如玉，很好听，当然她是个反面角色。            
(5星)	 莫名的喜欢。            
(4星)	 为什么以前的电视剧都那么的好看！？曾经认为那些人就 很坏神..            
(4星)	 都市恋曲错误导航，发胖但依旧帅的陆毅            
(3星)	 里面有个女的挺漂亮来着            
(4星)	 鲜有的大陆偶像剧啊            
(4星)	 当时觉得非常棒            
(4星)	 好早以前的了啊，还记得主题曲是阿杜的他一定很爱你            
(4星)	 当初喜欢阿杜的那首歌            
(4星)	 好不容易看林心如顺眼了一把·······            
(2星)	 要是没有林心如，估计这部剧没什么人会看。            
(4星)	 谁都想当林心如            
(3星)	 难得喜欢林心如            
(3星)	 感觉曾黎在电视剧里很美            
(3星)	 有了OK 的男女主角。。。但剧情实在令人记不住。            
(3星)	 咆哮教主夫人的剧            
(3星)	 全是美女帅哥，超级养眼的肥皂剧~            
(2星)	 少数无聊片之二            
(4星)	 这部剧相当养眼            
(4星)	 80分            
(3星)	 曾黎比心如好看的说~            
(2星)	 这种烂片我怎么也看了。            
(NA)	 很久远很久远。这个片子里的爱情已经太单纯。            
(3星)	 报喜不报忧是在这里学到的            
(3星)	 很多年，一直觉得这个男女主角的组合蛮奇怪的。            
(4星)	 从此爱上坐地铁            
(NA)	 他一定很爱你 小女人            
(3星)	 阿杜躲在车底唱情歌            
(3星)	 大陆偶像剧            
(4星)	 喜欢林心如，看着舒服            
(NA)	 只有这部剧中的陆毅是我喜欢的            
(NA)	 还好            
(4星)	 喜欢苏拉的独立            
(3星)	 故事本身没有太大吸引力，主角值得看看~            
(4星)	 其实 当时觉得蛮好看的诶            
(1星)	 对林心如的声音彻底放弃            
(3星)	 看美女来的。。            
(5星)	 经典.....            
(3星)	 当年的阿杜呵            
(2星)	 当时放的时候很喜欢看·厄··            
(3星)	 剧情不好            
(2星)	 四个美女都挺好，如果不是陆毅演男主角也许会好看许多，陆毅长得不错，演技。。。。。            
(3星)	 其实就是一男女博弈剧            
(3星)	 没感觉            
(4星)	 漂亮的衬衣            
(3星)	 无聊了可以瞅瞅            
(3星)	 对主角到没有什么深刻的感觉，偶像剧也没那么像。那个警察感觉挺好            
(4星)	 一直觉得那样的生活很好            
(3星)	 就光记得曾黎太惊艳了            
(3星)	 当时想，世界上真能有邱石这样的男人吗？天理难容啊！！！！            
(1星)	 现在想起来，一点都不好看，当时居然还把它看完了。            
(4星)	 好早看到~~            
(3星)	 上大历史系^_^            
(NA)	 青春偶像剧！            
(4星)	 在地铁站里 总有一个邱石等着你            
(3星)	 内地偶像剧            
(3星)	 蛮喜欢陆毅的            
(3星)	 大陆剧！            
(3星)	 没有看完……            
(3星)	 特别喜欢前几集            
(4星)	 也是偶像剧的感觉。            
(5星)	 那时候超迷的。            
