http://movie.douban.com/subject/1764730/	浪漫满屋 풀하우스
(4星)	 现在看看觉得好傻            
(3星)	 剧情发展很奇怪，场景不错            
(5星)	    浪漫满屋耶~~~~~            
(5星)	 看一百遍也不会厌            
(5星)	 没办法，就是很喜欢。。。            
(NA)	 原来我也会看偶像剧。。纯粹为了打发时间            
(3星)	 我很奇怪，事后想想这么无聊的戏，当时是怎么津津有味看完的。            
(2星)	 很无聊。。。            
(4星)	 挺逗            
(4星)	 髮型很好嘛            
(5星)	 第一部爱上的韩剧，后来看看不咋地，不过初中时很迷恋            
(4星)	 重点是 Rain              
(3星)	 不理解 为什么这么火。。            
(NA)	 GOGO ~~            
(4星)	 其实宋同学还是可以看的。忽略肌肉男吧            
(4星)	 经典韩剧，从讨厌宋慧乔到喜欢，就是靠这部剧            
(4星)	 曾经在自己租住的小屋里对着电脑连连地看，一会哭一会笑，当时有几分感同身受的味道。一下便超越了自己以为的韩剧经典——夏娃的诱惑。这种让人又喜又悲的情节，我总是不能免疫。            
(1星)	 很无聊，虐待狂和受虐狂的爱情故事——            
(4星)	 三只小熊。            
(3星)	 麦子的最爱啊            
(5星)	 李英宰笑起来真是可爱到爆。韩智恩也是&gt;&lt;            
(4星)	 话说我看的时候也开心了很久。            
(5星)	 红透了            
(NA)	 大二时            
(NA)	 爱            
(NA)	 那个暑假            
(4星)	 帅啊。。。            
(3星)	 广播剧比较好~            
(5星)	 最爱！！！！！！！            
(5星)	 好看...            
(NA)	 宋慧乔如果我早生二十年            
(5星)	 很弱智 很好看            
(5星)	 连老妈都会笑            
(NA)	 呃，我蛮喜欢的            
(5星)	 连我妈妈都喜欢看的韩剧，没有不推荐的理由了。            
(5星)	 最后一集他们两个人走在大街上的时候，被那种美好感动的哭了。            
(5星)	 这俩人都非常喜欢            
(5星)	 很久的记忆            
(NA)	 我发现我真的看了很多韩剧   真是...            
(5星)	 无论看几遍都很好看……            
(2星)	 我就是来看宋慧乔的            
(5星)	 看得满心幸福            
(3星)	 哎呀偶像剧啊            
(4星)	 在我看来再经典不过的韩剧，大学的那段时光的记忆，漫漫是爱的full house~            
(2星)	 脑子进水的男女            
(3星)	 我还是有过看韩剧的年龄的。。。            
(3星)	 只是不喜欢韩国，其余的，都好            
(2星)	 无聊………………            
(4星)	 完全颠覆了我小时候看的漫画..但是还好..另一种感觉..很阳光..            
(NA)	 俺爹竟然也看韩剧            
(3星)	 轻喜剧。认识了宋慧乔和Rain。             
(NA)	 高三 猪借的碟 吃饭时后看的            
(5星)	 几年前看完这个，就觉得其他韩剧太难看            
(4星)	 老实说这种浪漫的棒子剧我还蛮喜欢的            
(5星)	 喜欢rain的眯眯眼            
(3星)	 韩剧的女二号永远都比女一美啊~            
(4星)	 full house很漂亮            
(5星)	 喜欢宋慧乔，Rain也很可爱            
(NA)	 蒙男主和女主~~~挺感动的！            
(5星)	 不是哭着看的韩剧！少见            
(5星)	 狂爱rain。。迷死一堆人啊！！            
(5星)	 怎么看都看不够~            
(5星)	 我看的第一部韩剧            
(NA)	 2006            
(NA)	 很俗的故事 很感人的情节            
(3星)	 难以想象我居然看完了这部四点水演的片子。。佩服自己            
(5星)	 韩剧契约恋爱的开山鼻祖            
(3星)	 算是泡菜剧里好点的吧            
(3星)	 不喜欢            
(5星)	 美好而奇怪的相遇,然后开始一场幸福.            
(NA)	 轻松型。难得来部集数少点的韩剧            
(3星)	 一般            
(4星)	 宋慧乔真漂亮            
(5星)	 舍剧（宿舍连续剧）之二            
(4星)	 GOGO 加油！            
(3星)	 按着快进看的            
(NA)	 很喜欢O(∩_∩)O！            
(NA)	 JUST SO SO ...            
(3星)	 呃            
(3星)	 090318@dorm，今天生理期，放纵自己一下吧~宋慧乔好可爱哦~~~~~~~            
(3星)	 我对那个rain真的没啥好感~也没觉得这电视剧有什么好笑的~==            
(NA)	 断断续续从高中看到大学毕业，也没看完            
(3星)	 60分            
(NA)	 情況和《放羊的星星》《愛情魔發師》《天國的嫁衣》《新年18歲》一樣            
(4星)	 其实剧情并没有什么出奇之处，只是，真的很喜欢宋慧乔和Rain的演绎~            
(4星)	 宋慧乔很漂亮呢.            
(3星)	 虽说反感韩剧，但不得不说都是男才女貌啊。。            
(NA)	 Rain的五官拆开来看都不咋地，但拼在一起就有味道。关键是身材好的没话说。黑白的海报，很舒服。            
(5星)	 电视上总是放，就总是看，尤其是宋慧乔在公园里突然下雨的那场戏，非常感人。            
(3星)	 我梦想写出自己的小说来。            
(5星)	 不错真的很不错噢！！！！！！            
(4星)	 我一直庸俗            
(NA)	 不说了，我唯一看过的韩剧            
(3星)	 高三暑假，租碟看的，弟弟不屑，后来电视播放，他很后悔没有跟着看^_^            
(4星)	 三只熊            
(5星)	 很sweet的愛情，有給我幸福的感覺。兩個主角都非常好，劇里的每一方面。但我發現我其實很喜歡的不是宋慧喬不是Rain。是劇里的他們。            
(5星)	 好多对白，好熟悉啊。。            
(NA)	 笨狗，我的最爱            
(4星)	 N遍都看不厌啊。            
(4星)	 最喜欢的是两个人溜冰的那个场景，甜蜜得好幸福。            
(5星)	 喜欢电视剧里的音乐            
(1星)	 我就搞不懂为什么这么多人喜欢。            
(4星)	 看着还是挺欢乐的。            
(4星)	 我看得第一部韩剧，从此一发不可收拾。在高三终结……            
(3星)	 受不了            
(3星)	 曾经很喜欢。            
(5星)	 曾经的最爱            
(4星)	 rain让我惊艳了一把.            
(3星)	 第一次发现宋惠乔如此漂亮......            
(4星)	 开始喜欢RAIN咯。            
(4星)	 宋慧乔很美，衣服都很漂亮            
(5星)	 他笑起来,两条线,一口大白牙.            
(4星)	 宋慧乔两个经典的电视剧，男配角总是比男主角养眼得多            
(5星)	 绝配。            
(3星)	 音乐还行　典型的韩国爱情喜剧　放松放松心情吧　            
(4星)	 鼻祖。。            
(5星)	 宋慧乔了里相哈好看。。            
(4星)	 看韩剧影响先河            
(5星)	 先做好自己 先斟满自己的杯子。            
(4星)	 似乎宋的装扮服饰更加流行一点            
(5星)	 小甜蜜。            
(5星)	 一直喜欢的宋慧乔            
(3星)	 宋慧乔很漂亮 Rain实在不觉得帅 情节仍旧是发展很慢 还是在高一寒假快进着看完了……            
(4星)	 还是多喜欢的。            
(5星)	 可爱的RAIN            
(3星)	 饭后甜点            
(4星)	 一晚上看完的~~            
(4星)	 偶尔我也看韩剧            
(3星)	 不温不火没有像对美剧那样热爱            
(4星)	 只要看到乔乔就很满足了。哈。            
(3星)	 唯一基本看完的一部韩剧。 =。=            
(3星)	 看的时候我还脑残。。            
(NA)	 很好            
(3星)	 比起阁楼男女来还是差多了            
(4星)	 乔妹....画里出来的人儿啊~            
(4星)	 因为妈妈很喜欢……            
(4星)	 这部韩剧代表着很长一段时期我的爱情观，直到看过《我叫金三顺》之后才改变。            
(4星)	 所有台都在播想不看都不行            
(4星)	 我妹妹喜欢            
(4星)	 那么多的欢笑和泪水            
(4星)	 极少好看的韩剧之一            
(4星)	   美好の Full House            
(3星)	 灰姑娘和大明星的故事~ 前提条件，灰姑娘一定是个美女~            
(NA)	 经典韩剧`            
(3星)	 我怎么看都觉得RAIN就一丑男            
(5星)	 我喜欢的第二个男明星            
(5星)	 Rian......            
(5星)	 第一部韩剧            
(NA)	 和妈妈一口气熬夜看完，很开心            
(5星)	 似乎，最喜欢看这个。宋慧乔一直都挺喜欢，Rain在里面好可爱的说            
(4星)	 我爸喜欢            
(3星)	 基本上都看过啦....            
(3星)	 韩妆啊韩妆。比较温情的一部。            
(3星)	 过了那时候 就不像宋慧乔了  哎            
(5星)	 看三遍不厌。。。            
(3星)	 讨厌RAIN，恩熙不再            
(4星)	 挺搞笑的。男人总是不知道自己爱的到底是谁。            
(4星)	 谁都看过 不错的肥皂剧            
(3星)	 经典---符合女孩子对爱情的一切幻想            
(4星)	 想重温 是我唯一喜欢的韩剧            
(4星)	 还是很清新的一部韩剧~            
(3星)	 我一直觉得服装设计超级奇怪            
(3星)	 编剧太坑爹了 把人物搞得像负情商一样。。。虽然还是对于happy ending木有抵抗力吧。。。            
(NA)	 ~            
(4星)	 乔妹不胖了            
(5星)	 让工作不爽的心情跑跑跑O(∩_∩)O哈哈~            
(5星)	 恩，有RAIN真好~            
(4星)	 韩剧最爱系列之一~.~            
(5星)	 喜欢这片            
(NA)	 Rain在这个电影里一直觉得他的笑很假不过现在渐渐喜欢他了 唱歌的时候他的表情才不做作  唉...也可能是我开始沾染欧巴桑的气质了...            
(3星)	 不喜欢宋= =            
(5星)	 很可爱的一对儿            
(3星)	 因为有RAIN的出演才变得还可以剧情其实是很无聊的每天除了吃饭就是吃饭要么就是吵架或者和好无聊死了            
(NA)	 很经典的“韩剧”。。不过快被放烂了。。            
(5星)	 最美的一部韩剧~~~            
(5星)	 说真我还挺欣赏这部戏的，不然也不会把漫画也买了，P.S.谁借了我的漫画没还啊？            
(5星)	 看了很多遍            
(4星)	 可爱的和执拗的            
(4星)	 还真挺浪漫的            
(2星)	 我讨厌这个没大脑的电视剧            
(2星)	 真是傻得我都不好意思看下去了、            
(5星)	
(3星)	 消遣还可以~再看会腻            
(NA)	 老喜欢乔妹里面忙不迭更换的五颜六色的漂亮衣服。和她水水美美的造型，太漂亮啦。            
(5星)	 绿            
(4星)	 裁缝女演得不错~            
(5星)	 我喜欢的女人~            
(5星)	 浪漫满屋 韩剧电视剧 宋慧乔 Rain 爱情 浪漫 连续剧             
(5星)	 我爱rain 小眼睛男 哈哈            
(4星)	 看了不下N遍. Rain太可爱了.            
(5星)	 喜欢乔乔的笑容。编剧也不错。人物性格设定鲜明使得笑料也不会偏。            
(5星)	 虽然很拖沓啊，但是还是欢乐的。            
(4星)	 开始挺有趣的，后面就回归到苦情了，OST很好听。            
(4星)	 还满轻松的。            
(4星)	 记得，看了个通宵终于没能熬住全看完，开头挺有趣吸引人            
(NA)	 很可爱。            
(4星)	 full house真的是非常赞！            
(4星)	 妈妈也喜欢的韩剧，是极少数看了心情不用纠结上半天的韩剧。            
(4星)	 乔乔            
(NA)	 最初的契約婚姻 到最后真實的婚姻            
(NA)	 很快乐的片子：）            
(NA)	 好老啊- -.            
(5星)	 他俩太配了            
(5星)	 记忆里很喜欢的片子``整个开心的时光``不要看第2遍            
(NA)	 一部还可以接受的韩剧..因为够短啊..            
(5星)	 曾经很喜欢~            
(3星)	 大三的暑假看了，还是比上演的时候落后很多，但是终究还是看了，因为喜欢女主角，没有特别的感觉，只是看了而已。            
(3星)	 宋慧乔是个美人            
(NA)	 看最多遍的韩剧吧？宋慧乔真美            
(4星)	 唯一看得完整的韩剧            
(4星)	 唯一看完的韩剧.....唯一......            
(5星)	 爱上rain的开始            
(NA)	 非常本色，但Rain比英宰更加可爱很多哦~~~            
(3星)	 看烂了            
(4星)	 超喜欢Rain的笑            
(NA)	 被姐姐一起拉着看的，很可爱啊~            
(4星)	 要拍续集了~等待中            
(3星)	 主角吸引囧            
(4星)	 两个倔强的人，两个口是心非的家伙。只是在面对爱情的时候，他们还是选择了彼此。            
(NA)	 宋慧乔其实真的满看不厌的…            
(4星)	 轻轻松松，特别适合调剂没爱情没伴侣的单调乏味生活。            
(3星)	 前8集勉强看看，后8集就是垃圾            
(5星)	 浪漫吧            
(3星)	 导演拿fullhouse做剧名。。可见啊可见。。            
(3星)	 当年看得很黑皮，里面的歌不错。            
(NA)	 鸟类作家，我爱你。帐篷一夜，清晨起来李英宰害羞的样子太经典啦。            
(4星)	 其实不太喜欢rain的说，但宋慧乔却是不错，简直不敢相信她是那个在蓝色生死恋里的恩熙。。。            
(2星)	 没有创意            
(NA)	 看了好几次，都没看到结局！郁闷。            
(3星)	 不堪回首的迷途小羔羊时期            
(3星)	 还好啦~在一起了倒看着不自然了~            
(NA)	 看了又看            
(3星)	 韩剧还是那么肤浅            
(NA)	 我喜欢宋慧乔            
(3星)	 真的很一般……一开始看还行，但是看到后面就觉得很疲劳            
(4星)	 处处洋溢着幸福的滋味            
(3星)	 轻松的 不过有点无聊            
(4星)	 有名的一塌糊涂啊但也不是那么完美的            
(5星)	 演员比漫画好看~呵呵，很温馨            
(5星)	 A Za A Za Fighting!For My Full House~~            
(4星)	 偶像剧            
(3星)	 我讨厌小眼睛的韩国男人            
(4星)	 是不是这是韩剧的经典，所以竞相重播            
(3星)	 rain因此红遍全球            
(4星)	 人没死，宋很漂亮。            
(NA)	 毕业那年疯狂的迷恋            
(4星)	 看了N多遍了，喜欢            
(4星)	 开创了韩剧偶像剧的开始吧，也算是成功的一部，终于是不用看快百集的那种韩剧了，还动不动得病的。            
(3星)	 虽然我从来都没有看完，不过据说还是很好看的            
(5星)	 唯一讨人喜欢的韩剧  看了N遍            
(NA)	 我的最爱2            
(4星)	 http://www.imdb.com/title/tt0464625/            
(5星)	 这个我很喜欢，三看不厌            
(5星)	 刮起韩剧风潮            
(4星)	 坚持了太久，所以有时不愿再直面自己的内心想法了，于是我们开始不断地错过。我以为我还在乎，其实不过是一种表演 我以为我不在乎，其实已经放不下了。英宰太孩子气，总是给人伤害，不过结局还好            
(4星)	 因為這個喜歡上了宋 Rain 很爛。。。            
(4星)	 可爱的宋惠乔            
(3星)	 2005            
(NA)	 虽然让我觉得自己是白痴，但是确实很喜欢宋慧乔……@p@            
(4星)	 好看。            
(4星)	 毛毛推荐我看的            
(3星)	 并不好看，拖沓，还是因为男女主角看完了            
(NA)	 看了不到2集，有时间补完好了~            
(4星)	 乔妹表现比rain好            
(NA)	 浪漫满屋 韩剧             
(4星)	 轻松喜剧~            
(4星)	 阿Rain的眼睛小小的，好可爱～～            
(NA)	 还能用什么来形容呢?完美~Perfect Rain...            
(NA)	 想当初还觉得rain很帅 现在只觉得他是个棒子            
(NA)	 太可愛了~太美了~宋慧喬            
(4星)	 终于看完了500年钱的东西            
(4星)	 浪漫的屋子里装满浪漫的故事            
(4星)	 前边还行，后边一般，解解闷            
(5星)	 超喜欢            
(5星)	 喜欢的不行~~嘎嘎            
(5星)	 这样的恋人也很让人羡慕            
(4星)	 爆笑的吵架二人组，非常荒谬的开始            
(NA)	 000            
(NA)	 其实，看来看去就是喜欢看这部！            
(4星)	 呵~~~可爱的片子，宋慧乔和Rain都很可爱！！            
(4星)	 少数韩剧中不错的            
(NA)	 二度喜欢韩剧时看过！            
(NA)	 多经典的。            
(NA)	 惠媛是坏女人！            
(5星)	 不管怎样，这部戏给韩国的旅游业又增加了一个亮点~            
(NA)	 搞笑 欲罢不能            
(NA)	 没全看完.            
(4星)	 这样风靡一时的东西。。。不看都不行。。。只是  到现在都不喜欢韩版的衣服              
(3星)	 我觉得里面的full house比他们两个抢眼呃            
(5星)	 喜欢RAIN在里面的笑容。这部算是顶峰之作了。            
(5星)	 经典之作。            
(NA)	 对韩剧不怎么感冒，看完整的为数不多的韩剧之一。其实宋乔慧并不漂亮，但有的时候确实挺顺眼的~~            
(5星)	 可爱的三只小熊~~            
(1星)	 巨烂的片 从此不想看韩剧            
(NA)	 可爱哦            
(4星)	 不用说了，没看过的……就…………离开~            
(NA)	 喜欢rain...            
(3星)	 毕竟是动画片改编的，男主角可爱到弱智            
(5星)	 絕對百看不厭~            
(4星)	 这部应该算是我看韩剧的开始            
(4星)	 轻松、搞笑、感人            
(NA)	 虽然  烂大街  但它确实不错            
(3星)	 풀하우스浪漫满屋            
(4星)	 女主角很美            
(4星)	 很轻松，很好玩儿            
(NA)	 Full House            
(4星)	 很喜欢乔            
(5星)	 没人死，没人得癌症的韩国电视剧            
(4星)	 两个都很顺眼            
(NA)	 宋慧乔也很搞笑嘛~~            
(NA)	 浪漫满屋            
(4星)	 宋慧乔真的很有气质啊            
(5星)	 看了好几遍呢            
(NA)	 韩剧悲剧时代结束了            
(3星)	 初中看的            
(NA)	 我变态。现在才看。。。。。。很好玩嘛            
(4星)	 最后很拖沓，不过前面还是很好看的。喜欢宋MM            
(NA)	 ..韩剧从此泛滥..            
(5星)	 對這部連續劇有不同的感情~            
(4星)	 romantic            
(NA)	 看到吐            
(4星)	 看在主角养眼份上多给一颗            
(4星)	 因为这剧喜欢上宋慧乔~            
(4星)	 可爱~            
(5星)	 我不否认这是我唯一看过的一部韩剧，也是我当时很喜欢的韩剧，ms还看了不止一遍…囧            
(4星)	 经典            
(2星)	 无聊= =            
(NA)	 不喜欢RAIN,但很喜欢里面的李英宰            
(3星)	 还是一般..            
(4星)	 第一部看完整的韩剧            
(NA)	 最喜欢的韩剧。            
(4星)	 陪妈妈看ing...            
(NA)	 可爱男人只能忍受一时            
(4星)	 Rain啊~~            
(5星)	 超棒！！！！！            
(4星)	 头一次见识韩式着装            
(4星)	 乔妹真漂亮~~真可爱            
(3星)	 还好。            
(5星)	 看几次都还是会觉得很好看~·            
(4星)	 很喜欢的一部            
(5星)	 很喜欢！！！            
(4星)	 是另一部看完整的韩剧咯。。。            
(5星)	 so sweet            
(NA)	 浪漫满屋 韩剧             
(5星)	 稀饭，活泼可爱的丫头，三只小熊。            
(NA)	 ~            
(NA)	 浪漫满屋             
(4星)	 the summer house full of love            
(NA)	 不用说啦,好玩            
(5星)	 奶奶最可爱~万岁！            
(NA)	 这片子  少女时期有谁不看丫            
(NA)	 一个令师奶也能聊发少年狂的浪漫传说。            
(5星)	 经典            
(5星)	 吵吵闹闹，打情骂俏，各看各的不顺眼。却不知道爱情的种子已经发芽了。最后谁也离不开谁。很可爱的宋慧乔，还有可爱的小rainrain。            
(5星)	 看了几十遍,还是喜欢看牙.~~哈            
(3星)	 有点做作的电视剧。/            
(5星)	 至少看了10遍·电视一直播·            
(NA)	 啊啊,我超喜欢啊,最近还老看~经典啊~!            
(4星)	 难得看的韩剧 还不错 宋慧乔在里面的造型很可爱            
(3星)	 宋慧乔在里面很nice..            
(4星)	 与原作背离太远……            
(5星)	 A za A za,Frighting!            
(3星)	  宋慧乔 Rain             
(5星)	 剧如其名，真的很浪漫，所以也有不真实的感觉            
(4星)	 开创了韩剧从悲到喜的先河，可喜可贺啊            
(5星)	 喜欢韩剧从这里开始！            
(5星)	 为什么每次看都很温暖？            
(4星)	 大姨妈重复看了很多遍之后，我也开始有点喜欢了...            
(NA)	 其实还不错...            
(4星)	 为什么大家都说有趣我却看得很纠结。。。            
(5星)	 剧情和演员。            
(3星)	 一般。小宋，哦，老宋，依然很漂亮。            
(5星)	 好喜欢那个有大大落地窗的房子..             
(NA)	 浪漫满屋            
(NA)	 full house            
(4星)	   其实在吵嘴的时候就已经相爱了            
(4星)	 乔乔和漂亮衣服和搞笑剧情～～            
(4星)	 我妈爱看...            
(5星)	 经典，很经典的韩剧             
(5星)	 轻松诙谐,RAIN的笑容实在很天真可爱啊            
(5星)	 喜歡~            
(5星)	 喜欢里面的男女主角            
(4星)	 大学时看的……            
(5星)	 第一部从头到尾看完的韩剧，感觉自己是不是很滥俗了            
(5星)	 从此开始顺便看看韩剧。            
(4星)	 喜欢宋慧乔在里面的穿着打扮，尤其是那些小饰品            
(5星)	 看了太多遍了..呵呵            
(4星)	 多好耍的，很多人的理想～～            
(4星)	 帅气的rain              
(4星)	 其实很傻的电视剧            
(3星)	 还好啊~~没有朋友说得那么好看            
(5星)	 很般配哦~            
(4星)	 已经总结出韩国连续剧的剧情规律了            
(5星)	 感觉总是那么好！            
(4星)	 整体感觉还是不错的，一改以往韩剧越往后越磨叽的感觉，结束的还算干净利索。我觉得这就是这部韩剧的最大突破了！            
(4星)	 韩剧就是韩剧，始终都是那么浪漫。            
(4星)	 才发现我看了不少韩剧唉。这部很轻松，所以比较喜欢。            
(4星)	 喜欢那个单眼皮的男生。            
(NA)	 不明白为什么某人那么喜欢看，居然要看通宵            
(NA)	 第一部韩剧 哈哈            
(5星)	 和妈妈一起看            
(5星)	 关于爱情的故事            
(4星)	 乔妹好漂亮！            
(5星)	 經典好看.~~            
(NA)	 我的韩剧最爱！            
(NA)	 可能有人要扁我 我还是要说 烂剧            
(3星)	 不喜欢。那片沙滩上只有一栋房子这点很棒。            
(4星)	 好吧，我承认我很无聊~            
(4星)	 迄今为止看得最最完整的一部韩剧。            
(4星)	 Rain其实挺丑的。            
(3星)	 女人应该积极上进，男人应该专情可爱            
(NA)	 。。。            
(5星)	 ...            
(2星)	 还好韩剧都那样            
(4星)	 要没这部电视剧也不会认识大帅哥RAIN啊~~            
(NA)	 第一部接触的韩剧啊。            
(4星)	 我觉得韩剧就这个好看……            
(NA)	 很平淡的居家生活喜欢RAIN            
(4星)	 算得上经典的电视剧吧？至少从高中到现在，每个寒暑假都有电视台在播……            
(NA)	 毕业通宵看的。哈哈。很轻松            
(4星)	 如果想笑要看看            
(5星)	 大爱宋mm            
(5星)	 经典～            
(5星)	 唯一一部喜欢的韩剧            
(5星)	 哈哈  我喜欢            
(NA)	 咕咕咕            
(3星)	 还是很早看的片子了~！宋慧乔挺喜欢的，不过个子矮了点...没准配我正好啊~！哈哈~！            
(NA)	 浪漫满屋            
(5星)	 完美爱情！            
(5星)	 收视很高，剧情很对得起            
(NA)	 喜欢宋慧乔             
(5星)	 可爱的他们俩。。。            
(NA)	 除了吃饭就是吵架，但是就是觉得很温馨。            
(4星)	 看起来，比较轻松，比较搞笑的韩剧，片子中没有绝对的反面角色            
(4星)	 曾经很喜欢            
(4星)	 明星也是凡人            
(4星)	 突然想数一数自己到底看过几部韩剧            
(5星)	 喜欢这个故事，喜欢里边的衣服呀风景呀。好看的。轻松愉快。            
(4星)	 第一部韩剧吧~喜欢~            
(4星)	 第一次看的时候觉得还不错            
(5星)	 对我的人生有意义的一部韩剧            
(NA)	 我耐这俗气的浪漫结局            
(4星)	 这个我不多说了，看过的人太多了吧。            
(4星)	 简简单单            
(5星)	 看的时候正好失恋，看一集哭一集。整个喜剧是被我哭完的~            
(4星)	 配乐很好，男女主人公养眼哦很清新的偶像剧！            
(4星)	 唯一一部完整看完的            
(3星)	 絮絮叨叨没完没了……            
(NA)	 偶考试完看得这部，很有趣，另一种风格的爱情吧～            
(4星)	 美女帅哥~~~            
(4星)	 是一经典电视剧啊            
(3星)	 音樂不錯..            
(NA)	 连续剧改了些。还是喜欢当时元秀莲的漫画。里面的一些话是爱中的人的密语。            
(NA)	 舍片。。。            
(5星)	 看几遍都可以            
(5星)	 很想完整看一遍。            
(NA)	 经典            
(4星)	 轻松的温暖，暖暖的爱恋！            
(5星)	 经典            
(NA)	 没意思            
(5星)	 经典韩剧            
(4星)	 喜欢宋慧乔。不是大众的韩国脸。            
(5星)	 看时让人很轻松，会心一笑！            
(4星)	 好吧,只能看2遍的电视剧...当作消遣            
(NA)	 清新的阳光，暖暖的沁入心脾            
(5星)	 看了N遍了 但别说还真的很不错的片子！！！            
(4星)	 难得的浪漫一次啦            
(5星)	 喜欢的一部韩剧，太可乐了，不得不说，看得时候，其实我一直在想一个戴上帽子有点像RAIN的男人……            
(4星)	 断断续续看了好几遍，很好玩清新。            
(4星)	 挺甜蜜的~            
(3星)	 没看过几部韩剧，我很贫乏            
(5星)	 太太太可爱的一对...            
(4星)	 难般一个不怎么难看的韩剧。。。            
(4星)	 虽然我喜欢小眼睛男人 但是这个性格也太差了点吧            
(3星)	 看这部剧的那年还被一个莫名其妙的根本不象男人的男人给鄙视了。耿耿于怀。            
(NA)	 那一屋子的浪漫            
(4星)	 韩剧里永远怀念的一部             
(4星)	 其實，為什麽是它最紅？但是這部戲之後，韓劇的風格的確改變了很多            
(5星)	 rain和宋mm都相当的迷人            
(NA)	 美啊            
(5星)	 貌似已经成为经典了。虽然有眼泪，但会笑着流出。            
(3星)	 浪漫满屋            
(3星)	 内容其实很无聊.            
(5星)	 我应该收藏过了啊            
(3星)	 算是灰姑娘+大帅哥+二男二女组合的始祖么。            
(3星)	 呵呵，奇遇是韩剧的开始，也许并不浪漫，但结局一定让人幸福            
(3星)	 看宋惠乔穿什么衣梳什么头更有意思            
(NA)	 FULL HOUSE            
(4星)	 连我妈都爱看的韩剧            
(NA)	 是蛮浪漫的            
(5星)	 喜欢啊!百看不厌!!!!            
(NA)	 平淡的浪漫            
(2星)	 那里大家都在看，于是我也看了，后来实在看不下去了，后面四五集没看            
(5星)	 接触的第一部风格转变的韩剧            
(NA)	 典型的韩国爱情剧，丑小鸭变白天鹅的故事。            
(3星)	 如果不那么墨迹就给4星了如果不那么墨迹同时Rain再帅点宋慧乔不要那么傻剧情在跌宕起伏引人入胜不要那么无病呻吟点就有可能5星了            
(3星)	 不会忘的回忆。            
(2星)	 一般般            
(NA)	 好可爱啊  英宰            
(5星)	 没人敢说不是经典吧            
(3星)	 还蛮好看的，rain比较傻，根本不知道女孩子的心思，换成是我，根本不会选他。宋慧乔人好看、衣服更漂亮哇            
(4星)	 RAIN确实乖，乔乔的衣服很好看            
(5星)	 在家看碟。            
(2星)	 好讨厌rian啊 ～            
(4星)	 刚开始看发现。。rain的嘴怎么这么大啊 就没看 后来 慢慢跟着老妈看了点 还是挺好的 嘿            
(3星)	 普通啦,乔妹很可爱            
(NA)	 韩智恩（宋慧乔 饰）在父母逝世后视父母留下了“Full House”为自己的家，自己的珍宝。热爱写作的她在网上写作，没有固定职业的她只能在Full House里过着节衣缩食的生活。没想到的是单纯的智恩被幼时的好朋友虎成及女友陷害，卖掉了Full House并且拿走了她所有钱。而这间屋子正好卖给了大明星李英宰（Rain 饰）。　　李英宰本想买下这栋房子便向女友惠媛求婚，惠媛却宣布要跟英宰的哥哥结婚。英宰强忍痛苦，闻风而至的记者使英宰不得不向记者表示韩智恩就是自己的未婚妻。这样一来令韩智恩措手不及，对于英            
(5星)	 很好            
(4星)	 无聊时的爆米花            
(4星)	 一晚上就看完了，轻喜剧            
(NA)	 衣服没有一件一样的            
(5星)	 爱上Rain            
(3星)	 是跟弟弟每周定时拖长凳子守在电视前  再搞笑的时候笑得像疯子一样的 有回忆画面的剧            
(NA)	 rain            
(NA)	 每次看都会觉得开心～            
(4星)	 继韩国悲剧后的一部令人快乐的爱情剧,他们的爱情很轻松很美丽            
(5星)	 超喜欢这部电视剧啊，看过很多边了。故事情节，演员，画面，服装......全部都喜欢，特别是电视剧的音乐和宋MM的衣饰。            
(4星)	 好看！            
(5星)	 可爱甜蜜的爱情            
(5星)	 通宵达旦看完的            
(5星)	 好可爱哦            
(4星)	 比起豪杰和MYGIRL还是差点            
(3星)	 宋慧乔很漂亮_            
(5星)	 白痴似的两个人真的很配            
(NA)	 宋慧乔            
(5星)	 超爱!            
(4星)	 Full house            
(NA)	 还不错            
(5星)	 倔强和软弱            
(5星)	 期待自己的浪漫屋～～～            
(3星)	 奇怪了 你出家干嘛            
(5星)	 很感人，经典之作            
(3星)	 为什么我对RAIN就是不感冒呢。。。            
(4星)	 可爱的片子            
(3星)	 是8错，也播太多遍了吧            
(4星)	 其實就是言情小說的劇情..換了個帥哥男主角嘛..            
(3星)	 ***            
(NA)	 色彩缤纷            
(4星)	 高考那段时间,天天在家里看.            
(5星)	 反正我从来都没有把我的饭桶送过别人！A ZA A ZA FIGHTING~~~            
(4星)	 超搞笑。在高中阶段看了之后，认为爱情就应该这样~~            
(NA)	 一个人的新年时候的消遣，2007年的新年，就这么无聊的打发了，不过电视剧还可以。            
(4星)	 真实生活中绝对不可能发生的故事,不过,看看满有意思的,要笑死了            
(2星)	 不知道为何小鸽子这么喜欢`            
(NA)	 让我知道韩剧也可以是浪漫的喜剧！俺的2005年司法考试精神伴侣之一。            
(3星)	 讨厌rain。。。。。            
(4星)	 很韩剧。。            
(5星)	 蛮可爱的            
(4星)	 RAIN真的很丑            
(4星)	 就因为这个喜欢上Rain！            
(5星)	 从这部电视剧开始，迷上了韩剧！            
(NA)	 韩国 爱情 连续剧 浪漫满屋 Rain 宋慧乔             
(5星)	 i think i 喜欢            
(NA)	 幸福感超强~            
(5星)	 ````            
(5星)	 自习之后，几个本本轮流撑下来的最后一集            
