http://movie.douban.com/subject/2153599/	欲望都市  第二季 Sex and the City Season 2
(4星)	 看过电影现在才看似乎有点迟。。当时不能接受现在看来似乎有很多同感似乎在告诉女性人生的道理。。呵呵。。四个出色的曼哈顿女人。。喜欢Charlotte。。Carrie也蛮灵。。里面衣服时装超赞。。            
(5星)	 Your girl is lovely，Herber.            
(5星)	 唯一完整看完的美剧....            
(4星)	 觉得第二季要比第一季好看呢，人物之间有了纠葛与摇摆才能更显感情的真挚吧～中间有些童话了，不过到结尾又现实起来。Your girl is pretty,harbo~            
(4星)	 结局很现实。女人对男人，要驯养。            
(5星)	 剧本很好，女主无爱。            
(4星)	 越是相爱越不能在一起            
(NA)	 不耐烦了...            
(NA)	 Your girl is lovely,Hubbell。            
(3星)	 最后一集最后一分钟哭了 还行吧            
(5星)	 为最后一集打满分            
(5星)	 为什么她们总是能上不同的男人啊 最后一集的结尾煽到我了             
(5星)	 看吧坚持看            
(3星)	 时间过得真快啊～～            
(5星)	 真实            
(5星)	 关于友情和爱情，可以思考很多。一人一性格，你像谁呢？你可能不是典型的谁谁谁，你可能掺杂了她们的不同的性格。随着时间的改变，你的友情和爱情观有改变吗？你多了点儿谁的特质呢？看完6季，能发现，事情在变，友情观，爱情观在变，我们都在变。            
(5星)	 越来越好看            
(NA)	 喜欢喜欢喜欢            
(5星)	 爱情是她们生活中的过客，友情是不变的牵绊            
(5星)	 the only            
(5星)	 比第一部精彩            
(5星)	 心目中的new york ,心目中的Manhattan.......            
(3星)	 最后还是觉得蛮好看的...            
(5星)	 最爱欲望都市            
(4星)	 上瘾了！！！！！有点悲催嘛            
(4星)	 有姐妹真好。            
(5星)	 永远力荐 看多少遍都不够            
(3星)	 重温完第二季了，不是很精彩我记得第三季会开始很精彩。            
(4星)	 4个女人各自有了新的变化和目标~            
(5星)	 大爱！！！            
(4星)	 也不记得看到第几季了.总之没看完            
(4星)	 呵呵，为了不被“敌军”，我很小心的看，怎么个小心法儿呢，就是每当出现啊啊啊的喊声是，赶紧暂停&amp;消音~~~            
(5星)	 everybody seems so needy            
(5星)	 fabulous            
(5星)	 看完真得觉得长知识了            
(4星)	 这一季挺好看 结尾很不错 第一部的结尾carrie和big分手 这一季是在big的订婚宴后告别            
(5星)	 我喜欢这样的姐妹情~            
(4星)	 尽管大妈们脸上的皱纹多到粉都盖不住了，还是很好看的。            
(5星)	 最后一集居然哭了·唉唉~跟我太像了！            
(5星)	 don&#39;t tie yourself to a guy who&#39;s terrified to be tied up~:)            
(3星)	 无比佩服编剧，有感情主线，还有无数暗线，每集还讲一个主题            
(5星)	 oh... love Carrie and Mr.Big&#39;s and their chemistry is irresistible!            
(3星)	 服装要比剧情吸引人好多。。。            
(2星)	 Flat story, not much of a plot. Would only watch again for the clothes :/            
(5星)	 Samantha，I love you！！！！！            
(4星)	 比第一季好些            
(5星)	 這是我認識性感這兩個字的方法。            
(NA)	 分分合合的，肢端肥大症患者            
(NA)	 聪明，敏感，独立，典型的Carrie girl。他不是不想结婚，只是不想和你结婚            
(5星)	 唯一追完了的美剧。。。            
(5星)	 莎拉穿衣真是有品。。。            
(5星)	 每个人不同的生活。纸醉金迷。高跟鞋和BIRKIN。            
(5星)	 女人这样过的才自由，才潇洒···            
(NA)	 -why the black diamond?-because you&#39;re special.-thanks, I had thought you would say that&#39;s the colour of my heart.             
(4星)	 包场啊，2百多人的影院就2人            
(5星)	 第一季看完后当然要延续第二季            
(5星)	 最爱最爱SATC！！！全季看了不下6遍了！            
(4星)	 在节奏的掌握上比第一部好很多。不过感觉和single ladies的主题相差甚远。            
(4星)	 funny            
(5星)	 从第二季稻第六季，越来越精彩            
(4星)	 fashion            
(5星)	 每季都经典！！            
(NA)	 solo sex e basta ma mi piace            
(5星)	 love Miranda~            
(5星)	 一开始以为是黄片，，，囧 后来发现原来是围绕爱情分析的 神奇 和一般美剧不同 画质美！！！hll            
(5星)	 在今天约会的市场，当某些股票表现不如预期，将他们出售套现是否明智，我在男人世界做女人已经很不容易了            
(5星)	 无数遍            
(3星)	 最喜欢的美剧 喜欢每季每集每句            
(5星)	 你太太很漂亮，赫伯            
(4星)	 最后一集最好看。Mr.Big啊，carrie永远的痛            
(3星)	 难道看多了没感觉了？！            
(NA)	 难得的好镁剧            
(3星)	 12集，挺搞笑的            
(5星)	 我一直都喜欢            
(5星)	 经典。            
(4星)	 it breaks my heart to see carrie and big broke up...            
(NA)	 强悍！            
(4星)	 金钱堆积品位，你永远不要指望花100元买到100W的惊艳。            
(5星)	 额。没有第一部的深度。还是提出了许多值得思考的问题。            
(4星)	 “也许我并未驯服大人物，也许问题在于他无法驯服我，也许有些女人注定不该被驾驭，也许她们需要自由奔驰，直到她们找到性情相投的伴侣一起同行”            
(3星)	 Charlotte这人物塑造得太假，其实还没看完，但是不想看了。            
(NA)	 第十八集            
(NA)	 lust            
(4星)	 somewhere, out there.             
(5星)	 想喝一杯,四海为家            
(4星)	 终于开始觉得正常了，为啥性格怪异的人都是亚洲尤其与中国有关？            
(4星)	 她们都老了            
(5星)	 爱            
(5星)	 童话再见了……            
(5星)	 Welcome to the age of uninnocent.The mind of very fashion real and no cover we should keep.            
(4星)	 女人们不断地围着男人团团转            
(3星)	 无聊时随便看的...            
(4星)	 I kind of don&#39;t like their lifestyle.             
(5星)	 这张海报很诱人么···            
(2星)	 美国人的品味有时候真有点问题，这部剧从头到尾都是垃圾，除了性还是性，不，还有丑女人。            
(4星)	 Carrie真的很平凡。            
(3星)	 没看完··            
(NA)	 &lt;33333333333333333 4ever            
(4星)	 推荐。            
(5星)	 突然发现自己几乎所有sex有关的词语都是从这里面学的。。。            
(NA)	 我曾经的爱情圣经            
(5星)	 啧啧。            
(NA)	 人人都追绝望主妇~我却始终提不起兴趣~~只愿听Carrie碎碎念~^^~            
(5星)	 需要复习的美剧。            
(NA)	 Mr.Big无限魅力··            
(5星)	 发现自己和Carrie某些地方好像.... Carrie and Big are doomed to be apart..that&#39;s the fate..            
(5星)	 最后我终于明白。            
(NA)	 attractive 4 successful women, adimiable            
(5星)	 好像看着看着就好看了            
(4星)	
(4星)	 最后真是戏剧性。。Big...你什么时候才能回心转意。。。            
(3星)	 看完了半个多月了 居然就一直没想着看SEASON 3 我想也不是S2的问题吧            
(NA)	 四个追求爱情的女强人，喜欢carrie            
(NA)	 正要开始看 HOHO~            
(5星)	 仍然持续光鲜亮丽着．MrBig仍然持续把我迷得神魂颠倒～            
(5星)	 跟第一季一样好看。            
(3星)	 絮絮叨叨看多了就烦了            
(5星)	 超好            
(5星)	 2008/08/06-09/29            
(4星)	 故事都有大道理            
(NA)	 不错            
(5星)	 向往自由自在的生活            
(3星)	 四个都市即将奔向更年期的待嫁女一台戏。。。佩服SJP，人老心不老（她已婚且已是孩他妈了）            
(5星)	 好看            
(5星)	 大爱 大爱            
(5星)	 如果我只看一部美剧，那就是SATC            
(5星)	 We should know something            
(2星)	 边看边开批判会，把男友听得直乐。 这片女人和女人说话的时候，还能勉强听一听，女人和男人说话的时候就全是bullshit 了， 完全一反面教材。            
(4星)	 为什么            
(4星)	 献给所有摩登女郎的happy ending            
(5星)	 赫伯~往日情怀  没找到这个电影            
(4星)	 他说他爱你，就是不肯结婚。可分手俩月后闪电娶了飞机上刚认识的小妮子。            
(5星)	 女人当自强            
(5星)	 每集我都有欲望记笔记···            
(4星)	 为什么就不能跟smith在一起!            
(NA)	 love            
(5星)	 your girl is beautiful            
(5星)	 目前看完18集            
(5星)	 2009.5.16在寝室看的,最感人至深的荏苒是朋友间的关爱和扶持,觉得像老友记的女性版            
(4星)	 剧照不错。            
(5星)	 the one            
(4星)	 性启蒙~            
(5星)	 正正正！！！            
(NA)	 上学期很迷の一系列。            
(5星)	 看的第一部美剧            
(5星)	 顶啊。            
(4星)	 我爱cherry！            
(4星)	 其实话题很现实，也很深刻~女人啊~男人是毒药~            
(5星)	 大爱~~            
(5星)	 经典好看            
(5星)	 大爱            
(NA)	 生活都是相通的            
(3星)	  = =            
(5星)	 2nd 欲望都市            
(5星)	 女            
(5星)	 218            
(NA)	 看到第二季了，我真是过时啊！听说现在流行绯闻少女？            
(NA)	 爱情与友情的集合，对爱不要绝望。            
(NA)	 增长知识            
(5星)	 现代女性该看看            
(5星)	 爱死！！            
(3星)	 很美国的生活，但是又非常的幽默搞笑。            
(5星)	 同样精彩            
