http://movie.douban.com/subject/6393340/	当婆婆遇上妈
(3星)	 现实中有这样虐待媳妇儿的么？            
(2星)	 极品            
(3星)	 我姐说她都看嚎了，晕。 - -            
(3星)	 断断续续，演技和剧情都拙劣，意外在健身房看到了大结局，假奶*2之恋~哦哦            
(3星)	 李小璐的鼻子...            
(3星)	 见家长是互相选择的过程，谨记这一点            
(2星)	 我觉得婆婆有多坏都是次要，男淫还是不能太没主见…            
(NA)	 看了后几集。。陈大可她妈真烦人。。你说要是以后碰到这种人可怎么办。。赶紧散。。还有那朱燕。靠。。想做三想疯了！！！            
(3星)	 太可怕了，太太可怕了！            
(3星)	 后几集的内容似乎抄袭了一篇叫“彪悍亲妈智斗pp和小三”的帖子啊嗷嗷嗷嗷嗷            
(NA)	 他妈就有病呢            
(3星)	 说实话细节还蛮不错的嘛            
(NA)	 各种悲剧集一身啊             
(2星)	 坑爹            
(3星)	 好吧我最近看的都是婆媳。            
(3星)	 看见李小璐了，于是就看了，虽然是跳起跳起看的。典型中国家庭剧，就那样。            
(2星)	 为啥国产剧总是那么极品？不过也颇具中国社会特色~            
(NA)	 软弱的男人不能嫁！！！            
(3星)	 跟着看了，看着玩            
(2星)	 一群子的变态。。妈妈没个妈妈样，婆婆没个婆婆样，媳妇没个媳妇样，儿子没有儿子样，姐姐没个姐姐样，爸爸没个爸爸样，总之，里面没个人是正常人。。            
(5星)	 打分这么低？！都认真看了没？！我就要给五星！这是一部我和老妈奋战电视多晚最后以全家在电脑前熬夜看完的电视剧结尾的有纪念意义的剧！全家共同谴责婆婆，怒骂小三，为母女情深潸然泪下，共同学习婚姻家庭准则，虽然剧情将很多问题都夸张放大化了，但真的学到了很多，能让自己以后少走不少弯路。            
(3星)	 我一直记得外婆跟我说的话：都是父母，无论他们对你如何，你对他们好，总是对的，也总会有收获。            
(4星)	 被妈妈怂恿着看了，哎，，，，            
(NA)	 从头到尾，高潮迭起，从未停歇，最后是一遍忧伤一遍狗血。罗佳妈是个神一般的存在。感慨就是，妈妈我爱你~~            
(2星)	 我是怎么熬过来的。。。            
(1星)	 不得不感叹，天朝的脑残编剧们为了收视率已经顾不得什么狗血+超级拖沓的剧情了o(︶︿︶)o PS：看完整部剧完全拜偶老妈所赐= =！            
(3星)	 编剧好狗血 婆婆人格扭曲 老公又怂到爆 不离婚是抖M吗！第三颗星是打给李勤勤的啊 演的太逗了太逗了! 英雄！            
(5星)	 好看。            
(NA)	 性格决定命运阿，陈大可！生活太可怕了！            
(5星)	 电视剧这东西，只要从头看，都能看进去，因为好奇心的作祟吧。有恋子情节、严重虐媳倾向，更年期，退休综合症的婆婆；心理变态老处女，摇摆不定墙头草的大姑子；懦弱妻管严的公公；见到老妈落泪就心疼，些许恋母情结，软弱的老公，真够罗家受的，还好有个睿智宽容讲情义的丈母娘。            
(3星)	 恶婆婆，闷公公，心里不健康的大姑姐，懦弱的男主，看着精明其实也就是个死心眼的小媳妇儿，还好有个厉害的丈母娘，最要紧的是小三儿长得实在是太难看了            
(2星)	 编剧太二  但情节还算引人入胜             
(3星)	 影视剧里的婆婆都是极品。            
(4星)	 真是让人气愤啊。。儿媳少些心眼儿。。婆婆和大姑子演戏，，您就不能演的更好些吗？？            
(5星)	 虐心啊，看了我都恐婚了都            
(3星)	 真是气死我啦！            
(2星)	 关键还是老公不行            
(3星)	 就是各种折腾，各种疯，就没有一集消停的。。0 0            
(4星)	 这部片全家一块儿看的，一度令我妈非常担心我将来嫁人怎么办，一度令我爸评价为是增加我现实眼光的好教材……我呢，只是觉着，原来真有些男的，不管长的好不好看，会不会玩浪漫，是不是好脾气，是不是爱你，说得好听不好听，首先，他懦弱，站不出来，没担当，那就滚吧。不过陈大可后来也终于开始长大了            
(4星)	 很热闹啊            
(NA)	 看电视剧实在是个最不费脑子的事，也不用想搜索路径，直接按个键等人家安排节目就行了。。。            
(4星)	 太气人了，但是也看得见俩人的深爱着对方            
(2星)	 烂死了我操 有个短发女演员演技各种傻逼各种恶心             
(3星)	 要是我真碰到这样的婆婆和小姑子，绝对招架不住。背后捅刀太无解了。。。            
(NA)	 陪爸妈看完的，我简直了。。。            
(NA)	 刚看完感觉这电视剧还挺独特的，看完影评就瞎了            
(2星)	None
(NA)	 剧情很一般,老戏骨演技有加分.            
(2星)	 剧情扯淡，演技糟糕            
(5星)	 喜欢~            
(3星)	 狗血啊            
(3星)	 怎麼會有這種人家            
(3星)	 这部戏里最经典的一句就是：当媳妇就要经得起谎言，受得起敷衍，忍得住眼泪，放得下诺言。            
(3星)	 如果遇到这样的婆婆，什么媳妇都得死翘翘..            
(5星)	 哭死我了，一卷纸没了。。。            
(1星)	 深深说好看我才去看了几集。这编剧是太懒还是在故意侮辱观众智商？情节不合理，演员表演相当僵硬。连潘虹这种深受广大中年妇女喜欢的演员也在这部戏里失了水准。            
(NA)	 最后四集太虐心！            
(3星)	 ……= =            
(3星)	 戏剧总是现实的夸张版本。婚姻这种事情真奇妙，也并不是你使劲去维护就能幸福的。            
(3星)	None
(NA)	 所以说，嫁人不是随便嫁的，婚不是随便结的。要是嫁给陈大可这种人就得被欺负一辈子。多委屈多冤。            
(3星)	 真想抽死这婆婆..............            
(2星)	 1769            
(3星)	 现实中的婆媳关系没演得这么夸张            
(3星)	 看着生气            
(3星)	 罗佳的妈妈真是太牛x了，大可这一家人都有点病态，幸亏罗佳有那样剽悍的妈啊！！！！            
(3星)	 看了几集。。。还跟我妈讨论了一下。她说，这陈大可太怂。没错，男人当成这样了，也够牛逼的。            
(3星)	 跟着老妈他们把这个电视剧看完了，剧情一般，但是潘虹的演技那真的叫好，两颗星给潘虹，一颗星给李小璐~            
(NA)	 看了会不想结婚的，还是少看看为妙。。            
(3星)	 太真实了 看的我都不想结婚了            
(1星)	 我竟然看完了            
(3星)	 佩服佳佳妈妈，大可真够窝囊。            
(NA)	 陈大可囊死了             
(4星)	 又是催泪弹，演员们演技都巨好！值得一看！            
(3星)	 有点变态 但还能悟出点道理来            
(3星)	 我也不知道我为什么看！！！总之大陆很会拍这种家庭剧什么的！！没长大的孩子就滚回妈妈怀抱里  出来祸害什么~~婆媳关系==            
(3星)	 亲爱的导演，北京姑娘凭什么要嫁到一个小破城市去？而且是这么一个漂亮又可爱的姑娘~            
(NA)	 被亲情扼杀的爱情。            
(4星)	 一个怂丈夫+一个混蛋婆婆+一个捣乱小姑=悲催的媳妇人森            
(3星)	 真实。            
(1星)	 说实话真不怎么样            
(4星)	 看了后面六七集 还不错 就是太鸟了             
(2星)	 要命啊。。。不通情达理的老太真可怕。。            
(3星)	 我觉得  有的还是很假的，            
(NA)	 遇到这样的婚姻是倒了八辈子霉了            
(NA)	 陪外公外婆看完了……            
(4星)	 我居然一直看到结局了。。。为嘛我觉得蛮好看的呢。。。            
(4星)	 我会让你回来..            
(4星)	 可怜天下父母心.            
(3星)	 大SB            
(3星)	 简直是内地版的金枝欲孽，诶呀这要是跟老公和婆婆一起看肯定气氛特别微妙!!             
(3星)	 我怎么觉得这是一个非常消极的误导。            
(3星)	 听名字感觉是家庭小品，看了后发现真是琼瑶的n次方。。这剧编得太nc了吧，幸好男主颜不错。            
(3星)	 剧情有种哪里好像看过的感觉 到最后一集发现潘虹很适合演精神病人            
(4星)	 婆家的人都不是好东西            
(3星)	 个男人太没用了= =            
(2星)	 前三集还不错，后面就傻的一塌糊涂了！            
(3星)	 太不现实了吧            
(3星)	 主要是看李小璐和贾乃亮的            
(5星)	 我的怎么傻x的爱上家庭伦理剧？？？？？？            
(3星)	 李小璐整得差点没认出来。            
(NA)	 躺床上养病的任务之一就是陪粑粑麻麻看狗血家庭剧。。。话说世上真有这么JP的婆婆么            
(3星)	 就算有潘虹我也看不下去直接看剧情简介了！！窝囊男人尼玛还出轨，2b婆婆，老处女小姑，不管事的公公，还有一堆狂轰烂炸的小三，外加一个帅气多金痴心追求的富二代！！各种狗血。其实感觉李小璐演的和二代挺好的。。咳。            
(1星)	 什么玩意儿。陈大可那都什么家人啊。真恶心。            
(3星)	 真高級啊真狗血 潘虹那角色也太誇張了。。。男主窩囊！女主媽媽挺好的~要我絕對不會選擇男主這樣的。。。不過李小璐跟賈乃亮挺搭~            
(4星)	 懦弱没担当的男人和他那重男轻女爱算计的妈            
(4星)	 一场闹剧。。。            
(3星)	 吓死了            
(2星)	 有点假的电视剧。。。。一直吵吵闹闹，看着都累。。。            
(2星)	 李小璐 贾乃亮怎么老演一个类型的；演姐姐的穿衣很森女；北京妈妈挺好的，南滨妈妈好变态；喜欢贾乃亮的幼儿园老师简直就是如编剧需要般存在着，形象急转直下。            
(1星)	None
(3星)	 消磨时光真的挺好的~~剧情虽然简单但是婆婆刻画的确实发指！！！            
(2星)	None
(NA)	 我爱我妈。。            
(2星)	 烂的一塌糊涂             
(4星)	 挺好玩的            
(3星)	 李小璐你的奶要掉了            
(2星)	 还能在夸张点不。。。            
(4星)	 其实剧情不错的。            
(4星)	 剧情很狗血。但是对于还未面对这一切的人来说，还是给与我很多的启示的。看到最后，竟是全宿舍的人坐我旁边一起看，一种全家人的温馨。            
(5星)	 碰上这样的婆婆也算是奇葩一枚            
(4星)	 李小璐三星，BH老妈一星~XD            
(2星)	 ！！！            
(NA)	 相当无语            
(4星)	 遇上这样的婆婆真是。。。！            
(3星)	 看着很生气，特别是结尾，难道还要斗下去吗？太可恨了！            
(4星)	 罗佳真累            
(2星)	 无聊 俗套            
(4星)	 可学            
(2星)	 人物塑造的能不能靠谱一点啊，傻×的让人都看不进去了            
(4星)	 跟老爸老妈净看些这样的家庭剧，不过这个挺好看的，有意思            
(1星)	 男主角！娶了媳妇忘了妈的变态            
(5星)	 挺真实的一部剧 80 90后 婆婆 媳妇 妈妈 丈夫都应该去看看 从中收获一些东西             
(NA)	 没有季节变化的垃圾剧情            
(1星)	 垃圾            
(NA)	 讲述的是生活中最浅显不过的一个道理――结婚不是两个人的事，而是两家人的事，如果两家人中的婆婆与妈妈都不是省油的灯，那么结婚就成了一场“战争”的开始            
(3星)	 各种搭着别人看完了这部电视剧。婆媳，天生的冤家。            
(NA)	 实在是坑爹婚姻综合范本            
(4星)	 遇上这样的婆婆这样的小姨子，我就去死            
(NA)	 这男方家里一家人都是变态,有病.            
(4星)	 和我妈一起看的~呼呼~            
(1星)	 只有李勤勤的角色能引起共鸣，所有的妈妈都是这样，满嘴不同意，一旦你做出选择，她又倾尽所有的支持你。婆媳伦理剧已经被过度开发了，毫无创新和情感，情节就是为了虐而虐啊虐啊虐啊虐...感觉像流水线做出来的东西，作为观众我都不好意思拿这玩意儿叫作品。不管对电视剧还是对电影，烂片0容忍...            
(4星)	 细节打败爱情婚姻比爱情现实很多在嫁人前总要给自己留点资本的``            
(1星)	 看了几眼不能忍啊，剧情的离谱程度都对不起“搞笑”俩字。            
(4星)	 这男方一家子奇葩劲儿的            
(NA)	 结局。。。            
(NA)	 众多看到一半就不想看了的剧之一            
(2星)	 两个老戏骨是亮点，一人一颗星。年轻的是打酱油的，编剧实在太狗血。。。            
(4星)	None
(3星)	 李小璐虽然有点任性，但相比这个婆婆已经很好了。碰到这样的老公也真是搓气，自己外面搞暧昧，老婆有个异性朋友就乱叫，我是多希望罗佳和富二代好啊。朱燕个女人真TM恶心。全剧的亮点就是罗佳的妈妈，真是太厉害了，爱死她了。            
(NA)	 可恶的婆婆！！            
(NA)	 同二            
(4星)	 太纠结            
(4星)	 几度落泪，都是因为罗家爸妈。的确，婆婆和妈妈自始至终是不一样的。            
(NA)	 终于看完结局了。            
(3星)	 看过一段时间了，我妈有次兴高采烈的打电话来说，“你看那电视啊，那婆婆啊~~~啧啧啧。。。。”我很淡定的说，我看完了。我妈表示很欣慰。            
(3星)	 这个真没觉得多好看。            
(3星)	 变态的婆婆，强迫儿子按照自己的设计发展不择手段！脑残又没品的姐姐，丝毫看不出竟然是个博士！懦弱的陈大可！虽然两次“小三”都是他妈和姐推来的，但是从来没看到他向对方表示自己已婚！到最后发生各种不幸之后，却只会一味责怪自己的母亲！虽说他妈是罪魁祸首，但他也占很大责任！            
(3星)	 自作孽不可活啊···            
(NA)	 好看好看，最后第二集哭的稀里哗啦。婆婆实在太可恶，妈妈真的很好            
(4星)	 但是太虐            
(4星)	 生活里要是有这样的婆婆，真是被吓死了。            
(3星)	 看了十多集，觉得罗佳妈和那个富二代还不错            
(2星)	 我觉得看这片儿有点自虐啊！！但是每次都好期待那个婆婆会整出什么新招来！！啊啊啊啊            
(3星)	 没有婆媳关系第三者别想上黄金时段            
(NA)	 因為小璐亮亮看的~            
(4星)	 一开始有些俗，最后还是很感动的，应该还算一部不错的国产剧。            
(1星)	 狗血！            
(2星)	 老妈极力推荐 陪着一起看……受不了这些屁事            
(3星)	 只有最后一集令我中意。            
(3星)	 我真不想说我看了。。            
(3星)	 虽然演的很假，但我居然……几乎完整的看完了。明知道很假看到猖狂的小三儿还是忍不住生气。总是不自觉的拿它和《裸婚时代》比~李小璐整的很假了已经，贾乃亮本来就不喜欢整一小白脸，潘虹演戏总是很夸张很戏剧化。觉得这里头演的最好的就是李勤勤了。            
(2星)	 婚姻从来就不是两个人的事情！            
(4星)	 姜还是老的辣            
(4星)	 潘红演的真好，如果现实生活碰到潘红这样的刁蛮婆婆，估计没准1个月媳妇就受不了            
(3星)	 可怕            
(5星)	 看了这部戏，其他的婆媳之争都是小儿科，无病呻吟。            
(3星)	 电视剧总有人评论好或者不好。我只能说这电视剧有点夸张，但是还OK。            
(3星)	 婆婆恐惧症            
(4星)	 我看得很入戏！            
(3星)	None
(5星)	 感觉太真实了！！！看完了我能猜如果我不听我老妈话我的下场。其实错不都是那个婆婆的，大多数都是陈大可的错，就是个王八蛋，苍蝇不叮无缝的蛋            
(4星)	 看到20集准备直接看最后集了，太纠结了。。。潘虹为什么那么讨厌李小璐呢。。。            
(NA)	 李小璐这胸也忒大了点吧，不习惯啊！而且老是短裤，短裤            
(2星)	 剧情太狗血了，又是1个不知道自己要什么的男人，真受不了            
(3星)	None
(1星)	 男女主角是脑残这点任凭两位妈妈扮演者们的中年老演员也无法力挽狂澜救这部电视剧了。这部明显是追风，烂。            
(NA)	 那个陈大可也太窝囊了吧，遇到事情总是躲避，只会让老妈子出马！            
(NA)	 陪同事看得，看完后更加懂得世上只有妈妈好这个道理！            
(NA)	 ....陪母后看的...我真心不评论了...            
(3星)	 哎，就最后几集拍的还可以，前面什么乱七八糟的啊！真是神经病的一家，要是有这样的婆家，那这样的男人嫁了干嘛呀，真是吃撑了……哎……            
(4星)	 看这个的时候我就发现，结婚这件事情，真是水很深。婆婆这样的人，真是惹不得。            
(4星)	 做媳妇要经得起谎言，受得了敷衍，忍得住欺骗，放得下诺言。            
(3星)	 不得不说这种家长里短，不吵则以，一吵就歇斯底里的婆媳大战片，我也看的 =。=其实每年都有这么几部看的解恨的大陆剧。            
(4星)	 不错，中间的剧情实在是太狗血和拖沓了，不过最后2集真的是好看，才体现这个题目的精髓。。。            
(NA)	 超级讨厌的一部剧啊，婆婆太邪恶了，关键是邪恶的没逻辑。            
(4星)	 世界能不这么艹X么            
(3星)	 男主角就是个窝囊废嘛            
(2星)	 到过后就很纠结甚至混乱了。。            
(2星)	 编剧的确受过刺激。            
(3星)	 那个婆婆不是一般的变态            
(2星)	 婆媳的剧看得都想吐了，编剧还越编越纠结，我是为了娱乐，不是来窝心的            
(4星)	 近来喜欢看类似家庭伦理剧了呢，这部没有裸婚时代好看            
(4星)	 这样的婆婆，世间应该是不存在的吧。。。否则，真是太可怕了。            
(3星)	 烟台啦~            
(4星)	 那个happyending是什么东西？在整部片竭尽全力地营造悲情气氛之后，居然是happyending？去！   狂喜欢罗佳她妈！            
(4星)	 李勤勤的角色真心讨好,罗佳的好性格和她爹妈分不开;潘虹有些老了,不过演的不错            
(3星)	 太恶心了...婆婆一家人都精神错乱...心灵扭曲...这个结局太不喜欢了啊...凭什么男的在外面快活了...回家还有老婆孩子热炕头?            
(3星)	 男方病态的一家。。。            
(3星)	 被追是一种幸福，倒贴则是绝世苦楚。            
(2星)	 脑残到不行的电视剧...这些剧情同时集合在一家人身上未免太点背了            
(2星)	 我觉得剧情有点夸张 罗佳真的挺能隐忍、坚强 婆婆是个刁钻刻薄的笑面虎             
(4星)	 太现实了~~不敢结婚啊            
(5星)	 几点感受：1、天道酬善；2、做人的媳妇要经得起谎言，受得了敷衍，忍得住眼泪，放得下诺言，睁一只眼闭一只眼；3、爱能创造奇迹；4、狗改不了吃屎；5、浪子回头金不换；6、好吧，阴招不断的JP婆婆确实有点让人恶心，但潘虹的演技还是相当不错呀~~多给一星吧            
(4星)	 各种悲剧集中体，都该超越人类极限了            
(3星)	 家庭伦理剧            
(4星)	 不错            
(3星)	 个窝囊的男人，一个千方百计拆散人夫妻的婆婆，一个嫁不出去的老处女小姑，一个不管事的公公，还有一堆狂轰烂炸的小三，外加一个帅气多金痴心追求的富二代，遇到这样的婚姻是倒了八辈子血霉！             
(5星)	 看哭了~ 婚姻就是一段两个家族的斗争 幸福者是相互妥协罢了            
(5星)	 看了之后是感悟颇多啊。。。            
(4星)	 喜欢李小璐            
(3星)	 为了防止看出神经病来。我果断弃剧了。。            
(4星)	 只看到四集，是陪别人无聊看的。。。其实很头几集很吸引我的，可这毕竟不是我爱的剧的类型。。。            
(3星)	 遇到这种婆婆和老公 早就好离婚了 还拍了30集 我妈说 这个婆婆把所有的坏事都做尽了 现实生活中不会有这样的婆婆的 我想说 只有想不到 没有做不到 可能现实中有些婆婆做了一件事就比剧里婆婆做的所有事更夸张更让人心寒            
(5星)	 很赞的。婆媳关系处理不好 真的很不行那。。那个潘虹很强大那。。姜还是老的辣么。。演员就是要有功底的哈。。            
(4星)	 母爱很伟大，但请节制。            
(3星)	 编剧有点儿脑残。。。狗血            
(2星)	 剧情和演员真心无奈啊               
(4星)	 婆媳间的故事            
(2星)	 1.剧情有点傻逼，人物刻画有点脸谱化，但是豆瓣给这片子的分类是喜剧，所以这点可以原谅。2.李小璐老师，您再整容的话，就把自己脸给毁啦！3.至少这片子可以给女人们一个正面的启示：如果你没一个有担当通情达理明辨是非的丈夫，那你结婚干球？4.婆婆叫公公小陈，公公叫婆婆老张，真幽默。            
(2星)	 家里只有一台电视，所以这么烂的剧也只好跟着看看了，编的都什么乱七八糟的，太不真实了。李勤勤演的还不错吧；还记得潘虹跟她儿子说过一句“恩～”，当时看的我震惊啊！            
(NA)	 经蒋猪推荐，我在10月份看完了此部。看过婆媳关系的电视剧，但从没见过此戏这么狠的婆婆妈，潘虹真是演决了，编剧太狠了，呵呵。此戏里的男人们都是水做的，被女人牵着走。 最可怜的当属小璐璐了，看得我为你揪心。戏中也体现了俩年轻人纯执的爱情。幸好戏中时不时带些幽默场景，不然看着真是恨！            
(3星)	 周末回家，陪老姐一天看完全集，感谢歌华有线。。。。真是挑战极限            
(4星)	 男主人公是傻逼 所以说 没见过公婆前 不要决定是否嫁给一个男人             
(5星)	 没有祝福的婚姻，是一次失败旅程的开始。            
(5星)	 我以后遇上这婆婆，不管这男的有多好，都得果断离婚！！！李小璐和贾乃亮挺般配的，潘虹和李勤勤演技真心好，老戏骨果然不一样~~~情节是放大了生活，但我觉得不排除真的有这么变态的婆婆~~            
(2星)	 什么狗血脑残剧情。mammy boy go away!            
(NA)	 懦弱没主见只会逃避没有担当的男人是不能嫁的。不被祝福的婚姻是走不长远的。            
(NA)	 斗智斗勇，母爱感人            
(4星)	 竟然没把死婆婆这口恶气出了就结束了，太不给力了。。。整个连续剧，除了小路他妈是正常人，其他都是疯子            
(2星)	 近腔总有婆媳大战的国产剧，看完剧情介绍，发现这里极品是以群聚的。。。太恐怖了。不过潘虹演技真心好啊～            
(2星)	 有点无语，精神病似的一家人            
(3星)	 没有处不好的婆媳关系，只有不给力的老公            
(2星)	 越到后面越狗血~~            
(2星)	 最恶心得是陈大可他妈，从始至终的自私，连最后的道歉也只是为了孙子；最悲剧的是佳佳，以为自己找了个珍爱自己的人，结果不过是个没担当还爱推卸责任的伪君子；最可气的是陈大可，从他对那个女人说他没有女朋友开始，便可见他的劣性。我要是佳佳她妈，肯定比她做得更狠            
(3星)	 无聊了            
(4星)	 里面的二位母亲，才是最出彩的，喜欢佳佳的妈妈            
(4星)	 纠结的看完了，明显的丑化烟台人~            
(4星)	 结局还挺感人的，但是这个丈夫和婆婆确实当得很差！！！为佳佳感到伤心~做女人难啊！哎。。。自己也遇上这破事，将来也会这样吗。。。            
(2星)	 剧情真扯淡，现在这样的婆婆估计少见了，这样的窝囊废男人倒是满街跑~！恐婚了要~！            
(4星)	 一家子的极品            
(3星)	 王书记这种热爱麻将、八卦和热闹的老阿姨熬夜看到三点半，我一直在半梦半醒中听出剧情核心。男主是个人渣。完毕。            
(3星)	 陈大可一家人怎么不去死啊            
(4星)	 能不能唱好婆婆儿戏这台戏，还得看遇到什么样的老公            
(4星)	 我妈看完之后说 我是绝对不会嫁到外地去的.... 跟小蜜蜂转达之后, 小蜜蜂说你以为你会像李小璐那么忍气吞声啊...你估计菜刀早使出来了... 原来姐是菜刀王啊~哈哈            
(3星)	 这种题材我怎么老看得不亦乐乎- -|||。            
(3星)	 气够呛。。。            
(3星)	 - -开头还行 越到后面越觉得扯··            
(3星)	 无比变态的婆婆，太狗血的电视剧。矛盾能不能表怎么尖锐？            
(3星)	 蛮无聊的            
(3星)	 在这里，我觉得最可怜的其实是罗佳的妈妈。            
(4星)	 完全完整的关于婆媳的，大家都值得去反思。            
(3星)	 有的还挺写实的...            
(3星)	 一直没网的人连这个都看过了。。伤不起。            
(4星)	 &gt;&lt;&gt;&lt;&gt;&lt;&gt;&lt;&gt;&lt;&gt;&lt;&gt;&lt;&gt;&lt;&gt;&lt;&gt;&lt;&gt;&lt;&gt;&lt;&gt;&lt;&gt;&lt;            
(3星)	 二十九集的时候比较催泪。            
(5星)	 当婆婆遇上妈            
(3星)	 竟然跟着老妈看完了这剧！！！只想说如果是我一开始就不会喜欢上陈大可那么软弱的男人！            
(4星)	 我喜欢李勤勤            
(5星)	 也不知道是演的好呢，还是人在国外的原因，总之看得太入戏了...赚眼泪的            
(2星)	 哎，除了越看越气，直到不想看了之外，没有什么好说的了            
(4星)	 前面虽然看得很不舒服 但最后两集我眼泪汪汪的了            
(3星)	 真是部黑暗的电视剧。不过也许这就是生活的一部分，就是人的一部分吧。            
(4星)	 李小璐跟贾乃亮假戏演的够真！！！            
(2星)	 一个愿意被妈妈管着窝囊丈夫，夹板气是自己找的。            
(5星)	 很喜欢罗佳的妈妈            
(4星)	 i have the tendency to become a middle-aged woman....            
(3星)	 昨晚把这个连续剧看完了，哎，又一次打破了我对婚姻的美好憧憬啊。结婚前的种种美好，婚后都会化为丑陋。            
(3星)	 看完以后，都不敢嫁了            
(4星)	 千祈祷万祈祷，希望这种婆媳关系不要发生在自己身上，阿门            
(3星)	 苏晓扬有双漂亮的眼睛            
(4星)	 婆婆这家人还有小三真的太坏太变态了 看得都想抽他们            
(4星)	 璐和亮很般配            
(3星)	 断断续续的看过几集，矛盾冲突很强，现实生活中很少能遇见吧，不过也才引人入胜，潘虹的演技实在太好了。            
(1星)	 这种白痴烂剧我都能看到第六集我忍耐力越来越好了            
(5星)	 其实现在很多男的都跟大可差不多，被妈宠的！所以男的还是要尽早独立，要穷养            
(4星)	 那么俗气的电视剧 我居然是有那么多的泪点。。越看越想哭 越哭越想我妈。。。 电视剧来源于生活啊啊。。。            
(3星)	 哈折腾- - 和麻麻一起看完~~~~            
(1星)	 滚你妈个蛋            
(4星)	 看到最后还是哭了            
(3星)	 婆婆好矫情            
(4星)	 能領奧斯卡的婆婆~            
(5星)	 你们喜欢去读天涯写手那些&#34;智斗婆婆&#34;的文 也不喜欢看这极品的婆婆和彪悍老妈。其实生活可以比剧更夸张和不靠谱。人们拿着&#34;爱&#34;当借口 一次次挑战着最低的道德底线。我觉得 做人只有一个要求 己所不欲 勿施于人。不管是对待亲人 背叛妻子 还是做小三。            
(NA)	 。。。。。。。。。。。。            
(5星)	 这部电视剧里，婆婆演的坏的出身，妈妈对女儿的疼惜让人感动，看到最后两集的时候是在是哭得稀里哗啦啊，没想到都这么大了还能被李小璐给感动着，希望那个这戏里戏外这队小情侣都能终成眷属！            
(3星)	 为了潘虹的演技才给三分。就算是开放式结局也用不着这样不伦不类啊。不过真心觉得这样的婆婆真是极品中的极品。            
(1星)	 我靠 疯子电视剧。            
(4星)	 很少看完一部国产电视剧。 在李小璐的带领下，我看完了。 这样的婆婆真的让人崩溃，却又如此的生活化和现实。             
(3星)	 嫁个窝囊的丈夫，遇上个歹毒的婆婆，还有个心理变态的姐姐，一个无能的一家之主，这不妈了个逼了吗？            
(3星)	 恐怖            
(3星)	 哪有那么烂，豆瓣这些装B侠。潘虹挺好的            
(4星)	 女的全部不省油的灯，男的全部打酱油            
(4星)	 一下班就回到家看！~~各种老娘舅结合版            
(NA)	 最后一集 就算盯着假奶亮 和 贾哥哥 还是忍不住哭的一塌糊涂也。            
(3星)	 太夸张了~~李勤勤演得好！            
(3星)	 片名婆婆遇上妈，其实并不贴切。看到后面整个受不了，大可妈也太那个什么了，看得我一口气堵得慌。。。啊哈哈。            
(3星)	 唉，，，看得人心酸啊。。。这个婆婆太可恶了，遇到这样的婆婆宁愿不要老公。。。            
(3星)	 断断续续看了些，说实话，编剧真的不怎么样。            
(4星)	 婆婆很可怕还是亲妈好,老公不可靠小三到处跑。国产剧都老现实了...            
(NA)	 好媳妇            
(1星)	 这个导演智商有问题么？ 没事干整你妈个烂电视剧膈应人？ 模仿模仿不来，自己剧情拿捏不准人物描写垃圾，天天吵架小三你妈B的中国的电视剧全让着群2B导演给黄了。            
(3星)	 有这样极品的婆婆和懦弱的老公 此生无憾            
(NA)	 最看不上那个大芸整个一傻逼我靠变态！！！！真想扇她！            
(1星)	 把人物拍得太傻逼就没意思了 要是真碰见这样的婆婆干脆杀光他全家再自杀吧 反正生不如死            
(4星)	 当懦弱儿子+极品老妈+变态老处女遇到青春小LOLI，组成了一部很让人气愤的倒霉破片，很天津式的家庭            
(NA)	 世界上真的有可能有这种婆婆            
(3星)	 好一个恶婆婆            
(3星)	 只能看丈母娘。            
(2星)	 剧情好垃圾。。但我居然一集不落的看完了。。            
(3星)	 陈大可窝囊，气死了！            
(3星)	 剧情很扯，男主角太没担当。长得很像@齐伟同学            
(4星)	 这婆婆还可以再恶毒点嘛！还知识分子家庭！好意思吗！打着为儿子好的旗子耍尽心机！这媳妇够对得起你们了！            
(5星)	 这也太极品了            
(4星)	 就是看完有点气人。。            
(3星)	 生活有原型，只不过电视扩大化，戏剧化了。。。            
(2星)	 2.5.。。李小璐演技其实还行 就是被剧本毁了。。这剧本没逻辑啊。。。没逻辑啊亲。。还有那个富二代。。第一眼真以为是找麻烦的流氓。。。贾乃亮一口东北音儿。。。亏的是闲摆着看的。。            
(2星)	 狗血啊~            
(3星)	 见招拆招            
(5星)	 有些感同身受，不会拒绝的男人好可怕，有恋子情结的婆婆好可怕，有重男轻女观念的思想好可怕            
(4星)	 潘虹这婆婆虽然让我看的咬牙切齿的，但是不得不说她在剧中的演技真是淋漓尽致啊            
(3星)	 恶毒婆婆也就算了,自己的男人如此不靠谱也只能绝望了            
(2星)	 剧情感再狗血点么，再有就是大云一说话我就恨不得给她弄蒙，摇头晃脑的，闹应人            
(3星)	 看的时候咬牙切齿，婆婆一家人去死好么。            
(2星)	 演员演技毋庸置疑，剧情不写多说- -            
(3星)	 一个窝囊的男人，一个千方百计拆散人夫妻的婆婆，一个嫁不出去的老处女小姑，一个不管事的公公，还有一堆狂轰烂炸的小三，外加一个帅气多金痴心追求的富二代…这婆媳片怎么就这么火…            
(3星)	 年轻媳妇遇到恶婆婆            
(4星)	 李勤勤实在是老戏骨，戏精啊            
