http://movie.douban.com/subject/3286407/	神之水滴 神の雫
(3星)	 乌龟你那破烂不堪的F语，，还有让我无法忍受的女猪脚，，            
(3星)	 只记得满眼满眼的葡萄酒 还有美丽的内田有纪            
(3星)	 如果对葡萄酒没有认识的人来说，倒也是一个形象化的入门……但对于葡萄酒有一定认识的人来说就……不喜欢这么浮夸            
(3星)	 看了就想喝红酒。。。绝对王道            
(4星)	 最后一集貌似没看= =|||            
(3星)	 其實我覺得還行，不知道收視率why。。= =；            
(NA)	 看着红酒和龟梨和也的份看的~            
(2星)	 剧情真的很。。不是为咩我也不会看了            
(5星)	 突然想喝酒            
(2星)	 唉~~            
(NA)	 没看完是在是太重复了            
(4星)	 有时会有点沉闷， 但让我起码稍微增加了点关于红酒的了解 ，小龟的演技很棒。对红酒那样的追求其实也就是对事物的追求 只有追求、探索才会又对事物正确的看法。龟梨和也 is handsome, I like this type of man.            
(2星)	 可以当当教科书~            
(3星)	 剧情不能吸引人。。            
(4星)	 適合用來作葡萄酒入門的?            
(4星)	 A            
(3星)	 觉得人物的性格设定还是差那么一点，看到中间有点无聊。            
(3星)	 其实我弃了蛋是是在第7集，琢磨着还是给2宫的女版mark一下 = =            
(3星)	 有点看不牢~~~~            
(3星)	 就KAME的正装造型能看看了...            
(5星)	 周末认真看看            
(3星)	 E1-E6、E9，为颜。            
(4星)	 为了咩酱四星            
(4星)	 因为女主角的原因给乃减一星            
(4星)	 正在学习中。。。            
(5星)	 最爱葡萄酒~O(∩_∩)O哈！            
(4星)	 醒来吧，巴卡斯！            
(NA)	 龟梨成熟的扮相果然诱人....不过嘶吼的大叔还有剧情实在不能恭维啊....            
(3星)	 水灵灵的Shizuku哦            
(3星)	 放弃了，漫画里的各种葡萄酒知识在浓缩的剧集里被舍弃了，只留下了日漫常见的夸张表现手法，也就有些去菁存芜的意思了，只有个花哨的招子。            
(4星)	 漫画比较好看            
(3星)	 有点儿玄乎~            
(5星)	 赞！            
(2星)	 毒药            
(3星)	 当帅哥剧看了            
(2星)	 不是因为小k，打死也不看            
(3星)	 么看完=。=            
(5星)	 收视差有什么，就是好看!!            
(NA)	 看了半集就放棄了。            
(4星)	 好多关于红酒的知识            
(5星)	 我男人很帅！            
(4星)	 花了一个周末看完了，日本人能够把知识和情感融会得那么和谐，惭愧啊            
(NA)	 没看完  难看            
(3星)	 好漫画 烂编剧 烂演员             
(3星)	 没看头……            
(3星)	 一般，讲了很多葡萄酒的知识，过于戏剧化            
(4星)	 剧情一般，贯穿全剧的应该算是小雫的自我发现与对父亲的逐渐理解吧。通过红酒使两兄弟从毫无感情到有点惺惺相惜，使小雫对父亲从不理解到理解，其实不算太NC的剧情，只不过那比赛确实有点老套了，应该说变数太少，导致了耐看度不够吧。            
(5星)	 俺儿子的西装，华丽丽的！            
(4星)	 父爱无言却厚重。从未表白过心意的父亲，通过最后的战斗，让两位儿子蜕化成长，也让我们，感动于父爱的伟大，领悟到生命的意义－人类的力量 团聚 心爱的人 考验 感谢 以及继承的永恒。            
(NA)	 品葡萄酒的经典入门之作！看过之后去7/11买了瓶红酒^_^日本人真行啊，能想出这么多题材，还都拍得这么好看。            
(2星)	 kame我对不起你，如果不是你我就打1星了。你哥哥选得是在太悲剧，枉费了你如此帅气的造型            
(3星)	 葡萄酒知识普及剧，无爱的美味系~            
(3星)	 虽然看了想睡觉但我还是坚持看完了= =            
(5星)	 很帅滴作品   让我们了解葡萄酒  小鬼在里面的性格我很喜欢呵呵            
(3星)	 看完只有一个想法，想喝葡萄酒。            
(3星)	 呃 怎么不一样            
(2星)	 没劲            
(5星)	 我就是看人的            
(5星)	 卡咩紅酒小王子            
(5星)	 我冲动            
(4星)	 咩咩最帅啦`~~            
(3星)	 很大原因是因為我很愛喝紅酒            
(4星)	 喜欢葡萄酒的可以看下～～～里面的小龟很帅哦～～～            
(3星)	 觉醒吧，酒神巴克斯！            
(3星)	 有些傻~            
(2星)	 强忍着也看不下去。。田边大叔你让我情何以堪            
(3星)	 要不是因为KAME第一话就弃了！法克硬编剧...            
(3星)	 前两集提到的酒 85年 90年的木桐；Chambolle-Musigny Les Amoureuses Georges Roumier            
(5星)	 . 红酒指导片 哈哈            
(2星)	 不合逻辑。。。。            
(NA)	 我是看龟梨和也的            
(4星)	 雫雫颜饭=v=            
(3星)	 虽然是小k主演, 可是俺对题材实在无感啊无感....            
(2星)	 不喜欢女猪脚            
(2星)	 睡着了好多次            
(3星)	 我看过龟梨最顺眼的一个造型 清清爽爽多好  红酒的题材也不错 专业知识学到了不少             
(3星)	 红酒知识普及……友情支持小龟~~            
(2星)	 实在是不好说            
(NA)	 红酒            
(3星)	 kame这部超惨淡啊。。。            
(3星)	 因为想看有关红酒的故事才看的，单就日剧来说确实过于单薄啊……            
(4星)	 其实我觉得还行啊……多长知识啊……谁知道为毛收视那么悲催……            
(4星)	 完全是冲着KAME去看的~~结果看完发现内田姐姐好有FEEL啊！            
(3星)	 ？            
(4星)	 亲爱的小龟演的。很棒很棒。一如既往的帅气。            
(3星)	 神之水滴            
(4星)	 收视率不怎么好,很多人不喜欢,但是我却觉得不错啊,咱小小非主流一下下,不走大众路线,oh yeah            
(3星)	 一下午看完了的日剧，纯粹是因为漫画才看剧集的，感觉一般，太做作了，这题材也是我不太爱好的。一般了            
(3星)	 搞得我想喝酒，可是真不会啊~            
(3星)	 葡萄酒知识概览+烂片。            
(5星)	 剧本太烂，龟梨演得不错            
(3星)	 冲着红酒的名气看的，对kame无感。还是看原著吧            
(2星)	 连我这种铁杆颜饭都看不下去了            
(3星)	 虽然收视很差，但我觉得这部还算看的下去            
(3星)	 龟啊~~~~ 您可不可以不要再演有名漫画翻拍啦？！            
(3星)	 只是为了红酒而看            
(5星)	 龟梨好野~            
(3星)	 没有龟梨和也这我肯定不看            
(3星)	 单纯对酒感兴趣            
(NA)	 哎。。。            
(4星)	 背景音乐增好听……那个什么一青好无趣……卡灭他爹好无聊……一青的女人好讨厌……            
(3星)	 感觉一般，主要kame比较帅            
(3星)	 看了稍微有点想喝红酒,但是没有让人想看下去的冲动,只是有的话就看看,没有的话绝对不会想起来要看的.            
(3星)	 额。。虽然我很喜欢龟  但是  这个确实不太好看            
(2星)	 看了一集就看不下去了...            
(4星)	 弥补圣诞没喝成红酒的痛。。            
(1星)	 能别老接这种垃圾本子么...一磅就够垃圾了..人都成胖子了..            
(3星)	 看美女剧            
(NA)	 我都快觉得我要成神了，这种消费税烂片都能看到底。。。            
(4星)	 还好。。咔咩君~            
(3星)	 冲小kami去看的···            
(3星)	 第2集弃。对酒的描述实在太抽象……            
(5星)	 酒呵呵            
(4星)	 剧情ok  Riisa怎么看怎么不顺眼= =            
(3星)	 内容有些平淡，但是有龟龟还是喜欢的！            
(3星)	 我对龟梨已经没印象了，唯一还有印象的部分是田边诚一同学每次喝了酒之后的“啊啊啊啊”…………            
(3星)	 看过原著后就觉得这编剧真是个NC            
(4星)	 著名漫畫改編~~不過改編成電視劇卻並不覺得好看！            
(NA)	 仲里衣纱            
(3星)	 龟仔做主角 哈哈 学到几多葡萄酒的知识 剧情都有点千篇一律的感觉            
(3星)	 没有特别差，也并不好看，我居然看完了            
(3星)	 编剧太= =            
(NA)	 一般般吧~很不喜欢女主角~~傻乎乎的~            
(2星)	 关于葡萄酒，真的能看到这么多画面吗？            
(5星)	 长知识啊！！！            
(3星)	 纯属冲着某人的脸和台词背下来不容易给的星星。。。剧情扯淡女主傻蛋唯一的对手傻哥哥还一天到晚喝个酒就“厚厚厚厚厚”的。。。超级猥亵的感觉啊。。。。            
(NA)	 OTL我没坚持完，咩我对不起你            
(4星)	 兄弟爱啊~全世界通用~            
(5星)	 我就觉得好看怎么地了！            
(2星)	 不是对红酒有偏好的就算了吧 - -            
(3星)	 剧情真的非常小众...外加上无数专用名词...ORZ...            
(NA)	 为了你我也看不下去(-&#34;-)            
(3星)	 真是挺凑合的，但是提起我喝红酒的欲望了。。            
(1星)	 小k同志我对不起你  但是真的    不怎么好看            
(4星)	 我就是冲着龟梨和也去看的。。。&gt; &lt;            
(3星)	 红酒比小龟更吸引人            
(3星)	 真不好看。。。而且很难看懂。。。            
(2星)	 实在是太看不下去了            
(3星)	 知道不少红酒的知识。感觉挺不错的一部日剧。            
(2星)	 比较沉闷 比较无聊            
(1星)	 无语。。            
(2星)	 哎、咩唯一一部我看不下去的、、、- -            
(3星)	 大爱龟梨和也也不得不承认这是部难以看完的电视剧            
(5星)	 给龟梨和也的分儿。kame            
(NA)	 其实是看了一半弃了。。。            
(1星)	 不说了,消费税君            
(2星)	 无聊，只有仲里依纱比较养眼            
(2星)	 跟漫画没法比            
(NA)	 即使刻了碟我也没看完= =            
(4星)	 很多人觉得这个剧有点枯燥，以红酒为题材的剧不是很多，总之我是挺感兴趣的，小龟的参演也增色不少，当时还有传言说收视不好要停演还担心了一下子，不过还是演到了结尾，很不错的剧。            
(5星)	 一部好的电视剧最重要的就是有种打动人心的东西，此剧种有让人感动和回味的地方，启发我的是父亲对儿子的十二封信的设定和要表达的东西，即使在去世后也希望儿子能了解自己，开场那一幕印象很深，父亲拿着一瓶具有百花香味芬芳的酒到妻子的墓前，却被儿子误认为自己连扫墓也放不下葡萄酒却不加解释。。            
(3星)	 kazu的剧...即使本子写的烂也要看!!!!!!!其实我觉得这片子挺不错啊...小雫喝酒的表情让我很萌&gt;///&lt;            
(3星)	 很有爱，佐佐木希很惊艳。            
(2星)	 这剧实在悲剧...= =看着kame的脸给个2星吧。我还是没有看完            
(2星)	 无语。田边诚一真无语。。            
(3星)	 没啥葡萄酒的知识看着也没啥乐趣…            
(3星)	 只是受不了一成不变的剧情罢了。            
(3星)	 红酒知识普及，可惜我实在没记住多少            
(4星)	 酒·            
(3星)	 很喜欢小龟，但是这部却没看下去....            
(3星)	 完全是奔着kame去看，顺便学点知识。。只是那个女猪真让我受不了~~~            
(4星)	 很不错~竟然能让我觉得龟梨和也很帅...这个世界是不真实的.....顺带,姐姐爱女主啊~仲里依紗好可爱~&gt;A&lt;            
(5星)	 两人一直都在神交，累            
(3星)	 shizuku美貌登峰造極··········            
(2星)	 女主角太難看了。            
(3星)	 我这个咩饭都看不下去……田边诚一无敌猥琐……我都快吐了……            
(1星)	 漫画很经典！深深爱上Richebourg！！！！！！！！！！中毒啊！！！！！！！！！！！！！！！！！！这个版的日剧太烂了！！！！本身就不适合拍成电视！            
(4星)	 奔着kame去的 basaka上身的时候真的超萌的 还有在土肥那里喝酒以后跳舞的样子 翻了 抵御无能            
(3星)	 这些小子们也忒有钱了，动辄几万的Romaine Conte就是随便喝喝的吗？            
(NA)	 kame~哟            
(3星)	 开始的时候觉得是挺厉害的一出电视剧，但是看下来发现不少雷点……于是没啥干劲看下去……缓慢进行中……            
(NA)	 没追完。            
(4星)	 红酒爱~            
(3星)	 有点看不下去            
(4星)	 唯一苏..            
(NA)	 葡萄酒是上天赐予的美物。            
(3星)	 真是毁            
(2星)	 硬着头皮看完了，，            
(4星)	 内田有纪自从Innocent love之后就转了个这么个型            
(1星)	 看了一集就没办法坚持了  就算是小龟也没有办法            
(4星)	 红酒普及剧，很希望可以把里面的就都品尝一遍，可惜自己难以有如他们精的鉴赏技巧。每个使徒都深含意义，出色。演员中一清演技，认同。主角欠佳            
(3星)	 还要再努力一点，不过女主角很莫名其妙。凑合啦            
(4星)	 还是可以看下去的。。。            
(2星)	 。。。            
(5星)	 虽然是冲着龟梨和也去的，但是也觉得故事确实很有意思。但是男2我真的不待见。。。表演的让我觉得有点变态。            
(2星)	 这剧本，就算神仙演也没救！弃了~            
(4星)	 水滴君。我看这部剧只是为了看你。            
(3星)	 有點無聊            
(3星)	 帅气  但是剧确实一般的说            
(NA)	 2+            
(NA)	 介绍了许多关于葡萄酒的常识哦。很有用的说。蓝色的心情。            
(2星)	 相对于kame的其他剧来说，这部实在是不咋地，葡萄酒不懂的人看着根本没任何感觉，反而觉得很假，还有剧中哥哥的扮演者品酒时更假，情节也实在不咋地，kame剧中的角色性格也实在魅力不足啊            
(3星)	 冲着龟梨和也去的，葡萄酒扫盲连续剧，漫画没看过没得比较。2个女配角很漂亮。前6瓶酒的解读很有哲学意味，可惜结局潦潦草草令人不爽。            
(4星)	 给人带来幸福的ワイン            
(4星)	 葡萄酒 不怎么熟悉 不过剧中出现了关于葡萄酒的很多知识            
(3星)	 卡咩很养眼~剧情只有当普及红酒知识来看囧……            
(3星)	 可能天生对酒有免疫力，可能天生对龟梨和也没有多大好感。不过总是按着性子看完了，实在不是很值得推荐。            
(2星)	 。。            
(3星)	 看了一半  看不下去了            
(3星)	 长知识了            
(NA)	 龟梨和也长的还是很嫩的            
(1星)	 看了一半，  太无聊了- -， 小题大做嘛~            
(NA)	 请把本片当做葡萄酒入门教育片            
(3星)	 完全是看kame而已的。。。            
(3星)	 龟的演技有进步            
(3星)	 白瞎我儿的颜，烂逼编剧            
(1星)	 剧本好烂！！！            
(4星)	 很多法语很多酒，很无辜的龟梨和也            
(3星)	 看完这部，会对红酒充满兴趣，对评酒师的工作更加充满兴趣。            
(3星)	 红酒和茶叶一样，总会发现自己喜欢的一款。            
(3星)	 只是不喜欢的风格，KAME造型不错            
(NA)	 我没有坚持到底!!!!太囧了!!!!!            
(NA)	 略看            
(3星)	 最开始出来新闻的时候兴奋得要死 水生动物终于能翻身穿西装喝红酒 正常一下了 追了几集 还是很遗憾没看完 倒是maru全部看了 e 我少看三四集？剧情真的很没什么吸引力            
(NA)	 第一集···没有了            
(4星)	 不懂此劇為何在日本的收視率會不理想，其實蠻好看的說~            
(3星)	 为收视率默哀...            
(3星)	 看了以后对葡萄酒有了深入了解...            
(3星)	 没有龟酒没有星  这剧情太烂了            
(3星)	 真想为小龟说好说，但实在是  不怎么样啊            
(3星)	 龟梨。。。渐变成收视毒药            
(NA)	 后面几集比较好看啦~还有就是感觉KAME变帅了&gt;/////&lt;            
(4星)	 喜欢龟梨            
(3星)	 想喝酒了            
(2星)	 情节不好，纯粹因为龟梨            
(4星)	 小龟是越演越好，可是就是没发喜欢他呼呼            
(3星)	 还是比较喜欢极道.不过龟梨在这里也很帅.女主也挺可爱            
(5星)	 葡萄酒 真好            
(NA)	 没有KAME，铁定追不下去～～            
(NA)	 哎。哎。哎。kame.我对不起你。我还是没有坚持看到底，orz.            
(3星)	 一般吧～不过日本电视剧基本上就是这调～            
(2星)	 无语了orz            
(5星)	 小龟的主演！            
(2星)	 这种片子我怎么也会跟完？            
(3星)	 那些在寻找葡萄酒过程中所获得的点点滴滴，才是最有意义的吧            
(3星)	 真係有D難睇~~~咩嘅演技有待提高吖~~~內田真係恏靚吖~~~            
(4星)	 龟梨的蜕变            
(5星)	 用时光酿出的醇美葡萄酒。。。            
(3星)	 其实可以给四星的，如果某些地方不那么拖沓和生硬。还是挺好的。不喜欢女1            
(NA)	 个子再高一些就好啦撒            
(3星)	 紅酒             
(3星)	 KAME君KAME酱KAME呀～剧运不佳撒。比较冷门的体裁，仓促结束的剧情，KAME支撑着我看完了。女主角笑起来有NINO的感觉……但是同人女之魂的方面觉得兄弟，是兄弟……            
(4星)	 龟梨的贵气妖冶很适合血般鲜红的葡萄酒            
(5星)	 其实这个力荐完全是私心   因为剧实在是不怎么好看   但是为了我心爱的龟龟我不能这么说O(∩_∩)O            
(NA)	 相对于它的收视，我得说它真的没那么难看，虽然，最后一集，真雷……            
(2星)	 编剧  演技  女主 统统不行            
(3星)	 看在那么多葡萄酒的份上，多给了一颗星。小龟不是我的那杯茶...            
(2星)	 实在不能忍受，我的KAME啊！！            
(5星)	 有很温馨和淡然的感觉，不知不觉间也对葡萄酒感兴趣了呢！            
(4星)	 有不少有用的红酒入门知识，其余无感..还是看漫画比较好            
(3星)	 题材不错，选的人么可能有点问题...那个远峰一青每次一“哦”我都想踹死他            
(3星)	 如果不是kame演的不会看吧            
(3星)	 没有漫画好看，9集就finale了，收视率不高啊            
(3星)	 就是看看kame 感受哀伤            
(3星)	 当别人都黑时，俺突然不想黑了囧。俺好歹也看了两话，这剧没这么垃圾吧，kame俺同情你。            
(3星)	 说不出来 这片子什么感觉都没有             
(3星)	 怎么能闷成这样。            
(2星)	 剧情其实很单薄……            
(4星)	 没有悬念的大团圆结局就是好，看了爽气            
(1星)	 烂片            
(1星)	 烂的不可思议！！            
(NA)	 红酒红酒…………            
(3星)	 咳不算太有好感的一剧咋感觉老那么牵强            
(5星)	 小龟真是越来越帅了            
(2星)	 為啥都找龜梨男主。。。            
(4星)	 长大的亀梨和也|好像闻到酒香            
(3星)	 龟梨是唯一的看点额~            
(4星)	 让我想起泰勒瓦            
(2星)	 好歹把一颗星给小龟            
(NA)	 嘛，因为KAME追的，看后唯一的感想就是，葡萄酒好诱人。。。            
(3星)	 冲着看下去的主要动力还是小龟啊。。。不知怎么的被我给删了，就不打算再看类，至此终结在第8集。。。            
(3星)	 觉得就是西园寺故意没抓住一青。即使事实不是这样。也仍然固执的这样觉得。            
(3星)	 由對兄役的不滿漸漸轉化為萌上兄弟的過程 ╮(╯▽╰)╭更萌的?看漫畫去吧...            
(4星)	 龟梨和也没有演好            
(NA)	 看了一半，弃之            
(4星)	 很喜欢呢～～～            
(4星)	 虽然是龟演的但依然无趣            
(3星)	 zen zen受不了女猪,胸大无脑兼花痴状,真系好扒罗            
(5星)	 龟同学的09年新作啊！！讲的还是葡萄酒~嗯嗯~很帅呢~~！！            
(4星)	 追了一季终于完结，真心觉得这剧不错            
(3星)	 哎。。有点点小无聊。。            
(2星)	 创下了十几年来日剧最低收视率的神奇的剧……            
(3星)	 雫少很美好= =            
(5星)	 因为是Kame演の，所以一定追……            
(2星)	 不怎么好看。前五集和后四集中间隔了半年才看，最终还是看完了不容易呀！            
(NA)	 放弃            
(3星)	 蛮长知识的，关于葡萄酒。            
(3星)	 如果不是为了多少学点红酒知识，我想我是看不完的            
(NA)	 沈小娜很有愛。&gt;&lt; 可是女主還是無法DJ。囧            
(3星)	 一般般般般般。。。            
(3星)	 1            
(3星)	 女人，就算是为了你也看不下去了啊            
(3星)	 毒药...票房毒药...            
(3星)	 熱血 漫畫~~            
(5星)	 红酒也是一种学问，孕育着天地人结合的精华...            
(3星)	 开头感觉还不错的，看到后面就觉得一般吧。原著漫画应该更吸引。            
(2星)	 看到第六集，终于坚持不下去了            
(5星)	 支持KAME的新剧~~            
(3星)	 说实话，这真是这几年我看过的最无聊的片，因为比这无聊的我肯定坚持不下去，还不是因为爱啊。。红酒还是很萌的，虽然尝试着喝了一口还是不喜欢。。小k我不希望以后看不见你上剧了，会翻身的。。            
(3星)	 葡萄酒的世界太深奥了，无法体会啊！PS：某大叔的演技实在太夸张了，偶接受不能。。。            
(3星)	 剧情太弱... 不过大团圆结局还是让人感觉欣慰啦~            
(2星)	 交响情人梦那大爷是不是打算演一系列出来……            
(3星)	 或许当我看了第一集以后就掉入了一个名为鸡肋的深渊。且不论一青叔猥琐样就算后来变慈父了也不像，在不论内田姐连着两季演狗血，光是完全硬搬漫画这一点就是最大的失败了。算了我好歹看完了，感叹，终于结束了。            
(NA)	 好想喝红酒~            
(2星)	 剧情实在是  3 4集弃了            
(2星)	 ....            
(NA)	 冲kame看的，最后实在看不下去了，神马剧情！            
(4星)	 小雫，我见证你的成长。小和，我见证你的演技。            
(3星)	 第三话就看不下去了 orz            
(4星)	 再见龙少啊。。好怀恋。。。            
(4星)	 收视不会影响一部好剧在我心中的定义            
(3星)	 告啥白呀，我晕，最后还来奔跑....            
(3星)	 好惨的收视率...            
(4星)	 3星半= =喜欢最后一集龟在葡萄园的打扮~嘿嘿~格子~            
(5星)	 吼吼偶家kame            
