http://movie.douban.com/subject/2997325/	我的团长我的团
(4星)	 还是小说的结尾更完美些            
(5星)	 菜很好 可他非得说盛菜的盘子太难看            
(4星)	 1，尽管节奏慢到简直无法忍受，但还是值得一看。2，结尾不喜欢。            
(5星)	 帅啊，花痴啊，呵呵            
(3星)	 值得一乐，但不值得全信            
(4星)	 不错~有血有肉恩~            
(4星)	 最后的结尾有点仓促。            
(2星)	 我确实没有耐心看完            
(5星)	 很不错，要不是因为到了凌晨2点会继续一口气看下去，明天继续            
(4星)	 他们说话怎么那么文邹邹的            
(4星)	 别人实现了我的夙愿，尽管打了点折，掺了点水。            
(NA)	 还行吧            
(4星)	 真逗            
(5星)	 非常不错！            
(3星)	 岂曰无衣，与子同袍。            
(3星)	 语言挺逗，剧情太磨叽，靠各地口音吸引各地观众，本来给的四星，看到2x集寻思也就三星吧，再看到33集tmd想给两星了，正规军比杂碎还下作，和土匪同类，看完恶心，逻辑混乱，还有人不厌其烦的去上升高度、挖掘深意？媒体的炒作让观众有了强烈的心理暗示。            
(4星)	 士兵是个喜剧，团长是个悲剧；士兵是温暖的，团长是冷冽的；士兵是个童话，团长是个传奇；士兵告诉我们，不抛弃不放弃是我们的法宝，团长告诉我们...它什么也没有告诉我们，它留给我的只有幻灭，和伤心至死。它就像一部电视剧版《等待戈多》，我喜欢这个剧本，电视剧里的人物演绎得很有劲，但导演在节奏，情绪，影像的把握上有些失控了，使它失去了传世的机会。            
(5星)	 Second to none!            
(5星)	 http://www.tudou.com/programs/view/lGN5RyvTCVQ/            
(5星)	 你从此知道生活有别样。            
(5星)	 我想打比5分还高的分            
(5星)	 很好很好很好看的。...电视剧..我喜欢.烦啦            
(NA)	 仍是喜欢这种风格。            
(4星)	 太闹心了            
(4星)	 花了4天看完了结局很凄凉。            
(5星)	 思绪漂浮和灵魂一样没有重量，只有思绪偶尔沉淀，让我们继续生活。有关于坚持和信仰的故事。            
(5星)	 一将功成万骨枯~~            
(5星)	 真的不完美。但是我真的觉得它值5个星。            
(5星)	 我把它归结为立志的题材，生硬的阐述着做人的道理，特别是一个男人            
(5星)	 好               
(5星)	 我们到底为谁在守？！！！！！            
(NA)	 恩。这几个纯爷们儿的故事。好看。            
(5星)	 没有很好的特效，没有惊心动魄的激烈场面，但始终触及着作为中国人内心深处最柔软的地方，让人感到隐隐的痛。            
(3星)	 多少年的事了，这才是真正的注水肉            
(4星)	 方言逗            
(4星)	 安逸的生活已经让我们忘记了战争如此残酷            
(4星)	 就是结局。。。。。            
(NA)	 终于看完了……我很爱这部戏            
(5星)	 有点意思了虚与实，灵雨肉，智慧与豪气，冷眼与缜密，狡黠与哲理，蓝色星空，黄色大地。很牛逼。            
(5星)	 想当初去腾冲探过班的哦。。哈哈            
(5星)	 豆饼快要饿死了。就剩在那儿倒气儿了。一堆也饿的五脊六兽的，混吃等死的兵痞，就在那儿默默的看着。忽然，在那个寂寂无声的院子里，响起了《野草闲花逢春生》。眼泪几乎快掉出来了。那个伤心抓不住摸不着。这个电视剧好看。编剧写的旁白很文艺。但是，文艺的很好看。这个故事惨烈啊。真是难得的好电视剧~耐看！张译的念白也好。非常好。            
(5星)	 都是好演员~              
(4星)	 我们需要一些血性。            
(4星)	 一口气看完43级，虽然有些地方还是比较拖沓。印象最深的是“烦啦”，他是剧里面最复杂、最充满矛盾的人物，不像其他两位“死啦和迷龙”那么单纯，无时无刻不在计算得失，爱掩饰自己的真实想法，话也最多。总之是亮剑后又一部喜爱的国产连续剧。            
(5星)	 中国从此有了电视剧~            
(3星)	 网上看的。3、4集吧，            
(3星)	 豆瓣怎么没有有个选项是 看到一半不想看了的。            
(4星)	 纪念曾经浴血奋战的中国军人。            
(3星)	 太磨叽            
(5星)	 岂曰无衣 与子同袍            
(5星)	 并不是说电视剧有多牛逼~只是能拍到这样程度的战争片在国内确实不多            
(5星)	 有人说了很多。反正我很喜欢。像河水一样在我心里默默流淌着            
(NA)	 附带要提的事是:使我看这剧的某二人在收到风声后/这剧被炒热前就把40多集干掉了.            
(5星)	 荡气回肠，摄人心魄！            
(4星)	 真的好爱啊            
(NA)	 招魂~~            
(1星)	 我真佩服我的耐烦心，前面整整15集，不知所谓！            
(4星)	 名如草芥            
(5星)	 我就是为了JQ而生！龙迷天道啊= =还有，标签里面竟然没有娃，怒。            
(5星)	 比我想象的要好！            
(5星)	 总是被一种信念感动着。即使貌似离我的生活很远很远。            
(5星)	 也就是说国民党的兵才能这样肆无忌惮！又在中国的军事电视剧里看到人了，真不容易            
(4星)	 骂的好而且骂的妙            
(4星)	 没有想象中的好，略显拖沓            
(3星)	 看的太多了会有点恶心~~            
(5星)	 jq澎湃。邢少您太帅啦            
(5星)	 千言万语，而又无话可说            
(4星)	 更喜欢小说里的结局，苍凉的悲伤            
(5星)	 王八盖子的，大陆也能拍出这样的连续剧了            
(4星)	 今天看了三集、要不是没空还打算继续呢。            
(5星)	 哈喜欢迷龙呀。。。滇缅之战好。。刚刚从云南回来，走过滇缅公路。。。——————其实真的满好看的。。当时就像如果士兵突击么许三多就好了。。。那帮男人实在是太灵太灵了。。。everyone!!            
(2星)	 真的没有人觉得这个剧烂么？真的没人觉得这个剧做作么？            
(4星)	 就是想看那几个鳖犊子，哈哈，真不错            
(5星)	 伟大的中国军人             
(5星)	 编剧课堂            
(4星)	 兰编剧就是一腐男            
(5星)	 在战争的背景下兼顾了爱国主义和人性教育            
(5星)	 难得好剧，反应了战争背景下小人物的抗争，人物并非高大全，主题并非主流，不需所有人看懂，重要的是我们要记住：国民党是抗日主力！            
(1星)	 看到前期宣传，觉得是反日题材，2009/3/9凌晨东方卫视第8集中间，“发现白毛巾日军”，没有叫“鬼子”，而是叫“日军”，在东方卫视看第3至9集，随后尾随江苏卫视，语言很生动，符合各人物不同特点，“渡江救孟父”情节太屎，其后情节越来越屎，烦了和龙越来越像演话剧，脱离真实，而一帮吊儿郎当军纪散漫的丘八也能打败训练有素的日军？没天理了！3/20夜于搜狐电视-高清影视剧看1、2集，3/25凌晨江苏卫视大结局，该剧丑化国军素质、贬低日军战斗力，令人失望透顶，1星烂片！            
(5星)	 段亦宏从来就很有鬼力            
(5星)	 这帮人演的太精彩了！！！            
(3星)	 很多看不懂；总的感受：人性是复杂的            
(4星)	 没有像士兵突击再看一遍的冲动            
(4星)	 剑走偏锋，没有正规军的悲壮，充满炮灰的可悲，讲出了当时的败，讲出了当时的惨烈，胸膛露出来也就无所谓了。可惜结局不好！            
(3星)	 我能只给三星么？难不成九大神的热血剧本总还是不适合电视化吧            
(5星)	 目前中国最好的抗日题材电视剧。            
(4星)	 很贫很热血很悲壮很好看。            
(1星)	 一群瘋子，唱戲的，說風涼話的            
(5星)	 http://blog.sina.com.cn/duanyihong這個男人太有魅力了！            
(5星)	 看完了，没士兵突击过瘾，但可以了解一点点远东军的情况            
(4星)	 应该还可以更好的~太啰嗦了（枉费我每天凌晨守候）~我纠结于虞啸卿这个角色~我觉得结局不理想~            
(5星)	 09-04-19早晨6点看完 一个星期左右加几个通宵 虽显罗嗦但看完不乏感触 是个好片~ 国难当头，岂能坐视！！！            
(NA)	 士兵突击之后，再次看康红雷的作品。东方卫视3月5日首播，TMD广告就是多！            
(3星)	 同意思伽博客里的评价：编剧写飞了，导演导飞了，演员演飞了。            
(2星)	 很扯            
(5星)	 妖孽和痞子式的悲壮，深得我心            
(3星)	 很憋屈和窝囊地看完了。            
(5星)	 熬夜看我容易么？            
(3星)	 节奏有点慢            
(5星)	 好片。。。            
(4星)	 喜欢每一个角色，也很喜欢剧情和场景的设定，剧情有点拖沓了..            
(3星)	 张译咋这么碎嘴子了, 演戏的痕迹太重了唉, 失望, 可是我喜欢的家伙唉其实后来看不下去了            
(2星)	 实在看不下去了……             
(5星)	 虞啸卿这个孙子！            
(NA)	 只要别拍的太做作就行 北京台那个片花看着还成            
(4星)	 给个评价还真矛盾，时而三时而四，是对里面语言行为搞笑的肯定，还是对过多话语剧情拖沓的厌烦？是对情节的否定，还是对那段历史的怀疑，或是对那时那地的理解？请允许我说句，王八盖子的瘪犊子玩意儿。。。你要让我来呀。。。。            
(3星)	 导演在剪辑方面有硬伤，我爱的这些人那            
(5星)	 值得缅怀——缅甸的那些战争            
(5星)	 生存 荣誉 信念还有苦中寻乐            
(4星)	 关于远征军，关于我们的历史，关于真相，可以了解更多            
(3星)	 其实朴实地讲故事更好！            
(5星)	 249……            
(NA)	 爷们必看            
(2星)	 从文本到影像一定会损失太多东西，但是拍得这么差，只说明导演能力问题            
(NA)	 有点失望            
(3星)	 撑，你就撑死算了。            
(4星)	 被散文化和魔幻现实化的战争。            
(3星)	 看了两眼，失望            
(4星)	 看了书才看或许更合适            
(3星)	 期待越高，失望越大            
(3星)	 期待！！……            
(NA)	 士兵突击的盛况不再            
(3星)	 我怀疑电视台自己瞎剪来着            
(5星)	 没看完，有机会下全了再看一遍            
(3星)	 跳过慢的看不下去的部分直接看结尾，还行！            
(5星)	 前四十集一直当喜剧看来着 后三集看的心都要碎了            
(NA)	 迫不及待地想看.            
(5星)	 精英让炮灰给代表了，于是精英们愤怒了。            
(5星)	 贱兮兮的团座大人真乃世间一妖孽也            
(3星)	 有点长。            
(5星)	 班长 班副 袁朗 段奕宏 段奕宏            
(3星)	 我是冲着人才去看的，有韩剧倾向，也有感动的地方~            
(5星)	 很用心，也感人，但在剪辑上确实有问题，影响了观众的理解            
(5星)	 需要时间来沉淀的电视剧，是一部好作品。            
(5星)	 撒花!!!!!!            
(3星)	 这个条目是我加的，我很高兴。可是，这不是一部能够让我看得下去的片子。也许是我的问题。            
(5星)	 只有爷们才能活下去            
(5星)	 妖孽龙文章            
(5星)	 死啦死啦            
(5星)	 这是我觉得最好的国产抗战片。一帮疯男人的成长故事。没有高大全，只有鲜活的小人物。            
(5星)	 虽然有拖沓，但编剧和演员都够劲，足够戳痛那根麻木已久的神经            
(5星)	 人物性格饱满，对吧，看过不后悔！            
(5星)	 没办法评论，最爱的电视剧了。            
(NA)	 还是看书吧~~            
(4星)	 很多年前看的 其实挺有深度 只是大家好像不太习惯这种表达方式。。。            
(4星)	 中国拍出这样的电视剧不容易。            
(5星)	None
(5星)	 军人，中国军人！            
(5星)	 很客观，很感人...            
(5星)	 有些地方文艺过头了我看不懂。。。人物刻画还是很成功的为了所有为国捐躯却被今人遗忘的国君将士，必须5星            
(5星)	 我常哼那个二人转调调了~~            
(5星)	 忽略剪辑上的问题  好故事 好人物 好啊！            
(4星)	 这种幽默...            
(5星)	None
(5星)	 只记得那句连名字都不知道的小蚂蚁高喊的那句：“少年中国有希望！”推荐大家有时间的话一定要好好看一看！            
(4星)	 为了段老大            
(1星)	 一点都没看懂            
(NA)	 迷龙和他老婆OOXX时马赛克用唱戏，有创意            
(3星)	 31/32集的沙盘推演太恶心。沙盘推演要推的是全局，虚拟的战事画面却全是细节上的枪枪炮炮，一点看不出全局演变，偏偏还搞那么久。后半部分各集回忆太多，似乎是要把集数凑得越多越好。结局很恶心。虽说或许确是写实。            
(5星)	 大爱,但结局没看完,看不下去            
(5星)	 风云起，山河动，黄埔建军声势雄，革命壮士矢精忠。            
(5星)	 和《士兵突击》并列成为我最喜欢的军旅剧=v=            
(3星)	 没看完，好憋闷……            
(NA)	 很好 很牛逼的故事 集6，81,3,32很K  25后几集好玩 小醉挺好看 音乐搞得很棒 时而宏大庄严时而动情 帮助全剧成为一部严肃的作品 缺点是中间有些拖沓 完全可以精简数集篇幅 但总体比亮剑好看多了             
(NA)	 重看第二遍，再次感叹，拍得真好啊。            
(5星)	 第十集是个转折点，后面的看起来比较引人深思。            
(4星)	 除了烂尾外，此片一切的东西都是别具一格。。。            
(5星)	 我们太爱安逸。连命也不要就要安逸            
(3星)	 国民性：漫不经心和听天由命;爱安逸，比命还爱!希望！            
(5星)	 伟大的电视剧。。。            
(5星)	 一看再看，哭着，笑着            
(5星)	 很有史诗的意味            
(4星)	 中国人死于安逸。            
(5星)	 难以超越！            
(5星)	 给你一个认知以外的抗战景象，不是每个人都不怕死，关键是他们怎样死去~笑着笑着就哭了~            
(5星)	 圣剧！            
(5星)	 唯一一部我看过三遍以上的国内战争电视剧~前儿在微博上看到：岂曰无衣，与子同袍。一下子就想到死啦，恩，有些记忆是难以磨灭的。            
(5星)	 继士兵突击后，兰晓龙的有一部作品，中国的远征军，滇缅公路，很是壮阔，兄弟情深，男人的戏，有血有肉，很好看~            
(5星)	 上敬战死的英灵，下敬涂炭的生灵，中间的敬，天地间的良心。抗战片本来就不该纯宣扬复仇和敌人的丑恶什么的，是应该看清楚自己。            
(5星)	 想当年看的我热血沸腾啊....            
(3星)	 一群兵痞的搞基片,还好没有许三多那么欠抽的傻逼.战争不过是痞子打群架的升级版            
(4星)	 师座，我的命啊！            
(4星)	 没看完整，但记得一句台词，“我这辈子最大的错事就是没做过错事”。            
(4星)	None
(5星)	 正视历史            
(4星)	 可以的！            
(5星)	 超级好看。。。            
(NA)	 都是抗日 都为国捐躯  就因为站错了队 他们被遗忘在历史的角落  你大爷            
(3星)	 还是喜欢小说……            
(5星)	 真TMD过瘾，，，好久没有这么放声笑过了，人，中国人，战争时期的中国人，很有意思            
(4星)	 很特别。            
(5星)	 虞啸卿很清楚用语言对付那个油滑家伙他实在力不从心，于是我眼花般的看到他脸上那一闪而过绝难得见的孩子气，铁面皮下绽放出隐忍克制的半个笑容好似包裹着某种骄纵宠溺的力量：“继续吧，还有什么便宜可占，你这个偷鸡摸狗的天才。”            
(3星)	 当年被人遗忘的越战            
(5星)	 士兵的前世今生            
(5星)	 都是一块做猪肉白菜炖粉条的主            
(5星)	 两年以后还能时不时想起我的团。有人说，剧情太过余长。即便如此，比起剧情更长久的是从中得到的思索。            
(4星)	 诡异啊喂，太特别了            
(NA)	 那些铁血的男人们·            
(5星)	 我看过的最好看的一部电视剧，没有之一            
(4星)	 这结尾也忒仓促了吧，晓酔呢。。            
(5星)	 如果说还有欠缺，应该是结尾的处理部分吧。如果你想懂它，建议看完了书再看，再旁敲侧击自作聪明的去温习那段历史。            
(5星)	 我反复看了5遍，每半年就看一次，如果有点电影拍的想电视剧，那么这部就是披着电视剧外衣的电影故事            
(5星)	 我的信仰            
(NA)	 不错            
(5星)	 大部分人都爱看欧美影片，提起中国影片，就跟谈中国足球一样，其实不然，中国不缺优秀的演员、优秀的影视，因为中国的政治与体制。当局能允许拍国民党的事迹吗？政府的限娱令，“第一枪”就把欧弟“毙了”，好与坏谁又能说清呢？中国影视的壮大，要等到70后的人死绝了才会有望！个人评价此片，前无            
(NA)	 不知道为什么这部电视剧对我影响很大，具体的说不太清楚，一种潜在的影响            
(5星)	 军旅剧里的又一朵奇葩            
(4星)	 真实..最真实的抗战..不再是一颗手榴弹炸死一堆人的那种红片!!!            
(NA)	 我喜欢张译在里面的独白，很情切，感情丰富，真实！            
(NA)	 大概是唯一一部瞄了眼从头看到尾的国产剧            
(5星)	 这是目前看到最好看的中国电视剧，中国战争剧。大多数都是小人物，更真实。虽然小说更好些，但这部电视剧基本再现了小说的大部分！            
(5星)	 这部连续剧，加上小说，我反复看过好多遍了吧，很多句子现在依然张口就来。真是喜欢的。爱。有人说它拖沓，我要说，甚至它的所谓拖沓我也爱。生活哪能见天儿那么多生死考验啊，生活，有其本源的琐碎的一面。但有个念想活着，真好。真的，为信仰活着，经历次成长，就算把命押上，也值当。             
(NA)	 其实没看完，但是我表示我明白            
(5星)	 最爱            
(5星)	 好剧不仅值得观赏，更值得回味            
(4星)	 我看过的大陆电视剧里，最有意思的一部。            
(5星)	 一群鲜活的人的故事，怎不让人动容。            
(5星)	 我必须给出五星，它是对我影响巨大的一部电视剧。远征军鲜活的魂魄，拨开浓雾，从书本里，从剧集中一个个走出来，走近，满脸泪光。。。。。            
(5星)	 最牛逼战争剧没有之一            
(3星)	 那股士兵热还没散去，还行，只是想看看原班人马们，可惜缺了三多。            
(5星)	 我想给六颗星..            
(3星)	 节奏慢的要死的渣滓片，没有共产党能死啊，讨厌段奕宏~            
(5星)	 拍完士兵后康导想必背负了太多的压力，他想赋予团长足够饱满的灵魂，但电视机屏幕却是狭小的，这部像极了电影的电视剧一播，太多东西直接溢出了电视屏幕，有点过犹不及的味道。但这无损他的优秀，团长士兵过后，暂无国产电视剧可如此笑傲同侪，即便是他们的“前传”《生死线》。            
(5星)	 跟小说比的话只能打三星 居然砍掉了那么精彩的结局还让张立宪自杀了啊尼玛！！不过要是真的拍出来了估计也不忍心看 搞得劳资这几天郁卒得要命 Anyway 国产军旅剧里已经是难得的佳作了            
(5星)	 偌大的中国，却放不下一张安静的书桌。            
(5星)	 简直像是电影，还最牛逼的那种。            
(4星)	 电视剧版的结局拍的不是很完美             
(4星)	 前边真挺不错的，后边就烂尾了，最后十集不要最好            
(5星)	 看虞啸卿每次对章章动手动脚，然后章章一脸极力压制心中小火苗的小受表情就觉得受不了...这俩人也太腻歪了！干嘛不在一块儿啊真是！            
(5星)	 惨烈程度超过了拯救大兵辛德勒，虐屎了            
(5星)	 我看过的最好的国产战争片。            
(5星)	 一群没有自尊的人，有了梦想会怎样。            
(5星)	 就他妈没看过这么好的电视剧！            
(4星)	 高三那时特迷。。。            
(NA)	 我真的是在山里偶遇剧组了。。。当时吓死我了＝ ＝            
(5星)	 被死啦死啦一脚踢翻的孟烦了，还有那句截然而止的“往前冲的是杨六郎……”很无敌很无敌……妖孽龙文章~            
(NA)	 跟《长安乱》似地电视剧，非常，好看！            
(5星)	 看过N遍了。            
(5星)	 不是一般的战争片，是有血有肉有能让人产生共鸣的抗日战争片            
(5星)	 走啊，我带你们回家            
(5星)	 唯一一部看过3遍的国产电视剧，像我的团长致敬....            
(5星)	 国内最好的电视剧            
(3星)	 比书差太多太多了，拍的很混乱啊。。。。烦啦一颗星            
(4星)	 不怕死，就怕不安逸            
(NA)	 不如士兵突击。            
(5星)	 力荐这部片子，告诉你什么是真正的残酷，什么是人性，什么是真正的伟大。不玩儿花哨的东西，不哗众取宠，残酷再残酷。只能看一遍，太虐了            
(NA)	 绝境中的一个疯子组建了一个疯子和傻子混合团，尤其记得死啦死啦团长说：“我带你们回家…… ”            
(5星)	 不会再看第二遍的片子，真的太伤心。又哭又笑，边哭边笑。就算是再喜欢，真的不会再看第二遍。是喜剧让悲剧，更悲剧的。我爱这帮爷们，爱死了这帮爷们，是每一个人。战争是残酷的，我想，我再也不会把这句话当成笑话了，兴许会哭出来也不一定呢......愿世界和平，再无战争。            
(5星)	 为了铭记这段历史            
(4星)	 这几年男人戏爆红。            
(2星)	 国产剧演的真拖拉，看得累。。。            
(5星)	 男人要不看，白长你爹给你那JJ了            
(4星)	 说实话，有点失望，话剧成分有点多了            
(5星)	 编剧写的比较好，电视剧结尾剪的太烂了。            
(5星)	 烦啦烦啦 小醉小醉 嘿嘿            
(5星)	 人性的战争            
(4星)	 超赞的演员，爆闪的剧情，都让陈腐的剪辑给糟蹋了，并且阉割了一部好剧本            
(3星)	 冗长            
(5星)	 大陆史上最好的电视剧，没有第二；你可以不男人，但你不能不看这片子。            
(5星)	 团长。            
(5星)	 电视剧中的战斗机。。            
(4星)	 挺人性的            
(5星)	 今天的国民习惯性鄙斥日本对历史的篡改   可是   GCD又何时正视过历史呢谁都知道抗日战争国军才是正面战场   而不是靠几个游击战就可以解决的国军兄弟们  你们死得好冤啊   希望有一天事情能成为它应该成为的样子   偿还你们该有的荣誉             
(3星)	 可以给6星吗，给小太爷            
(5星)	 算是有诚意的国产战争片了。            
(5星)	 太好看了！！！！昨晚边看边在宿舍嚎啕大哭            
(5星)	 缺点是 有点点拖 前后有些地方缺乏连贯性            
(4星)	 有点注水~~            
(5星)	 这是最好的抗战片，目前没有之一            
(4星)	 不同以往的抗日影片，里面大部分时间就是在扯淡、胡搞，好多时候看着剧情的发展都是窝火的，老没事找事的弄些其他的；估计因为不是我D军队，才会及可以出现这种情况；很多对白都有些莫名奇妙，这个估计是自个儿修为不够，但却是影响观众群体的一因素；冲着士兵突击来看的，感觉差别还是很大            
(5星)	 虽然有很多拖沓的地方，甚至有些地方很烂！但是哭哭笑笑的真实情感依然无法掩饰我多么的喜欢            
(5星)	 抗日剧难得的经典            
(5星)	 人类、人性。。。大时代，小人物的抗争与无奈            
(NA)	 忧郁            
(5星)	 妖            
(5星)	 理想与实利还是平常心，每个人的状态表现得不错。            
(5星)	 一部战争史，一个真相            
(5星)	 住在腾冲的一个月里，断断续续的看了几集。回到湖南开始从头看到尾，编剧太棒了！另外一种讲法呈现历史。            
(NA)	 热血            
(NA)	 中国军魂永垂不朽            
(5星)	 才8.3分？现在越来越怀疑豆瓣的水准了，士兵突击那种不可信的政治垃圾都能评到9分？不只是远征军，在抗日战争中为民族自由独立而战的每一个中国人都是英雄！在抗日战争中为国捐躯的烈士们永垂不朽！            
(5星)	 相比许三多我还是喜欢聪明一点的男人戏。贫，怎么啦？贫也是一种生活态度。            
(5星)	 电视剧看了3遍，书读了2遍。很想说点什么，但是在无语。只能说，这是我们自己的故事。一开始，我就很讨厌孟烦了，因为看到他，就像看到我们自己。我们也想成为团长那样的人，正如林所说的那样。但世事无常，不停地嘲弄我们，到底能否坚持：“我只想事情是他原理的那个样子”？            
(5星)	 个人认为国剧抗日题材最好的电视剧，也是至今国剧里面最好的看的。我很喜欢            
(5星)	 真心认为是好剧书更好看            
(5星)	 反复地从头看，一直没敢看到最后——到终于连着小说一起看完，最后那段没拍很可惜            
(5星)	 蛮好看的            
(5星)	 在最对的时间出现最对的一部戏，尽管存了那么多的缺憾。居然帮助我撑过一个难熬的困境。现在来说，还是团长说的，我们每天都在吸进灰尘，但是不妨碍我们把事情做得更好一些。可是在生存困境面前生是本能，可是温饱不忧之时呢？团长没说，更好永远比最好更难。            
(5星)	 有时间一定会给它写长评，持久感动我啊……二十年生命中看过最深沉最痛楚的电视剧，它如此美丽。            
(3星)	 情节太过拖沓, 硬搞成43集,其实可以剪得再紧凑些            
(5星)	 用这样神经质的色调来拍一部战争剧是需要莫大勇气的，但也因为掺杂很多方言和文言让受众群体减少，它其实体现了博大的政治胸怀，让我们能正视抗日中国民党虽然单薄但执着的平民信念，当然，以现在的时势，也只敢如此解读国民党了，也当然，这样的平民信条其实在当时来讲无所不在。            
(5星)	 一直不敢看电视剧，只能把书拿出来看。然后又控制不了想看电视剧，反复这么纠结着纠结着，就看了……然后果然就不能控制自己了。            
(5星)	 炮灰们的人生，团长和这个炮灰团，般配            
(5星)	 如果看进去这部戏 你才会发现他有多棒。            
(3星)	 跟舞台剧似得拖沓夸张，看的很累。想喜欢但是喜欢不起来。            
(4星)	 瑕不掩瑜。出演这部电视剧的演员想来都演得很过瘾。            
(1星)	 什么亮剑 我的兄弟叫顺溜 我的团长我的团 雪豹等等 整个电视台就播这些垃圾片 没本事就去打日本连续剧倒是很来劲 没意淫一天你他吗会死？老子过来喷的 不爽点顶             
(4星)	 看得挺无奈，但却让人感觉真实。            
(5星)	 一部从未拉过进度条的电视剧            
(5星)	 经典中的经典~            
(5星)	 有没有恨虞啸卿的，说得再好，他出卖了自己的兄弟            
(5星)	 毫无疑问！这是最好的国产战争剧！！！            
(5星)	 我的团长我的团，让事情是他本来该有的那个样子。            
(5星)	 我心中的最爱，没有之一。            
(NA)	 看过，但是我给不出评分。            
(5星)	 一部轻易不要看的电视剧             
(5星)	 国难当头，岂能坐视？死都不怕，就怕安逸！            
(NA)	None
(5星)	 應該給6星            
(5星)	 已经不是简单的评分了，这部剧对我的影响深远            
(4星)	 岂曰无衣 与子同袍            
(5星)	 同样一部承载着我众多萌点和CP的长篇，其实我非常非常喜欢这部，但是貌似它没有士兵突击那么受大众欢迎——比如说我父母就不喜欢，觉得它冗长又乏味。可是我是真的爱这个，老段演的团长吸引了我所有的目光，他在这里面的表现比在士兵里的老A还要引人注目。但此剧很虐，那一群兵，活得兵不容易。            
(4星)	 喜欢他们的语言，逗趣            
(5星)	 台词太欢乐了。。。想起来都会笑~~~~ 大爱迷龙~~~ 哈哈~~~            
(5星)	 中国远征军            
(5星)	 真的值5颗星             
(5星)	 其实感觉兰晓龙三部曲中这部是最沉重的一部，可能是很多人对抗战中印缅公路战斗这段历史不了解，所以没太看进去。真的是一部好片子。            
(5星)	 最爱的剧没有之一            
(NA)	 刚看完，千言万语，先说一句：我爱我的团长！死啦死啦，龙文章，段奕宏！            
(5星)	 里面探讨国民性还是不错的            
(NA)	 我看过的最好的电视剧            
(NA)	 挺好的有点感动，有时候有些搞笑，还有时候回事心酸            
(5星)	 岂曰无衣，与子同袍。            
(5星)	 在国内少有的经典影视！！不多说，五颗星            
(4星)	 孟煩了自己都說出來了 【它只是個老頭子發的力不從心的春夢罷了】            
(4星)	 稍嫌冗长。这部电视剧有那么点儿沉重，这便是战争时人们对生命的渴求、对希望的期冀的过程中该付出的代价。笑过、哭过、叹气过，这样的电视剧才是战争剧该有的面貌，而不是一味地英勇无畏、敢于牺牲。            
(5星)	 拍国军拍得毫无压力。            
(4星)	 原来不止是电影啊            
(5星)	 我最爱的剧！！            
(3星)	 小说貌似更好……            
(5星)	 中国目前最好看的军旅片，没有之一            
(4星)	 跟士兵突击正好相反，前面太拖沓，后面够精彩！演员真的很到位啊！台词是个问题，可以说，成也台词，败也台词。            
(4星)	 看的不多            
(5星)	 “炮灰团”的“炮灰日记”。陈述上有故作深沉却实足俏皮的嫌疑。幽默得没那么黑色；总之，看来很搞笑就是了。            
(5星)	 活下去，最真实的信仰            
(5星)	   我到现在最喜欢的电视剧，10年之内不会改变，已经看了好几遍，每次都能体会很多，感觉很简单的一部电视剧，却又感觉哲理很深，            
(5星)	 还能拍出比这更精彩的影视剧吗？            
(2星)	 意外这片子得了这么多五星，强迫自己看到二十四集，实在坚持不下去了，故事本来不错，但拍摄节奏拖得让人忍无可忍，十分之一的部分打仗，十分之九的部分全打诨，演员台词太绕，一句话能说清的非说它几十句，太多“有意义”的台词堆在一起成了无意义，煽情过头，过犹不及。纯粹看在士兵的面上给它三分。            
(5星)	 爱团长，            
(5星)	 看的是书，很震撼            
(5星)	 欢乐总在一刹那，接着就想哭            
(4星)	 曲高和寡            
(5星)	 好看            
(5星)	 。            
(5星)	 实在是太喜欢段奕宏 和张译了！！演的那种贱兮兮的精明样真的让又爱他们又想煽他们！！非常的感人！！            
(4星)	 有时间我一定要再看一遍            
(4星)	 拖了快两年，总算是完整看完了剧和书，如果能把书的后面部分拍完就好了~国内真正有反战意味的作品不多，这个算一部~            
(4星)	 仇恨的力量，及那些似是而非的东西。            
(5星)	 国军抗战开始登上荧幕 滇缅抗战有人关注了            
(5星)	 我看过最好的最有意义的电视剧            
(3星)	 旁白太多            
(5星)	 很多人觉得它不如《士兵突击》好，我却觉得，它远远超越了《士兵》            
(5星)	 真实、深刻            
(5星)	 国军在战场上....            
(4星)	 嗯，小说看完才接触的电视剧。            
(NA)	 沉重的历史，不错的演绎。            
(NA)	 其实至今都没太明白 看原著的时候也很绕            
(5星)	 小说更好看            
(5星)	 我去！竟然没上9分？！闹呢？姐唯一一部买了正版DVD的剧集噯～～～=。=            
(5星)	 中国兄弟连，电视和小说一样好看            
(5星)	 经典            
(5星)	 后劲不足的佳作            
(5星)	 我的最爱            
(5星)	 关于现实和灰飞烟灭⋯⋯很耐看的片子，或许过些时间回顾的时候，又能有不同的感受吧。            
(4星)	 为它的结尾减掉一颗星            
(5星)	 看完很久都没有缓过来 忍不住一遍又一遍看...整部剧都很精彩 25集之后尤其好看            
(5星)	 去年最后几集还没来得及看~~~            
(4星)	 那个共产党的学生真恶心，假的很，空谈，果然是有传统的。这部片子让我对远征军的历史产生了极大的兴趣，还看了《父亲的战场》，记得看到那个阿译带他们在河边唱从军歌的时候好感动喔，            
(NA)	 我是炮灰            
(NA)	 无题，各人心中有个人的一份感动。            
