http://movie.douban.com/subject/2989755/	命中注定我爱你 命中注定我愛你
(2星)	很拖很拖的剧情... ...
(5星)	虽然很狗血 又哭又笑的也还蛮好看额
(3星)	越看越没劲
(4星)	看偶像剧就像玩过家家，有简单不复杂的人情世故和脱离事实温暖人心的作用
(4星)	后面的部分感觉有点拖泥带水。
(3星)	命中注定我赖你……这被用烂的一夜情阿。
(3星)	拖沓啊~看得我累
(NA)	……
(5星)	偶尔发梦也很快乐
(4星)	最喜欢陈楚河。。。
(3星)	忍不住又开始俗一次，再看一次台湾偶像剧
(4星)	等我从苏州回来再写影评好了~
(3星)	男女主角还都长得不错 还比较搞笑 内容还不算墨迹 基本符合偶像剧的宗旨
(NA)	好吧 让我寒假来看吧~
(3星)	我爲什麽要看這個！？
(NA)	嗯，只是瞄过几眼。。。
(3星)	忽然有一天，想找一部偶像剧来看。想起了这个。
(2星)	为什么收视率这么高？剧情完全是个笑话，两颗星给男主，可惜剧里形象也不是我的菜
(NA)	因为杨宗纬的简短翻唱而简单地看了看。。
(5星)	赞~追了二十四个星期呢~
(3星)	止于第10集
(5星)	我的快乐，会回来的
(4星)	看好...我白痴了&gt;.&lt;
(4星)	看它是因为都说陈乔恩像我~
(3星)	希望安娜能有一个好归宿
(NA)	我真的看了。。
(4星)	原本以为很小白的偶像剧，却带给我意外的真切感动
(3星)	还是这么的言情偶像剧。
(4星)	温暖~
(5星)	大家很怀疑我，可是这部剧明明就很好看
(5星)	太好看了。
(3星)	老套的台湾偶像剧。。。除了小天很帅。。。台剧能不能有点出息
(NA)	特佩服自己,竟然哭了
(3星)	因为一个人的一句话看得。。。结果。。。物是人非~！
(4星)	这个必须看一下
(3星)	大一疯狂的日子
(4星)	便利贴女孩~兴起
(3星)	拜託陳小姐不要三十歲人還老作灰姑娘好嘛
(4星)	后面的几集，当真是画蛇添足
(4星)	温暖
(2星)	讲到收视咁高其实都喺弱弱智智。
(NA)	不好看
(3星)	一眼就看出xxoo时的穿帮镜头。。。
(5星)	很喜欢的～～
(3星)	台湾偶像剧中还算好看的了 小天真可爱他们讲到畺王爷都会双手合十 很搞笑那个特助的花轮发型很搞笑 还有拉链嘴也是把上海拍的很美 尤其小天掉进去的那个水池 背景的绿色大树颜色真美 据说是徐家汇公园的 我要去考察
(5星)	当年那个追啊
(4星)	^_^喜欢阮经天
(NA)	小天天暴粗口简直帅疯了~~~~~
(2星)	瞎~~~~
(NA)	不想给星星，不喜欢陈乔恩，貌似这人出道好久了呀
(4星)	如果坚持看完它 你会爱上小天滴
(4星)	对这种轻松活泼搞笑外加一点小感人的剧还是蛮有爱的。
(3星)	那只狗狗很可爱
(4星)	如果不是台湾偶像剧的白痴程度降低，那一定是我的白痴程度上升了。没救了没救了。看了一个通宵，看得眼睛肿肿，晕了一天。
(NA)	帅哥+搞笑+煽情+陈林西施
(4星)	过年的时候看的。。。豆瓣居然推荐给我。。。有几个桥段是跟着哭了一阵子的~~
(3星)	后继乏力。
(5星)	为什么看这么多影评都没有一篇真的写入我心
(4星)	存希这个社长形象设置的不好 没有体现出他的能力来 都是一些肤浅的东西 虽然故事很感人 所以四星。
(4星)	Destiny 
(4星)	这个片子在同类型里算是编的还有点逻辑性和戏剧性的。一开始。真的为了小天看。后来。这个剧情也未免拖太长累。看的我一直拉。其实我觉的只要看每集最后的预告就ok了。根本不用看片子。
(3星)	卧床不起...没硬盘的日子...快速拖拽式
(NA)	便利贴女孩。
(3星)	对偶像剧不能要求太高。。剧情太天真太琼瑶。。唯一的看点是小天，他真是天生尤物。
(5星)	阮经天哈哈太帅了！！！
(NA)	笑中有泪
(5星)	纪宝贝
(4星)	情节简单，但是依然好笑
(5星)	够娱乐，这就足够了
(3星)	前九集是精华所在，后面莫名其妙
(4星)	很久没有如此着迷一个偶像剧。虽然女主不够漂亮，但两个人的演绎挺让人感动的，其中一些搞笑情节也让我放松开心不少。
(5星)	虎头蛇尾了~
(5星)	阮经天好帅啊
(2星)	没看完，看不下去了···
(3星)	还行 就那样
(NA)	虽然剧情很瞎，但还是赚了我一把眼泪。
(3星)	我似乎一共没看几集…… 而且看的几集全是拉下来的……  电视剧就是用来拉的 !!
(5星)	偶像剧拍成这样很不错了
(4星)	灰姑娘情結爆發。
(3星)	戴眼镜的女生蛮可爱
(4星)	越看越觉得阮经天可爱~
(4星)	爱情.它最好笑的是,它没有预告.它最荒谬的是,不知道在演什么.                By 陈林西施女士.
(4星)	虽然我没看完
(NA)	音乐不错。
(3星)	陈楚河……对他的身世很感兴趣，捏哈哈~
(3星)	很普通的剧情但追起来却很沉迷
(3星)	剧情好老套噢，不过小天真的很帅啊！！！
(3星)	2009.8 这段时间早上10点半到11点半在翡翠台看的。本来对种偶像剧很反感的说，觉得一点意义没有，可是妈妈居然要看，结果也跟着她看，发现其实也有小小的温馨和感动。爱情真是盲目的，放着Dylan这么好的男人不选....
(4星)	为什么我永远是喜欢男二号~~
(5星)	便利贴···
(3星)	打发时间
(3星)	一开始很好看，可是后面拖得太长了，就没兴趣了
(3星)	我第3次下载了又删掉了 刚出的时候只看了一集 然后就都删掉了 老梗到没有什么欲望看下去 后来又下载了5集只看到2 又删了受不了女主角的长相 暑假没什么好日剧 又下了 坚持看到去上海 又看不下去了 我命中注定看不到他们的结局了 不过不用看也知道了
(4星)	台剧里比较好的一部，中间有点啰唆。
(4星)	很有爱的说~~
(3星)	又臭又长。
(3星)	不用脑子但是很老套的剧情～大暑天在家可以慢慢看～为最后拖沓的剧情减掉一颗星~
(4星)	haha,不错，超爱小天
(1星)	ANTI陈乔恩的青年乡土剧!
(4星)	        不怎么看台剧，不过这部算是看过里面比较不错的，故事和现实生活有一些交集，不过现实中恐怕难有这么美满的结局吧。演员的演技也是不错的，尤其是陈乔恩演的很好，美中不足就是最后接生的画面太扯了。其实我最想说的是陈楚河这个黑社会老大的儿子让我花痴的毛病又犯了。呵呵.....
(4星)	偶像剧的高峰制作。熬夜看到，一个人泪流满面，给当时的男人打电话，边打边哭，他在电话那头完全被我弄傻了。确实好看，因为每个人都是便利贴，每个人都可以找到另外一个自己……只是因为收视率太高，剧集拉得是只能说又臭又长了
(NA)	相信爱，但别信偶像剧。
(5星)	从剧情中学到很多
(5星)	又哭又笑得看~我把暑假獻給了這部劇~我的作業啊~~淚奔~
(4星)	台湾媒体炒到不行，开头还好，喜欢里面的配角，林美娇，是这名吧
(3星)	其實係3星以上四星未滿。奶奶好可爱~低能好帥~
(5星)	天哪！！！从白天看到凌晨，算是看完了吧？  没有力气了。。。就这样吧
(NA)	很好看~
(5星)	一场车祸改变了一切...
(4星)	想当年为了这部电视剧，每个星期必然会守在电脑前等待等待……
(4星)	我不喜欢偶像剧，不喜欢台剧韩剧，却发现我总心里喜欢这样一个便利贴女孩。
(5星)	便利贴女孩
(4星)	给一部偶像剧打四星还真是没有水准额……
(5星)	我竟然才在豆瓣点看过。我情何以堪啊！想当初每周一集的时候我就等的要死啊！！！！！太喜欢了
(NA)	小天呀。陈乔恩啊。我的妈呀。超级喜欢这2个人的组合.赞~
(3星)	鬼扯的剧情
(3星)	偶尔做做梦还是好的，只是别睡过头了。
(4星)	剧情老套中有突破，先婚后恋，轻松浪漫是王道。
(4星)	还好啦
(4星)	其实到后面有点看不下去了 但是这剧情吧 还行 当时有点追着看
(3星)	尽管在里面看到了众多偶像剧的泛滥桥段，但想做梦的时候看看这样的片还是不错滴~
(5星)	你会爱上陈乔恩
(5星)	超爱小天。
(NA)	这种偶像剧就是骗眼泪的呀..
(NA)	因为喜欢陈乔恩才看滴~~哎~~套路啊
(NA)	没看完。在寝室里一起看的~
(NA)	花了两天的自习时间看完，哭得唏哩哗啦……原来，还没有老，还看得进去这种偶像剧，呵呵~~
(4星)	命中注定我爱你
(3星)	唉~~每看一个情节就猜出接下来10个情节~~！另外，Dylan真是个不错的男人！
(3星)	看个头和尾就可以了
(5星)	太好看了！！！！！
(4星)	台湾偶像剧难得能在谈情说爱的同时，也讲述了爱、责任和生命的价值这些东西。
(4星)	阮经天啊阮经天
(4星)	小天。我第一次觉得你是很逗得男人。
(4星)	为了学繁体字而看
(4星)	阮经天的兔子脸
(3星)	随便看下还可以 呵呵
(3星)	小天就从小众走向大众了。。
(4星)	其实我很闲。。。
(NA)	四个编剧是比一个编剧强的多
(NA)	从上海回来之前都OK啦
(3星)	配乐给两星~
(4星)	便利贴女孩。。。
(2星)	有点假
(5星)	被彻底打败了
(4星)	o(∩_∩)o...
(3星)	这部戏小天就不帅。陈楚河比较帅。
(5星)	是它让我爱上了阮小天``嘎嘎``
(5星)	呀 高三的岁月里有它呀
(5星)	儿子的名字取得好，纪念品。
(5星)	喜欢这对~
(5星)	情节老套！乔恩巨美！
(1星)	剧情照搬韩剧，太老套了吧？！
(3星)	还是比较喜欢败犬了！！！
(2星)	更喜欢神父~
(3星)	看不下去  
(4星)	男演员挺帅的~
(5星)	它很特别
(5星)	我就是爱小天，爱他欠扁的表情~~~哇咔咔
(3星)	前面蛮搞笑 后面就开始拖沓 无谓的镜头太多 收视率在作怪
(5星)	追到癲。
(4星)	自始至终从一而终地喜欢小天哈~~^o^
(5星)	追剧实在太痛苦
(5星)	难得有这样从头到尾都谈恋爱的偶像剧.哈哈.我超爱陈林西施女士,她在败犬里面也超搞笑
(3星)	其实是大烂片
(3星)	没看完
(NA)	很俗却很有感动
(NA)	看点击率有点高。无聊也是无聊，就这样劳动节三天看了两部电视连续剧。宅女生活不过如此。
(5星)	就是喜欢陈乔恩 哼
(5星)	超好看
(4星)	剧中的某些励志情节给了我小小的激励。我希望终有一天，我也能像Eliane一样，完成属于我人生的完美蜕变。
(5星)	瞎哦，看台剧干嘛也盯字幕啊～
(4星)	宿舍
(5星)	是女孩都要看。特别是平凡的女孩。
(NA)	灰姑娘的故事~
(4星)	笑死啦···XDD
(5星)	非常搞笑!!!喜欢上阮经天了,表现很出色,呵呵!
(2星)	我真的觉得很一般，可是不知道为什么那么火~
(5星)	之所以王子可以一眼看见灰姑娘 是因为王子很忙 需要一个勤劳的女朋友
(3星)	很奇迹，我看这部戏的某些桥段竟然狂哭啊。
(2星)	又是一部终于看完了的片 我果然过了看偶像剧的年龄 。  唉。。。
(4星)	不用动脑子的偶像剧就是看的特别快。不过算是蛮好看的一部，我喜欢看到女主角的蜕变。
(3星)	我从来都是一个大众文化迷。当然做大众文化迷很不容易，我喜欢一口气看完，而台剧真的是很拖沓。
(3星)	最后一集是败笔。
(3星)	纯粹是看了一集就想知道后面的剧情才看的
(5星)	追追追，我来追剧
(4星)	没有误会片子演不下去是不是。。。非要这么虐达。。。
(5星)	便利贴女孩的强大爱情。
(3星)	后面很拖，宝贝很可爱
(3星)	偶尔给自己做个灰姑娘的梦
(4星)	陈楚河 陈楚河 陈楚河
(4星)	断断续续1年才看完，看完后发现喜欢的大有朋友在，问身边的人借个计算机，都有很问：纪存希？
(4星)	命中注定的事情是跑不掉的，o(∩_∩)o...
(4星)	包裹平为时最久的一次强推，偶像剧里的出类拔萃。
(3星)	跟老妈她们一起看的，打发时间的肥皂剧
(1星)	呃，我对这部剧有偏见。。真的无比普通，为什么有这么高的收视率？！
(4星)	连续跟了３个月才看完　好像还不止吧一个星期才出一集　什么破习惯　依然觉得如果明道演究更好了
(NA)	再也不沉迷偶像剧！！
(3星)	陈乔恩一直是我喜欢的女孩子，不漂亮，但让人喜欢。台剧里算精品了
(4星)	好可爱，唔
(5星)	命中的小天 小天的命中
(4星)	作为消磨时间的剧来看它白目的很有趣，主题曲也不错
(3星)	高考前开始播，忍着，高考后狂追，追过夏天，终于精疲力尽
(4星)	虽然剧情有点长，而且其中充斥着台湾人喜欢的身世悬疑，但是男女主人公的深情演绎还是值得一看的，搞笑的东西只是氛围烘托，真正要看的还是爱情的真与切！终于看到一个好的结局！加油！
(4星)	居家旅游~打法时间~必备良剧~~每次男二炮灰都是我的心头好啊~囧
(3星)	看到后来也就这样了...
(4星)	陈乔恩哭得好让偶伤心～～
(5星)	命中注定
(5星)	很好看~   真的有命中注定嚒，期待中，等待中吧……
(5星)	不一般的偶像剧
(NA)	纪存希~~~~~
(5星)	我又年轻了...
(4星)	不是半情歌
(NA)	是因为那个便利贴的定义······
(4星)	后半部分太曲折了点，不过还是不错的~
(4星)	还挺好玩的
(3星)	0.0 妹妹推荐我看的..离现实好遥远啊...爱来爱去 偶像剧也就那样了
(3星)	本来大爱，尤其第8集。后来拖太长，我去了泰国回来发现还有，遂弃之。
(4星)	08年我不喜欢阮经天&amp;大胸部10年我喜欢陈楚河和陈乔恩
(NA)	结尾很雷人的
(3星)	开场总是悲惨的，结局总是美满的。
(NA)	大爱阮经天。
(4星)	当初我也是一个礼拜一个礼拜追下来的，很残很花痴但很爱。
(4星)	还不错..有点搞笑
(4星)	很多朋友推荐的~确实还不错
(5星)	哭哭笑笑但是很感动......
(4星)	后面比较拖
(3星)	22 止
(3星)	在陈欣怡出车祸流产之前，虽然傻，却在持续让人感动；但是在那之后，dylan把她改造成一般庸人，剧情直线走向俗不可耐的境地。到底是没有什么持续力啊。。。
(4星)	平凡如你我，但愿我能拥有一样的善良和单纯。（片尾曲很好听，O(∩_∩)O）
(4星)	越cuo越爱看啊~纠结ing
(NA)	其实还瞒搞笑的
(4星)	命中注定我爱你
(4星)	纯纯的爱 欣怡人超好 存希就是幼稚 ps 就地接生咋那么容易捏。。。
(3星)	上帝啊~这剧怎么这么长？？？
(3星)	我看偶像剧通常是看人.就是冲着阮经天貌似看到了21集.有点失望的是他多次把内地说成了中国...
(5星)	第一部看完的台剧，不错
(4星)	看到十五集，网络太卡，剧情也实在太拖沓，草草看了个结局，算是圆满画上个句号。故事俗套至极，男的霸道女的外柔内刚，边看边骂编剧是个白痴，可自己又偏偏喜好这一套，真是没用！！特别强调，阮经天好帅啊～～～
(3星)	还可以吧
(5星)	第一次偶然，第二次是必然，第三次是命中注定......
(NA)	满好看 阮经天很可爱
(4星)	近期台剧中比较出色的
(4星)	还不错
(4星)	结局太仓促了，有点失望
(5星)	台湾偶像剧的偶像们演技终于有进步。我也想要一个纪社长和一个纪宝贝。
(4星)	不单纯的偶像剧。
(4星)	小天好可耐哟
(3星)	还是喜欢陈乔恩^^
(4星)	哈哈哈哈哈哈哈  搞笑王
(NA)	恩，在北大的时候看的，带着我妹一起看的，很疯狂。
(5星)	4.8
(3星)	陈乔恩比不上林依晨。
(4星)	哦~你大爷的~我疯了~
(4星)	紀寶貝絕對是一個看點!
(5星)	哈灵，演员、剧情、插曲都很灵
(3星)	虎头蛇尾的典型 后面太无聊老
(3星)	真的就内样。。。
(5星)	真的是跟著他哭根著他笑，哎。。。。命中注定阿阮經天，陳楚河 好帥好帥阿！！！
(3星)	no.....
(3星)	阮经天是真有型
(5星)	剧情很不错 编剧编的很好 
(5星)	除了白歆惠身体太大支了一点，结尾部分比较无力外，这部戏对我没什么缺憾。欢笑、感动，以及上海的模样。。。
(3星)	台湾剧真是老套。M大人的推荐有误~
(5星)	最爱
(5星)	Very moving, Very funny!
(5星)	爱上小天
(3星)	开始还可以~后来越来越晕~~
(4星)	08年夏天收视率超高的偶像剧
(4星)	宁做石安娜，莫做陈欣怡，不然你遇到的九个是古驰，一个是纪存希
(4星)	就是长了点
(3星)	搞笑啦。可惜没有SG
(5星)	超级搞笑
(5星)	强力推荐的偶像剧！
(3星)	演技实在不敢恭维，不过还算可乐
(1星)	太难看了吧～！
(NA)	满打发时间的 12j前挺讨喜
(4星)	丑女无敌的第一集完全可以参照这部片子的第一集嘛。。。又是灰姑娘的故事，我还是没有抵抗力。
(5星)	超爱纪宝贝
(4星)	台剧典型的虎头蛇尾，不过前一半我确实有哭够~
(3星)	有点没头脑。。不过打发时间还好
(NA)	算是成功的偶像剧~但还是逃离不了结尾败笔的命运~
(5星)	近年来剧本最最有厚重感的片子！好！！！
(4星)	乔恩，特别喜欢。小天也不错，但是如果，我是说如果，明道演，会是个什么样子涅？赫赫，觉得乔恩的姐姐和姐夫都很可爱，啊哈。
(4星)	应该是最好的台湾剧了
(3星)	前半部还不错
(4星)	收视率高有它的道理 集台湾偶像剧之精华
(5星)	开头比较搞笑~
(NA)	其实还不错~
(3星)	一切都是命中注定……
(2星)	浪费我的时间看到了18集
(NA)	我承认我爱偶像剧多过这剧那剧
(3星)	有點虎頭蛇尾的臺灣偶像劇 前十集還算可以 后面就一如狗血臺劇般 
(4星)	呵呵 最近看到的比较不错的连续剧
(3星)	满傻却也满好笑。。。
(4星)	神奇的偶像剧……
(5星)	已经足够了
(NA)	很搞笑,也很感人
(3星)	前半部分还行，后半部分很无语。。。
(NA)	还挺搞笑
(NA)	搞笑太搞笑
(NA)	搞笑
(NA)	一集一集等 终于完了
(NA)	哭死鸟~~
(NA)	纪念一段感情！
(3星)	没有营养的泡沫剧
(3星)	追了很久……我难得看了一部台剧
(NA)	一切都只因为命中注定的爱
(2星)	一拖再拖。
(NA)	可能偶像剧的Happy ending是它的一大特色吧。纯消遣感觉还是不错的。
(NA)	命中注定
(3星)	实在是太二了
(NA)	还蛮搞笑~
(3星)	剧情一开始还行，到后面简直没有逻辑，但我还是看完了，哎····
(NA)	冲着陈林西施女士儿来的！
(3星)	很搞笑，尺度很大胆，但是后面确实有点拖沓。还有纪宝贝太可爱了
(3星)	很想要里面那只狗~
(4星)	美秀姐演得好有喜感。。。
(NA)	真的有命中注定么？梦幻，就留在电视剧里吧
(3星)	这是黄色偶像剧咩？
(4星)	我们宿舍等的崩溃了！
(4星)	还可以
(4星)	    前面的部分真的很有意思，剧情之前的台剧比较起来也有很多不一样的地方，每一集的内容都十分的丰富。    从自己半罐水的专业知识去欣赏了一下导演给我画面，真的好漂亮，很多拍自然景物的地方，还有主人翁的画面都是经过了十分精心的布置，好佩服！赞噢～这的是收获不小，学到了很多剪片子的打法，原来控制节奏还有那么多很神奇的地方，呵呵…   
(NA)	咦,有羅北安!!!仲要quote暗戀桃花源喎...
(3星)	也许已经过了天真浪漫的年龄...如果相信宿命...那是幸福的...
(5星)	在放羊的星星之后，我又一个很感动的片子，尤其是12集。
(4星)	好好笑~人物很可爱 笨得可爱
(4星)	很奇妙的爱情经历~只是陈乔恩真是比白歆惠差太多了吧~小阮还能再帅些么
(NA)	已经很久没有关注台剧，即使在朋友跟我极力推荐的时候我也不以为然，有一天百无聊赖的时候打发时间，却实在让我惊喜不已～
(3星)	剧情太不可思议了！编剧想象力太丰富了点～吃不消！
(4星)	还将就看~还满搞笑的~
(4星)	要是电视上我肯定不看 娘的 死慢
(NA)	前面不错～后面开始拖戏了．．．．．
(5星)	很搞笑咧~~~不费脑细胞~~~
(NA)	很好笑`
(4星)	还不错
(5星)	所有的人都可以改变吧~
(4星)	大爱 要是后面不画蛇添足加那几集就好了...
(5星)	很浪漫啊～～
(NA)	偶尔蛮好笑的 。
(3星)	堕落到看台剧
(4星)	真的是一个星期一集这么等下来的
(NA)	太好看鸟~
(NA)	其实我从不看偶像剧的 最近很抽。
(3星)	第八集到十四五六集还是很爆笑的，剩下没什么感觉
(5星)	呃。。。总要找点好玩的笑笑撒
(NA)	唉，每个星期守着看
(NA)	有时候也要傻一下
(4星)	歌很好听的说~
(NA)	有些事命中早有注定
(5星)	神阿！为什么我的生活中没有像陈欣怡这样的女生阿！宅女界的天使阿！
(4星)	陈乔恩 赞！
(4星)	我心目中流星花园之后最红的台湾偶像剧……如果这部剧只有18集的话就能拿5颗星了。可惜拖到了24集，让我知道什么叫虎头蛇尾啊，恨。
(5星)	孩子流掉的时候哭了 特别感人现在男追女好像有点无聊 有点贱 喜欢看男主虐女猪 嘿嘿！！
(3星)	认识了陈楚河。。。后面的内容好空好无聊了。。。
(NA)	陪你笑陪你哭,陪我走过失恋一段路
(5星)	没了  有点不舍
(5星)	我喜欢陈乔恩
(NA)	还不错。
(3星)	好吧，居然有个远房表姐的女儿说我像xxx
(3星)	开头蛮好玩也老搞笑的,觉得小天演技还不到位,但还蛮可爱滴~~~小乔不错啦!白欣惠做作诶~
(5星)	超喜欢
(5星)	呵呵，很好看呢~~~
(5星)	超级好看！
(5星)	挺好看的。不，陈乔恩的表演让我看了下去。爱情，其实，就是一种注定了的缘分。
(NA)	超喜欢！
(4星)	哈哈~~傻不啦叽的电视剧~~但是挺有意思的~~
(5星)	搞笑看到他们说话就想笑
(4星)	nc剧也革新吗？
(4星)	后面有点拖了
(3星)	恩，弥补了我的偶像剧慌
(3星)	最后感觉有点拖拉。
(3星)	俗
(4星)	其实很温暖。
(NA)	我也看次偶像剧。
(3星)	由推荐到还行……
(3星)	为什么台湾偶像剧总是越到结尾越让人没了兴致。
(4星)	有帅哥没美女。
(NA)	就是出来的太慢   喜欢陈楚河。。。。
(5星)	边看边笑。。边笑边哭
(4星)	天哪~~~
(4星)	还是蛮搞笑哒~轻松轻松~~
(3星)	小天和乔恩 ，命中注定我爱你们，HoHo
(4星)	最近在迷命中，老天啊，快让这两个注定相爱的人在一起吧。虽然还是跳脱不了台湾偶像剧的白痴，但是多了份深情和浪漫，就是让人忍不住想要看下去。不管是欣怡的成长还是存希的改变，都是爱啊。
(3星)	到底收视率破10的偶像剧是个什么样子~~恩~~还可以~~
(3星)	无厘头，看了挺开心呵呵
(4星)	虎头蛇尾啊。。。后面5集左右严重影响了我对脑残台剧的喜欢。。。
(5星)	一直以来,单纯且善良的人都是前途无量的.
(4星)	前面很好,后面为了收视而做作
(4星)	一开始感觉一般，但后来来feel了
(4星)	小天很帅~ 后半段有点拖。结局还蛮潦草的...&gt;&lt;
(3星)	虽然很俗。
(3星)	到第10集～一直好心痛
(4星)	仅供娱乐
(5星)	呃。回歸台灣偶像劇。
(NA)	故事挺老,桥段挺新~
(4星)	爱你，是命中注定的。
(3星)	纯粹打发时光的偶像剧
(5星)	虽然后面很拖...但剧中的人还是很真实吧 
(4星)	feel easy
(3星)	哪有那么多命中注定的事呢~　又讲一大堆“等”的道理
(5星)	好好看哦
(NA)	就看一集
(4星)	拖戲還是避免不了的。
(3星)	大学打法无聊时光
(4星)	小天天~~~~一定要敲金钟哦
(4星)	还好的电视剧，怎么收视那么高可是，看了真的会哭
(3星)	后12集也太拖沓了，导演明显才气不足！前12集值得5星！
(5星)	又土又好看
(NA)	感觉非常好
(3星)	适合看前面5集.后面就....不知道怎么会破收视神话的..怪叻.
(NA)	Dylan神父～
(3星)	最近很流行，跟着MM一边看一边分析，很多情节在现实中发生的可能性为负。结论就是，我开始老了。
(3星)	如果只有18集，或许我会觉得好看。
(5星)	狂推！！！！！！！！！！！！！！！
(NA)	喜欢那种灰姑娘的老套故事...
(5星)	每周一集~
(3星)	终于看完了。。。看累死了
(3星)	後半部略嫌拖戲
(4星)	如果一直付出真的会有回报,世界就和谐了.但是,仍然很欣赏她的善良.
(NA)	要负责...承诺不值钱...
(4星)	后面有点拖沓了
(4星)	很轻松的一部剧
(4星)	还挺不错的啦 阮经天帅
(4星)	小天帅 
(4星)	最近喜欢的脑残片，嘿嘿
(4星)	第一次是偶然 第二次是必然 第三次是命中注定 瓦哈哈 我喜欢小天  最后一集 他们的告白实在是演得好啊我不想认为24集是一个ending
(3星)	现实生活已经让我觉得不美好。偶尔看看偶像剧放松心情。很喜欢这电视剧呢。
(4星)	很久没觉得台剧好看了，这部是继放羊后觉得还不错的，希望后面能继续吸引我吧！
(4星)	大团圆结局 不过最后收尾不如前面好
(4星)	river很帅啊~
(3星)	肥皂剧是止痛药。
(NA)	很俗ho，但很开心lalalala 
(NA)	我只是听到了原声
(NA)	看到不想看没追
(3星)	没有传说中的那么好看。。
(4星)	目前看阮非常不顺眼从十四集开始厌恶整部剧
(3星)	就算太作太假，不过还是对陈乔恩有好感
(4星)	可以快进着来看看= =
(3星)	还是那样地后力不足..还是三星吧..无聊时候看还不错
(3星)	发现连完整看完一部剧的耐心都没了……不看了
(NA)	这就叫小女生~宅的时候看看解闷
(3星)	越看越难看~
(4星)	纪存希——从12集起，小天演戏越来越灵了哈~~
(3星)	最后一集太烂了.其他都还挺好.
(4星)	搞笑
(5星)	最近一直在看
(3星)	陪我走了一半的2008
(4星)	只记得乔恩出车祸那里，大哭
(NA)	搞笑~~~ 白痴~~~哈哈
(5星)	真心不错
(NA)	＂在爱情的范围内，我也可以对你好么？＂陈楚河你确定你是黑道老大儿子么！被秒杀了。。。纯爷们儿就应该扎个小辫子~
(3星)	雷得相当之销魂！
(2星)	我到底都看过些什么。。。
(5星)	阮经天。。和我同一天生的人。。怎么能不爱呢。。。。
(5星)	很多人都说我像陈欣怡。。哎。。不过还是好喜欢。。
(3星)	演员不错，但是剧情太差了吧。。对女生来说完全是一种禁锢。。凭什么女生就只有唯唯诺诺，如果追求自己的事业就得不到幸福呢。。站在石安娜的角度想想，你会觉得纪存希讨人喜欢么。。
(NA)	小天的牙齿长得真好……
(3星)	十分玛丽苏
(4星)	流产的那一段拍得真不错，很感人也很教育人——“每一个生命都是受到上帝的祝福才来到这个世界上的，从来就没有意外。”
(5星)	唯一喜欢的一部台湾爱情剧。。。有满满的回忆。。。
(5星)	破历史记录的收视率,从未有过的火,这部电视剧跨越了偶像剧的尺度,却依然传达了真爱,误会的痛,分手的疼,离别的想念,及重逢的美好。太好看了,perfect!
(4星)	也算情节成熟的了
(2星)	这剧居然超过了7分。。。
(4星)	结局有点拖拉。其他都很好。
(NA)	大尺度什么的。。。陈楚河
(4星)	这样的铝孩己真的能够遇到这样的蓝孩己，幸焉
(4星)	现实中，是否也是，善良的人傻傻的人最终会获得幸福？
(5星)	我也是陈乔恩的脑残粉T.T。。陈欣怡绝对是女生励志榜样！
(3星)	消遣消遣，不然你想当真啊。。。
(3星)	。。。。。
(3星)	有爱~~  
(3星)	可以看的台剧   
(3星)	一切都是命中註定~
(4星)	姐高考前看的 迷得来。。。。一周一集等~
(4星)	前面很好看,上海重逢之后的就扯淡了...最后发现,最可怜的明明是石安娜啊!!!
(5星)	最经典的偶像剧，见证着它从乏人问津到无人不知的过程
(4星)	便利贴女孩~
(NA)	各种狗血各种拖沓但就是应和了许多人的心理，其实我更喜欢变身前的便利贴陈欣怡
(NA)	谁都纯情过……
(NA)	男二啊男二。。。
(1星)	看到软茎舔就有打一星的冲动，
(5星)	在一种既搞笑又温馨的氛围中让你跟主人公一起经历幸福波折的爱情。野百合也有春天。 
(4星)	我的无聊青春呦。。
(4星)	陈乔恩好会演！
(3星)	催泪的纪念品~~
(5星)	也许每个人的心中都期待着一场命中注定
(5星)	又见灰姑娘情节，然而这又是一位不一样的灰姑娘。每一个孩子都是上帝牵着手来到人间的
(1星)	因为这部剧开始讨厌陈乔恩和阮经天
(4星)	曾经追过的电视剧~
(4星)	消遣时间供幻想的好片~配乐还是不错滴~尤其喜欢《半情歌》
(4星)	只看了个床戏。。
(4星)	好典型的台剧啊
(4星)	完美男人纪存希
(4星)	其实也没有想象中那么好看，不知道为啥收视那么高~~
(4星)	偶像剧。
(5星)	阮经天太萌了啊~
(5星)	挺好看的，没有套用日漫，情节方面都OK。
(3星)	其实阮经天演技挺不错的~
(4星)	前半部好看
(5星)	真心觉得这两个人演的很好。
(3星)	三星半吧
(NA)	哇靠，当时居然全看完了！
(3星)	有点傻的片
(4星)	偶像剧排行第一名，便利贴女孩。
(2星)	对于台剧来说，这算是挺长的了。然后剧情一如既往的幼稚+少女粉红泡，什么烂好心便利贴女孩啊，变身无敌美丽公主啊，走狗屎运遭遇超级王子啊，阴差阳错上错床啊，真的早就烦了。最受不了就是居然还是一群成年人设定，蛋疼乳酸囧。
(5星)	死小孩好萌=3=
(2星)	土鳖
(3星)	最后那点儿太假太假了，但在08年的时候，这部片算是还不错的台剧了。。。
(5星)	小天同学很萌~
(NA)	好看好看
