http://movie.douban.com/subject/4848096/	幸福最晴天
(4星)	故事还是不错的，演员演的很到位，尤其是最后一集
(4星)	男主和女主都很喜欢！
(3星)	台湾跟内地合作的结果就是口音各式各样 普通话 台湾普通话 不标准普通话 不标准台湾普通话...比如 演老爸一口蒋介石口音 演老妈算标准普通话 儿子一口台普...内什么 女二 大学的样子比工作后的还要老,,,照片和本人差距太大...
(4星)	只是喜欢钧甯
(NA)	感动了，爱一个人的最高境界并不是想和他在一起，而是要看到他幸福
(3星)	女主角普普通通
(5星)	这搭配看上去还蛮顺眼 虽然我终于看懂了贺小美先生演什么都是这几个表情。。。
(2星)	烂片
(3星)	无聊中看泡沫剧
(4星)	不到20分钟一集的速度搞定
(3星)	喜欢张钧宁，所以看了。。。
(NA)	我好想拍连续剧啊！！
(3星)	张钧甯不适合演。。
(4星)	汪岚的演技啊！！！看得我好想杀人！！！==+
(5星)	每部冷血美少年到最后会露出细腻怜爱的眼神的狗血桥段里都会有一个因为多管闲事而遇上真王子的好姑娘，当然眼里只扒小美在看~里面的人人品都蛮好的嘛
(4星)	很喜欢 贺军翔演的项允杰
(3星)	这肥皂剧居然让我们看的有滋有味，女主播很辣。
(3星)	没表情男主，但作为大陆合拍是好的尝试
(5星)	只因为张钧甯 
(NA)	演员无法抵挡一部剧的狗血
(3星)	又一个白马王子和灰姑娘的故事，不过这次的王子离过婚，并不是单纯的爱情开水, 这样更贴近现实些.
(1星)	毫无亮点
(NA)	综上，演这种偶像剧无人能出贺军翔其右~哈哈~
(3星)	狗血的湾湾剧 只适合在无聊的时候打发时间 笑笑 发发呆 便也忘了
(3星)	前面剧情还好，后来看不下去了~~~~~
(4星)	不错啦！小美很帅呢！
(3星)	。。。
(5星)	张均甯很漂亮
(3星)	呵呵，喜欢这部剧的唯一原因，是我能真真实实看到男女主角是怎样慢慢爱上对方的。现在的台剧都太过速食，都还不知道发生了什么男女主角就恋上了。而这部娓娓道来的剧，虽然摆脱不了台剧俗套的情节和台词，但是至少我能慢慢看到过程。只是，能不能不要再合约婚姻了啊，命中注定以后各种剧都模仿，烦不烦
(3星)	把紫色穿的很好看的贺小美，齐刘海看上去很逆的钧宁姑娘，情节老土外加小清新
(3星)	典型的偶像剧咯~但是狂爱男女主角，所以必须看！~ 很多剧情需要的情节在预想的轨道上出现。但总之，爱情很美好！
(3星)	史上最丑女二，内地美女这么多怎么找这么个大妈来演呢我靠。甯小姐和贺先生你们别总演烂片好吗！
(3星)	宁小姐^_^ 其实贺军翔真的蛮帅你们不觉得么（捂脸
(3星)	不知道图什么，竟然看完了。剧情满糟糕的。
(4星)	贺小美 你老了
(3星)	总裁和女仆。。。。。。。。
(4星)	虽然看完之后暗骂自己怎么又看狗血剧了，但看的时候还是觉得不错滴.........
(NA)	小美!
(4星)	小美很好，李易峰很好看。我真肤浅╮(╯▽╰)╭
(3星)	王岚的发型那么像鲁豫。。=-=。。
(NA)	看过的最烂的偶像剧。。
(3星)	李易峰的演技实在是(-┏)
(NA)	果真是没有小三，没有坏女人，没有父母的阻扰，过于平淡~~话说男主角不会走路
(5星)	好爱张钧甯啊好爱啊好爱啊好爱啊~~~
(4星)	演的还可以
(NA)	这剧情。。。无语 我是冲着李易峰和李金铭看的 还有李智楠
(2星)	看不下去了，做作
(3星)	其实就是冲着张钧甯去的，有点失望~她留齐刘海样子太平凡了，有美好的额头就要露出来啊~还是喜欢看她气质的样子。
(NA)	小美短发好看
(3星)	陪着妈妈总算完整看了一遍，贺军翔的演技的确有所长进。感觉故事的节奏偏慢，情节也一般。灰姑娘的感觉不是那么的强烈。
(4星)	不错
(3星)	你哭的时候有点假。
(4星)	从中间开始看起、这个清明放假第一天就在家看这个、无聊的剧配上无聊的人、、刚刚好、这个剧情有的情节像《命中注定我爱你》里的、、借来的温暖、借来的幸福……
(3星)	比起其他合拍偶像剧，这一部好太多了，至少没有恶心死人的配音~贺小美好美~~张钧甯好漂漂~~李智楠感觉老了。女二周子涵太恶心了，您把台词练练好再出来演戏成么？估计是潜规则进来的，真难为小美还要跟这么一个恶心女人谈情说爱！！！看电视剧好轻松，不走心也不过脑~
(3星)	直接看了最后5集。。看在贺军翔、李易峰两个帅哥哥的面子上还是给三星吧
(NA)	纯属消遣时间
(5星)	  她的打扮有点老气 就像项允杰的大姑   我倒是特喜欢贺军翔和张钧甯   力荐他俩
(1星)	张钧宁长得像我表妹~还是喜欢那种简单和美好的人格。不过还是沿用肥皂剧统一剧作结构和人物设置模式。看多了会头痛，不过只要能给我好的感觉就好了。
(3星)	这次我看电视剧的速度算蛮快，也许由于之前在电视上看过些许片断。不到两天的时间，自己像吃速食一样看完《幸福最晴天》。风景很美，喜欢片头与片尾曲。在演员阵容上的确是能够吸引人眼球的。剧情走向是人们所熟悉的温情的爱情故事，或许是里面甜点美食的诱惑，记忆最深的是甜蜜与暖色调。
(5星)	结局不错  灰姑娘
(4星)	剧情很容易猜到，但小美的演技真的提升了，走心了
(NA)	像这样的连续剧不是来看剧情的，有帅哥养眼才最总要。李易峰还真挺帅的。哈哈。
(3星)	美嘉真不该去拍这个而放弃爱情公寓
(4星)	对贺军翔无感 觉得张钧宁不错 
(4星)	就喜欢看张钧甯。
(5星)	张均蜜很美，很美很美！
(3星)	甯小姐可否回归气质女路线...
(3星)	我在哪里看到的说这部剧不错的。。完全冲着主角去看的。。哎，未曾想是边做其他事边消遣的一部剧。。不计较故事恶俗的话，可以看下主角养养眼。。。
(3星)	不知道为什么，只要是合拍剧一定会拍出90年代的味道...张钧甯还是不错的...
(3星)	剧情就是内种看开始就知道结尾的偶像剧~我是冲着李易峰和贺军翔才看完的~无聊的话，可以一看
(3星)	为了小王子才看的剧集。虽然一如既往是台剧的桥段。矫揉造作勉强看完。“美嘉”在里面的演技远不如爱情公寓里的自然洒脱。总的来说不是一部好片子。可是小王子，我看到了你在成长。小美给我的感觉，依然是恶魔在身边里的表演最出色。
(3星)	周末无聊时打发时间用的。好吧，我承认我落俗了。
(3星)	果然不看剧透才能看完= =
(NA)	喜欢那个海边，那所房子，糕点，爱情，天晴朗，小梦想，向日葵的家。。。
(NA)	女配怎么选的？！莫要辜负我对偶像剧的最低要求好不好！
(3星)	小演员演技不错！ 喜欢张钧甯 才看的片子。 但是里面演的太嫩了，感觉傻了点。
(4星)	张钧甯——喜欢这种纯纯的女孩~
(NA)	一般
(4星)	喜欢女主！！！哈哈
(3星)	纯粹偶像剧。。。太多的巧合了。
(5星)	喜歡的人們 他她還有他
(NA)	庆祝我又看完一部湾湾狗血剧
(2星)	弱智。。。 尤其是女猪脚；一直觉得偶像剧可以给人无限启迪，但是太弱智也不行的吧。。。
(5星)	戏烂，但演技好！
(3星)	三星给小美～
(3星)	演技有点欠缺，感情描述不够细腻，流水账一样
(2星)	女二的念白让我有五雷轰顶之感，你以为你播新闻啊！  偶像一旦大陆合拍，那就是...土鳖啊土鳖...
(2星)	實在沒有什麽片子可看，完全是沖著張鈞甯看的，但劇情實在沒有什麽看點，故棄之..
(NA)	成熟了的小美好有魅力&gt; &lt; 张钧甯好像崛北真希.....
(NA)	张钧甯那么淡然的气质毁了毁了&gt;&lt;
(4星)	虽然剧情老套，还是那么轻易就打动了我。
(3星)	纯粹看人~
(3星)	绣着十字绣听完的，这种剧就是这用处啦~~~
(3星)	很烂的剧情，我居然一鼓作气都看完了~
(3星)	打发时间还是可以的
(2星)	演员可以的  只是可惜了发挥  剧本太烂   李易峰演出比较生硬   张钧宁很美啊   贺军翔的发型能不能变一变了？！   李智楠的角色不适合他那张稚嫩的脸啊  
(4星)	虽然有些假 但是还是忍不住要看下去
(4星)	哈哈，我最爱的李易峰演的~~
(NA)	男二
(2星)	小美还是很有型，但是接得戏都不咋样滴
(NA)	啧啧啧   我居然就这么看完了
(2星)	剧情雷同
(4星)	撒狗血的偶像剧看过不少，但是觉得好看值得看的还是不多滴，这部就因为其细节的真实性打动了我，男女主角实在是很搭啊，大爱
(3星)	比较喜欢张钧宁哈~~~
(2星)	···各种狗血的集结，亏我因为女主全部咬牙切齿的看完
(3星)	一个通宵，纯属养眼，张钧甯&amp;贺军翔。剧情嘛，又是契约婚姻，又是找回我的儿咧……
(3星)	女主角看起来挺纯挺顺眼的。剧情。还是自制剧的老套。
(NA)	不错，用两天时间看完的，最然剧情能猜得出来，不过还是吸引了我的眼球，小美不错， 张钧甯 也不错，也挺喜欢痞子英雄里的她
(2星)	看第一集中间一集最后一集就可以猜完整个剧情……
(NA)	放开张钧甯好么！！！
(2星)	他要是拍短一些就好了。
(NA)	只为了一个女人，张钧甯。和一个叫做养眼的目的。
(2星)	恶心到我了~ 张不该演这种傻逼的。
(5星)	还是喜欢泡沫剧~很不淡定
(3星)	罪恶的看完了。。。女主角非常棒，长相和演技都很合格。
(3星)	纯粹为了贺军翔。。。。。
(3星)	电视上放的时候看了几集~~~结尾把我看的很纠结，最后的结局还是等了一个星期才看到的
(4星)	美女帅哥=_=我又沉沦了我肥皂泡漫天飞晴天一来全是彩虹
(1星)	大哥大姐们 你们演得也太假太滥了吧！！！我不觉得女主好看 就连小美也老了 哎 这世道
(NA)	电视剧里没有感情意外怀孕得来的孩子都得流掉，然后男女主角在一起才能证明是真爱
(NA)	哦呵呵呵呵呵呵
(3星)	恩···我用了差不多一个多小时的时间拖玩的··o(╯□╰)o没看偶像剧的心了，就是觉得剧情有点忒俗了···另外，李智楠啊李智楠··你真的长残了呀···
(3星)	主要奔张钧甯！春天开始的偶像剧
(4星)	第四颗星是给小孩儿的演技的, 增进了不少~
(3星)	好２呀好２呀＝　＝我最不喜欢气质美女了．．．
(3星)	峰峰啊，演技还要磨练啊，加油！！！
(1星)	假
(NA)	什么破玩意啊！台湾偶像剧就不能有点长进么！！！绝望了啊！张钧甯你是有多想红啊！走自己的小众路线不挺好的吗！！
(3星)	狗血！！！
(3星)	这开头跟命中注定怎么一样的。。。
(3星)	就快受不了这种调调了 不是不好 是我自己的问题
(NA)	这是各种老梗拼凑成的新剧~  有钱的酷少爷和励志的贫家女、契约婚姻、、、、、 台剧，麻烦你创新一下，我不要再看杉菜式爱情了....
(3星)	好把,其实,我还满喜欢张钧宁的~~~
(4星)	看小美和校草来着的。。
(3星)	家庭是我的重点，事业是退而求其次的，小美说的。看到了李智楠，从演一高中生一晃就九年？演大叔了。
(3星)	又是野丫头碰上富二代的故事~完全是为均甯看的
(3星)	据说收视率高就瞅两眼，却点灯熬油的看完了，其实就是不想睡。捷豹外观美舒适度高，将来肯定搞一个
(3星)	不是看电视果然忍不住快进
(4星)	我就是单纯觉得小美养眼啊养眼……
(5星)	灰姑娘最后还是跟王子在一起了。。。
(5星)	很喜欢，喜欢贺军翔，也喜欢张钧甯
(4星)	我已经很久不看电视剧了,现在是要为了找回少女情怀吗？！准备一下写个偶像剧总结帖....如果有时间的话！
(1星)	点灯熬油地看完了这部清纯偶想剧。真不知道当初俺是怎么想的。
(4星)	就冲着宁宁去的..
(3星)	不知道为什么看，也不知道为什么会看完
(4星)	偶像剧，最喜欢男主角不优柔寡断，明确自己喜欢谁不喜欢谁
(4星)	小美  小美
(5星)	虽然剧情比较俗 但是男女主角就是看着舒服 能够让我集集都看的还不错 里面的人真纯真
(4星)	纯粹看帅锅养眼去的…
(2星)	哈哈  我居然都看完了  张钧宁真好看
(3星)	为了张钧甯为了贺小美~wow，我无法对好看的人儿有抵抗力
(3星)	20110810看...
(5星)	三个猪脚都喜欢不容易！
(3星)	消磨时间还不错
(5星)	很精彩 近年来难得的耐看的偶像剧
(3星)	很俗的剧情，但是美女帅哥，让人想看
(3星)	偶像剧害死人啊。。
(2星)	没法说。将就看。张钧宁没有痞子英雄里有看头。
(NA)	宁小姐好看演技又好~~可是女二也太丑了吧~~~ 小美已经从淘气王子变身总裁了~~~ 
(3星)	在电视上偶然搁到的，看到了大结局～演得有点假呀，就是有两个帅哥嘛～
(NA)	不常看偶像剧，就像大餐，偶尔吃吃也不错，我觉得允超帅，呵呵
(4星)	虐来虐去神马的我都爱看!捏哈哈哈!在小易面前小美显老了!很淡很淡的.......~但那也是爱情~
(NA)	虽然比较狗血 比较偶像剧 可是突然觉得很温暖。
(3星)	剧情狗血了点...演员都不错~
(4星)	好像赚取了我不少眼泪。
(1星)	好烂的剧本 浪费演员
(3星)	李易峰 你这孩子眼袋都要比眼睛大了。。
(4星)	只是因为女主。。。
(3星)	刚看10分钟，看到了就想赖着你和命中注定我爱你的桥段，真的是囧了。。。。。张钧宁很漂亮，贺小美灰常帅，然后，没了= =
(2星)	太偶像了，女猪脚好像堀北，有没有。。。
(3星)	为了张钧宁而看。惊喜发现小美。李易峰也不错哦.
(4星)	遇到了，雨停了。相爱了，幸福了。
(NA)	为了张钧甯
(2星)	各种快进跟完。本来想给0分，可是我的信仰告诉我要宽容要包容。我决定给一颗。另一颗给张钧宁。演的不错。
(NA)	就是一直觉得有《命中》的影子在里面
(3星)	主要就是看小美啦....
(NA)	很命中注定我爱你。。。。
(3星)	只為李易峰(☆_☆)
(3星)	演员长得不错，剧情不敢恭维
(4星)	老套归老套..不过还是挺受用的~哈哈...感觉好多桥段都在别的偶像剧看过~哈哈...
(3星)	融合了多部偶像剧的情节~除了抢婚基本神马都齐活了！张钧甯演快乐的角色感觉很不一样，喜欢她的笑容。
(3星)	打发颓废萎靡的时光....
(3星)	里面居然有STAR！！大爱张钧宁！！！
(3星)	张钧甯挺养眼，偶像剧的套路都是一样一样的
(5星)	好看。
(3星)	为什么育幼园不能另择他地重建啊？为什么啊？为什么？
(4星)	不错
(3星)	中后段故事老套狗血
(4星)	去我男朋友家，发现他奶奶也在看。呵呵，真的很潮！！！
(2星)	扫描式观看中....是我老了还是电视剧太烂了...
(4星)	 张钧甯 小美 李易峰 李智楠 各一星~
(4星)	自打看了宫之后，看神马片子都觉得好
(3星)	实在太。。。让人没耐性看下去了。。。
(4星)	那小孩儿演的真好真好，这个看的真的比另外那个欢乐~张均宁演的真好没想到还有这种气质~ 没想到贺军翔的我也能看得下去……就因为好久都没看好看的台剧了所以我推荐~
(3星)	男猪脚、女猪脚、男二各一颗星，其他的不予评论
(3星)	剧情大同小异~演员阵容还蛮亮眼
(4星)	张钧甯好可爱~喜欢~
(3星)	看不下去
(3星)	这么俗的偶像剧  ~~为毛我还看的这么扎劲~弱弱地说一声俗的对味啊~~
(2星)	雷剧一枚，权当养眼
(4星)	我喜欢这样的调调，没有太多做作，很清新。张钧宁果然是治愈系的女生，笑的真是好看，贺军翔，我只能说，那么多年了，还是我的那盘菜。
(2星)	看得我觉得好假，但是偶像剧的精髓就是演员全身心的投入演绎狗血剧情。
(4星)	。比起其他剧，好多了..。
(4星)	小朱说，是我压抑的时候需要她做平衡的原因。
(3星)	结局不怎么好！！！！！！
(3星)	无论是痞子英雄里的西英还是这剧里的咏咏，都很喜欢张钧甯…李易峰也不错哦…
(4星)	慢慢看 我不急 我的公主下周完结。正好替补、
(2星)	有一部抱着善始善终的心态看完的烂剧
(2星)	剧情老套的不能再老套了。
(4星)	我也想就这么阴差阳错地嫁给某个总裁，从此过上幸福的生活酱~
(3星)	我是冲着演员去的。。
(3星)	剧情有些短路看在演员的份上忍了
(3星)	FF越來越出息了，不枉我從前那麼看好他...不過不管怎樣還是很俗套...沒看完，收手了...
(4星)	剧情虽然似曾相识，但是爱情的温暖总是那么令人感动。套用结局的最后一句话“这么幸福，怎么受得了？” 愿大家都幸福，每天都是大晴天！！
(5星)	算是国产的吧 因为是安徽卫视拍的
(3星)	我觉得这部里面李易峰很帅啊- -所以我去微薄关注了他，虽然演技这个东西还有待加强。顺便关注了一下贺军翔觉得虽然依旧很帅但似乎看得出奔三的年纪了。三颗星，一颗李易峰一颗贺军翔一颗张均宁。偶像剧这种东西其实真的只要看演员就好了- -剧情这种东西就忽视把。
(3星)	剧虽无感，但是美男无价
(3星)	本来是来看蓝西英的。。。感觉剧本太神奇了。所有的男一事件大都发生在男二身上。。所以快进吧= =
(3星)	比幸福一定强要好看。。
(3星)	为了帅哥与美女们~~
(2星)	弃
(5星)	看了一点就被吸引了，只好看完，真不错
(3星)	只爲看帥哥美女養養眼。
(3星)	我完全是冲着张钧甯看的，但是这里头演的实在是让我觉得orz。。是角色本身很做作吗！！？
(3星)	一部纯偶像剧，故事如小说
(3星)	雖然劇情很言情小說，處處可見偶像劇老梗，不過整體流暢不拖沓，演員演技也OK，對我這個很久沒看偶像劇的人而言評分算是中等吧，比我想像中好看多了！
(NA)	这女的很假好不好 一集没看完
(4星)	冲着张钧宁mm看的，真的好养眼啊片子一般，剧情不丰满，没有惊喜的地方
(3星)	两男大大帅过两女……
(2星)	贺军翔你变2了！！！！！
(4星)	 喜欢上张钧甯 
(4星)	过年放假期间看的，打发时间，还不错
(3星)	垃圾片，剧情完全俗套，演技，服装都没有亮点。
(4星)	为了甯小姐，我竟然接受了如此狗血的偶像剧....各种气质啊...
(4星)	我们相遇的那天，雨停了，天晴朗了……于是，我被雷到了。。。不过女主长的不错，李易峰超帅啊~偶像剧嘛，都是看人的呀~4星4星~
(4星)	比想象中好，小美的演技进步很大，张钧甯给了惊喜，李易峰有前途。就是汪岚看上去老了点，而且普通话标准过头了，有点别扭。
(4星)	老子很爱张钧甯啊！！！
(3星)	最后几集仓促的看完了,冲着男一男二看完了,剧情还是蛮老套的--,
(3星)	大陸跟台灣的合拍片總感覺很奇怪 一顆張均甯 一顆賀軍翔 一顆李易峰 就這樣吧 
(NA)	喜欢钧甯~有机会看完吧，结局看了 ~~
(2星)	忍受不下去了。。
(3星)	相比最近接触到过多SB片，这个还可以了。
(3星)	看电视剧真是太奢侈了!!合拍剧总是比较雷。~这甜言蜜语说的哟汗毛竖起~假结婚的老套情节 小美终究是没法超越小天 张钧甯好美啊 大团圆神马的sb啦 
(3星)	FF和小美两兄弟太养眼了
(3星)	不看剧情只看年近三十的贺军翔，虽然笑起来已经有鱼尾纹，虽然有轻微黑眼圈，但那双迷离的眼睛真的非常迷人。
(3星)	好吧，剧情很白目，不过为了张钧甯这样的气质美女我忍住了，仅此而已
(4星)	安徽台自制的好么... 反正贺小美、张钧甯、李易峰、李金铭、李智楠都很顺眼。请问幸福三部曲第三部是神马！
(4星)	奔着李易峰贺军翔去看的。其实张钧甯也不错虽然她为了此剧演了个弱智。一星加给演员团队！
(NA)	女二和老梗毁了这部偶像剧
(3星)	依旧是结尾太瞎
(3星)	拼拼凑凑又是一部！等着被雷~雷过了。发现自己真的老了。。。顶不住~~
(3星)	好演员对剧本有升华作用。
(4星)	一开始是冲着李易峰和李金铭看的~没想到看到后来觉得张钧甯真不错~和贺小美挺配的~就是情节纠结了点，让我也哭了点，但我就知道幸福最晴天的结局是大团圆，不过真心讨厌汪岚这个角色~oh，李智楠的眼睛真小啊~难道我要回过去看幸福一定强嘛？但我不喜欢牛萌萌啊~
(4星)	剧情老套，无聊，不过是我见过贺军翔最帅的一次啦，冲这个多加一颗星，张钧甯一直是我的菜^_^
(3星)	剧情很俗  但是帅哥美女还是很靓眼的
(5星)	很好看啊
(4星)	！！！！
(5星)	我爱小美 那种着迷的喜欢 从始至终就喜欢这样的男人
(4星)	还行。。偶像剧恐怕不能要求有什么新意，至少不很搓。。使我对贺军翔的有了点改观。。
(NA)	张钧甯的灰姑娘其实演出不同但不算出彩，贺军翔是打算一直吃偶像剧的饭了？？
(4星)	小白❤~
(3星)	张钧甯 你不是我的菜么..
(NA)	烂剧情，但是还是飙泪了
(4星)	只有三星的剧情&amp;绝对五星的阵容...让我坚持看完的唯一理由就是养眼的主演们 orz
(4星)	爱上贺小美了，超帅！！！
(NA)	喜欢 张钧甯 电视上零零散散的片段就算看过了吧
(3星)	我挺喜欢张钧宁~我挺喜欢贺军翔~我挺喜欢李易峰~
(NA)	喜欢张均甯
(3星)	只能说是一个还看得下去的偶像剧,偶像剧什么时候能大砍狗血呀
(NA)	相当白烂。。。
(3星)	只为了看男女主~
(5星)	贺军翔
(4星)	我爱张钧甯！！！
(4星)	二妞和小美 值四颗星！！
(NA)	很值得期待的片子喔、
(3星)	就为了看张小姐~~
