http://movie.douban.com/subject/2157239/	将爱情进行到底
(NA)	 当时还小 现在再看更有感触了            
(5星)	 我算是明白为什么那时都称老徐 是玉女了。。。果然。。。只是李大叔的长发实在 不够飘逸。。            
(5星)	 小学时候的第一部剧            
(4星)	 青春的记忆            
(3星)	 徐静蕾的演技真不够好，一贯的本色演出成就了几部不错的片子，但是稍微的深入浅出便崩溃了。            
(NA)	 我就想知道两情相悦是多么美好的事情\n找点乐子 129V5\n导演你也很爱王菲吧\n每次 等你爱我 的时候都想哭\n等你爱我            
(5星)	 其实我发现我看过这个片儿这件事，表明了我必须肯定是上个时代来的人了╮(╯_╰)╭            
(4星)	 原声兆赫我要听这个            
(4星)	 这部剧是美好的没错，但是悲催的看了原版的那个日剧《在爱的名义下》，原来这是一部成功的山寨剧，仅仅因为当时中国没有此类型的作品，导演赶上好时候了。太喜欢陈明版的《等你爱我》，百听不厌。            
(4星)	 青春的筵席，终究是要散场。            
(5星)	 啊。。。。。。要哭。。。            
(NA)	 那个时候的徐静蕾又装又嫩的            
(5星)	 看我给的星星就知道了~~当年多少情感烟雨中了~~            
(4星)	 期待电影版            
(4星)	 年轻真好哇            
(5星)	 这么多回忆的片子。我觉得现在中国真的再也拍不出这么好的片子了。            
(5星)	 文慧  杨铮            
(4星)	 俩字，折腾            
(NA)	 乐言和小艾~ 他们两的结局是什么~            
(NA)	 不管怎么样 都是最早的 关于爱情的回忆            
(NA)	 看得烂遭遭的，不过重温经典桥段还蛮翻洗滴            
(NA)	 将爱情进行到底 那个时候的老徐还是很萌很萌的            
(4星)	 小时候的回忆阿            
(5星)	 记忆中的青春            
(3星)	 当年的那三个男主，除了廖凡以外感情生活都一波三折 OTL 偶当年多看好王学兵和谢雨欣这一对啊！结果被编剧给毁了 =A= 陈明演唱的主题曲和谢雨欣演唱的片尾曲蛮好听的 &gt;&lt; 片名美~但剧情太不给力了 ==            
(5星)	 不喜欢李亚鹏，不痴迷偶像剧，但就在看到《将爱》预告片里和当年的对比场景时感动了。骑单车送玫瑰，用手机听海，两次雨中接力，天桥上的赛跑，挂满金鱼的房间，这些都是看到后立刻就起鸡皮疙瘩的桥段。“再也回不去了，还记得上次跑接力吗？回家后腰酸背疼了好几天，哪像跑过4x100的人。”            
(5星)	 9898发大水            
(4星)	 一晃就12年了，我们都发生了多少改变……            
(NA)	 上初中的时候还要偷着看 这有什么不能看的啊 爸爸            
(4星)	 杨铮文慧 太可惜。。            
(4星)	 青春年少            
(5星)	 这么多年过去了，再没有遇见过那样单纯而又刻骨铭心的小浪漫，浪漫的桥段里再没有听海的情节，一张飞机票就能完事儿了，在片头片尾曲响起的时候，我依旧有想哭的冲动……            
(5星)	 怀念~~            
(4星)	 里程碑            
(5星)	 今天在影院听到内首歌的时候曾的感觉自己穿越了~            
(4星)	 不想多说偶像剧俗套照搬日剧什么的的，我只是觉得当年的那种大学生的感觉很真实亲切，李亚鹏和王学兵一起上学一起租地下室的生活还是给他们的剧中的关系打上了深刻的底子。            
(NA)	 当时真是喜欢的不行  好像是遥远的大学 好简单的            
(NA)	 当时觉得徐静蕾的衣服真好看呀            
(5星)	 这么多年都没有任何国产青春连续剧超越将爱             
(5星)	 最初的认识            
(NA)	 昨天刚重温一遍，原来当初没看懂的，现在都懂了            
(4星)	 原声带            
(5星)	 听主题歌我都激动，特哈王菲的李姓老公…            
(5星)	 正在重温ing            
(5星)	 五星是按当年的标准            
(5星)	 望见你从门前经过，时有一些悲哀，于是就轻轻唱了起来            
(NA)	 一群丑八怪，也算残酷青春了。            
(5星)	 中学的时候，遥望别人的白衣飘飘的年代            
(5星)	 给了我关于大学的第一次幻想，当年的老徐纯的要命~            
(5星)	 把我看激动了，难以置信，99年的电视剧怎么能编的这么好看！！！！！！            
(4星)	 怀念一下学就跑回家，守在电视前跟着他们笑跟着他们哭的岁月            
(5星)	 青春走得潇洒 遗忘了春夏            
(5星)	 回顾            
(NA)	 电视重播，又看了一遍，真怀念以前看片的心情，真怀念我的那个破烂大学！            
(4星)	 当时好喜欢。            
(5星)	 终于看完了，快到结尾的时候才想起小时候是看过的，那些深刻的场景依然记忆犹新。全是关于理想与现实的故事。哎，惆怅啊惆怅。            
(5星)	 这么多年重新再看这部电视剧，现实的让人窒息，感动的让人赞叹            
(4星)	 这是第一部看过的青春片。。。对爱情的渴望也源于此            
(5星)	 决定有时间再看一篇 我发现青春时 人都美好得不行            
(5星)	 好吧， 等爱吧            
(5星)	 纪念一下同济的129操场~            
(5星)	 张一白的电影也好电视剧也好，确实很不一般！我记得杨铮在海边打电话说我爱你的那一段，已经是我这辈子挥之不去的永久的记忆了！            
(4星)	 年少的回忆啊，啊，啊            
(5星)	 青春年华的烙印。            
(3星)	 毕业之际，突然想起这部小学看的片子，我记得那时喜欢的是男二女二。。。            
(4星)	 当年这应该算是最偶像的电视剧了吧~            
(NA)	 重温            
(4星)	 主题曲太澎湃了，还是老电视剧感人。            
(4星)	 小学时代~~            
(3星)	 属于我们的青春            
(4星)	 现在看看剧情简介 突然觉得这编剧还行            
(NA)	 青春情结            
(4星)	 在爱情懵懂时的回忆            
(5星)	 最爱的电视剧，没有之一。 十年了，光阴似箭。            
(5星)	 印象中这似乎是大陆第一部偶像剧，如今任何回味都是美好的            
(4星)	 小柯            
(NA)	 要不要第一集就来wonderwall啊！！            
(5星)	 那时我还小，记忆却很深            
(4星)	 音乐好听            
(3星)	 当年让我爱上了谢雨欣            
(4星)	 觉得 这应该是内地的第一部偶像剧了吧             
(3星)	 浑身鸡皮疙瘩~            
(4星)	 鼓励奖！！！曾经对大学的向往都源于这部片子，当时读书还没能整个的看完。。。            
(3星)	 还记得初中时候,中午偷偷看完然后跑回学校....啊 那个时候我还喜欢某个现在完全瞧不上的男生            
(4星)	 初二初三。当时太向往了。可是后来。长大了也就这么回事            
(4星)	 国产难得的好偶像剧            
(NA)	 好怀念...            
(5星)	 再也无法超越的青春偶像剧            
(4星)	 比奋斗强得不是一星半点！姐深受荼毒的一个镜头是，现在到了海边，总是想个人，拿起电话让对方听~~~海哭的呻吟~~~~对不起，是声音。            
(5星)	 小学六年级的时候我妈很凹凸地在追，我不屑地跟着看，其实还挺好看的。            
(2星)	 李亚鹏去死            
(4星)	 国产偶像剧            
(4星)	 中国第一部偶像剧，那时我上二年级            
(4星)	 我的童年啊-0-            
(3星)	 忘的差不多了...            
(4星)	 那时候的李亚鹏也没那么讨人厌啊            
(NA)	 一听哪首歌 我就……             
(NA)	 那时候每天中午看 哭了很多次 以为大学生活就是那样的            
(1星)	 抄吧抄吧抄吧不是罪？            
(5星)	 第一部偶像剧。那时候每天看的时候都要一直激动的抱着抱枕。心真的会动。。。            
(5星)	 看的时候太小老，情节几乎搞忘，但是歌确实黑不错！            
(5星)	 一个时代和一种电影风潮的开始 好多身边的人竟然不知道……            
(NA)	 承载了我一个夏天的回忆            
(4星)	 内地的偶像剧~~。一直喜欢那首将爱情进行到底。            
(5星)	 依然还是年少无知的感伤            
(4星)	 天哪，刚听到电视里廖凡在说这个，说已经十一年了……不管怎样真是那个年代的经典啊；自己大概就是被它骗去上海的；片子里那个同济操场每次坐车经过都还要关注一下……            
(4星)	 等你爱我！            
(3星)	 本来很想好好再完整看一遍的。可是，看了一半我就受不了了。他们毕业之后的剧情实在是。。。揪心。。。            
(5星)	 青春纪念            
(2星)	 明知是抄袭，冲着《在爱的名义下》，还是看了            
(NA)	 都是多余的             
(4星)	 海边那段            
(5星)	 原声带也超棒，曾经很爱~~~~            
(5星)	 很喜欢的一部电视剧，以至于我让我觉得什么《奋斗》《我的青春谁作主》之类都是垃圾            
(NA)	 10年一代啊              
(5星)	 等你爱我。            
(NA)	 似乎这个是中国的第一个偶像剧吧，是自己看的第一个            
(NA)	 没看过爱情白皮书，觉得歌儿什么的还行。王学兵以前挺帅的呀。            
(4星)	 其实它算是我的童年回忆了            
(4星)	 Mv一样镜头的电视剧很少见了。同济的跑道，宿舍区的桥，96路法租界的夏天，一眼就认出的太原小区那个门洞，就是愣没找到不甘心的文慧她家是哪栋。在你我相遇的地方，依然人来人往            
(NA)	 等你爱~~~爱~~~爱我~~            
(3星)	 风靡当年。前面还不错，后面烂尾。居然有高旗。。            
(3星)	 好像有田震.好想跑400米接力            
(5星)	 不懂爱情的时候看的最带劲的校园爱情故事，真想再重温一遍            
(5星)	 那时候我们还年轻~            
(NA)	 这是我们一代人的爱情偶像剧啊！~呵呵            
(4星)	 现在看这爱情故事其实挺现实的……不是很喜欢，但它很经典.            
(4星)	 这是我对大学最初的概念 呵呵 美好的不真实            
(3星)	 98年还是99年的片了            
(NA)	 不错            
(5星)	 就是这部片子开始放的时候，开始有人说我长的像徐静蕾            
(5星)	 八九岁的时候看过            
(4星)	 太喜欢张一白的表现手法了，青春就是这样的美丽，而现实就是这么猛烈！            
(4星)	 【中国大陆第一部青春偶像剧】等你爱我~~~            
(5星)	 在我心里，早把《将爱》刻在心里，也让我知道，初恋不一定能走到一起，相爱不一定适合相伴，而人生路上总要有那么一个适合你的人，即使开始不爱，一旦爱上就是一生……            
(4星)	 不错……纯爱            
(4星)	 青春偶像剧的做作和美好            
(4星)	 等你爱我。            
(NA)	 怀念            
(NA)	 最早的偶像剧吧            
(4星)	 很傻很难忘            
(4星)	 12年。            
(5星)	 有几个场景深刻我心            
(3星)	 我记住了主题歌，还认识了李亚鹏 和徐静蕾 。            
(5星)	 曾经的最爱，可是那里面没人真的将爱情进行到底            
(1星)	 李亚鹏去死！徐静蕾去死！            
(3星)	 这个也是忘记的差不多了            
(4星)	 那时的徐静蕾太过迷人，那些歌太过好听            
(4星)	 里面的音乐很棒            
(4星)	 8分。那是一样青涩的我们。            
(4星)	 因为代表了我一个时段            
(5星)	 那时候我多年轻啊，都不懂爱情是什么。            
(1星)	 从那时候就讨厌李亚鹏。郭靖就到极致了。。。            
(3星)	 老徐那个时候还是小徐，那个时候谁会把李亚鹏跟王菲扯上关系呢，只能说时间是最琢磨不透的造物主            
(4星)	 很久很久很久以前看过            
(3星)	 那个时候就很喜欢老徐了             
(4星)	 毕竟是开了内地偶像剧的先河啊。            
(4星)	 我看过的第一部青春偶像剧，前十集不错，后十集印象较淡了。当初李亚鹏和徐静蕾还没什么名气，感觉淡淡的那种。比较喜欢的是剧的几首插曲。像是“看着你从门前经过时有一点悲哀，于是就轻轻唱了起来。”很喜欢这种淡淡的味道。“谁在爱你，你在爱着谁，谁在等我，我在等着谁”之类的歌词当初也相当喜欢            
(NA)	 理想主义无路可逃            
(4星)	 哎呀 吗丫 我小时候简直喜欢疯了            
(5星)	 将爱情进行到底            
(4星)	 想当年            
(5星)	 那时 真的 很 喜欢很有 feel            
(5星)	 那年代最喜欢的电视剧            
(5星)	 那首等你爱我。唱的惊心动魄。有看哭过。            
(3星)	 就记得一帮人在跑了。            
(3星)	 喜欢校园的那部分 还是觉得是至今为止内地最好的偶像剧            
(4星)	 蛮怀念的，那个时代            
(5星)	 现在回头看，这部片子是超越他的时代的            
(4星)	 且看 丑人李亚鹏！            
(4星)	 将爱情折腾到底～懵懂            
(4星)	 老徐还是小徐，我爸那时还很迷恋她            
(4星)	 当时看得时候相当憧憬大学生活~~            
(4星)	 原来那个时候我喜欢的是乐言            
(4星)	 如同童年的记忆            
(4星)	 不知道以现在的眼光看，这片还是否值4星，但是，高中时的我，确实被它打动了。            
(5星)	 趴床上看的电视剧 各种催泪插曲            
(5星)	 那时候的记忆。那些青春。真爱。            
(NA)	 它代表的是某段时光            
(3星)	 这部电视剧很早啊，我记得是在小时候看过，浙江卫视            
(5星)	 喜歡《遙望》            
(3星)	 将XX进行到底            
(NA)	 到了这个季节……            
(NA)	 哇哦。。。巨爱的当时。            
(5星)	 将爱情进行到底，并不像说的那么容易。。。            
(4星)	 当年只觉徐静蕾的抿嘴微笑很甜美，李亚鹏也是我那杯茶，一首等你爱我唱得很激昂很煽情。时隔十年，看过了《奋斗》，过完了我的大学四年，忽然就想重温这部国内偶像剧鼻祖了。            
(4星)	 当年            
(4星)	 这个让我明白了什么叫“偶像剧” 老徐当年还是扎俩辫子的傻闺女            
(5星)	 也是我永远的经典。里面所有的人物、演员到现在都喜欢。杨峥，我爱你            
(4星)	 曾经的年少轻狂呀            
(5星)	 什么东西我一般都不看第二遍 但这部我看了不止一遍            
(4星)	 青春真的一去不復返，那時年少輕狂的我們，根本不懂得去珍惜            
(4星)	 小时候看的了。            
(NA)	 那边厢几角恋剪不清理不乱，像乐言那对多好。说起来，这片里怎么神人那么多            
(4星)	 为什么小时候觉得李亚鹏挺帅的？            
(5星)	 去年又看一次的时候居然哭了            
(4星)	 还是感动~~~            
(5星)	 那样的大学生活早已离我们远去了...印象中的象牙塔依然和现在所在的地方背道而驰...            
(5星)	 其实打不上五星，但是在临近毕业的当口看，也就看出点自己的感情来～            
(5星)	 在你我相遇的地方依然人来人往  依然有爱情在游荡  在你我相爱的地方依然有人在唱  依然还是年少无知的感伤             
(4星)	 喜欢徐静蕾            
(3星)	 徐啊徐 怎么就变才女了            
(5星)	 看了好多遍好多个通宵。            
(4星)	 很久很久以前            
(NA)	 傻笑的徐姐。            
(4星)	 童年记忆            
(5星)	 很多疼痛都源自内心的爱护与自卑。            
(NA)	 看到的第一部好看的国产偶像剧            
(5星)	 歌好听呀~            
(5星)	 曾经以为的大学生活就是这样子。            
(5星)	 我曾做着这样的梦爱着你            
(4星)	 小时候觉得，大学好遥远...大学结束了，发现似乎只是黄粱一梦。            
(3星)	 张一白就是一坨屎            
(4星)	 很多人看的第一步青春剧            
(5星)	 小时候看了一遍又一遍。却到高中才真正看到了结尾。就是从那时候起，对徐静蕾有淡淡的喜欢~            
(4星)	 只喜欢校园那段            
(4星)	 红遍祖国的大江南北，在我读小学的时候，估计当时没有一个大学生会没有看过这部电视剧，它可有着里程碑式的意义。就像后来的《白桦林》一样红，于是所有的背景歌曲也红了，谢雨欣和小柯的名字越来越多人知道了。            
(5星)	 国产电视剧永远的最爱            
(5星)	 至今还记得他们一起跑的样子。            
(NA)	 所谓的大陆偶像剧的鼻祖            
(3星)	 多少年了            
(3星)	 我还特地买了老徐扮嫩的塑胶头绳，深入人心可见一斑            
(5星)	 初中时看的。            
(5星)	 永远的情节。。。            
(3星)	 很小的时候看的，那时还不懂什么是爱~            
(NA)	 很神奇的理由，高旗，奇迹是居然看见张楚，老徐很纯啊当时              
(5星)	 大陆最早的偶像剧啦            
(3星)	 电视上放的亚~~~不记得了....            
(4星)	 大陆最成功的偶像剧了吧 放得很多于是看得很多 想想我都要大学毕业了……            
(5星)	 看过十年，自己也老了。            
(5星)	 十年            
(5星)	 全是回忆。。高中的回忆            
(4星)	 汇聚爱情之经典桥段            
(5星)	 年轻时的李亚鹏说话特别像我的初恋男友，那时候一看这个电视剧就激动。回不去的时光。            
(5星)	 青春记忆            
(5星)	 那时候的爱情~            
(5星)	 曾经让我对青春和校园充满了无限期待。            
(4星)	 经典的青春            
(NA)	 70年代的爱情，我们转眼即逝的青春里的激情            
(3星)	 我其实觉得这部整体拍的很奇怪啦...但是很经典            
(NA)	 第一步            
(2星)	 徐静蕾……太 嗲 了 ！            
(3星)	 大部分演员都不怎么喜欢。。            
(4星)	 依然有爱情，在游荡。            
(4星)	 4+            
(5星)	 我第二爱的电视剧            
(3星)	 一白张，你不能这么狗血啊！            
(4星)	 我只看前半段一遍又一遍            
(NA)	 那个时候很喜欢李亚鹏，觉得那就是自己喜欢的大男生的类型，那个徐静蕾一度让我嫉妒，因为可以得到筝的喜欢。。。。            
(4星)	 从那个时候开始喜欢徐静蕾，谢雨欣，也开始反感李亚鹏，呵呵            
(NA)	 只有張一白才能將我們的愛情拍得如此心醉憂人。。。            
(5星)	 将爱 请进行到底            
(5星)	 中國偶像劇里程碑吧~~~            
(5星)	 这是我在完全不知道青春是怎么一回事的时候遇见第一次青春            
(NA)	 这部应该是北京夏天之后属于年轻人的爱情剧了吧。当时为还在初中，朦胧的爱情观念，当时在思考大学好让人羡慕啊。现在已经忘记了一些镜头，我不时候很喜欢雨森的死和后面一些东西的发展，但是也没抗拒。有时候生活就跟看电影一样，主宰的人都不是你自己，你只能是观众            
(NA)	 十年了，纪念下，所有过往的青春岁月            
(5星)	 什么都很经典，包括主题曲和片尾曲            
(4星)	 当年的经典            
(NA)	 那时候就没觉得徐静蕾好看，现在更丑了。            
(5星)	 很晚才看的片子。喜欢老徐。            
(4星)	 　十年前  纯真懵懂 却看了.. 　　 　十年后  时过境迁 不愿再看了...            
(5星)	 我以前硬盘里唯一一部完整的电视剧。小时候在电视上看了前半部分，两个主人公年少的浪漫；上大学后在硬盘上补完了后半部分，恰恰是男主和另一女主成熟后的选择。            
(5星)	 经过半年的拉锯战终于看完了，这段美好而纠结的爱情啊！很喜欢片中的配乐！            
(5星)	 ing......            
(4星)	 青涩的内地偶像剧。            
(3星)	 曲子都很棒            
(3星)	 带着遗憾看完。。。            
(NA)	 对大学的最初的幻想            
(3星)	 当年很红啊，因为这部剧认识老徐            
(4星)	 我就喜欢那里那李亚鹏那样的            
(5星)	 有我也爷们儿廖凡            
(NA)	 再做作也还是爱看            
(5星)	 年少            
(5星)	 小学时看的了            
(NA)	 恰同学少年...            
(4星)	 放在现在也是不错的电视剧            
(4星)	 当时多爱啊,乐言和小艾在公车上的一幕~~~~            
(4星)	 中国大陆第一部偶像剧            
(3星)	 很久很久了            
(4星)	 适合初中生。            
(5星)	 前7集太美好            
(5星)	 故事越到后面越精彩啊 长大了终于明白若彤了……            
(NA)	 老徐从前演戏真做作            
(5星)	 记忆深刻的初中看的大陆偶像剧~            
(5星)	 这是一部描写初恋,步入社会的真实美好的片子。有时候让人感觉到人的长相，气质都不是那么重要，重要的是，一个人的性格，和内心。印象中有文慧纯洁美丽，可以真纯用心去爱，装作若无其事去表达自己，去说一切都没有关系，去单纯的，傻傻的实践、美丽爱情，却不知道爱情本身也是很现实的，并不是那么幻美和无瑕。有小艾的善良，一颗爱心，包容的力量。有雨森用生命去爱一个女孩，所有的伤心、快乐，都是为了她的幸福，也许爱情就是这样的难以解释吧。若彤，可以默默地爱一个人，很善良，不去破坏别人，很聪明成熟，默默对他好，了解他，了解生活，学            
(NA)	 爱爱爱。            
(5星)	 偶滴至爱            
(4星)	 当年的小徐现在已自称老徐了...            
(NA)	 关于爱的启蒙            
(5星)	 第一步看完的偶像剧（大陆）            
(NA)	 当初我还年轻的时候……值得我记住十年的电视剧            
(4星)	 ~第一部追得相當LOLI的青春偶像劇..我曾經一度聲稱要綁文慧那樣的頭髮..結果被我媽無情地鄙視了..她強烈譴責了我這種“頭腦出問題了”的想法..            
(3星)	 已然忘记里面的事情了            
(4星)	 当他们所有的人都很年轻的时候。            
(4星)	 小学时候看的～            
(4星)	 在我们相遇的地方，依然人来人往。            
(NA)	 那一年 我17岁             
(5星)	 你们约好要看海的            
(4星)	 那时，我相信。            
(5星)	 虽然真的是个九流肥皂剧，但是毕竟是在那个时候让我痴迷过            
(NA)	 N久之前看的了            
(NA)	 流离失所            
(4星)	 小柯的音乐很好。还没看完的时候就讨厌李亚鹏了。还没等他演靖哥哥呢。            
(3星)	 喜欢徐静蕾            
(NA)	 看的差不多都忘了 还是喜欢            
(NA)	 有两幕距情是永久深刻的.杨铮和朋友们载着玫瑰花去找文慧的那一幕~ 以及杨铮和文慧在电话里交换大海的浪涛声的那一幕.多么美丽哟~            
(NA)	 太鼻祖了            
(5星)	 一遍一遍又一遍。            
(4星)	 年轻真好，友谊万岁            
(5星)	 心目中不可撼动的大陆剧经典            
(5星)	 中国大陆青春偶像片的经典            
(5星)	 那时的徐静蕾~~            
(4星)	 最喜欢最前面几集的老徐了，老清纯的            
(5星)	 年轻真好            
(3星)	 这应该是中国偶像剧的始祖了吧。            
(NA)	 徐静蕾             
(5星)	 可是我真的喜欢这部电视剧啊。还有里边的歌，还有帅帅的高旗，还有客串旅者的张楚。            
(NA)	 那个时候的最爱，以为喜欢那时的徐静蕾，还有里面的音乐。。。曾经理想中的大学爱情            
(NA)	 也许那时候还看不懂爱是什么，长大或却发现爱离我很远，因为爱是我最不能奢侈的。            
(5星)	 当年在初恋的自行车后座，我唱得最多的歌，都出自这里~好喜欢清纯的徐静蕾            
(3星)	 喜欢非主角。            
(5星)	 还记得片尾曲旋律            
(5星)	 本人最喜欢的一部青春偶像剧。看它的时候觉得画面的颜色好鲜艳，爱情都轰轰烈烈的，浪漫又充满波折，那么美的大学生活。小小懵懂的我还以为所有的大学生活都是这般的美好呢，从这部戏开始了对大学、对爱情的憧憬和向往。时隔十年，还能清晰的记得其中的很多画面，杨铮载着文慧，在文慧楼下放着那么多的玫瑰，在海边通过手机波浪的声音，两人在闲暇时依偎着逛街……伴随这令人澎湃的关于爱情的动人旋律，这里面的爱情让我沉醉。            
(NA)	 曾经~            
(3星)	 印象中大陆第一部青春偶像剧 虽然风格不是很喜欢 可是歌曲还是很抓人的            
(NA)	 初中时候看的，好久远的事情了。            
(3星)	 第一部国产偶像剧，老徐的惊艳出镜，小柯的音乐迄今还喜欢            
(5星)	 又一部质量很高的国产青春爱情剧，这里面的大学生活可以说影响了我的整个中学时代。就是李亚鹏太难看了。。以前就觉得不好看了...徐静蕾不错的，王学兵也不错的~~嘿嘿            
(4星)	 电视上看了点,没全.感觉应该是早些的国产爱情经典,想找个空好好看看看后,发现刚开始徐演得有点假,后来就不错了..            
(5星)	 看得到青春的味道，看得到爱情的味道……            
(NA)	 就是这部电视剧让我对大学充满向往            
(NA)	 曾几何时。。。            
(4星)	 即使没有爱情 也要将爱情进行到底            
(3星)	 曾经风靡一时~~~            
(5星)	 可以吗看这部连续剧的时候，俺正经历俺最纯情的初恋啊。。。            
(5星)	 高一看的偶像剧            
(4星)	 那个时候就盼望有这样的大学生活，但事实上发现并不是如此            
(4星)	 中国的《在爱的名义下》            
(5星)	 最初的，最后的感动。            
(5星)	 恩喜欢很久以前了哦            
(NA)	   在很小的时候。在夏天。            
(5星)	 en 2001            
(NA)	 以前就觉着我像若彤一样　跟所有的男孩都是哥们儿            
(2星)	 唉，大陆其实拍的生活片和历史片挺好的，是其他地方拍都无法替代的，偏偏要学人家拍偶像剧，真是呕啊，唉……不过里面的音乐还不错            
(1星)	 当年看的时候相当之讨厌杨铮和文惠 非常做作 不可理喻            
(5星)	 中国版的爱情白皮书让我对两位主角好感倍增，这么多年过去了，偶像也变成了实力派．            
(5星)	 喜欢乐言的。配乐都好好听^_^            
(3星)	 当时还觉得杨峥挺帅呢。。。            
(5星)	 最爱的内地偶像剧。            
(4星)	 谁都经历过的时代            
(5星)	 现在再看仍会被感动得想哭。。。不是剧情，而是因为回忆            
(5星)	 小学看的时候只喜欢前面六集半 大学再看喜欢的是乐言和小艾的状态            
(NA)	 乾淨的..            
(4星)	 里程碑式的偶像剧            
(5星)	 迄今为止中国拍得最好的青春偶像剧。            
(3星)	 傻傻的            
(3星)	 为什么当时很喜欢            
(5星)	 中国最成功的青春偶像剧            
(5星)	 我看过的唯一一部青春偶像剧（我也会看偶像剧！？）记得自己非常喜欢里面的若彤，片中小柯制作的音乐至今印象深刻            
(4星)	 我当时就没看到最后一集，我现在也没看到，但我已经不想看了。            
(5星)	 “看见你从我门前走过，于是就轻轻唱了起来..&#34;&lt;遥望&gt;            
(4星)	 记忆            
(4星)	 等-你-爱-我            
(5星)	 再青涩也是爱            
(3星)	 好歹也是中国第一部正了八经的偶像剧            
(5星)	 曾经的美好回忆            
(NA)	 将不喜欢李亚鹏进行到底~这片就被他毁了毁了            
(4星)	 同济校园哈            
(4星)	 感动一代人的经典            
(4星)	 美好的大学时光            
(4星)	 我挺喜欢的一个故事 还是在同济拍的啊            
(4星)	 流光不再            
(5星)	 曾经非常着迷的电视剧，看了多少遍数不清了，五年前第一次去上海还一直寻找剧中的场景，曾经在交大的广场上非常矫情地回味剧中的情节。第一次看这个剧的时候还在念高中，现在却已经工作一年多了，时光飞逝啊……            
(5星)	 我永远的大学 爱张一白            
(NA)	 暑假经典片            
(4星)	 初中看的 以为大学就是这样的            
(3星)	 大家都很努力地装日剧的清纯            
(5星)	 最赞王渝文。            
(5星)	 那个时候的我们，现在的我们。            
(4星)	 据说是中国第一部偶像剧,前些日子重温了一下            
(4星)	 那时候看这个片子的时候还很小，不懂事，但那种清纯的气息有那种迎面而来的感觉            
(4星)	 我的青春...            
(NA)	 将爱情进行到底的时候，没有爱情。            
(5星)	 好风长吟            
(4星)	 喜欢上一个人是很容易的，一见倾心，日久生情，可感情又是复杂又纠结的........很爱这部剧的配乐，果然那时的李亚鹏还是蛮有魅力滴，对吧对吧            
(NA)	 为什么又会想起这个剧。。。其实小时候并没有看全，关于它的印象也很模糊了，可是现在耳机里想起小柯那首《遥望》竟又像去年此时看完《将爱》后一样，想要把剧再刷一遍，好像是温习本不属于自己的回忆。            
(4星)	 记得是小时候和姐姐看的 但情节完全没什么印象            
(4星)	 第一部            
(4星)	 等你爱我            
(NA)	 因为爱情            
(4星)	 终于看完，总是觉得那时候生活和谈恋爱一样都是很干净没有什么复杂的东西在里面，喜欢你就去爱你，不需要什么理由，将爱情进行到底            
(5星)	 已成回忆            
(5星)	 当时的校园爱情，现在的校园爱情。。。            
(4星)	 无比怀念。。。            
(5星)	 在你我相遇的地方依旧人来人往            
(NA)	 明明是进行到底的故事，怎么都给掐断了。            
(NA)	 情绪波动的死胖子。            
(NA)	 永远也不会忘记的情节~            
(5星)	 wo xiang zai kan yi bian.!!!            
(4星)	 80后記憶~            
(5星)	 应该是最早的偶像剧            
(5星)	 等你爱我            
(5星)	 还是这部好啊。。。            
(5星)	 读初中时看的，当时那叫一个着迷呀，还模仿徐静蕾的穿衣搭配            
(4星)	 难忘文慧和杨峥翻过学校大门的场景，难忘他拿着玫瑰花向她表白的场景，难忘大雨中他们在操场上奔跑的场景。当年一心地希望李亚鹏和徐静蕾戏外也能结缘，现在李的身边有了女王王菲，生儿育女；老徐被人戏称半老徐娘，面容苍老了许多，自嘲会将爱情进行到底。            
(4星)	 只喜欢在大学那一段。走入社会后，就觉得无趣了。            
(4星)	 当年的偶像剧            
(4星)	 最早的偶像剧吧……            
(5星)	 在你我相遇的地方，依然人来人往，依然有歌声在游荡，在你我相爱的地方，依然有人在唱，依然年少无知的感伤            
(NA)	 好像是甩好看的样子不记得了。。            
(5星)	 可能不是每集都看过，可那时候自己确实向往过大学生活的，虽然现在知道并不一定那么绚烂多彩。            
(3星)	None
(NA)	 太喜欢了，无法用打几颗星来表达，杨峥和文慧，青春的记忆！            
(NA)	 徐静蕾穿白裙真是美极了            
(5星)	 在心里留下的印象无与伦比            
(5星)	 十多年后的补习。一本书、一部电影、一个片断，影响一生的轨迹，原来真的如此。ps:音乐真好            
(5星)	 献给过去那段美好的日子。            
(5星)	 好久好久之前，就要计划一个人，在自己的屋子里，把这部戏认真地看完。认真笑，认真哭，然后以更青春的面容回归生活。现在它还在to-do-list上，不知要等多少年在会ready。            
(NA)	 其实我最喜欢的角色是若彤，可惜这个台湾演员王渝文后来几乎没有怎么见到过。            
(NA)	 为了看电影版的将爱，暑假里恶补了全集            
(5星)	 那时候……多纯啊。            
(4星)	 第一次知道青春，知道爱情。。            
(4星)	 小时候和姐姐一起看完的，记忆深刻，尤其是杨峥他们在运动场跑步的时候。            
(5星)	 ⋯⋯那个梦⋯⋯⋯⋯谢谢破破⋯⋯            
(5星)	 多年前的回忆。青春的回忆。            
(4星)	 原来当年我小时候流行这些东西            
(4星)	 第一部偶像剧？？那时还挺喜欢徐静蕾            
(4星)	 青春的记忆            
(5星)	 这剧简直就是言情界的良心……            
(3星)	 我看过。。。。。            
(4星)	 那首《等你爱你》现在想来还会一直回荡在耳边            
(4星)	 重看，依然感动。            
