http://movie.douban.com/subject/1718150/	天龙八部
(4星)	 段誉美。个人感觉萧峰比港版的像一些…奇怪的就是不管是李若彤还是刘亦菲都觉得跟原作小说的王语嫣感觉又出入。            
(4星)	 萧峰真好！林志颖刘亦菲真是一对so马马虎虎的花瓶...蛇蝎入骨的马夫人不该长一张马脸吧...大爱舒畅童姥！陈好一如既往在挤眉弄眼....            
(5星)	 最喜欢的一部金庸剧            
(4星)	 难道爱比恨更难宽恕            
(NA)	 好喜欢刘涛演的阿朱~不过整体觉得场景画面都很PL，只是台词和演员表演方面偶尔让人觉得不自然            
(NA)	 我最喜欢看的一部。            
(5星)	 加点仙侠的东西            
(3星)	 还是比较喜欢黄日华演的乔峰            
(5星)	 亲爱的小志            
(4星)	 我觉得整体上比黄日华版好不少。第一眼看到阮丹宁的时候很唏嘘            
(5星)	 萧峰与阿朱 英雄悲与心意通 经典            
(4星)	 主要是演员喜欢            
(4星)	 乔峰演的确实不错            
(NA)	 武侠什么的真不适合我            
(NA)	 胡军版的夜不错            
(4星)	 刘涛惊艳了            
(3星)	 额，虽然很多人说可以，但是无法撼动我心中的TVB天龙八部            
(5星)	 好看            
(4星)	 央视这版天龙可能是最接近原著的了            
(3星)	 当时非常迷恋这版的段誉，我就是希望段誉跟木姐姐在一起，就差一点了啊，他们就。。o(︶︿︶)o 唉，让我失望了            
(4星)	 真是个悲剧。            
(5星)	 天龙八部这样宏大的金书就该有这样开阔的取景。            
(5星)	 五颗星全给刘亦菲嘛            
(4星)	 只为阿朱和乔峰            
(4星)	 这个才是结局啊，这版的阿朱比较好我脚着            
(3星)	 好吧。我无聊够了            
(5星)	 阿朱！！！！            
(3星)	 。            
(3星)	 演员选得都不错 胡军林志颖刘亦菲 但是我心里的乔峰是黄日华那个样子的            
(4星)	 我人生中第一次对武侠燃烧起如此兴趣~立志看完，精神境界更上一层楼！            
(4星)	 大陆拍得最好的一部金庸剧            
(5星)	 最近在回味。第一次看爱萧峰，第二看爱慕容复。            
(4星)	 你给我保护 我还你祝福 你英雄好汉 需要抱负  可你欠我幸福  拿什么来弥补 难道爱比恨更难宽恕            
(4星)	 第一次看被震翻了 03年做出这样的片子真的很不容易了            
(5星)	 翻拍经典！            
(4星)	 胡军很爷们...            
(4星)	 好看              
(5星)	 难道不好看吗？            
(4星)	 张大胡子拍的风景和女演员的整体水平比港版高            
(3星)	 这部的乔峰评价很高，可是我就是不喜欢这部。。            
(NA)	 这里的木婉清很漂亮啊~让我着实迷了一阵子~~            
(4星)	 有时间也不是很想多看一遍。。            
(3星)	 这一版确实不怎么样。。            
(4星)	 喜欢胡军的萧峰，喜欢刘涛的阿朱，而且我觉得这是陈好最出彩的角色，只是刘亦菲依然那么弱            
(3星)	 其实金庸的剧几乎每个版本都看过，胡军的感觉不错            
(4星)	 虚竹和尚意外符合我心中的形象            
(4星)	 强烈推荐，非常不错的一部电视剧。            
(4星)	 虚竹小师傅身材赞吖。慕容复还素很养眼地。各种身世之谜 各种英雄大会。甚是随性额。。            
(1星)	 傻逼做作版王雨嫣闪瞎我的眼啊！！！！！！            
(3星)	 .......            
(5星)	 对于主要演员选择以及与张纪中导演后来剧作相比得出的偏爱五星。。。其实很不错了。。。也难怪捧红了一批人。。。            
(4星)	 他就是我心中的萧峰。            
(3星)	 即使是林志颖、刘亦菲、胡军的加盟翻拍，也无法超越上一部。            
(5星)	 拍得最好的天龙八部            
(3星)	 是以前的武侠片就这样，还是大陆拍的问题。我怎么感觉里面人物的行为思想都好腐朽。动不动就要自杀，都是很无聊的理由，一点不珍惜生命。群众人物都像地痞流氓。。都是前一秒还是大爷，后一面就马上变成敌人。。都是什么啊。多数人物都没什么理性。。在那乱打乱杀。。一会帮你，一会帮他。武侠片怎么。            
(4星)	 是我人生的电视剧启蒙            
(NA)	 特技比较好。            
(5星)	 小时候可喜欢边写作业边看了。。。居然当时写作业还有效率，我好牛逼。还蛮喜欢，每个角色都挺淋漓尽致的。当时刘亦菲还是个看点，不过现在没有灵气了。金庸系列里很经典的一部啊。            
(4星)	 婉兮清扬            
(4星)	 胡军纯爷们！            
(4星)	 大胡子里面排得最好的，或者说演员最到位的。            
(5星)	 本人最喜欢的版            
(4星)	 林志颖连花痴的时候都很帅！            
(4星)	 仰望            
(5星)	 众多天龙八部版本最喜这部。对胡军，高虎很倾心！虽说小志有些装嫩的嫌疑，可是他的外形装束对于饰演段誉还是挺符合的。片尾曲更是好听。女主里最喜阿朱！            
(2星)	 坑了个爹            
(5星)	 阿朱~~经典人物~~            
(3星)	 没看完，感觉还不错。            
(3星)	 哎。。。。。。。。张纪中真的很毁人            
(4星)	 天龙八部可能因为原著中人物众多，改编的版本基本没有我最偏爱的。这版侧重乔峰这条线，胡军演得很出彩。            
(3星)	 刘涛~~            
(4星)	 唯一一部觉得比港台版好的金庸武侠            
(4星)	 四海列国, 千秋万载, 就只有这么一个阿朱, 这个版本终于肯启用一位美人来演            
(4星)	 給高虎一星            
(3星)	 对王语嫣这个角色相当的不感冒，哪版都不稀罕，莫名地            
(4星)	 好像第一次觉得谁帅就是看见段誉的时候，现在看回去肿么那么傻逼啊。。。。。。。。。。。但是胡军演的很好，绝对的还原了乔峰            
(3星)	 这个还行，比较喜欢虚竹            
(4星)	 好吧，我承认，我是为了天山童姥才喜欢这版的-_-            
(4星)	 《宽恕》真好听            
(4星)	 乔峰演得很有霸气            
(4星)	 i like～那时候觉得刘亦菲好美            
(3星)	 以前挺喜欢的            
(4星)	 场面很大了，胡军和黄日华的萧峰各有各的好。            
(4星)	 张纪中翻拍的最好一部            
(1星)	 金庸的书只能看看情节，想看情节来看电视剧，但是演员又这么差……导演也差 垃圾            
(NA)	 居然忽略了钟丽缇！！！她是我看这个片的最初理由阿！            
(3星)	 张大胡子所拍金庸剧中能入眼的也就这个了            
(5星)	 金庸的小说，独爱天龙八部~书中人物，钟情段誉~希望此生真的可以找到段誉那样的男子~            
(5星)	 萧峰和阿紫。百看不厌的理由。            
(3星)	 这一版的画面效果好太多了。            
(NA)	 除了林志颖，还是喜欢前一版            
(NA)	 这部是翻拍的相当给力的一部了            
(5星)	 原著经典，剧集也经典            
(4星)	 没那么多时间看书，便来瞧段誉的美人恩，以为轻喜，竟是惨痛悲剧。            
(4星)	 拍的很美很帅很大气啊！今天恰好看到乔峰跟阿朱那段 歌也好听！            
(NA)	 林志颖，胡军。。。            
(5星)	 大陸版的我覺得水準更高，演員挑得都很好，演技更是沒話說啊。最喜歡這部了！            
(3星)	 特技~没别的            
(3星)	 有1分完全是给胡军加的。            
(4星)	 昨晚才想到的。。。演这部剧的除了胡军很多人都这样沉寂了。张胡子的好事！            
(4星)	 张记武侠的巅峰之作，一举扭转了舆论。可惜后面几部华而不实。此剧的成功，胡军、刘涛的出色表演，功不可没。            
(5星)	 这版的天龙是我看过最好的 胡军刘涛演出了我心目中的萧峰阿朱            
(5星)	 每个人都看着顺眼            
(3星)	 欢乐片。            
(4星)	 名不虚传的美女云集。感觉这是金庸小说里面关系最复杂的一部了，出场人物也很多。中间的插曲有点雷人。主要的演员演得都很尽心，算是精彩的一部片子。            
(5星)	 刘亦菲，何军，林志颖，陈好，虚竹都是亮点。胡军成为又一个男版万人迷！刘亦菲迷倒了好多人啊当年！             
(4星)	 大胡子张纪中拍了那么多，也就这部演员还靠谱            
(3星)	 干 又温习了一遍            
(4星)	 ……这个版女银都不错，男淫也不错~            
(2星)	 有林志颖也没有抵消丑虚竹！！！！            
(5星)	 蕩氣迴腸 製作精良            
(3星)	 相比港版，虽然大部分美女都比较美（除却刘亦菲之于李若彤），但感觉很奇怪，说不出来的奇怪，而且主角们常被风扇吹着            
(4星)	 林志颖！胡军！            
(4星)	 挺好的~ 林志颖给力~            
(3星)	 可圈可点            
(4星)	 翻拍的一堆里还算不错的了            
(4星)	 还不错。            
(4星)	 忠实于原著，人物都选得不错。            
(4星)	 张大胡子拍得最好最有诚意的一部武侠片。            
(3星)	 张纪中拍得武侠剧中唯一拿得出手的            
(5星)	 喜欢萧峰~            
(4星)	 其实我觉得这个和笑傲江湖都要比港版的好一点...            
(5星)	 这版好啊 喜欢胡军林志颖刘涛            
(4星)	 虽然不及经典，但是也属于大胡子拍的片子中最顺眼的一部了~            
(3星)	 没感觉。            
(4星)	 大陆把金庸武侠拍成这样，可以了，至少说明那不是香港的天下            
(4星)	 翻拍的分大都比原来的低，这是为什么呢？这一部绝对比前几部更好些            
(5星)	 你是否还记得，我们一起看新版《天龙》的那个暑假。张大胡子最好的一部。大部分演员都极出彩。            
(5星)	 张纪中拍过的最好的金庸戏了。胡军~太大侠了！真的            
(3星)	 这个还可以的，姑娘们很漂亮            
(NA)	 没有黄日华版本好            
(5星)	 大胡子的金庸就这个还靠点谱，胡军的萧峰很霸气！            
(4星)	 好莱坞大片的背景音乐都用进去了            
(3星)	 张纪中糟蹋的还能看的一部……虽然《天龙八部》是我最喜欢的金庸故事……            
(4星)	 = =            
(3星)	 最喜欢虚竹的角色，要啥有啥。            
(5星)	 补            
(NA)	 金庸俺最喜欢天龙八部鸟            
(5星)	 这个是大陆拍的金庸中很牛逼的~            
(NA)	 极其地讨厌这里面的“段誉”！！看到最后都觉着有种亡国之君的气质o(╯□╰)o            
(4星)	 大陆版的其实也不错，不比港版的差            
(4星)	 当时最爱阿朱            
(4星)	 壮硕乔峰，看完十月围城佩服他的鹰爪功力            
(5星)	 说实话，这是金庸的一众新版中，觉得还能看的一部。。            
(4星)	 虽然看了很多遍，也听这部片子受了很多诟病，但是还是不错的！中规中矩的那么多演员集结成的电视剧算是值得推荐的。@Home            
(4星)	 虽然陈浩民的段誉也很爱,不过小志的段誉才是大大大大爱啊&gt;&lt;            
(3星)	 胡军的乔峰太经典了！胡有气势！            
(5星)	 导演鞠觉亮，期待            
(2星)	 小时候真的是无聊得什么都乱看啊。            
(5星)	 这个版本好看啊 大赞胡军            
(3星)	 没劲，配乐混乱，风格不一。97就那么几首曲子，翻来覆去，却很有特色，听着舒服。特别是乔峰每次的出场音乐，爽。            
(5星)	 这是张纪中、所有金庸作品中改编的最好的作品、、、是的，没有之一            
(1星)	 观看此片请自备小风扇            
(4星)	 个人觉得张氏金庸剧拍得最好的一部,包括演员,场景,服装,造型,武打,音乐等多方面.喜欢亦菲的神仙姐姐,还有小志的段誉.            
(NA)	 天天刮大风            
(4星)	 这个真的拍的很好！虚竹最赞了，可惜林志颖太老了……            
(3星)	 3.5吧 算基本看過。 王菲的結尾曲可以欣賞一下。            
(4星)	 很喜欢这部啊 感觉比tvb的好看~（慕容复比较好看。。）            
(5星)	 演员选得很给力            
(4星)	 可以接受了            
(3星)	 差点意思            
(3星)	 几乎不记得剧情了            
(5星)	 这版相当经典啊，大多数人物都非常符合原著气质，最棒的是阿朱和虚竹，比TVB那版不知强上了几个数量级，乔峰么胡军演的比原著更豪气更有英雄气概，其实我一直觉得乔峰是个蛮有心计的人，相比倒是黄日华那个版本更忠于原著~            
(5星)	 大陆唯一能看的金庸剧            
(NA)	 林志颖那张岁月不曾侵蚀过的小白脸啊 ...            
(5星)	 喜欢这一版的 萧峰霸气 神仙姐姐真的像神仙~            
(4星)	 忠于原著            
(3星)	 演员吧各有特色也各有没演好的地方            
(NA)	 我最喜欢的武侠片之一。            
(3星)	 比较97版和03版：大结局前者1小时（从萧峰被抓算起），后者40分钟，其间打斗场景前者大大多于后者，配乐也是前者更加振奋人心。后者根本是趁乱逃跑，根本没有前者的混战场景。三大高潮中得前两个：聚贤庄大战，03版做得还可以，但是有些夸张，萧峰完全是杀人魔了……只有少室山之役还算不错。            
(3星)	 不要让张纪中拿在手里的金庸本就还可以            
(4星)	 时光记忆            
(3星)	 帅 酷 炫。            
(4星)	 个人认为国内金庸剧拍的最好的一部，可惜没看全            
(4星)	 原来至始至终都是悲剧，除了令人艳羡的绝世武功，都逃不脱平凡人的悲剧。爱啊爱，注定要不完美才算完美......            
(3星)	 林志颖 刘亦菲            
(NA)	 美女多~            
(NA)	 喜欢小段誉~~            
(4星)	 我觉得这是张纪中最不诋毁原著的作品了            
(4星)	 张纪中干过的唯一好事。。就是拍了天龙八部。。不过不喜欢这个王语嫣            
(3星)	 刘亦菲深得我心的说            
(4星)	 选角还是很合适的            
(3星)	 。。。            
(4星)	 张大胡子也赢过一次            
(5星)	 是很经典的一版天龙八部            
(5星)	 超z1用~            
(NA)	 为了虚竹            
(1星)	 张大叔没事别出来破坏经典了            
(5星)	 我看过最好看的武侠！            
(3星)	 胡军很性感。。            
(4星)	 这版本没我想象中杯具            
(NA)	 喜欢刘涛版的阿朱            
(4星)	 美女毛多类~            
(3星)	 曾陪我度过暑假            
(4星)	 翻拍的不错            
(5星)	 武侠剧里拍得最好的一部！聚贤庄和少林寺的戏太棒了！当年鸡动得我天天想给胡军家打电话！            
(2星)	 不及原著五分之一            
(4星)	 看完我喜欢了林志颖好久= =            
(4星)	 阿朱那一段看了很多遍 T T             
(3星)	 我还是只为了刘亦菲            
(3星)	 明星最靓的一部，张纪中大叔最优秀的一部            
(4星)	 不错~~胡军演的很传神~~刘涛也漂亮~            
(5星)	 阿朱，你死得好惨。。            
(1星)	 大陆的和谐片            
(3星)	 比TVB的逊色一些，不过还可以了。            
(4星)	 都是美女啊，值得一看。            
(4星)	 爱死胡军版萧峰了            
(2星)	 没自己的东西……            
(4星)	 我喜欢王菲的片尾曲。            
(4星)	 不错，演员选的比较贴切，景色美丽，编剧还行，算国产里的佳作。张纪中超水平发挥了。            
(3星)	 为什么王语嫣出来我就觉得在看话剧            
(4星)	 阿朱那段很美~            
(4星)	 在一系列被张纪中糟蹋的金庸剧中显得鹤立鸡群            
(3星)	 还是喜欢黄日华版的乔峰            
(NA)	 片尾曲。。            
(5星)	 不错哟            
(4星)	 胡军版萧峰不是英雄，是刽子手，是屠夫！            
(3星)	 乔帮主。            
(4星)	 张纪中真是各种翻拍啊~~            
(4星)	 国产武打剧，目前为止拍的最成功的一部。            
(4星)	 刘亦菲扮演的王语嫣虽然演技不佳，但是气质却很迷人。            
(5星)	 因为这部剧喜欢刘涛的 阿朱死的时候我哭了~!            
(3星)	 刘亦菲版王语嫣丢掉了李若彤版的古香            
(5星)	 我喜欢这个段誉。。            
(4星)	 阿朱是亮点~~~            
(4星)	 看完这部电视剧，我恨不得把阿紫掐死，让她永世不得超生！很喜欢段正淳、虚竹、天山童姥这几个角色！            
(4星)	 画面还是不错的，起码勾起了我看原著的兴趣。            
(4星)	 最爱这个版本的萧峰了            
(NA)	 当时很喜欢            
(3星)	 主题曲不错. 除此之外，配乐一般 演技一般 动作设计也一般.            
(4星)	 比起香港版，总觉得差了一些，但是还不错            
(4星)	 其实我觉得还不错，尤其是刘涛演的阿朱……            
(2星)	 ~_~            
(3星)	 这才是北方汉子，让人感动的阿朱和乔峰            
(5星)	 张纪中的金庸剧就这部经典            
(5星)	 这个我觉得翻拍的算是很好的了.            
(NA)	 老喜欢胡军了 纯爷们            
(5星)	 这一版是张纪中导演的金庸系列中我唯一从头到尾看完的。其他不评论，见仁见智吧，但演员选的很经典，尤其胡军的乔峰，很悲情。            
(2星)	 张纪中的都讨厌！            
(4星)	 大胡子就这部最好看了            
(3星)	 所有大陆翻拍金庸剧里唯一有好感的一部. PS.刘涛的阿朱真心美啊            
(4星)	 挺好的~            
(4星)	 我就爱看内地的真实美景，胡军高虎舒畅都演得好            
(5星)	 完全是冲着我最爱的萧大侠给的.....            
(2星)	 哦，讨厌张纪中版本的一切。。。            
(4星)	 不得了不得了不得了啊            
(4星)	 很长一段时间陷在对萧峰的爱慕中无法自拔啊无法自拔            
(4星)	 我变态，竟然喜欢虚竹            
(3星)	 为什么我老是看央视的金庸...            
(5星)	 因为有刘亦菲在。。哈哈            
(2星)	 我喜欢港版的            
(3星)	 大学时期看完的两个电视剧之一。            
(3星)	 这个版本无爱啊            
(NA)	 最喜歡的版本            
(5星)	 胡军的乔峰是最棒的。。。            
(5星)	 这就是最好的武侠剧嘛，比港版的强到哪里去了。如果这都没法满足，那张大胡子真是没办法了。。。            
(3星)	 刘亦菲真丑            
(3星)	 胡军超乎想象            
(5星)	 爱            
(2星)	 哼            
(2星)	 已有珠玉在前了            
(4星)	 曾经独爱黄日华的萧峰，但看了这部之后，觉得胡军演的才真是萧峰啊，黄日华只是乔峰而已…            
(3星)	 女的普遍比老版好看            
(4星)	 曾经被桃林中的神仙姐姐秒过~~            
(NA)	 我年轻时候看的。。。            
(5星)	 央视唯一一部超越TVB的金庸剧            
(2星)	 张纪中无语。。。            
(3星)	 这部拍得不错，舒畅和林志颖的演技都不错，刘亦菲演的也还可以，同样都是李若彤原来扮演过的角色，就这个还可以比较一下。            
(4星)	 胡军还是很男人的            
(3星)	 大家交口称赞胡军的乔峰，可我总觉得不好，像乞丐一样，他没有我想象中乔峰的乞丐。当然不是那种虎躯一震的霸气。其他人物，唯一让我觉得还好的就是刘涛的阿朱，可惜少了开始时候的娇俏，后来的深情不悔、柔情万千倒是很到位            
(5星)	 最好版本的天龙八部！            
(5星)	 张纪中拍过的金庸最好电视剧            
(4星)	 很靠谱的金庸电视剧，胡军演的不错，只是黄日华已经成为经典了。严重鄙视这里的凌波微步，怀疑武术指导看没看过小说。总体来说超过了以前的。            
(3星)	 说实话只有萧峰符合            
(3星)	 因为林志颖才看这部电视剧             
(4星)	 阿朱 惊艳逍遥老仙与虚竹 轻功 惊艳            
(4星)	 我挺喜欢这个版本的呀。胡军很MAN的~            
(2星)	 除了刘亦菲外就没什么看点了            
(3星)	 我如此讨厌张纪中。。。            
(5星)	 挑不出什么刺儿来            
(4星)	 不好意思，就只看过这么一部            
(4星)	 为什么偏偏看了塞上牛羊空许约那一段            
(4星)	 虽然大家都不看好这部电视剧，但我认为已经是大陆版最好的~喜欢胡军！            
(5星)	 我喜欢婉妹。。。蒋欣，记住你。。。            
(3星)	 有些拍得还可以，比央视的笑傲好多了……            
(3星)	 哎呀太喜欢阿朱了。            
(NA)	 刘涛表现的不错。            
(5星)	 乔峰与阿珠的爱情悲剧，让人感伤落泪。            
(4星)	 近年来翻拍的比较好的。。            
(5星)	 这是我看过的最优秀的天龙版本，或许有很多人不同意，但萝卜青菜，各有所爱。            
(1星)	 讨厌！            
(3星)	 “庶民如尘土，帝王亦如尘土。大燕不复国是空，复国亦是空。”慕容博是这样说的。于是，释怀。陈世骧先生说：“无人不冤，有情皆孽。”天龙八部注定是个悲剧。            
(3星)	 胡军冲动了。。神仙姐姐……呃，当我没提过            
(5星)	 张纪中不算太无能            
(4星)	 也还行。            
(3星)	 只有胡军顺眼            
(4星)	 不错            
(4星)	 无功无过            
(2星)	 = =            
(4星)	 好 一个了得            
(5星)	 很不错了，参照原著，我很满意。            
(4星)	 萧峰很man            
(2星)	 烂到家            
(5星)	 最喜欢的一部武侠            
(4星)	 这是张纪中金庸作品中骂声最少的，角色选的不错。            
(1星)	 这个片子在前人的映衬下实在是太次了！！！            
(2星)	 要不是为了林志颖，它连一星都不值            
(3星)	 还是第一部的人马好            
(3星)	 胡军那杀气......            
(4星)	 还算可以            
(5星)	 整体把握住了 细节可以不究            
(3星)	 金庸武侠            
(5星)	 老子就喜欢，勾起大学的回忆，天天宿舍的人都追着看            
(4星)	 莫非我有觉得这一部其实很能看囧RZ            
(4星)	 只因为胡军演活了我心中的乔峰，4颗星~如果是张纪中，没有星~最恨他把剧中人，假发飘起来的样子！            
(5星)	 ZJZ的片子中唯一认真看完整的            
(4星)	 我还是喜欢老版的，但是胡军很英雄形象。            
(5星)	 唯一喜欢的大胡子导的电视剧...小志宝刀不老...            
(5星)	 喜欢段誉和语嫣这对            
(4星)	 很喜欢胡军的，觉得他演大侠最适合不过了。不过就是他和阿朱的戏太苦了，到现在有的台放这个都不敢看这个部分。记得甜甜是每次看书看到这个地方都会哭的，有什么比心爱的人死在自己手下要难过的呢？好在萧峰到最后一直坚持着对阿朱的感情，没有接受阿紫，让人觉得他真的是条好汉！这部戏有好多美女的，喜欢段誉和王语嫣的感觉……            
(4星)	 记得大学的时候大家看得挺带劲的，央视这部应该算是不错。            
(4星)	 这版好看            
(4星)	 还是比较喜欢港版的……            
(NA)	 当年一起看电视剧的姐妹，何时重聚重欢颜？            
(3星)	 一般,没有原来的好看            
(2星)	 此段誉远不如陈浩民版段誉；此乔峰远不如黄日华版乔峰。这部片里的刘亦菲都不如原先感觉漂亮了。以前如果我是第一次就看了这部天龙八部，绝对不会认为它胜过射雕的。太烂，太烂，太烂。            
(1星)	 扮相真可怕            
(3星)	 就喜歡少林寺比武那一段～            
(5星)	 因为王菲的主题曲            
(5星)	 不错不错。演员都比较漂亮……            
(4星)	 很符合原著。我不喜欢王语嫣，所以很喜欢是刘亦菲演这个角色~~            
(4星)	 不管怎么说我看这版就是比TVB版要好！            
(4星)	 张纪中也就这部可以看了            
(2星)	 除了画面好，其他的，，，，唉            
(5星)	 好本子！帅哥！美女！我不行了~            
(3星)	 胡军这个sb            
(NA)	 还行。。。            
(4星)	 当时正看着，就听说高虎开车撞人了            
(5星)	 最好的版本            
(NA)	 。。。张纪中。。。难的看完了的国产武侠剧            
(5星)	 国剧典范，武侠剧教科书            
(NA)	 胡军很有型。。。            
(NA)	 金庸的武侠，是不得不看的。只要你想在这个物语的世界上生存，他是一门智慧，教育我们如何更好的生存。            
(4星)	 我还是觉得这部天龙八部比港版的好，不过刘亦菲是敌不过巅峰时期的“小龙女”的。            
(3星)	 看得好少好少            
(4星)	 有质感            
(3星)	 那个大胡子唯一拍得还不错的            
(NA)	 收拾房子的时候在看。觉得没有印象中的好看。不过还是很不错啊~cute~            
(5星)	 喜欢大陆的金庸剧            
(5星)	 五颗星给大战归云庄和燕云十八飞骑的萧大侠！            
(3星)	 也许不错 我觉得马马虎虎啊            
(4星)	 喜欢萧峰，更喜欢胡军版的萧峰~~~            
(3星)	 不是很喜欢这本书            
(NA)	 是某次旅行大巴于某处滞留10几个小时才看完整的...            
(4星)	 虽说张纪中这人越来越不检点了吧……            
(4星)	 好吧。。我对胡军很有感觉……            
(4星)	 不错            
(3星)	 金庸            
(4星)	 我认为是史上拍天龙八部最好的一部            
(NA)	 胡军版的萧峰把北方大汉的豪爽与霸气表现的淋漓尽致,几个大场面的戏做的气势恢宏且张弛有度.            
(NA)	 不是很喜欢            
(5星)	 最喜欢这里面的段誉，也认为这里面的段誉是最好的一个！            
(4星)	 哈哈，看了放羊的星星后狂迷小志呢！百无聊赖，只好看天龙里面的段公子了。——其实拍的很不错啦；胡军和蓝宇里面形象有很大不同哦！！            
(3星)	 相比于前面几部张纪中的已经是相当不错了！！！            
(NA)	 看了胡军的乔峰一下才明白真正大英雄该什么样 气魄如万里晴空 气概如涛涛江海真男人！            
(NA)	 一般            
(4星)	 看过            
(5星)	 最经典的《天龙八部》非它莫属！            
(NA)	 好看，大部分都以好看为说，不好看自然是正常的，更是对张导下部金庸著作的更加精致！谁导的呀？ 周晓文？不是张纪中么？ 原来有这样的小疑惑,明白了,张纪中是制片            
(NA)	 s            
(3星)	 一般，还是喜欢黄日华那个版本            
