http://movie.douban.com/subject/2295811/	机灵小不懂
(2星)	 以前，李BB长酱紫额。            
(4星)	 我是一直看一直笑            
(NA)	 以前看过好几部张卫健主演的搞笑剧 = =            
(NA)	 真不幸，这个我也看过= =            
(3星)	 张卫健一成不变。            
(NA)	 很有爱。            
(4星)	 mr.zhang 算是那个年代的喜剧电视剧的mr.zhou 了吧            
(4星)	 记得是关于古代高考的一部古装剧            
(3星)	 情节很瞎掰。            
(4星)	 张卫健那个时期就是这个型的            
(3星)	 当时对那个凤姐超有感            
(5星)	 哎呀！！！！找出来了！！！啊            
(4星)	 看过好几遍吧····            
(5星)	None
(5星)	 当年 好像 学到 很多            
(4星)	 我曾经是那么喜欢这电视剧。。            
(3星)	 没神马感觉了……            
(3星)	 第一次见到聂远            
(5星)	 挺搞笑的……            
(3星)	 。            
(5星)	 从前有个太监。。。            
(3星)	 神神气气~神神气气不懂老师~            
(5星)	 不懂老师            
(3星)	 初中时看的，也纠结它的剧情。            
(1星)	 这类型的到底是要拍多少？连造型都木有什么变化啊，头还是那个光头啊。            
(3星)	 当年的李冰冰，唉！            
(4星)	 无意间租的片子 却很是喜欢            
(3星)	 好老师的形象深入人心。            
(4星)	 视觉疲劳            
(5星)	 那些年，每个暑假，期待张卫健的新电视剧            
(NA)	 有一阵子每年暑假都放啊            
(3星)	 当时觉得薛佳凝可好看了 不知道怎么回事            
(4星)	 以前张卫健的剧总是很喜欢            
(4星)	 那时候很喜欢何美钿~            
(5星)	 当时真的哭了！            
(4星)	 不懂老師 我喜歡的            
(5星)	 中国古代版GTO            
(4星)	 第一次看李冰冰演戏就是这部，当时觉得她蛮漂亮，表现也挺活泼的。现在她也成了炙手可热的明星了。            
(3星)	 甯王（¯﹃¯）            
(3星)	 神神气气神神气气不懂老师~辩驳最流利~！            
(4星)	 好像小时候追的张卫健的片子，现在看来都傻得可以            
(5星)	 适合少年看的片子             
(5星)	 张卫健除了《少年方世玉》和《机灵小不懂》之外都不好看。            
(5星)	   很搞笑 。            
(3星)	 何美细好文静            
(3星)	 真心喜欢张卫健！！！！            
(3星)	 张卫健演什么都是一个样- -            
(3星)	 神神气气神神气气不懂老师 辩驳最伶俐            
(4星)	 不懂老师好给力。            
(4星)	 不懂老师印象深入人心啊            
(5星)	 宁王帅死了啊！！那时候的李冰冰难道不可爱嘛！！小不懂啊！很励志的有没有！！            
(3星)	 很好看 。            
(4星)	 小时候看的时候真是觉得搞笑啊            
(5星)	 就是喜欢张卫健            
(4星)	 当时多羡慕有这样的老师呀~就像是《十八岁的天空》古代版一样~现在反而没太有这样的校园剧（大雾）了吧~哎，挺怀念的~            
(4星)	 经典            
(4星)	 就是这个时候才觉得李冰冰漂亮。。。            
(3星)	 那段时间看过的无数中等可看却印象不深的电视剧之一。。。            
(3星)	 我只想说张卫健演的所有人都一个性格            
(3星)	 话说···看这剧集的时候我已经对张卫健审美疲劳了···            
(NA)	 我喜欢里面的不懂老师，哇哈哈哈。            
(4星)	 小学啊小学可喜欢看了~            
(5星)	 好片好片啊。。。。。。。。。。。。。。。            
(3星)	 这讲什么得来这            
(3星)	 童年的回忆~            
(4星)	 不知道为什么以前会觉得那么好笑。。。。。。。。。            
(4星)	 以前很喜欢张卫健            
(4星)	 貌似略欢乐            
(3星)	 张卫健呀。            
(3星)	 有点小2·            
(5星)	 记得就是因为看了这片开始买《上海电视》的！不过高中就不买了=w=            
(3星)	 皇宫是个是非之地            
(4星)	 我当时觉得特好。。。现在的不伦不类的古装片都没有它像样。。。            
(3星)	 我看完以后也是小不懂…            
(5星)	 剧情编排很好~所有的演员都很到位~            
(4星)	 年轻的时候很是喜欢啊……            
(5星)	 那时候喜欢聂远 喜欢宁王 喜欢何美钿 现在想想觉得是很好的片子起码是有情节的 现在的国产电视剧……囧了            
(5星)	 背着妈妈看的~偷偷看电视剧的心情真是难忘            
(5星)	 这个也绝对是个经典。经典            
(5星)	 童年            
(4星)	 又搞怪又机灵的和尚，罗家英在里面也很有趣。开始很好玩，后面很狗血，各种身世啊阴谋啊之类都出来了。            
(4星)	 很小的时候看的，不错，值得怀念            
(3星)	 不懂老师。            
(4星)	 当年很爱的张卫健系列            
(5星)	 小时候暑假一定要看的            
(5星)	 那天跟干儿子讨论十八学士那种茶花来着。。。            
(4星)	 有点童年的感觉呢            
(4星)	 当时被惊艳到，现在看来就没什么了            
(5星)	 3            
(4星)	 最出彩滴总觉得是南宫越意~            
(NA)	 小时候看的            
(3星)	 也是曾经很喜欢的=v=            
(5星)	 以前看得特别欢乐。。。            
(4星)	 那首凉风有性秋月无边的诗念了还几遍……            
(3星)	 无聊的时候看看 打发时间是真不错 岂止是不错 简直就是不错            
(4星)	 小时候我还挺爱看的。。。            
(4星)	 不懂            
(3星)	 很可爱的剧            
(4星)	 欢喜游龙之后一段时间的张卫健的片子都还不错什么的。。            
(3星)	 完全记不得了...            
(2星)	 很奇怪的故事。。。骗骗小孩子            
(5星)	 矮油我看了多少遍呐为什么不会厌~            
(5星)	 哈哈 张卫健+李冰冰+罗家英 不用说的啦！！！~~~这么多年了 暑假电视又有放 还是不能自拔~            
(3星)	 如果是当年的我 就会打五星...（推眼镜）            
(5星)	 非常喜欢，可是爷爷说不懂没正经            
(4星)	 小时候我会看的片。            
(4星)	 很喜欢那首主题曲            
(4星)	 大爱张卫健。            
(3星)	 喜欢何美钿            
(4星)	 张卫健不错的            
(3星)	 我就是喜欢张卫健跟范冰冰~            
(3星)	 这个，，，已经是追忆啊。。。            
(4星)	 印象蛮深的。            
(5星)	 第一次看到薛佳凝~            
(4星)	 神神气气神神气气不懂老师~            
(4星)	 其实我乜都不记得。            
(3星)	 凉风有性,秋月无边,亏我思娇的情绪好比度日如年,虽然我不是玉树临风,潇洒倜傥,我有广阔的胸襟加强劲的臂弯!            
(NA)	 感觉是张卫健比较给力的一部吧            
(NA)	 很温情的一部电视剧。教育，本该是这个样子            
(4星)	 挺好笑的。            
(NA)	 名字=[]=            
(1星)	 看到张卫健就恶心            
(3星)	 张卫健此时已经有点老了。。。            
(4星)	 聂远！！！            
(NA)	 其实我曾经也是电视剧女王！！！！！！！！！！            
(3星)	 。。。 。。。            
(4星)	 张卫健！            
(4星)	 喜欢张卫健            
(NA)	 清纯的籽言，当时我同她一样好喜欢甯王。            
(4星)	 这部剧我看了蛮多遍             
(4星)	 大段剧情抄袭GTO，娱乐剧嘛，有娱乐就行，不用深究剧情。            
(3星)	 啊嘿嘿，怎么忘记我看过这个很荒诞的电视嘞            
(4星)	 真怀念~            
(NA)	 沈晓海真是灵啊~~！            
(4星)	 神神气气神神气气不懂老师            
(4星)	 神神气气神神气气不懂老师~            
(NA)	 宁王很帅            
(5星)	 张卫健主打之一！            
(5星)	 总之只要电视台上我就看！            
(2星)	 一个大老爷们，还“不懂”“不懂”的。            
(2星)	 必须要提一下，冰冰姐的土气            
(5星)	 初一时候看的            
(5星)	 那个时候卫健哥是我的偶像……            
(5星)	 直到现在都一直会看的电视剧。。            
(3星)	 各种一般……要不是张卫健真看不下去……演员到都还不错            
(4星)	 哈哈！中国古装和尚版“麻辣教师”吗！            
(NA)	 当初百看不厌阿            
(4星)	 “小小姑娘，清早起床，提着裤子，上茅房~~茅房有人，没有办法。只好拉在，裤子上~~”            
(3星)	 我忘了最后结局。。。            
(4星)	 看这部片子，最后留下的印象就是聂远实在是太帅了。感觉他扮演的明武宗朱厚照是在是被美化的太严重了。算了，勉强张卫健也还行凑合着。            
(3星)	 今天平安夜……            
(4星)	 小时候可喜欢了。            
(3星)	 每个电视台放了又放放了又放放了又放。            
(3星)	 记得貌似当时还为里面的某些剧情跟GTO相似而郁闷过……囧            
(4星)	 也算是成长必看的了，每年暑假寒假必放            
(4星)	 很赞。。。。主角们的青涩表演。。。            
(3星)	 那阵的李冰冰没那么讨厌            
(5星)	 小时候最最喜欢的不懂老师 超级好看  啊            
(4星)	 曾经很迷。            
(5星)	 这是小时候的催泪弹，现在也是催泪弹            
(3星)	 光頭有光頭的魅力。            
(5星)	 我是张卫健迷~~超有的。            
(5星)	 张卫健很有搞笑天赋。赞。李冰冰在这里很漂亮。            
(3星)	 这片还又名：一修和尚？！！！！！！！！            
(5星)	 结局非常豪气            
(4星)	 发现大部分时光是跟电视剧度过的 张卫健真可爱            
(3星)	 这部不烦张卫健            
(4星)	 很欢乐啊，小学时候的回忆            
(NA)	 对于古代书院的无限好奇            
(4星)	 神神气气神神气气不懂老师。            
(5星)	 儿时还真是喜欢张卫健诶```            
(4星)	 以前看个电视真不容易，东一集西一集的。现在有机会看完了，又看不进去了。            
(4星)	 喜欢那里大家一起疯的感觉            
(4星)	 当初还是很喜欢的            
(5星)	 不知道分怎么这么低 反正我喜欢 青春 快乐 梦想 爱情 亲情 友情。            
(3星)	 現在裏面的演員已經今非昔比了            
(4星)	 当时觉得真好看，啧啧            
(4星)	 张卫健的一如既往的喜欢。            
(4星)	 看了很多遍了 还是蛮好看的            
(4星)	 张卫健主演，老片了            
(4星)	 很有劲的！            
(NA)	 不懂老师..            
(4星)	 我记得有一天存一元的段子让我动心且差点实践起来了            
(3星)	 这尼玛什么烂片            
(4星)	 不懂老师啊            
(3星)	 张卫健不太好看的片子之一            
(4星)	 那时候喜欢何美钿，冰冰也好            
(3星)	 话说我哥哥 那是爱这个电视剧爱到现在 不知道 不懂有什么吸引他的             
(3星)	 “己所不欲勿施于人”            
(4星)	 喜欢            
(5星)	 至少看了5遍，不厌~            
(4星)	 神神气气神神气气不懂老师 辩驳最流利~            
(5星)	 虽然山寨GTO但是很有爱！            
(4星)	 很轻松的剧！！！不错的撒。神神气气神神气气不懂老师，辩驳很流利！@Home            
(3星)	 李冰冰真没啥演技，真的~~~只记住一句经典，黄昏真的很黄啊，斜阳真的很斜啊~废话真的很废啊~~~哈哈哈~            
(NA)	 张卫健 的 说话语气已经自成一家  没人学得来了   他还有 不是这种说话方式的电视剧吗            
(5星)	 神神气气不懂老师            
(4星)	 张卫健继方世玉之后的一系列搞笑片            
(5星)	 记忆犹新            
(5星)	 好看啊！            
(4星)	 神神气气神神气气不懂老师~~辩驳最流利~~~            
(5星)	 我给5分。。            
(4星)	 一眨眼好多年            
(3星)	 小时候喜欢，长大后看好弱智...            
(4星)	 张卫健的电视剧中最好看的            
(5星)	 以前好喜欢            
(5星)	 胃癌不相信啊~~~~~·张卫健加油            
(4星)	 这是一部生不逢时的电视，现在看来，他集结了四大小生（聂远，沈晓海，何中华，黄海冰），可惜都给张卫健做配角去了。            
(NA)	 回忆。            
(4星)	 只能说张卫健老了~            
(3星)	 当时觉得薛家燕真的很漂亮啊            
(4星)	 = =            
(2星)	 看过一些            
(3星)	 里面有凤姐！！！            
(3星)	 不懂当年啥那么喜欢，边吃饭还要边看。            
(NA)	 皇子的妒意什么的最有爱了            
(3星)	 傻了逼了 以前还老模仿张卫健的葡士            
(3星)	 顿时觉着以前自己也很nc            
(4星)	 当时可爱看了！            
(3星)	 我承认我对张卫健的电视剧就是没有免疫力的            
(5星)	 看过三次了！古装版的麻辣教师吧            
(3星)	 脑筋急转弯大集合            
(5星)	 看了好多遍了 百看不厌            
(4星)	 绝对经典，小时候很爱看，哈哈            
(NA)	 还是小时候...已经记不太清剧情了&gt;_&lt;            
(4星)	 那年全班都在看小不懂。            
(4星)	 不太记得过程了，只记得几个人　的　呃……对~            
(3星)	 多傻。            
(4星)	 其实以前一直觉得老张不错啊~~那个时期除了他还有谁能演啊·真是            
(NA)	 囧 大爱沈晓海。。。！！！            
(4星)	 就是张卫健有点老。            
(NA)	 有段时间还挺喜欢张卫健这种表演风格            
(4星)	 张卫健一贯的无厘头搞笑，很青春很活泼.            
(NA)	 张卫健 × 李冰冰            
(5星)	 张卫健的经典之作之一。。看几次都是回味无穷            
(5星)	 趁着暑假又看了一遍，相当之不错，张卫健的经典！            
(4星)	 神神气气,神神气气,不懂老师~辩驳最流利~            
(3星)	 《聪明的一休》+ 《金田一》综合体            
(5星)	 童年的温馨回忆            
(5星)	 最初不觉得，在电视上断断续续的看后来过了一些年比较迷张卫健了其实就是从这部才认真开始的然后趁着各种电视台重播把这个从头到尾又看了两遍吧，哈哈哈挺好玩的            
(5星)	 我爸和妹妹当年超爱看，搞笑但又有点教育意义。李冰冰你绝对整容了。            
(NA)	 很久的时候看得，觉得我的老师要是有不懂一样好该多好（小时候的想法）             
(3星)	 童年的大爱啊            
(5星)	 当时很喜欢            
(4星)	 曾经上海台疯狂迷恋张卫健啊            
(4星)	 很喜欢            
(4星)	 我当年觉得很好看的！！！大官被欺负后来被道歉我还留马尿来着！            
(4星)	 神神气气神神气气不懂老师~            
(5星)	 好看的。。今年XX在放。。我又看了遍。。也不算。几集            
(5星)	 永远的张卫健,永远神经快乐的小不懂            
(4星)	 小时候非常喜欢的电视剧！！！            
(3星)	 现在一想好傻叉。里面竟然还有正德和凤姐的故事。。。            
(NA)	 好烦啊，话好多，好吵            
(5星)	 一年一部张卫健的 经典之作~            
(NA)	 4            
(5星)	 爱死了！            
(5星)	 重温经典            
(5星)	 孩提时代的怀念            
(3星)	 挺好看的……就是砸墙那段我想到了GTO觉得很囧            
(5星)	 童年的回忆啊            
(3星)	 不用费脑筋的开心片~            
(NA)	 张卫健张卫健张卫健张卫健张卫健张卫健哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈            
(4星)	 百看不厌╯_╰            
(NA)	 真的很喜欢张卫健诶            
(NA)	 很奇怪，看那么久还是喜欢那种感觉，简单而快乐，很容易            
(5星)	 虽是戏说，但却很经典，很有古典韵味。            
(4星)	 最近又看了一遍 很好的回忆 蛮好的小孩看的电视剧            
(4星)	 这个剧看了三两次，今天猛然发现龙台又在播。哦哇哈。            
(4星)	 OMG这也是tvb啊…不过是暑期电视剧档最好看的电视剧拉～而且难得的国语配音一点都不别扭            
(4星)	 神神气气神神气气不懂老师,辩驳最流利。假不正经乱煽情。爱摆事实讲道理。            
(4星)	 百看不厌a            
(3星)	 也就这里才开始认识张卫健            
(3星)	 嘻嘻，看着黑龙江台在放，想想俺们罗江台那百年前就已经放过了            
(5星)	 我真心喜欢张卫健            
(5星)	 张卫健！！！            
(5星)	 一直都很喜欢的，一直都是            
(3星)	 这都让我看哭了是什么意思            
(3星)	 没看全。            
(3星)	 真是当年的一大乐趣            
(5星)	 我至今仍觉得这是张卫健最搞笑的一部电视剧！看来以后也无法超越了，难得的是里面还有蛮感人的情节~~冰冰也很可爱！            
(NA)	 张卫健比我爸还大一岁、、、无敌装嫩男！            
(3星)	 我觉得李冰冰跟张卫健还挺配的            
(4星)	 神神气气神神气气不懂老师~还是初二暑假跟老弟发撒的时候看的灭哈哈~            
(4星)	 穿越版麻辣教师；初识李冰冰，很赞。            
(3星)	 原来我看过这么多部电视剧。。。我竟然还大概记得一点剧情。。。宁王。。。嘿嘿嘿。。。            
(NA)	 = -            
(3星)	 都几搞笑            
(3星)	 还不错吧。。小不懂。。编的故事蛮套巧。。            
(3星)	 看的时候真是觉得这片模仿GTO哎，一个路子            
(4星)	 多久以前的记忆了~            
(3星)	 还有点婴儿肥的李冰冰。看多了张卫健的表演，觉得有点重复。            
(4星)	 神神气气神神气气不懂老师...呵呵            
(4星)	 其实，我很喜欢这部剧的哈~~~不懂整顿学生那段最搞笑~            
(3星)	 已经忘了剧情了            
(3星)	 喜欢李冰冰的时光一去不复返            
(4星)	 不懂~            
(4星)	 搞笑之间夹杂着许多做人的道理，后半部分变成了宫廷戏。            
(3星)	 不懂不懂不懂不懂不懂老师 辩驳最流利 ~            
(5星)	 爱！ 爱！爱！            
(3星)	 小时候很喜欢，此后老一岁恶心一岁            
(3星)	 记住了正德皇帝的名字。。            
(4星)	 。。。。            
(4星)	 有一阵张卫健好红。。。            
(4星)	 还可以            
(4星)	 不懂老师~            
(3星)	 那时觉得很好看            
(NA)	 光头。。。            
(4星)	 如果你没有看过GTO的话，这是一部不错的片子            
(NA)	 一下子记不起不懂老师的那句口头禅了。            
(3星)	 何美钿一直是最爱...这部里非常不喜欢LBB...张卫健依旧延续少年英雄方世玉的表演模式...让人反感了...            
(4星)	 那个时候的张卫健红的跟什么一样的            
(5星)	 这是张卫健的经典之作啊！            
(4星)	 其实很好看嘛            
(4星)	 应籽言啊            
(5星)	 小时候超爱            
(4星)	 也不错~            
(3星)	 唉，曾经很喜欢张卫健演的角色            
(NA)	 小学晚上窝床上同爸妈一集集看的。张卫健系列片。            
(2星)	 李冰冰那时候真难看啊            
(NA)	 看了两个假期            
(5星)	 那个时候我妈上晚班我一个人在家，然后她打电话来说你不要怕哦，怕的话就看不懂老师去。T T 妈妈……            
(4星)	 不懂。那时候真的是看热闹的，一知半解的开心就好。2010.08.20补：现在重新看了一遍，又是在暑假又是和弟弟，又是在老家。很多曾经不认识的演员，不明白的道理都知道了。欢喜依然。            
(3星)	 初中的时候？            
(3星)	 小时候看的            
(3星)	 张卫健的一贯风格            
(NA)	 曾经很喜欢。但也只是曾经了。            
(NA)	 超级喜欢看 那歌还特意学了 呵呵            
(5星)	 神神气气神神气气不懂老师！这样的老师才是应该出现的！万世师表！            
(NA)	 我就是神神气气不懂老师            
(4星)	 神神气气神神气气不懂老师，辩驳最流利~~~            
(5星)	 记得初中军训那一年，教官跟我们说的第一句话就是：大家有没有看过机灵小不懂？笑:-D            
(4星)	 为童年，少年时光直接四星~~            
(4星)	 不懂不懂            
(4星)	 从这里开始认识李冰冰的            
(4星)	 记得张卫健唱的那歌挺有趣的            
(3星)	 热播那年 Olivia姐可High了一阵。。。            
(3星)	 那神神气气的童年啊！            
(3星)	 现在想想 很错其的电视剧            
(4星)	 蛮有劲额！            
(4星)	 那时候还挺喜欢张卫健的  后来就。。。。            
(5星)	 还是很经典的，有好笑也有感动            
(3星)	 小学时候风靡全班的傻剧。那台词矫情的。。。            
(5星)	 中学时代相当喜欢的电视剧，很有趣，也很有教育意义。那时候超级喜欢李冰冰啊，梦中情人~            
(3星)	 挺有寓意的 古装精灵老师智斗学生 女主是还没长开的李冰冰大姐            
(5星)	 超级经典好看的片子            
(NA)	 比较的搞笑，还行吧，前两年还看过            
(3星)	 算是张卫健很好看的一部了            
(3星)	 小时候喜欢的            
(3星)	 小时候看这部电视剧的时候觉得薛家凝的出场很惊艳            
(4星)	 小时候挺喜欢的剧。            
(5星)	 神神气气神神气气不懂老师~辩驳最流利~            
(4星)	 虽然copy痕迹严重，但很搞笑很好看            
(4星)	 和《方世玉》一样，看的开心，忘的迅速            
(4星)	 其实 不懂还是个好老师，要是能遇见这样的老师，还是很不错的            
(4星)	 那会觉得很好看，张卫健的片还是蛮搞笑保证的。。。            
(3星)	 不多说了，初中时期看的            
(3星)	 基本没印象了。。其实何美钿挺可爱的            
(5星)	 很喜欢这一部，幽默，智慧            
(3星)	 还好。            
(3星)	 叮            
(4星)	 初中暑假时看的，记得当时看得很入戏，每天晚上最快乐的事情就是等着看这部电视剧，还有《少年黄飞鸿》。剧作富有青春向上的校园气息，贴近学生生活，富有感染力和教育意义，很适合年轻的莘莘学子们看。            
(3星)	 李冰冰那个时候我很喜欢。            
(4星)	 观自在书院那段百看不厌            
(3星)	 一直对张卫健没有太多感觉···············            
(3星)	 也是乱来的~            
(3星)	 “神神气气神神气气不懂老师，辩驳最流利。”            
(4星)	 张卫健的一贯风格，但是比起少年英雄方世玉来说感觉逊色一些，总的来说还是不错的。            
(3星)	 小时候就是喜欢看这种，当年的李冰冰啊，再也找不到了            
(4星)	 好玩，蛮喜欢的            
(4星)	 也是我美好的回忆~印象最深的是不懂班里那个娘娘腔叫南宫越意。现在都清清楚楚            
(3星)	 神神气气神神气气不懂老师，辩驳最流利！            
(4星)	 神神气气神神气气不懂老师 辩驳最流利            
(5星)	 神神气气神神气气不懂老师 辩驳最流利            
(5星)	 很现代化的台词            
(3星)	 我看的 肥皂剧挺多的            
(4星)	 这是港剧？？喜欢当时的张卫健~            
(3星)	 。。。。            
(3星)	 张卫健那时还蛮可爱的            
(4星)	 a little bit aducational比极道鲜师好 看多少次都笑得起来            
(4星)	 虽然雕琢和情节抄袭的迹象明显，但还是能算张卫健无厘头古装剧巅峰作，后面都在走下坡路            
(3星)	 搞笑片，以前时常转台会看到，当作消遣也不错。            
(5星)	 觉得张卫健相当的帅            
(4星)	 OH那时候真是觉得太好笑了呀= - =            
(NA)	 啊呀呀 好怀念那时候看电视剧都可以看得那么起劲的日子~~~            
(4星)	 看了好多遍···呵呵 也是少时的记忆了·······            
(4星)	 要看很清纯的李冰冰 这里就可以~~            
(4星)	 那时真的是热播            
(3星)	 专心搞笑多好偏要后面弄个狗血剧情            
(4星)	 當年愛死了            
(NA)	 无休仔是亮点```oyaeh````            
(5星)	 神神气气，神神气气，不懂老师，辩驳最流利            
(3星)	 中国版GTO，大概是抄袭改良的开始吧            
(3星)	 小学的时候最爱张卫健的戏，无论是什么都爱的不得了，记得这最后他没和李冰冰在一起的时候多么得伤心            
(4星)	 很早时候看的~~张卫健还是够搞笑的~            
(NA)	 为什么我这么讨厌张卫健            
(NA)	 “神神气气神神气气不懂老师，辩驳最流利...”哈哈            
(3星)	 随便看看，随便看看。            
(3星)	 过了几年再看其实还是蛮好看的 以前小时候全家一起看的            
(4星)	 觉得还行吧，这部也是十年前看得了            
(4星)	 很张卫健风格，很可爱很搞笑，但也有很激动人心的东西   PS：最近才发现原来在这里面沈晓海就有和聂远的对手戏了……MV大大们真强大……            
(4星)	 小不懂蛮可爱            
(3星)	 当年可喜欢这部呢            
(4星)	 张卫健很搞怪还有罗家英，2个活宝，前面在书院的时候看的很开心，后面进京了基于不是很喜欢了            
(5星)	 很有意思。            
(4星)	 想起小学。。            
(3星)	 抄的来没边了……不过当时还是很喜欢看的= =            
(3星)	 一般般            
(3星)	 一般            
(3星)	 算是这部局和包青天开始熟识李冰冰的？            
(3星)	 小时候觉得张卫健很有才            
(NA)	 很轻松搞笑稍带点教育意义的古老的剧            
(4星)	 张卫健的剧还是不错滴            
(3星)	 李冰冰请问你演的是哪个···我忘了            
(2星)	 这都看过，额            
(3星)	 遥远的记得开头的时候很好玩            
(4星)	 对张卫健，是一直没太多好感的，只是这里的他还是挺不错的。还有那些曾经的书院生活，好感颇多            
(5星)	 张卫健拍的最好看的电视剧了...美好回忆神神气气神神气气不懂老师~辩驳最流利~            
(3星)	 一个路子。            
(3星)	 才发现有聂远。            
(NA)	 神神气气神神气气不懂老师            
(3星)	 对李冰冰的印象怪深的。            
(NA)	 看这个感动过。不懂老师的衣服都很好看啊。            
(4星)	 我记得我一直都不觉着朱姐好看李冰冰真是好看啊 小不懂真是好玩啊 有些剧情真是做作啊 当时就是想看啊 啧啧 原来里面还有何美钿!            
(5星)	 不懂老师！君子报仇，十年不晚。。。            
(5星)	 超级爱看，那个时侯            
(3星)	 很久的时候看得，觉得我的老师要是有不懂一样好该多好（小时候的想法）            
(4星)	 张卫健和冰冰是亮点            
(4星)	 貌似张卫健和李冰冰总是捆绑出现的说凉风有幸，秋月无边，亏我思娇的心情好比度日如年。。。嘿嘿，我记性还是不错滴~~~            
(4星)	 最喜欢张三丰乐             
(4星)	 这些演员我都挺烦的，但是当时看得还算欢乐            
(4星)	 很搞笑的张卫健~            
(4星)	 小时候就是先这部片子呀，然后慢慢开始开张卫健的搞笑电视剧的            
(NA)	 我只喜欢应籽福            
(5星)	 看过很多遍。。张卫健的经典之作            
(5星)	 作为一个曾经让我笑抽过的电视剧。必须排            
(3星)	 感化学生虽然很老套 但是当年我还真是蛮喜欢的            
(4星)	 神神气气神神气气不懂老师~辩驳最流利~            
(4星)	 好看，搞笑            
(3星)	 活泼可爱            
(3星)	 小时候看的电视，当时还行。            
(NA)	 神神气气，神神气气，不懂老师，daladadada.            
(5星)	 成大官童鞋!!!            
(3星)	 2007            
(3星)	 犹记得当年在小伙伴的家里，几个人挤在一条长凳上看这部电视剧的场景，然后你看完了这部电视剧，你就可以出去看到田野，经过田野边时有个小池塘，小池塘中间有个岛，再往前走，就是满天地的红花草……那时候我还不知道张卫健和李冰冰            
(5星)	 神神气气神神气气不懂老师~辩驳最流利！            
(4星)	 那时候评的话是四星。现在么…            
(3星)	 很喜欢张卫健演这种角色呢,机灵            
(NA)	 老早我就喜欢何美佃了．            
(3星)	 张卫健将搞怪进行到底            
(2星)	 抄袭严重。建议大伙看看GTO            
(5星)	 没道理地挺喜欢            
(4星)	 他是个开心小不懂。哈。            
(5星)	 里面的三男暧昧            
(5星)	 鬼马的不懂老师            
(5星)	 经典剧，搞笑轻松，适合全家一起看。            
(4星)	 杯具            
(4星)	 神神气气不懂老师~~            
(5星)	 虽然以前看过，现在看还是那么搞笑，不过不像以前那么纯粹，其实看电视能学到好多有用的东西的            
(5星)	 这个是个人经典 无论别人怎看  该部是影响我人生观的一部            
(2星)	 原来这里面还有聂远哥哥的啊……            
(4星)	 一部让人轻松的电视剧~            
(4星)	 神神气气神神气气不懂老师！辩驳最流利！            
(3星)	 剧情怎么完全忘记了呢            
(3星)	 一般吧            
(4星)	 不懂老师我想念您。            
(4星)	 当时全班都好喜欢            
(3星)	 有点傻            
(4星)	 凉风有兴，秋月无边， 亏我思娇的情绪好比度日如年， 虽然我不是玉树临风，潇洒倜傥， 可是我有我广阔的胸襟，加强健的臂腕。            
(5星)	 话说 那个时候很喜欢乐文老师和宁王 乐文老师斯文儒雅的 衣服还很飘逸 宁王后来有点失望 嗯.. 小时候 真的觉得非常非常的好看呀~ 常常笑翻哈!             
(2星)	 脑残的张卫健……            
(4星)	 不懂老师~~            
(1星)	 没劲            
(NA)	 机灵小不懂             
(3星)	 当初居然看完了……扶额＝＝b            
(4星)	 认识张卫健是从方世玉开始，感觉还不错！            
(4星)	 喜欢冰冰的天真可爱，喜欢卫健的聪明淘气，还带点柔情和教导            
(NA)	 ＧＴＯ中国古代版？            
(4星)	 不错的片子            
(5星)	 张卫健就是无敌就是王道！            
(3星)	 作为张卫健的片不是最好看……            
(4星)	 挺好看的 虽然我不喜欢张卫健！！！            
(4星)	 中国版聪明的一休            
(3星)	 中国版一休            
(3星)	 神神气气不懂老师            
(4星)	 神神气气神神气气辩驳最流利的不懂老师！            
(4星)	 年少的记忆之一~            
(5星)	 百看不厌的            
(3星)	 关于这部电视剧唯一的印象就是有一天看着看着天上打雷下雨了，然后电视机黑屏了……            
(4星)	 老爸帮我租的碟，我爱老爸~最后一张碟还是坏的，结尾都没看到。。。神神气气神神气气不懂老师，%￥#FW@&amp;            
(3星)	 全明星阵容            
(4星)	 好玩啊~            
(3星)	 丫在装一休吧。。。            
(4星)	 张卫健那时候多好哇            
(NA)	 张卫健的诸多影片影视中,我最喜欢的一部            
(4星)	 曾经，很喜欢            
(3星)	 神神气气～            
(4星)	 曾经爱过，不会再有第二次            
(4星)	 小时候是有多喜欢这类片~~            
(4星)	 张卫健早年的作品还是很喜欢的，李冰冰，薛佳凝出道            
(5星)	 應該說是古代版十八歲的天空還是說十八是現代版的不懂呢。總之是我比較喜歡的張衛健的電視劇。            
(5星)	 神神气气神神气气不懂老师~~            
(2星)	 完全看不明白。            
(NA)	 全家看得樂呵呵~            
(4星)	 前段时间又重播，真好            
(3星)	 只能当做消遣，看多了机会觉得很假很俗            
(NA)	 十几岁的爱和依恋            
(3星)	 最近怎么又在放了= =            
(3星)	 还是张卫健            
(NA)	 张卫健其实有点烦人。            
(4星)	 不懂老师，辩驳最流利。            
(4星)	 好笑，好笑。那时候还喜欢聂远了一下~            
(4星)	 当时真的超喜欢 啊            
(NA)	 虽然是好久前看得，觉得还是不错            
