http://movie.douban.com/subject/3330142/	富贵门
(4星)	 不知道过了多久我才认认真真的看了一部电视剧            
(3星)	 有点老套的家族片，男主女主的年纪都明显太大了，剧情也不现实，郭可盈里面的衣服和车很喜欢，没了。。。。            
(NA)	 看后，久久叩问着心灵的一部港剧            
(3星)	 大时代改编版            
(3星)	 这个有点大失所望            
(3星)	 前面还不错，后面就开始狗血了！            
(5星)	 里面有一支插曲很好听啊http://www.songtaste.com/song/1629246/            
(3星)	 豪门恩怨编得实在差劲              
(3星)	 原来看看挺好的，最后几集好假啊            
(4星)	 就是这样，从此我竟然觉得罗嘉良不错。            
(3星)	 还不错 但是小沙煲怎么会就这么死了呢 不公平 减一星...还有马德钟在里面好gay的打扮喔            
(4星)	 罗嘉良。。。            
(4星)	 港剧比港片好看…尤其擅长豪门剧。虽然老套不过老套大概也算特色了…            
(3星)	 标记  罗嘉良            
(3星)	 冲着演员去的，可是剧情真的。。。马明的戏份也好少。。。没看到最后。。。            
(3星)	 剧情还可以，就是碰巧里面的两个男主都是我讨厌的类型            
(4星)	 一群老戏骨飚戏~~~郭可盈哪能瘦成这样了，跟靓靓平均一下就好了~~~            
(4星)	 一帮老人 发际靠后了 脸垂了 不忍睹 情节还能看看            
(NA)	 我喜欢袁咏仪。。罗嘉良的反派演得完全抓住了我的注意力和情绪变化方向，很有感觉            
(5星)	 哎呀 为什么分数那么低 我今天看了第三集觉得不错呀 难道是最近被户田MM的月九看多了 觉得什么都好看了？            
(4星)	 还行。只是，我还是会比较怀念叶荣添！            
(3星)	 本来还可以四颗星，冲这个结局就3颗 大家记住犯罪了没事装失忆就好都不用付法律责任了            
(2星)	 很烂            
(2星)	 比不上珠光宝气的十分之一，最后靓靓无间道那几集才有点看到。我坚持看完只不过在看两个人，一个是connie，一个是topman            
(3星)	 看来只有把剧中人物都设置成脑残儿　剧情才能发展下去啊..好狗血..可惜了袁咏仪　还是很美的...            
(3星)	 一直喜欢罗嘉良，从这个也喜欢袁咏仪            
(3星)	 断断续续地看，结尾很喜庆            
(3星)	 好看，靓靓和郭可盈一点也不显老啊。。。            
(NA)	 阵容够给力，可惜遇上宫心计            
(3星)	 剧情一般            
(4星)	 结局太粗糙了            
(4星)	 可以一看，不过现在tvb缺乏大美女，没有当年看倚天屠龙时看到黎姿时惊艳的感觉了            
(4星)	 好演員，可惜小朋友們都不喜歡            
(3星)	 最后结局是怎么回事？？这真的是台庆剧？？            
(4星)	 现代版的宫心计            
(3星)	 大少奶奶你的鼻子好美啊             
(3星)	 几个挑大梁的 依旧无法弥补整个剧的不足 袁咏仪郭可盈演技很好 但是郭可盈是从以前就那么瘦么怎么瘦得那么离谱了 罗嘉良很男人味虽然剧里扮演的人很。。。啧   整个拍的都是迷迷糊糊的 很多事都是一般人的正常思路不可能去做的 真说好 只能说人物            
(3星)	 春节就是陪亲人看电视剧……orz            
(4星)	 前二十多集okay，因为演员阵容的关系还挺吸引人的。最后一集还成吧，之间的十多集，感觉编辑有点变态，剧情生硬不好看！好吧我承认，罗嘉良的演技真的非常可以，要不是他我必然看不完整部。还有就是值得一提很喜欢袁咏仪这里面的角色，郭可盈很美啊，不过这样的女人谁敢娶啊太疯狂了撞几次车了啊            
(4星)	 做人不能太贪            
(2星)	 剧情老套，可惜了这么强大的卡司阵容。            
(4星)	 我还是喜欢老演员喜欢这部剧。            
(3星)	 点着快进看完的，还不错            
(2星)	 黯淡了 一切都黯淡了 整部剧用大部分时间讲了一个小三的故事 从小三的玛丽苏自虐到成功捕获男主芳心 哎 没劲 没劲之极 秦沛的角色就是一宣传 请问我是看电视剧还是看广告的？唯一满意的就是罗嘉良和袁咏仪的搭档演出 可剧情被yy占据了大半 说是有剧情其实等于没剧情 很婆妈很失望            
(3星)	  没什么感觉,可能是男主的原因            
(3星)	 在那么多的老牌戏骨中，就没有人关注马国明的小沙煲吗？明明是一个闪闪发光很可爱的角色呀            
(NA)	 灭哈哈~马国明呦            
(3星)	 挑着看的...袁咏仪还是那么漂亮...郭也算有气质,,没以前好看了瘦来~~~罗嘉良的演技不用说.            
(4星)	 很正宗的港剧 做人不能太贪心 对人要投桃报李而非恩将仇报 为人要讲良知            
(4星)	 相当精彩，罗嘉良的演技没话说，郭可盈咋那么丑了？            
(3星)	 这剧只有一个看点~~~大小沙煲的loveline~~~~~娃哈哈!!!我爱TVB~~~~ye~            
(4星)	 好复杂的豪门斗lol            
(4星)	 剧情一般 演员还是喜欢            
(4星)	 太长了啊= =            
(4星)	 万恶的结尾            
(4星)	 主题曲很好。。。结局很无趣。。。            
(3星)	 乱的不行 不过还好            
(3星)	 撈家不是以前的撈家,布景還是以前的水平…            
(4星)	 亦正亦邪。            
(3星)	 番茄台为了在假期里播完剪掉了4集的戏份，但不影响看明白它；不再年轻的罗嘉良游刃有余演好卓一鸣，但不影响角色本身之莫名其妙；第一次看戚美珍的戏，但不影响她完胜瘦到不行憔悴到不行且我曾经爱过的郭可盈；卡司星光熠熠，但不影响我打给它和TVB二十集肥皂剧一样的分数。            
(3星)	 断断续续今天才看完            
(3星)	 今年春节就卖给这部剧了==# 哇电视台放的是不是删节版的啊囧…喂番茄台你稍微靠谱些好吧！            
(3星)	 作恶多端的老千必定不能获得幸福，否则谁也绕不了编剧～但是，这样的剧情让人觉得落了俗套～            
(3星)	 烂是烂，但仍然吸引我。            
(1星)	 罗嘉良。。你后来去内地是正确的。。。            
(3星)	 除了纠结还是纠结- -            
(2星)	 太虐了。人性？妄谈人性。            
(3星)	 幕幕有争吵，集集打耳光。            
(3星)	 罗嘉良演的不错啊，可惜都老了。            
(3星)	 ……东方卫视N集连播……            
(3星)	 香港人怎么老是拍这种虐来虐去的戏            
(3星)	 结局无语. 干掉小三和下层世界无比美好.            
(3星)	 所有都是好人，无论做了多么不要脸的事，就罗嘉良一个反角，因为出身不好，却想出人头地。            
(NA)	 卓一鸣是不是天蝎座。            
(4星)	 似乎有钱人家充满着阴谋，我是从后半部开始看，终于明白为啥一鸣总是缠着一心，原来……            
(2星)	 袁咏仪才看的，可是没什么意思呢            
(4星)	 国语版的“拓民”竟然粤版叫topman。。。            
(2星)	 后面太扯了吧太戆了吧 全家人都没脑子的？都只听卓一鸣的一面之词？大哥你是傻逼吗？            
(4星)	 即使再完美的结局~有过残缺。。也是令人有些遗憾的   。。  一个坏人即使再变成好人~但是已经害了很多人。。  那你一开始就不应该选择一个错误的行径            
(NA)	 我只是挑选看了些片段，我认同对于人性方面的刻画，我留心于这部戏人物的对话和神态表情，现实中我们希望不会遇到这样的人物。我很感慨，香港虽小可是人物的内心却被挖掘如此纵深。看这种戏若是思考则并不是轻松地娱乐。            
(NA)	 里面的音乐好诡哦            
(4星)	 在这个新演员都不认识的时候看到一剧的演员居然都是熟面孔，倍感亲切啊。            
(3星)	 没坚持到最后。服装大气。            
(2星)	 简直对不起这阵容。。。            
(NA)	 关于人物思想的刻画有点走双向极端，模仿《创世纪》失败！            
(3星)	 郭可盈怎么老了那么多啊？            
(3星)	 为什么罗嘉良演这么一个角色。            
(4星)	 港式豪门恩怨。前面很欢乐，后面惨得看不下去了。            
(2星)	 跟弟弟一起看了几集。马德钟的角色很有意思。弟弟说罗嘉良一定是演反派、、、            
(2星)	 典型的关于香港豪门的港剧，看了开头既知结局。2011春节期间东方卫视白天联播，没看结尾。            
(3星)	 是我期望降低了么，難得看看居然都覺得還可以，好容易沒人擠眉弄眼哭得我哭笑不得，代價就是看著阿叔阿姨們談情說愛，不過我又buy wor。實在是中意阿靚同三嫂的角色，新世紀女性啊~不過這種家族劇都能把結局編得如此和諧，我真是沒話說了。            
(3星)	 烂俗的结尾。一下子就给整部戏拽掉两颗星。            
(4星)	 人性的试练=诱惑            
(3星)	 三星给卡司，剧情太烂了            
(3星)	 剧情尚可~深深的觉得罗嘉良的脸很适合演坏人。岁月不饶人啊~郭可盈怎么那么显老啊？脸后来瘦了的关系么？            
(3星)	 现在的商战港剧真是不能看了，小三不恶心，恶心的是圣母，坏人不可怕，可怕的是精分。创世纪的许文彪还有颖欣。一鸣除了小沙煲才真是什么都没了。小沙煲的角色很像创世纪的亨少，kk的小三残的可怕，戚美珍圣母的想让人踹，吕良伟的演技啊啧啧，袁咏仪还是很漂亮美眉如画但少妇气质是遮不住了。            
(4星)	 唉 与预料的有误差、、            
(3星)	 开头挺有那意思~后来怎么就成那样了。。。            
(3星)	 吕良伟的演技太烂。如果说以前媒体批评罗嘉良的脸部表情过于生硬，那我看吕良伟就更严重。是不是这么多年不演戏已经生疏了？在戏中，不管是欢喜愤怒还是至爱之人离他而去，脸部表情也从未有什么大的变化，更未见他为了剧情而流过泪。不过话说回来，这么大年纪了，保养得到是超好!            
(3星)	 其实吧，我都不知道为什么我要看这部剧，太妈妈级别了。            
(3星)	 我是老千，只有我骗人，没有人能骗我，骗我的人都要付出代价。。。。            
(4星)	 有点重口味            
(3星)	 后半部分还不赖            
(5星)	 最后的结局太无语了，炸了大楼用一个失忆就可以完全不用负责吗？喜欢所有的演员，尤其是袁咏仪~~            
(3星)	 冗长……            
(3星)	 特假了。全都么脑子让大头文一个人耍。郭可盈瘦的来帮赤佬一样，还么气质。唯一的惊喜是靓靓不错，很会穿衣服导致很有气质。            
(2星)	 您为什么不能把最重要的话留着首先说啊，留着矛盾好拍完40集呢            
(2星)	 純屬未了聽廣東話而看            
(3星)	 捞家的演技好啊!            
(3星)	 剧情真的让人昏昏欲睡，TVB以前家族大戏的感觉不再，第三颗星给顶杉，这对比较萌，拉着把他们的看完了。            
(2星)	 好吧，实在是不怎么样，看了两集就不想再看下去了。放弃了。            
(3星)	 捞家奸的不够彻底。。。            
(3星)	 吕良伟不显老，袁咏仪还是有点肥肥的，马德钟还是痞痞的，戚美珍也老了。。。            
(3星)	 大沙包要是不变坏就好了            
(3星)	 看着这阵容，再看剧，真是内牛满面            
(4星)	 捞家啊 我的捞家~ TVB曾经的一哥你为嘛离开！            
(3星)	 TVB很久没有商战的大型台庆剧了，这次阵容很赞，连戚美珍都出来抓米了，就是老了好多啊，根本不能和曾华倩比了，哎。捞家，靓靓，kk，马X钟，吕良伟，苦役额            
(3星)	 这部剧真的很狗血，完全不符合常理，大爱的捞家没有了往常的睿智，步步皆错，（其实这到有点符合现实，哪有老千都会成功）让我想吐的吕良伟，郭可盈的那句“我不需要成功，我宁愿为你肝脑涂地，身败名裂。”让我好是惊悚，回想起来到是蛮感慨的，还有三嫂现在绝对还是气质。            
(3星)	 在政治课上看完了            
(3星)	 捞家还是回TVB的好啊。。。XDD= =不过不是很喜欢戚美珍。。。感觉一脸克夫相。。。=====================谁能告诉我为毛TVB的编剧现在都这么SB啊！！！！！！！            
(3星)	 看了15集。。            
(4星)	 剧情还是挺纠结的~可惜都老了~            
(3星)	 小三奋斗史            
(2星)	 看到一半就看不下去了            
(3星)	 主创群年纪大是大了点，剧情是狗血了点，但演技不是盖的！靓靓生完孩子美丽复出！依然很漂亮！            
(3星)	 有点灰暗             
(3星)	 如果没有罗嘉良，我早就不看了。。            
(2星)	 看得我鸡皮疙瘩起的哦，结局很狗血，港剧真是越来越难看了            
(5星)	 歌不错~  小三之歌~            
(NA)	 罗嘉良这回是在玩角色，而不是在演            
(NA)	 女人的爱是与忠贞挂钩的。你不要说你在背叛我的同时还爱我。            
(NA)	 令姿死了 沙富来疯了 小沙包死而复生 ...大结局真是精彩了            
(NA)	 实在不好看            
(3星)	 无功无过。不过不喜欢郭可盈这个角色，尤其正室在旁边，显得她太弱了。另外，这两年tvb的主题曲都好好听。            
(2星)	 一开头还好，越看越烂，更烂的是我竟然看完了。            
(3星)	 只是为了看郭可盈和吕良伟的感情戏。恶劣的说，我比较希望，Angie可以喝Marcus一起            
(3星)	 还行吧。。主要捞家的演技撑着。            
(4星)	 我觉得还可以，袁咏仪确实不是盖的，罗嘉良又演回坏人            
(3星)	 老人们回来也不行，剧本太烂            
(3星)	 看了一半，放弃了~            
(5星)	 感情戏，太过纠结。            
(5星)	 很喜欢罗嘉良演唱的片头曲《差一刹的地老天荒》            
(3星)	 结尾太差            
(3星)	 也就看看演技吧            
(3星)	 没看完，有点罗嗦，没有流金岁月经典            
(4星)	 后面其实还是挺不错的  挺TVB的            
(4星)	 喜欢靓靓            
(NA)	 真的不能说好看啊            
(4星)	 剧情离谱，完全冲着演员打分。鸣心恋最终还是一场梦，宁愿大沙包死去也不愿他忘了一心傻乎乎的活下去...            
(4星)	 因为罗嘉良，多给一颗星作为鼓励。。僗家，加油啦。。            
(4星)	 罗嘉良演坏人。不能接受            
(3星)	 老将出击，可惜结局有些失望。。。            
(4星)	 袁咏仪逆向生长了。            
(3星)	 靓靓是唯一动力            
(NA)	 不知道以什么样的精神，终于撑到了结尾，最后三集总算差强人意。美丽的郭可盈啊，现在如同一片枯叶，不忍卒睹……            
(4星)	 看到第三集就看不下去了，最爱的罗嘉良，老了，纠结...            
(3星)	 不喜欢捞家扮反派，可能是因为马sir的角色太苦了，我看不得这种深情又苦的人儿~ 结局那些都没看，不忍心了~            
(NA)	 这个故事告诉我们，小三死的比较惨。            
(3星)	 挺失望的            
(3星)	 和妈妈一起看的，什么大沙包小沙包的。。吕先生不是我喜欢的类型啊            
(1星)	 看看捞家，演技派，其他毫无看点            
(NA)	 一般吧，感觉拍的挺傻的一部剧，个人认为TVB真是越来越不行了            
(NA)	 第一集看完就没耐心了            
(NA)	 额..            
(2星)	 老人太多            
(3星)	 编剧不靠谱啊... TOPMAN好赞啊...另, 恒生银行简直无处不在.....            
(3星)	 大制作的快餐，拜托TVB，你就不能为非粉丝找个继续饭TVB的理由么。            
(1星)	 能不能有一點鬥            
(4星)	 捞家的演技太赞了            
(3星)	 也是一部烂尾的片子            
(3星)	 捞帝不错            
(NA)	 呵呵，不错，虽然收视率一般            
(4星)	 完全是为了袁靓靓给的分            
(4星)	 多出来的一星是给主角们的演技的，剧本后期已经无视任何逻辑了……            
(4星)	 剧情给三星就不错了。不过不得不佩服这些细骨的演技。我在情感上还是灰常支持TVB的。尽管这些年都是些宫廷戏和鸡毛蒜皮戏。不知道大时代 流金岁月的辉煌还能不能再续。 PS:袁靓靓童鞋你真素太可爱袅，昨天看你的博客越发觉得你咋这单纯善良列。还有张大仙也是，祝你们一家永远幸福哦~             
(3星)	 哎~年老色衰的一批人撐場面，撈家演技不俗，和靚靚搭還算配，只是郭可盈至於那麼誇張嘛，整個人都瘦的變形了~            
(3星)	 有一个良好的框架，包括故事结构和演员阵容，但随着剧本荒腔走板开始硬伤不断，最终流于平庸。不过至少罗嘉良回到了适合自己发挥的角色。            
(2星)	 唉。。。绝对烂尾 枉我期待捞家这么久            
(3星)	 糟蹋演员的TVB            
(NA)	 嗯。真不是很好看。。            
(NA)	 期望大，难免有点失望            
(3星)	 豪门争斗戏码，不管多么波涛汹涌，最后铁定的大团圆结局~            
(4星)	 好片            
(3星)	 太太太。。。。。            
(NA)	 吕良伟不灵，戚美珍不错，袁咏仪更赞，沙福来（卓一鸣）绝对出彩哦！罗嘉良可以冲击视帝了，感情戏不错！郭可盈直接忽视，就死戏有点看头。            
(4星)	 看完之后彻底萌上马国明= =            
(3星)	 袁咏仪依然漂亮，结尾依然狗血            
(2星)	 一般，罗嘉良只是正常的在表演，而郭可盈，太瘦了，脸都瘦没了，不好看，剧情也没什么吸引，不是很喜欢...而且罗嘉良也老了啊，背都开始呈现老龄化的趋势了...            
(2星)	 质素简直是可怕!            
(2星)	 看了一半没看的下去最讨厌小三片            
(4星)	 很喜歡這類型的港劇袁詠儀很洋氣的說 有變漂亮很多想當年她還是那個代父從軍的花木蘭呢.安又琪的配曲也很贊.這部劇美滿的陪我度過了3個月的internship.真美好的回憶            
(3星)	 冲着罗嘉良、郭可盈和袁咏仪去的~~看来家族剧已经衰落了，想当年的《创世纪》呀~~希望以后能有突破吧~~毕竟这是TVB擅长戏路~~            
(4星)	 不错~喜欢一心~还有虽然很喜欢郭可盈,但是不喜欢她在里面的角色~            
(2星)	 比起以前的家族剧，这个太差了，感叹戚美珍老了，岁月不饶人啊            
(2星)	 失望            
(3星)	 还是看完了，罗嘉良再次挑战反角，不错。阿靓的复出，演技值得            
(2星)	 劇情太扯了            
(4星)	 演技派没话说，不错            
(NA)	 这是一个关于人性试炼的故事。应该是人性遗失吧。            
(4星)	 OK的            
(4星)	 SOSO 演员都忒老了            
(4星)	 金钱的斗争，钱太多，人的心态心智都可以变了·····这个世界真的很复杂····            
(3星)	 唉~~說實話有點失望啊，雖然說是重頭戲，但是劇情比較老套，而且很羅嗦，我基本上都是托完の            
(2星)	 这部片肯定是个伤心人投资的...做三拆散人家庭的，你人再好，也全家死光。做再多坏死的人，也不会死。雷克萨斯和恒生的广告贯穿全戏。            
(4星)	 比宫心计好看多了 ...就是结局太假..那样都炸不死罗嘉良?都在里面等着被炸失忆不是更快乐...除了最后都很好看很好看 ...哈哈...            
(3星)	 烂尾了。。。。            
(4星)	 呵呵。。。还挺好看的。。。            
(4星)	 喜欢主题曲            
(5星)	 大愛靚靚            
(5星)	 可惜，我还期望罗嘉良和袁咏仪最后在一起列。怎么最后那点斗法那么弱呀，跟前面的精彩剧情比起来真是无语了。            
(2星)	 罗嘉良好猥琐            
(3星)	 貌似只有罗嘉良演的挺到位的            
(4星)	 比起同时期的《宫心计》要好很多            
(NA)	 。。看完宫心计看它的。。终于长长的出了口气。个人觉得比宫心计好看。演员都是老戏骨！整体感觉很沉着却不失用心。同样的问题。结局我不喜欢。。            
(3星)	 TVB擅长的商业大战就给拍成这样了 挺郁闷的 捞家啊            
(3星)	 看了也就看了，没有留下特别的印象            
(3星)	 达不到原来的高度了~            
(3星)	 我爱马德钟~            
(3星)	 还不错 包袱也够多 TVB就是这样 抖包袱一直这么抖 可还是有人看有人去议论既然关注过 就不必这么苛求了            
(NA)	 没一个不老的，不老的果然是传说啊            
(3星)	 哦~靓靓，捞家！            
(3星)	 看在这班老演员的份上            
(3星)	 老演员大集合，值得一看            
(5星)	    喜欢喜欢            
(3星)	 为了KK看的~~结果有些许失望。。            
(4星)	 戚美珍演的很好            
(2星)	 因为罗嘉良和郭可盈，去看了这部。。。结果剧情很令人失望。。。            
(4星)	 充满了不伦之恋 充满了内心的描写看港剧不需要太在意bug的            
(2星)	 tvb一些过季的明星演的。剧情很一般般，甚至一些情节很对不上。比如一个很计较的女人是不会对丈夫外面生的儿子如己出的。化妆衣服也跟不上时代，很难想象是2009年的电影。看了开头，就强压自己看了结果。其实，不如不看。            
(3星)	 对于TVB。再烂的片子。总会去看看。就算一样的桥段。这部戏完全是为了袁咏仪。好久没有看他演的戏了哦。现在她也已经老了。跟曾经新不了情里面老了许多。看着她还在演年轻的角色。总是会有点不能接受。前段部分还是多精彩的。永远的虎头蛇尾。永远的。最开始的情人永远不会在一起。一般。一般。            
(3星)	 小三都死了。。。            
(2星)	 我是冲着罗嘉良去看的，果然，再好的戏骨也拯救不了烂剧本。。。            
(3星)	 港剧的老套路            
(4星)	 虎头蛇尾的            
(4星)	 老戏骨就是不一样...演技在那里摆着...很不错的剧集...            
(3星)	 做个几次指甲就差不多看完了= =            
(5星)	 如果要伪装，那就伪装到底，不要怕被揭穿。人性本善，但为了某种利益依然可以腐烂。            
(NA)	 不推荐            
(3星)	 狗血豪门剧那！            
(3星)	 勉强看完，剧情真的比较狗血，靓靓好靓啊。            
(NA)	 捞家老了。            
(5星)	 全劇沒有一處不出彩，劇情跌宕起伏，吊人胃口。演員也不錯，一眾優秀演員的回歸之作。只是不懂，爲什麽收視不如同期的《宮心計》。            
(4星)	 看到最后，恨死大沙包，觉得吕良伟好差劲啊。喜欢靓靓。演的很好，也很漂亮。哈哈            
(3星)	 还行吧，喜欢罗嘉良            
(3星)	 罗嘉良还是演的好，好久不见的袁咏仪，挺好            
(2星)	 TVB需要新人啊。。            
(3星)	 港剧落魄了啊···            
(2星)	 袁咏仪，罗嘉良、马德钟都是我喜欢的，可是凑在这里，各个角色都比较奇怪，人物性格都不够鲜明，TVB惯用的套路，却没有达到理想的效果。            
(4星)	 感觉郭可盈跟黎姿很像的嘛             
(4星)	 记忆深刻的一部            
(4星)	 为啥connie只有一件衣服呢，从1-26集，都是那件橘红色的外套。搞不懂啊            
(3星)	 冲着罗嘉良和袁咏仪去的~~可惜剧情不怎么样~~怀念创世纪            
(3星)	 罗嘉良确实演的很好。不过我不喜欢。            
(4星)	 还不错，结局有点雷            
(3星)	 不知道該怎麼形容~~~或許是期待過高羅嘉良的演技毋庸置疑~~整部劇沒有想像中的那麼出彩，但是也勉強算是經典~~~最後的結局我不是很喜歡~~~            
(5星)	 情节非常的引人...总体来说.于当时的&lt;宫心计&gt;比起来..这部显的高一段.我想说,是不是男人总会移情别恋..女人可以为了男人斗智斗勇,.金钱跟权利高于一切东西?..这就是生活么?            
(5星)	 典型TVB            
(NA)	 结局太夸张了。            
(2星)	 香港回归后，再无佳作。            
(2星)	 我对ＴＶＢ是彻底失望了            
(4星)	 还算有点意思，情节不是很俗套。又见戚美珍，他们夫妻俩重出江湖啊            
(NA)	 罗嘉良最开始的时候显出虽然爱钱，但良心没有泯灭。但最后剧情发展发展着，都感觉是一个丧心病狂的人了。还是创世纪里面那样，坏人良心不泯灭，好人受到环境的打击反而变得彻底坏，更有矛盾感。            
(NA)	 说是TVB的商战片有所退步果真如此，远远比不上《创世纪》、《流金岁月》罗嘉良那几部经典剧集。            
(3星)	 剧情过假~罗嘉良而看~            
(4星)	 很有小时候看TVB家族剧的感觉，主题曲很好听，罗嘉良演技很赞，沙巴风光也不错，剧情嘛，也就那样了，不要期望太高。最后还是要说一句，吕良伟好去养老了，时不时出来吓人还是不对的            
(NA)	 袁咏仪改型很不错。以前都看的是一些她的闹片，像花木兰什么的，觉得她这样的造型更适合她，只是个人想法哦，呵呵，唉，嫁给我心目中的男人了，有点酸味，呜呜，不过，还是祝他们幸福。希望她以后的片子能越接越好。            
(NA)	 因为是TVB，所以看。因为有郭可盈，所以看。因为无聊，所以看。剧情就是TVB的套路。而TVB演员的演技总觉得是不错的。            
(4星)	 虽然几个主角加起来超过两百岁，但是姜绝对是老的辣。袁靓靓在里面的造型很不错啊。倒是郭可盈瘦得让人心疼。捞家的表演对得起他视帝身份！            
(4星)	 罗嘉良又演反角            
(3星)	 剧情的发展有点牵强。虽然这部戏里有几张比较期待的脸蛋，但充其量就混个强大的明星阵容。据说很多海的外景都是在DBAY拍的，在想那段时间在HK怎么没碰上呢。            
(3星)	 演员都是老人了            
(NA)	 歌好听~            
(NA)	 这个感情的事情 还真说不准~~            
(4星)	 TVBTVB~            
(4星)	 不知道是不是导演故意安排的，最后几集的情节完全就是个出人意料的垃圾，本来可以很伟大。。。            
(4星)	 吕良伟怎么可以显得那么年轻？罗嘉良老了，还是没胡子的造型比较适合他            
(1星)	 这个年头什么都在缩水,连曾经喜欢推经典的TVB 也开始走BULLSHIT 路线了.看了前几集,前面情节老套不说,后面把活生生的小三弄成一个YY 路线, 郭MM 当年演了很多不错的电视剧, 来演这部,只能说要么现在经济实在太差,要么就是脑掺了...            
(4星)	 开始的时候兴趣缺缺，并没有很投入在看，但随着情节的发展，越发紧张起来；当看到Topman救一心的那场戏，很感动额。。。这部戏里的袁咏仪很漂亮~            
(3星)	 虽然有一群老戏骨撑场，但是毕竟TVB的时代已经过去了~~ 靓靓！马德钟！赞一个！~            
(4星)	 四颗星全部给演员的，特别送给袁咏仪~            
(3星)	 不是很满意啊啊。。有点对不起台庆的感觉。 有时候看看就忘记自己看到第几集囧            
(3星)	 娶妻当娶CONNIE 嫁人当嫁TOPMAN三颗星都是给演员的            
(3星)	 有想杀人的冲动。。。            
(3星)	 最期待的是靓靓，罗嘉良除了演好人 演坏人也是没话说的~            
(3星)	 袁袁的演技依舊好~            
(3星)	 冲着郭可盈去的，虽然里面她是小三，但爱情无罪，剧情一般～～～            
(NA)	 还不错。            
(3星)	 鸣心恋很有爱，主题曲很好听，剧情有新意但是太拖沓，一鸣不够坏，三角恋太多没意思            
(NA)	 11            
(2星)	 富贵门开播，只看了一集一半主角的脸就不想再看见了，可是还是巴巴等更新，因为...大时代，天地男儿，天地豪情，开创世纪...我就是这么长大的。可惜，富贵门再没有机会和它们并肩            
(3星)	 很扯的剧情，尤其是结局。比较有看头的几点是：1.袁咏仪等女星的衣服；2.包包；3.保养极好的苗侨伟大叔。扯的是小三可以这么痴狂？还一度胜利抢位，与传统道德观有极大冲突吧。再怎么爱那也只是一种极度自私自我的爱。            
(3星)	 明星云集，受不了剧中罗嘉良一直招惹袁咏仪，结局罗嘉良下场也太好了。            
(NA)	 冲着马德钟看的这部片子，可惜，实在非常平庸。            
(3星)	 岁月不留情,当年的偶像脸上的皱纹已经多得可以夹死一群蚊子,而我们也已不是黄毛丫头,郭可盈的角色有点莫名其妙,简直浪费她的演技,靓靓和马德钟的感情线倒挺有意思的,可是这样的感情他俩来演会不会年纪有点偏大?            
(NA)	 总体来说一般吧，也不是很让人失望，剧情有些简单吧            
(3星)	 拍的时候那个期待啊。。。罗嘉良、袁咏仪。。。可惜。。。            
(4星)	 不错的电视剧，开始看感觉节奏有点慢，后来就很急凑，吕良伟演的很好丫，帅！            
(3星)	 结局多纠结。            
(NA)	 TVB的电视都还不错，呵呵            
(NA)	 消遣看来的，豪门+私生子+三角恋，这些噱头还是不错的~            
(3星)	 确实是开头好看，后面为了捞家撑下去            
(3星)	 冗长~刚开始看会心痛的,看到后来觉得编剧又有点过分了~反正,世上不应该存在百分百坏人~假了~令姿被写死了~编剧有病~            
(3星)	 沒有大驚喜的片子~            
(3星)	 有点儿拖沓，情节俗套            
(4星)	 罗嘉良把老千演的淋漓尽致。            
(NA)	 看完后，去了沙巴。。。            
(3星)	 离婚后还能演那么久，咋爱都没错，有爱已经很珍贵了！1            
(NA)	 没想到最后没死            
(2星)	 剧情莫名其妙，垃圾            
(4星)	 人总是会因为物质变得贪婪            
(3星)	 三个人分两个苹果的故事            
(5星)	 好的有点舍不得看了比较喜欢现在的袁咏仪            
(3星)	 有着TVB一贯的风范，在那里纠着缠着。            
(4星)	 我的捞家 痛心~~  开始对马国明感兴趣...            
(4星)	 最喜欢的是Angie对Markus的爱，我不需要成功，我宁愿身败名裂，肝脑涂地            
(3星)	 结局太假，扣分            
(3星)	 狗血的剧情浪费了一批戏骨啊 这个分我全部给“鸣心”的            
(5星)	 节奏感太让人舒服，台庆的电视剧，不得不看            
(5星)	 钟意靓靓同嘉良，不过结尾嘉良太坏了            
(NA)	 罗嘉良  很吊            
(3星)	 我们一直以来看着的人都慢慢老了~我们也是~            
(4星)	 马德钟演衰人演的我想扔电视            
(5星)	 纠结的感情是亮点            
(NA)	 虎头蛇尾，随着剧情的发展，渐渐显得不够力度，尤其不喜欢结尾            
(3星)	 烂尾            
(3星)	 喜欢主题曲            
(5星)	 爱上捞家啊，超好演技！            
(3星)	 剧情太老套了。而且米美女            
(3星)	 抱着大期待看 期间越追越无奈 最后实在不能夸好看 可惜了那么多老戏骨了            
(NA)	 没能坚持。制作一般。            
(2星)	 我几乎是快进看的，而且只看了一半，不喜欢，没什么内容，也没什么笑点，就是一帮子人吵来吵去，糟透了～ 不过，主题歌还不错～            
(4星)	 现在的港剧大不如前阿。。。            
(3星)	 超喜欢那首英文插曲《O come O come Emmanuel》，好暧昧的一首歌啊...另外，喜欢郭可盈扮演的董令姿，虽然算是一个小三，但是她真是一个招人爱的小三啊~~            
(4星)	 比同期播出的宫 心计好出几条街。靓靓后面越来越在状态。            
(3星)	 只为了connie、topman            
(3星)	 钱可以让人丧性病狂，让人忘记曾经恩惠与己的人和事            
(3星)	 罗嘉良的演技就是好  什么样的坏人都能演成好人样！            
