http://movie.douban.com/subject/2043283/	王子变青蛙 王子變靑蛙
(4星)	我心中的偶像剧经典，很难超越，也是我冲场生涯的开端~~~
(5星)	从这里开始喜欢乔恩
(5星)	大爱这里面的明道
(3星)	某年暑假无聊用来消遣的
(4星)	当时看的时候还怪激动的
(5星)	当年真是觉得是部好好看好好看的台湾偶像剧啊...不次于恶作剧之吻
(3星)	跳着看的，均昊恢复记忆后，渐渐爱上天瑜的这段很搞笑，但是其他剧情没什么吸引度。我始终不太喜欢一无是处的灰姑娘被王子爱上的狗血剧情，不真实。不同情芸熙，一个弃儿前半生已经过得很幸福了。
(4星)	超完整看完的台剧。一下子就迷上明道了。挺好看得，真的。
(4星)	明道诠释了2个人物，一个帅气霸道的均昊，一个善良真诚的茼蒿！为什么女生更热衷喜欢看偶像剧，就是因为剧中的男主角满足了女性的幻想，可以帅气，多金，可以浪漫，专情~~~~不管那项，都是女生希望有一个人来那么执著的爱着自己。
(4星)	看的第一个偶像剧，兴奋得跟什么似地，看第二遍，就受不了了
(4星)	当年我年少……
(3星)	当时陈乔恩好火啊
(1星)	international
(4星)	矮油 我今天肿么了= =
(4星)	那时候看挺好的~
(2星)	长这样好意思演偶像剧
(4星)	看了好几遍了
(4星)	很不好意思的说。我看过这个，而且迷恋一时。感觉这是明道和陈乔恩最好的剧
(4星)	这个里面的歌曲好好听诺，我看的第一部偶像剧
(3星)	我对台剧实在是没话说。。。
(2星)	只能说，想当年，年纪轻啊
(4星)	当年很爱看= =|
(5星)	当年真疯狂~中考结束的暑假
(4星)	当年哭得淅沥哗啦的
(5星)	…………………………
(4星)	记忆中的经典
(4星)	有人让我明白在乎一个人的感受，让我明白为在乎的人努力，是不求回报也会快乐的，我想为我在乎的人继续努力。
(5星)	 好看！喜欢里面的台词。一个梦。
(4星)	很好看~~有陈乔恩的偶像剧一般都很好看。首先故事就不错，其次两人也比较养眼，最关键是不恶俗啦。一部偶像剧能拍得不恶俗其实很不容易呢~
(5星)	也是部暑假在家窝着看的好片。
(3星)	古老啊
(4星)	因为看过命中才来看这部~觉得比命中差点~也是偶像剧的上品啦~
(NA)	这部是初中看的。第一部偶像剧 印象挺深刻。
(5星)	唯一
(5星)	不俗，很暖。。。
(5星)	曾经一度迷恋的剧。
(5星)	当年很喜欢的剧 当时很喜欢明道而看 喜欢他失忆之后的那段故事
(3星)	明道是鸡肋……有些角度帅，有些角度很鸡……
(3星)	这个的确可以。
(4星)	  嗯，經典組合，明道和陈乔恩，女生的軟肋，灰姑娘情節~~狗血的劇情，帥帥的男主角，而且男主角先傻傻的，然后深情的，然后冷酷的，滿足大多數女性的口味   失憶真是一個非常老套的橋段，卻百試百靈
(3星)	明道演乡下人真是不用化妆啊！
(1星)	又是一部自戳双眼的雷剧！！！
(2星)	剧情俗，还不喜欢明道
(3星)	我知道它很红，但我就是每次都看不下去……
(5星)	虽然剧情现在看来很狗血，可当时的我就是爱的不行啊啊，五分给我不谙世事的萝莉时期。。
(2星)	啊！！！这个我也看过！准确的说是边耍QQ连连看边听过去的。男猪脚头撞了，失忆了，爱上女猪脚了。又撞了回到失意前了，把女猪脚忘了。再撞一次，又记起来了，把女猪脚重新追到手了。有趣吧！！
(4星)	欢喜
(2星)	淡忘了
(3星)	考研期间看的。。。。。。
(5星)	这是我小时候最喜欢看的。。。虽然很芭乐
(5星)	喜欢的第一部偶像剧~
(4星)	还行
(4星)	我妈有腔是多热爱这剧啊
(5星)	单均昊是所有偶像剧男猪性格，家世背景的丰碑
(3星)	为什么我们明知无聊还会上瘾~
(1星)	我怎么有力气推开你 爱上你~~~
(3星)	陈乔恩真的是帮夫运旺盛啊~
(5星)	中学时代的最爱之一!
(NA)	俺滴启蒙台偶。。哎哟。。还很迷过这个CP以及剧的原声甚至原声演唱者一排= =
(4星)	有一阵子挺抽明道的。。陈乔恩演这部电视剧的时候已经混出来了。。依稀还记得她在薰衣草里打酱油呢！
(5星)	现在想想觉得挺不堪回首 但当时是真爱看 而且天天看 都不知道我妈看着我再看着天天不换台的电视有啥感想 五颗星给那个夏天自己看的王子变青蛙
(3星)	擦。。看了多少遍啊都
(3星)	大学看的，在好久没看台剧之后，其实我不讨厌明道
(4星)	明道，陈乔恩，看得最完整的一部台湾偶像剧
(4星)	我也不知道为什么会看第二遍~
(NA)	我以为我不爱看偶像剧虾米的，原来也看过一些的
(3星)	老套的片片
(3星)	当年明道英雄救美当众射飞镖的情景迷倒一干众生。。。如今想来不过桥段，不过也不妨害对明道的喜欢。。。不过陈乔恩算是台湾一众偶像剧女明星中不错的了。。。
(4星)	剧情比较不俗。当时不喜欢明道&amp;乔恩，之后改观。算偶像剧里的精品。
(4星)	难以置信当初我是怎么被这片子拖下水的！不过真的挺经典的……
(4星)	印象深刻的台剧。
(3星)	第一次接触明道的剧集 觉得···这家伙脸怎么这么大···
(4星)	曾经最喜欢的台剧。。。曾经看了很多遍。。。可是现在再翻出来看的时候，突然发现，我看不下去了。。。
(3星)	星星都给乔恩
(4星)	安徽台播了又播！！安徽台你是有多爱它啊！！！
(4星)	我的偶像剧之祖师奶奶……
(3星)	早期看的偶像剧。。那时明道真的挺养眼，有那么一瞬电到我了，好吧只是一瞬。。。
(3星)	一直没觉得明道帅
(2星)	明道真不适合演有钱人
(5星)	这两天又翻出来看，虽然现在看来有些剧情是过于狗血，但是还是不能改变我对这戏的情有独钟。
(3星)	几个男主角很囧啊，还是陈乔恩看着舒服
(2星)	我当时是哪只狗眼瞎了才觉得明道很帅啊？一股菜市场味~~
(4星)	曾经那样深爱，以至于连台词都会默写，会唱里面的每首歌曲。所以，哪怕它有各种不足，我还是给了四星。陈乔恩真的很会演戏，在台湾各种花痴女中间显得那么特别。你不能想象，出道那么多年的女子，眼神还是那么透彻！！
(4星)	内容不太记得，只是记得那年看这电视剧时候发生的事。
(5星)	还行
(4星)	高中时代很喜欢的一部片子，，很喜欢看到明道一身黑色的西服走进森威的样子，一个令人动容的爱情童话故事，，两个女主角都找到了生命中最爱自己的男人，真是个perfect 的结局~
(4星)	一度觉得是最好看的偶像剧。。
(2星)	个人觉得凑合，我爸很喜欢陈乔恩
(NA)	哎呀我的年轻岁月是怎么了。怎么会有这么多xxju!!
(NA)	哈哈哈前几天又看了一遍 小时候很迷哈
(5星)	总有人说小天和明道像，但我不觉得。还不错，有着三立台拍偶像剧的特色，比如台语，效果音，搞怪的家人朋友同事等。
(2星)	二逼啊
(4星)	当时看完就爱上了明道，演少爷真的是很有气场啊！~
(4星)	虽说偶中间跳着看的，但是以偶常年偶像剧的体会觉得没有很值那个标榜很久的高收视
(5星)	认识乔恩明道的第一部剧
(4星)	现在觉得明道长的就是一民工脸…那个时候为神马那么迷恋！我鄙视我自己！！
(5星)	难得觉得前后都不错。
(5星)	最喜欢的国产偶像剧，最近又看了一遍，也许温习的不是电视剧本身，而是年少的青涩时光
(4星)	典型台剧，不过可以解解闷
(NA)	情节同样要被山寨的
(3星)	看过一点点 明道 你脸大 还好你没演古装剧 
(3星)	以前不懂，觉得很好看。现在回过头来。。。片名叫《王子变农民》吧~
(NA)	明明很多人批评 但当我还是个懵懂的少女 不可避免的被这样的情节和男猪脚的硬性气质吸引 每个灰姑娘都想找到自己的王子 而害怕青蛙~音乐也很狗血 而打动少女心 如果我16岁 那我会很满意这部片子 而当我23岁的现在 已经不能忍受部分白痴唬烂的表演 即使有一些闪光点也不行~
(1星)	＝＝
(2星)	囧
(4星)	其实陈乔恩演技还不错的
(3星)	我发现明道总是演很正面、很积极的角色。
(2星)	看过
(1星)	傻到不可能更傻！！！！！！！！！
(4星)	当年巨迷    来来回回看了好几遍
(5星)	好看 不解释
(4星)	之前觉得明道很丑，看完好喜欢的。那年我初三
(NA)	看了5遍
(3星)	陈乔恩永远都这个样子，，，明道到底是哪里帅了，，，
(5星)	明道乔恩经典之作~
(4星)	有一段时间疯狂的喜欢- -
(2星)	我真的不喜欢明道，哎……
(5星)	最让我得意的偶像剧了，看几遍都不腻，就是这么少女着~不深刻才开心。“叶天瑜才不是天使”
(2星)	叫青蛙变蛤蟆才对吧
(3星)	明道和乔恩
(1星)	胸闷的是，当时居然还是很乐此不彼的。
(4星)	好笑
(5星)	永远的经典之作。
(5星)	我看过的真正意义的第一部台湾偶像剧
(4星)	最早接触的台湾偶像剧之一。。。不错的
(4星)	又见失忆。
(4星)	看的时候挺欢乐的~搞得红星杜鹃花和观美渔村在我脑海经久不散
(5星)	看了九遍的剧
(3星)	其实我一直挺嫌弃明道的脸型～
(5星)	高三那年最痴迷了，单均昊的角色深入我心，至今无人超越
(5星)	不解释了，每句话每段音乐每个情节都经典……
(3星)	又一个失忆的故事。
(4星)	经典！看了很多遍 剧情真的蛮好 演的有点俗
(3星)	记得室友当时的疯狂
(2星)	-，-反正就是无聊看看的偶像剧。
(2星)	老套
(3星)	那些戳我萌点的桥段-_-居然觉得明道很帅了=_=
(3星)	陈乔恩傻得我想打她
(5星)	很经典的台湾电视剧。
(NA)	其实那时候蛮喜欢的。
(3星)	洒狗血！
(3星)	剧情还行
(4星)	喜欢这种轻松的剧情，喜欢茼蒿~~~
(2星)	脑残。每每看到男女主角衣冠楚楚站在泳池边，我都顿生一脚把他们踹下去的冲动。
(5星)	很喜欢地瓜叶的个性 和茼蒿 剧情真的很无语
(NA)	从来没看全过。明道的两道粗眉毛是我全部的印象。
(3星)	为了马克而马克…
(2星)	不是很喜欢= =
(3星)	还不错
(1星)	蠢
(5星)	近几年觉得最好看的台湾偶像剧之一。。
(3星)	哦。。富男穷女。
(4星)	偶像剧的又一力作
(5星)	当年我看的时候，给我的感觉是五星
(3星)	看过一点
(3星)	作为偶像剧，能在陪同学的情况下看下去就可以了。
(5星)	明道帅，乔恩靓。剧本好，演员好，演技赞。
(4星)	第一集那家伙是叫童花顺吧= =。。我们一家都喷了……
(5星)	翻拍自韩剧《最后的舞请与我一起》。后知后觉，后，当时看得入迷，沉迷过（明道）！也开始喜欢乔恩。台湾会演戏的女演员之一。
(3星)	哎呀  我大一的时光。。。
(4星)	台剧中的经典呀
(3星)	标准脑残剧
(4星)	正在重温~~
(3星)	曾有那么一段时间特别喜欢看这种偶像剧…………
(4星)	从此喜欢了明道好一阵子~
(4星)	虽然剧情很狗血，但明道很赞。。。
(5星)	我心中最爱最经典的台湾偶像剧。现在的偶像剧实在是都让人不敢恭维。命中什么的跟王子变青蛙比起来都差很多。什么败犬女王，什么钟无艳，我又一次想砸电视了……
(5星)	最爱明道
(3星)	偶像剧也就是这样子的了
(3星)	初升高的暑假全部献给这部连续剧了（。）那时候被明道闪了又闪，喜欢的不得了（。）哎呀总之说那时候是脑烧了也不为过=______,= 其实它有挣过我的眼泪唷真的有哦（够了喂
(3星)	其实是台湾偶像剧中还不错的一个
(3星)	看得不全
(2星)	太恶俗了。
(4星)	啊哈哈，当时非常着迷！
(4星)	不错的实打实的偶像剧！@Home
(2星)	不喜欢额
(4星)	看过2、3遍。为剧情着迷！这是第一次喜欢明道与乔恩。
(5星)	经典啊，看了不止一遍呢
(2星)	套路剧
(4星)	天啊，我当初被这个台词都背上瘾了。
(3星)	但是看的时候还蛮喜欢的· · 果然台剧是禁不起看第二遍的
(NA)	喜剧，还哭的我稀里哗啦的。。。
(5星)	让我对台剧重拾兴趣的一部剧
(4星)	我觉得好看！！！
(4星)	那时候唬住了 幼小心灵的我
(4星)	很多人因为这个片子喜欢的明道，我也是其中一个，嘿嘿
(3星)	那时候还没觉得明道难看。。
(NA)	一百遍。。呵呵
(5星)	当时觉得好好看来着，还迷上了明道蜀黍，囧
(2星)	剧情是偶像的，演员是呕像的。
(4星)	还行吧，喜欢陈乔恩，绍伟第一次出彩的演出……
(1星)	丑男加雷剧
(NA)	现在看回去 这个还蛮搞笑的
(5星)	茼蒿永远在我心里。
(NA)	sb
(3星)	以前不喜欢明道来着，当时看了觉得：咦？这小子忽然变得咋这帅这养眼呢？哇咔咔~~~原来，养眼也可以培养~~~
(4星)	以前蛮喜欢的
(5星)	五年前，很喜欢。五年后，依然很喜欢。
(3星)	因为你们勉强记得自己看过这部片是我们的角色扮演 让那一年的夏天很轰烈
(2星)	不喜欢，没仔细看
(3星)	哈哈哈，我还蛮看好这部的。
(3星)	陈乔恩旺夫。。明明很傻的。。
(4星)	明道越来越丑了！
(5星)	欢笑 吵闹 爱情...
(NA)	明道很特别
(5星)	明道 陈乔恩 经典合作
(5星)	那是我最初最纯的喜欢，如今依旧
(NA)	那时看的电视上播，然后还去买盘看，不一样的陈乔恩，也是因为这部戏认识了明道。哈哈
(4星)	必须承认花痴过一阵子。。不要意思也得说实话啊。。
(3星)	狗血老套的失忆把戏，在真诚的演员们演绎下焕发了新的闪光点。
(5星)	曾经带给我很多感动的~~
(4星)	好迷当时 一个童话故事 下载了插曲 半夜听哭
(4星)	陈乔恩真的不漂亮，那是很吸引人。
(4星)	第一部让我觉得原来台湾偶像剧也还是不错的剧...
(3星)	不喜欢陈乔恩，长的太丑。
(3星)	可怕。。我看过
(3星)	还好吧~·····
(5星)	很好看啊
(NA)	王子爱上灰姑娘
(NA)	狗血。 
(3星)	大背头。。。
(4星)	台剧启蒙。有爱
(3星)	还是有几幕让我着实感动了
(1星)	没有一个看得上眼的地方
(4星)	初中的时候，好喜欢看！~第一次看陈乔恩的剧。。
(5星)	我承认我看的时候真的觉得明道很帅（难道是男2太烂？）。当然，看完后这感觉就结束了。
(2星)	明道就俨然一台湾郊区脸。。。
(2星)	如果王子是明道这样的话我宁愿选择青蛙
(3星)	哈哈哈哈、哈哈 揉脸 其实这个还满王子公主调调的我不是很雷啦当时还看了满多遍的。
(3星)	那时流行呕像剧
(3星)	第一次接触明道就是通过这部电视剧。当年的大爱，但是现在看来却有着一万分的不真实，是的，这只是一个童话，一个太美的童话，一个不现实的童话。
(NA)	♥ 游走在曾经与如今的边缘，我伸出手，拉不住你却遗落了自己的心
(3星)	为啥 简介“又名”还有韩文捏？！话说还是当年我妈回来说要看这个==|||
(5星)	不知第几次看了，还是好看。温暖。2011-12-14
(3星)	感觉一般般
(NA)	某段时间安徽台放的是....
(NA)	前半部分比较好
(NA)	这部片子看了好几遍，真的很好看明道，挺适合演王子的(*^__^*) 嘻嘻……
(1星)	年少无知的时候看过。。。。
(2星)	这尼玛183=  =
(2星)	高中看的 说明我当时真是无聊得可以 没有打一星是因为见过更难看的
(5星)	非常完美的电视剧，我心目中的经典之一
(2星)	动态的明道有秒杀的魅力
(1星)	……那种浓重的乡土气息……什么你说这本来就是乡村爱情的湾湾版？！
(NA)	跟家教小孩一起看的……
(1星)	富二代你很闲么
(3星)	现在回想觉得真傻，但是当年有哪个女生不喜欢？
(4星)	茼蒿～～
(5星)	最早接触的台湾偶像剧之一，还不错。
(3星)	曾经的收视冠军
(4星)	脑残仅此一次，下不为例的偶像剧。打心眼里觉得挺好的
(4星)	老套的故事~
(5星)	当时觉得明道好帅陈乔恩好漂亮！故事太好看了！
(3星)	= =好吧
(3星)	部分感人
(4星)	  当年也囧过
(4星)	陈乔恩演戏确实挺吸引人的
(3星)	灰姑娘你害了多少银！
(4星)	高二
(4星)	只要不放弃，绝望就会变希望！！为了所爱努力的感觉！！
(5星)	高二升高三的暑假看疯了,记得晚上看完12点了还写心得。。太窘了,虽然现在回头看剧情很一般,但还是五星,为当年的喜爱打的分~
(3星)	第一次看明道觉得怎么这样长相的人还能演偶像剧...不过后来看习惯了..
(3星)	为什么明道总是演那种近乎完美的男主？
(3星)	适合小朋友看的童话。
(NA)	说和本剧无关的。。台湾那些比较有名的男演员，什么郑元畅，贺军翔，阮经天，罗志祥云云的。不晓得为什么，没有一个让我喜欢的，要说起来还不如明道和李威来的顺心顺眼，难道是我的审美观出了问题。。。可是我是个喜欢帅哥的人，但是对他们真的无爱。。。
(3星)	向傻说我看的是18年前的偶像剧……
(4星)	不错不错，适合夏天消暑
(NA)	第一步里程碑的台剧，7年级
(5星)	里程碑
(5星)	陈乔恩的起飞之作啊~
(2星)	不喜欢明道的脸，挺乡土的，不适合王子的角色。当然，每个人心中王子定义不同
(5星)	看的乔恩主演的第一部电视剧，难忘那些一个人的夜晚...
(NA)	对明道很不感冒
(NA)	毛毛虫的明道= =
(5星)	搞笑~
(5星)	无可比拟
(4星)	幸好那时年纪小，不然三星看能有不
(4星)	虽然弱智，但是有些东西却是真的。
(4星)	毕竟是明道和乔恩的经典之作
(NA)	不算是我喜欢这样的偶像剧。只是关于他们的记忆，真让我怀念。我会记得：相信会比较幸福。
(2星)	这货不就是山寨棒子剧最后之舞的么 至少棒子版里的男女主长的真的挺好看现在我看到于妈的那个什么王的女人的剧照就想把明道陈乔恩拖出来暴打一顿...
(4星)	那个时候的经典真的当时很喜欢看~
(NA)	为啥上映日期是1942
(2星)	当时的狂热劲不知道到哪里去了，台剧的保质期？
(3星)	不是偶像的男主 怎麼能演偶像劇。
(5星)	真的很搞笑，看得挺开心的~
(5星)	我最爱的一部偶像剧，哈哈看过很多遍咯，每一次都让我哭得稀里哗啦。加油哦，茼蒿~
(3星)	不喜欢大脸明道！
(NA)	大学的暑假啊
(4星)	关美小渔村，拍拍苍蝇，发发呆，看看海的生活，向往。
(4星)	看着很欢乐
(3星)	传统偶像剧。
(4星)	算最早接触的台剧
(3星)	。。。。
(4星)	终于看完了，一般偶像剧都是开头几集好看，这部戏很奇怪，倒是最后几集比较抓人，幸好有帅哥坚持看到了最后。编剧真是有点白痴，似乎除了失忆，没什么可以入戏的了。从子骞身上领悟到一点：男生不用很帅，还是可以很可爱。最近迷上偶像剧了......
(5星)	蛮好笑的呀
(2星)	都丑到让我无法忍受
(5星)	觉得明道丑不想看 觉得陈乔恩不好看不想看 看了却觉得还真不错 然后喜欢了陈乔恩 喜欢了点明道 呵呵
(3星)	有点呆诶
(4星)	喜欢明道式的男孩子当然也就喜欢这部剧啦~帅气的他很是吸引女孩子
(2星)	看一眼就知道没意思
(3星)	没看全
(2星)	怎一个烂字了得
(4星)	高中时被妈妈拉着一起看，从此踏上了言情小说的不归路。。。
(4星)	剧情有点土~可是两个人演的好~~喜欢明道的演绎~
(4星)	其实故事蛮老套胜在很轻松
(4星)	记得那时一星期追一集。鲜少看这种偶像片，所以印象很深。
(2星)	囧片 当我没看过
(4星)	当时很火，也蛮喜欢的……
(2星)	真是土的伤心。。
(5星)	很好看啊，蛮喜欢陈乔恩的，明道也很帅
(NA)	比较搞笑，可以开怀一笑吧
(NA)	好看  女主角演的很不错 男的再女的承托下 过得去还是简单 爱情
(NA)	嘿嘿，不晓得看了多少遍了，经典！
(5星)	追得很疯狂的台剧。因为这部让我又开始看台剧。
(NA)	虽然不怎么喜欢男女猪脚。。。但瞄瞄还是不错滴
(3星)	因为陈乔恩看的,老实说不稀饭明道的大饼脸.看台剧,只是为了看帅哥美女.
(2星)	明道……演的人……姓单…………
(3星)	我居然津津有味的看过好几集……可见人的品味是没有下限的。
(5星)	不算重温 总算完整的看完一遍 很多的情节都很令人感动 那种真情的光芒 是他们无论在现在看来打扮的多么平凡都掩盖不了的
(5星)	想当年。。。
(1星)	不喜欢陈乔恩。一切都抵制。
(2星)	无论如何都看不下去的片子，充满了毫无逻辑的狗血桥段，台湾人的思维我完全理解不能啊囧
(4星)	听搞笑的
(3星)	台湾偶像剧 就那样子啊
(2星)	真的没撒看头，怎么会在台湾收视率那么高
(5星)	让我又哭又笑的最爱！~我爱你的配乐！~
(5星)	这个真的还可以啊，明道也没什么
(NA)	没看完
(4星)	哭啊哭啊
(5星)	我喜欢叶天瑜这样坚强乐观的女孩~！！！！
(5星)	明道！！！明道的经典之作~~
(3星)	依旧很俗套的剧情~
(NA)	一般
(4星)	05年热播的时候，我不曾注意到那个青涩努力的你。
(5星)	心中永恒的经典、
(3星)	一般
(3星)	看第二遍就会觉得好幼稚
(3星)	明明就是抄袭《请跟我跳最后一支舞》
(3星)	anhuitv
(3星)	我爱金枝妈妈！
(4星)	恶俗得很好看。。。
(5星)	陈乔恩+林明道=赞！
(4星)	毕竟是继流星花园后的突破进展，明道怎么包装还是乡土气息啊
(5星)	明道帅吗？乍看上去完全不觉得。茼蒿是王子吗？答案明显是否定的。但当明道自信十足的露出茼蒿真诚的微笑是，我就立刻沦陷。
(5星)	唯一一部看完的
(4星)	那时侯的明道是帅的。可惜了，如今已早早被我们家的小天超越了。
(4星)	和哥哥嫂子小弟小妹一起看，大家一起爆笑
(5星)	支持明道   台湾版的灰姑娘故事
(4星)	OH~虽然讨厌明道，但是不得不说这部片还蛮好看的。
(5星)	很经典的偶像剧
(5星)	台灣偶像劇經典之作之一。那些臺詞 那些演員 那些用意 沒什麼好挑的~
(1星)	丑陋的明道
(3星)	有点老调
(4星)	又是一位王子爱上灰姑娘~
(4星)	可爱的乔恩
(5星)	金枝妈妈
(NA)	分不清明道和小阮~~~呃~
(3星)	为什么我不喜欢！
(5星)	不愧为成名作 有时剧情的确大于演技
(5星)	好看的
(3星)	哦,我觉得这个剧情实在是太囧了……我觉得我只能说是这个剧比较乡土……
(5星)	改了下评价，我真的好喜欢，以后把它列为我最喜欢的偶像剧！！！！！！！！！！！！！！只有遇到对的人，才能舞出最美的华尔兹~
(5星)	安徽电视台一天到晚放。我也就一天到晚看。蛮好玩的吧算。
(3星)	因为陈乔恩才勉强看完了，有点想不通为什么那么高的收视
(4星)	你欠我一个吻，我要你还给我。
(5星)	经典......
(5星)	我第一次相信台湾演员是有演技滴~~~五颗星给明道陈乔恩的演技~
(4星)	比较喜欢陈乔恩~~~ 明道也不错~~~
(5星)	明道!乔恩！
(3星)	对明道不感冒
(3星)	明道和陈乔恩一起还是比较养眼的....
(NA)	有段时间很喜欢明道。
(4星)	挺好看的，茼蒿～
(3星)	茼蒿！茼蒿！
(4星)	原来我也有那么幼齿的喜欢它的时代
(3星)	很搞笑的片子，情节也很出乎意料，里面的演员演技精湛，特别是明道，是部好片子！
(3星)	不得不承认，明道在里面很出众！
(5星)	实在是——完美。
(4星)	明道这人吧，越看越顺眼，这个角色有那么好~王子变青蛙，也是灰姑娘的故事，这种情节怎么看都看不腻。。。
(3星)	在初中的年代，火爆红啊。
(3星)	曾经还真的有过因为这部电视剧而特别期望王子降临，不过现在长大了，就明白偶像剧也就只能是偶像剧。可是还是很喜欢单均昊，虽然不喜欢明道...呵呵，我什么时候成西装控了...
(3星)	前面还行后面恶心  = =。
(3星)	我已经老了，看不动偶像剧了。。。。。
(5星)	这是我第一次觉得台湾的偶像剧还不错，别跟我提流星花园，哦NO！
(5星)	绝对是偶像剧的转折！主要是剧情上的突破！
(4星)	还不错的说 当时是追着陈乔恩去的 后来发现明道巨帅
(3星)	现在看来更本没感觉了。当初还被这大头男迷得不行啊
(4星)	还是最喜欢明道和陈乔恩的组合
(3星)	灰姑娘与王子的故事。
(4星)	对我来说，算是经典吧~~~~
(4星)	大概是我看的比较早的（男主角先失忆以前的事，后来和女主角相恋，但是又因为意外恢复以前的记忆而独独忘了女主角，最后的最后，当然是大团圆啦）桥段，所以还是不错的，后来太多这种了，就不喜欢看了
(4星)	乔恩和明道最佳情侣档，真正火花四射！剧情很饱满，乔恩把个功利女孩演得可笑又可爱，尤其要赞明道的口音，非常好，有种说不出的味道。很多人说明道土，但我真的喜欢他在这部戏里的表现，冷酷贵公子＆单纯傻小子，都演得很传神
(4星)	二人的经典之作
(5星)	超喜歡明道 和喬恩
(NA)	这个。。其实也很无语。。
(3星)	1942年...
(3星)	用来安慰自己的爱情！
(5星)	一直很喜欢陈乔恩，从刚出道到现在，根本就是可爱到家的！！邻家女生的气息，很舒服
(4星)	呃。。为什么会看这个？
(5星)	陈乔恩演的必看
(3星)	狗血。
(5星)	经典的灰姑娘的故事~~~
(4星)	很难想象如果男女主角换了别人演会怎样。
(NA)	恩
(4星)	明道娃娃的经典~老稻米我要纪念他一下~
(4星)	看了这个很喜欢明道
(4星)	当时看的时候很喜欢。特别是女主角。现在反倒没什么感觉了。喜欢偶像剧的倒是可以看看。
(5星)	太喜欢茼蒿了。
(5星)	台灣偶像劇中我唯一會重複看的其中一部，另一部是放羊的星星
(5星)	现在看来，同样的剧情不同的演员，效果就是不同，这个比爱情睡醒了强太多啊
(3星)	脑残的女主...你可以一边凉快去了..
(5星)	看了好几遍
(5星)	稀饭
(5星)	超爱单均昊！
(4星)	曾经的疯狂~
(3星)	我真不想承认
(3星)	= =
(5星)	不错，很好看
(3星)	第一部喜欢的台剧，当时明道还是不错的，现在肥了！
(5星)	当时真的痴迷到不是一点点，以至于在看番外篇时看一遍哭一遍，虽然买了正版的碟，但只要电视里有重播还是会忍不住去看，连老爸都说怎么你又在看了，因为他听到那个《迷魂计》的音乐了，我笑着说因为电视里有放了，而且至少有放十几遍，老爸说我脑子跟电视台一样坏掉了，哈哈。。。。。。
(4星)	当时还挺喜欢 看了好多遍 后来就.....
(3星)	挺喜欢看陈乔恩和明道的
(5星)	好
(4星)	明道~很可爱~
(3星)	陈乔恩还行
(5星)	能在内地电视台反复的放来放去 并一直创造不错的收视率 证明了剧本本身的优秀。
(NA)	很喜欢
(5星)	咳咳。。。虽然明道恢复记忆之后却忘记了失忆后于女主一同生活的记忆的场景借鉴与韩剧 最后一支舞请跟我跳，但是，毕竟这不偶像剧还是狠狠的活了一把，彻底捧红了明道啊。
(4星)	我们的大一……
(4星)	一部现代的童话故事
(3星)	哎，台剧其实都一个套路。
(3星)	一般，演员长得不行
(4星)	有时你无心的举动，才是你真心的选择。
(3星)	用来打发过一段假期时光从此记住了白玫瑰的花语：我足以与你相配！
(4星)	曾经很喜欢
(4星)	安徽卫视的无敌重播剧。明道在里面可不是一般的有魅力啊。
(5星)	2007
(5星)	我当时觉得很好看诶。
(3星)	很早的片子，却是在最近看的，剧情一般，男主角也一般
(4星)	台剧里 不错的了 陈乔恩 演的 很好
(4星)	很喜欢明道~~~很喜欢乔恩~~~我只能说我对偶像剧真的没什么免疫力~~~
(5星)	这个...有感觉
(3星)	我怎么觉得。。。基本上我跟dango~的失忆没什么区别。。
(3星)	我曾经最喜欢的偶像剧~~~~~
(5星)	第一次相信爱情
(3星)	想起大二时，全宿舍一集一集守着看，好年轻啊
(3星)	现在想起来。。。。这部剧还真的很狗血很老套失忆这种事情多玩就不好玩了
(4星)	额- -、初中喜欢看的~
(3星)	年少无知的时候看的。虽然现在想起来有够白痴的
(4星)	我喜欢这部~
(4星)	2005年看的，当年好几处都哭了~如果没记错，十四集后就变得很水很水很白痴很白痴。。。大概收视率高了 编剧和演员都浮躁了- -
(5星)	偶像剧经典
(3星)	偶像剧嘛。。乔恩比较可爱
(1星)	明道那张脸让我响起了渔夫
(4星)	4星上不错滴！
(1星)	我是被强迫看的！所有的电视台都在播，我有选择么... 现在一看到明道就会出现不良反应...
(2星)	不感冒 就觉得挺无聊挺假的
(5星)	最初的心动，不可替代，不会再有
(NA)	高二时的杂志~~
(4星)	还好。
(3星)	没意思。
(2星)	肥皂剧。
(3星)	一度很喜欢，但现在鄙视偶像剧，其他偶像剧只配得一星的
(3星)	还行！
(4星)	那时超迷超迷的啊
(3星)	还凑合着看贝,情节有点洒狗血,就是搞笑,想要找乐子的话,可以去看.
(4星)	后来完全是受某人影响~
(3星)	一直在放。。鸡肋吧，跳着看看
(3星)	陈乔恩着实开始变成一姐级别的人了~
(3星)	王子变青蛙，如果是真的，应该会好玩。。
(5星)	从头到尾看了3遍了。。。虽然很搞笑，但也看得哭了好几次。觉得陈乔恩也就这部里面演的最好~~还有她弟弟。。。爆搞笑无比哈哈
(3星)	看之前不明白这锉男为什么会红，看完之后明白人不锉，剧本锉。
(5星)	剽窃《最后的舞请与我一起》，但是还是挺不错的，叶天瑜！
(5星)	睇佐好多次都觉得好正，故事内容非常有意思，明道好有型。
(3星)	依然不感冒`
