http://movie.douban.com/subject/3041493/	小宝与康熙
(2星)	 典型的张卫健风格，喜欢的人可以一直看下去            
(1星)	 就张卫健一个人high            
(3星)	 凉风有性 秋月无边 。。。。。。            
(5星)	 喜欢看            
(4星)	 我喜欢这个版本的鹿鼎记。因为里面的主演我都很喜欢。            
(3星)	 其实鹿鼎记跟这部都好看，唯一那啥的是明教主的那啥。。            
(2星)	 为了看朱茵才看的。以前的朱茵多美好啊。            
(4星)	 小宝那句说唱粤语版也不错。            
(4星)	 都是美女。            
(3星)	 哥哥那会借片子来看的~那会多年前哇~            
(4星)	 果然略了我最爱的曾柔。            
(5星)	 后面好感人            
(3星)	 其实我只看了一点点，因为陈小春版实在是珠玉在前。不过这部里的女人要漂亮些。我还记得：“凉——风有信，秋——月无边，可我思乡的情绪好比度日如年……”            
(4星)	 喜欢这版的            
(3星)	 凉风有性....挥之不去啊...            
(3星)	 舒淇 当年的你戏份不及张卫健郭富城郑伊健杨恭如不及朱英 如今的你早已远远超过了他们             
(5星)	 张卫健相当高水准的电视剧，比较可惜的，就是女主角们没有用原声。。            
(3星)	 也是记得林心如演的公主好漂亮            
(4星)	 当年第一次看，我很喜欢            
(2星)	 受不了这个双儿，更受不了她的孔慈            
(2星)	 这是最垃圾的韦小宝，那时候我也没喜欢舒淇。            
(4星)	 喜欢~可爱的说。            
(NA)	 还是喜欢张卫健版本的。            
(3星)	 美女挺多            
(4星)	 张卫健是港剧界的Al Pacino - -、            
(3星)	 小时候觉得挺好，现在想想，挺没意思的，不过美女多啊            
(2星)	 难道这部剧也是TVB的？！            
(4星)	 小金鱼。            
(5星)	 最喜欢这个版本的《鹿鼎记》了~            
(3星)	 明星很漂亮~仅此而已~            
(4星)	 我觉得这个建宁最好看            
(4星)	 不就是鹿鼎记嘛            
(5星)	 当年十分迷恋这部“凉风有信，秋月无边，亏我思娇的情绪，好比，度日如年......”帅呆了！            
(2星)	 受不了张卫健的韦小宝            
(2星)	 张卫健的表演很做作。            
(3星)	 弱智的典范……欺骗过我这等无知孩童~            
(4星)	 这版的几个媳妇儿比较漂亮            
(4星)	 很喜欢张卫健的表演~~很搞笑！            
(3星)	 只能说我对张卫健不是很有爱。            
(4星)	 第4颗星给林心如。额            
(5星)	 还真挺喜欢这部搞怪之作            
(4星)	 最记得小时候，第二天回到学校几乎所有人都背那首诗            
(4星)	 凉风有信，秋月无边......            
(5星)	 张卫健的耍逗,超多明星的加盟.   剧情不错,最重要的这是所有鹿鼎记中老婆们是最漂亮的,都是美女               
(4星)	 当年真的很喜欢看啊=。=            
(4星)	 凉风有性,秋月无边,亏我思娇的情绪好比度日如年,虽然我不是玉树临风,潇洒倜傥.....            
(3星)	 虽然 最爱 陈小春的版本，但是这个也不错啦            
(4星)	 个人觉得最好看的一个版本。            
(4星)	 ....额            
(4星)	 也不错= =初中的年龄阶段比较喜欢看，大概。。。            
(4星)	 这个版本的韦小宝不是痞子，而是英雄。            
(3星)	 没看全。            
(3星)	 虽然不及陈小春那版经典 但比起黄教主那版是好太多了==+我最近很反感黄教主 这是怎么了            
(3星)	 看一众美女也不错。            
(5星)	 最后一集是个人就该哭出来。。            
(2星)	 不得不说，台词很经典            
(4星)	 这个版本的韦小宝也不错~            
(3星)	 觉得张卫健到后期演的几部都不好看。改编太多了。            
(2星)	 可惜那么多美女。            
(4星)	 我挺喜欢这个版本的，延续周星驰的电影版鹿鼎记，而且美女超多，林心如的建宁公主很喜欢。还有陈法蓉的龙儿，特喜欢。喜欢脸盘子大的女生，呵呵            
(2星)	 几个老婆都不错...            
(NA)	 张卫健之我爱你像谁            
(3星)	 其实，很。。。张卫健的演技都快二十年不变了            
(3星)	 那句台词现在都记得到。            
(3星)	 陈近南式韦小宝            
(4星)	 里面有张卫健自己的东西。            
(5星)	 凉风有信，秋月无边，亏我思娇的情绪好比度日如年！            
(4星)	 最爱这一部韦小宝了~女孩儿都很清秀~其中也是最喜欢张茜的  = = 真巧他们俩就结婚了。            
(3星)	 你爱我像谁            
(5星)	 嗯.....如果你感到寂寞，我带给你热闹            
(4星)	 女人阵容强大啊。            
(4星)	 蛮好看            
(4星)	 当我还不认识朱茵时，看到阿珂时心里狠狠地跳了几下，越看越熟悉，越看越迷离，后来终于醒悟过来，她就是当年大话西游里让我花痴了好久的紫霞仙子...            
(4星)	 心如MM死的那里狂哭            
(3星)	 另类金庸            
(4星)	 张卫健的电视剧好好看~            
(3星)	 至今记忆犹新的是，最后建宁死的时候我奇迹般地嚎啕大哭，不知道是触到哪根神经了。            
(5星)	 这个版本美女如云            
(1星)	 除了差，没别的。            
(NA)	 居然是01年港剧第一？            
(4星)	 林心如的扮相很好看！这里面            
(3星)	 全是为了陈法蓉            
(3星)	 一堆的女人啊。。。            
(3星)	 剧情改动太多 不过女主角都很漂亮            
(5星)	 超多靓女            
(2星)	 看到张卫健就恶心            
(4星)	 老早还是借片子看到记得= =            
(3星)	 各种翻拍，独爱这部！            
(4星)	 女多            
(3星)	 挺喜欢这版的也当时            
(4星)	 快乐啊~哈哈哈            
(NA)	 这么烂的也是tvb？？            
(1星)	 真是的。。。哎。。真是觉得陈小春无法超越啊。。。            
(2星)	 最烂的鹿鼎记了 据说在HK收视率超高 亚视凭这个打败TVB了 不可思议            
(NA)	 觉得非常无聊。            
(4星)	 风靡我的六年级            
(3星)	 林心如建宁公主的大蝴蝶头~            
(3星)	 张卫健很搞笑的。。            
(4星)	 大学时的“两人一机”            
(4星)	 里面的美女都很美啊~            
(3星)	 里面美女很多            
(2星)	 张卫健真是好演技，演了100个角色都觉得他在演同一个人 - -。            
(NA)	 高一时红的一塌糊涂，凉风有信秋月无边~            
(4星)	 喜乐            
(NA)	 恩啊 很有爱~            
(4星)	 那是个还爱看电视剧的年代……            
(3星)	 呃·······一直对张卫健没太多感觉···········            
(4星)	 我也是小宝啊            
(4星)	 呵呵，喜欢张卫健            
(3星)	 呵呵 凉风有讯秋月无边想我思娇的情绪好比度日如年。。。啊~张茜~小金鱼·~~            
(2星)	 韦小宝方世玉孙悟空，演来演去都一个风格。            
(3星)	 很一般~            
(3星)	 zzz            
(5星)	 结局哭死了。。。记得第二天，果个咩节目（相当于现在的东张西望）还做了关于结局如果收得的新闻            
(1星)	 看在有些牌的份上，给一颗星吧。。            
(3星)	 他有三星因为女的漂亮            
(4星)	 那时的张卫健模式还如日中天，对美女扎堆更是青菜萝卜，随你挑            
(4星)	 就是美女多            
(4星)	 终于出现一版都是美女的韦小宝，可是不是叫《小宝传奇》吗？            
(3星)	 乱糟儿的玩意 真多            
(3星)	 没有陈小春版经典~            
(4星)	 冲着张卫健给4星~~            
(4星)	 凉风有信..........初中的时候借片子看的，那时候好像还没有在网上看电视的？很多东西来的太容易了，就不是那么感觉好了。手机也是其中之一            
(3星)	 实在无法接受吴辰君演双儿……            
(5星)	 有十星我就打十星            
(4星)	 电视剧中最经典的韦小宝            
(4星)	 美女蛮多的,,            
(3星)	 哈哈哈            
(4星)	 凉风有信，秋月无边，亏我思秋的情绪好比度日如年，虽然我不是玉树临风潇洒倜傥，但我有那广阔的胸襟和强健的臂腕。。。。囧            
(3星)	 女生不错            
(4星)	 很搞笑，很煽情，也不算特别装逼，难能可贵啊            
(4星)	 额~~~小宝和康熙注定不能是好朋友。。。            
(2星)	 囧            
(4星)	 从前很喜欢            
(NA)	 凉~风有信，秋~~月无边            
(3星)	 还是喜欢陈小春演的鹿鼎记~~            
(3星)	 印象里最贴近原著的一部 虽然貌似挺长的没看完 汗死美女也比其他的几个版本更加对得起观众=w=            
(2星)	 看腻了张卫健的表演~            
(4星)	 众多的美女，大陆把这版剪得不成人样了，怨念~~            
(4星)	 小时候还满喜欢看的            
(NA)	 这个版本也不错其实陈小春那个最好            
(3星)	 什么玩意，收视竟然那么高            
(4星)	 这版本里的人更好看！            
(3星)	 一般            
(3星)	 养眼的一部            
(4星)	 林心如的建宁我挺喜欢。            
(3星)	 真没陈小春那版好看            
(5星)	 2007            
(3星)	 这个不行~教育小孩要包几奶~            
(2星)	 看在搞笑的份上。            
(2星)	 美女众多，张卫健完全在演自己            
(3星)	 张卫健+众美女~恩。。。            
(2星)	 凉风有兴，秋月无边.......            
(3星)	 特色：美女如云            
(3星)	 里面头挂大蝴蝶的林心如很可爱~~            
(5星)	 七个老婆很漂亮            
(4星)	 纯粹来看明星的，还有小宝那段：凉风有信，秋月无边，真是经典呀            
(4星)	 我还是最喜欢陈小春那版            
(5星)	 9.5            
(4星)	 前面比后面好看            
(3星)	 凉风有幸，秋月无边~            
(4星)	 冲着名星去看的，确实风格与其它几版小宝有较大变化。            
(3星)	 这个小宝居然会武功，小时候因为里面的一段台词还被某小学女同学老是打            
(5星)	 我就是爱张卫健啊！            
(NA)	 这大概是我最喜欢的《鹿鼎记》版本。            
(4星)	 大家都说烂，好吧张卫健的表演确实是浮夸了点，不过硬生生把人家从40集砍到了20集，广电您的功劳也不可磨灭            
(3星)	 假太后很帅气~            
(1星)	 这部太乱啦。            
(4星)	 凉风有幸~秋月无边~~            
(NA)	 美女如云            
(3星)	 不是最经典的那版            
(NA)	 小金鱼~            
(NA)	 值得看 很多东西都在里面 要看未删减过完整版的            
(4星)	 改编得好！原著不是可以拍得出来的。            
(4星)	 应该去看完整版的。。这个被剪的七零八碎。。但是还是和原著没关系~            
(3星)	 女演员不错            
(5星)	 其实最喜欢这一版。。。            
(3星)	 一般            
(3星)	 打发时间嘛            
(1星)	 伪小宝            
(3星)	 还行……比刘德华版的好一点            
