http://movie.douban.com/subject/2371837/	野蛮奶奶大战戈师奶 野蠻奶奶大戰戈師奶
(2星)	 我終於知道為毛有人冤枉我喜歡汪阿姐，連那麼狗血的片子我都看過……            
(4星)	 时装杂志的编辑社实在是令人向往=v=。            
(4星)	 Bosco！            
(3星)	 除了黄宗泽，都不好看            
(4星)	 胡杏儿。            
(3星)	 BO很帅~            
(4星)	 现代版没有古代版那么好看，而且明显有模仿的嫌疑            
(4星)	 搞笑，啊姐拍的几好。            
(2星)	 野蛮奶奶现代版。不如古代版好笑。可怜汪明荃有点太死撑了吧。            
(3星)	 完全没有古代的好看~            
(NA)	 我还在网上找来看的，当就觉得bosco好帅！红宝石国的卷毛王子~            
(3星)	 bosco好靓仔~~            
(3星)	 盗用情节....好差劲            
(3星)	 仿“穿Prada女魔”的痕迹太重。汪阿姨的气场真大~            
(4星)	 毕竟戈德不是欧海文            
(4星)	 高中时播的，那时上学的时候会和同学讨论剧情，高中回忆阿。。。            
(3星)	 还是看着玩  感觉古装好点儿            
(4星)	 胡杏儿~            
(5星)	 尽管胡杏儿很丑            
(5星)	 过年时独自一人享受!值得看，开心剧!            
(NA)	 还算可以            
(4星)	 戈师奶很有个性，赞一个~~~~            
(4星)	 还行~            
(4星)	 现代装不错            
(NA)	 黄宗泽 不错~            
(4星)	 黄生的卷毛头还是挺shuai的~胡杏儿还是适合御姐风范。            
(4星)	 胡和黄定情的一部戏啊            
(2星)	 港……            
(4星)	 胡杏儿的现代装很靓~~~            
(3星)	 穿prada的恶魔，改的            
(5星)	 轻松时尚            
(5星)	 搞笑            
(5星)	 不错            
(4星)	 每次回家都看到，每次都看同一段……这么个喜剧看同一段很是痛苦……            
(4星)	 挺搞笑的.            
(4星)	 没有记错的话貌似是从头笑到尾~~~不过看开头的时候总觉得是模仿“穿着prada的恶魔”            
(4星)	 還行....特別是做生活調劑品...很是搞笑            
(3星)	 其实一般，主要看BOBO去了            
(3星)	 哈哈            
(4星)	 黄宗泽的发型太奇怪了，真影响形象。            
(4星)	 挺搞笑的            
(4星)	 搞笑片。。O(∩_∩)O哈哈~            
(3星)	 喜欢啊姐            
(5星)	 非常有意思的片子，胡杏儿和汪明荃之间的斗争有趣。但黄宗泽的发型真让人有点受不了。            
(4星)	 《穿Prada的女王》的翻版，不过笑果还不错。            
(NA)	          仿的太失败了……            
(3星)	 汪明荃很好玩兒。            
(4星)	 看这个剧的时候我在想一个问题，就是一的时候觉得汪明荃非常讨厌但是二的时候反而很能理解她觉得胡杏儿黄宗泽根本就是小P孩什么都不懂，难道是因为女性地位真的变了？另，喜欢郭政鸿            
(4星)	 其实很幸福啊            
(3星)	 没有第一部好看了！看来好剧看久了还是顶不住            
(3星)	 野蛮两字完全称不上。第二部完全是媳妇在闹。和第一部不能比。            
(3星)	 没第一部好看～            
(4星)	 喜欢            
(NA)	 无趣的电视剧            
(3星)	 男女主角是tvb的败笔，不知道为什么会红。            
(3星)	 有点失望其实            
(4星)	 汪明荃还时老辣~            
(3星)	 混时间还可以。            
(3星)	 在电视上放为什么就没了美感            
(3星)	 黄宗泽是某女女女的型~            
(3星)	 这一部，里面的亮点是benz雄            
(3星)	 發現胡杏兒打扮沒氣質 不知道爲什麽            
(3星)	 和第一部差的有点远            
(5星)	 没的说,非常棒,也蛮典型的~不过就是Bosco的卷发造型有点不适应~            
(4星)	 好玩            
(4星)	 很搞笑~~~            
(3星)	 汪明荃！            
(3星)	 蛮喜欢黄宗泽            
(4星)	 有点胡扯，但还是又感动在里面，婆媳之间的互相体谅啊~什么的            
(5星)	 胡杏儿之在这部还算个美女            
(3星)	 没有喜欢的主角，剧情也是俗套            
(3星)	 有D系抄《穿prada的恶魔》嘅~            
(3星)	 抄袭痕迹很严重哪~            
(4星)	 虽然题材很似曾相识，，不过还是很好看            
(3星)	 典型的欢喜斗气的一家人，很喜剧            
(5星)	 大姐大就是大姐大            
(4星)	 很扯 挺浪漫的            
(2星)	 感觉上是乱七八糟，不符我的爱好，尤其是黄宗泽的发型，简直坏了花伦同学的形象            
(3星)	 胡杏兒實在不是美女，阿姐很棒。。。            
(3星)	 有黄宗泽就好睇 哈哈            
(4星)	 都不知道，该给这剧集加注什么标签了。感觉上好像还是第一部好看。古装的。喜欢傻傻的“不留名”。不过这部。充满时代气息。服装好靓。总的来说。还不错啦。。。            
(2星)	 明显就参照了prada            
(4星)	 陪我入睡的TVB            
(3星)	 没古装的好看！            
(3星)	 不错            
(4星)	 黄宗泽~~~            
(3星)	 前面还可以勉强看下去，后面真的很没意思，没法和野蛮1比啦            
(4星)	 我爱黄宗泽~！            
(4星)	 蛮有趣的，虽然是抄穿prada的女魔头的，典型的港剧啊。            
(3星)	 Bosco在这部戏里面蛮帅的            
(3星)	 看上黄宗泽鸟~哈哈            
(4星)	 很kuso            
(4星)	 好看好看。能笑死！！！            
(4星)	 衣服很漂亮            
(5星)	 依然是Boscolie~            
(2星)	 把形象設計拉過來斬了            
(3星)	 无聊就看肥皂剧吧.. 三颗星是给阿姐的            
(3星)	 港版的“时尚女魔头”            
(3星)	 虽然不如第一部那么搞笑。~~~            
(3星)	 为了续集而续集么。。。            
(4星)	 蛮搞笑的~            
(4星)	 电视剧版穿prada的女魔头            
(NA)	 真棒！            
(5星)	 挺好看的            
(3星)	 古装那部没看，看的现代这部            
(3星)	 感觉没 我的野蛮婆婆 好            
(3星)	 有点像模仿devil wears prada的意思可惜失败了            
(3星)	 不如古装版的好看            
(NA)	 黄宗泽越来越型了            
(4星)	 黄宗泽            
(3星)	 没有第一部好看，黄宗泽的发型很诡异            
(3星)	 阿姐很fashion，很有性格，黄宗泽有点不太出彩，感觉是个男配角。胡杏儿真的很难得，长相不怎么样，但是演技还不错，看得久了，也就审美疲劳了。            
(3星)	 周丽敏和O姐挺谁？当然是O姐！正如多数人的观点，周丽敏这角色实在不招人喜欢。胡杏儿只适合演个配角，看多了受不了。她和奶油扮相的黄宗泽没擦出太多火花，倒是coco（滕丽名）和cc（郭政鸿）的对手戏为剧集增色不少。全剧还算轻松诙谐，20集没感到闷，阿姐汪明荃宝刀不老。            
(5星)	 超搞笑~            
(4星)	 丸子推荐的，挺逗            
(4星)	 喜欢o姐            
(4星)	 模仿的有新意            
(NA)	 欣赏汪明荃，如果说第一步，是黄宗泽和胡杏儿的戏话，这一部简直就是汪明荃的戏，担当这个时尚的大戏。。。。题材选得不错，不知道会不会出第三部。。            
(4星)	 阿敏很可爱~            
(4星)	 轻松搞笑            
(1星)	 强烈鄙视，看了10集实在看不下去了，枉我之前还抱有一丝希望，黄宗泽的形象真让我忍不住破口大骂，男人呐，没大脑也是很白痴的            
(3星)	 时装蛮靓 但这位少奶奶不是太讨人喜欢 也许是自己○了吧            
(5星)	 笑笑            
(NA)	 说实话---不喜欢周丽敏            
(3星)	 衣服很靓            
(NA)	 他们夫妻间的相处方式 还有点好耍            
(5星)	 喜欢黄宗泽,嘿嘿            
(NA)	 还是古装的好看            
(4星)	 初看一般，看下去觉得不错。            
(3星)	 一般般，劇情么撒高潮            
(NA)	 野蛮奶奶时装版。。。。好浓的妆。。            
(4星)	 有点像穿着普拉达的女王。。            
(4星)	 挺好玩的            
(2星)	 总之是我看不太下去。            
(3星)	 不如第一部好看吖……            
(NA)	 那么巧 所以就看喽~            
(4星)	 呵呵··像穿普拉达的女王连续剧版            
(4星)	 不错            
(4星)	 虽然烫了个方便面头，还是觉得黄宗泽很帅～            
(5星)	 喜欢黄宗泽~！            
(NA)	 继续恶搞，BO杏默契之作            
(2星)	 一般            
(NA)	 好看好看，喜欢也。            
(NA)	 在HK hotel看的大结局            
(NA)	 看的时候真的好好笑            
(3星)	 结局超烂            
(NA)	 这太逗了            
(4星)	 想当年在宿舍围着ZY的笔电追的戏。            
(NA)	 搞笑D            
(4星)	 蛮搞的            
(NA)	 好搞            
(3星)	 没第一部好看&gt;&lt;```            
(NA)	 有点意思，哈哈            
(4星)	 女人的戏。。。那也别贬了男主啊。。伤心            
(5星)	 既搞笑又发人深思            
(3星)	 没古代版的好看            
(3星)	 在学校看的进度那叫是一个慢!            
(3星)	 还是比较搞笑的，就是闹剧~            
(NA)	 在这边看了很多部粤语版电视 听力上有越来越好的趋势             
(3星)	 喜欢阿姐，那么多年还是那么漂亮            
(5星)	 不错不错~            
(3星)	 可以看看咯            
(4星)	 我很喜欢~            
(3星)	 某电影+某电视剧的充组版            
(3星)	 一般般~            
(NA)	 稀饭。。。            
(3星)	 先看了时尚女魔头..不然可能评价会高点的~            
(1星)	 胡杏儿夸张，汪明荃更夸张。太假了！            
(3星)	 比不上我的野蛮奶奶...蛮多地方处理得太仓促了            
(3星)	 开始看戈师奶喽~~            
(NA)	 太多别人的影子            
(2星)	 胡杏傻的让我想抽她            
(NA)	 嘿咻            
(NA)	 失败~            
(4星)	 以为一个古装剧就完结了，没想到现代版也蛮不错的。            
(3星)	 模仿之作，却又模仿得不到位            
(NA)	 对黄宗泽轻微中毒中…            
(NA)	 电视剧版本的《时尚女魔头》（穿普拉达的女王）            
(NA)	 喜欢黄宗泽            
(5星)	 那个寒假唯一能看得电视剧~~            
(3星)	 没古装的好看            
(4星)	 好搞笑，也好好看            
(NA)	 挺滥的一个港剧..基本下载外是飞着看, 3个小时看完四十多个小时的电视剧..            
(NA)	 第一部港剧（原声）            
(4星)	 08.4            
(4星)	 越来越喜欢黄宗泽            
(NA)	 实在是另类写照呀~感叹感叹~            
(NA)	 最近港剧走野蛮路线吗            
(NA)	 恩            
(NA)	 k time 之春节            
(NA)	 三个人演2部。 好看            
(3星)	 我真的不怎么待见胡杏儿            
(3星)	 没有第一部好看了,虽然是预想中的,但还是有小小的失望            
(3星)	 汪明荃在里面還可以。            
(5星)	 戈师奶教我们很多人生道理！            
(NA)	 2007年    又名: Wars of In-Laws II            
(NA)	 灵的.老汪哈赞.超爱她.学习到很多呢.            
(3星)	 仿《穿Prada的恶魔》，用来打发时间。。。。            
(4星)	 杏同学的身材真恢复得不错咧，bosco的花轮头也是亦正亦邪呀            
(2星)	 非常失望，黄宗泽加一星，胡杏儿减一星            
(4星)	 满好笑的。。            
(4星)	 比古装版的要好笑            
(NA)	 很有趣。            
(2星)	 爛尾之作 可惜可惜            
(2星)	 感覺模仿的是穿PRADA的女魔頭。。            
(4星)	 大姐大很有型            
(5星)	 超级好看的片子，很现实            
(3星)	 按着比较俗的套路发展            
(4星)	 笑到肚子破掉            
(NA)	 现代版的野蛮奶奶第２部，有＜穿Prada的女魔头＞的味道            
(NA)	 :)            
(4星)	 邊個話我地女人好蝦啊？！呵呵~~~            
(4星)	 打发时间的好东西            
(4星)	 超极暴笑！            
(2星)	 看了不到一集就不行了，不能看有胡杏儿的戏这个经验不能忘啊            
(4星)	 老搞笑的，就是后半部有点落俗套了            
(5星)	 好搞笑的一部戏，同时又有俊男美女同靓衫靓景            
(4星)	 喜剧 ，喜剧，绝对的喜剧，嘿嘿            
(2星)	 看杏儿和bosco~haha            
