http://movie.douban.com/subject/2154774/	云海玉弓缘
(4星)	 胜男，是我最爱的女主，决绝惨烈的爱，心疼她，却对世遗恨不起来，同样是深情如斯，却看错了方向~不若张无忌那家伙，心是软的，念是散的~            
(5星)	 看了这部电视剧，才喜欢上叶璇，还记得她抱着膝盖，蹲在地上，伤心欲绝的那一副画面，我的心也跟着颤抖。            
(4星)	 喜欢原著，也就看了            
(4星)	 有纪念意义的片子——看的掉了很多眼泪，弄假成真，从此成为宝马。。。            
(5星)	 当又下起雪的时候，如同初识的那刻，人生有伤痛，柔情难割舍，或许很少有专门为最后一集骗人眼泪而拍的电视剧了...            
(NA)	 不是很精致            
(3星)	 太早看的了            
(3星)	 化妝的太難看暸,難以接受哦            
(4星)	 喜欢厉胜男            
(3星)	 低劣的制作掩盖不了叶璇对厉胜男的精彩演绎            
(5星)	 心疼胜男～            
(5星)	 厉胜男最后可让我哭死了            
(NA)	 太折磨人了            
(5星)	 其实就整体而言，这个片子完全够不上5星，可叶璇的表演确实是最大的亮点，为此，还特意去看了原著，说实话，我一向对武侠小说无感，原著看完也仅仅钟情于胜男一人，机缘巧合，知道了后来还有本《冰河洗剑录》，狗血的让金世遗和谷之华在一起！            
(1星)	 改編得超爛            
(NA)	 峰璇配啊。。。可惜海马离开TVB了            
(3星)	 早期作品            
(3星)	 差距太大~            
(5星)	 你是爱我的，只是你从来不知道而已，世遗哥哥，我永远不会害你的。            
(5星)	 他是一个不懂自己感情的男人，她是一个不会表达自己感情的女人。他们的故事一直都默默地进行着，却在要结果的时候结束了。            
(4星)	 片子不如何……但因挚爱璇……            
(NA)	 旋风组合比较出挑的作品            
(4星)	 一直以来都偏爱前途无限的正派小子和“妖女”的故事，白发魔女也好，武林外史也好，还有这部云海玉弓缘，只是这部电视剧里，谷之华气场太弱，李彩桦美则美矣，可惜尚显稚嫩，和金世遗之间也看不出什么火花，倒是厉胜男,倔强、认真十分贴合            
(NA)	 都说叶璇的演出把林峰盖住了 不过我很喜欢            
(3星)	 其实我觉得不怎么样的            
(3星)	 喜欢这个剧情 应该读读原著            
(4星)	 我喜欢书里的厉胜男            
(5星)	 ...            
(NA)	 虽然改得面目全非，但是还是爱啊。            
(NA)	 结局            
(4星)	 我伤感了...            
(5星)	 我最爱的胜男。。            
(NA)	 个人最喜欢的叶璇的角色之一~~            
(5星)	 结局灵的            
(4星)	 该片十分感人，尤其是结局处更是打动人心，值得一看！            
(5星)	 我喜欢林峰喜欢叶璇            
(2星)	 讨厌李菜花！叶璇在这里也不怎么漂亮。。。            
(3星)	 为了fung睇的。mou乜感觉            
