http://movie.douban.com/subject/2246583/	苍天有泪
(NA)	 我看的蒋勤勤的第一部，公道的说，蒋勤勤以后的扮相再无出其右者。            
(3星)	 女猪一家SB            
(5星)	 小时候的回忆都果断给5星啊！原来这么早就有朱茵了&gt;&lt;            
(4星)	 被蒋勤勤比下去的朱茵……            
(5星)	 彼时的勤勤好美，茵姑娘也好美            
(NA)	 还记得蒋勤勤演的姐姐朱茵演的妹妹，以及一首叫对花的歌~其他一概不知            
(4星)	 本来给三星的，多出的那一星给蒋勤勤            
(5星)	 记得读三年级看西游记，这个电视剧总是在西游记前面播两集，搞得我当时每天只好看下去了。我一直都以为叫做苍天有眼。            
(3星)	 从小就迷庹宗华啊！            
(4星)	 朱茵和蒋勤勤那不是一般的漂亮~焦恩俊也帥得一塌糊塗~            
(4星)	 重温。天若让人灭亡、必先使其疯狂。对男主无感，喜欢阿超和雨凤。            
(4星)	 终于开完结局了，十多年看得时候没看着结局，今天碰巧能看着可真不易。故事还行，有冲突，不矫情。台词偶尔让人发冷，嘿嘿，这还是符合当年人的情怀。而且里面真是帅哥美女一大把，彼时火候正好，现在都老了。所以看了感觉非常良好。            
(NA)	 朱茵嘴太大。怎么洞房花烛的时候云飞一直在啃蒋勤勤。。。啃半天。。。那个天虹是不是谢丽君的小三？跟情深深雨蒙蒙里面的可云好像哦。。。其他没什么。演员年轻时候都挺美的。            
(4星)	 从小看到大还是觉得很经典~            
(4星)	 焦GG你怎么可以这么坏.......            
(5星)	 再看一遍，真是太好笑了。而且居然还有“独乐乐”跟“众乐乐”啊            
(3星)	 蒋勤勤那个时候还叫水灵呐~~            
(3星)	 啧啧 那时候是还蛮喜欢的 不过焦恩俊是横竖都有点难受            
(4星)	 那个时候的水灵真水灵啊。。。片头曲和片尾曲各加一星。。。            
(5星)	 当是很喜欢朱茵来着~            
(4星)	 那时候的蒋勤勤美得不食人间烟火。。            
(5星)	 很经典，很好看，很感人            
(4星)	 水灵灵地水灵，令人惊艳的朱菌            
(3星)	 看的蒋勤勤第一部戏，对得起水灵这个名字            
(4星)	 居然在首页无意瞟见了介个～一花一世界，一木一菩提，回头才是岸，去去莫迟疑。            
(4星)	 。。。想我年纪轻轻就开始看琼瑶阿姨的电视剧。。难怪早熟。。。            
(4星)	 琼瑶奶奶当年选角的眼光还是很好的。            
(4星)	 为那美人惊艳            
(4星)	 感人，经典，朱苬好灵啊。。。            
(5星)	 悲催的电视剧，朱茵、蒋勤勤都贼拉漂亮            
(3星)	 难得阿姨的剧有朱茵。            
(4星)	 當年很喜歡。            
(5星)	 剧好，演员好，演技好。            
(4星)	 痛也要痛得刻骨            
(4星)	 对陈昭荣饰演的阿超念念不忘。            
(4星)	 琼瑶阿姨的苦情戏            
(4星)	 老小了 在扬州还看见焦恩俊了            
(5星)	 很美的蒋勤勤            
(4星)	 朱茵是真漂亮啊...            
(4星)	 小学时候狂爱 = =            
(4星)	 记得看的很纠结            
(4星)	 小时候看的了 现在还记得 好看的 歌也好听            
(4星)	 蒋勤勤在这个剧里面美呆了！！            
(4星)	 女演员都好漂亮            
(5星)	 小时候越虐我越爱！            
(5星)	 最爱勤勤             
(3星)	 10年前初见蒋勤勤,惊为天人            
(3星)	 结尾曲很出彩            
(5星)	 我后来才想起来，原来我看的第一部勤剧是苍天，只是那时候我还不认识她。跟着我娘看的，她爱看我不爱看，我那么小就已经开始嫌弃乡土气息了。直到今天，我依然无法爱上雨凤，她和琼瑶阿姨的那些情结永远埋藏在我心底吧- -            
(4星)	 朱茵和蒋勤勤那个美啊            
(5星)	 好看啊 蒋勤勤你有多美 朱茵你有多美            
(5星)	 我实习第一天的工作就是把这个电视剧稍微剪一下传到网上去……话说我当年真是超爱雨娟雨凤这对姐妹花啊~~美呆了~~            
(4星)	 小时候的经典            
(NA)	 居然想起来我看过了            
(3星)	 TAT...以前老喜欢看这种片子的。。现在。。。            
(4星)	 我喜欢妹妹。            
(3星)	 我喜欢天虹额囧            
(4星)	 重口味，现在再也无法承受啦            
(4星)	 当年很喜欢~            
(4星)	 当年觉得蒋勤勤和朱茵太美了 跟副画似的 虽然现在还是美            
(4星)	 那个时候最喜欢吃八宝膏，那个时候蒋勤勤美的在我眼中就是一块八宝膏！            
(4星)	 ！！！            
(NA)	 看美女啊看美女，看帅哥啊看帅哥~琼瑶阿姨，你就这点好~            
(5星)	 难得看到焦恩俊短发的样子 美丽的朱茵 水灵的蒋勤勤  典型的台湾剧 悲悲切切            
(4星)	 美女养眼            
(NA)	 那时候我真不觉得蒋勤勤多美来着            
(5星)	 苏慕白哇 焦恩俊邪的更灵 勤勤就是那出水芙蓉~            
(4星)	 水灵啊水灵。            
(4星)	 因为这戏认识的蒋勤勤            
(4星)	 蛮喜欢的、、            
(3星)	 初识蒋勤勤和焦恩俊~~            
(5星)	 那个漂亮`~~~~            
(4星)	 小时候守着那个黑白电视看了很多次诶 喜欢的是女配角            
(5星)	 初出茅庐的时候相当不错            
(4星)	 很老的电视剧 但人物都很漂亮            
(5星)	 好老但很有回忆的感觉，主题歌也很好听            
(3星)	 撇开剧情,蒋勤勤则卖相实在特特特无敌了..至今是我觉得内地女演员里面最嗲额,但是当时的朱茵也毫不逊色啊~就冲着看这两个女宁起了=.=            
(5星)	 因为这部认识了水灵~~            
(5星)	 那时候，朱茵还不是紫霞仙子，像个假小子一样跟在蒋勤勤身后；而蒋勤勤，真的是出水芙蓉一般清新的存在。焦恩俊还没有被小李飞刀里的泡面头糟蹋，是帅到一塌糊涂的风流公子，只有庹宗华，万年不变一张沧桑的脸...            
(4星)	 悲情的狗血剧            
(4星)	 现在想想台词是肉麻了点            
(4星)	 儿时的记忆，虽很琼瑶，但还是美好～            
(3星)	 其实是部好片子，只是同期的还珠太强大            
(3星)	 。。。            
(NA)	 4            
(3星)	 那时候的蒋勤勤。。。            
(3星)	 琼瑶代表剧看得真是不多 这个让我认识蒋勤勤 后来知道她是内地的 自豪啊 朱茵年轻的时候真是美得不行            
(4星)	 穷摇阿姨~~            
(5星)	 自认为这是琼瑶后期作品里最好看的一部            
(NA)	 经典。。。            
(4星)	 卡司强大，第一次看到蒋勤勤觉得好漂亮&gt;&lt;            
(4星)	 噗。。。虽然不想承认，但这好像是唯一一部我看完整的琼瑶片。。。喜欢里面的焦恩俊和朱茵。。。男女主无感。。。            
(5星)	 当年蒋勤勤可美勒，琼瑶姨妈果然是催泪使者。            
(4星)	 蒋勤勤究竟是如何生得这样好看            
(2星)	 蛮早以前看的。。琼瑶哭哭啼啼作品。。对二姐妹印象还蛮深。。            
(3星)	 里面的蒋勤勤美呆了            
(4星)	 蒋勤勤最美的时候            
(3星)	 朱茵让我惊艳。。。。。            
(3星)	 男演员们长得我好心痛。。。            
(3星)	 焦恩俊从此在我心中成了流氓的代名词            
(3星)	 当时被蒋勤勤惊艳了。这女人太美了。            
(NA)	 当年很喜欢焦恩俊~            
(NA)	 那个时候蒋勤勤真水灵            
(5星)	 看的为数不多的台剧之一，挺感人的，歌很好听。            
(5星)	 好像很好看的的样子            
(3星)	 我当年竟然看完了。            
(3星)	 ￢￢            
(4星)	 雨凤，雨鹃，难能两个妹子都这样美啊            
(5星)	 蒋勤勤在里面贼水灵，朱茵活生生的被比下去了            
(4星)	 这部很精彩            
(4星)	 蒋勤勤真是惊为天人。男主可真老啊。我一直以为朱茵会和焦恩俊在一起，这是多么愤世嫉俗虐恋情深的结局啊。果然是在与时俱进啊，琼瑶真真是out了，现代爱情故事，真叫一个不虐不成活啊。            
(4星)	 最不虐人的琼瑶戏~蒋勤勤和庹宗华很配            
(5星)	 最喜欢的琼瑶剧，蒋勤勤惊为天人啊。            
(5星)	 童年的美好回忆            
(4星)	 还是很喜欢的            
(4星)	 惊艳哦            
(NA)	 蒋勤勤美得惊为天人！！！这里焦恩俊也还没残。            
(NA)	 此后一直很讨厌焦恩俊            
(5星)	 云翔太坏了~~大爱阿超~~~不喜欢云飞~~也蛮喜欢雨凤和雨鹃两姐妹的            
(NA)	 超爱这对年轻貌美的姐妹花            
(4星)	 记忆当中看这电视哭了好几次。            
(4星)	 萧雨凤，萧雨鹃。当年看的或许不是爱情，但那孤傲山庄里住的人真的都好喜欢。            
(3星)	 哈哈，很多年後再想想，印象最深的果真是展雲翔……            
(3星)	 印象中很苦情啊~很苦情~            
(4星)	 瓊瑤阿姨的戲            
(5星)	 俩女主角漂亮啊             
(4星)	 蒋勤勤惊艳！            
(NA)	 痛。困砂。水灵灵与书卷气的庹宗华。            
(4星)	 记不清了，但还想再看看。            
(4星)	 那时候认识朱茵，好喜欢            
(4星)	 蒋勤勤年轻时真的是“水灵”            
(4星)	 小时候的经典。            
(4星)	 那时候觉得感人啊，那个焦恩俊怎么那么坏的，两姐妹怎么那么美的            
(3星)	 琼瑶曾经很看好却没有大红的一部剧啊~            
(5星)	 两个大美女，养眼得很            
(5星)	 我和朱茵的定情之作！1998            
(5星)	 看得我真难过~            
(4星)	 好像这部是第一次看朱茵演的电视剧，虽不是主角，但我却喜欢上这个敢爱敢恨、敢作敢当的雨鹃。            
(NA)	 琼瑶剧摧残多少人啊            
(3星)	 那时候恨死焦恩俊了，把那个二少爷演的超级坏            
(4星)	 困砂是苍天有泪的主题曲吧            
(4星)	 好像小时候看过但印象不深了            
(4星)	 我比较萌雨娟和阿超这对。            
(4星)	 就记得那没完没了的伤心欲绝 小时候觉得这片子好色情。。我总不好意思看。。            
(3星)	 这个我竟然也看过，主角不是焦恩俊好不好，小时候很纠结于男主那么挫……好像男主的男仆长的还不错            
(4星)	 小学二年级和看还珠一起看滴            
(5星)	 琼瑶剧，除了还珠格格，接下里最喜欢这部！            
(4星)	 琼瑶剧初恋            
(3星)	 曾经为它掉了多少泪！            
(NA)	 喜欢那个时候的水灵，还有陈昭荣也不错            
(3星)	 朱茵和蒋勤勤，此外这真没什么可看            
(NA)	 印象太深刻了，虽然很久远了。应该是我看过的第一部琼瑶剧。            
(3星)	 三颗星全给让我惊艳的水灵！            
(3星)	 T T蒋勤勤！            
(NA)	 童年回忆。            
(4星)	 蒋勤勤和朱茵耶            
(3星)	 到现在都不认得那个男主……            
(4星)	 现在才知道蒋勤勤那时候也是女一号啊~            
(NA)	 从看苍天有泪开始，就喜欢蒋勤勤            
(3星)	 喜欢朱茵那一对。片头片尾曲很棒！            
(4星)	 是很早很早很小很小的时候看的了，其实只剩下了依稀的记忆，但是却是有印象的。其实那时候万确没有把展云翔和李寻欢联系在一起过……只能说焦恩俊演技实在好……我记得那时候我确实是对这个二少爷恨之入骨……说来那时候的蒋勤勤就已经出落得让人一见难忘了～            
(4星)	 小时候看的，觉得很好看。            
(4星)	 小时候随妈妈看的...里面有个小李飞刀强吻紫霞的镜头...~印象深刻~            
(4星)	 那时候朱茵和蒋勤勤站一起真是逊色多了~~~            
(3星)	 问：是不是有部片子叫《苍天有眼》的？答：嗯，貌似是叫《苍天有泪》吧~问：……            
(5星)	 2姐妹实在太美丽~~            
(3星)	 第一次见蒋勤勤和朱茵            
(4星)	 当时挺爱看。            
(4星)	 我就觉得吧，朱茵真是女神啊~~            
(5星)	 那时的水灵惊为天人  太有灵气了   故事也很感人            
(4星)	 现在看展二少整个一M受。            
(4星)	 两个女主角比较漂亮            
(4星)	 印象挺深。            
(5星)	 蒋勤勤人如其名--水灵，朱茵也很个性的美。            
(3星)	 男主角太丑了。。。            
(3星)	 这好像是我头回看到蒋勤勤……            
(5星)	 第一部深爱的剧是台剧            
(4星)	 主要是俩姑娘，太美了太美太美            
(NA)	 一首&lt;小放牛&gt;的歌词 赵州桥是什么人修，玉石的栏杆是什么人留            
(3星)	 女猪脚长的好看~~~            
(4星)	 曾经那么伤心那么感动~            
(4星)	 喜欢蒋勤勤            
(4星)	 朱茵蒋勤勤真美            
(4星)	 回忆啊回忆……            
(3星)	 - - 實在沒想到紫霞仙子也會演瓊瑤劇。            
(5星)	 这部戏让我知道了蒋勤勤的存在，不对是水灵的存在，也知道了一颗星星正在照亮着大地10多年前的电视剧了，琼瑶可以说就是勤勤的伯乐了，勤勤的美让我更关注到了她的演技，也的确是一个很有实力的演员。            
(4星)	 蒋勤勤惊艳，朱茵戏剧性强~            
(4星)	 以当年的外貌，又有演技，蒋勤勤为什么没有大红过？！            
(NA)	 晕···因为亲亲 看过            
(4星)	 勤勤好美  最爱雨娟和阿超   不过当年还觉得雨鹃和云翔是绝配  化恨为爱什么的最戏剧了╮(╯▽╰)╭            
(5星)	 喜欢蒋勤勤。            
(4星)	 当时好感动。。没发现二少爷是焦恩俊             
(3星)	 一部电视剧每集都有蒋勤勤和朱茵 还有什么比这种待遇更优呢？            
(5星)	 那时的水灵很水灵            
(4星)	 为什么看电视时会感觉展云翔其实很可怜啊？看小说时倒不会            
(2星)	 其实不错，但不大喜欢这种类型的            
(5星)	 都是美女            
(4星)	 虽然结局超级狗血，但为了青春水嫩的蒋勤勤和焦恩俊，还是多给一颗星。顺便说说，我一直觉得朱茵很美，在这里跟蒋勤勤一比，逊色很多啊！            
(4星)	 蒋勤勤真是很美啊~。。。尤其是一脸柔弱的时候。。真是我见犹怜。。。算是我见过最美的女人。。。当我那么多年后忍受着巨肉麻无比的歌词和极其夸张的类似话剧表演的感觉。。。还是觉得最感动我的是最后爷爷抱着孙子的画面。。。真是温柔~。。。            
(4星)	 水灵，化妆服装都挺好的歌也好听            
(4星)	 当时初看蒋勤勤，真是惊艳，完全压过朱茵，不过讲得什么记不得了            
(5星)	 我泪啊            
(4星)	 纪念当年让我惊艳的蒋勤勤            
(4星)	 我的爱情片启蒙之一啊~~~·            
(5星)	 最美的朱茵            
(4星)	 蒋勤勤呐，蒋勤勤            
(4星)	 喜欢琼瑶的仅仅几部片子之一            
(5星)	 绝对好看的一部经典剧目。尤其喜欢看里面朱茵和另外一个男主角的互动，雨凤和云飞的扭扭捏捏我就不喜欢了。            
(3星)	 记得当年《还珠格格》火爆时，居然被说成《还珠格格2》来吸引人。            
(4星)	 水灵真漂亮            
(3星)	 琼瑶戏，无非就是哭哭啼啼。            
(5星)	 其实我希望朱茵和焦恩俊一对~~~            
(4星)	 还是很小的时候看的，感觉不错！！            
(NA)	 我唯一喜欢的琼瑶剧~坏人比好人出彩            
(4星)	 少女时代的回忆            
(5星)	 超经典的说。            
(4星)	 勤勤，爱你！            
(3星)	 无视剧情看还是可以滴，蒋勤勤清纯主音可爱，焦恩俊很帅            
(4星)	 这个时候的焦恩俊是帅气呀，蒋勤勤和朱茵都是美女呀            
(5星)	 蒋勤勤是大大大美女!            
(5星)	 美女……            
(NA)	 曾经琼瑶过。。。            
(3星)	 不算太喜欢这一部剧情大部分想不起来……但我真的看完过啊囧RZ            
(4星)	 其实还不错呀            
(4星)	 蒋勤勤太漂亮了，只记得她了            
(3星)	 只喜欢这部电视剧里的焦恩俊            
(5星)	 那时的水灵真是惊艳啊……            
(3星)	 对剧一般，但是很喜欢这部里的蒋勤勤            
(4星)	 蒋勤勤当年真是漂亮！            
(3星)	  蒋勤勤那时比朱茵乖            
(4星)	 朱茵超美～            
(3星)	 那时的蒋勤勤很美，那是真的…剧情很琼很瑶……            
(4星)	 当年的爱情梦想            
(4星)	 当时觉得蒋勤勤好漂亮哦            
(5星)	 从这部戏里认识了蒋勤勤，当时觉得他美呆了……不过戏里面最喜欢的是雨鹃和阿超那一对，很美……呵呵，我是有配角爱情情节的人……            
(4星)	 全明星阵容~            
(4星)	 哦~ 经典哦~~            
(3星)	 蒋勤勤～俺看美女～            
(NA)	 经典啊……            
(4星)	 喜欢朱茵，没道理。。。            
(3星)	 琼瑶系列我都是小学就跟妈妈一起收看过了            
(3星)	 女1女2都美，男1丑……            
(5星)	 我就是喜欢。怎么地了。            
(5星)	 封面为什么不是云飞。。。            
(4星)	 蒋勤勤和朱茵超级漂亮。。男主角丑。。            
(3星)	 竟然也看过几遍            
(5星)	 就是喜欢            
(3星)	 蒋勤勤那个时候真漂亮            
(3星)	 惊艳蒋勤勤            
(4星)	 朱茵,蒋勤勤很漂亮！主题曲非常好听！            
(4星)	 蒋勤勤是真漂亮真漂亮！！！            
(5星)	 小时候在电视上看的。            
(4星)	 偶喜欢蒋勤勤啊～～            
(4星)	 小时候，是觉得很好看的，，            
(NA)	 貌美的焦恩俊演坏人，老成的庹宗华演男一啊。蒋勤勤真是惊艳。            
(4星)	 还不错啦            
(3星)	 那个时候焦恩俊难得演个坏人，真的是坏的够彻底，那个时候蒋勤勤还叫水灵- -不叫蒋勤勤            
(4星)	 经典~            
(3星)	 那时候觉得朱茵真是美呆了！！！可怜的正牌没红起来，呵呵！            
(NA)	 焦恩俊演坏人有点不能接受            
(3星)	 琼瑶片。赚人眼泪。            
(NA)	 好看喜欢琼瑶            
(3星)	 貌似看过。虽然记不太起来，但也不想再看            
(3星)	 两美女就好 焦同学自便.            
(4星)	 first impress on 蔣勤勤            
(NA)	 没看过几集，但是喜欢蒋勤勤才看的！！            
(3星)	 被蒋勤勤惊艳到了            
(4星)	 有点苦，但两个主角很美            
(4星)	 想当年那是哭得稀里哗啦啊……            
(3星)	 蒋勤勤很美            
(NA)	 我看的第一部琼瑶剧            
(5星)	 因为这部片子我爱上了蒋勤勤。            
(4星)	 片尾曲~            
(5星)	 那时候很喜欢焦恩俊的~我外婆也很喜欢这个，还买了书。            
(NA)	 不好看            
(5星)	 在琼谣的作品中是属于我欣赏的一部            
