http://movie.douban.com/subject/2295809/	醉打金枝
(4星)	 又是一个经典 欧阳震华和关咏荷的搭配 当年是TVB的绝对保证 太可爱了这两个人            
(3星)	 欧阳震华和关咏荷整个就很般配啦!~            
(4星)	 童年欢乐多            
(4星)	 关咏荷好漂亮~            
(3星)	 关咏荷！！            
(NA)	 两位主演都不错。            
(NA)	 好像当时从这个电视里学到了不少成语。            
(4星)	 欧阳震华❤            
(3星)	 细个果阵既搞笑经典电视剧~            
(5星)	 也算是神剧了            
(4星)	 懷念ING·~~~            
(4星)	  关咏荷和胖bobby的黄金组合真是太有喜感 了            
(NA)	 看的太久远了，不太记得具体的了。。。            
(3星)	 童年            
(5星)	 关咏荷和欧阳胖子的代表作之一，没的说，赞~            
(4星)	 他俩在一起那就是绝配啊~            
(3星)	 小时候的片子。。。            
(4星)	 可能就是从这里开始？            
(5星)	 又是一部很喜欢的剧，TVB当时很可以啊，而且还有关姐出镜！            
(4星)	 很搭的两个人啊            
(5星)	 关咏荷~曾经看tvb就是因为她呀~            
(3星)	 怕老婆会发达...            
(4星)	 关咏荷加欧阳震华，ＴＶＢ的经典搭档            
(3星)	 还有历史上的郭子仪，李白。            
(4星)	 欧阳震华和关咏荷的绝妙搭配。            
(5星)	 当年的经典啊            
(4星)	 当初很喜欢的            
(4星)	 当年还是被小感动了一下下。            
(3星)	 好像看过            
(5星)	 又一全家追剧~~好旧了~关咏荷同波B仔            
(4星)	 热闹again            
(4星)	 那个属于无线黄金时代的黄金搭配欧阳震华和关咏荷的时代。。            
(NA)	 当年的大家好喜感            
(4星)	 好看~            
(5星)	 以前看电视 好喜欢啊               
(4星)	 皇家有女要嫁，皇家有女要嫁~~            
(3星)	 一开始打马吊的剧集很不错~            
(4星)	 关咏荷~            
(5星)	 永远的欧阳震华~            
(5星)	 很好看的故事啊，改编自古代的一个故事            
(3星)	 挺好玩的            
(5星)	 很好玩~~            
(4星)	 小时候很爱看的说.            
(5星)	 配合那么好~~~            
(NA)	 我爱咏荷。            
(NA)	 记录            
(NA)	 挺经典的~            
(3星)	 电视的盲目。            
(4星)	      欧阳震华。必败            
(3星)	 前面搞笑多一点，后面开始生活了。更喜欢李白那段            
(4星)	 后面的续，真是可惜啦、糟蹋啦。            
(5星)	 很经典的港剧！            
(3星)	 里面的歌还记得唱呢            
(4星)	 还是以前的经典有趣……            
(3星)	 喜乐。            
(4星)	 深得朕心！            
(3星)	 以前这俩人一直做搭档，做情侣夫妻之类的，弄的我以前就以为他们是情侣类！            
(5星)	 绝配            
(4星)	 喜欢他们的组合~            
(4星)	 欧阳胖子的经典之作啊。最搞笑的李白。            
(5星)	 能让我想起快乐            
(3星)	 只喜欢前半部            
(4星)	 一直觉得欧阳震华和关咏荷是荧幕超配的！很轻松的戏！            
(5星)	 经典，好看，喜欢            
(5星)	 超好睇            
(4星)	 欧阳胖子的戏一直很精彩~            
(5星)	 2006            
(NA)	 很搞笑，看了好多年了            
(5星)	 按时定点地看。            
(4星)	 经典哈~~~            
(3星)	 都忘了            
(5星)	 太搞笑了~~~            
(4星)	 早期的港剧，都很不错。            
(5星)	 记忆中很有色彩的一部 大家在一起热热闹闹开开心心            
(5星)	     我小时候长得像关咏荷，现在变了~失败            
(4星)	 关咏荷和欧阳震华很有喜感的组合            
(4星)	 太喜欢关咏荷跟欧阳震华了            
(3星)	 演员一般，剧情还行            
(5星)	 搞笑            
(3星)	 曾经的荧幕经典情侣            
(3星)	 忘了多少年以前看的了。            
(4星)	 喜欢荷姐，喜欢花雕和李白。            
(5星)	 经常在电视上播出，算得上是TVB剧里我看过次数最多遍的片之一了。            
(4星)	 内容不记得了。。。只记得是搞笑片            
(4星)	 关咏荷 还是比较喜欢的            
(4星)	 以前还是黑白电视的时候看的，            
(5星)	 好喜欢郭暧啊 ps：国语的关的配音很灵的呀            
(NA)	 无趣的电视剧            
(3星)	 中学时代看过很多TVB的古装。很多都很好看。这是其中一部。那时候特别喜欢关咏荷跟欧阳震华的搭档。哈哈。            
(3星)	 只记得是很小很小的时候看的            
(3星)	 好像是我接触的第一部港剧~~十几年了~~            
(3星)	 很早之前看过的，大概初中吧，印象里就是觉得有点搞笑~            
(3星)	 画面差。。。            
(3星)	 啊 小时候的            
(5星)	 我和荷姐，我爱BOBBY。组合太有爱。奶妈，花雕都几好。            
(5星)	 评分居然这么低，没品味            
(5星)	 一直想看结局，一直都没有看到结局            
(3星)	 看过盖章            
(3星)	 公主微服...            
(4星)	 多么欢乐的一对！不愧是本家看TVB的第一欢乐的BG啊！            
(4星)	 经典            
(5星)	 关咏荷，欧阳震华的搭档．搞笑            
(3星)	 很搞笑，很tvb            
(4星)	 关咏荷和欧阳我都喜欢~~            
(4星)	 当年看的如痴如醉。            
(4星)	 开头几集较好看            
(NA)	 欧阳振华            
(3星)	 那条街TVB常年用的场景            
(4星)	 也算TVB的经典之一吧            
(3星)	 小白            
(3星)	 一般~            
(4星)	 經典亞~最近重溫中~            
(4星)	 刚看那会还很新鲜，后来类似剧太多，就审美疲劳了            
(4星)	 这故事编的，李白也来了            
(4星)	 前半部非常非常的好看！！！！            
(4星)	 N年前看的~             
(3星)	 还可以~            
(3星)	 2006年前看过            
(4星)	 关咏荷+欧阳震华的经典之作啊～！            
(NA)	 最喜欢版            
(NA)	 最早看的老肥的几部片。            
(4星)	 很早前看过了，情侣档啊            
(3星)	 婚后的剧情变得很扯            
(5星)	 记忆中的经典，可以看很多遍都不腻            
(3星)	 灰姑娘的男子版~~果然女子强势问题比较多你看人家灰姑娘女子版~~结婚后都是happy forever,哪儿有这么多矛盾的            
(NA)	 最先喜欢上的古装剧之一            
(4星)	 经典~            
(4星)	 喜欢欧阳正华~            
(4星)	 关咏荷+欧阳震华            
(3星)	 Funny~            
(NA)	 关式古装，再配上欧阳震华万年不变的喜剧模式，闲打牙儿的功夫看看，起码保证看了不过心情难过            
(4星)	 欧阳镇华vs关咏荷            
(3星)	 一般            
(4星)	 多年的经典            
(5星)	 一度以为他们俩是真的情侣            
(NA)	 TVB96（？）年贺岁片。。            
(3星)	 还行吧。。            
(NA)	 对！黄金组合            
(NA)	 为么子额就喜欢这些恶俗的片子啊            
(NA)	 很搞笑，很经典            
(4星)	 好生喜庆的电视剧~            
(5星)	 很老很深情            
(NA)	 黄金组合，百看不厌            
(4星)	 挺老套的            
(4星)	 不错            
(NA)	 好看好看            
(4星)	 看了好多遍~~~            
(3星)	 很搞笑的说~            
(NA)	 两大主角我都爱~~            
(4星)	 关咏荷 欧阳震华             
(3星)	 还是旧版的比较好看~~            
(3星)	 还不错啊            
(4星)	 经典组合啊！            
(NA)	 美好的回忆~~魏俊杰那时候标准帅哥~~            
(4星)	 很好看！BOBBY实在是太鬼马了            
(4星)	 很不错            
(4星)	 还是很喜欢关咏荷            
(3星)	 恩...非常之一般            
(4星)	 蛮搞笑的            
(3星)	 一般            
(4星)	 一直很喜欢关咏荷和欧阳震华的搭配            
(4星)	 吼吼。突然发觉TVB的剧集还真是看过太多            
(3星)	 外遇和反外遇的爱情故事...            
(2星)	 烂片。            
(3星)	 关欧组合再现            
(NA)	 这部比新版的实在好的太多～～            
(NA)	 醉打金枝            
(4星)	 小时候的经典            
(NA)	 很久很久以前看过，关咏荷和欧阳震华，曾经是我认为最佳的拍档之一。            
(NA)	 醉打金枝             
(4星)	 经典组合            
(4星)	 看港剧最疯狂的时段            
(NA)	 2002年            
(5星)	 以前看得很咋津很咋津的，片头曲都会唱。            
(4星)	 还可以，真是一对欢喜鸳鸯            
(3星)	 欧阳震华是招牌            
(NA)	 关咏荷的电视，我喜欢，就是喜气            
(2星)	 颠覆戏剧            
(5星)	 经典            
(4星)	 風騷的元曖            
(4星)	 欧阳震华 关咏荷是最棒的组合，那么自然轻松            
(4星)	 TVB的一出经典戏，有喜感。            
(4星)	 还是那些个人            
(4星)	 醉打金枝算不算家庭暴力            
(3星)	 school time            
