http://movie.douban.com/subject/2357304/	绝色双娇
(4星)	 呵呵 热播那阵子很迷的。那主题曲，现在还会唱呢~            
(2星)	 吃饭的时候顺便看的 感觉不喜欢~但比广告强            
(NA)	 为什么第二部变成了吴大维啊？            
(5星)	 好看，张庭太可爱了            
(4星)	 虽然俗，但还是喜欢            
(3星)	 逐渐淡忘中            
(5星)	 绝色双娇            
(4星)	 有趣的剧情 搞笑 很有看头 更因此剧喜欢上了张庭            
(3星)	 挺搞笑            
(3星)	 一般啊            
(3星)	 虽说故事情节和道具都很雷我，我还是看下去了……            
(3星)	 张庭的小酒窝真的是。。。            
(NA)	 这个挺搞笑～            
(NA)	 张庭好漂亮啊，支持酒窝美女，第二部依然很垃圾！            
(3星)	 对张庭的大酒窝印象深刻            
(3星)	 打打闹闹，真热闹            
(NA)	 有宋丹丹啊。张庭牛莉。完全搞笑风格。            
(5星)	 活活 很搞笑的剧啦 爱死叻 不过貌似没什么名的样子             
