http://movie.douban.com/subject/3933008/	美人心计
(4星)	 刘恒！~~~            
(3星)	 杨幂确实美 啊            
(3星)	 片名很差。美女太多。喜欢雪鸢。            
(4星)	 一星给惊喜，这剧比我的期望值要高，一星给帅锅米女们，无论是主角还是路过打酱油的，一星给服装，汉服真的很漂漂哇~~还有一星，只是因为这段历史，其实后面刘彻卫子夫他们的历史也挺深入我心的=。=            
(4星)	 恩，没看过“宫心计”的我觉得很好看^_^            
(5星)	 完成了一项重大任务~~·            
(1星)	 6 能集合那么多我讨厌的人 真是不容易啊             
(5星)	 挺难得的片子，只是人物的性格太飘忽不定了~            
(4星)	 还不错的,其实            
(4星)	 一星给刘恒一星给刘盈还一星给莫雪鸢，至于剩下的一星，当感情分好了= =            
(4星)	 还挺喜欢看的 比较强喜欢看前半部分...            
(4星)	 雪见              
(4星)	 还是冲着陈键锋            
(3星)	 斗来斗去滴，还好看            
(4星)	 怎么说呢，其实前面二十几集都还可以，虽然有N多bug，但是不影响整个剧情的紧凑度，但是后面十几集有点无力了，显得拖沓。            
(1星)	 模仿宫心计也模仿得太山寨了。。。台词很汗，剧情很多地方无法衔接、牵强附会，难看到极点。。。还没看到10集就看不下去了。            
(5星)	 俺只记住了冯绍峰帅哥一枚····原来陈键锋有小正太的气质~~            
(4星)	 比宫心计好看   就是前几集有点演的雷人  后面还不错  里面的美女太多了            
(5星)	 美女很多 剧情还不错 前半段比较好看            
(NA)	 爲了楊冪忍到11集  然後堅定不移地棄劇 p.s.:這劇的臺詞實在很搞笑 進入不了劇情啊~            
(4星)	 好多好多美人咧^^            
(4星)	 30集以后的内容我放弃了            
(4星)	 杨幂太丑了~别的都好            
(4星)	 看剧情，不如看柔柔美心如和帅锅陈键锋。            
(3星)	 女人有了男人其他的就是屎了对伐！！！！！            
(NA)	 再也不能这么看电视剧了，太冗长。累死了            
(4星)	 还不错，编剧有点脑残，酱油华丽丽的领便当，服装真不错。林心如演技有进步            
(4星)	 林心如好老哦，刘恒像她儿样~~不过衣服和布置好漂漂~~喜欢慎儿和严宽~~嫣儿和刘盈~~还有刘章、刘恒、刘启~~哦！小慎儿~终于看完老~~剧情很挫~但是演员、服装、场景很漂亮~我还是视觉系的~~主题和片尾曲都很好听~            
(3星)	 簿姬不错。林心如演这种角色还是有太多紫薇的影子。            
(4星)	 要想死得快，务必长得帅——冯绍峰：华丽丽出场，灰溜溜逃亡；严宽：史上最帅嫖客丧命妓女情杀...            
(1星)	 我要吐了，一群求包养的男女演员和一对傻逼导演            
(3星)	 故事差强人意，演员搭配很不协调，林心如的气场太弱            
(NA)	 多年多年之后，终于看完了一部国产大剧~~~我看的还是很有喜感滴  打酱油的TX们 你们走的太快啦= =            
(3星)	 窦漪房与刘恒            
(3星)	 嘻嘻..            
(5星)	 金枝欲孽换朝代了            
(2星)	 剧情和台词都很狗血啊……为毛那么多人喜欢……            
(3星)	 男色诱惑。。严宽、陈绍峰帅啊，那脑残编剧俺就忍了            
(NA)	 等陈键锋等到花儿也泄了...            
(3星)	 我实在看不惯林心如那娇柔造作的无辜眼神，还有她也太老了吧。            
(3星)	 林心如蛮好的，就是太扯了            
(3星)	 还是没看完            
(3星)	 三星半。美女很多很养眼，林心如的演技也有了很大进步，台词不太好，不过看完很想再去看看大汉的历史。            
(4星)	 给四星的理由：1. 所有需要是美人的角色，都绝对是美人的形象，不管演员本身有没有名气；2. 故事节奏紧凑，就算是戏说，也很有诚意。就这两点比最近市面上播的商业电视剧要强很多。            
(4星)	 托福，我去研究了下汉史顺便说一句，汉服真好看，哈哈            
(3星)	 很养眼的剧集。虽然内容很一般，但还是有点看下去的欲望。            
(3星)	 于正整就是一个用屁股想问题的挫男，那么好的一部书居然被改编出这么多不可理喻的BUG来；屁股不好使也就算了，爹娘给的，也没办法，人品还那么下作，整个片头四处可见他“于正”的大名，原著《未央沉浮》几个字却是在片尾的最后一闪而过，地位比“鸣谢”高了一行，居心何在？P.S 汉服果然强大！            
(3星)	 严宽啊，你他妈戏份怎么那么少啊！            
(3星)	 土            
(5星)	 4*-只是有些剧情离奇了些            
(3星)	 只看到20集。最多的一句台词，xxx，你(您)觉得呢？这剧让人觉得男人完全是在靠女人，要不要把汉文帝搞得这么白痴啊。            
(4星)	 打酱油的帅锅美女挂得很快很干脆，或许是其他的古装片看多了，对于豆妈妈跳下悬崖没有见到白猴，素问躺在棺材里没有诈尸，莫大娘没有和雪鸳重逢的剧情很满意，因为会还魂的是主角。。。            
(NA)	 我是看到有胡杏儿才看的            
(NA)	 永巷里的女人真恐怖~            
(3星)	 林心如在里面是千年老妖。。。            
(4星)	 太像凤求凰了            
(NA)	 看完也没学会什么心计            
(3星)	 耗费老娘的三天假期，你情何以堪？            
(2星)	 台词差。PS，严宽大帅锅，你真是最帅的酱油            
(3星)	 走马观花地看里面的美人，看了之前的评论，严宽果然是很销魂的~可惜只是出现下而已，制作很精美，故事情节，反正也就这样~~            
(2星)	 靠 祖母级别的还跟二十几一样样的年轻哒 囧死             
(NA)	 真的很失败。。            
(2星)	 林心如没气场，个人觉得她演女主是一大败笔。。慎儿那么丑。。为什么戏份那么多。。不过配角美女还是蛮多的~~剧情烂尾。。前面看得痛苦。。中间稍微好点。。后面看得更痛苦。。非要整个40集。。20集结束多好~~皆大欢喜。。哎~            
(4星)	 不玩手段根本活不了~            
(3星)	 敢情大汉那么百余年的基业，都是靠着这几个女人在背后撑着，从吕氏到窦式，再到王氏，还有卫子夫等。。。            
(4星)	 林心如演了三代美人啊~~~~~~~~~我就不懂胡杏儿怎么忽然一下变得那么聪明！！！！！            
(4星)	 总的来说，打个8分祭我的眼泪。&gt;&lt;            
(4星)	 还是蛮好看的 美女真多            
(4星)	 挺好的            
(4星)	 心血来潮去百度百科搜了窦漪房和卫子夫的史实生平@@            
(3星)	 我是没有看完啦。   够了够了 。            
(4星)	 是不错的电视剧，美女很多，陈键锋好帅~~！一宿舍四个人围在一起看了两天，好幸福~~            
(3星)	 后面草草结束，不如宫心计，更不如那个什么来            
(NA)	 我觉得电视剧里的刘启就是一千古好男人啊。。。            
(3星)	 越来越底色不足。林心如转型成功            
(5星)	 我给五分了。。。能打动姐姐的剧 不多了，即使它有很多雷点。。            
(NA)	 愿得一人心 白首不相离            
(4星)	 又是个傀儡            
(3星)	 感觉比宫心计好看点 但讨厌于某人哎~            
(4星)	 虽然心计有点牵强，剧情太多bug，但美人们还是很不错的。            
(3星)	 演员还可以，剧情还是很苍白。            
(4星)	 前面满精彩的.后面太难看了            
(5星)	 古装版“潜伏”            
(3星)	 看到不行坚持不了了            
(4星)	 还不错，心如很漂亮很有气质~            
(3星)	 只是刘盈虐到我了 噢 杯具            
(4星)	 消遣不错，我果然是个容易融入的人，这都能哭真是太诡异了            
(3星)	 够狗血            
(3星)	 被严宽秒杀~但是怎么这么快就挂了 TT 没看完- -            
(4星)	 演员不断再利用            
(4星)	 多华丽酱油。。。            
(4星)	 发现这部电视剧出现最多的对白是:&#34;  XX, 不好了!&#34;            
(4星)	 看刘恒            
(3星)	 好端端的小说被改成这样，哎~~~ 但还是比宫心计好太多了            
(NA)	 三苗啊三苗，长君啊长君，内牛满面            
(3星)	 我喜欢龙套严宽……            
(3星)	 还不错吧，呵呵。            
(3星)	 台词设计简陋，编剧还是有点问题，场景照明有很奇怪，背景音乐还是不行，人物性格设定大有问题，不过可以打发时间啦            
(3星)	 大陸版《宮心計》&amp;好多情節都沒有邏輯可言！            
(2星)	 林心如依旧没演技。            
(4星)	 前半部分挺好看的，后面就……            
(3星)	 稍稍有点烂。。美女很多。。            
(NA)	 我爱周亚夫……            
(4星)	 流泪了。。。            
(NA)	 好久没看这么长的电视剧 累死了            
(4星)	 台词雷死我了，不过好在整体剧情不错，古代间谍大战，众多帅哥美女打酱油，而且有jq,我要继续yy。^_^            
(4星)	 华丽丽地给出五颗星，虽然我只看了后半段，算是难得的好片了            
(4星)	 周将军~~            
(5星)	 美女真的好多0v0            
(3星)	 酱油党无限强大的片子            
(5星)	 周亚夫怎么活下来的。历史上在景帝在位的时候，周亚夫就已经死于狱中了吧。            
(3星)	 越看越不爽...            
(3星)	 大部分的评分是给美人和背景效果地,编剧实在是很会洒狗血,其实我该说这是一本女性言情吧?!从此剧可以看出,圣母可以轮换着当,但总&#39;攻&#39;还是必备地.            
(4星)	 抛去前十集和后十集            
(4星)	 无聊看看~有些大牌出来一会就死了，唉~            
(3星)	 ....看见林心如做作的样子就看不下去了....剧本实在是太俗了.......也不知道怎么想的...            
(3星)	 对白真的很肤浅。。情节过渡蛮生硬的            
(4星)	 这么多美女 我就打四星了 （某林不计算在内）            
(NA)	 长君DD比较合我胃口，那笑。。迷死我鸟             
(4星)	 虎头蛇尾            
(3星)	 看心计不如看美人            
(4星)	 还不错            
(3星)	 全是美女~~            
(3星)	 永不相问非不关心因为相信....苗苗仲系咁小受&gt;&lt;...            
(4星)	 挺美滴……            
(NA)	 这部剧在某些方面还是值得赞扬的 比如说噱头 但是。。。不看还是好些吧 分我也不好打TOT            
(4星)	 如果不是林心如太老了我给的分会高点            
(4星)	 终于看完了，四十集，追了个把月吧。要说最喜欢的，到最后竟还是长君。我心疼苗的结局。还有这戏的配音真的完满。特别特别喜欢漪房的声音。颜控和音控，还有美衣控。            
(NA)	 细水长流 死不相问            
(3星)	 服装不错，还看的下去。。。。            
(4星)	 配角配的好啊！            
(3星)	 太长了            
(4星)	 后面太拖沓            
(5星)	 很好看            
(2星)	 奇幻狗血言情雷人剧。属于网上三流小白文的情节、人物、台词，外加没文化和bug众多。即使原著也比这个编剧好太多了。            
(4星)	 看的只是差不多。太长了。            
(4星)	 汉服很好看！帅哥美女多！剧情很弱啊！            
(4星)	 好久没看内地拍的古装了            
(4星)	 打发时间            
(NA)	 林心如在演年轻角色时看上去有点老，演老年角色时又太年轻orz            
(4星)	 果然还是漪房和刘恒，周亚夫和雪鸳最让我动心            
(3星)	 现在的电视剧有三颗星那已经是不得了了啊~~~            
(3星)	 严宽            
(3星)	 才看了两集，那叫一个雷人的剧情啊，好在明星多，就当幼稚欢乐剧看吧。哈哈！            
(4星)	 剧中死的人多了，剧情似乎也就快了许多，无聊的我看的还蛮爽的            
(NA)	 不知不觉看了。。。&gt;&lt;~烂俗却好看。布景服装都很美，同时也很假。不过我在想要是李少红拍，可能会更美。静观下月韩国SBS收视率。            
(4星)	 哎 就是女主稍微演得不够好一点~            
(3星)	 一颗真心献给一个笨蛋，不值            
(3星)	 这剧...实在太爆笑...            
(3星)	 丫，我就是看美女的。            
(2星)	 我居然看完了0.0 很可能是因为看着它智商的优越感油然而生……            
(4星)	 我爱雪鸢~~~            
(3星)	 终于看完了，原来帝王家的女人都那么可怕啊！那还有谁要做皇上呀！            
(4星)	 就是为了看美女。老妈一直说她不喜欢这种片子。结果被逼无奈和我看了几集，惊叹好多帅哥和美女，我说你没从头看，已经死了一批了，前面的美人还要好看~我妈晕倒~~            
(3星)	 美女一堆 啰嗦一堆            
(4星)	 美女帅哥好多呀 养眼！豆豆最牛~王娡也不错滴~~皇上是酱油王~            
(3星)	 弃。。某集开始 无聊            
(4星)	 阿苗啊 苗苗啊            
(NA)	 又一雷剧！评分还那么高！            
(NA)	 看帅哥美女，请忽略剧情。            
(5星)	 真的挺好看的            
(NA)	 跟着某人看的              
(4星)	 还不错            
(5星)	 明星真是多啊            
(2星)	 純粹爲了林心如和陈键锋看的 = =+++ 我外婆愛看的。。。            
(4星)	 http://www.tianya.cn/publicforum/content/no05/1/40734.shtml真相            
(3星)	 雷焦掉            
(2星)	 心如一点都没老，不知道是化妆不行还是美女舍不得自己的脸，而且那里面的人智商都很低吧~~别人随便说一句话就信以为真，挑拨得一点技术含量都没有            
(5星)	 我是美女控 更是帅哥控~~            
(4星)	 林心如老了。都老了。原本好好的，越拍到后面越难看了。            
(5星)	 很好看～            
(3星)	 大概是演员还都顺眼，没有宫心计那样看到吐。突然喜欢起杨幂，这个角色虐的我喜欢，哈哈~~            
(NA)	 后面实在窝涩            
(3星)	 集结了刘三好，风声及大长今的-。 - 大陆古装大戏。。。            
(4星)	 如果与《宫心计》比较…            
(4星)	 漏洞挺多的。。            
(4星)	 女人的战争只需要美丽和狠毒。我爱美人！            
(1星)	 扯淡            
(4星)	 于大妈的剧也就那样了，好也好不到哪里去  演员还是不错的            
(NA)	 刚看了片头，感觉还蛮好的~            
(4星)	 我就是喜欢狗血剧情的片子。长君是最爱，有种爱是默默守候，无所求。            
(4星)	 看着杨幂妹妹站在心如婶婶旁边就有种城乡差别的感觉，代王你也太瞎眼了吧~竟然会看上窦美人没看上她身边的小丫鬟~            
(3星)	 最近不好這一口了            
(2星)	 我是真的不爱林心如啊，从她操着港台腔儿，管&#34;二兵&#34;叫&#34;二逼&#34;以前。            
(3星)	 我看过原著。原著都称不上精品，此片更是狗血。但是也有好看，有新意的地方。            
(3星)	 和一姐们边看边总结，那个朝代的女人个顶个的聪明，心狠手辣。简直就是碟中谍，无间道。一个个奸细，还有反间计，还以为素问能活过来呢，就那么自己把自己弄死了。视死如归的间谍们真不容易            
(3星)	 窦后传奇~            
(4星)	 阵容很强大，扮相很漂亮，林心如演技比以前好些，就是化妆差了些，看不出年龄变化。            
(5星)	 豆豆总攻记 o(╯□╰)o            
(3星)	 笑点挺多，演员不错            
(3星)	 比刘三好强多了，真的。            
(4星)	 又是汉室。            
(5星)	 豆苗~            
(4星)	 没了三苗同学的戏，速度快进看完。。。。            
(3星)	 没看完。。            
(NA)	 我纯粹只是想看陈键锋 ...            
(2星)	 实在是很无语，不知道怎么编剧的            
(1星)	 好弱智。。            
(NA)	 杜云汐——刘三好（一样圣母）。聂慎儿——姚金玲（一样倒霉一样笨）。刘恒——唐宣宗……。《美人心计》——《宫心计》。金牌编剧你把观众当傻子，观众拿你看乐子。前几年借个《金枝欲孽》我能理解，的确是好片，问题是，这么残的《宫心计》你也借，我真是想不通你啊金牌……            
(NA)	 轮回啊！            
(2星)	 多部宫廷片的合集            
(3星)	 我是看杨幂的。。            
(4星)	 so so 独爱章鱼恋~~            
(3星)	 与历史有较大差距 但我还是被三苗感动了。。            
(3星)	 这是个不需要男主的时代。            
(3星)	 我算不上是特别喜欢。            
(3星)	 不想看结局的一部电视剧，索然无味。。。也许争斗得不够厉害。。。            
(NA)	 這明顯是看美女帥哥的戲嘛……            
(4星)	 3月15-3月28  上海电视剧频道  19:01起三集连播            
(4星)	 里面的男地好像都是白痴 女地无论好坏个个聪明伶俐 不能理解……            
(3星)	 很席绢、很细川之荣子、看得出编剧古文化修养很弱！雷并喜欢看着            
(3星)	 剧情不错，如若不较真的话可以打四星的；可惜我是个较真的人…陈键锋还是挺不错~              
(4星)	 如果不计较那些BUG，还是很不错的            
(3星)	 改编很烂，还不如老老实实照着原作拍。            
(3星)	 服装很漂亮            
(4星)	 刘恒死了就不想看啦，刘盈也太杯具了吧！            
(NA)	 第十五集呂馨和趙王爺這兩跑龍套的演出的真用力。            
(3星)	 纯粹是为了看陈键锋才看的              
(4星)	 那么多那么多 总有一款合君心意            
(3星)	 林心如又老又丑的，杨幂在她身边一站，更显出这大妈的难看！我觉得女主比两个太后看起来都老！还有孙菲菲挣断铁链那会，天雷！看于抄抄的戏就是看了前面就能精准猜出后面。编剧巨烂，完全不合逻辑，胡编乱造，可惜了化妆和服装。            
(4星)	 多给的一颗星，是因为喜欢雪鸢及饰演者杨幂，喜欢刘章及饰演者冯绍峰，喜欢成年版王姪，喜欢少年版刘彻与少年版卫子夫。            
(3星)	 此剧的魅力在于，你知道它是狗血长篇剧，可是为了看美女帅锅，只好忍痛看下去。冗长拖沓以及琼瑶式的台词真的是败笔，里面的心计有点弱智。林心如不太适合这种角色，我开始喜欢杨幂            
(4星)	 蛮嗲的~~~            
(3星)	 还是有萌点的。在误会解除重归于好那一刻还蛮美好的。——我觉得就我的口味来说这部剧有着致命伤，好在也有着惊喜。            
(3星)	 还行，没了。            
(NA)	 电视剧最可怕的就是有一个圣母有一个恶女，当这两者出现在一部戏里面，我想杀了编剧再杀导演             
(NA)	 其实不怎么样，我是来看还不错的杨幂，但我不怎么待见现在的她~！            
(3星)	 主要就是看杨幂！里面男的基本都是SB            
(5星)	 从此 我看上了陈键锋 哈哈            
(1星)	 这是拍给脑残看的吗？按着历史乱掰。女人耍心机便罢了，可男人却全成了傻瓜或情种。            
(3星)	 完全按新新时代的好男人打造的形象 我就不信 这世上有这么些专情的皇帝            
(3星)	 美女好多啊~            
(3星)	 画面，人物都挺美。            
(5星)	 服装不错，和清宫剧可以媲美            
(4星)	 美人心计，善良的人啊            
(5星)	 林心如的演技不错            
(2星)	 宫斗剧……            
(4星)	 为什么你们喜欢陈键锋？？我喜欢的是罗晋……虽然不是很喜欢杨幂吧，但是当雪鸢死了以后我就不看了……何晟铭，嗯，很喜欢古装的扮相            
(4星)	 高三上课看被老师发现了= =            
(NA)	 宫廷后宫争夺啊            
(5星)	 表扬一下戴春荣,演吕后够霸道,还是接着虐林心如.不过后者过了十多年演技也有进步,大气多了.            
(NA)	 看过极其少数的大陆电视剧。            
(4星)	 这应该于大妈笔下比较成功后宫作品，爱心如姐姐！            
(NA)	 心计再巧妙也抵不住未知事件的发生。保持一颗善良的心，才能应万变。            
(4星)	 由爱故生忧，由爱故生怖，若离于爱者，无忧亦无怖            
(3星)	 呃……            
(2星)	 我为什么会看过这个 难到真的太无聊了吗             
(3星)	 罗晋很出彩            
(3星)	None
(5星)	 觉得林心如演的太好啦，第二喜欢周亚夫和雪鸢这一对，第三喜欢冯绍峰和胡杏儿这一对            
(4星)	 N年没看电视剧，不得不说，这部不错            
(4星)	 总算爬完了            
(NA)	 好吧，零零碎碎看过~            
(4星)	 還好不是狗血劇- -            
(3星)	 还不错的宫斗片            
(5星)	 虽然不是百看不厌型的，但这段时间这么多后宫剧下来，这部果然还是数一数二的~            
(3星)	 唯一一部让我觉得杨幂不错的。            
(2星)	 根本就是打着历史的名义胡乱改写 就一平行时空 编剧威武的估计文景二帝都要跳出来嚎啕大哭了吧？            
(5星)	 自古帝王多情郎，谁能留念一世长。窦漪房无论一身有何磨难，终究是幸福的，两代帝王至死不渝的爱，雪鸢一生难求的忠诚与守护。无论多少荣华富贵，男人才是女人的天下。赢了一辈子，最后却输了天下，莫过于是最大的悲哀。而窦漪房，此生足矣。            
(4星)	 消遣一下挺好            
(4星)	 刘邦后裔。。            
(5星)	 很不错            
(5星)	 作为电视剧来说，还是很好看的啦~起码有吸引我看下去的理由，有猜不到的剧情，不像某些剧，看开头就知道结尾是什么。。。陈键锋和阿信好像啊~            
(4星)	 林心如美啊            
(5星)	 林心如老年的造型和之前变化不明显，其余的都很好。            
(2星)	 这个编剧的东西都没有正常让人接受的逻辑。            
(5星)	 内核比《美人天下》好 更感人            
(4星)	 不错，林心如演技大涨            
(5星)	 说实在的我只看了。大家觉得拍的没有前半段好的后半段。片子四科星。给紫薇一颗            
(5星)	 刘恒死的时候完全戳中泪点            
(5星)	 之前挺讨厌林心如旳、看了這剧很欣赏她了。特喜欢她在剧中旳气质、也喜欢那个皇帝、至少很有人情味！... 莪喜欢旳古装剧。            
(4星)	 野史？！可悲的是啊，总有恶毒的人在背后放冷箭下刀子，而且可气的是还有一些SB在周围添乱，越来越乱！明枪易躲，暗箭难防......防不胜防啊~~            
(4星)	 电视剧耗时耗力 身心俱疲.................            
(4星)	 这些年电视剧市场烂片太多，这部是我看到的比较上等的了，拍的不错。演得到位，服装好看，也基本尊重史实。不过，有的台词会让我伤心的时候突然笑翻，哈哈~~ 期待美人心计的下一部讲卫子夫~~            
(4星)	 挺不错的~不过还是比较喜欢前面。后面太子登基后的那段就不喜欢了。陪我ToWords那么久的电视剧。结束了就TW无力了 = = 120128            
(3星)	 电视上看过几集～             
(5星)	 世上最珍贵的莫过于情有独钟            
(NA)	 虽然剧情看的不完整，总是就是一群后宫一群女人的事情罢了，不过汉服很漂亮，喜欢汉服的亲们一定要看哦            
(NA)	 善始善终，理想之国。            
(3星)	 女主圣母光环太光辉性格未免有点无趣…男主在不知情的情况下策反了俩关键细作还顺带捎上一个（雪鸢），吕后真心杯具…女主男主都不知肿么就那么看上眼爱的死去活来了…周亚夫雪鸢人设本来还是有点意思…但还是生生被NC剧情和狗血台词残害了。舅母慎儿是上辈子折翼的小强吧？！服饰加一星，汉服真心美！            
(NA)	 和寝室五个同学挤在一个宾馆睡觉 没地方给我睡了 我就只有看电视记得一个台一直放这部剧，还不错 比倾世皇妃好，不至于看不下去，也不会有非常不合情理的白痴剧情。            
(4星)	 寒假抵不住电视连播的诱惑，还是找来看了。许多真情，许多无奈；许多忿恨，许多领悟。父母与儿女之间的信任，夫妻之间的默契，朋友之间的真心或假意。该说某些女人贪慕虚荣、惟恐天下不乱，但若做夫君的，只爱一个，只娶一人，又何来这许多的纷争呢。不分巨细，只要能从中琢磨出些理儿，花的时间就值。            
(4星)	 算是不错的宫廷剧了，美女帅哥也多，可以好好看看。刘盈和刘恒的爱最是不禁让人感叹。            
(NA)	 一些，女人的故事。            
(3星)	 周亚夫只管英雄救美；汉文帝就是窦漪房一抱枕；薄姬专门做歇斯底里状。于正够能编的，既然是戏说也就算了。从家人子演到窦太后，林心如功力不行啊，全靠配音演员支持。看完的收获有三：大汉威武；原来我们有一群牛逼的配音演员；陈键峰俊美的汉文帝扮相。            
(NA)	 很好看的一部古装剧，喜欢林心如剧中的表演，把窦漪房的点滴都演得很细腻，喜欢她对刘恒的爱，喜欢她的机智。            
(4星)	 感动于窦漪房和刘恒的爱情            
(4星)	 我就是奔着我们家老罗给的分= =~            
(4星)	 拖了好久才看这部剧~喜欢雪鸳这个角色~汉文帝和漪房的互相信任也是我最向往的            
(2星)	 28062            
(NA)	 啥都不说了            
(NA)	 剧情还是很不错的，尤其是前面，后面太拖沓了，没必要演到那么后呀，多次感觉故事可以结束了，却还要往下拍，这点比较失望。            
(3星)	 如果心如可以放弃演一些圣母型的角色、应该会有更好的作品。剧情还是硬伤、演员表现都很好、没有不堪入目的。化妆是今年见过最好的、全部人都非常漂亮。            
(4星)	 情有独钟            
(NA)	 我大概太空虚无聊            
(5星)	 心如的戏中很喜欢的一部            
(5星)	 大爱窦漪房            
(4星)	None
(4星)	 看了挺多的。喜欢古装。            
(4星)	 如果不是抄袭就好了，服饰还是很华丽的。            
(5星)	 刘恒，窦漪房会永远陪在你身边的。。。（林心如演技没的说啊。。）            
(3星)	None
(4星)	 看过的古装剧中比较喜欢的一部戏，被窦漪房聪明隐忍，坚贞不渝的个性吸引            
(4星)	 看电视换台的时候偶然看到的，还是蛮吸引人的，所以，我决定去读历史            
(4星)	 爱上历史~~            
(3星)	 扮相还好            
(4星)	 好纯粹的宫斗片，看过了湖南台的宫1后实在很讨厌穿越剧，如果是小说的话还算过瘾，但女猪脚知道的太多反而不好。宫2看了几集丝毫提不起兴趣又想起了看原著小说的时代了....            
(5星)	 一个女人的史诗啊，这命也忒好点了吧。2个皇帝的爱情+儿子皇帝+孙子皇帝！人比人得死啊o(︶︿︶)o 唉            
(3星)	 当年的那个杨幂还没有现在这么讨人厌的啊~            
(4星)	 虽然觉得这里面的逻辑纯属胡扯，虽然觉得这故事的情节充满了借鉴，但是。。。            
(4星)	 我的脑海已经无法摆脱林心如的圣母形象了。            
(4星)	 这里面的杨幂我还蛮喜欢的。林心如的巅峰之作吧，倾世皇妃完全不能与之相比。            
(4星)	 不得不说雪鸢是亮点，她死后，基本就可以结束了。只是那样就无法完成“史诗剧”的名号了。            
(4星)	 是近期这种类型的电视剧里，最喜欢的            
(3星)	 刚发现，老爹他已经无聊到在瞅介个了。。唉~            
(NA)	 还蛮惊险的            
(3星)	 林心如很美            
(4星)	None
(4星)	 国产电视剧中算是不错的了。后面的故事不是很耐看，前面的故事很好。            
(4星)	 最近几年看过的古装剧中拍的最好的            
(3星)	 比较心水前半部分，后面一路快进来着，总体还不错，于麻麻的剧，算是唯一一个可以看的了            
(4星)	 剧情还行            
(NA)	 後宮家庭倫理劇。            
(1星)	 抄抄万岁，抄袭无罪！            
(4星)	 个人认为很不错的一部古装剧。            
(4星)	 虽然不是完全历史，但是林心如很美。            
(3星)	 谁都没有林心如可怜谁都没有林心如善良，这就是主题吧            
(5星)	 了不起的窦漪房。            
(3星)	 对于服装，演技，美女，还有“刘恒”是很满意的。剧情分段式的在雷与不雷之间跳来跳去，看得累死了。不过比起早些年的作品，编剧还是有小进步，虽然埋雷破绽太多，但是起码有笨拙的伏笔，以前类似于烟花三月云云的剧情那才叫一个莫名霹雳。PS：林心如真是不老神话~还是老牌美女耐看~            
(4星)	 很好，故事很精彩            
(NA)	 看历史剧可以激起对历史的兴趣呀~~            
(4星)	 相比现在许多脑残的、胡扯的、作秀的电视剧，这部拍的有让人想更深入了解汉史的欲望，已经很不错了。实力演员，逼真场景，优质配音，让人佩服的种种手段剧情，综合下来，让我推荐这部古装剧。            
(5星)	 剧情很好看，古代版潜伏，陈键锋最帅的皇帝哦            
(4星)	 其实 当我还不知道于正是谁当我没有看清杨幂的大波玻尿酸脸时当心如姐姐没有在倾世王妃里那么倾世时 我真的觉得这部剧很好看 都是心机都是美人都是帅哥 特别喜欢刘盈 苍劲坚隐地男子。            
(4星)	 如若减掉10集诞生一部经典。林心如演技有所增进。            
(4星)	 欣赏王丽坤！            
(4星)	 林心如多美啊            
(NA)	 这片子我爸也赞同拍的不错，我和他都没当偶像剧来看。林心如演的窦漪房，作为一个女人，实在是成功，收放自如。            
(4星)	 林心如是越老越有范儿了~把弟弟们玩儿的呀……            
(3星)	None
(5星)	 于麻麻唯一的好剧            
(3星)	 陈键锋好帅啊，杨幂应该演些沉稳的角色，本来就丑死了，还一天到晚多作怪            
(2星)	 于妈你确定这改编自未央沉浮？？？            
(3星)	 其实真的还可以。            
(3星)	 纠结点            
(3星)	 虎头蛇尾            
(5星)	 想看陈键锋来的 结果被林心如惊艳了            
(4星)	 高三最後兩個月，美人心計，中午不午睡~            
(3星)	 全靠戴春荣老师的表演!            
(3星)	 非常不喜欢窦漪房和刘恒的爱情            
(2星)	 看了十来集，实在看不下去了····剧情太扯蛋了            
(NA)	 这种片啊。            
(1星)	 “于妈抄袭事件东窗事发后，迫不得已买下《未央·沉浮》版权的一部片子。 有于妈挚爱何日成名和陈键锋，另外还有冯绍峰。。”转自http://movie.douban.com/doulist/684484/            
(2星)	 看13分钟的酱油的！其实第二集就大结局。为什么说慎儿美啊，那张脸真是畸形的可以。。。杨幂就更不用说了。。。            
(3星)	 赶脚还是原著好看些，电视剧太胡扯了            
(4星)	 一生要哭多少回~~~回~            
(5星)	 说实话我觉得片里林心如的演技真的很好!!非常喜欢这部剧:)感觉各方面都很出众!            
(NA)	 越到后面越觉得没意思呢。。。开始的时候，真是让我着了魔！我觉得吧，林心如还是古装好看些～            
(4星)	 林心如后宫剧肇端、、、、、、            
(4星)	 分数太低了吧            
(3星)	 就前边的剧情还可以，后边太拖沓无力了，有点硬要编出来的感觉。基本上雪鸢领了便当之后就看不下去了。还40集那么长，浪费时间.....            
(3星)	 好纠结的剧情            
(4星)	 其实林心如挺好的            
(4星)	 还不错。特地去查过历史，汉文帝刘恒是真的为了窦姓妃子罢黜过后宫三千，这也是我继续看下去的重要原因之一。这部剧放现代那就是一狗血的小言，但是那样的环境，那样的人物设计，还有面上淡然内心澎湃的态度，狗血就狗血吧，我忍了            
(NA)	 YOOOOOOOOOOOOOOOOOOOOOOOOOO            
(4星)	 好看            
(4星)	 看不下去了。编得太夸张太离谱了。。看到19集冯绍峰胡杏儿出现顿时变狗血。。纯粹是布景华丽，汉服太美了给四星。。。。            
(4星)	 好看            
(4星)	 女人最大的武器是温柔   Q说  这里面的男的她都喜欢            
(4星)	 被逼看的呀……            
