http://movie.douban.com/subject/2214122/	还珠格格第三部天上人间 还珠格格3
(3星)	 狂虐不已、虐完了就甜言蜜语一阵偶尔伴随小亲热一阵。            
(1星)	 呕吐            
(1星)	 狗血            
(2星)	 擦。只有尔康没变。。            
(2星)	 根本不能跟第一第二部比 而且因为换演员不是原班人马的原因 觉得像是换了一部戏 但没有最差只要更差 看了看最近的新还珠 才觉得这第三部至少还能看看 但新版实在...            
(1星)	 新版都比这个好！            
(1星)	 垃圾= =，我得想想，这个跟芒果台的新还珠格格到底哪个更垃圾……            
(1星)	None
(3星)	 和   新的比起来  我更喜欢这里面的  刘涛和秦岚            
(1星)	 汗一个~~            
(2星)	 主角不合适，这部剧就没戏了吧。我是想说，高一的那个暑假好多事啊。            
(3星)	 紫薇还是不错的...            
(5星)	 我很给面子了            
(3星)	 没那么差吧。            
(1星)	 第3部真的是不咋样            
(2星)	 我实在不忍心给三星..我都没看完整过！这个黄奕……            
(2星)	 狗尾续貂。            
(2星)	 吃老本典型            
(1星)	 有木有零星？？？？？？？？？？？            
(1星)	 很差...真的很差...            
(3星)	 虽然不喜欢但应该比新还珠好很多。            
(NA)	 傻            
(2星)	 第三部真是，被毁了……            
(3星)	 剧情超展开。。            
(2星)	 呸            
(4星)	 美人知画，美人马伊琍，超级美            
(2星)	 不敢恭维。            
(NA)	 。。。。。。            
(NA)	 尼玛！不好片子！            
(3星)	 一份童年回忆。            
(3星)	 在楼上看那么认真啊啊啊，那时候真心喜欢啊            
(2星)	 看了黄格格以后都知道。。其实赵格格很不错的~            
(3星)	 各种刷条目            
(1星)	 回家洗洗睡吧            
(1星)	None
(5星)	 喜欢黄奕和古巨基。。不过我更喜欢赵薇和古巨基的情深深雨蒙蒙。。            
(2星)	 当周杰变成天马的时候。。。我就湿润了            
(2星)	 完全退步。换演员是要冒很大风险的，尤其是这样一部剧。事实证明，失败了。            
(1星)	 ob            
(1星)	 太扯蛋了他們            
(4星)	 演员大面积被换，没有踏跺前面的感觉，剧情被迫拓展，拓展也不尽如人意            
(3星)	 不喜欢这个版本            
(3星)	 童年的回忆啊啊啊。。百看不厌！！！ 但是不怎么喜欢看第三部。            
(2星)	 瞎扯淡            
(2星)	 不解释........当年貌似高四时候看的..........            
(3星)	 喜欢这里的刘涛，漂亮            
(1星)	 一集弃。麻痹，皇帝长得像河马，五阿哥就一斜眼外加地包天，黄奕你演的是白痴吗？！连容嬷嬷都敢换人！瞎了我的狗眼！            
(NA)	 毁了我童年的回忆            
(2星)	 。。。。。。。。。。。。            
(1星)	 没什么比琼瑶的更恶心人            
(2星)	 黃燕子不是在演小燕子而是在演趙薇且畫虎不成反類犬…古阿哥從頭到尾緊皺從未一刻鬆開的眉頭充分表現了他的生活有多苦逼…馬紫薇說話的時候從來不看黃燕子也不看爾康也不看冬兒，她誰都不看，她只看空氣，馬紫薇生動形象詮釋了啥叫天然呆…本來最不正常的周鼻孔反而成了最正常的…            
(1星)	 开始烂！            
(2星)	 这个。。。            
(2星)	 增是不怎么样            
(2星)	 猥琐。            
(1星)	 唯一的一星给刘涛。            
(2星)	 这部最烂，黄晓明在这里其实也还是挺有演技的            
(NA)	 接受不了换人……即使黄奕也很古怪精灵，但终究还是赵薇先入为主了。况且，剧情太扯了，尤其是尔康那部分。            
(2星)	 看的时候我一直想象着赵薇林心如演  是怎样的            
(3星)	 湖南台的光荣。            
(2星)	 我是真心觉得古巨基不适合演剧。            
(2星)	 童话被破坏了            
(2星)	 实在不给力            
(2星)	 第三部狗血了。。。虽然前两部也很狗血。。。            
(2星)	 太操蛋了            
(1星)	 完全是糟粕和败笔，污染了心中的记忆啊            
(2星)	 这里的小燕子不再欢乐，开始面对第三者，开始为婚姻哭泣。不喜欢不喜欢~            
(1星)	 我只是，，瞟过。。。            
(3星)	 三星全给王艳。            
(1星)	 敢不敢更恶心一点，什么乱七八糟的剧情啊！而且换人以后演得根本不像啊啊啊啊 啊            
(5星)	 看尽人生百态，婚姻必杀指南，历史会为你正名。            
(3星)	 眼睁睁地看着第三部紫薇跟小燕子越来越闹腾。。缅甸那段很精彩，尔康吸毒紫薇崩溃看得揪心啊！黄教主的箫剑也很出彩（比新版的帅太多了！）还满喜欢第三部的说，三颗星给清新的画面。看了新还珠，我得吐槽一下，其实老还珠3的选角跟画面还不赖！            
(3星)	 歌还行            
(2星)	 琼瑶奶奶。            
(2星)	 让你换人！            
(1星)	 可以不这么狗尾续貂么~            
(2星)	 再也不想看第二遍            
(2星)	 从之前收视率的神话，得继续个神话。。。。。。            
(1星)	 毁剧不倦            
(2星)	 还拍第四部，弄死我吧            
(1星)	 食物中毒时看，不用洗胃~            
(1星)	 狗尾续貂的绝好注解            
(1星)	 琼瑶奶奶还是洗洗睡吧            
(1星)	 浪费生命！            
(3星)	 看到第三部的时候，是不是发现自己长大了？怀念那个小燕子，怀念那个五阿哥，还有可爱的皇阿玛？只是一切都变了。。            
(1星)	 这只剩亲亲的垃圾……            
(1星)	 赵薇版的小燕子无法超越。            
(1星)	 完全毁了            
(3星)	 还是喜欢前两部啊            
(NA)	 。。。            
(3星)	 其实刚出的时候我并不反感 黄奕 古巨基什么的都是我爱            
(1星)	 雷！            
(1星)	 黄奕真讨厌~            
(1星)	 这都是什么玩意？            
(3星)	 天上人间            
(NA)	 紫薇！小燕子！永琪！最后你们不仅整了容还上了天？？？？但是真的很黑暗系啊皇室成员不孕不育还珍惜生命远离毒品～唉～            
(1星)	 要不要这么差啊            
(2星)	 为嘛看的时候会觉得有点反胃的感觉，还请了蒋勤勤，就是冲着她去的。            
(3星)	 不行了啊，不咋好看了            
(2星)	 额。。。全部变了，当年接受不了            
(2星)	 哈哈哈哈~不喜欢古巨基            
(2星)	 白瞎天上人间这个名了。            
(2星)	 这个电视剧认识的秦岚，感觉在这里面就一个嗲啊，无辜啊，之类的，我觉得不怎么好，没发挥出来，后来秦岚的片子就能入眼了。第三部用的都是那么几个新人了，小燕子让黄奕演的简直了，我无语，五阿哥更是惨烈，紫薇啊，哎，总之没有一个能让人欣慰的~            
(1星)	 要多傻有多傻~            
(1星)	 不是3 ，是2            
(1星)	 = =、            
(1星)	 你妹！            
(1星)	 如果可以不给星            
(NA)	 也不是烂得无可救药，但是基本受不了，整个一奇情片。            
(2星)	 。            
(2星)	 好想好想，好想好想，好想好想一脚踢飞你            
(1星)	 毁了毁了。。。==            
(3星)	 还是很喜欢里面的歌曲的……            
(4星)	 对第三部情有独钟啊怎么办。好喜欢黄晓明演的箫剑啊。            
(2星)	 简直是个杯具……            
(1星)	 真的不喜欢            
(1星)	 我突然知道赵薇和林心如的演技是有多好，她们那版的还珠格格是有多经典。            
(NA)	 湖南卫视不知放了几遍- -            
(NA)	 天上人间比还珠格格好看多了！！！            
(2星)	 讨厌死知画了，发现秦岚一直在演我讨厌的角色            
(2星)	 直接毁了对前两部的美好回忆。。。。            
(2星)	 幹嗎要換演員 然後劇情也。。。            
(1星)	 太有违一贯的水准了            
(1星)	 看在古仔的面子上，给了一星。            
(NA)	 受不了换人了！没看完！            
(2星)	 唯一记住的就是发现了秦岚大美女。。。            
(NA)	 拍成一块儿裹脚布了！！            
(2星)	 说实话，回头看，最出色的竟然是秦岚！！            
(1星)	 还能再烂吗？？？            
(1星)	 我真不知道为什么要这么做...            
(2星)	 瞄一眼就过            
(2星)	 烂，除了晴儿和知画依然美丽            
(2星)	 不佩服琼瑶阿姨就是不行。还有勇气拍第三部，挑战观众极限。不过好歹提供了就业机会，拉动了经济增长。向阿姨致敬！            
(1星)	 我的妈呀。。。。            
(NA)	 瞧，还有3.            
(2星)	 除了鼻孔尔康其他人都换了真没意思            
(2星)	 你伤害了我！还一笑而过！！！！            
(1星)	 额。。只能说当时太过年幼无知。。。            
(1星)	 如果能给负分的话。。。            
(1星)	 做作的小燕子，作呕的五阿哥。            
(5星)	 不管怎样曾经都深深爱着。            
(3星)	 吻戏能再多点不？肿么除了闹就是在闹            
(1星)	 还我的小燕子紫薇五阿哥！            
(1星)	 拍这部就是多余            
(3星)	 不好看了            
(2星)	 豆瓣还有这个            
(1星)	 这部拍得有点儿科幻了......            
(3星)	 风光不再，最喜欢1了            
(2星)	 除了服装更华丽了，实在没什么更好的了。            
(1星)	 差点被雷死            
(1星)	 别人都走了，尔康，你还不走!!!            
(3星)	 为了基仔和黄奕，给三颗吧            
(2星)	 一点都不好看，和前两部没得比啊没的比            
(5星)	 我们台的自制大剧            
(NA)	 = =真的被雷。            
(1星)	 破坏经典，都太雷了            
(1星)	 黄奕、黄晓明            
(2星)	 拍了两部就不应该在拍第三部~~把前两部都糟蹋了            
(1星)	 皇阿玛哈刚！            
(2星)	 还是觉得原班主角演会更好看…            
(4星)	 湖南台狂轰滥炸让我想打三星，后来想到新版的还珠格格，还是给四星叭……            
(3星)	           第一集就雷的挺逗            
(1星)	 真2.            
(2星)	 2比1烂，3比2更烂。。。            
(2星)	 唉，在邻居阿姨的带领下看完的剧。            
(NA)	 不做评价了就。            
(3星)	 歌很好听            
(1星)	 现在电视上有重播，还是会陪奶奶一起看得很欢乐。。。。            
(1星)	 光看天上人间四个字我就一定要MARK下。            
(NA)	 这不变的只有尔康。。。的鼻孔啊。。。            
(1星)	 还我紫薇            
(1星)	 笑而不语            
(NA)	 小燕子无法生育            
(3星)	 可怜的基仔，为了报琼瑶恩演了这么一部烂剧            
(3星)	 这个比较悲剧            
(1星)	 越恶心越逗            
(1星)	 期待了半年等到的……            
(1星)	 各种心酸            
(1星)	 第三部真难看            
(3星)	 黄奕演的小燕子我这辈子都不会承认的！            
(3星)	 换了演员很失望，不过最后还是有了结局。            
(2星)	 “我勒个去”            
(2星)	 虽然闹台套，但箫剑换成教主我觉得还是不错的            
(3星)	 没有前两部耐看。            
(2星)	 烂片，            
(3星)	 讨厌第三部，但还是把它看完了            
(1星)	 狗血剧情的典范。            
(2星)	 第三部最傻了.            
(1星)	 ……            
(1星)	 坑爹之作！！！！！！！！            
(3星)	 那一年正好中招完，我竟然还把3给全看完了.....            
(2星)	 狗血啊            
(1星)	 尔康 你居然没死！！！！！！！！！！            
(1星)	 能不看还是不看的好            
(1星)	 ！！！            
(2星)	 很明显没有前两部好看~            
(3星)	 尔康还是那么猛....            
(3星)	 演员都换了，更加没劲了。            
(2星)	 秦岚是个大美女 凶哥哥演报仇真可怕。。            
(3星)	 尔康还在是因为鼻孔吗？            
(3星)	 没看多少，换了人演的总觉得差强人意，蒋勤勤那段倒是不错            
(2星)	 这部实在拍的太2了，特别是大家以为尔康死了之后的那段梦啊什么的，拍的跟聊斋似的，太无聊了。总之，换人之后的电视剧没有一部是成功的，为什么还珠不能吸取这个教训呢？            
(2星)	 木有最烂，只有更烂。不是林心如演的紫薇，哎。。。            
(2星)	 第三部简直雷人啊= =。。。            
(2星)	 无语，五阿哥还纳妾。以前还珠格格留给我的印象很好，虽然后来因为芒果台放太多遍有点反感了。其中一个原因是五阿哥的单纯，在第三部里面，感觉古巨基演的这五阿哥实在够白痴的，在女人的战争里，还被小妾利用成为打压正室的工具。随便就碰了别的女人，算哪门子专一，还有尔康在缅甸那一段，想吐            
(2星)	 五阿哥还是变了...            
(2星)	 古巨基的光头，黄奕的小燕子，马伊琍的紫薇，全毁了……            
(NA)	 扯扯扯！            
(2星)	 尔康猥琐了 五阿哥窝囊了 小燕子抑郁了 自慰生完孩子身体变性了。            
(3星)	 天上人间！— —            
(NA)	 我居然看过这个            
(5星)	 换成黄奕了，还是喜欢。还有至少这部剧捧红了马伊俐！            
(2星)	 换人了是神马啊！！1            
(2星)	 那个时候黄晓明还挺顺眼的呀，如今怎么。。。            
(2星)	 没有了曾经的小燕子和紫薇，还珠缺失了眼睛。            
(2星)	 真的很难看 差太远了            
(1星)	 很多人受不了小燕子被换，倒觉小燕子还好，最受不了五阿哥被换，受不了这个一心只有尔康没有了小燕子的紫薇，受不了这个张狂失了稳重豪迈的萧剑！            
(1星)	 剧情太烂了，演员太差了，看了一集就看不下去了。            
(NA)	 虽然很雷。。但还是标记下            
(1星)	 RUBISH~            
(2星)	 演员太垃圾            
(1星)	 还珠拍三就是个悲剧            
(2星)	 多余的一部            
(1星)	 雷…            
(1星)	 坑死我了。            
(1星)	 地狱人间才对            
(NA)	 真是一边骂着看完的            
(2星)	 我为狄龙一哭！你丫老了老了越来越不会演戏了！            
(3星)	 大概习惯了前两部的演员们，换了演员后，续集的续集没有前两部那么精彩。秦岚和刘涛是亮点。            
(2星)	 该死的我居然还看完了= =            
(3星)	 古巨基吻黄奕时好性感，妈的就是要虐死丫，多少次想跳进电视把黄奕拉开我上。            
(NA)	 换人了。。。            
(NA)	 http://movie.douban.com/pics/sth.gif            
(2星)	 我只想知道龍哥為什麼要演            
(1星)	 滚            
(5星)	 感动            
(1星)	 黄奕真是恶心人            
(3星)	 换人演变味了            
(1星)	 没有苏有朋，没有赵薇，你让我看尔康？！            
(1星)	 恶心 讨厌 烂俗            
(2星)	 渣= =||容嬷嬷最亮~            
(3星)	 换人不好　不好不好            
(2星)	 诡异已经不能表达我对第三部的感叹了。。。            
(3星)	 狗血  勉强看完            
(3星)	 这三颗心是给晴儿和萧剑，还有歌的~鄙视小燕子（不是因为是黄奕演的关系，是第三部的小燕子变了，变得聪明了，变得自私了）。            
(1星)	 wtf            
(3星)	 第3部就不怎么样了，人都换完了            
(3星)	 路过×3            
(5星)	 这是一部毛片来的，看标题就知道了，天上人间，你们懂的，跪求下载地址~哈哈~            
(2星)	 天上人间。。            
(3星)	 已经不是那么回事了            
(3星)	 秦岚美 古巨基吻戏赞            
(5星)	 1星给刘涛，1星给歌曲，3星给老蒋。。。其他的该干嘛干嘛去~~~            
(3星)	 想吐！毁了我的古巨基            
(NA)	 哈哈哈。。            
(5星)	 因为是还珠格格。但已经不是我的小燕子了、哎。            
(1星)	 其实这就是琼瑶阿姨的风格，有市场但是很难看。@Home            
(3星)	 可惜,把那几个最喜欢的演员给换了,唉            
(2星)	 难看啊            
(2星)	 至少秦岚还是很美的            
(2星)	 这是纠结哪是情结啊，毁了我晴儿跟萧剑，不过发现马伊俐适合演许平君。            
(1星)	 每天吃饭时都被这部《忘恩负义的混蛋和他们朋友们的故事》强奸，这部也才刺激了，受不了了。。。            
(3星)	 还是还珠么？            
(2星)	 小时候怎么会看这种电视剧！！！            
(1星)	 换了汤底，可对我来说是差不多的，也差不到哪儿去。其实这部给我带来了多少欢笑啊~快媲美武林外传了~            
(2星)	 差！            
(3星)	 没那么经典            
(2星)	 。。。。。。            
(NA)	 不做評價= =            
(1星)	 恨不得能倒扣几颗星。。。。            
(NA)	 我喜欢这里面的所有音乐。            
(2星)	 厌恶知画！！！            
(1星)	 真是珠玉在前。。。            
(1星)	 无与伦比            
(NA)	 这么惊颠的你们竟然没看过！？            
(1星)	 换了人还有什么看头。            
(2星)	 我保证我不是跟风，别人说不好于是我也说不好。我保证我是真的觉得这个不好            
(1星)	 一部比一部猥琐。。            
(2星)	 实在受不了这个……            
(2星)	 当年被两老妹逼着陪看的，自然不会觉得好看了。前两部也是因为跟风才看的说。            
(2星)	 无语……还是第一部好看            
(2星)	 这一部就严重不能和前面2部比了 当紫薇在云南和尔康擦肩的时候 我妈就说尔康是吃泡饭长大的 站了这么会就站不住了 偏偏这时候摔 哈哈            
(3星)	 其实有些插曲还是很好听的~            
(2星)	 琼瑶阿姨可以歇歇了，拍电视的辛苦了。。            
(2星)	 冲着古巨基才看的。。。。不评价。。。            
(1星)	 我讨厌这样的续集，拍了又病真是            
(2星)	 反正就是……你懂的            
(3星)	 我晕一个先            
(3星)	 毁了毁了~~            
(1星)	 。。。。。。。。。。。。。。。。。。。。。。。。。。            
(NA)	 3.5            
(1星)	 怨妇版小燕子，呆滞版紫薇，无聊的剧情            
(NA)	 教！主！V！5！            
(4星)	 除了没换的人很好，其他没法说            
(3星)	 我一边鄙视湖南台，一边鄙视自己又看了一遍。            
(1星)	 无法不说你是无理取闹            
(1星)	 糟糕、、、            
(2星)	 除了黄晓明，别的都不怎样            
(1星)	 对我来说，每一个镜头都富有吐槽点~~            
(1星)	 那一个叫烂啊...            
(NA)	 恨到极致时想冲进电视里面把黄奕大卸八块            
(1星)	 。。。和家人一起看电视有时候就是这么无奈            
(2星)	 恶心            
(1星)	 整标签那天还在感慨我的一般电影3-5星、极烂的2星的尺度太宽了，区分度不好。嗯，跑出来一个可以配这个一星的了！            
(1星)	 无敌难看             
(3星)	 原来给的一星 看了新版还珠的剧照和预告我把这改成了三星            
(2星)	 囧囧有神            
(1星)	 更加狗血，我竟然还看完了。            
(2星)	 太假了太假了            
(3星)	 突然发现，这剧里的女人都满有豪门缘的。            
(1星)	 讨厌黄奕。            
(2星)	 阿姨，你输了            
(3星)	 不管怎样。。为什么周杰不换？            
(3星)	 我妈对前几部不感冒。这部突然看上了            
(NA)	 被迫看的……            
(2星)	 狂恶心            
(1星)	 爱的要死要活 隔空传音...音...音            
(3星)	 一去不复返……            
(2星)	 连五阿哥都娶了别人。。。            
(NA)	 靠！什么烂片我都看过            
(3星)	 这个最悲剧。            
(2星)	 全换完了,给人的感觉完全不一样.            
(1星)	 桂嬷嬷终于盖过容嬷嬷的风头了= =+++剧中称呼极度混乱            
(3星)	 依旧不解释            
(NA)	 前面两集 最后一集 囧囧有神 雷电交加.            
(3星)	 雷。            
(3星)	 马伊琍造型真是各种瞎.再加上万年不变的周杰- -            
(2星)	 没法说了。。。            
(3星)	 黄奕太不给力了            
(4星)	 总之还是赵薇好。            
(3星)	 天上人间~~~            
(2星)	 .........................难看到无可救药= =            
(1星)	 剧情都不说了，琼瑶就是不想要小燕子他们在宫里好好生活。打一颗星，完全是狄龙演的乾隆实在是太烂了。。。            
(2星)	 完全，没有，感觉            
(3星)	 就看过几集，咩意思            
(NA)	 虽然都没有涉及这么多都没讲清楚。我的忍受能力看来不错~            
(2星)	 童年剧。标准时前两部的话，这部简直是鸡肋。            
(2星)	 越演越特么的别扭            
(2星)	 真是不好看啊。            
(1星)	 烂到让我想死            
(3星)	 大二上期末考试前，全宿舍的人发疯似地看这剧，为知画小三的悲剧而幸灾乐祸...            
(2星)	 人物真的不行...            
(4星)	 很遗憾，黄奕您哪有赵薇的大眼睛灵气啊！            
(1星)	 编剧去死吧            
(2星)	 厚道点给俩星好了= =            
(1星)	 一星送给晴儿。            
(2星)	 跟第一部比差远了            
(5星)	 蛮不错            
(4星)	 比前两部正常点。            
(3星)	 也没有他们说的那么差么.只是还珠格格灵气少了 紫薇格格霸气了点  当娘了么  总得改变呀.  知画可是应证了张无忌他妈说的:越好看的女人越会骗人!            
(1星)	 看过的雷片 还真不少            
(3星)	 黄晓明。。萧剑和晴格格            
(3星)	 太后现代了。黄奕从前还颇有灵气的，唉，毁了。现在貌似开始走喜剧路线了。            
(4星)	 差吗？...至少尔康的剧情比较好看            
(1星)	 有半颗星就好了            
(2星)	 污点            
(3星)	 宫闱斗争看着还挺热闹            
(NA)	 泥马            
(NA)	 当时我无法接受五阿哥半劈腿肉体出轨= =也许现在也无法            
(2星)	 什嘛东西里面演员到都养眼            
(2星)	 不好看            
(5星)	 开始发现秦岚！            
(NA)	 垃圾            
(2星)	 真心受不了黄奕的表情            
(1星)	 看不下去了（青筋）            
(2星)	 其实没怎么看，我就是来评分的            
(1星)	 萧剑啊。。你就这么被毁了。。。。。。。。。            
(2星)	 假死了，每个演员都那么的假！！！            
(5星)	 ...原谅我。可还是很喜欢的            
(3星)	 行头好            
(2星)	 秦岚=美女            
(1星)	 真是有点做作了~            
(NA)	 无语。。。            
(3星)	 可以啦~~            
(1星)	 我很少给这么差评= =真的……            
(1星)	 所以不喜欢黄奕，原因在此。            
(1星)	 太难看了 换了一大堆演员 只有尔康还在            
(3星)	 好看            
(2星)	 你妹！            
(3星)	 嗷..可能是演员换了一大批感觉真的差蛮多的我记得那个知画最后装清纯 还是把5阿哥给上了            
(3星)	 小时候的记忆            
(3星)	 前两部的演员早已在人们心中留下了深刻的印象，即使他们演的再好，看着也不会比前两部好。拍第三部纯属浪费金钱，听说现在还要翻拍，更是不明智的举动。            
(1星)	 续集本来就不用抱什么希望的，可惜还换了一班人马，更是惨不忍睹，狗血的剧情更加是无语加无语            
(3星)	 影响了一代人呢            
(2星)	 还没有前两部好看            
(1星)	 马伊琍挺好看的            
(2星)	 不能再雷人点了 成烂片了。            
(1星)	 比第二部还惊悚            
(4星)	 哈哈，小时候就是芒果台粉丝···长大了，芒果台，基本上年年必回顾啊····            
(3星)	 虽然有的地方很囧，但还是跟着这帮疯子哭了好几场            
(2星)	 知画.            
(1星)	 狗血            
(2星)	 换个名字还好些。。。            
(3星)	 善始善终            
(3星)	 狗尾续貂2            
(4星)	 演员换了，不太喜欢。            
(3星)	 有首片尾曲 奈何。            
(2星)	 第三部。。真的是个败笔。            
(2星)	 除了尔康那段别的全跳着来            
(2星)	 还有人看这部吗？我就换台时看过  &gt;.&lt;            
(1星)	 破玩意！恶心人！            
(1星)	 服饰有点好的改变真想跳进去，把主角配角统统扇一巴掌            
(3星)	 瑶姐的一贯风格            
(2星)	 真是的            
(2星)	 真是，换了演员，没一个看得顺眼的。尤其皇帝，只要有他的镜头，就想跳过。            
(4星)	 从尔康出事之后，我就不爱看了。            
(4星)	 还不错，很喜欢紫薇。。            
(1星)	 好吧，它破了我的底线两星            
(1星)	 狗尾续貂！            
(1星)	 懒得好好看。            
(3星)	 古巨基是唯一的看点~            
(2星)	 我真不想说我看过，看完之后以前喜欢的演员统统不喜欢，以前不喜欢的依旧不喜欢。            
(NA)	  我也觉得失败            
(2星)	 唉            
(3星)	 我觉得知画的命运和皇后很相似…… 深宫中的女子惯用心计，这是很可怕的。 令妃一直得宠却有很好的口碑，是恩威并施的结果吧，可是她的牺牲也很大。 晴儿和紫薇都是很聪明的，但是她们足够善良，从不耍心机。 小燕子知道心机的存在，也受过陷害，但就是沉不住气，对永琪的爱使她一而再再而            
(3星)	 奇怪。            
(3星)	 其实，我想说，一部不如一部…… 是真的。            
(NA)	 奶奶爱看的，陪着看完            
(NA)	 周杰你这个死不要脸的也不羞得慌            
(3星)	 换人后还不算完整看过            
(1星)	 某台，某台，某某台，你们放够了没啊！            
(NA)	 VCD盒装……            
(3星)	 比起前两部顿时篓掉了，尤其小燕子            
(2星)	 我只想说……太垃圾了，典型的纠结女人片            
(3星)	 我覺得換個名字就不至於那麼慘            
(3星)	 虽然换了演员，比想象中的好            
(NA)	 我错了……            
(3星)	 变味了。            
(2星)	 因为有萧晴恋和刘涛才看的。全剧最好的是歌曲。            
(2星)	 三部中，最不喜欢的一部！~            
(2星)	 为啥有第三部呢？            
(2星)	 真不应该拍这部……太失望了            
(2星)	 差了点            
(1星)	 我是专门进来踩你的~~~            
(2星)	 。。。。。。。。。。。。。。            
(2星)	 换了的不只是演员，看完感觉1，2部不错            
(2星)	 相比还是喜欢前两部……            
(4星)	 黄奕演的也很不错。            
(NA)	 初三的时候，那阵子每晚回家的一件事就是坐在电视机前，看20min 的还珠3，然后片尾曲，然后写作业。最开心的就是白天认真了，在课室搞定了如山的所谓减负的家庭作业            
(2星)	 换了演员，都没有以前的漂亮，比第一二部差多了。一个堂堂的阿哥，居然可以为了小燕子放弃阿哥身份甚至是皇位，而永远也不能再见到自己的皇阿玛老佛爷，也不能重新回到他熟习的皇宫。本来这应该是很浪漫的爱情故事，但我看了没有一点感动，只觉得很可惜！            
(1星)	 给萧剑和晴儿            
(1星)	 什么玩意，当年咱也幼齿过，但你不能拿幼齿当白痴？！            
(4星)	 觉得有一首歌挺好听的 第三部看的时候已经没有小时候看还珠格格的感觉了            
(3星)	 歌好听。天上人间，不见不休。            
(NA)	 俗话说先入为主，格格3因为前两部演员的形象先入为主，对第三步多少有些微词。这让我想起一些经典的外国作品被重译，关键的不是孰优孰劣，而是撇开偏见，看其中美好的地方，毕竟，作品还是为人服务的。而且，作品本身也应该有它们自己的品格，就像人一样，不要彼此做什么比较。            
(3星)	 还行呀，古巨鸡我挺要看的，那个什么鬼知画我就不说了，里面两首歌蛮灵。            
(2星)	 何必类？            
(1星)	 糟蹋            
(NA)	 就剩一个，秦岚            
(2星)	 多么恶俗的剧呀 可是我还是看了 lol            
(1星)	 难道摧毁这个近乎完美的言情系列能给导演带来什么快感吗？            
(4星)	 我还是挺喜欢剧情の            
(5星)	 冲着名字去看            
(1星)	 很差 不然我不评你！            
(2星)	 龙哥，美人迟暮啊，何必要出现            
(1星)	 为嘛豆瓣没有半星呢？            
(1星)	 crap            
(2星)	 做作            
(1星)	 垃圾啦！            
(2星)	 2007            
(5星)	 那个长的跟个鲶鱼是的皇阿玛。。。            
(2星)	 唉，基仔的形象啊= =||||            
(3星)	 知画不错...其他就算了            
(1星)	 =-=# 配音烂个半死，演技差个半死，完全毁掉了还珠格格在我心中的好印象，幸好没拍第四部~            
(3星)	 有点讨厌，无聊的时候还是看            
(NA)	 呃0 0            
(3星)	 我是为蒋勤勤投的三星，她送乾隆时拨弄琵琶的样子很好看皇上太丑了            
(2星)	 最受不了的一部            
(1星)	 换下了赵薇的还珠还有什么看头，更何况这部片子里，五阿哥还娶了别人。别说是挑剔的我，就连我爸妈也没看得下去。            
(3星)	 没有前面2部好看   讨厌黄奕,.古巨基            
(NA)	 最不满意的是换掉了赵薇，不过马伊俐版紫薇还是很动人的。剧情上很多冗长的情节，比如尔康吸毒那一段，受不了            
(3星)	 最討厭n女圍一男或者n男圍一女的設定= =  當然這是劇情設定問題囧            
(1星)	 很不喜欢！！            
(2星)	 不知道为神马，我超级不喜欢那个东儿，蒋勤勤的夏盈盈是亮点            
(1星)	 我就是不喜欢3就是不喜欢            
(2星)	 哭哭啼啼，没有出息            
(3星)	 !            
(2星)	 有黄奕的地方总归不怎么地呀- -            
(3星)	 狗尾续貂。。。主角也就古巨基还能看。浪费了一众帅哥美女。。。不过倒是捧红了刘涛和秦岚。水灵演得风尘女子就是有气质啊~            
(4星)	 这几个女人代表着不同的女性。。            
(3星)	 我已经完全不是在看什么剧情了＝＝b            
(2星)	 两个字，失败。琼瑶阿姨真是老了，成也还珠，败也还珠。黄奕啊黄奕啊，赢得了关注，失去了粉丝。            
(1星)	 狗尾续貂            
(NA)	 。。。。            
(3星)	 第三部更差            
(2星)	 看了箫剑和晴儿的剪辑版，只能接受这个            
(1星)	 燕子飞出回忆城就别再回来了ho            
(3星)	 换了人演就变味了，于是这一部是最不红的一部。和前面的感觉很不一样的，一下子加了很多柔情的感情戏，然后就觉得不是以前那个一看能笑好久的还珠格格了。当然了，三部里面饿歌都还是不错的啦……            
(3星)	 没有一二部好看。            
(NA)	 一直覺得不好看..過年在家看了點..看得眼淚汪汪的...來學校就抽了昨天一天看完了剩下了.........            
(5星)	 我坚强地把三部都看完了            
(2星)	 不能说演员演的差吧。。只是之前的人物形象已经深深刻在我们观众的脑海之中了。。所以看了之后很变扭。。很不习惯。。所以大家都不是很喜欢。。加上剧情已经枯竭。。就成了讨厌了- -            
(3星)	 演得有点傻……            
(2星)	 = =演员、剧情都没那么舒服了            
(3星)	 已经有三部了。超凡脱俗？不！非(常)凡超(级)俗！不过，消磨时间却非常有效。            
(NA)	 其实整个故事框架与系列得前两个没什么关系，而且，还是琼瑶擅长的悲剧，另外来说，受不了小燕子的装疯卖傻，尔康的肉麻到让人伤心的脸孔，更也受不了紫薇时不时的神啊鬼得，也受不了箫剑一副神奇活现的样子，唯一能看的就是基仔和王艳，但是基仔里面的温实在是让人脸红啊，呵呵，不知道那娃那时候咋拍下去的，呵呵            
(4星)	 出乎意料的好，当新剧看才是            
(NA)	 民歌还是好听的。。。            
(1星)	 E……我就不多说什么了。            
(3星)	 很神奇离谱的电视~死洒狗血            
(2星)	 其实很烂的,但有蒋勤勤呀!            
